,title,contents
0,윤석열,"['서연', '서연', '안랩', '안랩', '안랩', '안랩', '안랩', '안랩', '화천기계', '화천기계', '삼보산업', '삼보산업', '화천기계', '서연', '모베이스전자', '모베이스전자', '서연', '서연', '서연', '서연', '노루페인트', '서연', '웰크론', '케이엠', '오공', '모나리자', '모베이스', '화천기계']"
1,방탄소년단,"['키이스트', '넷마블', '디피씨', '드림어스컴퍼니', '경남제약', '손오공', '남성', '넷마블', '디피씨', '디피씨', '드림어스컴퍼니', '드림어스컴퍼니', '키이스트', '키이스트', '경남제약', '드림어스컴퍼니', '경남제약', '손오공', '경남제약', '디피씨', '경남제약', '드림어스컴퍼니', '디피씨', '드림어스컴퍼니', '손오공', '넷마블', '디피씨', '디피씨', '디피씨', '디피씨', '디피씨', '디피씨', '손오공', '키이스트', '경남제약', '디피씨', '디피씨', '넷마블', '경남제약', '드림어스컴퍼니', '드림어스컴퍼니', '넷마블', '드림어스컴퍼니', '드림어스컴퍼니', '경남제약', '드림어스컴퍼니', '손오공', '넷마블', '디피씨', '경남제약', '키이스트', '디피씨', '디피씨', '드림어스컴퍼니', '손오공', '드림어스컴퍼니', '경남제약', '드림어스컴퍼니', '손오공', '디피씨', '경남제약', '손오공', '드림어스컴퍼니', '경남제약', '디피씨', '디피씨', '손오공', '디피씨', '드림어스컴퍼니', '경남제약', '경남제약', '경남제약', '손오공', '경남제약', '경남제약', '디피씨', '손오공', '드림어스컴퍼니', '남성', '드림어스컴퍼니', '키이스트', '디피씨', '경남제약', '손오공', '키이스트', '키이스트', '손오공', '드림어스컴퍼니', '손오공', '드림어스컴퍼니', '경남제약', '넷마블', '드림어스컴퍼니', '디피씨', '디피씨', '디피씨', '디피씨', '드림어스컴퍼니', '디피씨', '드림어스컴퍼니', '손오공', '손오공', '디피씨', '디피씨', '키이스트', '드림어스컴퍼니', '디피씨', '디피씨', '디피씨', '경남제약', '드림어스컴퍼니', '디피씨', '넷마블', '키이스트', '디피씨', '드림어스컴퍼니', '넷마블', '경남제약', '넷마블', '디피씨', '드림어스컴퍼니', '경남제약', '경남제약', '디피씨', '키이스트', '넷마블', '드림어스컴퍼니', '키이스트', '넷마블', '키이스트', '키이스트', '소리바다', '브이티지엠피', '넷마블', '드림어스컴퍼니', '디피씨', '넷마블', '브이티지엠피', '드림어스컴퍼니', '디피씨', '넷마블', '키이스트', '넷마블', '브이티지엠피', '브이티지엠피', '디피씨', '디피씨', '키이스트', '디피씨', '디피씨', '키이스트', '디피씨', '브이티지엠피', '브이티지엠피', '넷마블', '드림어스컴퍼니', '키이스트', '디피씨', '넷마블', '넷마블', '드림어스컴퍼니', '드림어스컴퍼니', '드림어스컴퍼니', '키이스트', '드림어스컴퍼니', '드림어스컴퍼니', '키이스트', '넷마블', '넷마블', '키이스트', '디피씨', '키이스트', '남성', '드림어스컴퍼니', '디피씨', '키이스트', '넷마블', '넷마블', '넷마블', '키이스트', '디피씨', '키이스트', '드림어스컴퍼니', '드림어스컴퍼니', '키이스트', '디피씨', '디피씨', '키이스트', '디피씨', '디피씨', '키이스트', '넷마블', '키이스트', '넷마블', '드림어스컴퍼니', '키이스트', '드림어스컴퍼니', '디피씨', '드림어스컴퍼니', '디피씨', '드림어스컴퍼니', '드림어스컴퍼니', '넷마블', '드림어스컴퍼니', '드림어스컴퍼니', '키이스트', '넷마블', '넷마블', '넷마블', '드림어스컴퍼니', '디피씨', '드림어스컴퍼니', '남성', '키이스트', '키이스트', '키이스트', '드림어스컴퍼니', '키이스트', '키이스트', '디피씨', '드림어스컴퍼니', '드림어스컴퍼니', '드림어스컴퍼니', '디피씨', '넷마블', '디피씨', '키이스트', '키이스트', '넷마블', '디피씨', '키이스트', '초록뱀', '디피씨', '디피씨', '초록뱀', '디피씨', '디피씨', '초록뱀', '키이스트', '엘비세미콘', '엘비세미콘', '디피씨', '엘비세미콘', '초록뱀', '디피씨', '키이스트', '디피씨', '디피씨', '디피씨', '초록뱀', '키이스트', '엘비세미콘', '엘비세미콘', '엘비세미콘', '엘비세미콘', '초록뱀', '초록뱀', '초록뱀', '디피씨', '초록뱀', '초록뱀', '디피씨', '초록뱀', '초록뱀', '디피씨', '엘비세미콘', '디피씨', '초록뱀', '디피씨', '키이스트', '초록뱀', '초록뱀', '키이스트', '디피씨', '키이스트', '키이스트', '키이스트', '초록뱀', '키이스트', '디피씨', '디피씨', '디피씨', '키이스트', '키이스트', '디피씨', '키이스트', '키이스트', '디피씨', '키이스트', '디피씨', '디피씨', '키이스트', '키이스트']"
2,국내,"['에스퓨얼셀', '우리기술투자', '신일제약', '두산퓨얼셀', '포스코케미칼', '신흥에스이씨', '일진머티리얼즈', '신테카바이오', '신테카바이오', '국제약품', '웰크론']"
3,방탄소년단,['넷마블']
4,방탄소년단,['디피씨']
5,애국,"['쌍방울', '남영비비안', '모나미', '까스텔바작', '신성통상', '코데즈컴바인', '깨끗한나라', '대상', '모나미', '까스텔바작', '까스텔바작', '까스텔바작', '모나미', '신성통상', '모나미', '모나미', '신성통상', '코데즈컴바인', '모나미', '신성통상', '깨끗한나라', '모나미', '대상', '모나미', '신성통상', '남영비비안', '모나미', '남영비비안', '대상', '쌍방울', '까스텔바작', '쌍방울', '신성통상', '남영비비안', '신성통상', '쌍방울', '남영비비안', '모나미', '모나미', '빅텍', '스페코', '퍼스텍', '삼성전자', 'SK하이닉스', '동진쎄미켐', '후성', '하이트진로', '하이트진로홀딩스', '신성통상', '하이트진로', '하이트진로', '신성통상', '모나미', '모나미', '하이트진로', '신성통상', '모나미', '모나미', '쌍방울', '하이트진로홀딩스', '모나미', '신성통상', '하이트진로홀딩스', '후성', '동진쎄미켐', '쌍방울', '대상', '신성통상', '대상', '모나미', '신성통상', '쌍방울', '대상', '대상', '대상', '쌍방울', 'BYC', '모나미', '한국화장품', '토니모리', '에이블씨엔씨', '코스온', '제닉', '하이트진로홀딩스', '하이트진로', '신성통상', '경인양행', '대상', '모나미', '후성', '모나미', '후성', '신성통상', '모나미', '신성통상', '모나미', '신성통상', '모나미', '모나미', '후성', '모나미', '하이트진로홀딩스', '모나미', '대상', '모나미', '삼익악기', '손오공', '손오공', '모나미', '신성통상', '신성통상', '손오공', '신성통상', '모나미', '모나미', 'PN풍년', '삼익악기', '손오공', '까스텔바작', '삼성전자', 'SK하이닉스', '동진쎄미켐', '후성', '하이트진로', '하이트진로홀딩스', '신성통상', '동진쎄미켐', '램테크놀러지', '한화에어로스페이스', '대신증권', '하이트진로', '한국화장품', '제이에스티나', '보라티알', '쌍방울', '신성통상', '후성', '램테크놀러지', '동진쎄미켐', '원익머트리얼즈', '하이트진로홀딩스', '하이트진로', '한화']"
6,애국,['모나미']
7,보톡스,"['휴젤', '제테마', '대웅제약', '휴온스글로벌', '휴젤', '메디톡스', '휴젤', '휴젤']"
8,코로나,"['녹십자', '녹십자홀딩스', '녹십자랩셀', '녹십자셀', '오공', '강원', '삼성전자', '셀트리온', '모나리자', '웰크론', '테라젠이텍스', '일양약품', '부광약품', '유한양행', '삼성바이오로직스', '셀트리온제약', '키움증권', '한진칼', '고려개발', '미코', '아이스크림에듀', '쌍방울', '신성통상', '남영비비안', '씨젠', 'EDGC', '수젠텍', '파미셀', '우정바이오', '케이엠', '백광산업', '오공', '강원', '삼성전자', '셀트리온', '모나리자', '웰크론', '테라젠이텍스', '일양약품', '부광약품', '유한양행', '삼성바이오로직스', '모나리자', '웰크론', '셀트리온', '셀트리온제약', '셀트리온', '키움증권', '녹십자', '한진칼', '고려개발', '미코', '아이스크림에듀', '모나리자', '쌍방울', '신성통상', '남영비비안', '키움증권', '씨젠', '씨젠', 'EDGC', '수젠텍', '미코', '파미셀', '모나리자', '우정바이오', '케이엠', '백광산업', '오공', '삼성전자', '모나리자', '센트랄모텍', '웰크론', '부광약품', '키움증권', '비씨월드제약', '부광약품', '일양약품', '부광약품', '깨끗한나라', '케이엠', '국제약품', '모나리자', '오공', '한국알콜', 'MH에탄올', '창해에탄올', '진원생명과학', '제일약품', '일양약품', '뉴지랩', '앱클론', '대웅제약', '일양약품', '부광약품', '일양약품', '파미셀', '부광약품', '비씨월드제약', '화일약품', '일양약품', '씨젠', '셀트리온', '셀리버리', '셀트리온', '광동제약', 'LG화학', '씨티씨바이오', '엑세스바이오', '코미팜', '광동제약', 'LG화학', '씨티씨바이오', '엑세스바이오', '코미팜', '바디텍메드', 'EDGC', '오상자이엘', '바이오니아', '씨젠', '오상자이엘', '수젠텍', 'EDGC', '바이오니아', '동구바이오제약', '씨젠', '수젠텍', '신풍제약', '일양약품', '유나이티드', '일양약품', '나노캠텍', '씨젠', '수젠텍', '부광약품', '셀트리온제약', '신풍제약', '일양약품', '녹십자', '파미셀', '씨젠', '셀트리온제약', '녹십자', '신풍제약', '랩지노믹스', '수젠텍', '씨젠', '파미셀', '씨젠', '셀트리온', '신풍제약', '오상자이엘', '오상자이엘', '신풍제약', '씨젠', '오상자이엘', '신풍제약', '부광약품', '신풍제약', '부광약품', '씨젠', '미코', '씨젠', '미코', '씨젠', '신풍제약', '부광약품', '신풍제약', '신풍제약', '부광약품', '일양약품', '일양약품', '일양약품', '일양약품', '씨젠', '일양약품', '씨젠', '일양약품', '파미셀', '수젠텍', '씨젠', '수젠텍', '씨젠', '제일약품', '뉴지랩', 'EDGC', '씨젠', '진원생명과학', '제일약품', 'EDGC', 'EDGC', 'GS리테일', '엔씨소프트', 'BGF리테일', '하이트진로', '엔씨소프트', '신라젠', 'EDGC', '신풍제약', 'EDGC', 'EDGC', '신풍제약', 'EDGC', 'EDGC', '씨젠', '씨젠', '수젠텍', '신풍제약', '락앤락', '한송네오텍', '씨젠', 'EDGC', 'EDGC', '씨젠', 'EDGC', '마크로젠', '대원제약', '메드팩토', '넥스트BT', 'EDGC', '진매트릭스', '바이오니아', '웰크론', '바디텍메드', '동구바이오제약', '씨젠', '파미셀', '신풍제약', '진원생명과학', '신풍제약', '부광약품', '씨젠', '수젠텍', '랩지노믹스', '파미셀', '신풍제약', '셀트리온제약', '파미셀', 'SK바이오랜드', '한국정보통신', '한국정보인증', '한국전자인증', '코미팜', '지노믹트리', '씨젠', '진원생명과학', '씨젠', '씨젠', '신풍제약', '오상자이엘', '오상자이엘', '신풍제약', '안트로젠', '코미팜', '안트로젠', '지노믹트리', '진매트릭스', '진매트릭스', '씨젠', '안트로젠', '코미팜', '안트로젠', '코미팜', '코미팜', '안트로젠', '씨젠', '진원생명과학', '씨젠', '진원생명과학', '씨젠', '지노믹트리', '코미팜', '지노믹트리', '코미팜', '지노믹트리', '마크로젠', '파미셀', '씨젠', '파미셀', '부광약품', '신풍제약', '부광약품', '신풍제약', '신풍제약', '신풍제약', '부광약품', 'EDGC', '파미셀', '파미셀', '파미셀', '안트로젠', '코미팜', '코미팜', '안트로젠', '코미팜', '코미팜', '안트로젠', '코미팜', '안트로젠', '안트로젠', '피씨엘', '부광약품', '피씨엘', '부광약품', '부광약품', '파미셀', '씨젠', '마크로젠', '파미셀', '신라젠', '신라젠', '파미셀', '씨젠', '신풍제약', 'EDGC', 'SK케미칼', '보령제약', '진매트릭스', 'EDGC', '진원생명과학', '부광약품', '씨젠', '신풍제약', '신풍제약', '체시스', '씨젠', '파미셀', '수젠텍', '씨젠', '파미셀', '파미셀', '텔콘RF제약', '화일약품', '한프', '테라젠이텍스', '랩지노믹스', '엔지켐생명과학', '피씨엘', '한국테크놀로지', '엔지켐생명과학', '진매트릭스', '파미셀', '수젠텍', 'EDGC', '코미팜', '씨젠', '코미팜', '마크로젠', '코미팜', '진원생명과학', 'EDGC', '아이스크림에듀', '녹십자랩셀', '화일약품', 'SV인베스트먼트', '알서포트', '텔콘RF제약', '랩지노믹스', '미코', '랩지노믹스', '미코', '씨젠', '바이오니아', '코미팜', 'KTB투자증권', '모나리자', '깨끗한나라', '오공', '케이엠', '국제약품', '백광산업', '바디텍메드', '진매트릭스', '진원생명과학', '진양제약', '씨젠', '코미팜', '한성기업', '진매트릭스', '웰크론', '깨끗한나라', '모나리자', '미코', '동방', '오공', '신풍제약', '랩지노믹스', '진원생명과학', '랩지노믹스', '씨젠', '메가스터디교육', '대상', '씨젠', '이화전기', '신풍제약', '대성미생물', '진바이오텍', '랩지노믹스', '수젠텍', '바이오니아', '삼성전자', '모나리자', '깨끗한나라', '오공', '케이엠', '국제약품', '백광산업', '바디텍메드', '진매트릭스', '피씨엘', '한양증권', '모나리자', '웰크론', '오공', '오공', '웰크론', '모나리자', '한국유니온제약', '에스티팜', '카카오', '수젠텍', '수젠텍', '피씨엘', '셀트리온', '신풍제약', '한진칼', '씨젠', '미코', '씨젠', '미코', '씨젠', 'MH에탄올', '한국알콜', '모나리자', '일양약품', '씨젠', '미코', '미코', '씨젠', '지노믹트리', '씨젠', '씨젠', '지노믹트리', '씨젠', '모나리자', '진원생명과학', '한국알콜', 'MH에탄올', '비상교육', '메가엠디', '아이스크림에듀', '진원생명과학', '신풍제약', '셀트리온헬스케어', '에이치엘비', '메디톡스', '휴젤', '우수AMS', '뉴로스', '유니크', '오공', '웰크론', '모나리자', '씨젠', '케이엠더블유', '원익IPS', '오공', '모나리자', '웰크론', '케이엠', '깨끗한나라', '씨젠', '웰크론', '모나리자', 'MH에탄올', '한국알콜', '모나리자', '파루', '케이엠', '케이엠', '국제약품', '모나리자', '웰크론', '오공', '바디텍메드', '깨끗한나라', '동구바이오제약', '키움증권', '동구바이오제약', '수젠텍', '오공', '모나리자', '깨끗한나라', '웰크론', '메디앙스', '녹십자엠에스', '오공', '케이엠', '케이엠제약', '맥스로텍', '엘컴텍', '제일바이오', '이글벳', '중앙백신', '제일바이오', '씨티씨바이오', '케이엠제약', '크린앤사이언스', '웰크론', '오공', '모나리자', '케이엠', '웰크론']"
9,방탄소년단,['디피씨']
