,Theme,Company
0,방탄소년단,"['키이스트', '넷마블', '디피씨', '드림어스컴퍼니', '손오공', ‘브이티지엠피', '엘비세미콘', '초록뱀']"
1,5G,"[‘케이엠더블유’, ’오이솔루션', '대한광통신', 'RFHIC', 'NHN한국사이버결제', '쏠리드', '전파기지국', '알에프텍']"
2,보톡스,"['제테마', '휴젤', '메디톡스', '휴온스글로벌', '대웅제약']"
3,마스크,"['레몬', '케이엠', '오공', '모나리자', '깨끗한나라', '웰크론', '쌍방울']"
4,원격진료,"[‘인성정보’, ’유비케어’, '비트컴퓨터', 'JW중외제약', '테라젠이텍스', 'SK케미칼', '나노엔텍', '인피니트헬스케어', '소프트센', '녹십자홀딩스', '파마리서치프로덕트', '케어랩스', '유비쿼스']"
5,,
6,,
7,생체인식,"['젬백스링크', '젬백스', '슈프리마', '동운아나텍', '코렌', '해성옵틱스', '드림텍', '에프에스티', '퍼스텍', '드림시큐리티', '멜파스']"
8,키오스크,"['윈스', '씨아이테크', '한네트', '비티원', '케이씨티', '케이씨에스', '푸른기술', 'SGA솔루션즈']"
9,,
10,,
11,,
12,기생충,"['바른손이앤에이', '바른손', '지엔코', ‘큐캐피탈’, '덱스터']"
13,희토류,"['유니온머티리얼', ‘혜인', '유니온', '티플랙스', '포스코엠텍', '태경산업']"
14,진단키트,"['씨젠', '수젠텍', '피씨엘', '휴마시스', '랩지노믹스', '바이오니아']"
15,여행,"['노랑풍선', '하나투어', '롯데관광개발', '참좋은여행', '인터파크', '세중']"
16,,
17,2차전지,"['천보', '피엔티', '에코프로비엠', ‘유에스티', ‘디에이테크놀로지’, ’피앤이솔루션’, '에이에프더블류', '일진머티리얼즈', '코스모신소재']"
18,방역진단,"['수젠텍', '랩지노믹스']"
19,,
20,비료,"['KG케미칼', '카프로', '우진비앤지', '체시스', '조비', '효성오앤비']"
21,,
22,해저터널,"['특수건설', '동아지질', '부산산업', 'KT서브마린', '세명전기']"
23,자동차부품,"['효성첨단소재', '재영솔루텍', '아진산업', '캐스텍코리아', '인탑스', '세원', '대원산업', '티피씨글로벌', '대동금속', '동아화성', '대동기어', '일지테크', '화천기계', '우수AMS', '유니테크노', '센트랄모텍', '현대공업', '대우부품']"
24,자율주행차,"['드림텍', '칩스앤미디어', '모바일어플라이언스', '팅크웨어', '라닉스', '코리아에프티', '대성엘텍', '모트렉스', '로스웰']"
25,키즈,"['토박스코리아', '제로투세븐', '오로라', '손오공', '삼성출판사']"
26,LED,"['유양디앤유', '서울바이오시스', '파커스', '루멘스', '프로텍', '기가레인', '빛샘전자', '유테크', '아이엘사이언스', '루미마이크로', '아시아경제', '삼성전기', '우리이앤엘', '한미반도체', '엘디티', 'GV', '티씨케이', '큐에스아이', '서울반도체', '일진디스플', '금호전기', 'LG이노텍', '이오테크닉스', '네온테크', '금호에이치티', '티에스이', '에스모', '엘컴텍', '미래컴퍼니', '삼진엘앤디']"
27,세포치료제,['녹십자랩셀']
28,폭염,['파세코']
