,contents
0," 필리핀 관광부는 최근 세계적인 여행 잡지인 콩데 나스트 트래블러(CNT)가 뽑은 세계에서 가장 아름다운 해변 Best 30에 팔라완 엘니도의 히든 비치가 선정되었다고 24일 밝혔다.필리핀 팔라완 엘니도의 히든 비치의 절경CNT 매거진은 이번 발표는 이미 관광객들에게 잘 알려진 곳 보다, 포스트 코로나 시대의 여행 트렌드에 맞추어, 상대적으로 덜 알려져 많은 관광객으로부터 자유로울 수 있는 여행지 위주로 선정했다고 밝혔다.팔라완 엘니도의 히든 비치또한 히든 비치의 선정 이유로, 이름처럼 더 이상 숨겨진 장소가 아닌, 세계적으로 인정받는 아름다운 해변이 되었다고 말하며, 터키색 라군을 둘러쌓고 있는 아름다운 라임 스톤 절벽들과 고운 모래 사장이 인상적인 곳이라고 언급했다.팔라완 엘니도의 히든 비치 카약 놀이필리핀 관광부 베르나데트 로물로 푸얏 장관은, “세계적으로 권위 있는 CNT매거진이 발표한 ‘세계에서 가장 아름다운 해변 Best 30부문에, 필리핀의 해변이 선정되어 영광스럽게 생각한다”면서 “전 세계인들이 팬데믹 이후, 자유롭게 떠나는 여행을 간절히 바라고 있는 만큼, 숨겨진 보석 같은 여행지에 대한 이번 CNT의 발표가 전 세계인들의 여행 버킷 리스트로 필리핀을 고려하는 데 큰 도움이 될 것”이라고 말했다"
1," 탄소나노튜브(CNT) 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면, 금호석유의 퀀트 재무 점수는 39.62점으로 탄소나노튜브(CNT) 관련 다른 종목 평균 보다 안정성과 수익성 점수가 높아, 테마 내에서 1위를 차지했다. 이는 재무적인 측면에서 금호석유의 대내외 경제환경 변화에 대한 대응 능력과 효율적인 수익창출 능력이 테마 내 다른 종목에 비해 양호함을 알 수 있다.[표] 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율, 자기자본증가율, 부채비율, 유동비율, ROA, ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 아경봇 기자"
2,- 증설 완료 시 ‘탄소나노튜브’ 생산능력 1700톤   [디지털데일리 
3," LG화학이 꿈의 소재로 불리는 탄소나노튜브(Carbon Nanotube) 시장 공략에 적극 나선다.LG화학은 27일 내년 1분기까지 약 650억원을 투자해 여수공장에 탄소나노튜브(CNT) 1천200톤을 증설한다고 밝혔다. 증설이 완료되면 LG화학은 기존 500톤과 합쳐 총 1천700톤의 생산능력을 확보하게 된다.탄소나노튜브는 전기와 열 전도율이 구리 및 다이아몬드와 동일하고 강도는 철강의 100배에 달하는 차세대 신소재다. 기존의 소재를 훨씬 뛰어 넘는 특성 때문에 배터리, 반도체, 자동차 부품, 항공기 동체 등에 폭넓게 쓰인다.LG화학은 이번 증설 배경과 관련해 글로벌 전기차 시장 성장과 더불어 최근 리튬이온배터리의 양극 도전재 용도로 급성장하는 탄소나노튜브 시장을 공략하기 위한 것이라고 말했다.도전재는 전기 및 전자의 흐름을 돕는 소재로 소형 및 중대형 리튬이온배터리 전반의 첨가제로 쓰인다. 특히 니켈, 코발트, 망간 등의 활물질로 구성된 양극재 내에서 리튬이온의 전도도(Conductivity)를 높인다.탄소나노튜브를 양극 도전재로 사용하면 기존의 카본블랙 대비 약 10% 이상 높은 전도도를 구현해 도전재 사용량을 약 30% 줄이고, 그 공간을 필요한 양극재로 더 채워 리튬이온배터리의 용량과 수명을 늘릴 수 있다.이러한 특성 때문에 글로벌 전기차 시장을 중심으로 탄소나노튜브 수요는 지난해 3천톤 규모에서 2024년 1만3천톤 규모로 연평균 34%의 폭발적인 성장세를 기록할 것으로 전망되고 있다. LG화학은 탄소나노튜브를리튬이온배터리에 적극 적용해 제품 경쟁력을 더욱 강화한다는 방침이다.이와 함께, 북미, 유럽, 중국 등 글로벌 IT소재 업체 및 완성차 업체를대상으로 판매 규모를 점차 늘려 나갈 계획이며 2022년에는 추가적인 증설도 검토할 예정이다. 이번 투자를 통해 LG화학은 석유화학 분야에서 추진 중인 차별화된 기술 기반의 제품구조 고도화 전략에 더욱 박차를 가할 수 있게 됐다.LG화학은 2011년 탄소나노튜브 독자기술 개발을 위한 R&D에 본격 착수해 2013년 20톤 규모의 파일럿 양산 라인을 구축했다. 2014년에 전지용 소재 및 전도성 컴파운드 제품을 개발했고, 현재 탄소나노튜브 관련 분야에서만 약 250여건 이상의 특허를 보유하고 있다.유동층 반응기를 통해 대량 생산체제를 구축, 기존의 분말형태에서 고객이 사용하기 편한 압축형태까지 다양한 탄소나노튜브 제품을 통해 시장을 적극 공략하고 있다. 또 발열갱폼(Gang Form: 공사용 대형 거푸집), 고압 케이블 피복 내부의 반도전층 등 다양한 신(新)용도를 개발해 시장에 상용화시킬 계획이다.노국래 석유화학사업본부장은 ""글로벌 소재 경쟁에서 살아남기 위해서는 차별화된 기술력과 제품으로 시장을 선도해야 된다""며 ""향후 탄소나노튜브를 비롯해 차세대 고부가 소재 분야에서도 독자기술 및 양산 경험을 바탕으로 압도적인 시장선도 업체가 될 것""이라고 말했다.이영웅기자"
4,"- 테슬라 의존도 높은 파나소닉, 2위로 밀려   [디지털데일리 "
5,"일반 소비자가 집에서 냉찜질 또는 온찜질 등의 케어를 하기에는 많은 불편함이 있다. 찜질기를 이용하더라도 무겁고 번거로운 경우가 많고, 사용하고자 하는 부위에 제대로 밀착되지 않아 병원이나 전문점에서 느끼는 냉온케어 느낌을 받기 쉽지 않다.  이에 개인용 쿨링 솔루션 전문 브랜드 ‘써지쿨(Surgecool)’이 집에서 손쉽게 전문 냉온케어를 즐길 수 있는 CNT2GO를 출시했다. 써지쿨 ‘CNT2GO’는 집에서도 손쉽게 쿨링(Cooling)과 히팅(Heating)을 할 수 있는 냉온케어 제품으로 얼굴이나 팔, 무릎, 손목 등 원하는 신체부위에 딱 맞게 사용이 가능하다. 써지쿨 ‘CNT2GO’는 원하는 온도의 물을 유체 순환시스템을 통해서 웨어러블 애플리케이션에 골고루 공급하는 원리로 기능에 최적화된 인체공학적 어플리케이션을 통해 신체부위별로 사용가능한 것이 특징이다.  쿨링케어를 원한다면 ‘CNT2GO’에 냉수를 담아 사용하면 된다. 간편하게 냉수만 부어준다면 15도 이하로 60분 동안 지속으로 사용이 가능하다. 간편한 쿨링케어를 통해 몸에 열이 많은 부위를 시원하게 해줄 뿐 아니라 낮은 온도로 꾸준히 유지가 되기 때문에 피부진정, 부기 완화 등의 미용용도부터 운동 후 아이싱 효과까지 다양하게 사용이 가능하다. 반대로 ‘CNT2GO’에 온수를 담아 사용한다면 30분 이상 지속적으로 히팅케어를 할 수 있다. 온찜질을 위한 수건이나 다른 준비 필요 없이 온수만 담아 넣으면 되기 때문에 관절이나 부기가 올라온 부위 등 필요한 부위에 간편하게 온찜질을 할 수 있다. 마찬가지로 신체부위에 맞는 애플리케이션 사용을 통해서 어깨나 무릎, 팔꿈치 등에 제대로 된 찜질효과를 받을 수 있다. 써지쿨 관계자는 “기존 소비자들이 집에서 냉온케어를 즐기기 위해서는 많은 시간과 준비가 필요해 불편함이 컸고 착용시 움질일 수 없는 단점으로 인해서 사용빈도가 낮았다. 하지만 ‘CNT2GO’는 냉수 또는 온수만 부어주면 간편하게 사용할 수 있기 때문에 손쉽게 냉온케어를 소비자들이 즐길 수 있다”고 전했다"
6," 의료용 라텍스 장갑의 소재와 자동차 타이어용 합성고무 등을 생산하는 금호석유화학이 신종코로나바이러스감염증(코로나19) 사태에도 불구하고 지속적인 성장세를 보이고 있다.실적 견인의 효자 품목은 NB라텍스 부문이다. 코로나19 사태 장기화로 전세계적으로 일상 속 감염에 대한 경각심이 고조되며 라텍스 장갑과 같은 개인 위생 관련 용품에 대한 관심과 수요도 높아진 덕분이다. 금호석유화학은 NB라텍스 부문의 성장세를 이어가기 위해 장갑의 경량화 및 화학적 안정성을 향상할 수 있는 생산공정 개발에 전력을 쏟는 중이다. 또 장시간 작업에도 용이한 제품을 개발하기 위해 내구성과 기계적 강도를 향상시키는 연구도 진행하고 있다.자동차 타이어용 합성고무도 금호석유화학 포트폴리오의 한 축을 담당하는 주력 제품이다. 금호석유화학 고무연구부문에서는 자동차ㆍ타이어 등 전방 산업에서의 점진적인 수요 회복에 대비해 타이어의 기계적 강도와 연비를 향상시키는 연구를 진행하고 있다. 이 밖에도 전기자동차 시대를 맞아 배터리 무게가 더해진 차체의 하중을 견디고 내마모성과 연비까지 향상시킬 수 있는 고 기능성 합성고무 제품을 개발해 새로운 시장에 대비하고 있다. 미래 주거의 형태로 에코하우스가 각광받는 등 고효율 에너지의 활용이 선택이 아닌 필수가 되면서 금호석유화학은 업계 최저 수준의 고효율 단열 제품으로 향후 수요 증대에 미리 대비할 계획이다. 또 소재의 경량화와 안전성을 핵심 과제로 설정하고 자동차 내장재, 가전제품 등을 중심으로 해당 연구를 진행하고 있으며, 중장기적으로는 엔지니어링 플라스틱 시장에서의 포트폴리오 구성을 계획하고 있다.이와함께 금호석유화학의 탄소나노튜브(CNT) 연구 부문은 타이어용 기능성 고무 복합소재, 방열 및 전자파 차폐용 수지 복합소재 등 기존 금호석유화학 주력 제품과의 융ㆍ복합 소재를 개발해 사용자의 편의를 도모할 예정이다. CNT는 가벼우면서도 높은 강도를 가져 금속 등을 대체할 수 있는 소재로서 주목받고 있는데, 이러한 특성이 기존 합성고무ㆍ합성수지 소재 특성과 결합되면 소재 활용도를 크게 높일 수 있을 것으로 예상된다. 주요 화학계열사들의 연구도 활발히 진행되고 있다. 금호피앤비화학은 올해 김포학운단지를 중심으로 고부가 에폭시(Epoxy) 제품 연구를 강화하며 포트폴리오 다변화를 가속화 하고 있다. 페놀ㆍ아세톤 등을 비롯한 기초원재료의 추가적인 활용 및 고부가가치화를 통해 새로운 시장을 개척하는 방안을 추진 중이다.박소연 기자"
7," 탄소나노튜브(CNT) 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면, 상보의 퀀트 재무 점수는 0.92점으로 탄소나노튜브(CNT) 관련 다른 종목 평균 보다 안정성과 수익성, 성장성 점수가 모두 낮은 편이다. 이는 재무적 측면에서 상보가 다른 종목 대비 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 금호석유는 다른 종목 평균 대비 높은 안정성과 수익성 점수로 퀀트 재무 순위 1위를 차지했다.[표] 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율, 자기자본증가율, 부채비율, 유동비율, ROA, ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 아경봇 기자"
8," 겨울과 봄이 교차하는 환절기에는 실내온도를 쾌적하게 유지하여도 개인마다 추위와 더위를 느끼는 부분은 다르다. 스트레스로 인해 두피에 열이 많이 나거나 얼굴이 붉어진 경우, 더위를 많이 타서 땀을 많이 흘리지만 손과 배는 차가워 불편함을 호소하는 경우도 그렇다. 이 경우에는 간헐적으로 차갑거나 따뜻하게 관리해주는 것만으로도 신체 밸런스를 조절하고 피로 회복과 스트레스 완화에 도움을 줄 수 있다.이에 개인용 쿨링 솔루션 전문 브랜드 ‘써지쿨(Surgecool)’이 집에서도 간편하게 즐길 수 있는 웨어러블 냉온케어 ‘CNT2GO’를 출시했다고 밝혔다.‘써지쿨 CNT2GO’는 쿨링(Cooling)과 히팅(Heating)을 한 번에 할 수 있는 2in1 홈헬스케어 제품으로 원하는 온도의 물을 유체 순환시스템을 통해 웨어러블 어플리케이션에 골고루 공급하여 원하는 부위에 냉온케어를 할 수 있는 제품이다. 온, 오프와 유속을 원 버튼으로 컨트롤할 수 있으며, 3,000mAh 대용량 배터리를 적용해 오랜 시간 사용할 수 있고 USB 충전도 가능하다.쿨링 케어는 CNT2GO에 냉수를 담아 열이 많은 두피와 얼굴, 땀이 많이 나는 등을 시원하게 관리해준다. 15도 이하에서 60분 지속 쿨링 효과로 붓기 완화, 피로회복, 모공축소, 피부 진정에 도움을 준다. 반면에 40도 이상의 온수를 CNT2GO에 넣으면 30분 지속 히팅 케어를 할 수 있다. 관절부위나 차가운 배에 착용하면 붓기 관리 및 온열 효과로 뭉친 근육도 풀 수 있다.특히 웨어러블 어플리케이션은 얼굴, 가슴, 관절, 두피, 다용도 등 인체공학적 디자인으로 신체에 밀착이 최적화되어 있어 착용 후에도 이동과 움직임이 자유롭고 사이즈 조절이 가능하다.써지쿨 관계자는 “족욕기, 허리찜질기, 얼음팩 등 시중에 냉온케어 제품들이 많이 나왔지만 사용시 불편함과 착용 시 움직일 수 없는 단점으로 사용의 빈도가 낮다”며, “‘집에서 매일 하는 냉온 케어’를 슬로건으로 출시한 CNT2GO는 매일 피곤한 일상에서 냉온케어를 통해 피로 회복과 건강관리를 도움을 주는 제품으로 앞으로도 ‘온도의 가치’에 만족할 수 있도록 제품 연구 및 개발에 최선을 다할 것”이라고 전했다.써지쿨 CNT2GO에 대한 보다 자세한 사항은 써지쿨 공식몰을 통해 확인할 수 있다"
9,"염소 생산용 새로운 촉매를 개발한 주상훈 교수팀(왼쪽부터 곽상규 교수, 정관영 박사, 주 교수, 임태정 연구원)살균, 소독 등에 연 7500만톤을 사용하는 세계 10대 화학물질 '염소(Cl2)'를 저렴하게 생산할 수 있는 길이 열렸다.울산과학기술원(UNIST·총장 이용훈)은 주상훈·곽상규 UNIST 에너지 및 화학공학부 교수팀이 염소 발생량을 크게 높일 수 있는 새로운 전기화학 촉매(Pt₁/CNT)를 개발했다고 21일 밝혔다.기존 상용 촉매는 루테늄(Ru)과 이리듐(Ir) 같은 귀금속을 다량 포함한 산화물이라 비싸다. 염소 이온 농도가 낮은 조건이나 중성 pH 환경에서 염소뿐만 아니라 산소까지 발생해 염소 생산효율이 떨어졌다.주 교수팀은 이러한 원인이 '금속산화물 기반 촉매'의 본질적 특성에 있다는데 착안해 다른 촉매를 개발, 문제를 해결했다. 탄소나노튜브(CNT) 위에 질소(N) 원자 4개로 둘러싸인 백금(Pt) 원자가 고르게 분산된 형태의 단원자 분산 촉매(Pt₁/CNT)다.새로운 염소발생 촉매의 투과전자현미경 사진과 활성점 모식도.기존 촉매보다 귀금속 함량은 150배나 적지만 촉매 표면에 금속이 드러나 있어 염소 발생 효율은 훨씬 높다. 바닷물처럼 염소 이온을 많이 포함하거나 반대로 염소 이온 농도가 낮은 다양한 조건에서 염소 생산 효율을 높일 수 있다.주상훈 교수는 “새로운 단원자 촉매는 지난 50년간 이어온 귀금속 산화물계 촉매 사용 패러다임을 바꿀 새로운 개념의 촉매”라며 “전해질 조성에 크게 영향을 받지 않아 중·소규모 수처리 장치, 선박평형수 처리 등 다양한 분야에 응용할 수 있다”고 말했다.울산=임동식기자"
