,contents
0,"(지디넷코리아=방은주  기자)중소벤처기업부(중기부)와 한국벤처투자(대표 이영민)는 창업투자회사(이하 창투사)의 부당한 투자행위를 예방하기 위해 23일부터 '벤처투자 부당행위 신고센터'를 운영한다고 밝혔다.중기부는 ""최근 벤처투자액 및 펀드 결성액이 증가하면서 벤처투자 업계에 부당행위가 증가할 우려가 있어 선제적으로 벤처투자 부당행위 신고센터를 구축, 벤처 및 창업기업의 부당한 피해를 차단할 계획""이라고 설명했다.중기부와 한국벤처투자는 홈페이지에 온라인 신고체계를 구축하고, 스타트업의 신고 접근성을 높이기 위해 K-Startup(창업넷)에서도 온라인 신고센터를 운영한다.투자 과정에서 부당한 피해를 입은 벤처 및 창업기업은 온라인이나 방문 및 우편을 통해 신고가 가능하다. 피해 신고가 접수되면 중기부 및 한국벤처투자는 서면 및 현장조사 등을 통해 신속하게 사실관계를 확인한다. 만일 부당행위가 확인되면 행정처분(시정명령, 창투사 등록 취소 등)을 하고, 엄중히 처벌할 필요가 있을 때에는 수사기관에 수사도 의뢰할 계획이다.또 벤처, 창업기업이 창투사 등의 부당행위를 쉽게 판단하고 신고할 수 있도록 대표적인 벤처투자 부당행위 사례를 홈페이지에 안내, 부당행위 유형도 확인할 수 있게 했다.중기부는 ""벤처 및 창업기업은 벤처투자 시장에서 협상력이 부족해 투자유치에 어려움을 겪고 있어 투자자와의 관계에서 부당한 위치에 설 수 있다""고 덧붙였다.실제 중기부는 2019년 창투사 정기검사에서 A 창투사가 투자를 조건으로 B 창업기업에 원금 보장을 요구하는 부당행위를 확인한 바 있다.한편 벤처투자액은 2017년 2.3조원, 2018년 3.4조원, 2109년 4.2조원으로 증가했다. 펀드결성액은 2017년 4.5조원, 2018년 4.8조원, 2019년 4.1조원을 기록했다.방은주 기자"
1," 중소벤처기업부(장관 박영선, 이하 중기부)와 한국벤처투자(대표 이영민)는 창업투자회사(이하 창투사)의 부당한 투자행위를 예방하기 위해 3월 23일부터 ‘벤처투자 부당행위 신고센터’를 운영한다고 밝혔다.최근 벤처투자액 및 펀드 결성액이 증가하면서 벤처투자 업계에 부당행위가 증가할 우려가 있어 선제적으로 ‘벤처투자 부당행위 신고센터’를 구축해 벤처·창업기업의 부당한 피해를 차단할 계획이다. 벤처·창업기업은 벤처투자 시장에서 협상력이 부족해 투자유치에 어려움을 겪고 있어 투자자와의 관계에서 부당한 위치에 설 수 있다. 일례로 중기부가 실시한 2019년 창투사 정기검사에서 A 창투사는 투자를 조건으로 B 창업기업에게 원금 보장을 요구하는 부당행위가 확인된 바도 있다.이에, 창투사 관리·감독 권한이 있는 중기부와 한국벤처투자는 홈페이지에 온라인 신고체계를 구축하고, 스타트업의 신고 접근성을 높이기 위해 K-Startup(창업넷)에서도 온라인 신고센터를 운영한다.투자 과정에서 부당한 피해를 입은 벤처·창업기업은 온라인, 방문 및 우편을 통해 신고가 가능하며, 피해 신고가 접수되면 중기부 및 한국벤처투자가 서면·현장조사등을 통해 신속하게 사실관계를 확인하게 된다.이 때 부당행위가 확인되면 행정처분(시정명령, 창투사 등록 취소 등)을 진행하고 엄중히 처벌할 필요가 있을 때에는 수사기관에 수사 의뢰도 요청할 계획이다.아울러 벤처·창업기업이 창투사 등의 부당행위를 쉽게 판단하고 신고할 수 있도록 대표적인 벤처투자 부당행위 사례를 홈페이지에 안내해 부당행위 유형도 확인할 수 있도록 했다.이기운기자"
2," 중소벤처기업부(장관 박영선, 이하 중기부)와 한국벤처투자(대표 이영민)가 창업투자회사(이하 창투사)의 부당한 투자행위를 예방하기 위해 3월 23일부터 ‘벤처투자 부당행위 신고센터’를 운영한다고 밝혔다.최근 벤처투자액 및 펀드 결성액이 증가하면서 벤처투자 업계에 부당행위가 증가할 우려가 있어 선제적으로 ‘벤처투자 부당행위 신고센터’를 구축해 벤처·창업기업의 부당한 피해를 차단할 계획이다.벤처·창업기업은 벤처투자 시장에서 협상력이 부족해 투자유치에 어려움을 겪고 있어 투자자와의 관계에서 부당한 위치에 설 수 있다.일례로 중기부가 실시한 2019년 창투사 정기검사에서 A 창투사는 투자를 조건으로 B 창업기업에게 원금 보장을 요구하는 부당행위가 확인된 바도 있다.이에 창투사 관리·감독 권한이 있는 중기부와 한국벤처투자는 홈페이지에 온라인 신고체계를 구축하고 스타트업의 신고 접근성을 높이기 위해 K-Startup(창업넷)에서도 온라인 신고센터를 운영한다.투자 과정에서 부당한 피해를 입은 벤처·창업기업은 온라인, 방문 및 우편을 통해 신고가 가능하며 피해 신고가 접수되면 중기부 및 한국벤처투자가 서면·현장조사 등을 통해 신속하게 사실관계를 확인하게 된다.이 때 부당행위가 확인되면 행정처분(시정명령, 창투사 등록 취소 등)을 진행하고 엄중히 처벌할 필요가 있을 때에는 수사기관에 수사 의뢰도 요청할 계획이다.아울러 벤처·창업기업이 창투사 등의 부당행위를 쉽게 판단하고 신고할 수 있도록 대표적인 벤처투자 부당행위 사례를 홈페이지에 안내해 부당행위 유형도 확인할 수 있도록 했다.[기사제보"
3," 주요 주주의 특수관계인 거래, 임직원에 대한 대출한도 초과 등 중소기업 창업지원법을 위반한 중소기업창업투자회사 8곳이 행정처분을 받았다.중소벤처기업부는 작년 58개 창투자에 대해 정기검사를 실시해 8곳의 위반사항을 적발하고 조치했다고 27일 밝혔다. 이번 정기검사는 138개 창투사(2018년 말 등록 기준) 가운데 신규 등록사를 제외하고 정기검사 주기를 맞은 58곳을 대상으로 이뤄졌다. 관련 법 위반 사실이 드러난 8곳 가운데 6곳은 시정명령을, 4곳(2곳 중복)은 경고를 받았다. 이들 업체의 위반 사항에는 특수관계인 거래 위반과 임직원 대출한도 초과뿐만 아니라 투자계약서 외 이면합의도 있었다. 중기부는 이 가운데 과거 정기검사에서도 적발된 사안을 다시 위반한 1곳에 대해서는 등록취소 절차에 나설 방침이다. 중기부는 적발된 창투사의 행정처분 내역을 홈페이지에 공개하고 이들 업체가 모태펀드 출자사업에 선정될 때 불이익을 줄 계획이다. 올해는 70여개 창투사에 대한 정기검사에 나선다. 중기부 관계자는 “투자시장의 건전성 확보는 벤처생태계가 건강하게 성장할 수 있는 중요한 지표 중 하나”라며 “시장의 투자재원이 창업기업과 벤처기업으로 원활하게 공급되도록 철저하게 관리감독하겠다”고 말했다. /양종곤기자"
4,"중소벤처기업부는 중소기업창업투자회사(이하 창투사) 58개 업체를 대상으로 2019년 정기검사를 실시한 결과 법령을 위반한 8개사에 대해 행정처분을 부과했다고 27일 밝혔다.박영선 중기부 장관.중기부는 중소기업창업 지원법 제40조에 근거해 매년 창투사의 법령 위반 여부를 점검하고 있다. 최근 벤처펀드 운용 규모 증가 추세에 따라 지난해부터 관리감독을 강화하기 위해 창투사별 검사주기를 과거 3년에서 2년으로 단축했다.2019년 정기검사는 2018년 말 기준 등록 창투사 138개 업체 중 신규 등록 창투사 등을 제외하고, 검사주기에 해당하는 58개 창투사를 대상으로 중소기업창업 지원법령 위반 여부를 점검했다. 법령을 위반한 8개사 중 6개사에 대해 시정명령을, 4개사에 대해서는 경고를 부과(2개사 중복)했다.주요 위반유형으로는 주요주주(또는 출자자)의 특수관계인과 거래, 창투사 임직원에 대한 대출한도 5000만원 초과, 투자계약서 외 이면합의 등으로 확인됐다. 또 위반한 창투사 중 한 곳은 과거 정기검사에서 위반한 사항을 반복적으로 위반해 등록취소 절차를 진행할 계획이라고 밝혔다.창투사에 부과된 행정처분 내역은 2년간 홈페이지를 통해 공시하고 있다. 해당 창투사는 위반의 정도에 따라서 모태펀드 출자사업 선정 시 불이익을 받고, 일정 기간 동안 시정명령을 이행하지 않을 경우 등록 취소 등의 추가 조치도 할 수 있다.중기부 관계자는 “투자시장의 건전성 확보는 벤처생태계가 건강하게 성장할 수 있는 중요한 지표 중 하나”라면서 “금년에도 전년 대비 약 20% 증가한 70여개의 창투사를 대상으로 정기검사를 실시하고, 시장의 투자재원이 창업·벤처기업에 원활하게 공급될 수 있도록 창투사 관리감독에 만전을 기할 것”이라고 밝혔다.성현희기자"
5," 중소벤처기업부는 중소기업창업투자회사(이하 창투사) 58개를 대상으로 지난해 정기검사를 실시한 결과, 법령을 위반한 8개사에 대해 행정처분을 부과했다고 27일 밝혔다.중기부는 중소기업창업지원법 제40조에 근거해 매년 창투사의 법령 위반 여부를 점검하고 있다. 최근 벤처펀드 운용규모의 증가 추세에 따라 지난해부터는 관리감독을 강화하기 위해 창투사별 검사주기를 3년에서 2년으로 단축했다.이번 정기검사는 2018년 말 기준 등록 창투사 138개 중 신규 등록 창투사 등을 제외하고, 검사주기에 해당하는 58개 창투사를 대상으로 중소기업창업지원법령 위반 여부를 점검했다. 법령을 위반한 8개사 중 6개사에 대해서는 시정명령을, 4개사에 대해서는 경고를 부과(2개사 중복)했다.주요 위반유형으로는 주요주주(또는 출자자)의 특수관계인과 거래, 창투사 임직원에 대한 대출한도(5000만원) 초과, 투자계약서 외 이면합의 등으로 확인됐다. 또 위반한 창투사 중 1개 창투사는 과거 정기검사에서 위반한 사항을 반복적으로 위반해 등록취소 절차를 진행할 계획이라고 밝혔다.창투사에 부과된 행정처분 내역은 2년간 홈페이지를 통해 공시하고 있다. 해당 창투사는 위반의 정도에 따라서 모태펀드 출자사업 선정 시 불이익이 부과되고, 일정 기간 동안 시정명령을 이행하지 않을 경우 등록 취소 등의 추가 조치도 할 수 있다중기부 관계자는 ""투자시장의 건전성 확보는 벤처생태계가 건강하게 성장할 수 있는 중요한 지표 중 하나""라며 ""올해에도 전년 대비 약 20% 증가한 70여개의 창투사를 대상으로  정기검사를 실시하고, 시장의 투자재원이 창업·벤처기업에 원활히 공급될 수 있도록 창투사 관리감독에 만전을 기할 것""이라고 말했다.김대섭 기자"
6," 디스플레이 및 일반 조명 생산업체인 금호전기는 지난 5일 디랩벤처스의 주식 600만주(지분율 47.5%)를 30억원에 취득하는 주식 양수도 계약을 체결했다고 8일 밝혔다. 디랩벤처스는 신생 창업투자회사로 최근 275억원 규모의 ‘콘텐츠유니콘일자리벤처펀드’를 결성한 바 있다. 지역 콘텐츠 분야에 투자를 집중함과 동시에 중국 ‘사이버넛투자그룹’과 파트너쉽을 맺고 국내외 유망 기업을 활발히 발굴하고 있다.금호전기는 오는 7월 29일 예정된 임시주주총회에서 신규사업 목적을 추가할 예정이다.회사 관계자는 ""기존 사업의 실적 개선과 신규 성장 동력 발굴을 위해 창투사 투자를 결정했다”며 ""수소 및 신재생 에너지 분야의 유망한 회사에 투자해 새로운 재도약의 발판을 마련하고자 한다"" 고 말했다. 김건우 기자"
7,"디스플레이 및 일반 조명 생산업체인 금호전기가 창투사 디랩벤처스의 지분을 인수하며 신사업인 수소 및 신재생 에너지 시장에 진출한다.금호전기는 지난 5일 디랩벤처스의 지분 600만주(지분율 47.5%)를 30억원에 취득하는 주식 양수도 계약을 체결했다고 공시했다. 디랩벤처스는 신생 창업투자회사로 최근 275억원 규모의 '콘텐츠유니콘일자리벤처펀드'를 결성한 바 있다. 지역 콘텐츠 분야에 투자를 집중함과 동시에 중국 '사이버넛투자그룹'과 파트너쉽을 맺고 국내외 유망 기업을 활발히 발굴하고 있다.금호전기는 오는 7월 29일 예정된 임시주주총회에서 신규사업 목적을 추가할 예정이다.회사 관계자는 ""기존 사업의 실적 개선과 신규 성장 동력 발굴을 위해 창투사 투자를 결정했다""며 ""수소 및 신재생 에너지 분야의 유망한 회사에 투자해 새로운 재도약의 발판을 마련하고자 한다""고 밝혔다.[고득관 기자"
8,"중소벤처기업부는 중소기업 창업투자회사 58개사를 대상으로 정기검사를 하고 법령을 위반한 8개사에 대해 행정처분을 내렸다고 27일 밝혔다.    법령을 위반한 8개사 중 2개사는 시정명령과 경고를 모두 받았고, 4개사는 시정명령, 2개사는 경고를 각각 받았다.     이 중 1개사는 과거 정기검사에서 위반한 사항을 반복적으로 위반해 등록취소 절차를 진행할 계획이라고 중기부는 밝혔다.     주된 위반 유형은 주요 주주의 특수 관계자와의 거래, 창업투자회사 임직원에 대한 대출한도 초과, 투자계약서 외 이면 합의 등이다.중소벤처기업부[연합뉴스 자료사진]    중기부는 2년마다 창업투자사들의 법령 위반 여부를 점검해오고 있다.     창업투자사들에 부과된 행정처분 내용은 2년간 온라인에 공시된다.     위반 정도에 따라 모태펀드 출자사업 선정 시 불이익을 받을 수 있고, 일정 기간 시정명령을 이행하지 않으면 등록이 취소될 수 있다.   "
9,"중기부, 제정안 입법예고…8월 시행액셀러레이터·SPAC 보유 전면 허용초기 단계부터 M&A 후속 투자까지 가능게티이미지뱅크앞으로 창업투자회사가 사모펀드 전담 운용사를 보유할 수 있게 된다. 초기 단계에 투자한 기업에 대한 후속 투자도 제한이 없어진다. 창투사에 유망 기업의 인수합병(M&A)을 위한 기업인수목적회사(SPAC)와 해외 투자 목적의 해외법인 설립을 허용하는 등 8월부터는 창투사 자체로 초기 투자부터 후속·M&A 투자까지 일관된 지원 체계를 꾸릴 수 있게 된다. 벤처투자 시장에 경계선이 없어진다.중소벤처기업부는 이 같은 내용을 담은 '벤처투자 촉진에 관한 법률' 시행령 및 시행규칙 제정안을 오는 5월 6일까지 입법예고한다고 25일 밝혔다. 벤처투자법에 따른 후속 입법 절차가 5월이면 완전히 마무리돼 8월 12일부터 시행에 들어간다.이번 시행령 및 시행규칙에는 창투사가 창업·벤처기업, 금융투자회사와는 완전히 다른 독자 산업 영역으로 성장할 수 있도록 지원하는 내용이 담긴다. 8월 이후부터 창투사 중심의 초기 창업 육성과 보육을 위한 액셀러레이터, 성장 단계 지원을 위한 사모 전문 운용사 등을 모두 갖춘 벤처투자전문 그룹 체제가 탄생할 수 있는 계기가 될 것으로 전망된다.정부는 창투사가 투자·보육 영역에서 역할을 더 확대할 수 있도록 액셀러레이터, SPAC 등 보유를 전면 허용한다. 전문사모운용사와 해외 진출 등에 필요한 투자목적 해외법인 역시 보유할 수 있다.동일 기업에 대한 후속 투자도 완전히 개방하기로 했다. 기존 법 아래서는 기업에 일정 규모 이상을 투자할 경우 벤처펀드와 투자기업이 특수관계로 묶여 후속 투자가 불가능했다. 이번 조치를 통해 창투사 자회사 액셀러레이터가 발굴한 기업을 창투사, 전문사모운용사, SPAC 등이 연속 투자해서 스케일업 기업으로 키우는 것이 가능해지는 셈이다. 벤처펀드의 경영지배목적 보유 기간도 폐지된다.창투사의 개인투자조합 결성도 허용했다. 이보다 앞서 법률 제정안에 담긴 액셀러레이터의 벤처펀드 결성 허용과 더불어 다양한 투자 전략이 가능해질 것으로 전망된다. 액셀러레이터를 겸영하는 창투사와 유한회사형 벤처캐피털(LLC)은 개인투자조합을 결성할 수 있다. 액셀러레이터 역시 펀드 결성 금액의 1% 이상을 출자할 경우 벤처펀드를 결성할 수 있도록 세부 요건을 정했다.벤처투자 방식도 다양해질 것으로 보인다. 창업자와 벤처기업에 개별 펀드 결성 금액의 40% 이상을 투자하도록 한 요건을 20%로 크게 낮췄다. 전체 운용 벤처펀드 합산 금액 가운데 40%만 의무투자비율을 충족시키면 된다.벤처펀드 등록을 위한 최소 조성 금액 기준도 30억원에서 20억원으로 낮췄다.중기부 관계자는 “증권사, 자산운용사도 창투사와 함께 벤처펀드를 결성할 수 있고 액셀러레이터에도 벤처펀드 설립을 허용하는 등 투자 참여자 간 경쟁이 가능하도록 했다”면서 “창업 초기 투자부터 후속 성장, M&A 투자까지 시장 수요에 유연하게 대응할 수 있도록 해 다양한 시중 자본이 벤처투자 영역으로 유입될 수 있게 될 것”이라고 설명했다.유근일기자"
