,contents
0,동영상 뉴스     
1," 집단 식중독이 발생해 이른바 ‘햄버거병'으로 불리는 `용혈성요독증후군` 증상을 유발한 경기도 안산의 한 유치원에 대해 경찰이 오늘 압수수색을 했습니다. 경찰은  이 유치원의 CCTV 등을 확보해  감염 원인 등에 대한 조사에 본격 착수했습니다. 이승재 기자입니다. [리포트] 경기도 안산상록경찰서는 오늘 오전, '집단 식중독'이 발생한 유치원에 대해 압수수색을 했습니다. 경찰은 수사관들을 보내 유치원의 CCTV 녹화영상과 급식 관련 자료 등을 확보했습니다. 경찰 관계자는 ""증거인멸에 대한 우려 내용의 고소장이 제출됨에 따라 압수수색을 하게 됐다""고 설명했습니다. 또,""압수수색 형식은 임의제출 형식으로 유치원장이 동의한 사항”이라고 밝혔습니다. 이 유치원 학부모들은 어제, 식품위생법 위반과 업무상과실치상 등의 혐의로 유치원 원장을 고소했습니다. 이들은 사고 원인을 규명해줄 것과 급식 보존식을 일부 보관하지 않은 것에 대해 증거를 인멸 여부를 조사해 달라고 요청했습니다. 이 유치원은 지난 10일 부터의 간식과 점심 등 6건의 '보존식'이 보관되어 있지 않은 사실이 적발됐습니다. 보존식은 식중독 발생 등에 대비해 시설에서 의무적으로 음식 재료를 남겨 144시간 동안 보관하는 것을 말합니다. 한편, `장출혈성대장균감염증` 확진자는 1명이 또 늘어 모두 58명이 됐습니다. 특히, 이른바 '햄버거병'으로 불리는 `용혈성요독증후군` 의심 증상 환자도 1명이 추가돼 16명이 됐고 4명은 여전히 투석 치료를 받고 있습니다. 이번 사건과 관련해  이재정 경기도 교육감은 오늘오전, '간식은 법적으로 보존식에 해당하지 않는다'고 말했다가 논란이 일자 오늘오후 입장을 번복하고 사과했습니다. KBS 뉴스 이승재입니다.이승재 기자 "
2," 집단 식중독이 발생한 경기도 안산 A 유치원 대한 경찰의 압수수색이 종료됐다. 경찰은 압수수색을 통해 유치원 내 CCTV 영상을 확보한 것으로 전해졌다.29일 경찰에 따르면, 안산상록경찰서는 식품위생법 위반, 업무상과실치상 혐의로 A 유치원 원장 B씨를 불구속 입건하고, 이날 오전 10시 20분부터 약 1시간 40분간 해당 유치원 압수수색을 벌였다.이번 압수수색은 방역당국이 A 유치원에서 식중독이 발생한 원인을 찾지 못하는 상황에서 중요 단서가 될 수 있는 '보존식'이 왜 없어졌는지 등을 확인하기 위해 진행됐다.경찰은 유치원 측이 임의제출한 한달 간 분량의 CCTV와 32건의 급식 관련 장부 등을 확보한 것으로 파악됐다. 또 급식 관련 거래처 관련서류도 이번 압수수색 대상에 포함된 것으로 확인됐다.경찰은 현재 A 유치원 설립자이자 원장인 B 씨를 식품위생법 위반 및 업부상과실치상 혐의로 입건한 상태다.앞서 지난 12일 A 유치원의 한 원생이 복통과 설사 등 식중독 증세를 보인 뒤 열흘 넘게 환자 발생이 지속되고 있다. 추가 환자 발생이 계속되면서 피해 원생의 학부모들이 지난 27일 B 원장을 경찰에 고소했다.학부모들은 정확한 식중독 발병 원인 규명조차 되지 않은 상황에서 유치원 측이 문제의 급식 보존식을 일부 보관하지 않은 것에 대해 증거인멸을 한 건 아닌지 사고 원인 규명을 호소하고 있다. 보존식이란 식중독 발생 등에 대비해 집단급식시설에서 의무적으로 음식 재료를 남겨 144시간 동안 보관하는 것을 뜻한다.이와 관련 B 원장은 지난 27일 저녁 학부모들에게 '경위보고 및 사죄문'이라는 제목의 장문의 문자 메시지를 보내 ""급식의 경우에는 보존식으로 보관을 했지만, 저의 부지로 방과후 제공되는 간식의 경우에는 보존식을 보관하지 못했다""는 취지로 해명했다.권준영기자"
3,"29일 오전 10시 30분 부터 낮 12시까지 보존식 보관 안 한 이유 등에 대해 조사자가격리 중인 원장 출석 조율 중식중독이 발생한 경기도 안산시의 한 유치원에서 29일 경찰이 유치원으로부터 임의제출 받은 CCTV 자료 등이 담긴 상자를 차로 옮기고 있다. 연합뉴스집단 식중독이 발생한 경기 안산시 A유치원에 대해 경찰이 압수수색을 실시했다. 방역당국이 해당 유치원에서 식중독이 발생한 원인을 찾지 못하고 있는 상황에서 중요 단서가 되는 ‘보존식’이 왜 없어졌는지 등을 확인하기 위해서다.앞서 해당 유치원 학부모들은 식품위생법 위반, 업무상과실치상 등의 혐의로 유치원 원장을 경찰에 고소하면서 “보존식을 보관하지 않은 것에 대해 증거 인멸 여부 등에 대해 수사해 달라”고 요청한 바 있다.29일 경기 안산상록경찰서에 따르면 이날 오전 10시 30분부터 낮 12시까지 A유치원에 대한 압수수색을 실시했다. 이번 압수수색은 유치원 측이 폐쇄회로(CC)TV를 임의 제출하는 형식으로 이뤄졌으며 경찰은 한 달 분량의 CCTV와 32건의 급식 관련 장부를 확보했다. 이 장부는 급식 관련 거래처 관련 서류도 포함된 것으로 확인됐다.경찰은 CCTV를 통해 식중독 사건 발생 전후인 지난 10일부터 15일까지의 방과후 간식이 보존되지 않은 이유를 확인할 계획이다.보존식은 식중독 발생 등에 대비해 집단급식 시설에서 의무적으로 음식 재료를 남겨 144시간 동안 보관하는 것을 말한다. 하지만 A유치원은 △궁중떡볶이(10일 간식) △우엉채 조림(11일 점심) △찐감자와 수박(11일 간식) △프렌치토스트(12일 간식) △아욱 된장국(15일 점심) △군만두와 바나나(15일 간식) 등 6건의 보존식을 보관하지 않아 과태료가 부과됐다.A유치원 원장은 “급식은 보존식으로 보존했지만, 간식도 보존식으로 보관해야 하는지 몰랐다”는 취지로 학부모들에게 해명한 것으로 전해졌다.경찰은 지난 28일 고소장을 접수한 학부모들에 대한 조사를 마쳤으며, CCTV 분석을 마치는 대로 현재 자가격리 중인 원장의 출석 일정을 방역당국과 협의 중이다.다만 유치원에서 확보한 CCTV가 대부분 유치원생들 교실과 놀이방 등을 비출 뿐 조리실 등에는 CCTV가 설치되지 않은 것으로 알려져 수사에 어려움을 겪는 것으로 전해졌다.경찰 관계자는 “유치원 측에서 CCTV 자료를 제출하겠다고 밝혀 이날 오전 압수수색을 통해 전달 받았다”며 “CCTV가 비추는 곳이 한계가 있어 원장을 우선 조사 후 조리사와 교사 등에 대해서도 조사할지 여부를 결정할 것”이라고 말했다.임명수 기자"
4,이승재 기자 
5,"집단 식중독이 나온 안산 유치원과 관련해 경찰이 오늘 오전부터 압수수색에 들어갔습니다.사안이 시급하다고 보고 영장을 발부받지 않고 수색을 집행한 뒤 사후 영장을 받겠다는 방침입니다.자세한 소식 취재 기자 연결해 알아보겠습니다. 박희재 기자!경찰이 압수수색을 시작했다고요?[기자]조금 전인 오전 10시 20분쯤 제가 있는 이곳 유치원에서 경찰이 압수수색을 시작했습니다.상자를 든 경찰관 5명 정도가 이곳 입구를 통해 들어갔는데요.최우선적인 압수 대상은 일단 원내 CCTV입니다.만일 음식이 문제가 됐다면 이 문제 음식을 원생들에게 제공한 경위를 살필 예정인데요.일각에서 유치원 관계자가 고의로 보존식 등을 폐기했다는 의혹도 제기된 만큼경찰은 이 부분에 대해서도 사실관계를 확인하겠다고 밝혔습니다.앞서 피해 원생 부모들이 어제 새벽 유치원 원장에 대해 고소장을 제출한 이후, 본격적으로 수사가 시작됐는데요.경찰은 원생들에 음식 제공하거나 조리 과정에 문제 있는 음식 취급했는지, 또 부주의로 원생들이 식중독을 앓게 했는지 두 가지 내용을 집중적으로 파악할 예정입니다.이와 관련해 참고인 조사를 진행하는 경찰은 피의자 소환 일정 조율 등을 위해 원장과도 연락을 취하는 단계에 있는 것으로 알려졌습니다.[앵커]투석 환자가 한 명 늘었다고요?[기자]안타깝게도 이 유치원과 관련한 투석 환아가 1명 늘었습니다.생후 26개월 된 아기로, 유치원 원생은 아니지만 식중독을 앓던 원생에게서 감염된 것으로 파악됐는데요.보건 당국은 이 아기가 원생과 함께 물놀이하다가 감염된 것으로 일단 추정하고 있다고 말했습니다.현재 이 환아는 서울에 있는 한 대학병원에서 어제부터 투석 치료를 시작한 것으로 조사됐습니다.용혈성 요독 증후군인 이른바 '햄버거병' 의심 원생도 1명이 늘어 모두 16명으로 나타났습니다.장출혈성대장균 양성 반응을 보인 환자는 원장을 포함해 58명이고, 복통과 설사 등 식중독균 증상을 모인 관련자들은 모두 115명입니다.지금까지 경기 안산에 있는 유치원에서 YTN 박희재[parkhj0221@ytn.co.kr]입니다. ※ '당신의 제보가 뉴스가 됩니다' YTN은 여러분의 소중한 제보를 기다립니다.[카카오톡] YTN을 검색해 채널 추가 [전화] 02-398-8585 [메일]"
6," 집단 식중독이 발생한 경기 안산시 ㄱ유치원 사건과 관련 경찰이 본격 수사에 나섰다.안산 ㄱ유치원 |연합뉴스경기 안산상록경찰서는 29일 ㄱ유치원을 찾아 최근 한 달 치 분량의 유치원 내 CCTV 영상 자료를 확보했다.경찰은 이 영상을 분석해 식중독 사건 발생 전후인 지난 10일부터 15일까지의 방과 후 간식이 보존되지 않은 이유를 확인할 계획이다.보존식은 식중독 발생 등에 대비해 집단급식 시설에서 의무적으로 음식 재료를 남겨 144시간 동안 보관하는 것을 말한다.그러나 이 유치원은 보건 당국의 역학조사 과정에서 간식 등 6건의 보존식을 보관하지 않은 사실이 적발됐다.경찰은 식중독 사고가 발생한 지 20일이 되어가지만 아직 식중독을 일으킨 원인균을 찾지 못해 보건당국이 사고 원인 규명에 어려움을 겪는 상황에서 중요한 단서가 될지 모르는 보존식이 왜 없는지에 대해 우선 확인한다는 방침이다.이 유치원 원장은 “급식의 경우에는 보존식으로 보관했지만, 저의 부지로 방과 후 제공되는 간식의 경우에는 보존식을 보관하지 못했다”고 해명했다.이에 경찰의 CCTV 분석은 혹시 식중독 사고 이후 유치원 측이 고의로 보존식을 폐기한 것은 아닌지에 대해 살펴보는 데 집중될 예정이다.그러나 형사처벌을 비롯해 이 유치원에 대한 이번 사고의 책임을 물으려면 식중독의 원인균인 장출혈성대장균이 유치원에서 제공한 음식이나 유치원의 조리칼, 도마 등에서 검출되어야 한다.보건 당국의 역학조사에서 유치원 측의 과실로 이번 사고가 벌어진 것으로 밝혀진다면 유치원 측은 업무상과실치상과 식품위생법 위반 혐의를 적용받게 된다.업무상과실치상을 위반하면 5년 이하 금고 또는 2000만원 이하 벌금형, 식품위생법은 10년 이하 징역 또는 1억원 이하 벌금형을 받게 된다.경찰 관계자는 “원인균이 유치원 측에서 나와야 비로소 책임을 물을 수 있게 된다”며 “이 부분은 보건 당국의 역학조사에 달린 것이어서 경찰은 우선 CCTV 분석에 나선 것”이라고 말했다.이어 “유치원 측에서 모든 CCTV 자료를 제출하겠다고 해서 임의제출 형식으로 CCTV 자료를 받았다”며 “급식 관련 장부도 넘겨받아 함께 살펴볼 예정”이라고 덧붙였다.경태영 기자"
7,"집단 식중독 환자가 나온 경기도 안산시 A 유치원. 뉴스1           경찰이 집단 식중독 사고가 발생한 경기도 안산시 A유치원으로부터 유치원 폐쇄회로TV(CCTV) 등을 제출받았다. 경찰은 이를 분석해 방과 후 간식이 보존되지 않은 이유를 확인한다는 방침이다.       29일 경기도 안산상록경찰서에 따르면 경찰은 이날 오전 10시20분부터 1시간40분 동안 A유치원에 수사관 5명을 보내 유치원 CCTV와 관련 서류 등을 확보했다. 한달치 CCTV 영상과 급식 관련 장부는 물론 유치원 운영 관련 장부 등 32건이 포함됐다.     경찰은 CCTV 영상과 자료 분석을 통해 식중독 사건 발생 전후인 지난 10일 수요일부터 15일 월요일까지 유치원 내에서 어떤 일이 발생했는지를 추적할 계획이다.       이번 수사는 전날 이 유치원의 학부모 6명이 A유치원 원장을 식품위생법 위반과 업무상과실치상 등 혐의로 경찰에 고소한 데 따른 것이다.      A유치원은 급식으로 제공된 식품을 144시간 동안 보관해야 하는 법률에 따라 대부분의 보존식은 남겼으나, 간식 등으로 나간 일부 메뉴는 보관하지 않았다. 미보관된 메뉴는 궁중떡볶이(10일 간식), 우엉채 조림(11일 점심), 찐 감자와 수박(11일 간식), 프렌치토스트(12일 간식), 아욱 된장국(15일 점심), 군만두와 바나나(15일 간식) 등이다.      하지만 유치원의 조리 도구나 문고리, 놀이도구 등에선 대장균이 발견되지 않았다. 이에 학부모들은 ""A유치원이 보존식을 일부 보관하지 않은 것에 대해 증거를 인멸한 것은 아닌지 조사해 달라""고 요구하고 있다. 학부모 한 명은 전날 대표자 가격으로 고소인 조사를 받은 상태다.     A유치원 원장은 지난 27일 학부모들에게 휴대전화 메시지를 보내 ""급식은 보존식으로 보관을 했지만 간식은 보관하지 못했다""라며 ""(간식 보존식을) 고의로 폐기한 것이 아니라 모르고 그랬다""고 해명했다고 한다.      집단 식중독 환자가 나온 안산시 소재 A 유치원 전경.연합뉴스       A유치원은 원아와 종사자 등 전체 202명 중 절반 이상인 114명(원아 111명, 원아 가족 3명)이 무더기로 식중독 증상을 보여 논란이 됐다. 이들 중 58명은 장 출혈성 대장균이 검출됐다.      현재 21명(원아 19명, 가족 2명)이 입원 치료를 받고 있는데 16명(원아14명, 가족 2명)은 장 출혈성 대장균의 합병증이자 일명 '햄버거병'으로 불리는 용혈성 요독증후군(HUS) 의심 증상으로 치료를 받고 있다. 이들 중 4명은 투석 치료까지 받고 있다.        경찰은 전날 안산상록보건소를 통해 A유치원 원장으로부터 ""CCTV 등을 경찰에 제출하겠다""는 동의를 얻었다. 현재 이 원장도 장 출혈성 대장균이 검출돼 자가격리된 상태다.     경찰 관계자는 ""해당 원장도 자가 격리 중인 상태라 보건 당국과 상의한 뒤 조사 일정을 정할 예정""이라며 ""원장의 자가격리가 다음 달 2일로 끝난다고 한다. 재검사 등을 거친 뒤 이상이 없으면 4일 이후에나 조사가 가능할 것 같다""고 말했다. 경찰은 A유치원 측이 임의 제출한 자료를 먼저 분석한 뒤 부족한 자료가 있다면 추가로 압수수색영장을 신청하는 방안도 검토하고 있다.      한편 안산시는 A유치원의 일시적 폐쇄 명령 조치를 이달 30일에서 다음 달 8일까지로 연장했다.      최모란 기자"
8," 29일 충남 아산시에 사는 유모(42·여) 씨가 자신의 방에서 문제의 맘카를 들여다보고 있다. 연합뉴스연결이 끊겨서 재설정했더니 이웃집 거실로 CCTV가 연결됐어요..어떻게 이런 일이 일어날수 있죠“충남 아산에 사는 유모(42·여) 씨는 29일 ”최근 LG유플러스 제품인 강아지 돌봄용 폐쇄회로(CC)TV 일명 ‘맘카’의 연결이 끊겨 재설정했는데, 스마트폰 화면에 남의 집 거실이 나와 화들짝 놀랐다“며 황당해 했다.연합뉴스에 따르면 지난 27일 외출을 했던 유 씨는 집 안에 남겨둔 애완견을 살펴 보기 위해 스마트폰을 열어 거실에 설치한 맘카를 작동하려 했으나 연결이 끊겨 서둘러 귀가했다.그는 스마트 폰에 있는 맘카 기기등록을 해제하고 (스마트 폰에) 나와 있는 매뉴얼 대로 재등록을 진행했다.1개의 와이파이 AJ 신호가 잡혀 매뉴얼대로 입력한 뒤 설정을 마쳤다.그러자 눈을 의심케 하는 장면이 스마트폰에 나왔다. 내 집이 아닌 남의 집이 보인 것이다. 화면이 벽 쪽으로 돌려져 있었는데 벽지가 자신의 집이 아니었다. 소리를 켜보니 웬 낯선 아이와 여자의 목소리, TV 소리가 들려왔다. 유씨는 순간 깜짝 놀라 바로 기기등록을 해제하고 맘카의 전원선을 뽑았다.어떻게 된 것인지 고객센터에 문의하니 ‘주말이라 확인할 수 없으니 평일에 다시 연락달라’고 해 이날 다시 연락을 했다.LG유플러스 고객센터 기술부 측은 유 씨에게 ”절대 그런 일이 있을 수 없다“며 서비스 기사의 도움을 요청하라고 했다.서비스 기사는 ”고객(유씨)의 집이 아닌 신호가 떴고 그 신호를 누르고 들어가서 남의 집이 보인 것“이라고 설명했다.유씨는 ”어떤 식으로든 CCTV로 남의 집을 볼 수 있다는 사실 자체가 너무 소름 끼치고 무서웠다“고 말했다.유 씨는 ”전문지식이 없는 내가 그저 매뉴얼대로 기기 등록을 다시 했을 뿐인데, 이렇게 쉽게 남의 집을 엿볼 수 있다면 나 또한 그런 피해자가 되지 않으리란 법이 없을 것“이라며 회사 측의 허술한 보안체계를 질타했다.그는 정확한 이유에 대한 해당 회사의 답변을 기다리고 있다.온라인뉴스팀"
9,"경기도 구리시의 한 애견호텔에 3일 동안 맡겼던 강아지가 온몸에 피멍이 든 채 돌아와 논란이 되고 있다.29일 견주 윤모씨 제보에 따르면 최근 지방 일정이 있어서 구리시의 한 애견호텔에 반려견을 맡겼다. 몰티즈 종의 이 반려견은 7㎏의 소형견으로 윤씨의 가족이 어릴 때부터 6년 동안 애지중지 키워왔다.평소에는 가족들이 함께 하지 못할 때면 펫시터(반려동물 돌보미)가 돌봐줬다. 하지만 펫시터가 사정이 생겨 돌보기 힘들게 되자 인터넷을 검색해 평점이 좋아 보이는 애견호텔에 반려견을 맡겼다.그런데 애견호텔에서 3일 만에 돌아온 반려견의 행동이 이상했다. 활발하고 애교 넘치던 모습은 온데간데 없고 기운이 없는 상태로 사람을 피했다. 이상한 생각이 든 윤씨는 반려견을 데리고 동물병원에 가서 검사를 받았다. 털을 민 결과 온몸이 피멍투성이였다.놀란 윤씨는 애견호텔을 다시 찾아 폐쇄회로(CC)TV 영상을 확인했다. 영상을 본 윤씨는 눈을 의심하지 않을 수 없었다. 애견호텔 사장인 A씨가 반려견을 커다란 막대기로 마구 때리고 심지어 집어던지기까지 했던 것.윤씨는 ""호텔 측이 처음에는 스테인리스 자로 한두대 때렸다고 했다가 영상을 보니 커다란 몽둥이로 3일 내내 때리는 장면이 등장해 너무 놀랐다""며 ""활발했던 반려견이 지금도 밥을 잘 못 먹고 구석에서 숨어 지낸다""고 말했다.윤씨에 따르면 반려견을 맡겼던 이후부터 3일 뒤 찾을 때까지 학대가 있었다. 긴 자뿐 아니라 긴 막대기와 장갑까지 학대에 이용됐다. 사장은 강아지들이 옆에 있는데 전자담배도 피웠다.윤씨는 ""강아지가 아무 잘못이 없는데도 쉬지 않고 내내 무차별 학대를 했다""며 ""영상 속에는 일반적으로 이해하기 힘든 학대가 3일 내내 이어졌고 눈으로는 보기 힘들 정도로 수위 높은 학대가 가해졌다""고 분통을 터뜨렸다. 이어 ""동물을 대상으로 위탁 관리해 주는 이윤 추구 사업에 대한 기준이나 절차가 엄격해야 한다""며 ""요즘 세계적으로나 사회적으로도 최근 판례에서도 동물의 존엄성이나 권위가 많이 향상되고 있다. 사람과 함께하는 반려동물로 가족과 같은 존재이기에 이 같은 행위는 정당화될 수 없고 반복돼서는 안 될 것""이라고 강조했다. 이에 대해 A씨는 잘못을 인정하면서도 ""강아지가 먼저 나를 물고 다른 강아지들한테도 짖어서 때리게 됐다""며 ""밥도 주고 물도 줘야 하는데 또 물릴까봐 무서워서 그런 것""이라고 해명했다.현재 윤씨는 구리경찰서에 A씨를 고소한 상태다. 법조계에서는 이 경우 동물보호법 위반 등을 적용할 수 있다고 보고 있다. 또한 애견호텔 등 동물 관련 사업장에서 학대가 이뤄졌다면 영업정지 등 제재가 필요하다는 지적도 나온다.조찬형 법무법인 청음 대표변호사는 ""동물을 때리고 학대했다면 동물보호법 위반이며 형법상 재물손괴도 문제된다""면서 ""더욱이 믿고 반려견을 맡긴 호텔에서 학대행위가 이뤄졌다면 입법적으로는 동물위탁관리업, 동물미용업 등 신고를 요하는 업종의 경우 관할관청에서 추후 이를 관련 자료로 참고하는 것이 필요하다""고 말했다.구리시의 한 애견호텔에 맡긴 강아지가 피멍투성이가 돼 돌아왔다. 사진 견주 제공 © 뉴스1[해피펫] 사람과 동물의 행복한 동행 '해피펫' 홈페이지와 페이스북, 인스타그램, 유튜브에서 동물 건강, 교육 등 더 많은 정보를 보실 수 있습니다. 독자 여러분의 제보도 기다립니다.news1-1004@news1.kr"
