,contents
0,"'먼 미래'에서 '내 일'로 찾아온 기후변화 (32)지난주에 이어서 재생에너지의 확대 과정에 눈여겨봐야 할 부분이 무엇인지 살펴보겠습니다. 재생에너지를 늘리기 위해 정부가 지급하는 일종의 보조금, '신재생에너지 공급인증서(REC)'에서 당초 제도 취지와 다르게 바이오에너지의 비중이 커졌다는 '과거'의 상황을 전해드렸습니다. 여기에 우리 정부는 어떻게 대응했고, 실제 전력 공급엔 어떤 영향을 미쳤을까요. 지난주, 아래와 같은 통계를 통해 2012년부터 2017년까지 어떤 에너지원에 REC의 발급이 집중됐는지 살펴봤습니다. 지금껏 우리가 보통 '재생에너지'라고 할 때, 태양광 패널과 풍력 터빈만 떠올렸는데, 정작 많은 비중을 차지했던 것은 빨간색의 바이오에너지였습니다. REC의 비중을 살펴보면, 어떤 신재생에너지로 자본과 자원이 집중되는지 알 수 있습니다. 온실가스나 기타 오염물질 배출을 최소화하려고 장려한 재생에너지인데, 나무를 태워서 발전하는 데에 가장 많은 보조금이 투입된 셈이죠.이에 정부는 'REC 가중치 조정' 이라는 카드를 꺼내들었습니다. 재생에너지의 종류에 따라 REC를 발급하는 가중치를 다르게 하는 방법입니다. 가중치가 크다는 것은 '여기에 더 투자하고 집중하라'는 시그널을 주는 것이고, 가중치를 줄이는 것은 '이젠 여기에서 차차 손을 떼라'는 시그널을 주는 셈입니다. (자료: 한국에너지공단) 현재 정부가 재생에너지에 주는 REC 가중치의 범위는 0.25~5.0까지 광범위합니다. 현재 기준, 단순히 발전만 하는 것이 아니라, 필요 이상으로 발전되는 전기를 저장하고 추후 이를 활용할 수 있도록 하는 ESS(Energy Storage System) 설비에 4.5~5.0을 주고 있습니다. 태양광과 연계한 ESS엔 5.0, 풍력과 연계한 ESS엔 4.5를 매긴 겁니다. 모든 재생에너지 분야를 통틀어 최고 수준입니다.반면, 폐기물을 태우는 데에는 0.25로 가장 낮은 가중치를 주고 있고, 현재 우리나라 바이오에너지의 대부분을 차지하고 있는 목재 팰릿, 목재 칩 등엔 0.5를 주고 있습니다. 이 같은 변화는 2018년부터 이뤄졌는데요, 실제 REC 발급 현황을 살펴보면 정부의 카드가 유효했던 것으로 보이기도 합니다. 2018년, 바이오에너지는 REC를 가장 많이 발급받은 재생에너지원 타이틀을 태양광에 넘겨주게 됐습니다. 물론, 그렇다고 해서 바이오에너지에 대한 '쏠림'이 아직 나아졌다고 말하긴 이릅니다. 신재생에너지 전력거래량 (자료 : 한국전력거래소) 지난 25일, 한국전력거래소는 2019년도 전력시장 통계를 발표했습니다. 통계에서도 나타나듯 우리나라 전력시장에서 바이오에너지 발(發) 전력은 지난해 태양광으로 만든 전력을 넘어섰습니다. 전체 재생에너지 가운데 '부동의 1위' 폐기물 에너지에 이어 2위인 4140GWh에 달합니다. 가중치의 조정으로 REC 발급량은 태양광보다 줄어들긴 했지만, '바이오에너지 감소'라는 실질적인 효과로 이어지지 못 한 겁니다. 결국 정부는 다시 한 번 '같은 카드'를 꺼내들 것으로 보입니다. 바이오에너지에 대한 가중치를 다시 축소하는 방안을 검토중입니다.가중치가 줄어들었어도 '친환경 에너지'라는 카테고리에 여전히 '목재화력발전'이 남아있는 상태이고, 기존 석탄화력발전 사업자들은 여전히 적은 비용으로 RPS(신재생에너지 공급 의무량)를 채울 수 있는 상황입니다. 이러한 '판'이 그대로라면, 실제 전력시장에서 여전히 나무 땔감은 꽤나 큰 비중을 유지할 겁니다.재생에너지, 신재생에너지 등 용어의 정의에만 몰두하기보다 '지속가능성'이라는 하나의 가치를 두고 정책을 설계해야 하지 않을까요. 이는 비단 재생에너지 발전분야만 해당하는 일이 아닙니다. 이는 아직까지 정체와 형체가 확립되지 않은 한국판 그린 뉴딜을 비롯해 산업, 국토, 경제 등등 기후변화와 관련한 모든 정책에 해당하는 이야기입니다. 그저 용어의 의미에만 몰두하다 보면, 어느새 우리나라의 기후변화 정책은 동상이몽, 중구난방의 총체적 '난국'으로 귀결될 것입니다.박상욱 기자 (park"
1,"[이데일리 김정유 기자] “당장 생태계 활성화 정책이 필요한데….” 국내 에너지저장장치(ESS) 업계가 다음달 1일 ‘신재생에너지 공급의무화’(RPS) 제도 개정을 앞두고 ‘속앓이’를 하고 있다. 화재 등 안전을 우선시하면서 규제 아닌 규제가 더 많아진데다, 정작 업계가 강력히 요청해왔던 ESS 관련 지원책 연장은 받아들이지 않으면서다. 경영환경의 불확실성이 커지면서 ESS업계도 향후 신규 투자를 보류할 것으로 예상되면서 ESS생태계도 당분간 활성화가 어려울 것이란 분석이다.29일 업계에 따르면 ESS운영업계는 최근 산업통상자원부와 만나 RPS 개정안에 대한 각사별 의견을 전달한 것으로 알려졌다. 산업부는 30일까지 업계 의견을 수렴한 후 다음달 1일부터 개정안을 시행한다는 방침이다. 앞서 산업부는 지난 10일 ESS 충전율을 일부 제한하고 이에 상응하는 인센티브와 페널티를 부과하는 내용을 골자로 한 RPS 개정안을 발표한 바 있다. ESS는 전력이 남아돌 때 충전해 놨다가 부족할 때 쓰거나 필요한 곳에 보내주는 시스템이다. 국내 ESS 운영사업자로는 SK D&D(210980), LG헬로비전(037560), SK E&S 등이 있다.RPS는 50만KW 이상의 대규모 발전사업자가 총 발전량의 6%를 신재생에너지로 발전해 공급해야 하는 제도다. 사실상 현재 대부분의 신재생에너지 확대가  RPS를 통해 이뤄지고 있는만큼 제도 개정 방향에 따라 ESS업계도 ‘일희일비’할 수밖에 없는 구조다. 개정안에 따르면 앞으로 ESS 배터리 충전율은 옥내 80%, 옥외 90%로 제한된다. 충전율 기준치를 초과할 경우엔 해당 기간 전력생산량의 신재생에너지 공급인증서(REC) 가중치를 ‘0’으로 적용키로 했다. 또한 태양광 연계 ESS 사업장의 경우 설비 출력과 방전량을 합한 총 출력을 태양광 설비용량의 70% 이하로 유지하도록 했다.  현재 ESS 운영사들은 전국 ESS 사업장의 충전율을 90~95% 수준으로 유지하고 있다. 지난 2년간 ESS 화재사고로 70%대까지 충전율을 낮추는 등 손실을 봤던만큼 올 들어 안전에 문제가 없을 정도로 충전율을 다시 끌어올리고 있는 상황이다. ESS업계는 충전율을 높이면 높일 수록 더 많은 전력을 판매할 수 있어 수익성이 높아진다. 하지만 이번 개정안이 시행되면 ESS업계는 기존처럼 충전율을 95%까지 유지하기 힘들다. 충전율 기준치를 넘기면 사실상의 수익인 REC 가중치를 받지 못하기 때문이다. 정부의 이번 개정안을 보면 충전율 이행시 옥내의 경우 방전량의 8%, 옥외는 3%의 REC를 추가해주는 인센티브도 있다. 하지만 ESS업계에선 충전율 제한을 상쇄할 수 있을만큼의 인센티브는 아니라는 지적이다. ESS운영업체 A사 관계자는 “ESS사업의 수익 대부분은 REC에서 나오는데 인센티브가 있다고 해도 충전율 제한 자체가 우리에겐 큰 규제”라며 “ESS운영사들이 수익을 제대로 내려면 적어도 충전율 기준을 옥내 90%, 옥외 100%까지 높여야 한다”고 설명했다.더 중요한 건 그동안 ESS업계가 줄기차게 요청해왔던 ESS 전용 전기요금할인제도, 신재생발전 연계형 ESS에 대한 REC 가중치 제도 연장이 전혀 받아들여지지 않았다는 점이다. ESS 전용 전기요금할인제도는 경부하 심야시간(23시~9시)에 ESS 충전에 사용된 전력요금을 50% 할인해주고, ESS로 전력피크 시간대(10시~17시) 전력 수요를 감축해주는 만큼 감축량 만큼의 전기요금을 최대 3배 할인해주는 게 골자다. 이번에도 제도 연장이 반영되지 않은만큼 이 제도는 오는 12월 일몰될 예정이다.신재생발전 연계형 ESS에 대한 수익 지원 정책도 이달 부로 일몰된다. 일반적으로 신재생 발전시 1MWh당 1REC를 받는 게 원칙이지만 해당 제도는 ESS를 사용할 시 REC 가중치를 5.0(태양광)까지 높여 REC 가격을 5배 높여 판매할 수 있었다. 하지만 앞으로는 태양광 ESS에 대한 가중치는 4.0으로 떨어지면서 ESS업계의 수익성도 떨어지게 됐다. 또한 ESS를 도입한 소규모 태양광 발전사업자들 역시 고스란히 수익성에 타격을 받게 됐다.하지만 ESS업계에선 이 같은 답답함을 대놓고 언급하지도 못하는 상황이다. ESS 화재로 정부가 안전조치 강화 차원에서 추진하는 터라 반기를 들기에도 애매한 상황이다. 다만 규제 일변도의 제도 개정이 장기적으로 ESS 생태계 활성화에 악재가 될 것으로 보고 우려감을 감추지 못하고 있다. 당장 올해만 해도 ESS 신규 투자를 추진하는 업체들이 전무할 것으로 보인다. 업계 관계자는 “지금 상황이라면 올해 신규 투자는 보기 힘들 것”이라며 “화재 예방이라곤 하지만 충전율 규제는 민간사업자들의 경영활동을 제한하는 조치다. 정부가 좀 더 큰 틀에서 산업생태계를 개선시킬 수 있는 정책을 구상했으면 좋겠다”고 말했다.삼성SDI 배터리가 탑재된 미국 캘리포니아 지역 에너지저장장치(ESS) 모습. 기사 내용과 관계 없음. (사진=삼성SDI)김정유 "
2,"06월 25일 옴니시스템(057540)은 수주공시를 발표했다.◆옴니시스템 수주공시 개요- 산업용 ESS 230.7억원 (매출액대비 24.5%)옴니시스템(057540)은 산업용 ESS에 관한 단일판매ㆍ공급계약체결을 25일에 공시했다.계약 상대방은 한국동서발전(주)이고, 계약금액은 230.7억원 규모로 최근 옴니시스템 매출액 940.3억원 대비 약 24.5% 수준이다. 이번 계약의 기간은 2020년 06월 25일 부터 2020년 10월 08일까지로 약 3개월이다.한편 이번 계약수주는 2020년 06월 25일에 체결된 것으로 보고되었다.차트한편, 오늘 분석한 옴니시스템은 국내 대표 디지털 전력량계 제조업체로 알려져 있다.한경로보뉴스이 기사는 한국경제신문과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다."
3, 옴니시스템(057540)은 한국동서발전과 230억원 규모 산업용 ESS 공급계약을 체결했다고 25일 공시했다. 이는 최근 매출액대비 24.5%에 해당하며 계약기간은 오는 10월8일까지다.오희나 
4," ESS 화재원인 첫 규명 1년(상)(지디넷코리아=박영민  기자)원인 규명 이후 1년이 지났지만 여전히 전국 곳곳에서 에너지저장장치(ESS) 화재가 발생해 정부와 업계의 고심이 깊다. 이달 말 정부가 ESS 운영제도를 개편할 예정인데, 또다시 불거진 화재로 전반적인 업계 부흥보다는 안전성에 초점을 맞출 것으로 보여 시장 침체가 장기화할 우려에 놓였다.업계와 소방당국에 따르면 지난달 27일 전남 해남군 황산면 소재 태양광 연계 ESS에서 화재가 발생해 ESS 건물 1동과 리튬이온배터리 230여개가 소실됐다. 다행히 인명 피해는 없었으나, 이 불로 4억6천700만원 상당의 재산 피해가 발생한 것으로 추산됐다.지난달 27일 전남 해남군 황산면 소재 태양광 연계 ESS에서 발생한 화재 모습. (사진=해남소방서)■ 또 ESS에서 불이…2017년부터 총 29건이번 화재는 정부가 충전율 제한 등 강력한 조치를 내린 이후 8개월 만에 발생한 것으로, 지난 2017년 전북 고창 화재 이후 29번째 화재로 기록됐다.구체적인 원인은 밝혀지지 않았지만, 소방당국은 ESS 건물을 발화점으로 지목했다. 특히 해당 ESS는 지금까지 ESS 화재의 원인으로 지목된 '과충전'을 방지하기 위해 일부러 충전율을 낮춰 운영한 것으로 파악되면서, 정부의 안전성 강화 대책에 대한 실효성 논란도 증폭되고 있다.이 같은 소식이 전해지면서 위축된 시장이 침체를 벗어나지 못할 가능성이 높아졌다. 이번 화재가 ESS 화재로 최종 결론나면 정부의 고심은 한층 깊어질 전망이다. 주무부처인 산업통상자원부는 이달 말까지 ESS 시장 활성화에 초점을 맞춘 부흥 대책을 마련할 계획이었다.김재철 ESS 화재사고 조사단 공동단장(숭실대 교수)이 지난 2월 6일 정부세종청사에서 ESS 화재사고 조사 결과를 발표하고 있다. (사진=지디넷코리아)ESS 화재 원인 규명은 지난해 6월과 올해 2월 두 차례에 걸쳐 이뤄졌다. 작년 6월 11일 실시된 1차 조사 발표에서는 배터리 보호시스템과 운영관리·설치상의 미흡 등이 원인으로 제시됐다. 일부 ESS 배터리 셀(Cell)에서 제조상의 결함이 발견됐지만, 배터리 결함이 화재의 직접적인 원인에 포함되진 않았다.뒤이어 진행된 2차 조사 발표에서는 '배터리 이상'이 화재의 주 원인으로 지목됐다. 1차 조사 발표 이후 8개월 만에 화재 원인이 번복된 것이다. 1차 조사는 2017년 8월부터 발생한 23건의 화재 사건을, 2차 조사는 지난해 8월부터 10월까지 일어난 5건의 화재를 대상으로 원인 규명에 나섰다. 그러나 앞서 발생한 23건과 뒤이어 일어난 5건이 별개의 화재라 볼 수도 없다.허은기 삼성SDI 전무(오른쪽)가 ESS용 특수 소화시스템의 효과를 설명하고 있다. (사진=삼성SDI)■ ""사업 안 할 수도 없고""…난감한 배터리 업계원인불명의 화재로 발을 동동 구르고 있는 건 배터리 업계도 마찬가지다. 일단은 사업 신뢰도가 하락해 국내에서 사업을 확대할 여력이 없어졌다. 지난 2차 조사 결과 원인으로 떠오른 배터리 이상과 관련해 모든 화재에 대한 전수조사가 필요하다는 지적도 나온다.주요 업체들은 이미 안전대책에 상당한 비용을 투입했다. LG화학은 ESS 충당금으로 3천억원을, 삼성SDI는 2천억원을 적립했고 이 비용은 지난해 4분기 실적에 반영됐다. 당시 LG화학은 사상 최초로 분기 영업손실을 냈고, 삼성SDI도 전년 동기 대비 영업이익이 90% 이상 감소했다. 양사는 올해도 지속적으로 안전대책에 추가 비용을 투입할 예정인데, 이에 따른 영업손실이 어느 정도일지는 미지수다.사업 확대 가능성도 아직 요원하다. LG화학은 전지(배터리)사업본부 분사 계획을 잠정 보류했다. 올해 7월을 목표로 배터리 독립법인을 설립키로 검토했지만, ESS 화재 사고에 따른 불확실성과 코로나19 확산 등 악재가 겹쳤다.LG화학 에너지저장시스템(ESS)업계는 국내 상황을 지켜보며 우선은 해외에서 사업 활로를 찾고 있다. 산업부에 따르면 글로벌 ESS 시장은 올해 18조원에서 2025년 약 35조원으로 2배가량 성장할 전망이다. 이에 일단은 수요가 높은 해외 시장을 집중 공략하고, 안전성이 확보되면 국내 사업 비중을 확대할 방침이다.우선 LG화학·삼성SDI가 주도해 온 업계에 SK이노베이션이 ESS 배터리 사업부를 신설, 본격적으로 시장에 출사표를 던졌다. 여기에 더해 LS일렉트릭(구 LS산전)과 OCI, 한화솔루션 등 전통적인 에너지 시장 강자들도 해외 시장 공략에 집중하고 있다.ESS용 배터리 제조사 관계자는 ""안전성을 높이기 위한 설치·운영상의 규제 시행에 발맞춰 충분한 안전대책을 마련해왔고, 이같은 조치엔 앞으로도 변함이 없을 것""이라며 ""그린 뉴딜 정책 등으로 재생에너지시장이 활성화하고 있고, 여기에 투자가 집중되면서 국내 시장 성장은 더욱 가속화하겠지만 안전성이 확보되지 않을 시엔 따로 복안이 없다""고 지적했다.박영민 기자"
5," 한국화재보험협회 방재시험연구원은 2020년도 소방청 연구개발사업 'ESS(에너지저장장치) 화재 대응을 위한 자동소화시스템 개발' 연구 주관기관으로 선정됐다고 9일 밝혔다.   연구과제는 앞으로 5년간 협회 방재시험연구원(FILK) 주관으로 관련 기업 및 대학 등이 참여하는 산학연 컨소시엄을 통해 진행된다. 주요 내용은 △재난안전 플랫폼 연계 AI 기반 ESS 조기 화재감지시스템 개발 △ESS 열폭주 방지 가능한 최적의 자동소화시스템 개발 △ESS 안전기술기준안 개발 등이다.   연구원 관계자는 ""이번 연구과제가 성공적으로 수행될 경우, ESS 화재사고 시 화재감지시스템에 의한 조기 감지와 자동소화시스템에 의한 초기 소화가 가능하게 돼 화재 피해를 획기적으로 줄일 수 있을 것""이라면서 ""개발된 기술기준은 국내는 물론 해외 ESS 시장에도 적용함으로써 관련 산업의 안정적인 성장에 크게 기여할 것으로 기대한다""고 밝혔다.   한편 방재시험연구원은 그간 ESS 화재안전대책에 관한 연구, ESS 화재확산 및 소화시스템의 화재진압특성 분석 등 다수의 정부와 민간 연구과제를 실증실험을 통해 성공적으로 수행한 바 있어 ESS 화재특성과 관련된 R&D 기술력을 인정받고 있다.   "
6,"한국화재보험협회 방재시험연구원(FILK)이 2020년 소방청 연구개발사업 ‘ESS(에너지저장장치) 화재 대응을 위한 자동소화시스템 개발’ 연구 주관기관으로 선정됐다.연구과제는 앞으로 5년간 협회 방재시험연구원 주관으로 관련 기업과 대학 등이 참여하는 산학연 컨소시엄을 통해 진행된다. 주요 내용은 ▷재난안전 플랫폼 연계 AI 기반 ESS 조기 화재감지시스템 개발 ▷ESS 열폭주 방지 가능한 최적의 자동소화시스템 개발 ▷ESS 안전기술기준안 개발 등이다.연구원 관계자는“이번 연구과제가 성공적으로 수행될 경우, ESS 화재사고 시 화재감지시스템에 의한 조기 감지와 자동소화시스템에 의한 초기 소화가 가능하게 돼 화재 피해를 획기적으로 줄일 수 있을 것”이라고 말했다. 이어 그는 “개발된 기술기준은 국내는 물론 해외 ESS 시장에도 적용함으로써 관련 산업의 안정적인 성장에 크게 기여할 것”이라고 기대했다.방재시험연구원은 그동안 ESS 화재안전대책에 관한 연구, ESS 화재확산 및 소화시스템의 화재진압특성 분석 등 다수의 정부와 민간 연구과제를 실증실험을 통해 성공적으로 수행해왔다."
7," 한국화재보험협회는 방재시험연구원이 소방청 연구개발사업인 '에너지저장장치(ESS) 화재 대응을 위한 자동소화시스템 개발' 연구의 주관기관으로 선정됐다고 9일 밝혔다.이에 따라 방재시험연구원 주관으로 5년 간 관련 기업과 대학 등이 참여하는 산학연 컨소시엄을 구성, 연구를 진행하게 된다. 연구의 내용은 재난안전 플랫폼 연계 인공지능(AI) 기반 ESS 조기 화재감지시스템 개발, ESS 열폭주 방지 가능한 최적의 자동소화시스템 개발, ESS 안전기술기준안 개발 등이다.연구원 관계자는 ""ESS 화재사고 시 화재감지시스템에 의한 조기 감지와 자동소화시스템에 의한 초기 소화가 가능하게 돼 화재 피해를 획기적으로 줄일 수 있을 것""이라며 ""기술기준은 국내는 물론 해외 ESS 시장에도 적용함으로써 관련 산업의 안정적인 성장에 크게 기여할 것으로 기대한다""고 말했다.오현길 기자"
8,"경기지역 각 공공기관에서 수억 원을 들여 구축한 에너지저장시스템(ESS)이 가동이 중지된 채 방치돼 있는 것으로 확인됐다. 정부는 잇따른 ESS 화재사고로, 화재 발생 우려가 큰데도 현장에서 적용하기 어려운 사고 방지안을 제시하고 있어 혼란만 가중되고 있다. 22일 산업통상자원부와 한국전기안전공사 경기지역본부 등에 따르면 도내 공공기관 내 설치돼 있는 ESS는 모두 172대다.정부가 2017년부터 차세대 에너지 전력망으로 ESS의 사용을 장려하면서 도내 각 지자체와 산하기관은 잇따라 해당 시스템을 구축해왔다. ESS는 태양열과 한국전력공사에서 생산되는 전력 등을 미리 저장해놓았다가 필요할 때마다 사용할 수 있는 에너지 저장 시스템이다.공공기관에서는 한전 생산 전력 중 값이 싼 전력(저녁 시간대 생산 전력)을 미리 ESS에 저장해 놓았다가, 전력 값이 비싼 낮 시간대에 ESS 전력을 사용, 에너지사용 지출비용을 절감시키기 위해 시스템을 구축해왔다.시스템 구축 비용은 전력변화장치와 태양광 시설 등을 포함해 3~4억여 원 규모다.그러나 잇따른 ESS 관련 화재사고 발생 뒤 일선 현장에서는 ESS 가동이 중단, 방치돼 있다. ESS 관련 화재사고가 지난 2017년 8월부터 지난해 말까지 28건이 잇따라 발생하면서 주무 부처인 산자부가 지난해와 올해 초 두 차례에 걸쳐 민·관 합동조사를 해 원인규명에 나섰다. 하지만 정부가 현장에서 즉각적으로 적용할 수 있는 화재 방지 대책안을 내놓지 못하면서 일선 현장에서는 화재 발생이 우려돼 가동을 멈춘지 오래다. 산자부는 지난 2월 ESS 화재 조사결과를 토대로 충전율을 제한(옥내 80%, 옥외 90%)하고, 실내에 설치돼 있는 ESS 시설을 실외에 설치하라는 대안을 제시했지만, 화재 발생에 대한 실질적인 대응안으로 활용되지 못하고 있다.실내에 설치돼 있는 ESS 시설을 외부 별도의 공간을 마련해 재설치하기 위해서는 부지확보와 관련 비용이 마련돼야 한다. 하지만 기관별로 예산 확보에 어려움이 있는 것은 물론 제한된 충전율 유지로는 실질적인 에너지 저장관리가 이뤄지지 못하다는 지적이 나온다. 잇따른 ESS 화재사고 발생으로, 각 보험사에서는 해당 설비에 대한 보험 가입도 쉽지 않은 상태다.[수원=뉴시스]천의현 기자=지난 19일 경기도수원월드컵경기장관리재단 내 설치돼 있는 에너지저장장치(ESS)가 가동이 중지돼 있다.사정이 이렇다 보니, 현장에서는 ESS 사용에 엄두를 내지 못하고 있는 실정이다. ESS를 설치해 사용해왔던 양평군과 수원시청소년육성재단, 경기도수원월드컵경기장관리재단, 한국토지주택공사(LH) 용인 서천 사업장 등 대다수 공공기관에서도 ESS 가동을 중지한 상태다.ESS 설치·사용을 장려해왔던 한국전력공사 경기본부도 수원, 안양, 안산지사 등 13개 지사 내 설치돼 있는 ESS(14대)의 가동을 모두 멈춘 상태다.일부 기관에서 ESS를 운용 중인 곳도 있었지만, ESS 충전율을 10~20%대로 유지한 채 비상 전력공급용으로 사용 중이거나 배터리 유지관리 차원에서 가동 중이었다. 수억 원을 들여 마련한 ESS가 제 기능도 못 한 채 애물단지로 전락해 있다. ESS 시설 담당자들은 한목소리로 화재 발생에 대한 우려와 사고 시 책임 소재 불분명, 현장에 즉시 적용할 수 없는 운용규정 등이 문제라고 꼬집었다. 한 ESS 시설 담당자는 “지난 2월 6일 산자부로부터 ESS 추가 안전대책이 내려왔지만, 운영지침이 정형화돼 있지 않아 혼란스러운 상황”이라며 “ESS 충전율을 줄여 사용하라는데 화재가 발생 안 한다고 장담할 수도 없고, 옥외 이전 설치안 등은 현장에 즉각적으로 적용하기에는 무리가 있다”고 말했다.이에 대해 산자부 관계자는 “사고 원인 조사 이후 대책안을 마련해 각종 지원사업을 진행하면서 가동률을 높이고 있는 상황”이라며 “지속적인 지원사업을 통해서 ESS 가동이 원활한 환경을 조성하도록 노력할 것”이라고 말했다.☞공감언론 뉴시스"
9,"우리나라 태양광과 에너지저장장치(ESS) 업체들이 한 곳에 모여 선진 기술을 공개한다. 대규모 계약과 매출 증대로 이어질지 주목된다.18일 업계에 따르면 오는 7월 15일부터 17일까지 대구 엑스코(EXCO)에서 '제17회 국제 그린에너지 엑스포'가 열린다. 코로나19 팬데믹(세계적 대유행)으로 개최 유무가 불확실했지만, 최근 일정이 확정됐다.주요 참가 업체는 한화큐셀과 신성이엔지, 현대에너지솔루션, 화웨이, 진코(Jinko), 제이에이(JA), 트리나(Trina) 등 국내외를 망라한다. 한화큐셀의 경우 이번 행사에서 가장 큰 부스를 마련한 것으로 알려졌다. 이들 참석 업체는 성공적 행사 개최를 위해 막바지 준비에 한창인 것으로 전해졌다.이번 행사는 정부에 기대지 않고 민간이 주도해 마련했다는 점에서 의미가 크다. 높은 기술력 등 자신감이 밑바탕 됐다는 평가다.참가 업체들은 매출 증대 기대감이 크다. 각국 에너지전환 정책으로 세계 태양광 및 ESS 시장이 커지고 있기 때문이다. 대표적으로 ESS는 올해 세계 시장 규모가 18조원에 이를 것으로 예상된다. 오는 2025년이면 35조원으로 배 가까이 늘어날 전망이다.이번 행사에는 약 4만명이 몰릴 것으로 추산된다. 이 가운데 40% 이상은 직접 계약이 가능한 의사결정권자일 것으로 전망된다.행사 주관사들은 참가 기업들을 적극 지원하고 있다. 한국전기공사협회와 한국신재생에너지협회, 한국태양광산업협회, 한국풍력산업협회 등은 △국내 및 해외 홍보 △5개 국어 보도자료 배포 등을 지원한다. 특히 코트라(KOTRA)와 공동주관으로 역대 최대인 150명 규모 바이어를 초청, 수출 상담회를 진행한다. 대규모 수출 계약이 이뤄질 것으로 기대된다.관련 업계 관계자는 “우리 기업들의 우수한 제품을 국내외에 공급할 것”이라며 “태양광과 ESS 시장에서 높은 기술력을 바탕으로 점유율을 늘려 나갈 것”이라고 밝혔다.류태웅 기자"
