,contents
0," LG전자가 야구장을 발광다이오드(LED)로 둘렀다. 스타디움 전용 LED 사이니지를 국내 야구장에 공급한 첫 사례다.   28일 LG전자(대표 권봉석 배두용)는 경기도 ‘수원KT위즈파크’ 내 리본보드(띠전광판)를 LED 사이니지(LBF 스타디움 시리즈)로 조성했다. 1루부터 3루까지 내야석 위 외벽에 설치됐다. 높이 1미터(m), 가로 330m에 달한다.   해당 LED 사이니지는 휘도(단위 면적당 밝기)가 6000니트(nit)로 밝다. 외야 관중석에서도 각종 이벤트, 선수 소개, 응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다. 1초에 4000장의 화면을 구현하는 4000헤르츠(Hz)의 고주사율로 선수들의 역동적인 움직임도 매끄럽게 보여준다.   LG전자는 그라운드 내 본루 뒤쪽 공간에도 LED 사이니지(LBS 스타디움 시리즈)를 활용해 높이 1.5m 가로 9m 크기의 광고물을 설치했다. LG전자는 이번에 설치한 제품을들을 포함, 모두 7종의 스타디움 전용 LED 사이니지를 갖추고 있다.   LG전자 임정수 한국B2B마케팅담당은 “스포츠 등 다양한 산업군에 최적화된 사이니지 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공할 것”이라고 말했다.   <김도현 기자>dobest@ddaily.co.kr"
1,"330m 길이 리본보드조성…국내 야구장 설치 사례 중 최장(지디넷코리아=권혜미  기자)LG전자는 스타디움 전용 LED 사이니지를 처음으로 국내 야구장에 공급했다고 28일 밝혔다.모델이 경기도 수원시에 위치한 ‘수원KT위즈파크’에서 ‘LG LED 사이니지(제품명: LBF 스타디움 시리즈)’를 활용한 약 330m 길이의 리본보드(띠전광판)를 소개하고 있다. (사진=LG전자)LG전자는 경기도 수원시에 위치한 ‘수원KT위즈파크’ 내 리본보드(띠전광판)를 ‘LG LED 사이니지’로 조성했다. 1루부터 3루까지 내야석 바로 위 외벽에 설치된 리본보드는 높이 1m, 가로 330m에 달한다. 이는 국내 야구장에 설치한 LED 사이니지 가운데 가장 길다.이번에 설치한 LG LED 사이니지는 휘도(광원의 단위 면적당 밝기의 정도)가 6,000니트(nit, cd/m2)로 밝아 외야 관중석에서도 각종 이벤트, 선수 소개, 응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다. 1초에 4,000장의 화면을 구현하는 4,000헤르츠(Hz)의 고주사율로 선수들의 역동적인 움직임도 매끄럽게 보여준다.또 LG전자는 그라운드 내 백스탑(본루 뒤쪽 공간)에도 ‘LG LED 사이니지(제품명: LBS 스타디움 시리즈)’를 활용해 높이 약 1.5m, 가로 약 9m 크기의 광고물을 설치했다.LG전자는 그 동안 축적한 기술력과 노하우를 기반으로 LED 사이니지 설계 및 설치부터 제품 상태를 실시간 모니터링 할 수 있는 시스템까지 모두 제공했다.LG전자는 각종 경기장 환경에 최적화된 스타디움 전용 LED 사이니지 라인업을 갖췄다. 이번에 설치한 LBF, LBS 스타디움 시리즈를 포함해 모두 7종을 운영하고 있다.LG전자 임정수 한국B2B마케팅담당은 “스포츠 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공할 것”이라고 말했다.권혜미 기자"
2,"LG전자는 경기 수원시 수원KT위즈파크에 스타디움 전용 발광다이오드(LED) 사이니지를 공급했다고 28일 밝혔다.    LG LED 사이니지(제품명 LBF 스타디움 시리즈)로 조성된 리본 보드(띠 전광판)는 1루부터 3루까지의 내야석 바로 위 외벽에 설치됐다. 높이 1ｍ, 길이 330ｍ로 국내 야구장 LED 사이니지 가운데 가장 길다는 게 LG전자의 설명이다.    LG전자에 따르면 사이니지의 휘도(광원의 단위 면적당 밝기의 정도)는 6천nit(니트)로 외야 관중석에서도 화면을 선명하게 볼 수 있으며, 주사율은 1초에 4천장의 화면을 구현하는 4천Hz(헤르츠)에 달해 움직임의 매끄러운 표현이 가능하다.    LG전자는 그라운드 백스톱(본루 뒤쪽 공간)에도 LED 사이니지(제품명 LBS 스타디움 시리즈)를 활용해 높이 1.5ｍ, 길이 9ｍ의 광고물을 설치했다.   "
3,"LG전자가 경기도 수원시에 위치한 '수원KT위즈파크'에 'LG LED 사이니지(제품명: LBF 스타디움 시리즈)'를 활용해 조성한 약 330m 길이의 리본보드(띠전광판)를 설치했다고 28일 밝혔다. /영상=LG전자 제공LG전자는 28일 경기 수원시 수원KT위즈파크에 스타디움 전용 발광다이오드(LED) 사이니지를 공급했다 밝혔다.LG LED 사이니지(제품명 LBF 스타디움 시리즈)로 조성된 리본 보드(띠 전광판)는 1루부터 3루까지의 내야석 바로 위 외벽에 설치됐다. 높이 1ｍ, 길이 330ｍ로 국내 야구장 LED 사이니지 가운데 가장 길다는 게 LG전자의 설명이다.LG전자에 따르면 사이니지의 휘도(광원의 단위 면적당 밝기의 정도)는 6천nit(니트)로 외야 관중석에서도 화면을 선명하게 볼 수 있다. 또한 주사율은 1초에 4천장의 화면을 구현하는 4천Hz(헤르츠)에 달해 움직임의 매끄러운 표현이 가능하다.LG전자는 그라운드 백스톱(본루 뒤쪽 공간)에도 LED 사이니지(제품명 LBS 스타디움 시리즈)를 활용해 높이 1.5ｍ, 길이 9ｍ의 광고물을 설치했다.한경닷컴 뉴스룸"
4,"LG전자 모델이 경기도 수원시 수원KT위즈파크에서 LG LED 사이니지(LBF 스타디움 시리즈)를 활용한 약 330m 길이의 리본보드(띠전광판)를 소개하고 있다.LG전자가 스타디움 전용 LED 사이니지를 처음으로 국내 야구장에 공급했다.LG전자는 경기도 수원시 '수원KT위즈파크' 내 리본보드(띠전광판)를 'LG LED 사이니지(LBF 스타디움 시리즈)'로 조성했다고 28일 밝혔다.1루부터 3루까지 내야석 바로 위 외벽에 설치된 리본보드는 높이 1m, 가로 330m에 달한다. 이는 국내 야구장에 설치한 LED 사이니지 가운데 가장 길다.이번에 설치한 LG LED 사이니지는 휘도(광원 단위 면적당 밝기 정도)가 6000니트(nit)로 밝아 외야 관중석에서도 각종 이벤트, 선수 소개, 응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다. 1초에 4000장의 화면을 구현하는 4000헤르츠(㎐) 고주사율로 선수들의 역동적인 움직임도 매끄럽게 보여준다.또 LG전자는 그라운드 내 백스탑(본루 뒤쪽 공간)에도 'LG LED 사이니지'를 활용해 높이 약 1.5m, 가로 약 9m 크기 광고물을 설치했다.LG전자는 그 동안 축적한 기술력과 노하우를 기반으로 LED 사이니지 설계 및 설치부터 제품 상태를 실시간 모니터링 할 수 있는 시스템까지 모두 제공했다.LG전자는 각종 경기장 환경에 최적화된 스타디움 전용 LED 사이니지 라인업을 갖췄다. 이번에 설치한 LBF, LBS 스타디움 시리즈를 포함해 모두 7종을 운영하고 있다.임정수 LG전자 한국B2B마케팅담당은 “스포츠 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공하겠다”고 말했다.권건호기자"
5,"경기 수원의 ‘수원KT위즈파크’에서 모델들이 내야석 바로 위 외벽 띠전광판에 설치된 ‘LG LED 사이니지를 소개하고 있다.LG전자 제공LG전자가 스타디움 전용 LED 사이니지를 처음으로 국내 야구장에 공급했다.LG전자는 경기 수원의 ‘수원KT위즈파크’ 내 띠전광판을 LG LED 사이니지로 조성했다고 28일 밝혔다. 1루부터 3루까지 내야석 바로 위 외벽에 설치된 띠전광판은 가로 330m, 높이 1m로 국내 야구장에 설치한 LED 사이니지 가운데 최장 길이를 자랑한다.이번에 설치된 LED 사이니지는 휘도(광원의 단위 면적당 밝기 정도)가 6000니트로 밝아 관중석에서도 손수 소개나 각종 이벤트, 응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다.1초에 4000장의 화면을 구현하는 4000헤르츠(Hz)의 고주사율로 매 순간 변화하는 선수들의 역동적인 움직임을 충실히 포착해 경기를 즐길 수 있게 해 준다. LG전자는 그라운드 내 백스톱(본루 뒤쪽 공간)에도 LED 사이니지를 활용한 높이 약 1.5m, 가로 약 9m 크기의 광고물을 선보였다.임정수 LG전자 한국B2B마케팅 담당은 “스포츠, 엔터테인먼트 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반으로 한 솔루션을 지속적으로 제공해 나가겠다”고 말했다.정서린 기자"
6,"LG전자는 경기 수원의 프로야구 수원 KT위즈의 홈구장에 LED(발광다이오드) 사이니지를 설치했다고 28일 밝혔다. 이번에 설치된 사이니지는 1루부터 3루까지 내야석 바로 위의 외벽에 자리잡았다. 리본보드는 높이 1m에 가로가 330m에 달해 국내 야구장에 공급된 제품 중 최장이다. LG전자의 LED 사이니지는 휘도(광원의 단위 면적당 밝기)가 6000니트(nit, cd/㎡)로 밝아 외야 관중석에서도 각종 이벤트, 선수 소개, 응원 문구 등의 콘텐츠를 감상할 수 있다. 4000헤르츠(Hz)의 고주사율도 갖추고 있다.또 LG전자는 그라운드 내 백스탑(본루 뒤쪽 공간)에도 LED 사이니지를 활용해 높이 1m에 가로 약 9m 크기의 광고판을 설치했다. 임정수 LG전자 한국B2B마케팅담당은 ""스포츠 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공할 것""이라고 말했다"
7," LG전자가 수원KT위즈파크에 스타디움 전용 LED 사이니지를 공급했다고 28일 밝혔다.LG전자는 경기도 수원시에 위치한 수원KT위즈파크 내 리본보드(띠전광판)를 'LG LED 사이니지(제품명: LBF 스타디움 시리즈)'로 조성했다. 1루부터 3루까지 내야석 바로 위 외벽에 설치된 리본보드는 높이 1m, 가로 330m에 달한다. 이는 국내 야구장에 설치한 LED 사이니지 가운데 가장 길다.이번에 설치한 LG LED 사이니지는 휘도(광원의 단위 면적당 밝기의 정도)가 6000니트(nit, cd/m2)로 밝아 외야 관중석에서도 각종 이벤트·선수 소개·응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다. 1초에 4000장의 화면을 구현하는 4000헤르츠(Hz)의 고주사율로 선수들의 역동적인 움직임도 매끄럽게 보여준다는 설명이다.또한 LG전자는 그라운드 내 백스탑(본루 뒤쪽 공간)에도 'LG LED 사이니지(제품명: LBS 스타디움 시리즈)'를 활용해 높이 약 1.5m, 가로 약 9m 크기의 광고물을 설치했다.LG전자는 LED 사이니지 설계 및 설치부터 제품 상태를 실시간 모니터링 할 수 있는 시스템까지 모두 제공했다. 임정수 LG전자 한국B2B마케팅담당은 ""스포츠 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공할 것""이라고 말했다.김위수기자"
8," LG전자가 수원KT위즈파크에 스타디움 전용 LED 사이니지를 공급했다고 28일 밝혔다.LG전자는 경기도 수원시에 위치한 수원KT위즈파크 내 리본보드(띠전광판)를 'LG LED 사이니지(제품명: LBF 스타디움 시리즈)'로 조성했다. 1루부터 3루까지 내야석 바로 위 외벽에 설치된 리본보드는 높이 1m, 가로 330m에 달한다. 이는 국내 야구장에 설치한 LED 사이니지 가운데 가장 길다.이번에 설치한 LG LED 사이니지는 휘도(광원의 단위 면적당 밝기의 정도)가 6000니트(nit, cd/m2)로 밝아 외야 관중석에서도 각종 이벤트·선수 소개·응원 문구 등 다양한 콘텐츠를 선명하게 볼 수 있다. 1초에 4000장의 화면을 구현하는 4000헤르츠(Hz)의 고주사율로 선수들의 역동적인 움직임도 매끄럽게 보여준다는 설명이다.또한 LG전자는 그라운드 내 백스탑(본루 뒤쪽 공간)에도 'LG LED 사이니지(제품명: LBS 스타디움 시리즈)'를 활용해 높이 약 1.5m, 가로 약 9m 크기의 광고물을 설치했다.LG전자는 LED 사이니지 설계 및 설치부터 제품 상태를 실시간 모니터링 할 수 있는 시스템까지 모두 제공했다.임정수 LG전자 한국B2B마케팅담당은 ""스포츠 등 다양한 산업군에 최적화된 LG 사이니지의 혁신 기술력을 앞세워 고객 가치 기반의 솔루션을 지속 제공할 것""이라고 말했다.김위수기자"
9," 세미나허브는 7월 16일 서울 강남 포스코타워 역삼에서 ‘차세대 LED 디스플레이(미니/마이크로LED/QNED) 최신기술 및 전략 세미나’를 개최한다고 29일 밝혔다.    온라인&오프라인 동시진행되는 이번 행사는 ▲국내 디스플레이 산업의 위협 요인과 기술 차별화 위한 전략 변화 ▲미니/마이크로LED/QNED 디스플레이 시장, 기술 및 전략 분석 ▲LED 응용 디스플레이(미니/마이크로/나노LED) 기술이슈 및 개발동향 등을 주제로 발표가 진행된다.   이와 함께 미니/마이크로LED 관련 기술개발 동향 및 해결과제와 디스플레이 전사 기술개발 동향, 모듈 조립공정 및 레이저 장비기술 등 총 8개 발표가 이어질 예정이다.   세미나허브 관계자는 “기업들이 차세대 디스플레이의 방향성을 LED 디스플레이로 잡았다”고 설명했다. 12일 시장조사기관 옴디아에 따르면 지난 1분기 대부분의 디스플레이 시장은 전년동기대비 줄었지만 LED 디스플레이는 성장을 유지했다.    해당 세미나는 오는 7월 13일까지 사전등록을 접수한다.    <이종현 기자>bell@ddaily.co.kr"
