,contents
0,"SK 하이닉스 청주 반도체 공장의 LNG(액화천연가스) 발전소가 환경영향평가에서 '조건부 동의'를 받았다. 최종적으로 산업부가 승인하면 SK 하이닉스는 계획대로 발전소를 건립할 수 있게 된다.29일 환경부는 ""지난주 SK하이닉스 청주 LNG 발전소에 '조건부 동의' 의견을 산업부에 통보했다""고 밝혔다. 지난 2월 '보완'을 요청한지 4개월 만에 내준 것이다.SK하이닉스는 2022년까지 청주시 흥덕구 외북동 일대에 585㎿급 LNG 발전소를 건립하겠다는 계획을 지난해 밝혔다. 반도체 공장에 전력을 안정적으로 공급하기 위해서다. 하지만 미세먼지 발생 등 환경오염에 대한 우려를 나타내는 청주 주민들의 반대가 만만치 않았다. 환경부도 이런 주민들의 우려를 일부 인정하며 1차 심사에서는 '보완' 의견을 냈다. 하지만 보완을 요청받은 SK하이닉스 측이 질소산화물(NOx) 배출관련 상쇄산업 등을 담은 추가 계획서를 냈고 이 점이 받아들여지면서 최종적으로 '조건부 동의'를 받을 수 있었다.환경부 측은 ""SK 하이닉스 측 발전소가 질소산화물을 177t가량 배출하는데 그에 해당하는 만큼 상쇄사업을 하겠다는 감쇄안을 가져왔다""며 ""구체적으로 친환경보일러 사업, 전기버스, 대기오염 저감사업등을 지역상생협의체를 만들어 시행하겠다는 계획이었다""고 밝혔다. 산업부의 최종 승인이 남았지만 환경영향평가라는 큰산을 넘은 만큼 사업 추진의 동력을 얻었다.하지만 문제는 시민단체의 반발이다. 충북미세먼지대책위원회는 세종시 환경부 청사 앞에서 100일 넘게 천막 농성을 벌이고 있다. 30일에는 '조건부 동의' 철회를 촉구하는 기자회견도 열 예정이다. [김연주 기자]"
1,"SK하이닉스 충북 청주 반도체 공장의 LNG(액화천연가스)발전소(스마트에너지센터)가 환경영향평가에서 '조건부 동의'를 받았다.29일 업계와 환경부 등에 따르면, 환경부는 지난 23일 SK하이닉스의 청주 LNG발전소에 대해 조건부 동의 결과를 산업통상자원부로 전달했다. 지난 2월 '보완' 요청 이후 4개월만이다. 다만, 아직 SK하이닉스로 정식 통보는 되지 않은 상태다.이에 따라 산자부에서 최종 승인을 하게 되면 SK하이닉스는 계획대로 발전소를 건립할 수 있게 된다. 환경부 관계자는 ""산자부에서 환경영향평가에 더해 다른 여러 승인 여건을 종합적으로 고려해 최종 승인을 판단할 것""이라고 전했다.SK하이닉스는 지난해 청주 테크노폴리스 3차 개발부지 내 5만4860㎡에 설비용량 585㎿(스팀 150톤/h) 규모의 열병합발전소를 건립하겠다는 계획을 밝힌 바 있다. 청주 반도체 공장으로 원활하게 전력을 공급하기 위해서다.SK하이닉스는 이 시설에 2022년 상반기 준공을 목표로 약 8000억원을 투입할 예정이다"
2,"대우건설은 SK건설과 함께 공사비 약 3243억원 규모의 국내 액화천연가스(LNG) 플랜트 공사를 원청으로 수주했다고 29일 밝혔다. 대우건설에 따르면 양사가 구성한 조인트 벤처(Joint Venture)는 지난 26일 '울산 북항 석유제품 및 액화가스 터미널 1단계 LNG 패키지 건설공사' 계약을 체결했다.이 공사는 울산 북항 내에 21만5000㎘ 용량의 LNG 탱크 1기와 연산 약 100만t 용량의 기화송출설비를 포함한 부대시설 건설을 추진하는 사업이다. 한국석유공사, SK가스, MOLCT 등이 지분 참여한 코리아에너지터미널 주식회사(KET)가 발주한 공사다. 조인트 벤처는 오는 7월 착공해 2024년 6월까지 공사를 진행한다. 양사는 대우건설 51%, SK건설 49%의 지분율로 설계, 구매, 시공, 시운전 등 모든 업무를 원청으로 공동 수행한다.대우건설은 국외는 물론 향후 국내시장에서 LNG 플랜트 분야의 발주 물량이 지속적으로 증가할 것으로 예상하고 있다. 대우건설은 지난해 나이지리아 NLNG 액화 플랜트 EPC 공사 수주를 주도하며, 그동안 몇몇 글로벌 건설사들이 독식해온 LNG 플랜트 시장에 처음으로 원청으로 참여했다. 세계에서 기술력을 인정받은 LNG 플랜트 분야를 회사의 새로운 성장동력으로 정하고, 국내외 신규 LNG 저장시설 건설사업을 수주하는 데 역량을 집중한다는 계획이다.특히 대우건설과 SK건설은 해당 부지 내 별도 석유제품 저장시설로 구성된 오일 패키지(Oil Package) 건설공사의 우선협상대상자 지위를 확보하고 있어 추가 수주 가능성이 높은 상태다.대우건설 관계자는 ""신종 코로나바이러스 감염증(코로나19)과 유가 하락 등의 어려운 여건 속에서 대우건설이 오랜 기간 축적해 온 우수한 기술력과 경험을 인정받아 공사를 수주했다""면서 ""발주처 및 지역 사회와 긴밀히 교류하며 안전하고, 빈틈없이 공사를 완수하겠다""고 말했다.☞공감언론 뉴시스"
3,"대우건설은 코리아에너지터미널에서 발주한 ‘울산 북항 석유제품 및 액화가스 터미널 1단계 LNG 건설공사’ 계약을 체결했다고 29일 밝혔다.이 사업은 다음달부터 2024년 6월까지 울산 북항 내에 21만5000㎘ 용량의 LNG 탱크 1기와 연산 약 100만톤 용량의 기화송출설비, 부대시설 등을 건설하는 사업이다. 대우건설은 SK건설과 조인트벤처를 구성해 설계, 구매, 시공, 시운전 등 모든 업무를 원청으로 공동 수행한다. 공사비는 약 3243억원으로 지분율은 대우건설 51%, SK건설 49%이다.대우건설과 SK건설은 동일 공종 수행 경험을 통해 수주에 성공했다. 대우건설은 국내에서 한국가스공사가 운영하는 인천, 통영, 평택, 삼척 생산기지 등에 LNG 저장설비 22개 호기를 시공한 실적을 보유하고 있다. 해외에서는 예멘 LNG 저장설비 2기 등을 건설했다. SK건설은 보령 LNG 터미널 프로젝트를 수행해 오고 있다. 보령 LNG 터미널 1~4호기는 현재 상업운전 중이다. 5∙6호기는 추가 시공 중이다.대우건설 관계자는 “코로나19와 유가 하락 등의 어려운 여건 속에서 수주한 이번 공사는 대우건설이 LNG 플랜트 분야에서 발주처들과의 우호적인 협력 관계를 구축하며, 오랜 기간 축적해 온 우수한 기술력과 경험을 인정받은 결과”라고 말했다. 대우건설과 SK건설은 해당 부지 내 별도 석유제품 저장시설로 구성된 오일 건설공사의 우선협상대상자 지위도 확보하고 있어, 추가 수주 가능성이 높은 것으로 알려졌다.동아닷컴 정진수 기자"
4,"[헤럴드경제=민상식 기자] 대우건설은 코리아에너지터미널에서 발주한 ‘울산 북항 석유제품 및 액화가스 터미널 1단계 액화천연가스(LNG) 패키지(Package) 건설공사’ 계약을 지난 26일 체결했다고 29일 밝혔다.다음달부터 오는 2024년 6월까지 울산 북항 내에 21만5000킬로리터(㎘) 용량의 LNG 탱크 1기와 연산 약 100만톤(t) 용량의 기화송출설비를 포함한 부대시설 건설을 추진하는 사업이다.대우건설은 SK건설과 조인트벤처(Joint Venture)를 구성해 설계와 구매, 시공, 시운전 등 모든 업무를 원청으로 공동 수행한다. 공사비는 약 3243억원으로 지분율은 대우건설 51%, SK건설 49%이다.이번 입찰에는 국내 유수의 대형건설사들이 참여해 FEED(기본설계) 검증, 기술입찰 평가, 가격입찰 평가 과정에서 치열한 경합을 벌였으며, 대우건설과 SK건설이 가진 풍부한 동일 공종 수행 경험과 수행 계획 적합성 등이 수주에 강점으로 작용한 것으로 알려졌다.대우건설과 SK건설은 지난 26일 발주처인 코리아에너지터미널과 플라자호텔에서 계약 체결식을 가졌다. )사진 오른쪽부터 )김형 대우건설 사장, 문병찬 코리아에너지터미널 사장, 안재현 SK건설 사장 [대우건설 제공]대우건설은 국내에서 한국가스공사가 운영하는 인천, 통영, 평택, 삼척 생산기지 등에 LNG 저장설비 22개 호기를 시공한 실적을 보유하고 있다. 해외에서는 예멘 LNG 저장설비 2기 등을 성공적으로 건설한 경험을 갖고 있다.LNG 플랜트 분야에서 우수한 EPC(설계-조달-시공) 역량을 보유한 SK건설은 보령 LNG 터미널 프로젝트를 설계부터 조달, 시공, 시운전에 이르기까지 성공적으로 수행해 오고 있다. 보령 LNG 터미널 1~4호기는 현재 상업운전 중이며, 5·6호기는 추가 시공 중에 있다.대우건설은 LNG 플랜트 분야를 회사의 새로운 성장동력 사업으로 선정하고 이번에 계약을 체결한 울산 북항 PJ 외 국내 신규 LNG 저장시설 건설사업에도 적극적으로 참여할 계획이다.대우건설 관계자는 “신종 코로나바이러스 감염증(코로나19)와 유가 하락 등의 어려운 여건 속에서 수주한 이번 공사는 대우건설이 LNG 플랜트 분야에서 발주처들과의 우호적인 협력 관계를 구축하며, 오랜 기간 축적해 온 우수한 기술력과 경험을 인정받은 결과”라고 밝혔다"
5,"대우건설은 코리아에너지터미널㈜에서 발주한 ‘울산 북항 석유제품 및 액화가스 터미널 1단계 액화천연가스(LNG) 패키지 건설공사’ 계약을 지난 26일 체결했다고 29일 밝혔다.해당 프로젝트는 울산 북항 내에 21만5000㎘ 용량의 LNG 탱크 1기와 연산 약 100만톤 용량의 기화송출설비를 포함한 부대시설을 짓는 공사다. 대우건설은 SK건설과 조인트벤처를 구성해 설계·구매·시공·시운전 등 모든 업무를 원청으로 공동 수행한다. 공사비는 약 3243억원으로 지분율은 대우건설 51%, SK건설 49%이다. 공사 기간은 올해 7월부터 2024년 6월까지다.이번 입찰에는 국내 유수의 대형 건설사들이 참여해 FEED(기본설계) 검증, 기술입찰 평가, 가격입찰 평가 과정에서 치열한 경합을 벌였다. 대우건설과  SK건설이 가진 풍부한 동일 공종 수행 경험과 수행 계획 적합성 등이 수주에 강점으로 작용한 것으로 알려졌다.대우건설은 한국가스공사가 운영하는 인천, 통영, 평택, 삼척 생산기지 등에 LNG 저장설비 22개 호기를 시공한 실적을 보유하고 있다. 해외에서는 예멘 LNG 저장설비 2기 등을 성공적으로 건설해 국내외에서 LNG 플랜트 건설 분야 최고의 기술력과 시공 경험을 가진 건설사로 평가되고 있다.LNG 플랜트 분야에서 우수한 EPC(설계·구매·시공) 역량을 보유한 SK건설은 보령 LNG 터미널 프로젝트를 설계부터 조달, 시공, 시운전에 이르기까지 성공적으로 수행해 오고 있다. 보령 LNG 터미널 1~4호기는 현재 상업운전 중이며, 5·6호기는 추가 시공 중에 있다.대우건설과 SK건설은 해당 부지 내 별도 석유제품 저장시설로 구성된 오일(Oil) 패키지 건설공사의 우선협상대상자 지위를 확보하고 있어, 추가 수주 가능성이 높은 것으로 알려졌다.대우건설 관계자는 “코로나19와 유가 하락 등의 어려운 여건 속에서 수주한 이번 공사는 대우건설이 LNG 플랜트 분야에서 발주처들과의 우호적인 협력 관계를 구축하며, 오랜 기간 축적해 온 우수한 기술력과 경험을 인정받은 결과”라고 말했다"
6,"대우건설은 SK건설과 함께 이달 26일 코리아에너지터미널이 발주한 울산 북항 석유제품 및 액화가스 터미널 1단계 액화천연가스(LNG) 패키지 건설공사를 수주했다고 29일 밝혔다.    공사비는 약 3천243억원 규모다. 지분율은 대우건설이 51%, SK건설이 49%다.     이 사업은 울산 북항 내 21만5천㎘ 용량의 LNG 탱크 1기와 연산 약 100만t 용량의 기화송출설비를 포함한 부대시설을 건설하는 공사로, 공사 기간은 다음달부터 2024년 6월까지이다.    대우건설은 SK건설과 조인트벤처(JV)를 구성해 설계, 구매, 시공, 시운전 등 모든 업무를 원청으로 공동 수행한다.    건설업계는 향후 국내에서 LNG 플랜트 분야 발주 물량이 지속적으로 증가할 것으로 기대하고 있다.    대우건설 관계자는 ""신종 코로나바이러스 감염증 사태와 유가 하락 등 어려운 여건 속에서 공사를 수주해 의미가 있다""며 ""발주처, 지역 사회와 긴밀히 협의해 안전하게 공사를 완수하겠다""고 말했다.울산 북항 석유제품 및 액화가스 터미널 1단계 LNG 패키지 건설공사 계약식[대우건설 제공, 재판매 및 DB 금지]    "
7,    
8,    
9,"대우건설과 SK건설이 코리아에너지터미널㈜에서 발주한 ‘울산 북항 석유제품 및 액화가스 터미널 1단계 LNG Package 건설공사’ 계약을 체결했다.두 회사가 2024년 6월까지 울산 북항 내에 215,000㎘ 용량의 LNG 탱크 1기와 연산 약 100만톤 용량의 기화송출설비를 포함한 부대시설 건설을 추진하는 내용이다.대우건설과 SK건설은 조인트벤처(Joint Venture)를 구성하여 설계, 구매, 시공, 시운전 등 모든 업무를 원청으로 공동 수행한다. 공사비는 약 3243억원으로 지분율은 대우건설 51%, SK건설 49%이다.대우건설은 LNG 플랜트 분야를 회사의 신성장동력 사업으로 선정하고 이번에 계약을 체결한 울산 북항 PJ 외에 국내 신규 LNG 저장시설 건설사업에도 적극적으로 참여할 계획이다.대우건설 관계자는 “코로나19와 유가 하락 등의 어려운 여건 속에서 수주한 이번 공사는 대우건설이 LNG 플랜트 분야에서 발주처들과의 우호적인 협력 관계를 구축하며, 오랜 기간 축적해 온 우수한 기술력과 경험을 인정받은 결과”라고 평가했다.대우건설과 SK건설은 해당 부지 내 별도 석유제품 저장시설로 구성된 Oil Package 건설공사의 우선협상대상자 지위를 확보하고 있어 추가 수주 가능성이 높은 것으로 알려졌다.신인규기자"
