,contents
0,"시정 6주년, 항공산업 G7 도약 기반 다져[김동수 기자(-사천)"
1,"윤관석 의원(인천 남동구을),인천공사법 개정안 발의경남 사천시 “항공 MRO 빼앗길 위기” 바짝 긴장경남 사천에 있는 국내 첫 항공정비 전문업체 KAEMS 전경. 사천시 제공경남 사천에 있는 항공mro 전문업체인 KAEMS의 항공기 초도 정비입고 행사. 사천시 제공우리나라 관문공항인 인천공항에 항공정비사업(MRO)이 가능토록 관련법 개정이 추진되자 경남 사천시가 ‘발끈’하고 나섰다.사천에는 국내 유일의 항공완제기 제작사인 KAI를 비롯해 국내 첫 항공 MRO 전문회사인 KAEMS가 있고, 항공 MRO전문산단이 조성되고 있다.사천시에 따르면 인천이 지역구인 윤관석 국회의원(더불어민주당·인천 남동구 을)이 지난19일 인천 중심의 항공산업 발전을 위한 ‘인천국제공항공사법 일부 개정안’을 대표 발의했다.이 개정안에는 인천이 지역구인 송영길, 김교흥, 박찬대, 신동근, 유동수, 이성만, 정일영 의원은 물론 박홍근, 조응천, 강준현, 허영 의원 등 다른 지역구 국회의원도 공동 발의했다.특히 윤관석 의원은 지난 20대 국회에 이어 21대 국회에서 또다시 이 법률안을 대표 발의해 인천공항의 항공 MRO사업 추진에 대한 강한 의지를 내보였다.발의된 개정안에는 항공기정비업, 교육훈련사업 지원 등 인천공항공사의 목적사업을 더 추가한 것이 주요 내용으로 알려졌다.지난 22일 인천공항공사법 개정안 발의에 대응하기 위한 경남 사천지역 관련기관·업계의 대응전략 모색을 위한 협의회 모습. 사천시 제공이런 상황이 전개되지 국내 ‘항공산업의 메카’임을 내세우며, 항공 MRO 전문단지를 조성 중인 경남 사천시가 즉각 반발하고 나섰다.사천시는 지난 22일 시청 항공경제국장실에서 KAI, KAEMS, 지역 국회의원 보좌관 등 모두 8명이 참석, 이 개정안 발의에 대한 대책 회의를 열고, 대정부 건의문 작성·통보 등 대응방안을 논의하는 등 긴장된 모습을 보였다.사천시와 시의회는 물론 KAI와 KAEMS, 지역 항공산업체 등은 “지역의 주력산업기반이 통째로 흔들릴 우려가 높다”며 주장했다..특히 “정부가 지정한 사천 항공 MRO가 진행 중인 데, 인천공항에 또다른 항공MRO를 추진하는 것은 국가 핵심인프라사업의 중복투자로 또하나의 국력 낭비가 될 수 있다”며 “수도권과 경쟁을 붙이면 지역 항공 MRO는 성장하기 힘들 것”이라고 주장했다.또 발의된 인천국제공항공사법 개정안이 통과되면 국내 해당 지자체 간 극심한 갈등과 혼란이 우려된다고 경고했다. 이선규 기자"
2,"인천국제공항공사법 개정, 항공정비사업 추진[김동수 기자(=사천)"
3,"약유통 자회사 안연케어 매출1분기 15%↑·총이익의 70% 국내 소모성 자재(MRO) 시장 1위 기업인 아이마켓코리아가 의약품 유통사업을 확대한다. 의약품 유통사업을 하는 자회사 안연케어가 올 1분기에 지난해 같은 기간에 비해 15%나 늘어난 1149억원의 매출을 올렸다. 올 1분기 영업이익은 81억원 규모로 아이마켓코리아 1분기 전체 영업이익의 70%를 차지했다. 안연케어는 연세의료원이 1992년 설립한 의약품 유통전문회사로, 세브란스병원과 강남세브란스병원 등에 의약품을 공급하고 있다. 아이마켓코리아가 2014년 안연케어 지분 51%를 인수해 자회사로 포함시켰다. 아이마켓코리아는 안연케어 인수 후 다른 상급병원으로 고객사를 확대하고 있다. 2015년부터 중앙대병원에 납품하기 시작한 데 이어 올해에는 이화의료원 산하병원과 진료재료 공급계약을 체결했다. 지난 3월 용인세브란스병원이 새로 개원하면서 매출이 더 늘어날 것으로 보인다.의약품 유통시장은 지오영·백제약품 등 상위 5%에 해당하는 업체들이 전체 시장의 68%를 차지하고 있다.대부분 전국 약국과 의원에 납품하는 기업들이다. 반면 안연케어와 같은 병원 전문 유통업체는 매출 규모는 작지만 상대적으로 수익성이 높다. 안연케어 매출 규모는 전체 의약품 유통업체 중 14위(2018년 기준) 수준이다.[이덕주 기자]"
4,"(사진=자료사진)충북 청주 에어로폴리스 지구를 헬리콥터 등 회전날개 항공기 중심의 정비산업 클러스터로 조성하기 위한 사업이 본격화됐다.  충청북도는 지난 4월 산업통상자원부에 신청한 청주 에어로폴리스 1지구 사업면적 13만 3천㎡의 개발계획변경에 대한 심의가 오는 30일 진행된다고 25일 밝혔다. 변경 계획의 주요 내용은 천안-청주공항 간 복선전철 노선계획에 따라 1만 9천㎡의 면적을 축소하는 내용을 담고 있다. 또 회전익 중심의 항공정비산업(MRO)단지로 거듭나기 위한 유치업종 변경, 산업시설용지 확대 등이다. 청주 에어로폴리스 1지구는 실시계획변경 절차를 거쳐 2022년 조성을 완료할 예정이다. 도는 1지구와 현재 추진하고 있는 2.3지구와 연계해 회전익 중심의 항공정비 클러스터로 조성한다는 계획이다. 이미 지난해 10월에는 3개 정비회사와 2천억 원 규모의 투자협약까지 체결했다. 충북도 관계자는 ""청주시와 함께 에어로폴리스 지구를 차질 없이 개발해 중부권 공항 경제 활성화를 이끌겠다""고 말했다."
5,"소모성 자재 구매 대행 인터파크비즈마켓과 제휴㈜인천대학교출판문화원(대표 정유진)은 26일 MRO 사업 위탁사인 ㈜인터파크비즈마켓(대표이사 허탁)과 제휴해 인천대학교에 맞춰 개발한 ‘구매∙배송 119서비스’를 런칭했다고 밝혔다.‘구매∙배송 119서비스’란 학교 운영에 필요한 상품 중 빠르고 신속하게 제공돼야 하는 상품들을 주문 빅 데이터를 기반으로 온라인몰에서 관리하고, 구매자가 온라인몰을 통해 구매하면 문 앞까지 당일 배송이 진행되는 언택트 자동화 서비스이다.국내 최초로 대학 MRO서비스를 도입한 지 3년만에 인천대학교가 또 다시 국내 대학 가운데서는 처음으로 물류혁신 서비스를 업그레이드하는 성과를 낸 것이다.MRO는 Maintenance, Repair, Operations의 약자로 소모성 자재를 구매하고 시설을 유지 보수하는데 들어가는 물품과 서비스를 제공하는 회사를 지칭하는 경영학 전문 용어이다.인천대학교 조동성 총장은 학교의 청렴도를 높이기 위해 2017년 2월 ㈜인천대학교출판문화원을 설립해 교내 MRO 사업을 시행한 뒤 교내 물품구매 거래의 투명성을 확보했고, ㈜인천대학교출판문화원은 지난해 8월 ㈜인터파크비즈마켓을 MRO 사업 위탁사로 선정해 지금까지 운용하면서, 구매비용 절감은 물론 구매의 투명성을 높여 학교의 청렴도 제고에 기여해 왔다.‘구매∙배송 119서비스’는 교내 MRO 서비스가 단순히 투명하고 효율적인 구매과정을 보여주는 데 그치지 않고 구매 이후의 필수사항인 상품검수를 배송 전 시행하여 고객에게 안전하게 상품을 인도하는 과정까지 서비스의 폭을 확장하고 소비자 만족을 높일 수 있도록 고안된 교내 맞춤형 서비스이다.㈜인천대학교출판문화원 정유진 대표는 이번 서비스가 국내 어느 대학에서도 시도하지 않은 최초 서비스로 앞으로도 타 대학은 물론 일반 기업의 물류혁신 체제 개선을 선도하고 새로운 서비스와 플랫폼으로 선진 모델을 지속적으로 제시하도록 노력해나가겠다고 밝혔다. 또한‘구매∙배송 119서비스’라 명명한 데는 긴급한 물품 구매를 돕는 상징적 의미와 함께 인천대학교의 주소인 아카데미로 119를 반영, 인천대학교만의 서비스란 의미가 내포돼 있다고 설명했다.B2B 전문기업 ㈜인터파크비즈마켓은 국내기업 및 공공기관을 대상으로 복지, 판촉, MRO서비스를 제공하는 종합 플랫폼기업이다.㈜인터파크비즈마켓 허탁 대표는 “이번 서비스 런칭을 통해 인천대학교의 구매와 물류서비스 플랫폼을 완성하고, 전국 대학과의 제휴, 지역 상생협력 등 다양한 유통채널 확보와 물류혁신을 통해 더욱 편리하고 혁신적인 서비스를 지속적으로 선보이겠다”고 말했다.인천=정창교 기자"
6," 인천대학교출판문화원이 MRO 사업 위탁사인 인터파크비즈마켓과 제휴해 개발한‘구매·배송 119서비스’를 런칭했다.‘학교 운영에 필요한 상품 중 빠르고 신속하게 제공돼야 하는 상품들을 주문 빅 데이터를 기반으로 온라인몰에서 관리하고, 구매자가 온라인몰을 통해 구매하면 문 앞까지 당일 배송이 진행되는 언택트 자동화 서비스이다. 국내 최초로 대학 MRO서비스를 도입한 지 3년만에 인천대학교가 또 다시 국내 대학 가운데서는 처음으로 물류혁신 서비스를 업그레이드하는 성과를 낸 것이다.  MRO(Maintenance, Repair, Operations)는 소모성 자재를 구매하고 시설을 유지 보수하는데 들어가는 물품과 서비스를 제공하는 회사를 지칭하는 경영학 전문 용어이다.인천대 조동성 총장은 학교의 청렴도를 높이기 위해 2017년 2월 ‘인천대학교출판문화원’을 설립하여 교내 MRO 사업을 시행한 뒤 구매비용 절감은 물론 구매의 투명성을 높여 학교의 청렴도 제고에 기여해 왔다.  이번 ‘구매·배송 119서비스’는 교내 MRO 서비스가 단순히 투명하고 효율적인 구매과정을 보여주는 데 그치지 않고 구매 이후의 필수사항인 상품검수를 배송 전 시행하여 고객에게 안전하게 상품을 인도하는 과정까지 서비스의 폭을 확장하고 소비자 만족을 높일 수 있도록 고안된 교내 맞춤형 서비스이다.온라인뉴스팀"
7," 대한상공회의소와 중소벤처기업부는 ‘중소기업 복지플랫폼’의 제휴업체를 확대하고 기업소모성자재(MRO)관·지역특별관을 신설하는 등 신규 서비스 확충에 박차를 가한다고 24일 밝혔다. 대한상의와 중기부는 지난 2019년 9월 대기업과 중소기업 간 복지격차를 완화하고 중소기업 근로자도 대기업 못지않은 복지를 누릴 수 있도록 ‘중소기업 복지플랫폼’을 출범시켰다. 현재 26개 제휴업체에서 여행·휴양, 취미·자기계발, 상품몰 등 5개 분야의 복지서비스를 중소기업 임직원에게 시장 최저가 또는 추가 할인된 금액으로 제공한다.출범 후 약 9개월 동안 5,500개 기업, 8만여명의 중소기업 임직원이 복지플랫폼에 가입해 다양한 복지서비스를 이용하고 있다. 누적판매액도 11억원을 넘어섰다.대한상의와 중기부는 중소기업 근로자들이 많이 이용하는 상품몰, 여행·휴양 분야에서 더욱 다양한 서비스를 제공하기 위해 올해 6월 SK매직, 여기어때 등과 제휴했다. 또 11번가, 미소 등 4개 업체와 추가 제휴를 논의 중이다. 출범 당시 19개였던 중소기업 복지플랫폼 제휴업체를 오는 7월까지 30개 업체로 확대할 계획이다.또 7월에 기업소모성자재(MRO)관을 신설해 복사용지 등 기업에서 많이 쓰는 소모용품을 시장 최저가 수준으로 제공할 예정이다. 9월에는 광역지자체 중심으로 지역특별관을 열어 지역 내 휴양시설 및 체험서비스, 특산품 등 지역별 특화 서비스도 제공할 예정이다.최원영 중기부 일자리정책과장은 “중소기업의 복지수준은 대기업의 43%에 불과하다”면서 “대기업과 중소기업 간 복지격차를 완화하기 위한 정책을 마련하고 중소기업 복지플랫폼의 서비스도 강화해 더 많은 중소기업 근로자들이 대기업 수준의 복지혜택을 받을 수 있도록 노력하겠다”고 밝혔다.한편 대한상의와 중기부가 중소기업 복지플랫폼 가입 기업 대상으로 중소기업 근로자 복지지원 실태를 조사한 결과 직원에게 복지비를 지급하지 못하거나 1인당 연 10만원 미만으로 지급하는 기업이 47.5%인 것으로 조사됐다. 또 조사에 참여한 중소기업의 82.4%가 정부가 복지비용 일부를 지원하는 등 부담을 덜어준다면 근로자 복지에 적극 투자할 의사가 있다고 답했다. 진경천 대한상의 중소기업복지센터장은 “중소기업이 직원들에게 복지비를 지원하고 싶어도 경제적 부담으로 망설이는 것으로 보인다”면서 “정부에서 중소기업이 복지투자에 나설 수 있도록 정책적 지원을 해준다면 기업들도 근로자 복지향상을 위해 노력할 것”이라고 말했다.중소기업 복지플랫폼은 중소기업이라면 별도의 가입비나 이용료 없이 누구나 활용할 수 있다. 중소기업 복지플랫폼에서 가입신청이 가능하며 사업자등록증, 중소기업 확인서 등의 필요서류를 제출하면 24시간 내 가입승인이 된다./이재용기자"
8," 중소벤처기업부(이하 중기부)는 ‘중소기업 복지플랫폼’의 제휴업체 확대, 기업소모성자재(MRO)관 지역특별관 신설 등 신규서비스를 확충한다고 24일 밝혔다. 이는 중소기업 근로자가 활용할 수 있는 선택적 복지제도의 대표 브랜드로 자리매김할 수 있도록 하기 위함이다.지난해 9월 중기부와 대한상공회의소(이하 대한상의)는 대기업과 중소기업간 복지격차를 완화하고 중소기업 근로자도 대기업 못지않은 복지를 누릴 수 있도록 ‘중소기업 복지플랫폼’을 출범시켰다. 복지플랫폼에서는 현재 26개 제휴업체에서 여행 및 휴양, 취미 및 자기계발, 상품몰 등 5개 분야의 복지서비스를 중소기업 임직원에게 시장 최저가 또는 추가 할인된 금액으로 제공하고 있다.출범 이후 약 9개월 동안 5540개 중소기업, 8만여명의 임직원이 ‘복지플랫폼’에 가입해 다양한 복지서비스를 이용하고 있으며 누적판매액 또한 11억원을 넘어섰다. 중기부와 대한상의는 중소기업 근로자들이 많이 이용하는 상품몰, 여행 및 휴양 분야에서 더욱 다양한 서비스를 제공하기 위해 올해 6월 SK매직, 여기어때 등과 제휴를 맺었다. 또한 11번가, 미소 등 4개 업체와 추가 제휴를 논의 중으로 출범 당시 19개였던 제휴업체를 올해 7월까지 30개 업체로 확대할 계획이다.또한, 올해 7월에는 기업소모성자재(MRO)관을 신설해 복사용지 등 기업에서 많이 쓰는 소모용품을 시장 최저가 수준으로 제공할 예정이다. 9월에는 광역지자체 중심으로 지역특별관을 열어 지역 내 휴양시설, 체험서비스, 특산품 등 지역별 특화 서비스도 제공한다.중기부 관계자는 “중소기업의 복지수준은 대기업의 43%에 불과하다”면서 “대기업과 중소기업간 복지격차를 완화하기 위한 정책을 마련하고, 중소기업 복지플랫폼의 서비스도 강화해 더 많은 중소기업 근로자들이 대기업 수준의 복지혜택을 받을 수 있도록 노력하겠다”고 밝혔다.중소기업 복지플랫폼 가입 및 이용에 관한 문의는 중소기업 복지플랫폼 고객센터로 하면 된다.권오석 "
9,"이석행 한국폴리텍대학 이사장한국폴리텍대학(이사장 이석행)과 한국항공우주기술협회(회장 이상희)는 18일 인천 구산동 폴리텍 청사에서 '항공 유지·보수·정비(MRO) 특화 캠퍼스 구축을 위한 업무협약'을 맺었다고 밝혔다.양 기관은 관련 분야 전문인력 양성을 위한 폴리텍 항공 MRO 특화 캠퍼스 구축에 협력하기로 했다. 이를 위해 △교육과정 및 교재 개발 △전문가 자문 및 교육과정 참여 △교육훈련시설 및 장비 공동 활용 △공동 연구과제 선정 및 기술 개발 △교직원 역량 강화 △교육용 교보재 지원 등 상호 협력을 강화한다.폴리텍은 올해 핵심 사업인 항공 MRO 특화 캠퍼스 구축에 속도감을 내게 됐다. 인천국제공항과 인접한 남인천캠퍼스를 항공 MRO 특화형으로 전환하는 교과 개편과 교육훈련 인프라 개선 작업이 한창이다.폴리텍은 유럽항공안전청(EASA)에서 발급하는 MRO 정비 자격(A1) 취득이 가능한 교육훈련과정 개설을 위해 내년도 예산 확보에 행정력을 집중하고 있다.내년 3월 운영을 목표로 하는 '항공 MRO 글로벌과정'은 일반 운항정비뿐만 아니라 항공기 개조 기술을 포함한 공장정비 능력까지 갖춘 정비 인력을 키우는 게 목표다. 국내 정비사 자격 보유자 또는 2년제 대학 이상 졸업(예정)자를 대상으로 총 10개월간 1400시간 교육을 거쳐 연간 20명을 양성할 계획이다.교육 수료자는 필기 자격시험 12개 모듈을 통과하고, EASA 정비 조직 인증 업체에서 3년간 현장훈련(OJT) 경력을 쌓으면 국제 정비 자격을 획득할 수 있다.남인천캠퍼스는 최근 공군본부로부터 F-5 항공기 1대와 J-85 엔진 1점을, 육군본부로부터 UH-IH 헬기 1대와 500 MD 헬기 1대 수증을 확정해 9월 중 이전을 추진한다.또 항공기 랜딩기어 시제품 제작이 가능한 통합 공정 실습장 '러닝팩토리' 구축 공사가 진행 중으로, 하반기 개관 예정이다.이석행 폴리텍 이사장은 “폴리텍은 2001년부터 경남 사천 항공캠퍼스를 통해 항공 분야 전문 인력 4000여명을 배출했다”며 “MRO 기술 인재를 양성해 일자리 창출은 물론 기업과 국가 항공정비 산업 경쟁력 강화에도 기여할 것”이라고 말했다.이경민기자"
