,0
0," 대형건설사끼리 뭉친 컨소시엄 아파트가 주목받고 있다. 특히 수도권(서울·경기·인천)은 지방에 비해 주택 부지가 부족하다 보니 주로 대단위 사업장을 통해 이뤄지는 대형건설사 컨소시엄의 희소가치가 더욱 부각되는 모습이다.부동산114 자료를 보면 지난해 수도권에서 청약을 진행한 신규 단지 182곳 가운데 대형건설사 컨소시엄은 약 4%인 7곳에 불과한 것으로 집계됐다. 지난 10년 동안(2009년~2019년) 수도권 내 분양 단지를 살펴보더라도 전체의 약 3%(1686곳 중 46곳)로 매우 희소하다.높은 희소가치 이외에도 대형건설사들의 만남은 안정적인 사업성 확보로 입주 지연과 같은 우려를 덜 수 있는데다 오히려 사업 진행 속도가 빨라지기도 한다. 상품 면에서도 각 건설사들의 기술이 집약돼 선호하는 수요자들이 많아 시세도 높게 형성된다.예를 들어 서울시 성동구 하왕십리동에 위치한 ‘센트라스’(2016년 11월 입주)는 현대건설, 포스코건설, SK건설이 공동으로 시공했다. 부동산114에 따르면 이 단지의 3.3㎡당 평균 매매가격은 지난 5월 기준 3924만원으로 지역 평균(하왕십리동, 3185만원)을 웃돌며 시세 리딩 역할을 하고 있다.상황이 이렇자 청약 수요자들의 관심도 대형건설사 컨소시엄 아파트로 향하고 있다. 부동산114 자료를 보면(6월 24일 기준) 6월부터 12월까지 수도권에서 분양하는 대형건설사 컨소시엄 아파트는 7곳이다. 지역별로는 △경기도 1만2968가구, 4곳 △서울시 1만2032가구, 1곳 △인천시 4801가구 2곳 순이다.경기도에서는 HDC현대산업개발과 GS건설이 지난 19일 수원시 팔달구 인계동 일원에서 팔달10구역 주택재개발사업을 통해 ‘수원 센트럴 아이파크 자이’ 견본주택 문을 열고 본격 분양에 돌입했다. 지하 4층~지상 25층, 30개동, 전용면적 39~103㎡ 총 3432가구 규모로 이 중 2165가구를 일반분양한다. GS건설과 대우건설은 7월 성남시 수정구 신흥동 일원에서 ‘산성역 자이푸르지오’를 분양할 예정이다. 지하 4층, 지상 21~29층, 31개동, 전용면적 51~84㎡ 총 4774가구 중 1718가구를 일반분양한다. 이외에도 대우건설·롯데건설·현대엔지니어링이 7월 광명시 광명동 일원에서 총 3344가구의 ‘광명2R구역재개발’(가칭)을, HDC현대산업개발·롯데건설은 9월 수원시 영통구 망포동 일원에서 총 1418가구의 ‘수원망포2차4·5블록’(가칭)을 공급할 계획이다.서울에서는 현대건설·HDC현대산업개발·대우건설·롯데건설이 7월 강동구 둔촌동 일원에서 ‘둔촌주공재건축’(가칭)을 분양할 예정이다. 총 1만2032가구 규모로 조성되는 이 단지는 지하철 9호선 둔촌오륜역과 5호선 둔촌동역을 도보로 이용할 수 있는 역세권 입지다. 인천에서는 현대건설·HDC현대산업개발·포스코건설이 오는 10월 미추홀구 학익동 일원에서 ‘용현학익1-1블록’(가칭)을 분양할 예정이다. 이 단지는 총 2430가구로 이뤄진다. 11월에는 현대건설과 GS건설이 계양구 작전동 일원에서 총 2371가구 규모의 ‘인천계양1구역재개발’(가칭)을 선보일 계획이다.수원 센트럴 아이파크 자이 석경 투시도. (사진=GS건설)정두리 "
1, 서울 시내의 한 건설 공사장.
2, [[머투초대석]박재홍 대한주택건설협회 회장] 박재홍 대한주택건설협회장 인터뷰 / 사진=이기범 기자
3,"혁신서비스 테스트…먹거리 발굴 노려컨소시엄 참여 여부 9월 18일까지 결정ⓒ게티이미지뱅크세종·부산 스마트시티 국가시범도시를 건설·운영할 민간 특수목적법인(SPC)에 건설사뿐만 아니라 정보통신기술(ICT)·자동차 등 내로라하는 국내 대기업들이 참여 의사를 타진하고 있는 것으로 확인됐다. SPC 대표 기업은 수천억원을 투자해야 하는 만큼 수익 모델 개발 여부가 실제 사업 참여 여부를 가를 것으로 보인다.25일 관련 업계와 지방자치단체 및 국토교통부 등에 따르면 현대건설·GS건설·포스코·호반 등 건설사와 함께 현대자동차, LG CNS, SK텔레콤, 카카오 등이 SPC 컨소시엄 참여를 검토하고 있다.세종·부산 스마트시티 국가시범도시 SPC 공모에 참여하려면 이달 말까지 참여의향서를 제출해야 한다. 참여의향서는 대표사가 제출하고 컨소시엄 참여 기업은 오는 9월 18일까지 내는 사업계획서에서 참여와 투자를 확정하면 된다. 정부는 제안된 사업계획서를 심사해서 10월에 우선사업자를 선정하고 연말에 민·관 공동 SPC를 출범할 계획이다.국가시범도시에서는 모빌리티, 헬스, 교육, 에너지 등 미래 혁신 서비스를 테스트해 볼 수 있다. 관련 분야 기업 입장에서는 매력 넘치는 사업 투자처다. 세종에서는 자율주행 전용도로까지 구축된다. 자동차·통신·인터넷 기업이 관심을 기울이는 이유다.이들 기업은 건설사와 컨소시엄을 구성, 사업을 준비할 계획이다. 다른 업종 기업과 함께 컨소시엄을 꾸리고 있다. 현대건설·현대차가 함께하고 LG전자와 LGCNS, GS건설 등이 힘을 모으는 것으로 알려졌다. 이들 기업은 최근 국토부·세종시·부산시에 적극 문의하면서 사업을 준비하고 있다.민간이 관심을 보이면서 국가 주도 스마트시티에서 민간 혁신서비스 활성화 공산이 높아졌다. 스마트시티는 정부가 아닌 시민이나 기업 등 참여 주체들이 ICT를 활용해 도시 문제를 해결하는 도시다. 민간 참여와 비즈니스 모델이 없다면 투자 부담으로 서비스 지속성을 담보하기 어렵다. 혁신 서비스를 발 빠르게 도입하기 위해서도 민간 참여가 절대 필요하다. 정부가 국가시범도시 민간 SPC를 공모하는 이유다.정부는 더 많은 기업이 참여할 수 있도록 1대1로 대응하며 사업을 설명하고 있다. 국토부는 기업 요청에 의해 찾아가는 설명회를 10여 차례 진행했다. 사전 제안요청서(RFP) 공고 후 설명회에도 30여개 기업이 찾아와 상담했다.국가시범도시 SPC 구조문제는 투자 자금이다. 정부가 지난 2018년 의결한 국가시범도시 이행계획에 따르면 세종·부산 두 스마트시티 사업에 모두 3조7000억원가량이 투자된다. 이 가운데 민간 투자 규모(예상)가 약 1조2900억원이다. SPC 컨소시엄 내 상위 지분 3사는 50% 이상 투자를 해야 하는 규정 때문에 대표기업은 수천억원 규모의 투자를 확정해야 한다.부동산 개발로 투자금을 회수해도 이를 서비스에 재투자해야 하는 문제도 있다. 정부는 국가시범도시가 구축 이후에도 세계 최고 스마트시티로 운영되도록 SPC가 부동산 개발을 통해 얻은 이익을 혁신적인 신규 서비스 도입에 재투자하도록 했다. 구축 5년, 운영 10년 기간도 부여했다. 신규 서비스가 지속 도입되는 선순환 구조를 만들기 위한 규정이지만 기업으로서는 수익 전망이 불확실한 상태에서 부담 요인으로 다가온다.이 같은 문제를 풀기 위해 수자원공사·LH 등 공공이 함께 출자하고 정부는 혁신 서비스 구축 비용 지원 및 관련 규제를 해소한다는 구상이다.국토부는 25일부터 국가 시범도시 내 혁신 서비스 발굴을 위해 규제 특례와 실증사업비 5억원을 지원하는 규제샌드박스 사업을 공모한다.세종에서는 에너지 스마트 거래관리, 스마트 통합배송 서비스 등 4개 서비스를, 부산은 건강토큰, 인공지능(AI) 응급의료 등 4개 서비스를 지정 공모 분야로 제시했다. 창의적인 서비스 아이디어도 자유공모로 제안할 수 있도록 했다.업계 관계자는 “전인미답의 길인 만큼 스마트시티 구축 후 수익을 얼마나 낼 수 있을지 전망하기 어렵다”면서 “그럼에도 스마트시티가 미래 먹거리라는 점에서 어떤 형태로든 참여하고자 하는 기업이 많다”고 말했다.국토부 관계자는 “사업제안서를 만드는 단계에도 정부와 논의해야 할 사항이 많아 의향서를 먼저 받고 있다”면서 “코로나19로 투자가 위축돼 참여 기업이 적지 않을까 우려됐지만 상당히 많은 기업이 관심을 보이고 문의하고 있다”고 전했다.문보경기자"
4,   
5,"[앵커]지난 해 KBS가 대구 달성군의 한 공공임대 아파트에서 민간건설 임대 사업자가 분양 장사를 하려 한다는 의혹을 여러 차례 보도해드렸습니다.실제 분양전환 시기가 되자 입주민 절반 이상을 분양가가 저렴한 우선분양 대상에서 제외해 입주민들이 강하게 반발하고 있습니다.보도에 이재민 기자입니다.[리포트]입주민들이 건설업체 직원을 상대로 거세게 항의합니다.공공임대 아파트는 임대 의무기간 5년이 지나면 일정한 조건을 갖춘 입주민들이 우선분양권을 갖게 됩니다.그런데 건설업체가 입주민의 절반이 넘는 450여 가구를 부적격 판정해 우선분양을 못 받게 된 겁니다.[장형곤/입주민 : ""애를 키운다고 본가에 나가서 3~4개월 살고 오니까 수도세도 안나오고 전기세도 안나와서 너희는 여기 집(임대아파트)에서 산 게 아니고 (부적격자다.)""]부적격 판정을 받은 입주민 대부분은 임대주택 청약 모집이 끝나고 남은 물량에 대해 선착순 모집으로 입주한 가구입니다.임대주택법에는 선착순 입주의 경우 분양 전환 당시 거주하는 무주택자면 우선분양을 받을 수 있다고 규정돼 있습니다.입주민들은 건설업체가 이를 무시하고 부적격자로 판정했다고 주장합니다.59㎡형의 경우, 우선분양가는 1억3천5백만 원이지만, 일반분양가는 5~6천만 원 더 비싸 건설사가 폭리를 취하려 한다는 겁니다.이에 대해 건설업체는 자체 조사 결과 부적격 사례가 상당수 발견됐다며 입주민들에게 소명 자료를 받아 적격 여부를 다시 판단하겠다고 밝혔습니다.[건설업체 관계자/음성변조 : ""'소명자료를 내주십시오'라고 한 가구가 대부분이고요. 1차 소명자료에서 살아난 세대들이 한 100세대 정도 됩니다.""]입주민들이 건설업체를 상대로 부동산매각금지가처분소송을 제기해 임대아파트 우선분양을 둘러싼 시시비비는 법정에서 가려질 것으로 예상됩니다.KBS 뉴스 이재민입니다.이재민 기자 "
6," 한경비즈니스가 ‘2020 웰빙 아파트’를 선정했다. 지속적인 혁신을 통해 주거 환경을 향상시키고 삶의 질을 높이는 데 일조한 8개 건설사(현대건설·대림산업·GS건설·대우건설·롯데건설·SK건설·금호산업·쌍용건설)가 그 주인공이다.이들 건설사들은 자신들만이 가지고 있는 건설 노하우와 특화 설계를 십분 발휘해 주거 공간에 건축미, 친환경, 실용성, 조경 환경, 생활 편의 시설 등이 조화로운 단지를 만들며 한국의 주거 문화 발전에 크게 기여했다.한국에서는 매년 30만 가구 내외의 아파트가 건설된다. 이 아파트들이 매년 쌓이고 쌓여 이제는 거대한 아파트 공화국을 만들고 있다. 공급이 계속 쌓이다 보니 이제 소비자들은 ‘좀 더 잘 만들고 살기 좋고 편리한’ 아파트를 찾아 나선다.자연스레 시장이 공급자 중심에서 수요자 중심으로 바뀐 것이다. 건설사들은 소비자의 마음을 사로잡기 위해 안간힘을 쓰고 있다. 자사가 보유한 기술·공법·설계 등을 통해 차별화를 꾀하는 한편 이를 소비자에게 알리기 위해 다양한 방법의 마케팅도 전개한다.더욱이 요즘 분양 시장은 정부의 강력한 규제로 혼돈의 연속이다. 수요자들의 욕구를 얼마나 충족시키는지 여부에 따라 분양 시장이 양극화 현상을 보이고 있다. 눈높이에 맞지 않으면 거들떠보지도 않는 반면 자신이 살고 싶은 아파트라면 너 나 할 것 없이 몰려든다.이에 건설사들은 아파트를 공급하는 지역에 자신이 지은 아파트가 최고가 될 수 있도록 다양한 공법을 연구·개발(R&D)하는 한편 다른 아파트와 차별화된 특화 서비스를 장착하기 위해 노력하고 있다.실제로 최근 분양된 아파트들을 살펴보면 라이프스타일에 맞춰 공간 구조를 자유롭게 바꿀 수 있는 가변형 벽체, 채광과 통풍을 극대화한 평면 설계, 테마별 콘셉트 공원, 천장 높이기, 방음성을 높인 바닥 시공, 폭넓은 주차장 등 다양한 특화 설계를 선보여 수요자들을 유혹하고 있다.또 입주민의 편의를 고려한 커뮤니티 시설을 갖춘 단지들도 만들어지고 있다. 불과 몇 년 전까지만 해도 경로당·헬스장·놀이터·독서실 등 커뮤니티 종류가 제한적이었지만 최근에는 실내수영장·캠핑장·옥상정원 등으로 진화하고 있다.건설사들도 높아진 수요자들의 눈높이에 맞추기 위해 나름의 차별화 전략을 구사하고 있는 상황이다. 특히 최근에는 미세먼지와 황사 등 나빠진 대기 질을 고려해 주변 자연환경을 최대한 활용하고 단지 내 녹지화 비율을 높이는 등 미세먼지 저감에 사활을 걸고 있다.한경비즈니스는 주거 서비스 발전과 건설 산업의 경쟁력을 높인 건설사와 단지를 조사해 △종합 △고객 만족(2곳) △마케팅 △브랜드(2곳) △친환경(2곳) 등의 부문에서 우수한 ‘2020 웰빙 아파트 대상’ 8곳을 선정했다.◆ [종합 대상] 현대건설현대건설은 2020 웰빙 아파트 대상의 최고 영예인 ‘종합 대상’을 차지했다. 지속적인 혁신을 통해 주거 환경을 향상시키고 입주민들의 삶의 질을 높여 온 모든 것이 완벽했다.최근 현대건설은 건설업계 맏형의 위용을 뽐내고 있다. 지난 70여 년간 보여 온 ‘뜨거운 열정’과 ‘불굴의 도전 정신’으로 무(無)에서 유(有)를 창조해 한국의 ‘건설 신화’를 기록했었던 것처럼 2020년의 국내 주거 문화를 선도하고 있다.지난해에는 3조원에 육박하는 재건축·재개발 정비 사업 수주 실적을 달성하며 업계 1위를 차지했다. 입주민의 눈높이에 맞춘 특화 설계, 아파트 브랜드의 고급화 등의 전략이 잘 갖춘 덕분이다.올해도 현대건설은 신종 코로나바이러스 감염증(코로나19)으로 업황이 위축된 상황임에도 불구하고 잇따라 시공권을 따내며 상반기에만 1조5396억원어치를 수주했다.이런 현대건설이 대전광역시 동구 가양동 452의 1, 452의 34에서 ‘힐스테이트 대전 더스카이’ 분양에 나선다. 힐스테이트 대전 더스카이는 지하 4층~지상 49층, 3개 동 규모로 아파트와 상업 시설이 함께 들어서는 주거 복합 단지다.힐스테이트 대전 더스카이는 최고 49층으로 대전 동구에서 가장 높은 최고층 주거 단지인 만큼 대전 도심권의 새로운 스카이라인을 형성하는 랜드마크 주거 단지로 주목받고 있다.◆ [고객 만족 대상] 대우건설·금호산업‘고객 만족 대상’은 대우건설과 금호산업이 수상했다. 두 건설사는 한국을 대표하는 건설사답게 품질로 고객들에게 다가가 높은 점수를 받았다. 우선 대우건설은 ‘세운 푸르지오 헤리시티’가 고객들의 높은 만족도를 이끌어 냈다.도심형 소형 공동주택이지만 최상층에 자리해 탁월한 남산 조망권과 명동 등 도심 조망권을 누릴 수 있는 데다 풀옵션(가전·가구)과 발코니 확장도 기본으로 제공해 실사용 면적을 같은 전용면적의 오피스텔보다 무려 30~40% 넓힌 것이 높은 점수를 받았다.세운 푸르지오 헤리시티는 14년 만에 개발이 시작되는 세운지구에 분양한 대우건설의 주상복합이다.또 다른 ‘고객 만족 대상’은 금호산업이 차지했다. 여주시에 처음으로 선보이는 금호어울림 브랜드 아파트 ‘여주역 금호어울림 베르티스’를 통해 고객들의 만족을 이끌어 냈다. 금호산업은 여주역 금호어울림 베르티스 단지를 여주시 대표 랜드마크 아파트로 만든다는 계획이다.이를 위해 최상층에는 테라스를 갖춘 펜트하우스를 조성하고 입주민이 이용할 수 있는 조경 공간에서 여유로움을 만끽할 수 있도록 특화 설계를 준비 중이다. 또 입주민의 편의를 위한 각종 부대시설을 단지 내에 설치할 예정이다.◆ [마케팅 대상] SK건설‘마케팅 부문 대상’ 수상의 영광은 SK건설이 차지했다. 지난 6월 9일 분양에 성공한 ‘부평 SK 뷰(VIEW) 해모로(부평 SK뷰 해모로)’의 마케팅이 눈에 띄는 성공을 보여줬기 때문이다.부평 SK뷰 해모로는 분양에 앞서 유튜브를 통해 입지와 단지 분석, 가구 유닛 등에 대한 분양 정보를 제공했는데 영상 공개 17일 만에 누적 조회 수 17만 건을 달성했다. 하루 1만 명이 영상을 시청한 셈이다. 결국 분양도 대박이 났다.SK건설 관계자는 “신종 코로나바이러스 감염증(코로나19)으로 인해 견본주택을 방문할 수 없었던 실수요자에게 사이버 견본주택을 통해 자세한 분양 정보를 제공할 수 있었다”며 “앞으로도 분양 정보뿐 아니라 다양한 주제의 콘텐츠를 통해 고객들과의 소통을 확대해 나갈 계획”이라고 말했다.◆ [브랜드 대상] 롯데건설·쌍용건설‘브랜드 대상’은 롯데건설과 쌍용건설이 수상했다. 두 건설사는 한국의 대표 파워 브랜드라는 명성에 걸맞게 올해 부동산 시장에서의 영향력을 한껏 뽐냈다.우선 롯데건설은 지난해 롯데건설이 롯데캐슬의 새로운 디자인 ‘롯데캐슬 3.0’을 선보인 이후 롯데캐슬 브랜드 아파트들은 높은 프리미엄을 자랑하며 승승장구하고 있다. 현재 롯데건설은 ‘대곡역 롯데캐슬 엘클라시’ 분양을 준비 중이다.브랜드 대상의 또 다른 주인공 쌍용건설은 최근 공급한 ‘더 플래티넘’ 아파트들이 연이어 청약에서 좋은 성적을 내면서 분양 시장에서 두각을 나타내고 있다.쌍용건설은 지난해 1월 경기도 부평 이후 분양이 없던 더 플래티넘 아파트를 올해 서울 서울역, 경기도 수원시 오목천역, 부산광역시 해운대, 대구 수성구에서 선보이며 청약 흥행을 이어 가고 있다.쌍용건설은 더 플래티넘 브랜드를 시장에 알리기 위해 2~3년 전부터 준비해 왔고 ‘해외 고급 건축 시공 실적 1위 기업’이 짓는 최고 품질의 주택으로 입주민들이 자부심을 느낄 수 있도록 쌍용건설의 모든 기술력과 노하우를 집결했다.◆ [친환경 대상] 대림산업·GS건설‘친환경 대상’은 대림산업과 GS건설에 돌아갔다. 먼저 대림산업의 수상 단지는 영종국제도시 중심부에 자리한 ‘e편한세상 영종국제도시 오션하임’이다.2019년 1월 입주를 시작한 이 단지는 녹지율 46%의 공원 같은 아파트, 채광과 공간의 효율을 극대화한 가구별 공간 설계로 쾌적한 여유가 함께하는 친환경 웰빙 라이프를 실현했다는 평가를 받았다.GS건설은 ‘신동탄포레자이’를 통해 수상했다. 이 단지는 인근에 있는 서천레스피아·남산근린공원·농서근린공원 등의 다양한 녹지와 수변 공간을 입주민들이 손쉽게 이용할 수 있도록 설계했다.더욱이 주거 선호도 높은 영통·기흥·동탄과 가까워 다양한 생활 인프라의 수혜를 누릴 수 있는 데다 규제의 영향을 받지 않는 입지에 들어서는 점도 돋보였다"
7,"하반기 전국 24만세대 분양…상반기 대비 약 60%정부의 분양가 규제와 수요자들의 신축 아파트 선호가 맞물리면서 청약수요 쏠림 현상이 지속되는 가운데, 올 하반기에는 전국에서 24만여 세대가 분양에 나설 예정이다.25일 부동산114에 따르면 하반기 전국 분양예정 물량은 총 24만 2110세대(임대 포함한 총세대수 기준)로 집계됐다. 청약 이관업무와 신종 코로나바이러스 감염증(코로나19) 확산 여파로 분양일정을 소화하기 버거웠던 상반기(15만 세대)에 비해 58.7% 늘어난 수준이다. 지역별로 수도권에서 13만8873세대, 지방은 10만3237세대가 공급을 준비 중이다. ◆ 전매제한 규제 직전인 7월에 분양 집중하반기 분양은 7월에 집중될 전망이다. 7월 분양예정 물량은 8만6501세대로 하반기 월평균 4만세대의 2배가 넘는다. 5월말 조사된 7월 물량(4만8000여 세대)에 비해서도 2배 정도 많다.8월부터 수도권과 광역시에서 소유권이전등기시까지 전매가 제한되기 때문에 건설사들이 분양을 서두르고 있다.실제로 5월 조사 당시 분양일정이 8월 이후나 미정으로 잡혔던 서울 강동구 천호1구역재개발(999세대), 경기 평택시 평택고덕제일풍경채2차에듀(877세대), 광주 북구 유동재개발(2240세대), 부산 영도구 부산오션라이프에일린의뜰(1050세대) 등이 7월로 분양일정을 대폭 앞당겼다.◆ 분양가상한제 물량에 고가점 청약통장 쏟아질까하반기 분양예정 물량은 경기지역이 총 7만4469세대로 가장 많다. 6.17 부동산대책으로 수도권 대부분 지역이 규제지역으로 지정되면서 대출과 전매제한이 강화된 가운데 ▲성남시 신흥동산성역자이푸르지오(4774세대) ▲광명시 광명동 광명2R구역 재개발(3344세대) ▲안양시 호계동안양덕현지구 재개발(2761세대) ▲수원시 망포동수원망포2차(1418세대) 등이 공급을 준비하고 있다.서울(3만4279세대)에서는 ▲둔촌주공재건축(1만2032세대) ▲래미안원베일리(2990세대) ▲아크로파크브릿지(1131세대)등 강남권의 대단지 아파트 분양이 이어진다. 특히 7월말 이후 분양가상한제가 적용되는 저렴한 물량에 가점 높은 청약통장 쏠림현상이 나타날 것으로 예상된다.인천에서는 하반기 총 3만125세대가 공급된다. 6.17대책을 통해 투기과열지구로 지정된 연수구, 남동구, 서구에서는 ▲연수구 인천송도자이(1524세대) ▲서구 검단신도시우미린(1234세대) ▲남동구 한화포레나인천구월(1115세대)등이 선보일 예정이다.여경희 부동산114 수석연구원은 ""인천은 작년 하반기 송도신도시의 분양 흥행으로 청약시장의 분위기가 반전된 후 올해 상반기(6월 24일 기준) 평균 37.3대 1의 청약경쟁률을 기록했다""며 ""투기과열지구로 지정된 일부 지역에서 전매제한과 대출 등 규제가 강화되지만, 전 지역(강화, 옹진군 제외)이 고분양가 관리지역으로 지정되면서 하반기에도 합리적인 분양가에 기인한 청약시장 호조세는 이어질 것""이라고 전망했다.◆ 청약시장 과열 전국 확대로 미분양 소진도 속도붙어지방에서는 부산(2만114세대), 대구(1만7553세대), 충남(1만2873세대)순으로 많다.부산은 2019년 11월 전 지역이 조정대상지역에서 해제된 후 청약시장에 수요가 크게 유입되는 모습이다. 하반기에는▲연제구 래미안레이카운티(4470세대) ▲동래구 온천4구역래미안(4043세대) 등 브랜드 대단지 공급이 예정됐다.대구는 8월 전매제한 강화 전 분양을 서두르는 분위기다. 7월 대구 분양물량은 ▲서구 서대구역반도유보라센텀(1678세대) ▲동구 해링턴플레이스동대구(1265세대) ▲대구동신천재개발(1190세대) 등으로 하반기 예정물량의 절반 이상인 총 8946세대로 집계됐다.올 들어 청약시장의 과열양상이 전국으로 확대되면서 미분양도 빠른 속도로 소화되는 추세다. 2019년 말 전국 4만3000세대에 달했던 미분양 물량은 올해 4월 3만6000세대로 줄었다. 새 아파트 선호가 여전한데다 분양가 통제로 분양가가 조정되는 지역이 늘면서 하반기 청약시장은 전반적으로 호조세를 유지할 것으로 분석된다.여경희 수석연구원은 ""수도권과 광역시에서는 분양물량이 쏟아지는 7월 청약수요자들의 관심이 집중될 전망""이라며 ""전매가 비교적 자유로운 지방 비규제지역에서는 개발호재가 있거나 저평가된 지역을 중심으로 수요가 유입될 것으로 보인다. 다만 제주와 경상권 등 미분양 소진이 더딘 지역에서는 청약시장의 온도차가 나타날 수 있다""고 내다봤다. [이미연 기자"
8,집터뷰김향훈 법무법인 센트로 대표변호사
9,"어렵게 장만한 새집을 보러 갔더니, 이렇게 벽은 부서져 있고 물이 샌다면 어떨까요. 지금까지는 이런 문제를 미리 알아도 일단 입주를 한 뒤에 건설사에 고쳐달라고 해야 했습니다. 내년부터는 달라집니다. 정부가 규정을 바꿔서 주민이 입주하기 전에 건설사가 보수 공사를 다 끝내도록 했습니다.이희정 기자입니다.[기자]손으로 벽을 누르자 푹푹 들어가고, 창문을 닫으면 창틀이 떠버립니다.벽지를 뜯어냈더니, 벽면이 부서져 있습니다.[아파트 입주민 : (외관상으로는) 도배지가 완벽하게 돼 있었거든요. 하자 부분을 찾아서 도배지를 뜯어봤고, 이 부분을 정확히 확인한 거예요.]준공된 지 한달 째 된 이 아파트는 입주 전부터 금이 가고 물이 새는 등 각종 하자로 주민들의 강한 항의를 받고 있습니다.[김모 씨/아파트 입주민 : 세탁기를 돌렸는데 물이 안 빠져가지고 물난리가 났죠. 내려가 보니까 (아래층에도) 물이 새고 있더라고요.]욕조나 난간처럼 안전에 직접적인 영향을 미치는 곳에서도 문제가 발견됐습니다.아파트 울타리 역할을 하는 안전 펜스인데요.이렇게 심하게 흔들립니다.난간을 잇는 부분에 용접이 제대로 되지 않은 겁니다.이런 아파트 하자 문제로 지난해 국토교통부에 접수된 신고만 4000여 건이 넘습니다.하자 분쟁이 늘고 있지만, 지금은 문제를 지적해도 일단 입주한 뒤에 건설사와 합의해 수리를 받아야 합니다.[아파트 입주민 : (입주 거부시) 집에 대한 이자나 부담 자체는 입주민에게 돌아오거든요. 어쩔 수 없이 다 입주를 하고 있는 상황같아요. 완벽하게 수리가 안 돼 있으면 입주를 하지 않던가…]이러자 정부는 내년 1월부터 새 아파트에서 하자가 생기면 건설사는 입주민이 이사하기 일주일 전까지 문제를 해결하도록 관련 규정을 바꿨습니다.입주자가 집을 미리 점검할 수 있는 시간도 현재는 하루뿐이지만, 내년부터는 이틀 이상으로 늘렸습니다.이를 어기면 건설사는 과태료를 내야 합니다.또 점검 결과 부실시공이 확인되면 정부가 건설사에 보수와 보강을 명령할 수 있습니다.(영상디자인 : 이정회)이희정 기자 "
