,contents
0,"벤텍프론티어가 만든 외부 장착 가능한 광촉매 필터 '바이로(V-100)'. 한국건설기술연구원 제공    공기청정기에 부착해 실내 공기에 포함된 세균이나 바이러스를 제거하는 공기 살균기가 우수 연구개발(R&D) 혁신제품에 선정됐다.    과학기술정보통신부는 28일 국내 나노광촉매 중소기업 벤텍프론티어가 개발한 바이로 공기 살균기를 과기정통부 제1호 우수 R&D 혁신제품'으로 지정했다고 밝혔다.   정부는 올해부터 정부 R&D 성과를 사업화한 중소기업 제품이 생산한 제품 가운데 공공서비스 개선과 국민 삶의 질 향상에 기여할 수 있는 제품을 대상으로 우수 R&D 혁신제품을 선정하고 있다.   과기정통부는 “기존의 물리적 필터 방식과는 다르게 공기중의 세균, 바이러스 등 감염원을 근본적으로 제거하고, 기존 공기청정기에 부착해 사용하는 방식”이라며 “신종 코로나바이러스 감염증(COVID-19·코로나19) 확산 방지에 기여할 수 있다는 점에서 좋은 평가를 받았다”고 밝혔다.  벤텍프론티어가 개발한 '바이로 공기 살균기'는 실내에서 작동하는 공기청정기에 부착해 실내 공기에 포함된 부유세균, 바이러스, 악취물질 등의 오염원을 제거한다. 한국화학연구원과 한국건설기술연구원, 한국한의학연구원 등 출연연 8곳이 공동으로 출범시킨 신종바이러스융합연구단(CEVI융합연구단)의 광촉매 소재 항바이러스 필터 기술을 이전받았다. 광촉매 소재 항바이러스 필터 기술은 이 가운데 건설연 연구자들이 개발을 주도했다.   해당 제품은 우수 R&D 혁신제품이라는 이름으로 조달청 나라장터에 등록된다. 제품 보유업체는 혁신제품 판매를 위해 조달청에 구매를 의뢰하거나 공공기관과 직접 수의계약을 할 수 있다.  정병선 과기정통부 제1차관은 “해당 제품 외에 접수된 50여개 제품에 대한 심사를 8월 중으로 마칠 계획”이라며 “연구성과가 공공 서비스 개선에 기여하고 기업활동에 도움될 수 있도록 지원하겠다”고 밝혔다. [고재원 기자  jawon1212@donga.com]▶ 동아사이언스 비디오 구독하기▶ 네이버에서 동아사이언스 구독하기▶ 동아사이언스에 가서 뉴스 더보기ⓒ 동아사이언스 콘텐츠 무단 전재 및 재배포 금지"
1,"우수 R&D; 혁신제품 1호…나라장터 등록, 공공기관 직접 수의계약 등 혜택과기정통부, 코로나19 심각성 감안해 빠른 행정 대응(과학기술정보통신부 제공) 2020.06.28 / 뉴스1(서울=뉴스1) 김승준 기자 = 공기중의 세균, 바이러스 등을 자외선으로 활성화되는 광촉매를 이용해 근본적으로 제거하는 필터가 상용화됐다. 공기청정기 등에 부착하면 바이러스를 제거해 감염 위험을 낮춰준다. 과학기술정보통신부는 정부 연구·개발(R&D;)성과를 사업화한 중소기업 제품의 혁신성을 평가해 '제1호 우수연구개발 혁신제품'을 지정했다고 28일 밝혔다.제품 개발업체 벤텍프론티어는 건설기술연구원 신종바이러스융합연구단의 광촉매 소재 항바이러스 필터 기술을 이전받아 부착 방식의 필터 모듈로 제품화에 성공했다.이 기술은 기존의 물리적 필터 방식과는 다르게 공기중의 세균, 바이러스 등을 자외선으로 활성화되는 광촉매를 이용해 근본적으로 제거할 수 있다. 필터는 기존 공기청정기에 부착해 사용하는 방식이다.이 필터는 '인간 코로나바이러스'에 대한 실험을 통해 성능을 입증한 만큼 코로나바이러스 기반의 감염병 예방에 효과를 볼 수 있을 것으로 기대된다. 이는 현재 유행하고 있는 신종 코로나바이러스 감염증(코로나19)과는 다른 바이러스다. 다만 코로나19와도 유사한 구조를 가졌기 때문에 코로나19 방역에도 효과가 있을 걸로 기대한다고 연구진은 밝혔다. 항바이러스 필터 모듈은 '우수연구개발 혁신제품'으로 조달청 나라장터에 등록되며, 제품 보유업체는 혁신제품 판매를 위해 조달청에 구매를 의뢰하거나 공공기관과 직접 수의계약을 할 수 있다.이번 우수연구개발 혁신제품 지정은 계획한 일정보다 2개월 일찍 진행됐다. 제품 지정은 8월말 예정이었으나 과기정통부는 코로나19 확산 사태의 심각성을 고려해 상황에 맞춘 제도 운영 조치를 취했다. 공공 조달을 통한 기업활동 촉진을 위해 혁신제품 지정 소요 기간을 단축하고, 코로나19 관련 신청제품은 우선 심사해 공공조달 연계 속도를 높였다.과기정통부는 우선 심사된 코로나19 관련 제품 외에 접수된 50여개 제품에 대한 심사도 차질 없이 진행해 당초 계획한 일정에 맞춰 8월에 제품 지정을 마칠 예정이다.우수연구개발 혁신제품 지정제도는 최근 5년 이내에 종료된 과기정통부 R&D; 성과를 제품화한 중소기업을 대상으로 신청제품에 대한 심사를 통해 혁신제품을 지정한다.정병선 제1차관은 ""우수한 연구성과가 코로나 19를 극복하고 공공서비스 개선에 기여하며 나아가 기업 활동에도 도움이 될 수 있도록 최선을 다해 지원하겠다""고 말했다.seungjun241@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
2,"과기정통부, 공공조달 지원 위해 코로나19 관련제품 우선 심사[아이뉴스24 최상국 기자] 광촉매 살균제 제조업체인 벤텍프런티어가 건설기술연구원의 기술을 이전받아 개발한 공기청정기용 항바이러스 필터 모듈이 과기정통부의 '제1호 우수연구개발 혁신제품’으로 지정됐다.벤텍프런티어의 '바이로 공기살균기(V-100)'는 공기청정기에 부착해 실내 공기에 포함된 부유세균, 바이러스, 악취물질 등의 오염원을 자외선 광촉매로 제거하는 제품이다.특히 부유세균, 부유바이러스를 99% 이상 제거하는 뛰어난 성능과 기존에 설치된 공기청정기에 부착해 사용하는 방식으로 코로나19 확산 방지에 기여할 수 있다는 점에서 좋은 평가를 받았다.벤텍프런티어는 과기정통부 산하 신종바이러스융합연구단(CEVI)에 참여하고 있는 건설기술연구원 연구진이 개발한 '광촉매 소재 항바이러스 필터 기술'을 이전받아 이를 부착 방식의 필터모듈로 제품화에 성공했다.과기정통부의 '우수연구개발 혁신제품' 지정제도는 최근 5년 이내 완료된 과기정통부 R&D; 과제로 개발된 기술을 상용화한 중소기업 제품 중에서 공공성과 혁신성이 뛰어난 제품을 정부 수의계약 대상 품목으로 지정해 판로를 지원하는 제도로, 정부의 ‘혁신지향 공공조달’ 정책에 따라 올해부터 추진되고 있다.‘우수연구개발 혁신제품’으로 지정되면 조달청 나라장터에 등록되며, 기업은 혁신제품 판매를 위해 조달청에 구매를 의뢰하거나 공공기관과 직접 수의계약을 할 수 있다.한편 과기정통부는 당초 계획된 혁신제품 지정일정은 8월말까지였지만 코로나19 확산 사태의 심각성을 고려해 코로나19 관련 제품을 우선 심사해 '1호' 제품을 지정했으며, 현재 접수된 50여개 제품에 대한 일반 심사도 차질 없이 진행해 당초 계획한 일정 내에 지정을 완료할 예정이라고 밝혔다. 정부 R&D;성과와 공공조달 생태계 [과기정통부]최상국기자 skchoi@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기  ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
3,"<정부 R&D 성과와 공공조달 생태계>     과학기술정보통신부는 '제1호 우수 연구개발 혁신제품'에 벤텍프런티어가 개발한 '바이로 공기살균기'를 선정했다고 28일 밝혔다. 이 제품은 한국건설기술연구원 신종바이러스융합연구단의 광촉매 소재 항바이러스 필터 기술을 이전받아 부착 방식의 필터 모듈로 만든 것이다. 기존 물리적 필터 방식과 달리 공기 중 세균, 바이러스 등 감염원을 근본적으로 제거하고, 기존 공기청정기에 부착해 쓸 수 있다.항바이러스 필터 모듈은 조달청 나라장터에 등록되며, 벤텍프론티어는 조달청에 구매를 의뢰하거나, 공공기관과 직접 수의계약을 할 수 있다.과기정통부는 코로나19 심각성을 고려해 당초보다 2개월 앞당겨 혁신제품을 선정했다. 접수된 50여 개 제품에 대한 일반심사를 통해 8월 내에 제품 지정을 모두 마칠 계획이다. 우수 연구개발 혁신제품은 최근 5년 이내 종료된 과기정통부 R&D; 성과를 제품화한 중소기업 제품을 대상으로 공공 현안 부합성, 제품 우수성, 시장에 미치는 영향 등을 종합적으로 심사해 선정한다. 정병선 과기정통부 제1차관은 ""우수한 연구성과가 코로나19 극복과 공공서비스 개선에 기여하고, 기업활동에 도움이 되도록 최선을 다해 지원하겠다""고 말했다.   이준기기자 bongchu@ 디지털타임스 채널 구독 / 뉴스스탠드 구독디지털타임스 홈페이지 바로가기"
4,"의왕시 IoT로 건강약자 실내공기질 관리. 사진제공=의왕시  [의왕=파이낸셜뉴스 강근주 기자] 의왕시는 미세먼지 등으로부터 건강약자를 보호하기 위해 어린이집, 경로당, 장애인복지시설 등 57개소에 실내외 공기질 측정기를 설치, 운용하고 있다.   윤창호 환경과장은 29일 “공기질 빅데이터 분석을 통해 실내에서 생활하는 시간이 많은 유아, 어르신 등 건강약자를 보호하고, 생활 속 미세먼지 저감대책을 적극 추진하겠다”고 말했다.   이번에 설치한 공기질 측정기는 IoT(사물인터넷)를 기반으로 공기질 농도에 따라 색깔과 이모티콘(표정)이 바뀐다. 실내공기질이 좋은 경우 파랑, 보통은 녹색, 나쁨은 노랑, 매우 나쁨은 빨강으로 표시돼 누구나 쉽게 일상생활 속에서 실내공기질 상태를 확인할 수 있다.   설치된 센서는 국가공인 시험검사기관인 KTR(한국화학융합시험연구원)로부터 초미세먼지에 대해 1등급 신뢰성을 인증 받았다. 측정기는초미세먼지(PM2.5), 미세먼지(PM10), 이산화탄소(CO2), 휘발성유기화합물(tVOCs) 등을 실시간으로 측정한 뒤 의왕시 및 시설 모니터에 데이터를 제공해 실내외 공기질을 관리하도록 유도한다.   미세먼지가 관리기준치 이상인 경우, 시설담당자 스마트폰 어플리케이션 자동알림을 통해 자발적 환기를 유도하거나 공기청정기를 가동해 쾌적한 시설환경을 유지하도록 한다.   한편 의왕시는 실시간으로 측정되는 데이터를 지속적으로 모니터링 및 분석해 시설별 맞춤형 실내공기질 유지, 개선방안을 마련할 계획이다.    kkjoo0912@fnnews.com 강근주 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
5,"코로나19 등 바이러스 살균효과 '탁월'...장마철 옷 습기제거 기능도발광다이오드(LED) 전문기업 이데아(대표 이대화)는 스탠드 옷걸이 의류청정기 '드레스타'를 출시했다고 29일 밝혔다.장마철을 겨냥해 출시한 드레스타는 습기와 냄새 제거, 살균·항균, 공기정화 등 멀티 기능을 갖춘 스탠드 옷걸이 의류청정기다.헤파필터와 탄소필터, 기본필터 등 3중 필터를 내장해 냄새를 없애고 미세먼지를 99% 이상 차단한다.이데아가 출시한 스탠드 옷걸이 의류청정기 드레스타.강력한 팬 작동으로 옷의 겉과 안감에 묻은 습기와 미세먼지, 냄새, 주름 등을 해결할 수 있다. 꿉꿉한 장마철에도 뽀송뽀송하게 옷을 입을 수 있다.옷걸이를 몸체와 분리해 옷장이나 신발장에 걸어 놓아도 살균과 공기 정화 기능을 발휘한다. 옷장에 오래 보관하는 의류에 생기는 곰팡이도 예방할 수 있다.야간에는 LED 조명으로 활용할 수 있다. 1~2인용으로 일반 가정이나 사무실, 회의실, 숙박업소, 레스토랑, 차량 등에 폭넓게 활용할 수 있다.소비자가격은 20만원 미만이다. 100만~200만원대 대기업 의류청정기 보다 저렴한 실속형 제품이다. 소비자가 선호하는 편의성과 가격 경쟁력을 모두 충족했다는 평가다.이대화 대표는 “최근 의류관리기와 공기청정기 시장이 폭발적으로 성장하고 있다”면서 “드레스타는 코로나19 등 바이러스 살균·항균 효과가 뛰어난데다 장마철 습기 제거에도 탁월해 소비자 만족도가 높을 것으로 기대한다”고 말했다.이데아가 출시한 스탠드 옷걸이 의류청정기 드레스타. 몸체를 분리해 사용할 수 있다.광주=김한식기자 hskim@etnews.com▶ 네이버 홈에서 [전자신문] 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
6,"© 뉴스1(서울=뉴스1) 김수정 기자 = 공기 청정 기술 전문 기업 클레어(대표 이우헌)가 홍콩 최대의 드럭스토어 매닝스(Mannings)를 통해 신제품 출시 이벤트를 6월 3일부터 약 4개월간 진행한다고 밝혔다.매닝스(Mannings)는 홍콩 전역에 350개 이상의 지점을 포함해 중국 내륙에 200개 이상의 매장을 보유한 건강&미용 전문 체인점으로 주로 의약품, 건강관리용품들을 전문적으로 판매하는 드럭스토어다. 클레어는 매닝스를 통해 2020년 하반기 신제품인 클레어 B3+, 클레어 HS+, 클레어 T+를 공개했다.클레어가 홍콩 매닝스를 통해 공개하는 신제품으로 무선 사용이 가능하고 휴대가 간편한 개인용 공기청정정기와 독보적이고 깔끔한 디자인으로 각 방마다 설치하여 최적의 청정효과를 누릴 수 있는 가정용 공기청정기를 만나볼 수 있다.텀블러처럼 한 손에 쏙 잡히는 그립감과 무선 사용이 가능해 어디든지 간편하게 사용 가능한 휴대용 무선 공기청정기 클레어B3+, 기존 클레어의 Best 상품 ‘클레어HC’의 미니 버전인 클레어 HS+, 마치 타워를 연상시키는 깔끔한 디자인의 클레어T+까지 다양한 라인업으로 소비자들의 시선을 사로잡을 예정이다.이우헌 대표는 “클레어의 탄탄한 기술력과 독보적인 디자인을 갖춘 다양한 제품으로 국내뿐만 아니라 해외 시장에서도 입지가 높아지면서 글로벌 브랜드로 성장세를 이어가고 있다”며, “앞으로도 꾸준히 해외 채널을 확대해 나갈 계획이다”라고 전했다.한편, 클레어는 국내 자체 공장에서 필터를 개발하고 생산하며, 공기청정기 완제품 생산까지 직접 운영하는 공기청정 기술 전문 기업이다. 원천기술과 팬 개발, 완제품 양산 설비까지 갖추었으며, 미국, 독일, 대만, 태국, 인도네시아, 필리핀 등 세계 14개국에 수출을 하는 글로벌 강소기업으로 인정받고 있다.nohsm@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
7,"[아이뉴스24 김세희 기자] 공기 청정 기술 전문 기업 ‘클레어(대표 이우헌)’가 홍콩 최대 규모의 헬스 앤 뷰티 드럭스토어 체인 매닝스(Mannings)와 ‘신제품 출시 이벤트’를 진행한다. 이번 이벤트를 통해 각종 할인 및 사은품 증정 이벤트가 함께 진행되며, 지난 6월 3일을 기준으로 약 4개월간 진행될 예정이다.매닝스(Mannings)는 홍콩의 대형 유통 업체인 데일리팜인터내셔널이 운영하는 드럭스토어 체인으로, 홍콩 내 350여 개의 지점을 포함해 마카오에 16개, 중국 내륙에 200개 이상의 지점을 보유하고 있다.클레어는 이번 신제품 출시 이벤트를 통해 2020 하반기 신제품을 공개했다. 휴대가 간편한 개인용 공기청정기와 깔끔한 디자인으로 각 방마다 설치하여 공기 청정 효과를 누릴 수 있는 가정용 공기청정기 제품이다.먼저 클레어 B3+는 텀블러처럼 한 손에 쏙 잡히는 그립감과 무선 사용이 가능한 제품이다. 언제 어디서나 간편하게 사용하여 깨끗한 공기를 마실 수 있는 제품이다. 타워를 연상시키는 독보적인 디자인의 클레어 T+와 국내에서 홈쇼핑 매진 기록을 남긴 BEST 인기 제품 ‘클레어HC’의 미니 버전인 클레어HS+도 만나볼 수 있다.한편 클레어는 전속모델 장나라와 함께 활발하게 활동하고 있는 원스톱 공기청정 기술 전문 기업이다. 국내 자체 공장에서 필터 개발 및 생산, 공기청정기 완제품 생산까지 직업 운영하며, 미국, 독일 등 세계 14개국에 수출하고 있어 글로벌 강소 기업으로도 불린다.클레어 이우헌 대표는 “이번 매닝스를 통한 신제품 출시 이벤트로, 클레어만의 독보적인 디자인과 뛰어난 공기 청정 기술을 보여줄 수 있는 제품을 선보이게 되었다.”라며, “국내에서 인정받고 있는 클레어 공기청정기 만의 우수성을 글로벌 고객들도 경험할 수 있도록 꾸준히 해외 채널을 확대해 나갈 계획이다.”라고 전했다.김세희기자 ksh1004@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기  ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
8,"[서울신문]최근 신종 코로나 바이러스 감염증(COVID-19·코로나19)의 확산으로 외기유입형 환기 시스템에 대한 관심이 높아지고 있다.헤파람은 소비자들의 공기청정기에 대한 신뢰와 기대가 낮아지고 환기를 선호하는 사람들이 많이 있다는 점을 포착해 창문을 열지 않고 환기와 실내 공기 청정 효과를 누릴 수 있는 ‘헤파람 환기시스템 이벤트’를 실시한다고 밝혔다.‘헤파람 환기청정기’는 창틀, 천장, 출입문, 창문, 벽 다양한 위치에 설치해 이용할 수 있는 제품으로 생활 공간에 제약이 없으며, 외부의 새로운 공기를 강력한 3단계 필터 시스템으로 깨끗하게 걸러 실내에 급기하는 방식으로 청정 급기만을 통해 실내 양압 환경을 유지시켜 오염된 공기는 밖으로 배출하고 한번 배출된 공기가 실내로 재유입 되지 않도록 일방향 급기 방식을 적용한다.또 사용자가 따로 컨트롤하지 않아도 듀얼 센싱과 자동 댐퍼 컨트롤 기능을 통해 실내와 실외의 공기질을 분석, 공기 혼입량을 알아서 조절하는 등 365일 24시간 청정한 공기만을 상시 급기해 실내 공기질을 관리해주기 때문에 편리하다.헤파람 관계자는 “바이러스가 확산되면서 공기 청정뿐만 아니라 환기 기능까지 갖춘 환기청정기의 관심이 높아짐에 따라 소비자가 부담 없이 강제 환기 시스템을 누릴 수 있도록 100대 한정으로 헤파람 환기시스템 이벤트를 실시한다”라며 “부담 없는 합리적인 이벤트를 통해 청정환기 시장이 더욱 확대될 것으로 기대한다.”고 덧붙였다.온라인뉴스부 iseoul@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
9,"[한국경제TV 유오성 기자]코웨이가 실내환경이 열악한 가정의 주거 환경 개선을 돕는 취약 가정 환경개선 사업을 실시한다.코웨이는 환경부·한국환경산업기술원과 취약계층 환경성질환 예방 사업을 위해 업무협약을 체결하고 공기청정기를 무상 기증한다고 25일 밝혔다.이 사업은 사회취약계층 1700가구를 대상으로 실내환경 유해인자 진단을 통해 환경 개선이 필요한 가정을 파악하고 이를 개선하기 위한 솔루션으로 환경가전제품을 제공한다.이번 협약에 따라 코웨이는 실내공기질 개선에 필수적인 공기청정기를 지원하고 필터 교체 등의 관리서비스를 2년 동안 무상 제공한다.박찬정 코웨이 환경기술연구소장은 ""코웨이는 실내 공기질 빅데이터를 기반으로 맑은 공기를 연구 분석하는 국내 대표 기업으로 환경부와 함께 취약계층의 주거 환경 복지 향상에 앞장서고 있다""며 ""앞으로도 환경과 사회에 도움이 되는 다양한 사회 공헌 활동에 적극 동참하고, 사회적 책임을 다하기 위해 지속적인 노력을 기울일 것""이라고 말했다.유오성기자 osyou@wowtv.co.kr▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
10,"[이데일리 강경래 기자] 코웨이(021240)가 환경부가 주최하고 한국환경산업기술원이 주관하는 ‘취약계층 환경성질환 예방사업’에 참여, 공기청정기를 기증한다고 25일 밝혔다.취약계층 환경성질환 예방사업은 사회취약계층 약 1700가구를 대상으로 실내환경 유해인자 진단·컨설팅을 진행하고 열악한 가정에 물품을 제공해 환경을 개선해주는 사업이다. 코웨이는 3년 연속 환경부와 업무협약을 체결하고 환경성 질환 예방사업에 앞장서고 있다.이번 협약으로 코웨이는 실내공기질 개선에 필수적인 공기청정기를 지원하고 필터 교체 등의 관리서비스를 2년 동안 무상 제공한다.박찬정 코웨이 환경기술연구소장은 “실내 공기질 빅데이터를 기반으로 맑은 공기를 연구·분석한다. 이를 통해 환경부와 함께 취약계층 주거 환경 복지 향상에 앞장선다”며 “앞으로도 환경과 사회에 도움이 되는 다양한 사회 공헌 활동에 동참하고, 사회적 책임을 다할 것”이라고 말했다.강경래 (butter@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞"
