,contents
0,"(사진=연합뉴스)""이익을 좇는 증오 확산을 중단하라""(Stop Hate for Profit)는 시민운동의 하나로 페이스북터 광고 중단행렬에 동참한 기업들이 160여개에 달한다고 로이터통신이 29일(현지시간) 보도했다.이달초 시민운동이 시작된 이후 버라이즌 커뮤니케이션과 유니레버PLC 등 160여개 업체들이 7월 한달동안 소셜미디어에 광고를 중단하기로 했다.뿐만아니라 세계적인 커피체인 스타벅스가 전날 페이스북을 포함한 소셜미디어에 광고를 중단하기로 했다고 블룸버그통신이 전했다.스타벅스는 성명을 통해 광고 중단 결정은 특정 집단에 대한 공개적인 혐오발언 확산을 막기 위해서라고 설명해 도널드 트럼프 미국 대통령의 페이스북 게시물 처리를 둘러싼 논란 때문에 취한 조치로 해석된다.(사진=블룸버그 홈페이지 캡처)이와함께 의류업체인 노스페이스와 자동차 제조업체인 혼다, 그리고 음료업체인 코카콜라와 펩시콜라 등도 보이콧을 하기로 했다.하지만 광고 보이콧운동이 실제로 페이스북 영업에 큰 위협이 될지는 불분명하다는 주장도 제기되고 있다.로이터통신은 유니레버의 예를 들면서 광고 수익이 크게 줄어들지만 재정에 큰 영향을 미치지 않을 것이라고 지적했다.유니레버는 매년 2억5천만달러(약 3천14억원)를 전 세계 페이스북 광고비로 집행한다.하지만 페이스북의 지난해 광고 수입이 700억달러(약 84조2천800억원)에 달하는 점을 감안하면 미약한 수치라는 것이다.또 페이스북 광고주 중 유니레버와 같은 글로벌 업체에서 나오는 수입은 1/4에 불과하고 나머지는 800만개에 달하는 소형업체들이 지불하는 광고 수입이다.투자분석가들은 페이스북의 3분기 매출 신장률을 상장이후 가장 나쁜 7%로 예측하고 있다.이같은 불안감으로 페이스북의 주가는 지난 26일 8.3% 폭락했다.(사진=연합뉴스)보이콧 운동이 좀처럼 수그러들 조짐을 보이지 않고 있어 이러한 타격은 더 심각해질 것으로 보인다.시민단체들은 페이스북 보이콧을 미국 뿐만 아니라 유럽 등 전 세계 소비자를 대상으로 한 광고로 확산하겠다고 밝혔다.이번 보이콧 운동은 도널드 트럼프 미국 대통령이 백인 경찰에 의해 사망한 흑인 '조지 플로이드' 사건에 항의하는 이들을 '폭도'로 지칭하며 ""약탈이 시작되면, 총격도 시작된다""(when the looting starts, the shooting starts)는 글을 올리면서 시작됐다. 트위터는 이 글이 인종차별과 혐오를 부추긴다는 이유로 경고 딱지를 붙였지만, 페이스북은 아무런 제재를 하지 않았다. 이후 페이스북이 인종차별 및 혐오를 방관한다는 여론이 일자 글로벌 기업들이 페이스북을 상대로 광고 보이콧에 나선 것이다. 해당 보이콧은 '#이익을 위한 증오를 멈춰라(#StopHateForProfit)'는 해시태그와 함께 확산 중이다. "
1,"스타벅스가 페이스북 등 SNS 광고를 모두 중단한다. 인종차별 게시물을 방치하는 데 따른 대기업 SNS 광고 보이콧 운동의 일환이다.스타벅스는 “모든 소셜미디어에서 광고를 일시 중단한다”며 “혐오 발언 등이 확산하는 일을 막기 위해 미디어 파트너와 시민단체 등과 내부 논의를 시작한다”라고 28일(현지시각) 발표했다.스타벅스가 자사 홈페이지에 SNS 광고를 일시 중단하겠다고 선언했다./사진=스타벅스 홈페이지 캡쳐스타벅스는 “우리는 개인과 온라인 모두에서 커뮤니티를 하나로 모으는 것을 믿으며 증오심 표현에 반대한다”라며 “포괄적인 온라인 커뮤니티를 만들기 위해 더 많은 노력을 기울여야 하며, 비즈니스 리더와 정책 입안자 모두가 변화에 영향을 미치기 위해 머리를 맞대야 한다고 생각한다”라고 말했다.스타벅스는 이날 성명에서 특정 SNS를 별도로 지목하지 않았다. 페이스북이 핵심으로 거론되는 데는 인종차별 등 혐오 게시물이 최근 페이스북 상에서 방치되면서 관련 목소리가 커진 데 따른 영향으로 풀이된다.온라인 시민단체인 ‘이익을 위한 증오확산을 중단하라(Stop Hate for Profit)!’은 페이스북 등 SNS 광고를 보이콧할 것을 강조했다. 이에 유니레버와 코카콜라 등 글로벌 대기업이 모든 SNS 광고를 중단하겠다고 밝혔다. 다만 스타벅스는 이 캠페인에 참여를 공식화하진 않았다.한편 페이스북은 나스닥에서 광고 보이콧 사태가 펼쳐진 지난 24일부터 주가가 하락했다. 24일 240달러 선이었던 페이스북 주가는 25~26일 연이은 하락에 216.08달러까지 내려갔다. 지난해 페이스북은 697억달러(약 84조원)의 광고 매출을 올렸는데, 올해는 코로나19로 이 액수를 달성하기 어려울 뿐더러 최근 흑인 인권운동의 역풍을 맞게 됐다.이일호 기자"
2,"인종차별·혐오 조장 게시글 관리 안해 글로벌 기업들 '페북 광고 보이콧'으로 응수페이스북 로고와 '좋아요' 버튼 사진=AFP연합뉴스100여 개의 글로벌 기업들이 페이스북을 상대로 한 광고 보이콧에 대대적으로 나섰다. 27일(현지시간) 영국 가디언은 스타벅스, 코카콜라, 펩시콜라 등 세계 유명 기업들이 페이스북을 상대로 진행하던 유료 광고를 중단했다고 보도했다.보도에 따르면 이들은 도널드 트럼프 미국 대통령의 페이스북 게시글을 문제 삼았다. 트럼프 대통령은 앞서 백인 경찰에 의해 사망한 흑인 '조지 플로이드' 사건에 항의하는 이들을 '폭도'로 지칭하며 ""약탈이 시작되면, 총격도 시작된다""(when the looting starts, the shooting starts)는 글을 올렸다.기업들은 페이스북이 인종차별 또는 혐오를 부추기는 내용의 게시글을 관리하지 않는다고 지적하고 나섰다. 트위터는 앞서 이 글이 인종차별과 혐오를 부추긴다는 이유로 경고 딱지를 붙였지만, 페이스북은 아무런 제재를 하지 않았기 때문이다.페이스북이 인종차별 및 혐오를 방관한다는 여론이 광범위하게 일자 글로벌 기업들 역시 페이스북을 상대로 광고 보이콧에 나선 것. 동참한 기업으로는 스타벅스, 코카콜라, 펩시콜라 등을 비롯, 의류업체 노스페이스·리바이스·파타고니아, 자동차 제조업체 혼다, 웹브라우저 파이어폭스 개발사 모질라, 화장품 업체 유니레버, 통신회사 버라이즌 등이 있다. 해당 보이콧은 '#이익을 위한 증오를 멈춰라(#StopHateForProfit)'는 해시태그와 함께 확산 중이다.페이스북은 ""인종차별과 혐오표현이 들어간 글을 필터링 하기 위한 더 정교한 도구를 개발하기 위해 전문가들과 협력하고 있다""고 밝혔다.이주형 기자"
3,"'#이익을 위한 증오를 멈춰라' 광고 보이콧 확산페이스북 어플리케이션. 연합뉴스100여 개의 글로벌 기업들이 페이스북을 상대로 광고 보이콧에 대대적으로 나섰다. 이 기업들은 페이스북이 인종차별 또는 혐오를 부추기는 내용의 게시글을 관리하지 않는다고 지적하며 이번 보이콧에 참여하고 있다. 27일(현지시간) 영국 가디언은 스타벅스, 코카콜라, 펩시콜라 등 세계 유명 기업들이 페이스북을 상대로 진행하던 유료 광고를 중단했다고 보도했다. 보도에 따르면 이들은 도널드 트럼프 미국 대통령의 페이스북 게시글을 문제 삼았는데, 트럼프 대통령은 앞서 백인 경찰에 의해 사망한 흑인 '조지 플로이드' 사건에 항의하는 이들을 '폭도'로 지칭하며 ""약탈이 시작되면, 총격도 시작된다""(when the looting starts, the shooting starts)는 글을 올렸다. 트위터는 이 글이 인종차별과 혐오를 부추긴다는 이유로 경고 딱지를 붙였지만, 페이스북은 아무런 제재를 하지 않았다. 이후 페이스북이 인종차별 및 혐오를 방관한다는 여론이 일자 글로벌 기업들이 페이스북을 상대로 광고 보이콧에 나선 것이다. 해당 보이콧은 '#이익을 위한 증오를 멈춰라(#StopHateForProfit)'는 해시태그와 함께 확산 중이다. 보이콧에 동참한 기업으로는 스타벅스, 코카콜라, 펩시콜라 등을 비롯, 의류업체 노스페이스ㆍ리바이스ㆍ파타고니아, 자동차 제조업체 혼다, 웹브라우저 파이어폭스 개발사 모질라, 화장품 업체 유니레버, 통신회사 버라이즌 등이 있다. 페이스북은 ""인종차별과 혐오표현이 들어간 글을 필터링 하기 위한 더 정교한 도구를 개발하기 위해 전문가들과 협력하고 있다""고 밝혔다.박민정 기자"
4,"[헤럴드경제(수원)=지현우 기자] 수원시가 ‘마스크가 답이다’ 캠페인의 하나로 ‘시민 참여형’ 광고 제작에 나섰다고 29일 밝혔다.마스크 쓴 시민들의 셀피를 한데 모은 ‘사진 모자이크’ 방식이다. 수원시는 지난 26일 시 공식 블로그와 페이스북에 ‘수원시의 광고모델이 되어 주세요’라는 게시물을 올리고 온라인으로 사진 접수를 시작했다. 수원시 카톡 친구 가입자 44만1000여 명에게도 같은 메시지를 보냈다.코로나19 예방을 위한 마스크 생활화에 시민 참여를 끌어내기 위한 이번 광고는 다음달 중순 수원역 2층 대형 광고판을 비롯해 시내 곳곳에 선보일 예정이다. 수원시민 누구나 광고에 참여할 수 있다. 다음달 5일까지 ‘네이버폼’으로 마스크를 쓴 본인의 상반신 사진을 업로드하면 된다. 참여자 가운데 500명을 추첨해 아이스크림 기프티콘을 보내준다.수원시 공식 블로그, 페이스북에서 참여 방법을 볼 수 있다. 수원시는 시민들이 보내온 모든 사진을 광고에 활용할 계획이다. 광고를 기획한 수원시 홍보기획관 채소영 주무관은 “시민과 함께 만드는 광고라는 점이 가장 큰 의미다. 자신과 가족, 이웃을 위해 언제 어디서나 마스크를 쓰는 문화를 확산하는 데 도움이 되길 바란다”고 했다"
5,"미국 기반의 다국적 온라인 소매업체 아이허브(iHerb)가 페이스북 및 페이스북 소유 인스타그램에 광고를 중단한다고 29일 밝혔다. 아이허브에 따르면 이 같은 조치는 인종차별 등 혐오 게시물을 적극적으로 규제하지 않는 페이스북에 대한 문제 제기에서 비롯됐다. 외신에 따르면 스타벅스, 코카콜라, 유니레버, 노스페이스, 파타고니아 등 전 세계 100여개 기업이 페이스북 광고 보이콧에 동참하고 있다. 이와 관련해 최근 미국 시민단체들을 중심으로 페이스북에 광고를 중단하자는 ‘이익을 위한 혐오 중단(#StopHateforProfit)’ 운동이 펼쳐지고 있다. 이 운동은 이 달부터 미국 유색인종지위향상협회(NAACP)을 비롯해 반명예훼손연맹(ADL), 컬러오브체인지(Color of Change) 등의 시민단체들이 주도해 시작한 것으로, 흑인 조지 플로이드가 백인 경찰의 과잉 진압으로 숨진 사건으로 촉발된 인종차별 항의 시위가 다양한 방식으로 시민운동으로 전개되고 있 다. 이들 단체는 플로이드의 죽음 이후 증오를 조장하거나 백인 우월주의를 담은 콘텐츠가 페이스북에 흘러 넘쳤지만, 페이스북이 이를 무시하고 나아가 이를 통해 수익을 창출하고 있다고 주장하며 영향력 있는 기업들의 참여와 연대를 촉구하고 있다.페이스북은 미국 디지털 광고 시장에서 구글의 모기업인 알파벳 다음으로 큰 업체로, 지난 해 광고 매출만 700억 달러에 이른다. 이번 보이콧에 동참한 아이허브 등 100여개 기업 역시 페이스북과 인스타그램을 광고 플랫폼으로 활용하고 있던 기업들로, 사실상 디지털 광고에서 가장 효율적이고 중요한 채널에 광고 집행을 중단하겠다는 선언은 수익에 앞서 옳은 가치를 추구하겠다는 강력한 의지의 표명이라는 평가다.아이허브는 페이스북 광고 보이콧을 선언하며 향후 페이스북이 혐오와 인종차별, 폭력 등을 통해 수익을 거둬들이지 않도록 관련 규제를 강화하고, 의미 있는 변화를 이끌어 내기를 기대하고 있다면서 적어도 오는 7월 말까지 혹은 의미 있는 변화가 있을 때까지 광고 중단을 지속할 예정이라고 전했다. 한편 아이허브는 건강보조제품 및 생활용품의 온라인 유통업체이자, 건강과 웰니스 분야에 특화된 이커머스 기업으로, 1300여개 브랜드 3만 여종의 제품을 한국, 미국, 러시아, 일본, 사우디아라비아, 호주, 프랑스 등 전 세계 180여개 국가에서 판매하고 있다. 박해식 동아닷컴 기자"
6," -인종차별 등 혐오 표현 방치한 페이스북 비판하는 움직임에 동참…명확한 개선안 촉구하며 광고 보이콧 -아이허브는 사회적 책임 다하는 기업으로, 향후 보다 나은 우리 사회를 기대세계 최대 건강보조제품 및 생활용품 온라인 유통 기업 아이허브가 페이스북 및 페이스북 소유 인스타그램에 광고 중단을 선언했다. 아이허브의 이 같은 조치는 인종차별 등 혐오 게시물을 적극적으로 규제하지 않는 페이스북에 대한 문제 제기에서 비롯됐다. 최근 미국 시민단체들을 중심으로 페이스북에 광고를 중단하라는 '이익을 위한 혐오 중단(#StopHateforProfit)' 운동이 펼쳐지면서 스타벅스, 코카콜라, 유니레버, 노스페이스, 파타고니아 등 전세계 100여개 기업들이 페이스북 광고 보이콧에 동참하고 있다. '이익을 위한 혐오 중단' 운동은 이 달부터 미국 유색인종지위향상협회(NAACP)을 비롯한 반명예훼손연맹(ADL), 컬러오브체인지 등의 시민단체들이 주도해 시작한 것으로, 흑인 조지 플로이드가 백인 경찰의 과잉 진압으로 살해된 사건으로 촉발된 인종차별 항의 시위가 이 시민운동으로 이어지고 있다. 이들 단체는 플로이드의 죽음 이후 증오를 조장하거나 백인 우월주의를 담은 콘텐츠가 페이스북에 흘러 넘쳤지만, 페이스북이 이를 무시하고 나아가 이를 통해 수익을 창출하고 있다고 주장하며 영향력 있는 기업들의 참여와 연대를 촉구하고 있다.페이스북은 미국 디지털 광고 시장에서 구글의 모기업인 알파벳 다음으로 큰 업체로, 지난 해 광고 매출만 700억 달러에 이른다. 이번 보이콧에 동참한 아이허브를 비롯 전 세계 100여개 기업들 역시 페이스북과 인스타그램을 광고 플랫폼으로 활용하고 있던 기업들로, 사실상 디지털 광고에서 가장 효율적이고 중요한 채널에 광고 집행을 중단하겠다는 선언은 수익에 앞서 옳은 가치를 추구하겠다는 강력한 의지의 표명이다.아이허브는 페이스북 광고 보이콧을 선언하며 향후 페이스북이 혐오와 인종차별, 폭력 등을 통해 수익을 거둬들이지 않도록 관련 규제를 강화하고, 의미 있는 변화를 이끌어 내기를 기대하고 있다. 아이허브는 적어도 오는 7월 말까지 혹은 의미 있는 변화가 있을 때까지 광고 중단을 지속할 예정이다. 한편, 아이허브는 세계 최대 건강보조제품 및 생활용품의 온라인 유통업체이자, 건강과 웰니스 분야에 특화된 이커머스 기업으로, 약 1300여개 브랜드 3만 여종 이상의 제품을 한국을 비롯한 미국, 러시아, 일본, 사우디아라비아, 호주, 프랑스 등 전세계 180여개 국가로 판매하고 있다. 아이허브는 주 6일, 24시간 운영되는 캘리포니아의 물류센터에서 모든 한국행 주문 제품을 출고하고 있어 대부분의 제품이 주문 후 72시간 이내에 한국에 도착한다. 또한 업계 유일의 365일 가동되는 온도조절 시스템을 보유한 물류센터를 보유하고 있다."
7," 삼양식품이 창립 이래 처음으로 해외 모델을 기용했다. 해외에서 인기를 끌고 있는 불닭볶음면의 마케팅을 강화하기 위해서다. 지난 2009년 이후 광고 모델을 기용하지 않던 삼양식품이 국내외 통틀어 10년 만에 모델을 발탁한 셈이다.(사진=삼양식품)삼양식품은 중국 불닭브랜드 홍보 모델로 현지 인기 연예인 곽기린을 기용했다고 29일 밝혔다. 곽기린은 다수의 예능 프로그램, 드라마 출연과 활발한 SNS 활동을 통해 젊고 트렌디하며 위트 있는 이미지로 중국 20-30대에게 특히 많은 인기를 얻고 있는 연예인이다. 이같은 이미지와 주 팬층이 불닭브랜드와 부합해 모델로 선정됐다. 이번 결정으로 삼양식품은 국내외 통틀어 10년 만에 광고 모델 기용했다.삼양식품은 지난 2009년 걸그룹 소녀시대를 삼양라면의 모델로 활용한 이후 광고 모델을 쓰지 않고 있다. 실적이 뒷걸음질 치면서 마케팅 비용을 줄여야했기 때문이다. 실제 삼양식품의 영업이익은 2010년 116억원에서 2015년 71억원으로 줄었다. 삼양식품은 줄어든 현금동원력 상황에서 광고 모델을 쓰지 않으며 허리띠를 졸라맸다.하지만 2016년부터 반전이 일어났다. 2016년 영업이익이 253억원으로 전년대비 256% 수직 상승했다. 한 번 상승세를 탄 삼양식품은 고삐를 늦추지 않았다. 2017년 433억원, 2018년 552억원, 2019년 783억원을 기록하며 역사를 써내려갔다. 올해 1분기에는 267억원의 영업이익을 내며 역대 최대의 분기 실적을 갈아치웠다.삼양식품의 반전을 이끈 건 불닭볶음면이다. 2012년 6월 출시된 불닭볶음면은 별다른 마케팅을 하지 않았다. 다만 2014년 유튜버 ‘영국남자’를 시작으로 국내외 유투버들 사이에서 ‘불닭볶음면 챌린지’가 인기를 끌면서 자연스럽게 세계 소비자들에게 홍보하는 효과를 거뒀다. 폭발적인 해외 수요 덕분에 지난해 사상 처음으로 매출 중 수출 비중이 절반을 넘어섰다.불닭볶음면을 포함한 불닭시리즈의 주요 수출국은 중국이다. 중국은 삼양식품 수출의 50%를 차지한다. 10년 만에 광고 모델을 중화권 모델로 기용한 배경이다. 곽기린은 이달부터 본격적인 홍보 활동을 시작했으며, 향후 온라인 채널을 중심으로 다양한 홍보 활동을 이어갈 예정이다. 특히 지난 6월 1일부터 18일까지 진행된 618 쇼핑 축제에선 기존 불닭브랜드 파워에 모델로 나선 곽기린 효과가 더해져 징동닷컴에서 약 22억원, 알리바바에서 약 80억원어치가 판매됐다.삼양식품 관계자는 “곽기린을 내세워 홍보한 618 쇼핑 축제에서 성과를 거두는 등 초반이지만 현지 반응이 좋아 향후가 기대된다”며 “올해 상반기 중국 매출이 전년 대비 30% 이상 성장할 것으로 예상되며, 영업망 확대와 브랜드 마케팅에 박차를 가해 올해도 중국 시장에서 최대 매출을 달성할 것”이라고 말했다.송주오 "
8,"세계 최대 소셜미디어 페이스북에 대한 광고주의 이탈이 가속화되고 있다.    블룸버그통신은 28일(현지시간) 세계적인 커피체인 스타벅스가 페이스북을 포함한 소셜미디어에 광고를 중단키로 했다고 보도했다.    스타벅스는 성명을 통해 광고 중단 결정은 특정 집단에 대한 공개적인 혐오 발언 확산을 막기 위해서라고 설명했다.     직접적 언급은 피했지만, 도널드 트럼프 미국 대통령의 페이스북 게시물 처리를 둘러싼 논란 때문에 취한 조치라고 해석할 수 있는 대목이다.    이에 따라 지금까지 페이스북 보이콧에 합류한 업체는 160개사를 넘어서게 됐다.    의류업체 노스페이스, 자동차 제조업체 혼다를 비롯해 화장품 업체 유니레버와 통신회사 버라이즌 등이 보이콧 명단에 이름을 올렸다.     다만 보이콧 운동이 실제로 페이스북의 영업에 얼마나 큰 위협이 될지는 불분명하다는 주장도 제기된다.    폭스뉴스는 올해 남은 기간 페이스북의 미국 사용자들에 대한 광고를 중단키로 한 화장품 업체 유니레버의 예를 들어 보이콧 효과에 의문을 제기했다.    유니레버는 매년 2억5천만달러(한화 약 3천14억원)를 전 세계 페이스북 광고비로 집행한다. 이번 보이콧 결정으로 중단된 미국 사용자들에 대한 광고비의 비율은 10%도 되지 않는다.    페이스북의 지난해 광고 수입이 700억달러(약 84조2천800억원)에 달한다는 점을 고려한다면 미약한 수치라는 설명이다.    또한 페이스북 광고주 중 유니레버 같은 글로벌 업체에서 나오는 수입은 4분의 1에 불과하다. 나머지는 800만개에 달하는 소형 업체들이 지불하는 광고 수입이다.    물론 신종 코로나바이러스 감염증(코로나19) 사태 이후 광고주들이 지갑을 닫는 상황에서 대형 광고주들의 이탈은 페이스북으로서도 무시할 수 없을 것이란 반론도 제기된다.    투자분석가들은 페이스북의 3분기 매출 신장률을 7%로 예측하고 있다. 상장 후 가장 나쁜 성적이다.    이 같은 불안감을 반영한 듯 페이스북의 주가는 지난 26일 8.3%나 폭락했다.    문제는 보이콧 운동이 좀처럼 사그라질 조짐을 보이지 않는다는 것이다.    시민단체들은 페이스북 보이콧을 미국 소비자들뿐 아니라 유럽 등 전 세계 소비자를 대상으로 한 광고로 확산하겠다고 밝혔다.   "
9,"세계 최대 소셜미디어 기업 페이스북이 연일 기업들의 광고 ‘보이콧’ 철퇴를 맞고 있습니다. 그동안 온갖 논란에도 꿋꿋하게 버텼던 주가도 무너졌습니다. 광고가 주 수익원인 페이스북, 진정 전세계 광고주들에게 버림받은 걸까요. 사회정의 구현을 외치고 있는 광고주들의 속내도 궁금해집니다.◆왜 유니레버의 보이콧에 시장이 동요했나유니레버는 26일 “연말까지 페이스북과 인스타그램, 트위터 광고를 중단하겠다”고 발표했습니다. 유니레버는 자사 페이스북 계정을 통해 “신뢰할 수 있고 안전한 디지털 생태계 조성에 기여해야 한다”고 말했습니다. 그리고 이날 페이스북 주가는 전날보다 8.32% 급락한 216.08달러로 마감했습니다. 도널드 트럼프 미국 대통령이 소셜미디어를 통해 쏟아낸 문제성 발언에 대해 페이스북이 별다른 조치를 취하지 않고 마크 저커버그 최고경영자(CEO)가 옹호하는 듯한 발언을 한 이후 주가가 가장 많이 흔들렸습니다. 최근 3개월 동안 주가 하락폭이 가장 컸던 날이라고 하네요.출처: 유니레버 페이스북미용·위생용품 브랜드 ‘도브’ 등을 보유한 유니레버는 지난해 페이스북 광고에 4230만달러(약 509억원)를 쓴 주요 광고주입니다. 광고비 기준 순위는 30위로 현재까지 보이콧 선언을 한 기업 중 가장 거물급입니다. 미국 최대 통신기업(이지만 페이스북 광고비 지출 순위는 그다지 높지 않은)인 버라이즌의 25일 보이콧 발표 이후 증폭되던 시장의 불안에 결정타를 제대로 날리는 역할까지 했습니다. 미 투자은행 뱅크오브아메리카는 유니레버의 결정이 나오기 전 “버라이즌 같은 주요 기업의 보이콧은 페이스북의 다른 광고주들에게도 영향을 미칠 가능성이 높다”는 예상을 내놓았는데요. 시장에서 우려했던 도미노 효과가 아주 빠르게 현실로 반영됐습니다.지금까지 100개 가량 기업이 페이스북 광고 보이콧 대열에 합류했습니다. 앞으로 유니레버 급의 주요 광고주가 보이콧에 동참할지 여부가 관건입니다. 지난해 기준 페이스북의 10대 광고주 내역은 이렇습니다.출처: 월스트리트저널(WSJ)시장의 관심은 보이콧이 페이스북의 올해 실적을 얼마나 무너뜨릴지입니다. 앞으로 얼마나 많은 대형 광고주들이 얼마나 오랜 기간 광고를 중단할지에 달려 있습니다. 그런데 별일 없을 거란 예상도 나옵니다. 시장조사업체 이마케터의 니콜 페린 분석가는 CNN비즈니스와의 인터뷰에서 “페이스북 광고 감소가 신종 코로나바이러스 감염증(코로나19) 때문인지, 보이콧 때문인지 가려내기 어려울 것”이라며 “(단기 보이콧은) 실적에 일시적인 영향을 주는 정도일 것”이라고 말했습니다.◆기업들이 페이스북 광고 보이콧하는 속내미 언론에서는 보이콧에 기업들이 참여하는 이유로 △광고 효과 △일단 거리두기 △기업 윤리 준수 △거대 플랫폼 길들이기 등을 거론하고 있습니다.페이스북에 광고를 하지 않는 행위 자체로 광고가 되는 분위기입니다. 페이스북에 내기로 했던 광고비를 아끼고도 사회적 가치를 중시하는 기업이라는 좋은 이미지까지 얻으니 일석이조일 수 있겠습니다.페이스북이 워낙 논란에 휘말려있다 보니, 일단 거리를 두었다가 사태가 잠잠해지면 다시 광고주로 돌아오겠다는 기업들도 존재할 것입니다. 페이스북을 통한 광고 효과가 워낙 크다 보니 기업이 쉽게 포기하기 어려울 것이라는 관측입니다. 이 사단을 일으킨 유니레버만 해도 미국 외 지역에서는 페이스북 광고를 끊지 않겠다는 입장으로 알려졌습니다. 참여 기업 대다수가 7월부터 한두달만 보이콧하겠다고 나선 이유도 설명 가능해집니다. 사실 미 시민단체가 주도하는 페이스북 광고 보이콧 운동(#StopHateFor Initiation)에서 제안한 기간도 7월 한달이긴 했습니다.마크 저커버그 페이스북 CEO 사진=로이터연합뉴스단지 윤리적인 이유만으로 페이스북 광고 계획을 철회한 기업도 있을 것입니다.마지막 이유로 거론한 플랫폼 길들이기는 좀 더 복잡한 문제입니다. 기업들이 페이스북의 광고효과를 인정하고는 있지만, 100% 만족하지 못하는 지점이 있다는 뜻입니다. 이번 사건을 계기로 광고주들이 광고 플랫폼에 불만사항 시정을 요구하고, 영향력을 확대하려는 목적이 있다는 해석입니다. ◆문제는 브랜드 안전이었나페이스북 광고 보이콧에 참여한 기업 중 상당수가 혐오 조장 게시물에 나름대로 조치를 취한 트위터까지 겨낭했습니다. 유니레버는 페이스북과 인스타그램, 트위터를 보이콧 대상으로 삼았습니다. 코카콜라는 여기에 구글의 유튜브, 스냅의 스냅챗까지 포함해 전 소셜미디어에 한달 동안 광고를 중단합니다. 페이스북 광고예산이 다른 소셜미디어로 이동할 것이란 시장의 초기 예상과는 다릅니다. 일각에서는 광고주들의 불만이 페이스북 사건을 계기로 폭발했다고 분석하기도 합니다. 소셜미디어에 디지털 광고를 하는 기업은 브랜드의 가치를 훼손하는 콘텐츠와 광고가 함께 배치되는 상황이 가장 마음에 안 들 것입니다. 브랜드 안전(Brand safety) 문제입니다. 소셜미디어가 혐오 콘텐츠를 걸러내고 차단, 삭제하는 기술을 갖춰야 하는 이유입니다.      브랜드 안전이 문제였다면 페이스북이 당장 해결해야 할 과제는 진정한 사과와 반성보다는, 혐오 게시물을 걸러내고 삭제할 수 있는 기술 강화와 광고주 배려일 듯합니다. 기업들이 2017년 벌인 유튜브 광고 보이콧 사건과 유사하다는 분석도 나옵니다. 당시 광고주들은 혐오를 일으키는 유튜브 영상에 자사의 광고가 붙는 상황에 불만을 품고 있었습니다. 테러리스트가 올린 영상에 글로벌 기업의 광고가 삽입되는 상황에 분노한 기업들이 당시 유튜브 광고 보이콧에 나섰습니다. 구글은 이 문제를 시정하겠다고 사과했고, 유튜브 실적도 우려에 비해 큰 타격은 없었습니다.이고운 기자"
