,contents
0," 국내 연구진이 세계 최초로 살아있는 세포를 전자현미경으로 실시간으로 관찰하는 데 성공했습니다. 이번 성과를 발전시키면 코로나19와 같은 바이러스의 전염과 전이 과정도 더욱 자세히 규명할 수 있을 것으로 기대됩니다.  육종민 KAIST 신소재공학과 교수 연구팀과 한영기 경북대학교 ITA 융합대학원 교수 연구팀은 이른바 '그래핀 액상 셀 전자현미경 기술'을 응용해 살아있는 대장균 세포를 관찰하는 데 성공했다고 밝혔습니다. 또, 해당 대장균 세포를 재배양하는 데도 성공해 전자현미경으로 관찰한 이후에도 세포가 살아있음을 밝혀냈다고 설명했습니다.지금까지 세포를 관찰하기 위해서는 전자현미경 기술을 이용해 왔습니다. 하지만, 전자현미경은 세포에 구조적 손상을 입혔습니다. 높은 에너지의 전자를 이용하기 때문입니다. 그래서 세포를 죽이는 '고정 작업'을 거친 뒤 관찰이 가능했습니다. ■""그래핀 보호막으로 세포 보호""살아 있는 세포를 관찰할 순 없을까. 연구팀은 '그래핀'에서 해법을 찾았습니다. 그래핀은 약 0.2㎚(나노미터) 두께(1㎚는 머리카락 굵기의 10만분의 1)의 원자막입니다. 강철보다 200배 강한 강도와 높은 전기 전도성을 가지며 물질을 투과시키지 않는 성질을 가집니다.연구팀은 그래핀을 인공적인 보호막으로 삼았습니다. 그래핀으로 세포를 감싸주면 전자현미경 내부에서 세포의 구조가 유지된다는 사실을 확인했습니다. 여기에 덤으로 세포에게 해로운 활성산소를 분해하는 효과도 확인됐습니다. ‘그래핀’으로 감싼 세포(왼쪽)와 전자현미경으로 관찰한 세포(오른쪽)의 형광분석 이미지. 살아있는 세포는 녹색 형광색을 띠는데, 그래핀으로 감싼 세포 이미지에서 녹색이 확연하게 관찰된다.연구팀은 더 나아가 바이러스보다 더 작은 단위인 단백질에서도 같은 효과를 볼 수 있는지 연구를 이어가고 있습니다. 육 교수는 ""이번 연구 결과는 세포보다 더 작은 단백질이나 DNA의 실시간 전자현미경 관찰로까지 확대될 수 있다""며 ""앞으로 다양한 생명 현상의 기본 원리를 근본적으로 밝혀낼 수 있을 것으로 기대한다""고 밝혔습니다.연구팀의 이번 연구 결과는 지난달 5일 국제학술지 '나노 레터스(Nano Letters)' 온라인판에 실렸으며, 6월호 표지논문으로 선정됐습니다.▶ ‘ 코로나19 현황과 대응’ 최신 기사 보기http://news.kbs.co.kr/news/list.do?icd=19588최준혁 기자 "
1,"국내 연구진이 세계 최초로 전자현미경을 통해 살아있는 세포를 실시간으로 관찰해 화제다. ‘그래핀’을 활용해 인공 보호막을 만든 것인데, 이에 주식시장에서 관련 종목이 뛰는 등 그래핀에 대한 세간의 관심이 커지고 있다.육종민 KAIST 신소재공학과 교수 연구팀과 한영기 경북대학교 ITA 융합대학원 교수 연구팀은 ‘그래핀 액상 셀 전자현미경 기술’을 응용해 살아있는 대장균 세포를 관찰하는 데 성공했다고 29일 밝혔다. 이번 연구결과는 국제 학술지 ‘나노 레터스(Nano Letters)’ 6월호에 표지논문으로 실렸다.살아있는 세포는 가시광선을 이용한 일반적인 광학현미경으로는 관찰이 불가능했다. 크기가 마이크로(μm·100만분의 1미터) 수준으로 작아 전자현미경을 써야 하는데, 이 경우 전자빔 세기가 강해 세포들은 모두 사멸했다. 지금까지 전자현미경으로 본 세포들은 모두 죽은 상태였다.연구진은 그래핀으로 인공 보호막을 만들어 세포를 덮는 데 성공했다. 그래핀으로 세포를 감싸자 전자빔을 막음은 물론 세포 구조가 유지됐고, 이에 더해 세포에 해로운 활성산소도 차단됐다.2차원 탄소 물질인 그래핀은 0.2나노미터 두께의 원자막이다. 다이아몬드에 가깝게 강하면서도 가볍고 전도성과 신축성이 높아 2000년대부터 주목받기 시작했다. 자동차·우주항공·연료전지·디스플레이 등 적용 범위가 무궁무진한 것으로 알려졌다.이번 조사를 통해 연구진은 바이러스가 전이돼 감염되는 과정을 전자현미경을 이용해 보다 세밀히 확인할 수 있게 됐다. 나아가 세포보다도 작은 분자 단위의 단백질까지 관찰할 수 있어 향후 연구에서 한층 진보한 연구가 가능해질 전망이다.육 교수는 “이번 연구 결과는 세포보다 더 작은 단백질이나 DNA의 실시간 전자현미경 관찰로까지 확대될 수 있다”며 “앞으로 다양한 생명 현상의 기본 원리를 근본적으로 밝혀낼 수 있을 것으로 기대한다”고 밝다.일반 현미경(위)으로 본 죽은 세포와 전자현미경(아래)으로 관찰한 살아있는 세포.이일호 기자"
2," 살아있는 박테리아나 바이러스가 우리 몸의 세포를 감염시키는 과정을 실시간 관찰할 수 있는 기술이 국내에서 개발됐다. 이 기술을 활용하면 신종코로나바이러스감염증(코로나19)와 같은 감염병 바이러스의 감염 과정도 지켜볼 수 있다. 코로나19의 치료제가 실제로 약효가 있는지 눈으로 확인할 수 있는 길이 열릴 것으로 예상된다.살아있는 세포의 움직임 실시간으로 관찰한다이번 연구에 사용된 그래핀 액상 셀을 이용한 세포 관찰 방법에 대한 모식도와 이를 이용해서 관찰한 살아있는 세포의 주사전자현미경 촬영 사진이다.육종민 한국과학기술원(KAIST) 신소재공학과 교수와 한영기 경북대 ITA 융합대학원 교수의 공동 연구팀은 살아 있는 세포를 실시간 전자현미경으로 관찰하는데 성공해, 관련 논문이 국제학술지 나노 레터스에 최근 소개됐다고 26일 밝혔다.이번 연구는 살아있는 세포를 실시간 관찰할 수 있는 방법을 제시했다는 점에서 의미가 있다. 세포 관찰을 위해서는 통상 전자현미경을 사용하는데 가시광선보다 수천 배 이상 높은 에너지를 가진 전자를 이용해 관찰시 세포의 구조적인 손상이 불가피하다. 이에 따라 2017년 노벨화학상을 수상한 기술인 극저온 전자현미경을이용해 관찰하는 방법이 쓰이고 있지만 관찰 대상을 고정해야 하고 안정화 시켜야 한다. 살아있는 세포의 움직임을 잡아 내기가 힘들다는 얘기다. 연구팀은 이같은 문제를 2차원 층상 구조를 가진 흑연에서 분리한 0.2나노미터(1나노미터는 머리카락 굵기의 10만 분의 1 크기다.) 두께의 원자막인 그래핀을 사용하는 방법으로 풀었다. 연구팀은 그래핀을 이용해 세포 등을 액체와 감싸주면 고진공의 전자현미경 내부에서 탈수에 의한 세포의 구조 변화를 막을수 있다는 것을 확인했다. 그래핀이 전자빔에 의해 공격성이 높아진 활성 산소들을 분해하는 효과를 나타내, 그래핀으로 덮어주지 않은 세포보다 100배 강한 전자에 노출되더라도 세포가 활성을 잃지 않는다는 것을 밝혀냈다. 코로나19 치료에도 기여그래핀 액상 셀을 이용한 샘플과(왼쪽) 일반 전자현미경 관찰한(오른쪽) 이후 형광분석법을 통한 세포의 생존성 검증.다양한 세포의 실제 기작을 관찰한다는 것은 다양한 생명 반응들을 실제로 바라볼 수 있다는 것을 뜻한다. 육 교수는 ""이번 연구 결과는 세포보다 더 작은 단백질이나 DNA의 실시간 전자현미경 관찰로까지 확대될 수 있어, 앞으로 다양한 생명 현상의 기작을 근본적으로 밝힐 수 있을 것이라 기대한다""고 밝혔다.코로나19 치료제 개발에도 기여할 수 있다. 육 교수는 ""이 기술을 활용하면 바이러스도 관찰할 수 있다""라며 ""치료물질이 개발되면 바이러스의 감염을 어떻게 막는지 약효를 실제 확인할 수 있게 될 것""이라고 설명했다. 황준호 기자"
3,"국내 연구진이 살아있는 세포를 분자 수준으로 관찰하는 데 성공했다.      한국과학기술원(KAIST) 신소재공학과 육종민 교수 연구팀과 경북대 ITA 융합대학원 한영기 교수 연구팀은 전자현미경을 이용해 세포를 살아있는 상태로 실시간 관찰하는 데 성공했다고 29일 밝혔다.     현재 팬더믹(세계적 대유행)을 일으키고 있는 신종 코로나바이러스 감염증(코로나19)은 수십∼수백 나노미터(㎚·100만분의 1㎜) 크기 바이러스로 인해 감염되는 질병이다.     코로나19 치료제 개발을 위해서는 이 같은 바이러스의 전이·감염 과정을 밝혀내야 하는데, 가시광선을 이용한 일반 광학현미경으로는 관찰이 어렵다.     바이러스나 세포 내 기관 구조의 관찰을 위해 해상력이 높은 전자선을 이용한 전자현미경 기술이 사용되고 있지만, 에너지가 높은 전자선을 쓰기 때문에 세포가 구조적으로 손상될 수밖에 없다는 한계가 있다.      현재는 극저온 전자현미경을 이용해 고정 후 안정화 작업을 거친 표본만 관찰할 수 있다.     연구팀은 0.2 나노미터 두께의 그래핀(흑연의 한 층에서 떼어낸 2차원 물질) 박막으로 세포를 보호, 세포가 살아있는 상태에서 분자 단위로 관찰하는 데 성공했다.    일반 현미경(위)으로 본 죽은 세포와 전자현미경(아래)으로 관찰한 살아있는 세포[KAIST 제공. 재판매 및 DB 금지]높은 강도와 전기 전도성을 가지면서도 물질을 투과시키지 않는 그래핀의 성질을 이용, 세포를 액체와 함께 감싸는 방법으로 손상을 막았다.     육 교수는 ""세포보다도 작은 단백질이나 DNA를 실시간 전자현미경으로 관찰하는 연구도 가능해질 것""이라고 말했다.     이번 연구 결과는 국제 학술지 '나노 레터스'(Nano Letters) 이달 호 표지 논문으로 실렸다.     나노 레터스 6월호 표지 이미지[KAIST 제공. 재판매 및 DB 금지]   "
4," 합성운모 생산 전문 크리스탈신소재(900250)는 신사업으로 추진 중인 그래핀 사업을 강화할 목적으로 이사회결의를 통해 지난 26일 2곳의 타법인 인수를 결정했다고 29일 밝혔다. 인수 회사는 장인가윤그래핀광촉매기술유한회사(이하 가윤그래핀)와 강소신가성환보신재료유한회사(이하 신가성)다.이 회사는 자회사 장인유자주광운모유한회사를 통해 ‘가윤그래핀’과 ‘신가성’의 지분을 각각 85% 확보한다. 인수 금액은 가윤그래핀 1억8300만위안(약 312억원), 신가성 8500위안(약 144만원)이며 취득자금은 보유현금이다. 이를 통해 회사는 그래핀 생산 시설을 확충하고 그래핀 마스크 등 하위 응용 제품 개발 및 생산을 본격화할 계획이다.그래핀이란 흑연의 한 층에서 떼어낸 벌집 모양 2차원 물질로 전기·화학적 특성이 우수해 반도체 분야에서 ‘꿈의 신소재’라고도 불린다. 회사 관계자는 “추후 추가 투자를 통해 그래핀 산업단지를 구축하는 동시에 토지의 여유 면적을 활용해 주력사업인 합성운모 생산시설도 증설함으로써 합성운모 생산능력도 확충할 계획”이라면서 “해당 지역은 교통이 편리하고 크리스탈신소재 본사에서도 차로 5분 거리로 가까워 운용 및 관리에 용이할 것으로 기대된다”고 밝혔다. 가윤그래핀은 그래핀 응용제품의 연구개발 및 생산 전문 기업으로 2016년 설립됐다. 산업용 토지와 공장 시설을 보유하고 있으며 해당 토지면적은 9만153㎡, 공장 및 부속시설은 3만3338㎡ 규모다. 신가성은 2017년 설립된 산업용 방직제품 및 일반(비의료용) 마스크 제품의 연구개발 및 생산 전문 기업이다. 회사 관계자는 “자체 그래핀 소재 산업을 신가성 방직 및 마스크 산업에 적용해 그래핀 하위 응용사업을 확장해 나갈 것”이라며 “특히 그래핀을 소재로 하는 항균 MB 필터(Melt-Blown nonwovens·마스크의 핵심 원자재) 및 항균 ES 섬유 등의 생산을 통한 ‘그래핀 항균 마스크’ 제품을 출시할 계획”이라고 설명했다.허위에룬 크리스탈신소재 대표이사는 “산업용 토지 및 공장 시설 보유한 ‘가윤그래핀’과 그래핀 하위 응용사업의 거점이 될 ‘신가성’ 인수를 바탕으로 사업 간 시너지를 창출하고 그래핀 사업 경쟁력을 극대화해 나갈 것”이라며 “앞으로도 전략적 투자를 통해 회사의 신성장 동력을 강화하는 데 주력하겠다”고 강조했다. 크리스탈신소재의 올해 1분기 매출액은 8770만위안(한화 약 149억원)으로 전년 동기 대비 9% 감소했으나 영업이익은 2420만위안(약 41억원)으로 같은 기간 1.3% 증가했다.유준하 "
5,"합성운모 생산 전문기업 차이나크리스탈신소재홀딩스(900250)가 29일 그래핀 사업을 강화하기 위해 법인 2곳을 인수한다고 밝혔다.차이나크리스탈신소재홀딩스가 지난 26일 이사회결의를 통해 인수를 결정한 곳은 '장인가윤그래핀광촉매기술유한회사(이하 가윤그래핀)'와 '강소신가성환보신재료유한회사(이하 신가성)'다. 크리스탈신소재는 주요 영업 자회사인 장인유자주광운모유한회사를 통해 가윤그래핀과 신가성의 지분 각각 85%씩을 확보하게 된다. 인수 금액은 가윤그래핀 1억8300만 위안(한화 약 312억원), 신가성 8500위안(약 144만원)이다. 이를 통해 그래핀 생산시설을 확충하고 그래핀 마스크 등 하위 응용제품 개발과 생산을 본격화할 계획이다.지난 2016년 설립된 가윤그래핀은 그래핀 응용제품의 연구개발과 생산을 전문으로 한다. 산업용 토지와 공장시설 등을 보유하고 있으며 해당 토지면적은 9만153㎡, 공장 및 부속시설은 3만3338㎡ 규모다.사측은 향후 추가로 투자해 그래핀 산업단지를 구축하고 토지의 여유면적을 활용해 주력사업인 합성운모 생산시설도 증설할 방침이다. 신가성은 지난 2017년에 설립된 산업용 방직제품 및 일반 마스크제품의 연구개발 및 생산전문 기업이다. 사측은 자체 그래핀 소재 산업을 신가성 방직 및 마스크 산업에 적용해 그래핀 하위 응용사업을 확장할 계획이다. 그래핀을 소재로 하는 향균 MB필터 및 향균 ES섬유 등을 생산해 그래핀 향균 마스크 제품을 출시할 예정이다.허위에룬 크리스탈신소재 대표는 ""산업용 토지와 공장시설을 보유한 가윤그래핀과 그래핀 하위 응용사업의 거점이 될 신가성을 인수해 사업 간 시너지를 창출하겠다""며 ""앞으로도 전략적 투자를 통해 회사 신성장 동력 강화에 주력할 것""이라고 말했다.앞서 크리스탈신소재는 이달 초 자회사 짱수탄구얼웨이스지에과기유한공사(이하 탄구얼웨이)의 그래핀 사업 부문을 통해 협력사 장쑤란콩취예섬유유한공사(이하 란콩취예)와 20만 위안(한화 약 3400만원) 규모의 공급계약을 체결햇다.최근 탄구얼웨이와 란콩취예는 그래핀 소재가 함유된 폴리에스터 섬유 제품을 공동개발했다. 이 제품은 탈색이나 부식, 악취 등에 강한 편이다. 마스크를 비롯 베개나 이불 등 침구류 충전물, 의류원단 및 부자재, 수건류 등의 생산에 활용될 수 있다.☞공감언론 뉴시스"
6,"합성운모 생산 전문 차이나크리스탈신소재홀딩스가 신사업으로 추진 중인 그래핀 사업을 강화할 목적으로 이사회결의를 통해 2곳의 타법인 인수를 결정했다. 인수 대상 회사는 장인가윤그래핀광촉매기술유한회사(이하 가윤그래핀)와 강소신가성환보신재료유한회사(이하 신가성)이다.크리스탈신소재는 주요 영업 자회사 장인유자주광운모유한회사를 통해 가윤그래핀과 신가성 각각 85%씩의 지분을 확보하게 된다. 인수 금액은 가윤그래핀 1억 8300만 위안(한화 약 312억원), 신가성 8500위안(약 144만원)이다. 이를 통해 회사는 그래핀 생산 시설을 확충하고 그래핀 마스크 등 하위 응용 제품 개발·생산을 본격화할 계획이다.먼저 가윤그래핀은 그래핀 응용제품의 연구개발 및 생산 전문 기업으로, 2016년 설립됐다. 산업용 토지와 공장 시설을 보유하고 있으며, 해당 토지면적은 9만153㎡(약 2만7000평), 공장·부속시설은 3만3338㎡(약 1만평) 규모다.회사는 이를 기반으로 추후 추가 투자를 통해 그래핀 산업단지를 구축하는 동시에 토지의 여유 면적을 활용해 주력사업인 합성운모 생산시설도 증설해 합성운모 생산능력을 확충할 계획이다. 해당 지역은 교통이 편리하고, 크리스탈신소재 본사에서도 가까워 운용·관리에 용이할 것으로 기대된다.신가성은 지난 2017년 설립된 산업용 방직제품·일반(비의료용) 마스크 제품의 연구개발·생산 전문 기업이다. 크리스탈신소재는 자체 그래핀 소재 산업을 신가성 방직·마스크 산업에 적용해 그래핀 하위 응용사업을 확장해 나간다는 전략이다. 특히 그래핀을 소재로 하는 항균 MB 필터(melt-blown nonwovens, 마스크의 핵심 원자재)와 항균 ES 섬유 등의 생산을 통한 '그래핀 항균 마스크' 제품을 출시할 계획이다.허위에룬 크리스탈신소재 대표이사는 ""산업용 토지와 공장 시설을 보유한 가윤그래핀과 그래핀 하위 응용사업의 거점이 될 신가성 인수를 바탕으로 사업 간 시너지를 창출하고 그래핀 사업 경쟁력을 극대화해 나갈 것""이라며 ""앞으로도 전략적 투자를 통해 회사의 신성장 동력을 강화하는 데 주력하겠다""고 강조했다.[김현정 기자"
7," 합성운모 생산 전문기업 차이나크리스탈신소재홀딩스가 신사업으로 추진 중인 그래핀 사업을 강화할 목적으로 이사회 결의를 통해 2곳의 타법인 인수를 결정했다는 소식에 관심을 모으고 있다.   인수 대상 회사는 장인가윤그래핀광촉매기술유한회사(이하 가윤그래핀)와 강소신가성환보신재료유한회사(이하 신가성)다.   크리스탈신소재는 29일 이 같이 밝힌 후 이날 오전 9시 26분 현재 코스닥시장에서 12.13% 오른 1525원에 거래되고 있다.   크리스탈신소재는 주요 영업 자회사 장인유자주광운모유한회사를 통해 가윤그래핀과 신가성의 지분을 각각 85%씩 확보하게 된다. 인수 금액은 가윤그래핀 1억8300만위안(약 312억원), 신가성 8500위안(약 144만원)이다. 이를 통해 회사는 그래핀 생산 시설을 확충하고 그래핀 마스크 등 하위 응용 제품 개발 및 생산을 본격화할 계획이다.   허위에룬 크리스탈신소재 대표이사는 ""산업용 토지 및 공장 시설 보유한 가윤그래핀과 그래핀 하위 응용사업의 거점이 될 신가성 인수를 바탕으로 사업 간 시너지를 창출하고 그래핀 사업 경쟁력을 극대화해 나갈 것""이라며 ""앞으로도 전략적 투자를 통해 회사의 신성장 동력을 강화하는 데 주력하겠다""고 강조했다.   한편, 크리스탈신소재는 이달 초 자회사 장쑤탄구얼웨이스지에과기유한공사(이하 탄구얼웨이)의 그래핀 사업 부문을 통해 협력사 장쑤란콩취예섬유유한공사(란콩취예)와 20만위안(약 3400만원) 규모의 공급계약을 체결하며 그래핀 소재의 첫 매출 성과를 내기도 했다.   최근 탄구얼웨이와 란콩취예는 그래핀 소재가 함유된 폴리에스터 섬유(polyester fibre) 제품을 공동 개발했다. 이 제품은 탈색이나 부식, 악취 등에 강하고 특히 항균성이 우수한 것이 특징이다. 마스크를 비롯해, 베개나 이불 등의 침구류 충전물, 의류 원단 및 부자재, 수건류 등의 생산에 활용될 수 있다. "
8,"기초과학연구원(IBS)은 복잡계 자기조립 연구단 김기문 단장 연구팀이 실리콘보다 전기적 특성이 뛰어난 유기 반도체 소자를 개발했다고 24일 밝혔다.    탄소물질 등으로 만들어진 유기 반도체는 가볍고 유연해 실리콘 기반 무기 반도체를 대체할 차세대 반도체로 주목받고 있다.     특히 전도성 고분자(전기가 통하는 고분자 물질) 기반 유기 반도체에 대한 연구가 활발히 진행되고 있지만, 서로 달라붙어 쌓이면서 수십㎚(1㎚는 10억분의 1ｍ) 수준 이상으로 성장시키기 어렵다는 한계가 있다.     연구팀은 고분자의 하나인 트리페닐렌(여러 개의 고리가 결합한 탄소 화합물)을 활용, 그래핀처럼 벌집 구조를 가진 2차원 전도성 고분자를 합성했다.     그래핀은 흑연의 한 층에서 떼어낸 벌집 모양 2차원 물질로, 전기·화학적 특성이 우수해 반도체 분야 '꿈의 신소재'로 불린다.    트리페닐렌 고분자는 부분적으로 양전하를 띠는데, 이 양전하 간 정전기적 반발력 덕분에 고분자들이 쌓이지 않고 용액에 골고루 분산될 수 있다.개발한 2차원 전도성 고분자를 다양한 현미경으로 관찰한 이미지[IBS 제공. 재판매 및 DB 금지]이를 통해 수백㎛(1㎛는 100만분의 1ｍ) 크기의 전도성 고분자 박막을 합성하는 데 성공했다.     이렇게 만든 '유사 그래핀'의 전기적 물성을 평가한 결과 캐리어 이동도(전하 입자의 이동 능력을 나타내는 지표)가 실리콘보다 4배가량 높은 것으로 나타났다.     특히 밴드갭(전류를 흐르게 하는데 필요한 최소한의 에너지 값) 등 전기적 물성을 조절함으로써 도체, 반도체, 부도체의 특성을 모두 구현할 수 있다.    전도성 고분자로만 이뤄진 유기 전자소자는 물론 활용 목적에 맞게 물성을 조절해 맞춤형 소자로도 만들 수 있다고 연구팀은 설명했다.     김기문 단장은 ""초고속 반도체, 고효율 태양전지, 롤러블(Rollable) 디스플레이 등 가볍고 유연한 소재를 필요로 하는 반도체 분야에 응용할 수 있을 것""이라고 말했다.     이번 연구 결과는 국제 학술지 '켐'(Chem) 이날 자에 실렸다.    "
9,"실리콘 대비 전도성이 4배나 높은 유사 그래핀 유기 반도체 소재가 개발됐다. 다양한 영역에 활용 가능한 맞춤형 소자 개발에 기여할 것으로 기대된다.기초과학연구원(IBS·원장 노도영)은 김기문 복잡계 자기조립 연구단 단장이 이끄는 국제공동연구진이 '분자 자기조립' 특성을 활용, 전기 특성이 우수한 2차원 전도성 고분자를 합성했다고 밝혔다.유기반도체는 무기반도체 단점으로 꼽히는 높은 가격, 복잡한 공정, 두께, 유연성 등 한계를 모두 뛰어넘을 수 있는 소재로 꼽힌다. 특히 전도성 고분자는 유기반도체 분야를 한층 더 성장시킬 소재로 각광받고 있다.하지만 지금까지 전도성 고분자를 2차원 대면적으로 제조한 사례는 거의 없다. 전도성을 가진 분자는 친화력이 강해 서로 겹겹이 쌓이기 때문이다. 여러 층을 형성한 고분자는 더 이상 성장하지 못하고 용액 속에 가라앉는다. 이 때문에 지금까지 합성된 2차원 전도성 고분자 크기는 수십 나노미터(㎚) 수준에 불과했다. 전자기기로 상용화하기엔 어려운 크기다.이차원 전도성 고분자로 제작한 유기 박막 트랜지스터 소자연구진은 육각형 벌집 모양의 그래핀에서 아이디어를 얻어, 벌집구조를 형성하기 유리한 고분자인 트리페닐렌을 활용해 새로운 소재를 개발했다.일부 트리페닐렌 분자에는 6개의 하이드록시기(-OH)를 도입하고, 다른 분자에는 아민기(-NH2)를 도입했다. 이후 이들 분자를 용매에 녹인 뒤 가열해 그래핀처럼 벌집 구조를 가진 2차원 전도성 고분자를 합성했다.합성 메커니즘도 규명했다. 합성 과정에 쓰인 산성 촉매로 인해 트리페닐렌 고분자는 부분적으로 양전하(+)를 띤다. 이 양전하 간 정전기적 반발력으로 고분자들은 겹겹이 쌓이지 않고, 용액에 골고루 분산된다. 기존 한계를 극복하고, 수백 마이크로미터(㎛) 크기 전도성 고분자 박막을 합성할 수 있었다.이후 연구진은 유기 박막 트랜지스터를 제작해 '유사 그래핀'의 전기적 물성을 평가했다. 소재의 캐리어 이동도는 최대 4㎠/VS로 실리콘보다 4배가량 높았다. 지금까지 개발된 2차원 전도성 고분자 중 가장 우수한 성능이다. 유사 그래핀 위에 그래핀을 적층한 광검출소자를 구현해본 결과, 제작 소자가 자외선에서 적외선에 이르는 넓은 영역의 빛을 검출할 수 있음을 증명했다.김기문 단장은 “IBS 연구단 간의 협력과 집단연구 덕분에 오랜 연구의 결실을 맺을 수 있었다”며 “앞으로 협력을 더욱 견고히 하여 높은 수준의 집단연구를 구현해 나간다면, 인류의 난제들을 풀어나갈 원동력이 될 것이라 믿는다”고 말했다.대전=김영준기자"
