,0
0,오는 7월 17일까지 거주지 읍·면 사무소에 신청[김동언 기자(=영암)
1," 전남 영암군은 내달 17일까지 2020년 하반기 귀농 농업창업 및 주택구입지원사업 신청을 받는다.2020년 하반기 귀농 농업창업 및 주택구입지원사업은 귀농인 및 재촌 비농업인이 안정적으로 농업·농촌에 정착할 수 있도록 농업창업 및 주거공간 준비를 지원하기 위한 사업이다.신청 대상은 사업신청년도 기준 만65세 이하(1954. 1. 1. 이후 출생자)인 세대주로 농촌지역 전입일로부터 만 5년이 경과하지 않고, 가족과 함께 실제 거주하면서 농업에 종사하고 있거나 계획 중이며, 전입일을 기준으로 이주 직전에 1년 이상 지속적으로 농촌 외의 지역에서 거주한 귀농인과 농촌지역에 거주하면서 최근 5년 이내 농업에 종사하지 않고, 사업신청일 현재 농촌지역에 주민등록이 1년 이상 되어있는 재촌 비농업인으로 100시간이상의 귀농ㆍ영농 교육 이수실적 있어야 한다. 대출한도는 농업창업자금은 300백만 원 한도 이내, 주택 구입·신축 및 증·개축 자금은 75백만 원 한도 이내에서 대상자의 사업실적과 대출취급기관의 대상자에 대한 신용도 및 담보평가 등 대출심사 결과에 의해 결정된다. 대출금리는 연 2%(또는 변동금리 선택 가능)로 5년 거치 10년 원금균등 분할상환으로 지원한다.사업을 희망하는 귀농인은 관련서류를 갖춰 거주지 읍·면사무소 산업팀에 제출하고, 자세한 내용은 농업기술센터 귀농지원팀에 상담할 수 있다. 이정진기자"
2,"무주군청 전경.(사진=자료사진)전북 무주군은 7월 20일부터 농업용 드론 자격증 취득 교육을 실시한다고 29일 밝혔다.드론 자격은 무인비행장치(120~150㎏)를 이용해 사용 사업을 하는 조종사가 취득해야 하는 국가자격증이다. 이론교육 20시간을 이수하고 비행실습과 비행시험 이후 취득할 수 잇다.이번 교육은 7월 8일까지 농업지원과 농기계팀으로 방문 신청하면 된다.교육 대상은 영농 경력 3년 이상의 지역 농업인 가운데 운전면허 2종 이상을 소지하면 된다.무주군은 7월 14일까지 대상자를 선정한 뒤 같은 달 20일부터 24일까지 '농민의 집' 정보화교육장에서 무인항공, 비행원리, 항공기상, 항공법규, 농업방제용 비행운용이론에 대한 교육을 진행할 계획이다.실기교육은 11월 2일부터 13일까지, 11월 16일부터 27일까지 두 차례에 걸쳐 진행된다.무주군은 올해 농업용 드론 자격증 취득 교육과 관련해 사업비 3천만원을 투입할 계획이다."
3,"전북 무주군은 7월20일부터 시작되는 농업용 드론자격증 취득교육에 앞서 7월8일까지 참가신청을 받는다고 29일 밝혔다. 대상은 영농 경력 3년 이상의 농업인 중 운전면허 2종 이상 소지자다.드론자격은 12kg초과 150kg이하의 무인비행장치를 이용해 사업을 하는 조종사가 취득해야 하는 국가자격증이다. 이론교육 20시간을 이수하고 비행실습(시뮬레이션 비행 20시간)과 비행시험 후 취득할 수 있다. 무주군은 7월14일까지 대상자를 선정한 후 20일부터 24일까지 농민의 집 정보화교육장에서 무인항공, 비행원리, 항공기상, 항공법규, 농업방제용 비행운용이론, 비행교수법 등의 이론 및 모의비행요령에 관한 교육을 진행할 계획이다. 실기교육은 11월2일부터 13일까지, 11월16일부터 27일까지 2차례에 걸쳐 진행된다.1차에서는 이착륙과 제자리비행, 전·후진과 삼각비행, 원주비행 러더턴 등 기본비행에 관한 내용을 교육한다. 2차에서는 정상접근과 측풍접근 착륙 등 종합숙달비행을 실습할 계획이다. 무주군은 2020년 농업용 드론자격증 취득교육 추진에 사업비 3000만원을 투입하며 1인당 150만원의 교육비를 지원한다.배진수 농업지원과 농업기계팀장은 “병해충 방제와 파종 등 농업용 드론의 활용도가 높아지고 필요성이 커져 교육과정을 운영하게 됐다”라며 “드론 활용을 유도해 농업발전에 기여하는 한편, 교육에 내실을 기해 드론으로 발생할 수 있는 안전사고를 예방하고 법률 준수에 대한 경각심을 높여나가겠다”고 말했다"
4,"[헤럴드경제=이진용 기자]서울 종로구(구청장 김영종)는 관내 등록된 도시농업공동체와 뜻을 모아 텃밭에서 수확한 작물을 어려운 이웃을 위해 종로구푸드뱅크·마켓센터에 기부하는 ‘도시농업공동체 수확물 나눔’을 진행하고 있다고 29일 밝혔다. 도시의 다양한 공간을 활용해 농작물을 경작하거나 식물을 재배하고, 양봉을 포함한 곤충을 키우는 도시농업은 주민의 소통과 힐링을 돕고, 가꾸는 재미와 행복을 주는 효과가 있다. 도시농업공동체는 ‘도시농업의 육성 및 지원에 관한 법률’에 따라 도시농업인들이 도시농업을 함께하기 위해 자율적으로 구성한 단체로, 종로구에는 6월 현재 텃밭, 양봉, 곤충 등 총 15개의 도시농업공동체가 등록, 활동하고 있다. 도시농업공동체 회원들은 이웃사랑을 실천하기 위해 도시농업 활동과 연계하여 마을의 어려운 이웃과 함께할 수 있는 방안에 대하여 구와 논의를 하였고, 상추와 고추 등 텃밭 작물, 꿀 등 도시농업의 다양한 수확물을 주기적으로 기부하는 데 뜻을 모았다. 구와 도시농업공동체는 기부하는 품목이 대부분 농산물이기 때문에 신선도 유지에 주안점을 두고 ‘당일 수확, 당일 기부’라는 원칙을 세웠다. 아침에 공동체 회원들이 텃밭에서 작물을 수확해 포장을 하면 구청 공원녹지과에서 이를 수거해 종로구푸드뱅크·마켓센터에 전달한다. 지난 17일 도시농업공동체에서 수확한 상추 등 채소와 꿀을 처음으로 종로구푸드뱅크·마켓센터에 기부했으며, 앞으로도 주 1회 정도 수확물을 기부할 예정이다. 종로구푸드뱅크·마켓센터 관계자는 경제적 어려움으로 신선한 채소를 드시기 힘든 분들이 많은데 이웃이 정성껏 재배한 신선한 농산물을 그분들에게 드릴 수 있게 됐다며 도시농업공동체와 구청에 감사 인사를 전했다. 김영종 구청장은 “이번 활동은 이웃과 나눔을 실천하려는 공동체 회원들의 마음으로 시작되어 의미가 더욱 크다. 구에서는 도시농업을 더욱 활성화하고, 도시농업공동체가 연대하여 다양한 활동을 할 수 있도록 계속해서 아낌없는 지원을 하겠다”고 말했다."
5," 종로구(구청장 김영종)는 지역내 등록된 도시농업공동체와 뜻을 모아 텃밭에서 수확한 작물을 어려운 이웃을 위해 종로구푸드뱅크·마켓센터에 기부하는 '도시농업공동체 수확물 나눔'을 진행하고 있다.도시의 다양한 공간을 활용해 농작물을 경작하거나 식물을 재배, 양봉을 포함한 곤충을 키우는 도시농업은 주민의 소통과 힐링을 돕고 가꾸는 재미와 행복을 주는 효과가 있다.도시농업공동체는 도시농업의 육성 및 지원에 관한 법률에 따라 도시농업인들이 도시농업을 함께하기 위해 자율적으로 구성한 단체로 종로구에는 6월 현재 텃밭, 양봉, 곤충 등 총 15개의 도시농업공동체가 등록돼 활동하고 있다.도시농업공동체 회원들은 이웃사랑을 실천하기 위해 도시농업 활동과 연계, 마을의 어려운 이웃과 함께할 수 있는 방안에 대하여 구와 논의, 상추와 고추 등 텃밭 작물, 꿀 등 도시농업의 다양한 수확물을 주기적으로 기부하는 데 뜻을 모았다.구와 도시농업공동체는 기부하는 품목이 대부분 농산물이기 때문에 신선도 유지에 주안점을 두고 ‘당일 수확, 당일 기부’라는 원칙을 세웠다. 아침에 공동체 회원들이 텃밭에서 작물을 수확해 포장을 하면 구청 공원녹지과에서 이를 수거해 종로구푸드뱅크·마켓센터에 전달한다.지난 17일 도시농업공동체에서 수확한 상추 등 채소와 꿀을 처음으로 종로구푸드뱅크·마켓센터에 기부, 앞으로도 주 1회 정도 수확물을 기부할 예정이다.종로구푸드뱅크·마켓센터 관계자는 ""경제적 어려움으로 신선한 채소를 드시기 힘든 분들이 많은데 이웃이 정성껏 재배한 신선한 농산물을 그분들에게 드릴 수 있게 됐다""며 도시농업공동체와 구청에 감사 인사를 전했다.김영종 구청장은 “이번 활동은 이웃과 나눔을 실천하려는 공동체 회원들의 마음으로 시작 돼 의미가 더욱 크다. 구는 도시농업을 더욱 활성화, 도시농업공동체가 연대, 다양한 활동을 할 수 있도록 계속해 아낌없는 지원을 하겠다”고 전했다.박종일 기자"
6, 서울 종로구 도시농업공동체 꿀. (사진=종로구 제공) 2020.06.29.
7," 유찬형(왼쪽 여섯번째) 여성농업인 육성 특별위원장(농협 부회장)이 29일 서울 중구 농협중앙회 신관에서 열린 2020 제1차 여성농업인 육성 특별위원회에서 위원들과 기념촬영을 하고 있다.'여성농업인 육성 특별위원회'는 농·축협 조합장 등 범농협 대표와 여성농업인단체장, 여성농업인, 정·관계 및 학계 인사 등 15인으로 구성되며 여성 농업인 육성 및 지원 확대를 위한 전문가들의 다양한 의견을 수렴하고 있다. (사진=농협)김태형 "
8,"[헤럴드경제=황해창] 농협중앙회(회장 이성희)는 29일 서울시 중구 농협중앙회 신관에서 올해 제1차 여성농업인 육성 특별위원회(위원장 유찬형 농협중앙회 부회장)를 개최했다.여성농업인 육성 특별위원회는 농협중앙회 유찬형 부회장을 비롯한 농·축협 조합장 등 범농협 대표와 여성농업인단체장, 여성농업인, 정·관계 및 학계 인사 등 15인으로 구성됐다.농협은 농촌사회에서 여성농업인의 역할이 점차 커지고 있는 만큼 여성농업인 육성 및 지원 확대를 위한 전문가들의 다양한 의견을 모으기 위해 이번 위원회를 개최했다.유찬형 농협중앙회 부회장은 “위원회가 농촌지역 여성들의 성평등에서부터 삶의 질 향상에 이르기까지 정부정책과 연계한 여성농업인 지원을 위한 농협의 역할을 제시해주었고, 농협은 위원회의 의견을 바탕으로 여성농업인에 대한 지원을 더욱 확대해 나갈 것”이라고 밝혔다"
9,   
