,contents
0,"모든 용도 평균 메가줄(MJ)당 15.24원→13.25원주택용은 11.2%↓…월 2000~8000원 절감 기대게티이미지뱅크도시가스 요금이 유가 하락에 따라 새달부터 평균 13% 내려간다.산업통상자원부는 29일 모든 용도의 도시가스 평균 요금을 서울시 6월 소매요금 기준 메가줄(MJ)당 15.24원에서 13.25원으로 13.1% 인하한다고 밝혔다. 메가줄은 열량 단위의 하나로, 도시가스 1㎥는 43.1MJ에 해당한다.도시가스 요금 조정은 지난해 7월 4.5% 인상 이후 1년 만에 처음이다. 이번 요금 조정은 산업부가 유가 하락 등에 따른 17.1%p의 원료비 인하 요인, 누적된 미수금 해소를 위한 정산단가 인상 요인(2.6%p), 판매물량 감소에 따른 도매공급비 인상 요인(1.4%p) 등을 반영한 결과다.국제유가 및 환율 변동은 4~5개월 뒤 액화천연가스(LNG) 수입가격에 영향을 끼쳐 원료비에 반영되는데, 산업부는 최근 유가 하락은 25.5%p의 인하 요인, 환율 상승 등은 8.4%p의 인상 요인으로 작용했다고 설명했다. ※ 이미지를 누르면 크게 볼 수 있습니다.용도별 요금 변동을 보면, 주택용은 평균 11.2% 내려가 가구당 도시가스 평균 요금이 여름철에는 2천원, 겨울철에는 8천원 줄어들게 될 것으로 기대된다. 소상공인·자영업자 등이 쓰는 일반용1 요금은 12.7% 내려가 월 평균 3만원 가량의 절감 효과가 예상된다. 산업용은 평균 15.3% 내려간다. 산업용 도시가스 요금 인하 폭이 상대적으로 큰 것에 대해 산업부는 “연중 사용량이 균일한 특성에 따라 다른 용도에 견줘 도매공급비용쪽 인상 요인이 약하기 때문”이라고 밝혔다.김정수 선임기자"
1,"도시가스 요금 조정요인 <자료 산업통상자원부>정부가 다음달 1일부터 도시가스 요금을 평균 13.1% 인하한다. 수송용 도시가스 요금을 신설하고, 산업·열병합용 등 도시가스 전용도 원료비를 매월 자동 조정한다.산업통상자원부는 내달 1일부터 이 같은 방안들을 시행한다고 29일 밝혔다.우선 내달 1일부터 도시가스 요금을 평균 13.1% 낮춘다. 도시가스 전용도 평균요금은 현행 메가줄(MJ) 당 15.24원에서 약 2원 인하된 13.25원으로 조정된다.용도별로는 '주택용'이 11.2%, '일반용1'이 12.7%, '산업용'이 15.3% 인하된다. 주택용은 가구당 도시가스 요금은 월 평균 하절기 2000원, 동절기 8000원 절감될 것으로 기대된다. 소상공인·자영업자 도시가스 요금은 월 평균 3만원 가량 감소할 것으로 예상되고, 산업계 생산비용이 대대폭 경감될 전망이다.산업부는 지난 7월 이후 1년 만에 도시가스 요금을 조정했다. 최근 유가하락 등으로 인해 원료비가 17.1%포인트(P) 하락하고, 현재까지 누적된 미수금 해소를 위한 정산단가 인상요인(2.6%P)과 판매물량 감소에 따른 도매공급비 인상요인(1.4%P) 등을 반영한 결과다.도시가스 소매공급비는 각 시·도별로 별도 조정될 예정이다. 소매공급비 변동폭에 따라 시·도별 최종 도시가스 요금을 확정한다.산업부는 내달 1일 수송용 전용요금도 신설한다. 요금 적용대상을 기존 CNG 버스 등 차량 충전용 가스뿐 아니라 자동차 충전용 수소 제조에 사용하는 가스로 확대했다. 이에 따라 내달 1일부터 수송용 가스요금은 현행 메가줄(MJ) 당 14.08원에서 11.62원으로 17.4% 인하된다.정부는 천연가스 버스 보급 확대를 위해 2000년 5월부터 수송용 임시요금을 적용했다. 수송용 가스 사용량이 90만톤 이상으로 성숙하고, 미세먼지 감축, 수소차 보급에 기여하는 점을 감안해 수송용 전용요금을 신설했다.산업부는 오는 8월 1일부터 도시가스 원료비 연동제도 개편한다. 주택·일반용을 제외한 도시가스 산업·열병합용 원료비를 현행 매 홀수월 조정에서 매월 자동조정할 예정이다. 가격 예측률을 높여 산업계 생산 활동에 기여하고, 에너지 가격왜곡 현상을 줄일 것으로 기대했다.<표>2020년 7월 1일자 용도별 도시가스 요금 조정(단위:원/MJ)* 일반용, 산업용 및 열병합용은 연평균 요금 기준* 일반용1: 음식점업, 구내식당, 학교 급식시설, 이·미용업, 숙박업, 수영장, 세탁소 등* 일반용2: 목욕탕, 폐기물처리장(소각·건조), 쓰레기소각장 등* 수송용은 충전비용 미포함자료: 산업통상자원부변상근기자"
2,"지난 3월 국제유가 인하 요인 반영7월 1일 자 용도별 도시가스 요금 조정안. 한국가스공사 제공한국가스공사는 내달 1일부터 도시가스 요금을 평균 13.1% 인하한다고 29일 밝혔다.이번 도시가스 요금 인하는 '원료비 연동제'에 따라 7~8월 도입 예정인 LNG 가격 인하 요인을 반영한 것이다. LNG 도입 가격은 계약 특성상 국제유가를 약 4~5개월 후행하기 때문에 지난 3월 국제유가 하락 효과가 7월 도시가스 요금에 반영됐다.이에 따라 도시가스 전용도 평균 소매요금은 메가줄(MJ·가스사용 열량 단위·1MJ=238.9㎉)당 15.2442원에서 1.9953원 인하된 13.2489원으로 조정된다.용도별 인하율은 주택용 11.2%, 산업용 15.3%로 한 가구당 월평균 가스요금은 하절기 약 2천원, 동절기 약 8천원 가량 감소할 전망이다.도시가스 요금은 가스공사가 공급하는 도매요금과 지역별 도시가스사의 소매공급비용으로 구성된다. 도매요금은 정부 부처 간 협의를 거쳐 산업통상자원부 장관이 승인하고, 소매공급비용은 시도지사가 승인해 지역별로 가격이 다르다.채원영 기자"
3,"산업부 ""유가하락 요인 반영""다음달 1일부터 도시가스 요금이 평균 13.1% 떨어진다.산업통상자원부는 “최근 유가 하락 요인을 반영해 도시가스 평균요금을 메가줄(MJ)당 15.24원에서 13.25원으로 조정한다”고 29일 밝혔다.부문별 인하폭은 △주택용 11.2% △소상공인·자영업자용 12.7% △업무용 11.8% △산업용 15.3% 등이다. 이에 따라 가구당 도시가스 요금은 여름에 월평균 2000원, 겨울에는 8000원 정도 절감될 전망이다. 구체적으로 여름에 월평균 2만원인 부담액이 1만8000원, 겨울에 6만7000원인 부담액은 5만9000원까지 떨어진다.소상공인과 자영업자는 월평균 3만원씩 수혜를 볼 것으로 예상된다.산업부는 도시가스 인하폭은 원료비와 도매공급비 등을 종합적으로 고려해 결정했다고 설명했다. 구체적으로는 유가 하락에 따른 원료비 인하폭 17.1%, 판매물량 감소에 따른 도매공급비 인상폭 4.1% 등이 반영됐다.이번 가격 조정은 지난해 7월 4.5% 인상한 이후 1년 만에 이뤄진 것이다. 산업부는 현재 2개월에 한 번씩 조정하는 도시가스 요금을 8월부터 에너지 시장 상황에 따라 매달 인하 혹은 인상하기로 했다.노경목 기자"
4,"수송용 요금도 신설…여름 2천원, 겨울 8천원 절감 효과(지디넷코리아=박영민  기자)다음 달부터 도시가스 요금이 평균 13.1% 인하된다. 또 수송용 전용요금도 신설돼 차량 충전용 가스와 자동차 충전용 수소 제조에 사용되는 가스까지 도입이 확대된다.29일 산업통상자원부는 다음 달 1일부터 도시가스 요금을 평균 13.1%(서울시 6월 소매요금 기준)인하한다고 밝혔다. 이에 따라 도시가스 평균 요금은 현행 메가줄(MJ) 당 15.24원에서 약 2원 인하된 13.25원으로 조정된다.이날 발표 내용에 따르면 주택용 도시가스 요금은 11.2% 인하돼 가구당 도시가스 요금은 월 평균 하절기 2천원, 동절기 8천원 절감될 전망이다.일반용은 12.7% 인하된다. 이에 소상공인·자영업자 도시가스 요금은 월 평균 3만원 가량 감소할 것으로 산업부는 내다봤다. 또 산업용 도시가스 요금은 15.3% 인하된다.도시가스 요금이 조정되는 이유는 크게 세 가지다. 최근 유가하락 등이 반영된 원료비 인하요인과 현재까지 누적된 미수금 해소를 위한 정산단가 인상요인, 그리고 판매물량 감소에 따른 도매공급비 인상요인 등이다.도시가스 요금 계량기. (사진=뉴스1)이러한 이유로 연중 사용량이 균일한 특성을 보이는 산업용 도시가스는 도매공급비 인상요인이 낮아 요금이 가장 큰 폭으로 인하될 예정이다.아울러, 산업부는 다음 달 1일부터 수송용 전용요금을 신설하고, 요금 적용대상을 압축천연가스(CNG) 버스 등 차량 충전용 가스와 함께 자동차 충전용 수소 제조에 사용하는 가스로 확대한다.이날부터 수송용 가스요금은 MJ 당 14.08원에서 11.62원으로 17.4% 인하된다.산업부는 ""그동안 정부는 천연가스 버스 보급 확대를 위해 지난 2000년 5월부터 수송용 임시요금(산업용 요금에서 3원/m3 차감)을 적용해왔다""며 ""연간 수송용 가스 사용량이 90만톤(t) 이상으로 성숙했고, 미세먼지 감축과 수소전기차 보급에 기여하는 바를 고려해 전용요금을 신설하게 됐다""고 설명했다.한편, 오는 8월 1일부터는 주택용·일반용을 제외한 도시가스 전 용도의 원료비를 홀수월 조정에서 매월 자동조정하는 방식으로 원료비 연동제가 개편된다. 이 같은 조치는 가격의 적시성과 예측성을 높여 산업계의 원활한 생산 활동에 기여하고, 에너지 가격왜곡 현상을 최소화할 것으로 산업부는 내다봤다.7월 1일부터 조정되는 용도별 도시가스 요금. (자료=산업부)박영민 기자"
5,"산업통상자원부는 7월 1일부터 도시가스 요금(서울시 소매요금 기준)을 평균 13.1% 내린다고 29일 밝혔다.    이에 따라 모든 용도의 도시가스 평균 요금은 현행 메가줄(MJ·가스사용 열량 단위·1㎥=43.1MJ) 당 15.24원에서 약 2원 내린 13.25원으로 조정된다.    용도별로 보면 주택용은 11.2% 인하된다. 가구당 요금은 월평균 여름철 2천원, 겨울철에는 8천원씩 절감될 것으로 보인다.    일반용은 12.7% 인하돼 소상공인과 자영업자는 도시가스 요금이 월평균 3만원가량 줄 것으로 예상된다.    산업용은 15.3% 내린다.    요금 조정은 작년 7월 4.5% 인상 이후 1년 만으로, 최근 유가 하락에 따른 원료비 인하 등을 반영했다.2020년 7월 1일 자 용도별 도시가스 요금 조정[산업통상자원부 제공·재판매 및 DB 금지]    산업부는 7월부터 수송용 전기요금을 별도 신설한다. 요금 적용 대상도 기존 CNG(압축천연가스) 버스 등 차량 충전용 가스뿐만 아니라 자동차 충전용 수소 제조에 사용하는 가스로 확대했다.     수송용 가스요금도 현행 메가줄당 14.08원에서 11.62원으로 17.4% 내렸다.     산업부 관계자는 ""그동안 천연가스 버스 보급을 늘리기 위해 2000년 5월부터 수송용 임시요금을 적용해왔으나 연간 수송용 가스 사용량이 90만t 이상으로 늘어나고, 미세먼지 감축과 수소차 보급에 기여한 점을 고려해 전용요금을 신설했다""고 말했다.     한편 산업부는 8월 1일부터 도시가스 연료비 연동제를 개편해 주택용, 일반용을 제외한 나머지 용도(산업용, 열병합용 등)의 원료비를 현행 매 홀수달 조정에서 매월 자동조정할 예정이다. 가격의 예측성 등을 높이고 에너지 가격 왜곡 현상을 최소화하자는 취지다.    "
6,"산업통상자원부는 오는 7월 1일부터 도시가스 요금을 평균 13.1% 내린다고 밝혔습니다.이에 따라 모든 용도의 도시가스 평균 요금은 메가줄 당 15.24원에서 약 2원 내린 13.25원으로 조정됩니다.주택용은 11.2% 인하되는데, 여름철엔 2천원, 겨울철에는 8천원씩 가구당 전기료가 절감될 것으로 보입니다.이외에 일반용은 12.7%, 산업용은 15.3% 내립니다.전기 요금 조정은 지난해 7월 4.5% 인상 이후 1년 만에 이뤄진 것으로, 산업부는 최근 유가 하락에 따른 원료비 인하 등을 반영해 전기요금을 조정했다고 설명했습니다.이문현 기자 "
7,"산업통상자원부는 7월 1일부터 도시가스 요금(서울시 소매요금 기준)을 평균 13.1% 내린다고 29일 밝혔다.이에 따라 모든 용도의 도시가스 평균 요금은 현행 메가줄(MJ·가스사용 열량 단위·1㎥=43.1MJ) 당 15.24원에서 약 2원 내린 13.25원으로 조정된다.용도별로 보면 주택용은 11.2% 인하된다. 가구당 요금은 월평균 여름철 2천원, 겨울철에는 8천원씩 절감될 것으로 보인다.일반용은 12.7% 인하돼 소상공인과 자영업자는 도시가스 요금이 월평균 3만원가량 줄 것으로 예상된다.산업용은 15.3% 내린다.요금 조정은 작년 7월 4.5% 인상 이후 1년 만으로, 최근 유가 하락에 따른 원료비 인하 등을 반영했다.산업부는 7월부터 수송용 전기요금을 별도 신설한다. 요금 적용 대상도 기존 CNG(압축천연가스) 버스 등 차량 충전용 가스뿐만 아니라 자동차 충전용 수소 제조에 사용하는 가스로 확대했다.수송용 가스요금도 현행 메가줄당 14.08원에서 11.62원으로 17.4% 내렸다.산업부 관계자는 ""그동안 천연가스 버스 보급을 늘리기 위해 2000년 5월부터 수송용 임시요금을 적용해왔으나 연간 수송용 가스 사용량이 90만t 이상으로 늘어나고, 미세먼지 감축과 수소차 보급에 기여한 점을 고려해 전용요금을 신설했다""고 말했다.한편 산업부는 8월 1일부터 도시가스 연료비 연동제를 개편해 주택용, 일반용을 제외한 나머지 용도(산업용, 열병합용 등)의 원료비를 현행 매 홀수달 조정에서 매월 자동조정할 예정이다. 가격의 예측성 등을 높이고 에너지 가격 왜곡 현상을 최소화하자는 취지다.(사진=연합뉴스/산업통상자원부)이휘경기자"
8,다음달 1일부터 도시가스 요금이 내린다. 최근 유가 하락에 따라 연료비가 인하됐기 때문이다. 소상공인과 자영업자는 월 평균 3만원의 혜택을 볼 것으로 기대된다. 도시가스 요금이 조정되는 건 지난해 7월 이후 1년 만이다.     ━   주택용은 11.2% 인하…겨울엔 月 8000원 아낀다      용도별 도시가스 요금 조정. 그래픽=김주원 기자
9,"평균 13.1% ↓…겨울철에는 8000원 가량 내릴 듯한국가스공사 본사 사옥 전경. 가스공사 제공산업통상자원부와 한국가스공사는 7월 1일부터 도시가스 요금(서울시 소매요금 기준)을 평균 13.1% 내린다고 29일 밝혔다.이에 따라 모든 용도의 도시가스 평균 요금은 현행 메가줄(MJ·가스사용 열량 단위·1㎥=43.1MJ) 당 15.24원에서 약 2원 내린 13.25원으로 조정된다.산업부가스공사 제공 용도별 인하율은 주택용 11.2%, 산업용 15.3%로, 가구당 평균 가스요금은 월평균 여름철 2000원, 겨울철에는 8000원씩 절감될 것으로 보인다. 여기에는 천연가스 공급규정 개정에 따라 7월 1일부로 신설되는 수송용도 포함돼 17.4% 인하될 예정이다.일반용은 12.7% 인하돼 소상공인과 자영업자는 도시가스 요금이 월평균 3만 원가량 줄 것으로 예상된다.요금 조정은 작년 7월 4.5% 인상 이후 1년 만으로, 최근 유가 하락에 따른 원료비 인하 등을 반영했다.7월부터 수송용 전기요금을 별도 신설한다.요금 적용 대상도 기존 CNG(압축천연가스) 버스 등 차량 충전용 가스 뿐만 아니라 자동차 충전용 수소 제조에 사용하는 가스로 확대했다.수송용 가스요금도 현행 메가줄당 14.08원에서 11.62원으로 17.4% 내렸다.산업부 관계자는 ""그동안 천연가스 버스 보급을 늘리기 위해 2000년 5월부터 수송용 임시요금을 적용해왔으나 연간 수송용 가스 사용량이 90만t 이상으로 늘어나고, 미세먼지 감축과 수소차 보급에 기여한 점을 고려해 전용요금을 신설했다""고 말했다.가스공사 관계자는 “이번 도시가스 원료비 연동제 개선으로 그간 발생했던 문제점이 상당 부분 해소될 것으로 기대된다”며 “앞으로 소비자 니즈를 적극 반영한 제도 개선을 통해 요금체계 합리성 강화 및 사용자 편익 제고에 최선을 다하겠다”고 밝혔다.한편 산업부는 8월 1일부터 도시가스 연료비 연동제를 개편해 주택용, 일반용을 제외한 나머지 용도(산업용, 열병합용 등)의 원료비를 현행 매 홀수달 조정에서 매월 자동조정할 예정이다. 가격의 예측성 등을 높이고 에너지 가격 왜곡 현상을 최소화하자는 취지다.송현수 기자"
