,contents
0,"- 日·中, 잉크젯 프린팅으로 삼성·LG 견제   [디지털데일리 김도현기자] 일본과 중국 간 ‘디스플레이 동맹’이 본격화한다. 양국 기업의 협력을 일본 정부 차원에서 승인한 덕분이다. 한국이 장악한 유기발광다이오드(OLED) 시장을 노릴 것으로 보인다.   29일 업계에 따르면 일본 경제산업성은 지난 25일 JOLED의 구조 조정 계획을 승인했다. 중국 CSOT와의 자본 제휴를 공식 인정한 셈이다.   최근 TCL 산하 CSOT는 JOLED에 200억엔(약 2300억원)을 투자하고, 지분 11% 정도를 받는다고 밝혔다. 소니, 파나소닉 등이 설립한 JOLED는 잉크젯 프린팅 기술을 보유하고도, 재정난으로 사업 정상화가 어려웠다. 이에 자본력을 갖춘 CSOT와 손을 잡고, OLED TV 패널 시장에 진출할 방침이다.   JOLED는 지난해 일본 이시카와현에 잉크젯 프린팅 공정을 적용한 OLED 공장을 완공한 바 있다. 잉크젯 프린팅은 뿌리는 방식으로 유기물 재료를 입히는 기술이다. 증착 공정보다 가격, 효율 면에서 우수한 것으로 알려졌다. CSOT와의 협업을 통해 중대형 OLED 포트폴리오를 확대할 것으로 보인다.   현재 OLED 시장은 중소형의 삼성디스플레이와 대형의 LG디스플레이가 이끌고 있다. 사실상 한국 독점 체제다. 액정표시장치(LCD) 시장을 중국에 빼앗기면서, OLED에 더욱 집중하고 있다.   다만 일본과 중국의 협업으로 긴장을 늦추지 말아야 할 상황에 놓였다. 잉크젯 기술은 JOLED가 가장 앞선 것으로 알려졌고, 자금력과 시장 규모는 중국에 뒤처지는 탓이다.   디스플레이 업계 관계자는 “당장 잉크젯 공정이 도입될 수는 없겠지만, 두 기업의 연합으로 향후 2~3년 내 상용화될 전망”이라며 “그동안 용매 합성과 노즐 막힘 현상 등의 한계로 잉크젯을 활용하기 어려웠지만, 본격 활용 시 증착보다 우수한 기술임은 분명하다. 이 점이 경계해야 할 부분”이라고 분석했다.   한편 JOLED는 지난 22일 (현지시간) 미국 텍사스 지방 법원과 독일 만하임 지방 법원에 삼성전자와 삼성디스플레이를 제소했다. 내용은 특허 침해에 대한 손해 배상 청구 소송이다. JOLED가 지적한 특허는 전류 구동 관련 기술로 알려졌다. 삼성 측은 정확한 내용을 파악한 뒤 대응하겠다는 입장이다.   <김도현 기자>dobest@ddaily.co.kr▶ 네이버에서 디지털데일리 채널 구독하기▶ IT정보의 즐거운 업그레이드 [딜라이트닷넷]<저작권자 © 디지털데일리 무단전재-재배포금지>"
1,"정호영 LG디스플레이 사장 약력 : 1961년생. 한영고, 연세대 경영학과 졸업. 1984년 LG전자 입사. 2000년 LG전자 상무. 2007년 LG전자 부사장. 2008년 LG디스플레이 부사장. 2014년 LG생활건강 부사장. 2016년 LG화학 사장. 2020년 LG디스플레이 대표이사 사장(현).[한경비즈니스=최은석 기자] 정호영 LG디스플레이 사장은 1984년 LG전자에 입사해 최고재무책임자(CFO) 등을 지낸 재무통이다. 2008년부터 2014년까지 LG디스플레이 CFO로 일했다. 이후 LG생활건강 CFO를 거쳐 LG화학 사장 등을 역임했다.LG디스플레이는 최근 경영 목표를 ‘최고의 디스플레이 솔루션 기업’으로 바꿨다. 8년 만에 바뀐 목표다. 기존 목표는 ‘글로벌 넘버원 디스플레이 기업’이었다. 디스플레이 수급과 관련해 고민이 있는 고객에게 맞춤형 해법을 제시하는 회사가 되겠다는 의미를 담았다.LG디스플레이는 6월 16일 디스플레이 산업 구조가 재편되고 디지털 혁신이 가속화되고 있는 점을 고려해 경영 목표를 다시 설정했다고 발표했다. 사업 범위를 제조에 한정하지 않고 생태계 전반을 아우를 수 있도록 확장해 나가겠다는 설명이다.정 사장은 제품과 기술뿐만 아니라 서비스·프로세스·시스템·인재 등 모든 분야에서 ‘최고 수준’이 돼 고객에게 ‘최고의 솔루션’을 제공해 나갈 계획이다. LG디스플레이는 경영 목표를 실현하기 위한 내부 혁신을 강조하고 전 임직원이 실천해야 할 행동 방식으로 △고객가치 최우선(Customer First) △인사이트(Insight Driven) △민첩(Agility) △치밀·철저(Thoroughness) △열린 협업(Open Collaboration) 등 5가지도 새롭게 선정했다.다만 LG디스플레이의 비전인 ‘여러분이 꿈꾸는 미래, LG디스플레이가 펼쳐갑니다(You Dream, We Display)’는 그대로 유지한다. 시대가 변해도 LG디스플레이가 궁극적으로 추구하는 것은 고객의 꿈과 바람을 현실화하는 것이기 때문이다.LG디스플레이는 새로운 비전 체계를 바탕으로 △대형 유기발광다이오드(OLED) 대세화 △플라스틱 OLED 턴어라운드 △액정표시장치(LCD) 구조 혁신 가속화 등 3가지 핵심 전략 과제를 차질 없이 달성한다는 각오다.대형 OLED는 생산 효율성과 시장 대응력을 높여 ‘OLED 대세화’를 굳힐 방침이다. 플라스틱 OLED는 핵심 경쟁력을 바탕으로 사업 기반을 강화해 턴어라운드를 이끌 계획이다. LCD는 정보기술(IT)용 LCD 등 고부가 제품 중심으로 역량을 집중해 수익성을 높이는 구조 혁신에 속도를 내고 있다.LG디스플레이는 이러한 사업 구조로 전환하고 새로운 지향점과 핵심 가치를 전 임직원이 명확히 공유하고 철저한 실행으로 옮겨 고객 가치 중심의 솔루션 제공에 총력을 기울일 계획이다.정 사장은 “경영 환경의 불확실성이 여전히 짙지만 비대면·비접촉 생활 문화 확산과 디지털 혁신 가속화는 산업에 새로운 기회 요인이 될 것”이라며 “세계 최고의 기술력과 인재라는 자산을 바탕으로 새로운 목표와 행동 방식을 통해 더 강하고 새로운 회사로 도약해 나갈 것”이라고 말했다.choies@hankyung.com[본 기사는 한경비즈니스 제 1283호(2020.06.27 ~ 2020.07.03) 기사입니다.]▶ 한경비즈니스 네이버 뉴스에서 [구독 클릭]▶ '한경비즈니스' 바로가기 ▶ 잡지 정기구독 신청  당사의 허락 없이 본 글과 사진의 무단 전재 및 재배포를 금합니다."
2,"오는 2024년까지 두 제품 적용하는 기기 숫자는 비슷할 듯[아이뉴스24 윤선훈 기자] 폴더블 스마트폰의 커버 윈도우로 주로 쓰이는 UTG(초박형유리·Ultra thin glass)와 CPI(투명 폴리이미드 필름·Colorless polyimide)가 향후 5년간 어느 한쪽으로 쏠리지 않고 공존할 것이라는 조사가 나왔다.29일 시장조사업체 유비리서치에 따르면 적어도 오는 2024년까지 UTG와 CPI는 비슷한 정도의 시장 크기를 유지할 전망이다. 유비리서치는 올해 350만대의 기기에 UTG가, 450만대의 기기에 CPI가 장착될 것으로 예측했다. 오는 2024년에는 UTG 탑재 기기가 3천50만대, CPI 탑재 기기가 3천710만대에 달할 것으로 보인다. 유비리서치 측은 ""향후 5년간은 대등한 비율로 두 제품이 공존할 것으로 보인다""고 말했다. [출처=유비리서치]당초 지난 2019년 출시된 삼성전자 '갤럭시 폴드', 로욜의 '플렉스파이'와 화웨이 '메이트X' 등은 모두 CPI를 커버 윈도우로 활용했다. 다만 지난 2월 출시된 삼성전자의 2번째 폴더블폰 '갤럭시Z플립'에는 UTG가 사용됐다. 올해 하반기 출시될 '갤럭시 폴드 2'에도 UTG가 적용될 가능성이 높다.유비리서치에 따르면 삼성디스플레이가 사용하는 UTG는 독일 쇼트가 유리 원판을 생산하며, 도우인시스가 이를 가공한다. 도우인시스는 삼성디스플레이가 지분을 인수해 수직계열화한 국내 업체다.유비리서치 관계자는 ""삼성전자가 커버윈도우를 CPI에서 UTG로 바꾼 이유는 화면이 꺼진 상태에서 패널이 반짝거리는 고급감과 함께, 타 업체와 차별화 전략을 주기 위함으로 풀이된다""고 말했다.윤선훈기자 krel@inews24.com▶네이버 채널에서 '아이뉴스24'를 구독해주세요.▶재밌는 아이뉴스TV 영상보기  ▶아이뉴스24 바로가기[ⓒ 아이뉴스24 무단전재 및 재배포 금지]"
3,"디지털 사이니지 전문기업 '시스메이트'는 정확한 안면인식과 동시에 비접촉 IR온도센서로 체온을 측정하는 'SMART 안면인식&열화상 체온측정 디스플레이' 신제품을 출시했다고 29일 밝혔다.시스메이트의 안면인식&열화상 체온측정 디스플레이는 Full-HD 듀얼 카메라가 탑재되어 1초 미만의 속도로 정확한 안면인식이 가능한 동시에, IR 온도센서로 비접촉 체온측정이 가능하다.시스메이트가 출시한 안면인식&열화상 체온측정 디스플레이는 사용자의 마스크 착용여부를 감지하여 사용자가 마스크를 착용하거나, 착용하지 않아도 빠른 안면인식과 동시에 체온측정이 가능하고 안면인식 시스템의 인식률은 99% 이상의 정확도를 자랑한다.시스메이트의 'SMART 안면인식&열화상 체온측정 디스플레이'는 관리자가 원하는 정상온도 범위를 설정할 수 있으며, 비정상 온도 감지 시 시각/청각적 알림기능과 동시에 출입게이트 출입을 제한할 수 있는 기능을 탑재하고 있다. 이와 함께 디바이스와 스탠드가 결합되어 고정된 각도와 높낮이가 아닌 유동적인 틸트 기능으로 아동부터 성인까지 안면인식 및 체온측정이 가능하다.시스메이트 정종균 대표는 ""코로나19로 인한 혼란의 시국에, 대중적인 예방관리 차원에서 신속하고 정확한 안면인식 기술과 비접촉 온도측정 기능이 탑재된 안면인식, 열화상 체온측정 디바이스를 다중이용시설, 공공기관, 의료기관, 교육기관 등에 도입하여, 국가 차원의 스마트 방역 서비스를 확대해 나아갈 것""이라고 말했다.시스메이트는 디지털 사이니지 분야에 강자로 떠오르고 있는 전문기업으로, ICT 디스플레이 장비의 기획 및 설계, 디자인부터 소프트웨어 개발, 장비 유지보수까지 고객사 환경에 맞는 솔루션을 제공하고 있다.디지털전략부▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
4,"국내 증시에서 IT를 대표하는 종목 가운데 하나인 LG디스플레이에 대해 상반된 투자의견을 담은 분석보고서가 잇따라 나와 관심을 끌고 있다. 코로나19 확산으로 2분기 대규모 적자를 우려하는 시각과 하반기 실적 반등을 바라보는 긍정적인 시각이 엇갈리고 있다.29일 증권가에 따르면 6월 이후 KB증권, SK증권, 메리츠증권 등 총 3곳에서 LG디스플레이의 목표주가를 하향 조정한 보고서를 내놨다. 신한금융투자와 하이투자증권에서 총 3건의 보고서는 LG디스플레이의 목표주가를 상향 조정했다. 6월 이후 발간된 LG디스플레이 관련 분석보고서 10건 중 목표가를 유지한 보고서 4건을 제외하고 6건 가운데 목표가 상향 보고서가 3건, 하향 보고서가 3건 나온 것이다. LG디스플레이의 주가는 중장기적으로 약세를 보이고 있다. 지난 2017년 7월 3만9600원까지 올랐던 주가는 이후 내림세를 타면서 코로나19 사태가 한창이던 지난 3월 중순 8850원까지 떨어졌다. 이후 회복세도 약한 편이다. LG디스플레이의 현 주가는 1만1000원선으로 코로나 사태 직전인 지난 3월초 1만4000원선을 아직 회복하지 못하고 있다. 국내 증시가 2100선을 회복하면서 코로나19 급락분을 모두 회복한 것과 대조적인 모습이다. LG디스플레이 목표주가를 하향 조정한 증권사들은 2분기에도 LG디스플레이의 실적 부진이 이어질 것이란 점에 주목하고 있다. 현재 LG디스플레이의 2분기 영업이익 시장 전망치는 -3748억원이다. 6개 분기 연속 적자를 이어갈 뿐만 아니라 적자폭이 더 확대될 것이란 전망이다. 코로나19 사태로 TV 판매가 급감하면서 2분기 실적 전망치도 크게 내려갔다. 연초까지만 해도 2분기 영업이익 전망치는 -1226억원이었다. 일부 증권사는 흑자 전환 전망을 내놓기도 했다. 하지만 코로나 사태가 확산하면서 3월에는 -2677억원으로 전망치가 떨어졌고 현재 적자폭을 -4900억원 수준까지 예상하는 증권사도 있다. 김동원 KB증권 연구원은 ""상반기 적자가 지속되며 연간 영업적자가 불가피할 것으로 예상된다""라며 ""2분기 실적은 대형 LCD, 플라스틱 OLED 라인 가동률 하락과 고정비 부담 증가로 영업적자가 4903억원으로 예상돼 시장 전망치를 밑돌 전망""이라고 말했다.이와 달리 목표가를 상향한 증권사들은 하반기 LG디스플레이의 턴어라운드를 강조하고 있다. 현재 LG디스플레이의 3분기와 4분기 영업이익 전망치는 각각 -849억원, 1126억원이다. 최근 1개월 내 이 회사의 3분기 실적 전망치를 내놓은 증권사 7곳 중 3곳이 3분기 흑자 전환을 점쳤다. 코로나19 확산으로 다소 미뤄지긴 했지만 하반기에는 흑자전환 가능성이 높다는 게 대체적인 관측이다.소현철 신한금융투자 연구원은 ""3분기 한국과 중국 TV 세트 업체들은 시장점유율을 확대하기 하기 위해서 LCD TV 패널 구매량을 2분기 대비 30% 이상 확대할 전망이며 이로 인해 6월 32인치 LCD TV 오픈셀 패널 가격은 35달러로 전월 대비 6% 상승 반전했다""라며 ""지난 1년동안 가동이 지연됐던 중국 광저우 OLED TV 라인이 정상화되면서 OLED TV 패널 생산이 본격화되면서 올해 OLED TV 패널 생산량은 481만대로 전년 대비 41.0% 증가할 전망이다. 희망의 빛이 보이고 있다""고 말했다.[고득관 기자 kdk@mkinternet.com]▶네이버 메인에서 '매일경제'를 받아보세요▶'매일경제' 바로가기 ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
5,"[디지털데일리 이종현기자] 세미나허브는 7월 16일 서울 강남 포스코타워 역삼에서 ‘차세대 LED 디스플레이(미니/마이크로LED/QNED) 최신기술 및 전략 세미나’를 개최한다고 29일 밝혔다.    온라인&오프라인 동시진행되는 이번 행사는 ▲국내 디스플레이 산업의 위협 요인과 기술 차별화 위한 전략 변화 ▲미니/마이크로LED/QNED 디스플레이 시장, 기술 및 전략 분석 ▲LED 응용 디스플레이(미니/마이크로/나노LED) 기술이슈 및 개발동향 등을 주제로 발표가 진행된다.   이와 함께 미니/마이크로LED 관련 기술개발 동향 및 해결과제와 디스플레이 전사 기술개발 동향, 모듈 조립공정 및 레이저 장비기술 등 총 8개 발표가 이어질 예정이다.   세미나허브 관계자는 “기업들이 차세대 디스플레이의 방향성을 LED 디스플레이로 잡았다”고 설명했다. 12일 시장조사기관 옴디아에 따르면 지난 1분기 대부분의 디스플레이 시장은 전년동기대비 줄었지만 LED 디스플레이는 성장을 유지했다.    해당 세미나는 오는 7월 13일까지 사전등록을 접수한다.    <이종현 기자>bell@ddaily.co.kr▶ 네이버에서 디지털데일리 채널 구독하기▶ IT정보의 즐거운 업그레이드 [딜라이트닷넷]<저작권자 © 디지털데일리 무단전재-재배포금지>"
6,"이번 연구를 주도한 주용호 KIST 선임연구원. <사진제공=KIST> 국내 연구진이 스마트폰이나 TV 디스플레이에 활용되는 투명 유리 전극의 투명도를 높인 신소재를 개발했다. 이 신소재는 불투명도가 문제로 지적됐던 기존 소재의 한계를 극복해 냈다.한국과학기술연구원(KIST)는 투명 전극에 적용되는 높은 전도성과 투명함의 전도성 고분자 플라스틱 신소재 개발에 성공했다고 28일 밝혔다. 투명 전극은 빛은 그대로 투과시키며 전기는 잘 통하게 해 스마트폰이나 TV와 같은 전자제품에 흔히 사용되는 부품이다. 이 투명전극을 만들기 위해 대표적으로 사용되는 소재가 전도성 고분자 소재인데, 유연하고 생산비용이 적다는 특징이 있다. 전도성 고분자는 지난 2000년 노벨 화학상을 받았던 소재다.기존 전도성 고분자 소재는 두께가 두꺼워지면 불투명도가 증가한다는 문제가 있었다. 이번 연구를 주도한 주용호 박사는 불투명도 문제를 해결하기 위해 기존 고분자 소재와 다른 화학구조를 가진 '라디칼 고분자' 소재를 개발했다. 기존 소재는 공중합 구조(2개 이상의 단량체가 결합돼 고분자를 합성하는 반응)로 인해 불투명도가 높았는데, 라디칼 고분자는 비공중합 고분자 합성을 활용했다. 그 결과 라디칼 고분자 소재는 필름 두께 1㎛(마이크로미터)에서 96% 이상의 투명도를 보여 10% 이하에 불과했던 기존 소재의 투명도를 크게 향상시켰다. 라디칼 고분자 소재는 향후 차세대 에너지 저장 소재, 투명 디스플레이 소재, 플렉서블 배터리, 바이오 전기화학 등 다양한 분야에서 활용될 가능성이 있다.주 박사는 ""라디칼 고분자의 개발은 기존 전도성 고분자의 화학 구조 문제를 해결해 새로운 패러다임을 제시하게 될 것""이라며 ""향후 여러 분야에 활용될 수 있도록 높은 전도도와 유연성, 투명도를 극대화하는 고성능 유기 전자소재 개발로 이어지길 바란다""고 밝혔다. 이번 연구 결과는 고분자 분야 국제 저널인 ' 매크로몰레큘즈(Macromolecules)' 최신호에 게재됐다. [이종화 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶'매일경제' 바로가기 ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
7,"고속·저전력 두 마리 토끼 잡기...""새 서비스 나올 수도""(지디넷코리아=황정빈  기자)삼성전자의 하반기 전략 스마트폰 갤럭시노트20 시리즈가 저온폴리옥사이드(LTPO) 박막트랜지스터(TFT) 기반의 OLED 패널을 탑재한 첫 스마트폰이 될 전망이다.24일 전자업계에 따르면 삼성전자가 오는 8월 공개할 갤럭시노트20 시리즈의 상위 모델인 갤럭시노트20 플러스(가칭)에 LTPO 디스플레이가 적용된다. 스마트폰에 LTPO 디스플레이가 탑재되는 건 갤럭시노트20 시리즈가 처음이다.삼성전자 갤럭시노트20플러스(가칭)의 렌더링 이미지. (사진=피그토우)■ LTPO가 뭔데? LTPS와 옥사이드 TFT의 장점을 합쳤다LTPO는 저온폴리실리콘(LTPS)과 옥사이드 TFT의 단점을 서로 보완하기 위해 두 가지 모두를 하나의 유리 기판 위에 올린 형태를 말한다.지금까지 스마트폰 디스플레이에는 주로 LTPS기술이 적용됐다. LTPS는 전자이동도가 빠르고 안정성이 높다는 장점이 있다. 하지만 누설전류가 많고, 대면적에는 적용이 어렵다는 단점이 있다.반면, 옥사이드 TFT는 LTPS에 비해 성능은 떨어지지만, 누설전류가 적고 대면적 적용이 가능하다는 장점이 있다.LTPO는 이처럼 장단점이 상반된 LTPS와 옥사이드 TFT를 합쳐 빠른 전자 이동도와 낮은 누설 전류를 모두 장점으로 취하는 기술이다. 구동역할로는 빠른 전자 이동도를 갖는 LTPS TFT를, 스위치 역할로는 낮은 누설 전류를 갖는 옥사이드 TFT를 적용한다.LTPO 구조. 왼쪽에는 LTPS TFT가 오른쪽에는 Oxide TFT가 적용된 형태다. (사진=LG디스플레이)■ 저전력이 강점…애플워치4에서 먼저 적용이렇게 LTPS와 옥사이드 TFT의 장점을 합친 LTPO의 가장 큰 장점은 바로 저전력이다. LTPO를 사용하면 배터리 전력 소모를 최대 20%까지 줄일 수 있다.LTPO는 스마트폰에 앞서 스마트워치에 먼저 적용됐다. 가장 먼저 적용된 기기는 2018년에 출시된 애플워치 시리즈4다. 애플은 LTPO 원천 기술을 개발해, 현재 특허를 가지고 있는 것으로 알려졌다. 지난해 출시된 애플워치 시리즈5에도 LTPO 기술이 적용됐다.애플에 따르면, 애플워치 시리즈4와 시리즈5는 디스플레이가 항상 켜져 있음에도 최대 18시간의 배터리 수명을 갖는다. 해당 기술을 통해 화면 새로 고침 속도, 즉 주사율을 상황에 맞게 60Hz에서 1Hz로 낮출 수 있어 초효율 전력 관리가 가능한 것이다.애플워치는 이를 통해 굳이 화면을 터치하지 않아도 항상 시간을 확인할 수 있다. 이때 디스플레이 주사율은 1Hz를 유지해 어두운 디스플레이로 전력 소모를 최대한 낮춘다. 디스플레이를 터치했을 때는 화면 밝기를 다시 높인다.삼성전자도 지난해 출시한 갤럭시워치 액티브2에 LTPO를 적용했다.애플워치 시리즈4. (사진=애플)■ 복잡한 공정에 따른 높은 단가…비용 대비 효과가 중요LTPO가 스마트폰이 아닌 스마트워치에 먼저 적용된 이유는 무엇일까.LTPO는 저전력이라는 강점을 갖고 있지만, 공정이 복잡해 단가가 높다는 단점이 있다. 기존 LTPS와 옥사이드TFT와는 제조 공법이 완전히 다르며, 공정도 30% 이상 복잡하다. 복잡해진 제조 공정은 단가 상승으로 이어진다.제조업체 입장에서는 올라간 공정 단가만큼 LTPO 적용 효과가 커야지만 이를 선택하게 된다. 이를 고려했을 때, LTPO 적용 필요성과 효과가 스마트폰보다 스마트워치가 더욱 컸다는 분석이 나온다.홍문표 고려대학교 디스플레이·반도체물리학부 교수는 ""배터리의 용량이 제한될 수밖에 없는 디바이스는 소비전력을 줄일 수 있을 때까지 줄여야 된다""며 ""스마트워치에는 (기기 특성상) 조그만 배터리가 들어가기 때문에 소비전력을 어떻게든 줄이는 것이 중요하다""고 설명했다. 즉, 스마트폰보다 상대적으로 배터리 용량이 작을 수밖에 없는 스마트워치에서 소비 전력을 줄여주는 LTPO 기술이 더 필요성이 높았다는 설명이다.스마트폰 배터리 용량은 주로 3천~5천mAh인 반면, 스마트워치 배터리 용량은 대체로 300mAh 수준이다. 갤럭시워치 액티브2 배터리 용량은 340mAh이며, 애플워치 시리즈5 배터리 용량은 296mAh인 것으로 알려졌다.&apos;갤럭시워치 액티브2 LTE&apos; 알루미늄 모델. (사진=삼성전자)전력 소모를 낮추는 효과도 스마트폰보다는 스마트워치가 더 컸다. LTPO를 적용하면 주사율을 낮출 수 있어 소비전력이 낮아지는데, 스마트폰의 경우에는 높은 주사율을 필요로 하기 때문이다. 주사율은 1초에 얼마나 많은 장면을 보여주는지를 나타내는 수치로, 주사율이 높을수록 화면 전환이 부드럽다는 장점이 있다.스마트폰의 경우에는 게임을 하거나 영상을 볼 때, 높은 주사율이 지원되면 빠른 화면 전환이 가능해 부드럽고 매끄러운 게이밍 등의 경험을 할 수 있다. 최근에 나온 플래그십 스마트폰들은 120Hz 주사율을 지원하는 추세다. 이런 추세를 고려해봤을 때, 화면 전환을 낮출 수 있는 LTPO 기술은 스마트폰 활용도에 그리 맞지 않는 셈이다.따라서 시계와 같은 주로 정지된 정보를 표시하는 스마트워치가 계속 화면이 바뀌는 동영상을 주로 소비하는 스마트폰보다 LTPO 적용 효과가 크다고 볼 수 있는 것이다.그렇다면 최근에 스마트폰에 LTPO를 적용하려는 움직임은 왜 일어나는 것일까. 삼성전자뿐 아니라 애플도 내년에 출시할 아이폰에 LTPO를 적용할 전망이다.홍문표 고려대 디스플레이·반도체물리학부 교수는 ""지금까지로는 스마트폰에 LTPO기술을 적용해서 비용 대비 얻을 수 있는 이익이 적다고 본다""며 ""하지만 항시 디스플레이가 켜져 있어서 정보를 계속 흘려줄 수 있는 새로운 용도나 기능이 스마트폰에 생긴다면, 로컬한 부분에만 정보를 띄울 수 있는 올레드가 갖고 있는 장점과 LTPO 기술이 접목돼 장점이 생겨날 수도 있다""고 설명했다.이어 ""(LTPO를 스마트폰에 적용했을 때의 장점은) 애플리케이션과 서비스의 관점이기 때문에, LTPO를 적용한 부분이 얼마나 소비자들에게 어필할 수 있을지는 앞으로 두고 봐야 할 것 같다""고 바라봤다.황정빈 기자(jungvinh@zdnet.co.kr) ▶ 지디넷코리아 '홈페이지' ▶ 네이버 채널 구독하기[Copyrightⓒ메가뉴스 & ZDNet & CNET. 무단전재 및 재배포 금지]"
8,"LG디스플레이(대표 정호영)는 24일 서울 63컨벤션센터에서 열린 '제55회 발명의 날' 행사에서 자사 김인주 OLED TV기구설계 2팀장이 '올해의 발명왕'을 받았다고 밝혔다.'올해의 발명왕'은 발명과 과학기술 개발을 통해 산업발전과 국가경쟁력 강화에 크게 기여한 발명가 한 명에게 수여된다. 김 팀장은 세계 최초 롤러블 유기발광다이오드(OLED) TV 개발 초기단계부터 주도적으로 참여해 세계 최초로 화면이 돌돌 말리는 TV를 만드는데 성공한 공로를 인정받았다.김인주 LG디스플레이 OLED TV기구설계 2팀장김 팀장은 1999년 LG에 입사해 지난 21년간 새로운 디스플레이 기술개발에 매진했다. 2008년에는 TV 두께를 최소화해 디자인 차별화를 이룬 'Slim & Narrow 모듈기술' 개발 공로로, 2013년에는 패널 테두리를 깔끔하게 마감하는 '사이드 실링 기술'으로 LG연구대상을 받았다.윤희석기자 pioneer@etnews.com▶ 네이버 홈에서 [전자신문] 구독하기▶ 전자신문 바로가기 [Copyright ⓒ 전자신문 & 전자신문인터넷, 무단전재 및 재배포 금지]"
9,"롤러블 OLED TV패널 개발공로LG디스플레이 김인주팀장과 롤러블 OLED TV [LG디스플레이 제공]LG디스플레이 OLED TV기구설계 2팀 김인주 팀장이 세계 최초 롤러블 OLED TV 패널 개발공로를 인정받아 ‘올해의 발명왕’을 수상했다.LG디스플레이는 24일 여의도 63컨벤션센터 그랜드볼룸에서 열린 ‘제55회 발명의 날’ 행사에서 LG디스플레이 김팀장이 이 상을 수상했다고 밝혔다.‘올해의 발명왕’은 발명과 과학기술 개발을 통해 산업발전과 국가경쟁력 제고에 크게 기여한 단 한 명의 발명가를 선정해 수여하는 상으로 엔지니어들에겐 최고의 영예로 꼽힌다.LG디스플레이에 따르면 김 팀장은 ‘세계 최초 롤러블 OLED TV’ 개발 초기단계부터 주도적으로 참여해 세계 최초로 화면이 돌돌 말리는 TV를 만들어 내는데에 기여했다.LG 롤러블 OLED TV는 개발과정에서 초박형 글래스(Glass) 제작기술을 적용하고 설계 단계부터 OLED 기판의 롤러블 구현이 용이하도록 다양한 회로 부품을 통합하고 소형화했으며, TV를 둥글게 말기 위한 모든 부품을 새롭게 만들면서 총 54건의 특허권을 확보하고 33건의 해외출원을 내는 등 지적재산권 창출에도 기여했다고 LG디스플레이는 발혔다.또한 다양한 국산장비, 소재, 부품을 사용하도록 해 70%대의 국산화율을 이뤄내며 국내 협력업체 육성 및 고용창출에 기여한 점도 높은 평가를 받았다.김 팀장은 “롤러블 OLED TV는 디스플레이의 패러다임을 바꾸고 많은 분야에서 다양한 모습으로 사용될 것”이라고 수상소감을 밝혔다.김 팀장은 1999년 LG에 입사해서 21년간 새로운 디스플레이 기술개발에만 매진해 왔으며 2008년에는 TV의 두께를 최소화해 디자인 차별화를 이뤄낸 ‘Slim & Narrow 모듈기술’ 개발 공로로, 2013년에는 패널 테두리를 깔끔하게 마감하는 ‘사이드 실링 기술’을 개발해 ‘테두리 없는(Frameless) TV’ 시대를 연 공로를 인정받아 LG연구대상을 수상한 바 있다. 정세희 기자▶[디;콘] 여론조사를 조사하다!▶채널 구독하면 LED마스크, 공기청정기가 내손에 ▶농수축산물 소비캠페인 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -"
