,0
0,경기 안양시 만안구 주영광교회에서 신도와 가족 등 17명이 신종 코로나바이러스 감염증(코로나19)확진자자가 나와 방역 당국이 역학조사를 벌이고 있다.사진은 28일 오전 안양시 만안구 주영광교회 모습. 2020.06.28.
1,"수도권 종교시설과 관련된 신종 코로나 바이러스 감염증(코로나19) 집단감염 확진자가 끊이지 않고 있다. 방역당국의 역학조사 결과 마스크를 쓰지 않거나 유증상자가 예배에 참석하는 등 생활방역 수칙을 준수하지 않은 사례도 확인됐다.정은경 질병관리본부 중앙방역대책본부(방대본) 본부장은 29일 충북 오송 질병관리본부에서 열린 코로나19 정례브리핑에서 “최근 주말 종교행사, 종교 소모임, 수련회 등 각종 종교활동을 통해 코로나19 감염이 전파되고 있어 주의를 당부드린다”고 밝혔다.방대본에 따르면 서울 관악구 왕성교회 관련 확진자는 1명 늘어 누적 확진자 28명을 기록했다. 이 교회의 교인은 1963명으로 파악됐다. 1600여명은 검사 결과 음성이었고 나머지는 검사 결과를 기다리고 있다.경기 안양시 만안구 주영광교회에서도 확진자가 4명 더 추가됐다. 현재까지 주영광교회 관련 확진자는 22명이다.주영광교회에서 발생한 4명의 신규 확진자는 이 교회 교인 2명, 직장동료 2명이다. 방역당국은 추가 확진자의 직장인 이마트24 경기 이천시 양지 SLC물류센터에 대해 추가 접촉자 및 감염경로를 조사 중이다.경기 수원시 중앙침례교회에서는 4명이 추가 확진 판정을 받아 현재까지 총 7명이 감염됐다. 이 교회 교인은 9000여명에 달한다. 예배에 참석한 720명에 대해 증상 유무를 감시 중이다.지난 24일 왕성교회의 지표환자가 확진 판정을 받은 이후 왕성교회와 주영광교회, 중앙침례교회 등 3개 종교시설에서 발생한 확진자는 총 57명이다.정 본부장은 “최근 확진자가 발생한 종교시설 관련 역학조사 결과 마스크를 미착용 하거나 제대로 착용하지 않는 등 미흡하게 착용해 생활방역수칙이 준수되지 않았다”며 “찬송, 식사, 소모임 등 침방울이 많이 전파될 수 있는 활동이 많았고 증상이 있는데도 예배에 참석해 추가 감염이 발생했다”고 설명했다.이어 “종교시설의 경우 밀집해 대화나 찬송, 식사를 함께 하는 등 침방울로 인한 전파 우려가 높다”며 “침방울로 인한 전파가 우려되는 종교활동, 소모임, 수련회 등은 취소하거나 되도록 비대면으로 전환해주기 바란다”고 말했다.박상은 기자"
2,신종 코로나바이러스 감염증(코로나19) 확진자가 발생한 경기 수원시 팔달구 수원중앙침례교회에서 28일 오후 팔달구 보건소 관계자들이 교회 주변을 방역하고 있다. 2020.06.28.
3,"▲ 맷 카원(26)이 온라인 모금 사이트 '고펀드미'(GoFundMe)에 올린 후원 프로젝트미국 스타벅스 점원이 마스크를 쓰지 않은 손님에게 서비스를 거부했다가 온갖 모욕을 당한 사실이 사회관계서비스망(SNS)을 통해 알려진 후 수천 누리꾼들로부터 1억 원 이상의 특별 팁을 받게 됐습니다.29일 미국 CNN 방송 등에 따르면 미국 캘리포니아주 샌디에이고의 스타벅스 점원 레닌 구티에레스(24)를 위한 온라인 모금 사이트 '고펀드미'(GoFundMe)의 후원금이 1주일 만인 이날 현재 약 9만달러(1억787만 원)에 달했습니다.후원금은 모금 시작 2일여 만에 2만 달러에 육박한 데 이어 전날까지 8만 달러를 기록하는 등 앞으로 더 늘어날 가능성이 있습니다.모금 운동은 구티에레스로부터 마스크를 착용하라고 요청받았던 앰버 린 길레스가 구티에레스를 비난하는 글을 페이스북에 올린 후 시작됐습니다.길레스는 스타벅스 방문 하루 뒤인 지난 23일 페이스북에 구티에레스의 사진과 ""스타벅스에서 일하는 레닌이 내가 마스크를 안 쓴다고 응대하지 않았다""며 ""다음부터는 경찰을 부르고 건강증명서도 지참해야겠다""는 글을 올렸습니다.길레스는 마스크 착용 요청을 받은 후 구티에레스에게 가운데 손가락을 들어 보이고 온갖 욕설을 퍼부은 것으로 알려졌습니다.그러나 길레스의 글을 접한 누리꾼들은 구티에레스 편을 들어줬습니다.일부는 카페를 찾아가 구티에레스에게 후원금을 전하고 싶다고 말했습니다.이에 누리꾼 중 한명인 맷 카원(26)은 고펀드미에 '갑질 고객에 맞선 레닌을 위한 모금'이란 이름으로 후원금 모집에 들어갔습니다.카원은 ""옳은 일을 한 사람이 오히려 괴롭힘당하는 것""을 보고 화가 났다며 후원 사업에 앞장선 이유를 설명했습니다.그는 또 ""단지 자기 자신과 주변 사람들의 안전을 위해 마스크를 쓰라고 했을 뿐""이라며 ""심지어 마스크를 쓰지 않고도 스타벅스 커피를 살 방법도 알려줬다""고 말했습니다.구티에레스는 지난 24일 페이스북에 감사 영상을 올리면서 후원금 일부를 댄서의 꿈을 이루기 위해 사용하고 나머지 금액 중 일부는 샌디에이고에 있는 시민단체에 기부하겠다고 밝혔습니다.(사진=고펀드미 홈페이지 캡처, 연합뉴스)권태훈 기자"
4,"고펀드미 홈페이지마스크 미착용 손님에게 서비스를 거부했다가 모욕을 당한 미국의 스타벅스 점원이 9만 달러 상당의 특별 팁을 받은 사연이 공개됐다.28일(현지시간) 미국 CNN 등 외신들에 따르면 캘리포니아주 샌디에이고 스타벅스 점원 레닌 구티에레스(24)는 최근 마스크를 쓰지 않고 매장에 들어온 앰버 린 길레스에 대한 서비스를 거절했다.신종 코로나바이러스 감염증(코로나19) 확산 방지책인 마스크 착용을 지키지 않았다는 이유에서다.길레스는 자신에게 서비스를 하지 않겠다는 구티에레스 사진을 찍어 페이스북에 올리고 “스타벅스에서 일하는 레닌이 내가 마스크를 쓰지 않았다고 응대하지 않았다”며 “다음부터는 경찰을 부르고 건강증명서도 지참해야겠다”고 비꼬는 글을 올렸다.하지만 네티즌은 구티에레스를 응원했다. 구티에레스에게 후원금을 주고 싶다며 카페를 찾아간 것으로도 알려졌다.네티즌 중 한 명인 맷 카원(26)은 온라인 모금사이트 ‘고 펀드 미’에 글을 올려 “옳은 일을 한 사람이 오히려 괴롭힘당하는 것을 보고는 화가 났다”고 후원에 앞장선 이유를 밝혔다.페이스북 등에서 구티에레스의 사연이 널리 확산한 덕분인지 29일(한국시간) 오후 5시40분 기준 목표액 7만5000달러(약 9000만원)를 훌쩍 넘긴 약 9만달러(약 1억1000만원)의 돈이 모였다.한편 구티에레스는 지난 24일 페이스북에 감사 영상을 올리고, 후원금 일부를 댄서의 꿈을 이루기 위해 사용하고 나머지 금액 중 일부는 샌디에이고에 있는 시민단체에 기부하겠다고 밝혔다.김채현 기자"
5,"미국 스타벅스 점원이 마스크를 쓰지 않은 손님에게 서비스를 거부했다가 온갖 모욕을 당한 사실이 사회관계 서비스망(SNS)을 통해 알려진 후 수천 누리꾼들로부터 1억원 이상의 특별 팁을 받게 됐다.    29일 미국 CNN 방송 등에 따르면 미국 캘리포니아주 샌디에이고의 스타벅스 점원 레닌 구티에레스(24)를 위한 온라인 모금 사이트 '고펀드미'(GoFundMe)의  후원금이 1주일만인 이날 현재 약 9만달러(1억787만원)에 달했다.     후원금은 모금 시작 2일여만에 2만달러에 육박한 데 이어 전날까지 8만달러를 기록하는 등 앞으로 더 늘어날 가능성이 있다.    모금 운동은 구티에레스로부터 마스크를 착용하라고 요청받았던 앰버 린 길레스가 구티에레스를 비난하는 글을 페이스북에 올린 후 시작됐다.    길레스는 스타벅스 방문 하루 뒤인 지난 23일 페이스북에 구티에레스의 사진과 ""스타벅스에서 일하는 레닌이 내가 마스크를 안 쓴다고 응대하지 않았다""며 ""다음부터는 경찰을 부르고 건강증명서도 지참해야겠다""는 글을 올렸다.    길레스는 마스크 착용 요청을 받은 후 구티에레스에게 가운데 손가락을 들어 보이고 온갖 욕설을 퍼부은 것으로 알려졌다.    그러나 길레스의 글을 접한 누리꾼들은 구티에레스 편을 들어줬다. 일부는 카페를 찾아가 구티에레스에게 후원금을 전하고 싶다고 말했다.    이에 누리꾼 중 한명인 맷 카원(26)은 고펀드미에 '갑질 고객에 맞선 레닌을 위한 모금'이란 이름으로 후원금 모집에 들어갔다.    카원은 ""옳은 일을 한 사람이 오히려 괴롭힘당하는 것""을 보고 화가 났다며 후원 사업에 앞장선 이유를 설명했다.    그는 또 ""단지 자기 자신과 주변 사람들의 안전을 위해 마스크를 쓰라고 했을 뿐""이라며 ""심지어 마스크를 쓰지 않고도 스타벅스 커피를 살 방법도 알려줬다""고 말했다.     구티에레스는 지난 24일 페이스북에 감사 영상을 올리면서 후원금 일부를 댄서의 꿈을 이루기 위해 사용하고 나머지 금액 중 일부는 샌디에이고에 있는 시민단체에 기부하겠다고 밝혔다. 지난 24일(현지시간며칠 새) 페이스북 영상을 통해 후원자들에게 감사를 표한 구티에레스[레닌 구티에레스 페이스북 캡처. 재판매 및 DB 금지]honk0216@yna.co.kr"
6,"(사진=박종민 기자/자료사진)중앙재난안전대책본부는 지난달 26일 대중교통 내 마스크 착용을 의무화한 이후 관련된 경찰청 신고건수가 총 1184건이라고 29일 밝혔다.중대본은 ""국민 여러분이 마스크 착용에 불편을 느끼고 계시다는 것을 잘 알고 있다""면서도 ""마스크 착용을 통한 (코로나19의) 대규모 전파를 막은 사례가 여럿 발견된 만큼, 대중교통이나 다중이용시설에서의 마스크 착용을 다시 한번 당부드린다""고 강조했다. "
7," 기획재정부는 마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시의 적용시한을 현행 6월 30일에서 9월 30일까지 연장하기로 했다고 29일 밝혔다.   고시는 2월 5일 코로나19 확산에 따른 마스크 등의 매점매석을 방지하고 시장 공급을 촉진하기 위해 물가안정에 관한 법률에 따라 제정된 것이다. 마스크･손소독제 생산자와 판매자를 적용 대상으로 하며 매점매석의 판단 기준과 신고센터 운영 등 단속과 조사에 필요한 규정들을 포함하고 있다.   기재부는 ""공적 마스크 제도 시행 이후 마스크 생산이 크게 증가하고 가격이 안정되는 등 수급여건이 개선되고 있으나 코로나19 상황이 종료되지 않았고 반시장적 행위의 발생 가능성이 존재하는 점을 고려해 고시의 적용시한을 연장하기로 결정했다""고 설명했다.   "
8,▶ ‘ 코로나19 현황과 대응’ 최신 기사 보기http://news.kbs.co.kr/news/list.do?icd=19588김소영 기자 
9,"보건용 마스크와 손 소독제를 매점매석한 생산자와 판매자에 2년 이하 징역 또는 5000만원 이하 벌금을 부과하는 고시가 9월 말까지 연장된다. 사진은 지난 2월 정부합동조사단이 마스크 매점매석 점검을 하는 모습. 연합뉴스보건용 마스크와 손 소독제를 매점매석한 생산자와 판매자에 2년 이하 징역 또는 5000만원 이하 벌금을 부과하는 고시가 9월 말까지 연장된다.기획재정부는 이달 30일까지 적용 예정이던 '보건용 마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시'를 9월 30일까지 연장한다고 29일 밝혔다.앞서 정부는 코로나19에 따른 보건용 마스크와 손소독제에 대한 폭리 목적의 매점과 판매 기피 행위를 방지하기 위해 지난 2월 5일 고시를 제정했다.고시에 따르면 2019년 이전부터 영업을 한 사업자의 경우, 조사 당일을 기준으로 2019년 1월1일부터 12월31일까지 월평균 판매량의 150%를 초과해 5일 이상 보관하면 매점매석에 해당한다.기재부는 “공적 마스크 제도 시행 이후 마스크 생산이 크게 늘고 가격이 안정되는 등 수급 여건이 개선되고 있으나 코로나19 상황이 종료되지 않은 가운데 매점매석과 같은 반시장적 행위의 발생 가능성이 존재하는 점을 고려해 고시 적용시한을 연장했다”고 밝혔다.3월 첫째 주 주당 7272만장이었던 마스크 생산량은 6월 셋째 주 기준 1억 1114만장으로 늘었다.정부는 식품의약품안전처와 각 시도에서 매점매석행위 신고센터를 운영 중으로 총 54건의 매점매석 금지 고시 위반 사항을 적발한 바 있다.김덕준 기자"
