,contents
0," 피부에서 얻은 운동신경 세포로 손상된 ‘척수’를 치료하는 연구가 나와 세계가 주목하고 있다.몸체를 지탱하는 척추 뼈 안에 있는 신경조직인 척수는 한 번 손상을 입으면 회복하기 힘들다. 이 연구에 따르면 교통사고나 산업재해와 같은 사고로 인한 척수 손상뿐만 아니라 운동신경 세포가 파괴되는 루게릭병과 같은 질환도 치료할 길이 열린 것이다.울산과학기술원(UNIST) 생명과학부의 김정범 교수 연구팀은 피부세포에 유전인자 두 종을 주입해 척수를 구성하는 ‘운동신경세포’를 제작하는 데 성공했다.동물실험에서 제작된 운동신경 세포의 손상 재생능력을 확인했으며 임상 적용을 위해 필요한 세포를 대량으로 생산할 수 있어 상업화 가능성도 밝은 것으로 알려졌다.척수는 뇌의 신호를 사지로 전달하거나 거꾸로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다. 따라서 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻는다.이러한 척수 손상을 치료하기 위한 약물치료와 수술요법이 있으나 그 효과가 작고 심각한 부작용이 있다. 줄기세포를 이용해 손상된 조직을 재생시키는 ‘세포 치료제’가 주목받는 이유다.특히 척수를 구성하고 있는 세포 중 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 세포 치료제 후보이다.하지만 운동신경 세포를 배아줄기세포와 유도만능줄기세포에서 얻으면 암 발생 가능성이 있어 환자에게 직접 적용하기 힘들었다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료 효과 검증 개념도.이러한 문제점을 해결하기 위해 김정범 교수 연구팀은 원하는 목적 세포를 피부세포에서 바로 얻는 직접교차분화 기법을 이용해 운동신경 세포를 제작했다.환자 피부세포에 두 종류의 유전자를 직접 주입해 세포가 암세포로도 바뀔 가능성이 있는 ‘만능세포단계’를 거치지 않고 자가(autologous) 운동신경 세포를 만든 것이다. 이를 통해 기존 줄기세포치료제의 문제점인 면역거부반응과 암 발생 가능성을 모두 해결했다.제1저자인 이현아 UNIST 생명과학과 석박사통합과정 연구원은 “환자 피부세포에 줄기세포의 성질을 부여하는 유전자인 ‘OCT4’와 운동신경 세포 성질을 부여하는 유전자 ‘LHX3’를 단계적으로 주입해 운동신경 세포 기능을 갖는 세포를 성공적으로 만들었다”고 설명했다.개발된 운동신경 세포 제작법은 대량생산이 가능하다는 장점도 있다. 환자 임상치료를 위해서는 충분한 양의 세포가 필요한데, 기존의 직접분화기법은 얻을 수 있는 세포 수가 제한적이었다.반면 연구팀 개발한 방법은 세포 자가증식(Self-renewal)이 가능한 중간세포단계를 거치기 때문에 대량생산이 가능하다는 것.연구팀은 제작된 세포를 척수손상 실험쥐에 주입한 후, 상실된 운동기능이 회복되는 것과 손상된 척수조직 내에서 신경이 재생되는 것을 확인했다.김정범 교수는 “기존의 운동신경 세포 제작법이 가진 한계를 극복한 직접교차분화 기술을 개발했다”며 “제작된 운동신경 세포를 척수 손상을 보호하고 세포가 잘 생착될 수 있도록 돕는 치료제인 ‘슈파인젤’과 결합할 경우 치료 효과를 극대화할 수 있을 것”이라고 말했다.그는 이어 “척수 손상은 산업 재해에 의한 발병률이 높아 울산에 건립 예정인 산재전문 공공병원과의 시너지 효과도 기대할 수 있을 것”이라고 덧붙였다.이번 연구는 중소벤처기업부의 지원을 받아 김정범 교수의 창업기업인 ‘슈파인세라퓨틱스’와 공동으로 진행했다. 연구 성과는 유럽분자생물학회의 저명한 학술지 ‘이라이프 (eLife)’ 온라인판에 6월 23일 자로 발표됐다.영남취재본부 김용우 기자"
1,척수 손상 환자에게 도움되는 세포치료제 개발한 김정범 교수 - 척수손상 환자를 치료할 수 있는 세포치료제를 개발한 울산과학기술원(UNIST) 생명과학부 김정범 교수국내 연구진이 교통사고나 산업재해 같은 사고로 인한 척수 손상 환자나 운동신경 세포가 파괴되는 루게릭병 같은 질환을 치료할 수 있는 방법을 개발해 주목받고 있다.울산과학기술원(UNIST) 생명과학부 김정범 교수팀은 피부세포에 2종의 유전인자를 주입해 척수를 구성하는 운동신경세포를 만드는데 성공했다고 29일 밝혔다. 연구팀은 동물실험을 통해 운동신경세포의 재생능력을 확인하기도 했다. 이 같은 연구결과는 유럽분자생물학회에서 발행하는 국제학술지 ‘이라이프’에 실렸다.인체 중심 척추 속 척수손상 회복시키는 치료제 개발 - 국내 연구진이 척수손상 환자의 운동기능을 회복하고 운동신경세포를 재생시킬 수 있는 세포 치료제를 개발해 생쥐실험에 성공했다.신체를 지탱하는 척추뼈 안에 있는 신경조직인 척수는 뇌 신호를 몸 구석구석으로 전달하고 신체 감각을 뇌로 전달하는 중요한 역할을 한다. 척수가 손상이 되면 운동기능이나 감각을 잃거나 몸을 움직일 수 없는 심각한 후유증을 겪게 된다. 약물치료나 외과수술로 척수손상을 치료하기도 하지만 효과가 크지 않다. 이 때문에 줄기세포를 이용해 손상된 조직을 재생시키는 세포치료제가 주목받고 있지만 줄기세포 분화과정에서 암세포가 형성되는 경우도 환자에게 사용되지는 못하고 있다.연구팀은 피부세포에서 원하는 목적의 세포를 바로 얻을 수 있는 직접교차분화 기술을 이용해 운동신경세포를 만들었다. 환자 피부세포에 두 종류의 유전자를 직접 주입해 만능세포단계를 거치지 않고 곧장 운동신경세포로 만들어지도록 해 기존 줄기세포치료제의 문제점인 면역거부반응과 암세포로 분화 가능성을 모두 해결했다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료 메커니즘 - 울산과학기술원(UNIST) 제공기존의 직접분화 기법으로 만들어진 세포수는 너무 적어 환자 임상치료에 활용하기 충분치 않았지만 연구팀은 세포 자가증식을 통해 대량생산이 가능토록 했다. 실제로 이렇게 만들어진 세포치료제를 척수를 손상시킨 실험쥐에 주입한 결과 운동기능이 회복되고 손상된 척수조직에서 신경이 재생되는 것이 확인됐다.김정범 교수는 “척수 손상은 산업재해에 의한 발병률이 높은데 반해 지금까지 나온 기술로 치료는 쉽지 않았는데 이번에 개발된 세포치료제는 기존 치료방법들의 한계를 극복해 실질적인 치료효과를 가져다 줄 것”이라고 말했다.유용하 기자
2,울산과학기술원(UNIST) 연구팀이 피부세포에서 얻은 운동신경 세포로 척수 손상을 치료하는 연구를 발표해 주목받고 있다.UNIST는 생명과학부 김정범 교수 연구팀이 피부세포에 유전인자 2종을 주입해 척수를 구성하는 운동신경 세포를 제작하는데 성공했다고 29일 밝혔다.동물실험을 통해 제작된 운동신경 세포의 손상 재생능력을 확인했으며 임상 적용을 위해 필요한 세포를 대량으로 생산할 수 있어 상업화 가능성이 밝다.척수는 뇌의 신호를 사지로 전달하거나 역으로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다.따라서 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻게 된다.이러한 척수 손상을 치료하기 위한 약물치료나 수술요법이 있으나 그 효과가 높지 않은데다 심각한 부작용이 있어 줄기세포를 이용해 손상된 조직을 재생시키는 '세포 치료제'가 주목받고 있다.특히 척수를 구성하고 있는 세포 중 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 세포 치료제 후보다.하지만 운동신경 세포를 배아줄기세포나 유도만능줄기세포에서 얻으면 암 발생 가능성이 있어 환자에게 직접 적용하기 힘들었다. 이러한 문제점을 해결하기 위해 김정범 교수 연구팀은 원하는 목적 세포를 피부세포에서 바로 얻는 직접교차분화 기법을 이용해 운동신경 세포를 제작했다.환자 피부세포에 두 종류의 유전자를 직접 주입해 세포가 암세포로도 바뀔 가능성이 있는 '만능세포단계'를 거치지 않고 자가(autologous) 운동신경 세포를 만든 것이다.이를 통해 기존 줄기세포치료제의 문제점인 면역거부 반응과 암 발생 가능성을 모두 해결했다.[울산=뉴시스]척수손상 동물모델을 이용한 운동신경세포의 생체 내 특성 및 치료효과 검증 연구그림. 2020.06.29. (사진=UNIST 제공)
3,"사진 왼쪽부터 김정범 교수, 이현아 연구원.(사진 = UNIST 제공)척추 뼈 안에 있는 신경조직인 척수는 한 번 손상을 입으면 회복하기 힘든 것으로 알려져 있다.이런 가운데 운동신경세포로 척수 손상을 치료할 수 있다는 연구결과가 나와 학계 주목을 받고 있다.유니스트(UNIST, 울산과학기술원) 생명과학부 김정범 교수 연구팀은 29일 피부세포에 유전인자 두 종을 주입해 척수를 구성하는 운동신경세포를 제작하는데 성공했다. 동물실험을 통해 운동신경 세포의 손상 재생 능력을 확인했으며 임상 적용을 위해 필요한 세포를 대량으로 생산할 수 있어 상업화 가능성을 열었다고 연구팀은 설명했다. 척수는 뇌의 신호를 사지로 전달하거나 역으로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다. 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻는다. 이러한 척수 손상을 치료하기 위한 약물치료와 수술요법이 있지만 그 효과가 작고 심각한 부작용도 우려된다. 줄기세포를 이용해 손상된 조직을 재생시키는 '세포 치료제'가 주목받는 이유가 여기에 있다. 특히 척수를 구성하고 있는 세포 중 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 후보다. 하지만 운동신경 세포를 배아줄기세포와 유도만능줄기세포에서 얻으면 암 발생 가능성이 있어 환자에게 직접 적용하기 힘들었다. 이같은 문제점을 해결하기 위해 김정범 교수 연구팀은 원하는 목적 세포를, 피부세포에서 바로 얻는 직접교차분화 기법을 이용해 운동신경 세포를 제작했다.직접교차분화(Direct conversion)는 다 자란 성체세포를 다른 조직의 세포로, 세포운명을 전환시켜 직접 분화하는 방법이다. 배아줄기세포나 유도만능 줄기세포처럼 모든 세포가 될 수 있는 시기(만능세포)를 거치지 않아서 발암 가능성을 줄일 수 있다.  환자 피부세포에 두 종류의 유전자를 직접 주입해 세포가 암세포로도 바뀔 가능성이 있는 '만능세포단계'를 거치지 않고 자가(autologous) 운동신경 세포를 만든 것. 이를 통해 기존 줄기세포치료제의 문제점인 면역거부반응과 암 발생 가능성을 모두 해결했다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료 효과 검증.(그림 = UNIST 제공) 제1저자인 이현아 유니스트 생명과학과 석·박사통합과정 연구원은 ""환자 피부세포에 줄기세포의 성질을 부여하는 유전자인 'OCT4'와 운동신경 세포 성질을 부여하는 유전자 'LHX3'를 단계적으로 주입해 운동신경 세포 기능을 갖는 세포를 성공적으로 만들었다""고 설명했다.이번에 개발된 운동신경 세포 제작법은 대량생산이 가능하다는 장점이 있다. 연구팀이 개발한 방법은 세포 자가증식 (Self-renewal)이 가능한 중간세포단계를 거치기 때문에 대량생산이 가능하다.제작된 세포를 척수손상 실험쥐에 주입한 후, 상실된 운동기능이 회복된다는 것과 손상된 척수조직 내에서 신경이 재생되는 것을 확인했다.김정범 교수는 ""기존의 운동신경 세포 제작법이 가진 한계를 극복한 직접교차분화 기술을 개발했다”며 ""제작된 운동신경 세포를 척수 손상을 보호하고 세포가 잘 생착될 수 있도록 돕는 치료제와 결합할 경우 치료 효과를 극대화할 수 있을 것""이라고 말했다.교통사고나 산업재해와 같은 사고로 인한 척수 손상뿐만 아니라 운동신경 세포가 파괴되는 루게릭병과 같은 질환도 치료할 수 있는 가능성을 열었다는데 그 의미가 크다.연구 성과는 유럽분자생물학회의 저명한 학술지 '이라이프 (eLife)' 온라인판에 지난 23일자로 발표됐다."
4," 신약개발 전문기업 바이오리더스(142760)는 면역증진 건강기능식품 ‘면역엔피지에이케이(PGA-K)’가 지난 28일 NS홈쇼핑에서 완판을 기록했다고 29일 밝혔다.이 회사는 암 치료제로 개발 중인 신약후보물질 ‘폴리감마글루탐산’을 기반으로 포 형태의 건강기능식품 면역엔피지에이케이를 판매 중이며 제조사는 계열사인 코넥스 상장사 네추럴에프앤피다.회사 관계자에 따르면 “폴리감마글루탐산을 경구 투여한 임상시험 결과 체내 면역세포인 NK세포(자연살해세포)가 52.3% 이상 증가하는 등 면역력 강화에 효과적”이라면서 “NK세포는 체내 선천적 면역시스템 중 가장 핵심 역할을 하는 면역세포로 바이러스에 감염된 세포나 몸에서 생성된 암세포를 정확히 식별해 소멸시킨다”고 설명했다.홈쇼핑 방송이 진행됐던 지난 28일 오전 8시 48분에는 ‘NK세포’가 국내 주요 포털 사이트 실시간 검색어 1위에도 오르는 등 이목이 집중됐다. 회사 관계자는 “최근 신종 코로나바이러스 감염증(코로나19) 확산으로 면역력에 대한 중요성이 부각되면서 제품에 대한 관심도 높아졌다”고 말했다. 이어 그는 “방송 시간(64분) 동안 초당 22포에 해당하는 총 8만4960포의 면역엔피지에이케이가 판매됐다”면서 “홈쇼핑 최초로 선보인 제품에 대해 성공적인 런칭 방송을 진행한 것”이라고 밝혔다. 또한 “수요 급증에 따른 물량 부족으로 구매하지 못한 소비자들을 위해 2차 방송을 진행할 예정”이라며 “다음달 9일 같은 채널을 통해 홈쇼핑 판매가 이뤄질 계획”이라고 덧붙였다.지난 17일 이 회사는 세계 최대 근육질환 컨퍼런스인 ‘근위축증협회 임상·과학 컨퍼런스(MDA, Muscular Dystrophy Association Clinical and Scientific Conference)’에서 이중 항원 발현 유산균을 이용한 새로운 근육질환 치료 기술에 대해 발표한 바 있다.회사는 이 기술을 활용해 질환 치료 효과를 높이고 뒤쉔형 근이영양증(DMD·근이영양증 중 가장 빈도가 높은 유전성 질환) 치료제인 ‘BLS-M22’의 적응증을 노인성 근감소증(Sarcopenia)을 포함한 다양한 근육 질환으로 확대할 계획이다.한편 이 회사의 올해 1분기 매출액은 200억5585만원으로 전년 동기 대비 22.2% 감소했으며 영업이익은 같은 기간 적자 지속했다.유준하 "
5,"신약개발 전문기업 바이오리더스는 면역증진 건강기능식품 '면역엔 피지에이케이(PGA-K)'가 지난 28일 NS홈쇼핑에서 완판을 기록했다고 29일 밝혔다.면역엔 PGA-K는 바이오리더스가 암 치료제로 개발 중인 신약후보물질 '폴리감마글루탐산'을 기반으로 만든 포 형태의 건강기능식품이다. 제조는 바이오리더스의 계열사인 네추럴에프앤피가 담당한다.폴리감마글루탐산을 경구 투여하는 임상시험 결과, 체내 면역세포인 NK세포(자연살해세포)가 52.3% 이상 증가하는 등 면역력 강화에 효과적인 것으로 알려졌다. NK세포는 체내 선천적 면역시스템 중 가장 핵심 역할을 하는 면역세포로 바이러스에 감염된 세포나 몸에서 생성된 암세포를 정확히 식별해 소멸한다.바이오리더스 관계자는 ""방송 시간(64분) 동안 초당 22포에 해당하는 총 8만4960포의 면역엔PGA-K가 판매됐다""며 ""홈쇼핑 최초로 선보인 면역엔PGA-K에 대해 성공적인 론칭 방송을 진행했다""고 말했다. 이어 ""수요 급증에 따른 물량 부족으로 구매하지 못한 소비자들을 위해 2차 방송을 진행할 예정""이라며 ""다음달 9일 같은 채널을 통해 홈쇼핑 판매가 이뤄질 계획""이라고 덧붙였다.[김경택 기자"
6,"파미셀은 식품의약품안전처로부터 항암면역세포치료제 두 건에 대해 임상 1상을 승인받았다고 26일 밝혔다. 전립선암 치료제 후보인 '셀그램-디씨-피씨'와 난소암 치료제 후보인 '셀그램-디씨'가 대상이다.셀그램-디씨-피씨는 전립선암 환자 10명을 대상으로, 셀그램-디씨는 난소암 환자 10명을 대상으로 서울아산병원에서 임상 1상을 실시한다.두 후보는 골수혈액에서 분화시킨 수지상세포를 이용한 항암면역세포치료백신이다. 인체의 면역기능을 활성화해 종양을 치료할 것으로 기대하고 있다. 주성분인 수지상세포는 면역 체계에 암세포를 인지시켜 면역 반응을 유도하는 세포다. 회사 관계자는 ""비임상 시험 결과, 마우스를 통해 자사의 수지상세포 백신이 기존 수지상세포 백신보다 높은 치료 효과를 보였다""고 말했다.파미셀은 기존 수지상세포 기반 항암면역세포치료제가 가졌던 배양 한계 등을 극복한 특허기술을 갖고 있다는 설명이다. '조혈줄기세포를 수지상세포로 분화'시키는 특허를 비롯해, 수지상세포의 전구세포인 단핵구의 수득율을 높이기 위한 '단핵구 제조방법' 특허, '진세노사이드 Rg3를 유효성분으로 포함하는 차세대 수지상세포 제조방법'에 대한 특허 등을 보유하고 있다.  한민수 한경닷컴 기자"
7," 파미셀(005690)은 식품의약품안전처로부터 항암면역세포치료제 두 건에 대해 상업화 임상 1상을 승인 받았다고 26일 밝혔다. 해당 치료제는 전립선암 치료제인 셀그램-디씨-피씨(Cellgram-DC-PC)와 난소암 치료제인 셀그램-디씨(Cellgram-DC)다.이번 임상 1상은 Cellgram-DC-PC의 경우 전립선암 환자 10명을 대상으로, Cellgram-DC는 난소암 환자 10명을 대상으로 서울아산병원에서 각각 실시한다.파미셀의 두 치료제는 특허화된 기술로 골수혈액에서 분화시킨 수지상세포를 이용한 항암면역세포치료백신이다. 백신의 원리는 인체의 면역기능을 활성화해 종양을 치료하는 것으로, 직접적인 종양제거를 위해 투여하는 치료제와 달리 부작용이 적은 것이 특징이다. 특히 주성분인 수지상세포는 면역 체계에 암세포를 인지시켜 면역 반응을 유도하는 세포로서 그 고유 기능이 탁월하기 때문에 적은 용량으로도 높은 항암효과를 기대할 수 있다.파미셀 관계자는 “실제로 비임상 시험 결과 마우스 암 치료 모델을 통해 당사의 수지상세포 백신이 기존 수지상세포 백신 보다 높은 치료 효과를 보인 것을 확인했다”고 말했다.이어 “암세포는 인체가 세균이나 바이러스처럼 침입자로 빠르게 규정짓지 못해 초기 발견이 쉽지 않다”며 “수지상세포가 중요한 이유는 정상세포 속에 숨어있는 암세포의 특징을 인지하여 면역세포를 교육시키고 암세포를 공격할 수 있게 하는 역할을 하기 때문이다”라고 설명했다.현재 파미셀은 항암면역세포치료백신 개발을 보건복지부 ‘2016년 첨단의료기술개발사업’ 과제와 과학기술정보통신부 ‘2020년 바이오·의료기술개발사업’ 세부과제를 통해 진행 중이다. 회사 관계자는 “정부 과제를 바탕으로 상업화 임상에 돌입하는 만큼 보다 집중적인 연구를 통해 제품화 시킬 수 있도록 최선의 노력을 다 할 계획”이라고 강조했다.한편, 파미셀은 기존 수지상세포 기반 항암면역세포치료제가 가졌던 배양 한계 등을 극복한 특허기술도 지니고 있다. 파미셀은 ‘조혈줄기세포를 수지상세포로 분화’시키는 특허를 비롯해 수지상세포 기반 항암면역세포치료제 제조를 위해 수지상세포의 전구세포인 단핵구의 수득율을 높이기 위한 ‘단핵구 제조방법’ 특허, 그리고 ‘진세노사이드 Rg3를 유효성분으로 포함하는 차세대 수지상세포 제조방법’에 대한 특허 등을 보유하고 있다.박일경 "
8," 국내 줄기세포 연구·개발(R&D) 회사와 줄기세포 의료 전문가, 의료컨설팅 전문회사 등이 '맞춤형 자가지방줄기세포 글로벌 복함 플랫폼' 구축을 위한 협력에 나선다. 지방줄기세포 R&D 기업 휴림바이오셀과 셀뱅킹 판매 전문회사인 휴림헬스케어, 자가지방줄기세포클리닉 네트워크를 운영 중인 유마스템 메디컬 그룹, 의료컨설팅 전문회사 티엔엠홀딩스는 맞춤형 자가지방줄기세포 복합 플랫폼 구축을 위한 업무협약을 체결했다고 29일 밝혔다. 이들 기업은 자가지방줄기세포 치료제 개발과 코스메슈티컬을 위한 줄기세포 원료 개발, 줄기세포와 면역세포를 보관하는 셀뱅킹 사업, 자가지방줄기세포전문 클리닉 네트워크 사업 등을 위해 국내외에서 협업해 나갈 계획이다. 휴림바이오셀은 2005년 창업 이후 국책 과제와 자체 임상 연구를 통해 줄기세포를 이용한 백반증과 간질환 치료제 개발에 주력했다. 국내 특허 27건, 해외특허 6건 등을 보유하고 있다. 2011년부터는 제대혈 뱅킹을 시작해 2018년부터 면역과 줄기세포 셀뱅킹 영업으로 업무를 확대했다. 유마스템 메디컬그룹은 뷰티항노화, 면역력 피부질환, 관절 재생,통증, 신체노화로 인한 신체기능개선 분야에서 노하우를 발휘했다. 앞으로 국내외 클리닉 네트워크 사업을 담당하고 있는 티엔엠홀딩스와 클리닉 네트워크사업을 전개할 계획이다. 휴림바이오셀의 임상 학술 연구기관으로도 활동할 예정이다.우선 경기도 안양 SK 지식산업단지에 300평 규모의 종합 클리닉센터를 2021년 1월 개원할 예정이며 이곳에서 지역 주민을 대상으로 하는 내과, 외과 외래 진료센터, 통증·재활전문 센터를 운영할 계획이다. 또 휴림바이오셀과는 줄기세포 의료 임상 연구소를 병원 내에 설립한다. 유마스템 관계자는 ""4개사의 줄기세포 활용 공동사업이 국민의 건강유지와 미래 질병치료에 대한 해법이 되기를 기대한다""고 말했다.김흥순 기자"
9,"신종 코로나바이러스 감염증(코로나19) 치료제 개발을 위한 전 세계 연구자들의 다양한 시도가 계속되고 있다. '렘데시비르'처럼 이미 긴급 승인을 통해 일부 환자들에게 적용된 약물도 있으며 전염병과는 전혀 관계없어 보이던 약물이 코로나19 치료제로 떠오르기도 한다. 28일 국가임상시험지원재단에 따르면 지난 22일 기준 임상시험 사이트인 클리니컬트라이얼(ClinicalTrials.gov)에 신규 등록된 코로나19 치료제 관련 약물 중재 임상시험은 905건으로 3상 이상 단계에 들어간 임상시험만 현재 350개가 넘는 것으로 파악된다.현재 코로나19 치료제 후보는 Δ코로나19 바이러스 감염을 억제하는 항바이러스제 Δ면역과잉반응으로 인한 사망 위험을 줄이는 자가면역치료제 Δ항체 치료제가 다수를 차지한다.◇에볼라·말라리아·HIV 등 항바이러스 치료제, 코로나19에 도전 현재 가장 유력한 코로나19 치료제는 미국 길리어드사이언스에서 에볼라 바이러스 치료제로 개발한 항바이러스제 '렘데시비르'다. 렘데시비르는 코로나19 바이러스의 RNA 복제를 막아 감염을 억제하는 기전을 갖고 있다.  렘데시비르는 미국을 시작으로 우리나라, 유럽 그리고 일본 등 주요 국가에서 코로나19 치료제로 긴급승인 받았다. 또한 제네릭(복제약) 제조사들과 계약해 전 세계 127개국에 치료제를 공급할 예정이다. 렘데시비르가 향후 코로나19 치료제로 정식 승인될 경우 전 세계적인 블록버스터 치료제가 될 확률이 높다.투자은행인 에스브이비 리링크(SVB Leerink)는 이달 초 렘데시비르가 2022년에 76억달러(약 9조1200억원)의 매출을 기록할 것으로 전망했다.인간면역결핍바이러스(HIV) 치료제인 미국 애브비의 '칼레트라(성분 로피나비어·리토나비르)'와 일본 후지필름에서 개발한 '아비간(성분 파비파라비르)'은 일부 코로나19 환자에 효과를 보이며 유력한 치료제 후보로 떠올랐으나 임상시험에서 안전성 및 효능을 입증하는데 실패했다. 또 다른 유명한 후보로 말라리아 치료제인 '하이드록시클로로퀸'과 '클로로퀸'을 들 수 있다. 이 약물은 도널드 트럼프 미국 대통령이 코로나19 판세를 바꿀 '게임체인저'라고 칭하면서 유명해졌다. 클로로퀸은 개발된지 오래돼 특허 문제에서 자유로워 가격이 저렴하고 알약 형태로 복용이 간편한 장점이 있다. 코로나19 초기 일부 임상시험에서 긍정적인 효과를 보였으나 이후 여러 임상에서 주요 효능평가 기준을 충족하지 못해 현재는 치료제 후보에서 상당히 멀어졌다.그밖에 우리 몸에서 바이러스 감염 및 증식을 억제하는 단백질인 '인터페론'이 코로나19 환자들의 증상을 개선하는데 효과가 있을 것으로 기대되며 현재 임상시험이 진행 중이다.© News1 최수아 디자이너◇관절염·혈액암·골수섬유증·탈모 치료용 면역치료제도 도전장 코로나19 환자 중 과잉 면역 반응인 '사이토카인 폭풍'으로 위중한 경우가 많이 나타나 기존 관절염·혈액암·골수섬유증 치료를 위한 면역치료제들이 앞다퉈 코로나19 환자에 임상시험을 적용 중이다.현재 임상시험 중인 프랑스의 사노피와 미국 리제네론의 '케브자라(성분 사릴루맙)', 스위스 로슈의 '악템라(성분 토실리주맙)', 미국 일라이릴리의 '올루미언트(성분 바리시티닙)' 그리고 스위스 노바티스의 '자카비(성분 룩솔리티닙)'는 모두 환자들의 과잉면역반응을 억제하는 면역치료제다.  국내 기업 중엔 셀트리온이 영국 옥스퍼드대학과 자가면역치료 바이오시밀러(복제약) '램시마'의 코로나19 치료를 위한 임상을 시작했다.최근에는 우리 몸에 다양한 영향을 미치는 호르몬을 코로나19 치료제 적용한 연구도 공개됐다.옥스퍼드대학은 지난 16일 합성 부신피질호르몬제인 '덱사메타손'이 중증 코로나19 환자들의 사망 위험을 크게 낮춰준다는 임상결과를 공개했다. 업계에선 덱사메타손은 면역 반응을 억제해 염증을 완화하는 효과가 있지만 남용될 경우 오히려 기저질환을 악화시킬 수 있어 아직은 조심스런 입장이다. 그 외에도 최근 남성 호르몬인 안드로젠이 코로나19 바이러스와 결합하는 안지오텐신2(ACE2) 수용체의 활성에 관여하는 점을 이용해 안드로젠을 억제하는 탈모 및 전립선비대증 치료제를 코로나19 치료에 적용하는 임상시험이 진행 예정이다.  ◇'항바이러스치료제 + 면역치료제'  병용요법도 시도 또한 2가지 이상의 약물을 함께 적용하는 '병용요법'도 시도되고 있다.병용 요법은 질환에 여러 기전으로 작용하는 약물을 적용해 내성을 줄이고 효능을 높이는 치료법이다. 병용요법은 이미 수년 전부터 항암치료에선 광범위하게 사용된다. 현재 미국 국립보건원(NIH)은 렘데시비르와 자가면역치료제인 올루미언트 병용요법을 시험 중이다. 국내에선 서울대병원이 참여해 국내 코로나19 환자들을 대상으로 임상시험이 시작됐다. 그밖에 로슈에서도 지난 5월부터 악템라와 렘데시비르 병용요법을 개시했다.◇릴리, 리제네론 등 코로나19 항체치료제 개발도 속도 우리 몸안에 침입한 코로나19를 직접 노리는 항체치료제 개발도 진행 중이다.일라이릴리가 개발한 항체치료제 'LY-CoV555'와 리제네론의 'REGN-COV2'은 코로나19 바이러스를 무력화시킬 수 있는 중화항체 치료제로 최근 임상시험에 들어갔다. 오는 7월과 8월에는 각각 셀트리온과 영국 아스트라제네카의 중화항체 치료제도 임상시험을 개시할 계획이다.특히 셀트리온은 이달 초 공개한 동물시험 결과에서 항체 치료제 후보물질이 코로나19 바이러스를 100분의 1 수준으로 감소시킨 것으로 나타나 기대를 모으고 있다.◇국내서도 코로나19 치료에 혈액제제, 항암제, 구충제 등 다양한 시도 중국내 제약사들도 코로나19 치료제 개발을 위해 다양한 연구를 진행하고 있다.종근당이 시험 중인 '나파벨탄'은 혈액항응고제 또는 급성췌장염 치료에 쓰이는 약물이다. 한국 파스퇴르연구소에서 진행한 인체 폐세포 시험 결과 렘데시비르 대비 수백 배의 항바이러스 효능을 보였다.그 외에도 일양약품의 백혈병치료제 '슈펙트', 부광약품의 B형 간염치료제 '클레부딘', 신풍제약의 말라리아치료제 '피라맥스' 그리고 엔지캠생명과학의 'EC-18'이 등이 임상시험 중이다. 또한 JW중외제약이 개발 중인 항암제를, 그리고 대웅제약이 자회사인 대웅테라퓨틱스를 통해 구충제인 '니클로사마이드' 성분의 코로나19 치료제를 개발 중이다.GC녹십자가 개발중인 혈장치료제는 코로나19에서 회복한 환자의 혈액에 포함된 코로나 중화항체를 분획해 치료제 형태로 만든 것이다. GC 녹십자는 글로벌 혈액제제 기업들이 참여한 '코로나19 혈장치료제 개발 얼라이언스'와 함께 혈장 치료제 개발에 나섰으며 이와 별개로 다음달 혈장치료제 'GC5131A'가 임상시험에 들어간다"
