,contents
0,"삼성바이오에피스의 항암 바이오시밀러(바이오의약품 복제약) 'SB8'이 유럽에서 시판 허가를 받을 것으로 보인다.    삼성바이오에피스는 유럽의약품청(EMA) 산하 약물사용 자문위원회(CHMP)가 에이빈시오(프로젝트명 SB8, 성분명 베바시주맙)를 유럽 시장에서 팔 수 있게 허가하는 데 대해 긍정적 의견을 냈다고 27일 밝혔다.     지난해 7월 EMA가 에이빈시오의 허가심사에 착수한 후 약 11개월 만이다. 에이빈시오는 통상 2∼3개월 걸리는 유럽연합 집행위원회(EC, European Commission)의 최종 검토를 거쳐 공식 허가를 얻을 것으로 전망된다.     에이빈시오는 삼성바이오에피스가 해외에 선보이는 다섯 번째 바이오시밀러로, 항암제로는 유방암 치료제 '온트루잔트'에 이은 두 번째 제품이다. 지난해 11월부터 미국 식품의약국(FDA)에서도 판매 허가심사를 받고 있다.     에이빈시오의 오리지널 의약품인 아바스틴은 스위스의 다국적제약사 로슈가 판매 중인 항암제다. 전이성 대장암, 비(非)소세포폐암, 전이성 유방암 등에 쓴다. 지난해 전 세계에서 총 70억7천300만 스위스프랑(약 8조5천억원)의 매출을 올렸다. 이 중 유럽 시장 매출은 17억9천400만 스위스프랑(약 2조2천억원)으로 4분의 1을 차지한다.    고한승 삼성바이오에피스 사장은 ""글로벌 시장에서 삼성바이오에피스의 연구개발 역량을 다시 한번 입증했다""며 ""고품질의 바이오의약품으로 암 환자들의 치료에 이바지하겠다""고 밝혔다.    삼성바이오에피스는 현재 유럽에서 류마티스 관절염 등의 자가면역질환 치료제 '베네팔리'(엔브렐 바이오시밀러), '임랄디'(휴미라 바이오시밀러), '플릭사비'(레미케이드 바이오시밀러)와 유방암 등에 쓰는 '온트루잔트'(허셉틴 바이오시밀러)를 판매하고 있다.    "
1," 삼성바이오에피스의 항암 바이오의약품 복제약(바이오시밀러) ‘에이빈시오’(SB8)이 유럽 시판을 눈 앞에 뒀다. 삼성바이오에피스는 유럽의약품청(EMA) 산하 약물사용 자문위원회(CHMP)가 에이빈시오(프로젝트명 SB8, 성분명 베바시주맙)를 유럽 시판 허가에 대해 긍정적 의견을 보였다고 27일 밝혔다.이빈시오는 통상 2∼3개월 걸리는 유럽연합 집행위원회(EC, European Commission)의 최종 검토를 거쳐 공식 허가를 얻을 예정이다. 지난해 7월 EMA가 에이빈시오의 허가심사에 착수한 후 약 11개월 만이다.에이빈시오는 삼성바이오에피스가 해외에 선보이는 다섯 번째 바이오시밀러다. 항암제로는 유방암 치료제 ‘온트루잔트’에 이은 두 번째 제품이다. 지난해 11월부터 미국 식품의약국(FDA)에서도 판매 허가심사를 받고 있다.에이빈시오의 오리지널 의약품 아바스틴은 스위스의 글로벌 제약사 로슈가 판매 중인 전이성 대장암, 비(非)소세포폐암, 전이성 유방암용 항암제다. 지난해 전 세계에서 총 70억7천300만 스위스프랑(약 8조5000억원) 어치가 팔렸다. 이 중 유럽 시장 매출은 17억9천400만 스위스프랑(약 2조2000억원)으로 25%를 차지한다.고한승 삼성바이오에피스 사장은 “글로벌 시장에서 삼성바이오에피스의 연구개발 역량을 다시 한번 입증했다”며 “고품질의 바이오의약품으로 암 환자들의 치료에 이바지하겠다”고 밝혔다.삼성바이오에피스는 현재 유럽에서 류마티스 관절염 등의 자가면역질환 치료제 ‘베네팔리’(엔브렐 바이오시밀러), ‘임랄디’(휴미라 바이오시밀러), ‘플릭사비’(레미케이드 바이오시밀러) 등 3종과 유방암 등에 쓰는 ‘온트루잔트’(허셉틴 바이오시밀러)를 판매하고 있다. 한편 삼성바이오에피스는 미국 식품의약국(FDA)에 이어 국내 식품의약품안전처에서도 ‘SB15’의 임상 3상 시험을 승인받는 등 안과 질환용 바이오시밀러 개발에도 박차를 가하고 있다. SB15는 바이오 기업 리제네론이 개발한 ‘아일리아’의 바이오시밀러로, 노년층의 실명을 유발하는 대표적 안과질환인 황반변성을 치료할 때 쓴다.김무연 "
2,"삼성바이오에피스 전경(사진=연합뉴스)    삼성바이오에피스의 항암 바이오시밀러(바이오의약품 복제약) '에이빈시오'의 유럽 판매에 청신호가 켜졌다.삼성바이오에피스는 유럽의약품청(EMA) 산하 약물사용 자문위원회(CHMP)가 에이빈시오(성분명 베바시주맙)를 유럽에서 시판할 수 있게 하는 것에 대해 긍정적 의견을 냈다고 27일 밝혔다. 에이빈시오는 통상 2∼3개월 걸리는 유럽연합 집행위원회(EC, European Commission)의 최종 검토를 거쳐 공식 허가를 얻을 것으로 보인다.에이빈시오의 오리지널 의약품인 아바스틴은 스위스의 다국적제약사 로슈가 판매 중인 항암제다. 전이성 대장암, 비(非)소세포폐암, 전이성 유방암 등에 쓴다. 지난해 전 세계에서 총 70억7300만 스위스프랑(약 8조5000억원)의 매출을 올렸다. 이 중 유럽 시장 매출은 17억9400만 스위스프랑(약 2조2000억원)으로 4분의 1을 차지한다.고한승 삼성바이오에피스 사장은 ""글로벌 시장에서 삼성바이오에피스의 연구개발 역량을 다시 한번 입증했다""며 ""고품질의 바이오의약품으로 암 환자들의 치료에 이바지하겠다""고 밝혔다.삼성바이오에피스는 현재 유럽에서 류마티스 관절염 등의 자가면역질환 치료제 '베네팔리'(엔브렐 바이오시밀러), '임랄디'(휴미라 바이오시밀러), '플릭사비'(레미케이드 바이오시밀러)와 유방암 등에 쓰는 '온트루잔트'(허셉틴 바이오시밀러)를 판매하고 있다.김민주기자"
3,"홍민희 세브란스병원 종양내과 교수는 신약 개발에 관심이 많다. 대한민국에서 가장 항암제 임상시험에 많이 참여하는 의사 중 한  명으로 꼽힌다. 임상시험 대상자가 된 환자는 연간 1억~2억 원의 진료비를 줄일 수 있다. 세브란스병원 제공신종 코로나바이러스 감염증(코로나19) 치료제와 백신은 언제 개발될까. 어떤 제약사는 이미 임상 1상을 끝내고 2상에 돌입했다거나, 머잖아 임상 3상까지 가능할 것이란 전망도 나오고 있다.   놀라운 속도다. 세계적 대유행(팬데믹) 상황이라 전 세계가 달려들기에 가능한 일이다. 사실 모든 신약의 개발 속도가 이처럼 ‘속전속결’은 아니다. 후보 물질이 신약으로 세상에 나오기까지는 짧게는 수년, 길게는 십수 년이 소요된다. 먼저 동물 실험을 거쳐야 하며 안전성이 입증되면 사람을 대상으로 임상 시험이 진행된다. 임상 시험은 1~3상으로 나누는데, 신약으로 나오기 전의 최종 대규모 임상 시험이 3상이다.   항암제 임상 시험은 ‘효과 좋은 약’을 바라는 환자와 의사 모두에게 ‘희망’이다. 그래서 많은 의사들이 임상 시험에 적극 참여한다. 홍민희 세브란스병원 종양내과 교수(41)도 그런 의사 중 한 명인데, 좀 유별난 편이다. 국내에서 시행되는 글로벌 폐암 치료제 임상 시험 모두에 참여하고 있는 것.     홍 교수는 매년 평균 110개 이상의 임상 시험을 진행한다. 지난해에는 123개의 임상 시험을 진행했다. 임상 3상이 44개로 전체의 36%를 차지한다. 홍 교수의 전공은 폐암. 당연히 폐암 임상 시험이 110개(89%)로 압도적으로 많다. 홍 교수가 임상 시험에 이토록 ‘집착’하는 까닭이 뭘까. ● “말기 암 환자에게 희망을”   폐암은 대체로 발견이 늦다. 위암이나 대장암, 유방암 같은 경우 90% 정도의 환자가 1기와 2기에 발견된다. 국가 암 검진 사업 등이 조기 발견에 적잖은 도움을 줬다. 반면 폐암은 환자의 절반 정도가 4기에 발견된다. 폐암은 지난해 하반기에야 국가 암 검진 대상에 포함됐다.   말기에 해당하는 4기 폐암 환자는 대체로 수술이 불가능하다. 따라서 항암 치료가 중요해진다. 다만, 효과가 좋다는 항암제일수록 비싸다는 단점이 있다. 건강보험 혜택을 받을 수 없어 ‘그림의 떡’인 면역항암제도 많다. 이럴 때 임상 시험을 활용하면 문제를 해결할 수 있다.   2016년 4월, 70대 남성이 홍 교수를 찾아왔다. 그 남성 또한 4기 폐암 환자. 효과가 좋다는 면역항암제는 워낙 고가라 엄두를 못 내고 있었다. 홍 교수는 환자에게 임상 시험 참여를 권했다. 임상 시험 대상자로서의 조건만 충족된다면 고가의 약을 무상으로 사용할 수 있기 때문.   환자는 동의했다. 그 후 2년 동안 임상 시험에 참여하며 무상으로 약을 공급받았다. 기적이라 해야 할까. 폐암 덩어리가 지금은 거의 사라졌다고 한다. 홍 교수는 “모든 환자가 이렇지는 않겠지만, 새로운 약제를 사용해 극적 효과를 보는 사례가 꽤 있다”고 말했다.   임상 시험은 길게는 5년 동안 이어진다. 참여 환자들은 약 외에도 영상 검사까지 무료로 받는다. 교통비를 ‘보너스’로 받기도 한다. 이 모든 비용을 합산할 경우 환자 1인당 연간 1억~2억 원의 진료비를 절약할 수 있다. 가계 재정을 짓누르는 막대한 진료비의 부담을 덜 수 있는 좋은 방법인 셈. 이런 점 때문에도 홍 교수는 환자들에게 임상 시험 참여를 권한다. 현재 홍 교수 환자의 30~40% 정도가 임상 시험에 참여하고 있다.   항암제를 단독으로 투여할 때와 병행 투여할 때 효과가 다를 수 있다. 그 결과를 알아보려면 임상 시험을 진행해야 한다. 생각 외로 다양한 임상 시험이 진료 현장에서 진행된다는 뜻이다. 이런 임상 시험에 참여하려면 어떻게 해야 할까. 병원마다 시행하는 임상 시험이 다르고, 그때그때 대상자의 조건이 다르다는 게 홍 교수의 설명이다. 주치의에게 직접 문의하는 게 좋다. ● “임상 시험이 잘돼야 의료 강국”  암 환자들은 효과가 좋다는 약 혹은 신약 후보 물질이 나오면 “꼭 임상 시험을 거쳐야 하나, 바로 투입할 수 없나”라고 묻는다. 그럴 수 없다는 게 홍 교수의 생각이다. 한두 명이 효과를 봤다 하더라도 그것은 ‘편견’일 수 있다는 것. 과학적인 근거를 객관적으로 찾아내고 정립하는 과정이 임상 시험이란 이야기다.   홍 교수가 종양내과를 전공으로 선택한 것도 따지고 보면 이 신약 개발에 대한 열망 때문이다. 수술을 할 수 없는 폐암 환자를 많이 봤다. 그 환자들의 생존율을 높이는 것은 좋은 항암제라고 생각했다. 신약 개발에 집중하다 보니 잠시 병원을 떠나기도 했다. 2015년 글로벌 제약사에 취업해 신약 개발과 임상 시험 업무를 담당한 것. 1년 만에 병원의 요청으로 복귀했지만, 그 업무만큼은 놓지 않았다. 홍 교수는 지금 근무하는 세브란스병원에서도 항암제 임상 시험의 핵심 인력으로 꼽힌다.   과거에도 국내 의사들은 글로벌 제약사가 진행하는 임상 시험을 진행했었다. 다만 주도하지는 못했다. 지금은 다르다. 홍 교수는 “국내 의료진이 임상 시험의 디자인(설계) 작업부터 주도적으로 참여하고, 나중에 결과 데이터까지 직접 발표하는 사례가 늘어나고 있다”고 말했다. 나아가 국내 제약사들의 글로벌 임상 시험도 적잖게 시행되고 있다. 한국 의료 수준이 높아졌다는 증거다.▼ 폐 건강 지키고 싶다면 ‘이렇게’ ▼  “폐 건강을 지키고 싶다고요? 그럼 딱 한 가지만 우선 실천하세요. 바로 금연입니다.”  흡연이 몸에 해롭다는 걸 누가 모를까. 그럼에도 불구하고 홍민희 세브란스병원 종양내과 교수는 “너무나 당연하지만 가장 확실하니 어쩔 수 없다”고 말했다. 금연이 폐암은 물론이고 다른 폐 질환을 막는 첫 번째 조건이라는 것.   홍 교수에 따르면 흡연자의 10% 정도는 폐암에 걸린다. 오래 담배를 피웠다면 이 확률은 20%로 높아진다. 금연해도 당장 효과를 보기가 쉽지 않다. 금연하고 5년이 지나야 폐암 발병 위험이 줄어든다. 사람에 따라 다르지만 대체로 금연하고 15년이 지나야 폐암 발병 위험이 금연 이전보다 80~90% 떨어진다. 15년 이상 금연해도 평생 담배를 피우지 않은 사람보다 폐암 발병 비율은 여전히 10% 정도 높다.   이뿐만 아니라 어린 시절의 간접흡연은 성인이 된 후 폐암 발병 위험을 높인다는 연구도 많다. 흡연의 폐해는 이처럼 끈질기고 독하다. 만약 이 세상의 모든 사람이 금연하는 날이 온다면 어떻게 달라질까. 홍 교수는 “그 경우 현재 발생하는 폐암의 85% 이상을 예방할 수 있다”고 말했다. 홍 교수는 흡연력이 있는 경우 의사와 상의해서 정기적으로 폐 CT 검사를 할 것을 권했다.   금연이 대표적인 ‘하지 말아야 할 것’이라면 유산소 운동은 대표적인 ‘반드시 해야 할 것’이다. 홍 교수는 폐 건강을 위한 두 번째 조건으로 걷기와 달리기, 자전거타기, 수영 등 유산소 운동을 추천했다.   셋째, 홍 교수는 독감과 폐렴구균 예방 접종을 권했다. 예방 접종을 해 두면 100% 감염을 막지는 못하지만 감염되더라도 심각한 상황에 이르지는 않는다는 것. 홍 교수는 65세 이상과 만성질환자, 면역이 떨어진 사람이라면 두 종류의 접종이 모두 필요하다고 덧붙였다.김상훈기자"
4,"보령제약 제공보령제약은 개발 중인 혁신항암제 ‘BR101801’ 전임상 결과를​ 미국암학회(AACR)에서 발표했다.BR101801는 PI3K와 DNA-PK를 동시에 저해하는 표적항암제 겸 면역항암제이다. 보령제약은 BR101801의 암세포 사멸과 관련해 단독 및 병용효력, 면역항암제로서의 효력, 암세포 손상복구인자의 저해능력 등 총 3편의 포스터를 발표한다.보령제약은 혈액암에서의 암세포 사멸에 관한 BR101801의 단독 및 병용 효력시험을 진행했고, 길리어드의 ‘자이델릭’, 버라스템의 ‘코피카’ 등 현재까지 PI3K저해제로 허가받은 약물을 대조군으로 설정하여 비교시험을 진행했다.그 결과, 52개 혈액암 세포주에서 비교약물보다 뛰어난 암세포 사멸효과와 c-Myc(종양유발유전자) 제어 효력을 확인했다.BR101801 단독투여시 면역억제세포인 Treg(조절T세포)와 MDSC(골수유래 억제세포)를 감소시키고 암세포를 사멸하는 면역 세포인 CD8+을 증가시키며 면역항암제로써의 효력을 확인했다. 또 면역관문억제제(PD-1, PD-L1) 또는 면역관문활성제(OX40)와 병용투여시 시너지 효과도 확인했다.보령제약 관계자는 “암세포 DNA 손상을 인지하고 수선에 관여하는 효소 DNA-PK를 저해하는 효과를 보이며 암세포 사멸효능을 보였다”며 “혈액암뿐만 아니라 고형암에서도 세포독성항암제 또는 방사선과 병용투여시 암세포 사멸효과를 보이는 것으로 나타났다”고 말했다.현재 BR101801는 혈액암의 일종인 비호치킨성 림프종을 적응증으로 지난 3월 한국과 미국에서 동시에 임상1상을 개시했다./ 유대형 헬스조선 기자"
5,"보령제약이 항암제 개발에 본격적으로 시동을 걸었다.보령제약은 미국 현지시간 22일부터 3일간 온라인으로 진행되는 미국암학회(AACR)에서 연구개발(R&D)중인 항암신약후보물질 'BR101801'의 전임상 결과를 일부 공개했다고 23일 밝혔다.이번 신약후보물질은 암세포의 주요 성장조절인자인 'PI3K'와 'DNA-PK'를 동시에 저해하는 표적항암 신약후보물질 겸 면역항암 신약후보물질이다.보령제약은 혈액암에서의 암세포 사멸에 관한 BR101801의 단독 및 병용 효력시험을 진행했고, 길리어드의 '자이델릭', 버라스템의 '코피카' 등 현재까지 PI3K저해제로 허가받은 약물을 대조군으로 설정하여 비교시험을 진행했다.그 결과 52개 혈액암 세포주에서 비교약물보다 뛰어난 암세포 사멸효과와 종양유발유전자(c-Myc)의 제어 효력을 확인했다.또, BR101801 단독투여시 면역억제세포인 조절T세포(Treg)와 골수유래 억제세포(MDSC)를 감소시키고 암세포를 사멸하는 면역 세포인 CD8+을 증가시키는 결과를 보이며 면역항암제로써의 효력을 확인했다.보령제약 관계자는 ""현재 BR101801는 혈액암의 일종인 비호치킨성 림프종을 적응증으로 지난 3월 한국과 미국에서 동시에 임상1상을 개시하고 순조롭게 임상을 진행중""이라고 말했다.보령제약이 국제학술대회에서 항암제와 관련해 연구개발중인 신약후보물질을 공개한 것은 이번이 처음이다.그동안 보령제약은 국산 신약 '카나브'와 '카나브 패밀리' 등에 대한 임상 성과를 국제학술대회에서 발표한 사례는 많았지만, 항암제에 대한 신약후보물질을 공개한 것은 이례적이다.제약업계에서는 최근 보령제약이 다국적 제약사의 항암제 유통을 비롯해 연구개발에 뛰어들면서 차세대 먹거리로 항암제분야를 타깃화한 것이라는 분석이다.문형민기자"
6,"단독 및 병용 투여 시 암 세포 사멸 효력 등 포스터 3편 발표한국·미국서 임상 1상 지난 3월 개시혈액암 비롯해 고형암 암 세포 사별효과도 확인보령제약은 22일(현지 시간) 온라인으로 열린 미국암학회(AACR) 연례학술대회에서 혁신항암제 후보물질 ‘BR101801(개발명 BR2002)’ 전임상 결과 일부를 공개했다고 23일 밝혔다.보령제약이 자체 개발 중인 BR101801는 암 세포 주요 성장 및 조절 인자인 PI3K와 DNA-PK를 동시에 저해하는 표적항암제 겸 면역항암제다. 보령제약은 이번 학회에서 BR101801 암 세포 사멸과 관련해 단독 및 병용 효력과 면역항암제 효력, 암 세포 손상복구인자 저해능력 등 총 3편의 포스터 발표를 진행했다.연구는 혈액암에서 암 세포 사멸에 관한 BR101801의 단독 및 병용 효력시험과 현재까지 PI3K저해제로 허가받은 약물을 대조군(길리어드 ‘자이델릭’, 버라스템 ‘코피카’)으로 설정한 비교시험 방식으로 진행됐다. 그 결과 52개 혈액암 세포주에서 비교약물보다 우수한 암 세포 사멸효과와 종양유발유전자 c-Myc 제어 효력을 확인했다고 보령제약은 설명했다.또한 BR101801 단독 투여 시 면역억제세포인 조절T세포 ‘Treg’과 골수유래 억제세포 ‘MDSC’를 감소시고 암 세포를 사멸하는 면역세포 ‘CD8+’를 증가시키는 결과를 보여 면역항암제 효력을 확인했다. 여기에 면역관문억제제(PD-1, PD-L1) 또는 면역관문활성제(OX40)와 병용 투여 시 시너지 효력도 나타냈다고 했다. 이와 함께 암 세포 DNA 손상을 인지하고 수선에 관여하는 효소 DNA-PK를 저해하는 효과도 나와 암 세포 사멸효능을 보였다고 발표했다. 특히 혈액암 뿐 아니라 고형암에서도 세포독성항암제 또는 방사선과 병용 투여 시 암 세포 사멸효과를 보이는 것으로 나타났다고 전했다. 보령제약 관계자는 “현재 BR101801은 혈액암 일종인 비호치킨성 림프종을 적응증으로 지난 3월 한국과 미국에서 동시에 임상 1상에 들어가 순조롭게 연구가 진행되고 있다”고 말했다.동아닷컴 김민범 기자"
7,"보령제약은 자체 개발 중인 표적·면역항암제(BR101801)의 전임상 결과, 암세포 사멸과 관련한 효과를 확인했다고 23일 밝혔다.보령제약 로고[보령제약 제공. 재판매 및 DB 금지]보령제약에 따르면 BR101801은 혈액암뿐 아니라 고형암에서도 세포 독성 항암제나 방사선과 병용 투여할 때 암세포 사멸 효과를 보였다.     이런 연구결과는 22∼24일(현지시간) 온라인으로 열리는 '미국암학회'(American Association for Cancer Research) 연례 학술대회에서 일부 공개됐다.     보령제약은 BR101801을 혈액암의 일종인 비호지킨성 림프종을 치료하는 약물로 개발하고자 지난 3월부터 한국과 미국에서 임상 1상 시험을 시작했다.   "
8," 보령제약(003850)은 22일(현지시간)부터 3일간 온라인으로 진행되는 미국암학회(AACR) 연례학술대회에서 연구개발중인 혁신항암제 BR101801의 전임상 결과를 일부 공개했다고 23일 밝혔다.보령제약이 자체개발중인 BR101801는 PI3K와 DNA-PK를 동시에 저해하는 표적항암제 겸 면역항암제이다. 보령제약은 이번 AACR에서 BR101801의 암세포 사멸과 관련해 단독 및 병용효력, 면역항암제로서의 효력, 암세포 손상복구인자의 저해능력 등 총 세편의 포스터를 발표한다.보령제약은 혈액암에서의 암세포 사멸에 관한 BR101801의 단독 및 병용 효력시험을 진행했고, 길리어드의 ‘자이델릭’, 버라스템의 ‘코피카’ 등 현재까지 PI3K저해제로 허가받은 약물을 대조군으로 설정하여 비교시험을 진행했다. 그 결과 52개 혈액암 세포주에서 비교약물보다 뛰어난 암세포 사멸효과와 종양유발유전자(c-Myc)의 제어 효력을 확인했다.또한 BR101801 단독투여시 면역억제세포인 Treg(조절T세포)와 MDSC(골수유래 억제세포)를 감소시키고 암세포를 사멸하는 면역 세포인 CD8+을 증가시키는 결과를 보이며 면역항암제로써의 효력을 확인했다. 그리고 면역관문억제제(PD-1, PD-L1) 또는 면역관문활성제(OX40)와 병용투여시 시너지 효력을 나타냈다.이와 함께 암세포의 DNA 손상을 인지하고 수선에 관여하는 효소인 DNA-PK를 저해하는 효과를 보이며 암세포 사멸효능을 보였다. 특히 혈액암뿐만 아니라 고형암에서도 세포독성항암제 또는 방사선과 병용투여시 암세포 사멸효과를 보이는 것으로 나타났다.현재 BR101801는 혈액암의 일종인 비호치킨성 림프종을 적응증으로 지난 3월 한국과 미국에서 동시에 임상1상을 개시하고 순조롭게 임상을 진행중이다./우영탁기자"
9,"미국의 양대 암학회인 미국암학회(AACR) 연례학술대회에 국내 제약·바이오 기업이 차세대 항암제로 주목받는 이중항체 관련 연구성과를 대거 발표했다.지난 22일(현지시간)부터 3일간 온라인으로 개최되는 AACR 연례학술대회에서 유한양행, 한미약품, 종근당, 보령제약, 에이비엘바이오, 이수앱지스, 펩트론, 파멥신 등 국내 제약사와 바이오벤처가 참가해 신약 개발 성과와 임상 데이터를 발표했다.AACR 연례학술대회는 항암치료 최신 연구 동향을 파악할 수 있어 매년 약 80개국에서 2만5000명 이상 전문가가 참가하는 암 연구 학술행사다. 올해는 코로나19 여파로 4월과 6월 1·2차로 나뉘어 온라인 개최된다.2차 학술대회에서 국내 제약·바이오사들은 차세대 항암제로 주목받는 이중항체 연구 성과를 대거 발표했다. 이중항체는 하나의 항체가 서로 다른 두 개의 항원에 결합한 단백질을 말한다. 하나의 항체가 하나의 항원에만 결합하는 단일항체 대비 치료 효과가 높고 부작용이 적다.유한양행은 에이비엘바이오와 함께 항암치료 신약으로 개발중인 면역항암 이중항체 후보물질 'YH32367(ABL-105)'의 전임상 효능시험 결과를 공개했다. 내년 전임상 독성시험을 완료하고 임상시험 개시를 목표로 한다.루닛 연구원이 암 환자의 정보가 담겨있는 H&E 조직 슬라이드를 살펴보고 있다. (사진=루닛)에이비엘바이오는 이밖에도 포항공대와 공동연구 중인 이중항체 면역항암제 관련 연구결과와 나스닥 상장사 아이맵과 공동연구 중인 면역항암제 'ABL111' 'ABL503' 전임상 연구 결과를 발표했다.종근당은 항암 이중항체 바이오 신약 'CKD-702'의 전임상 연구결과를 공개했다. CKD-702는 암세포주에서 암의 성장과 증식에 필수적인 간세포성장인자 수용체(c-Met)와 상피세포성장인자 수용체(EGFR)를 동시에 억제하는 항암 효과를 나타냈다. 종근당 관계자는 “차세대 항암제로 주목받는 이중항체는 승인된 약물이 전 세계에서 단 한 개밖에 없어 CKD-702 전임상 결과가 갖는 의미가 크다”고 설명했다.한미약품 파트너사 스펙트럼은 화학항암요법 치료를 받은 당일에 롤론티스를 투여한 뒤 경쟁약물 대비 호중구감소증의 짧은 발현 기간을 확인한 전임상 연구결과를 발표했다. 보령제약은 연구개발(R&D) 중인 항암신약후보물질 'R101801' 전임상 결과를 일부 공개했다.국내 의료 인공지능(AI) 업계도 AACR에서 기술력을 뽐낸다.. 루닛은 2년 연속 AACR 포스터 발표에 나서 AI 바이오마커에 따른 면역 형상 분류를 유전체 데이터와 연관시켜 분석해 AI 바이오마커의 유효성을 입증했다. 뷰노는 대장암 조직 병리학 이미지에서 병변 자동 분할하는 딥러닝 모델을 발표했다. 임상병리 분야 첫 연구 성과다.이밖에 이수앱지스는 표적 항암 신약 물질인 ISU104의 바이오마커 연구 결과를 발표했다. 펩트론은 핵심 파이프라인인 표적항암 항체신약 'PAb001', 면역항암 CAR-T 세포치료제 신약 'PAb001-Car-T' 등 신약 개발 성과를 공개했다.정현정기자"
