,contents
0,"(산업통상자원부 제공) © 뉴스1올해 안에 총 1만 명의 임상정보 및 유전체 데이터를 구축하는 국가 바이오 빅데이터 구축 사업이 본궤도에 올랐다.   과학기술정보통신부와 보건복지부, 산업통상자원부는 30일부터 국가 바이오 빅데이터 구축 시범사업으로 유전체 및 임상정보 수집 대상 환자를 모집한다고 29일 밝혔다.  2021년까지 진행되는 시범사업 기간에는 희귀질환 환자를 대상으로 데이터를 수집한다. 올해는 희귀질환 환자 5000명을 모집하고 기존 사업을 통해 확보한 5000명의 임상정보 또는 유전체 데이터를 연계해 총 1만 명의 임상정보 및 유전체 데이터를 구축할 계획이다. 질병관리본부와 한국생명공학연구원, 한국과학기술정보연구원, 한국보건산업진흥원, 한국산업기술평가관리원, 전국 권역별 16개 병원이 협력기관으로 참여한다.   참여할 수 있는 환자는 ‘유전자 이상 및 유전자 관련 배경이 강력히 의심되는 희귀질환으로 판단되는 환자’로 전문 의료진의 판단에 따라 참여가 가능하다. 참여 뒤에는 진단참고용 유전체 분석 보고서를 받아 희귀질환의 원인을 밝힐 기회를 얻을 수 있다. 비식별 아이디를 부여해 민감한 개인정보인 임상 정보와 유전체 데이터가 유출되지 않도록 했다.   시범사업으로 확보되는 임상정보 및 유전체 데이터는 질병관리본부의 임상·유전체 관리시스템, 국가생명연구자원정보센터, 한국과학기술정보연구원(KISTI)에 구축된다. 구축된 데이터는 희귀질환 환자 진료에 활용되며 보안체계를 갖춘 임상분석연구네트워크를 통해 산학연병 연구자의 다양한 연구에 활용될 예정이다.   희귀질환 환자 모집을 담당하는 채종희 서울대병원 희귀질환센터 교수는 “희귀질환은 진단과 치료가 복잡하고 어려워 국가적 차원의 지원과 연구가 필요하다”며 “이번 빅데이터 구축 사업을 통해 희귀질환 연구가 한층 활성화될 것으로 기대한다”고 말했다.김민수 동아사이언스 기자"
1,"/픽사베이 제공정부가 희귀질환 등 진단과 치료가 어려운 질병 퇴치에 팔을 걷었다. 국가 차원의 희귀질환 연구를 위한 '바이오 빅데이터' 구축에 본격 돌입할 방침이며, 올해 중 총 1만명의 임상정보 및 유전체 데이터를 구축할 예정이다.과학기술정보통신부, 산업통상자원부와 보건복지부는 오는 30일부터 '국가 바이오 빅데이터 구축 시범사업'을 통해 유전체·임상정보 수집대상 환자를 모집한다고 밝혔다.내년까지 2년간 시범사업을 통해 바이오 빅데이터 구축의 토대를 마련할 예정이며, 기간 중에는 희귀질환 환자를 대상으로 데이터를 수집한다. 올해는 희귀질환 환자 모집(5000명)과 선도사업(5000명)과의 연계를 통해 총 1만명의 임상정보·유전체 데이터를 구축할 계획이다.참여할 수 있는 희귀질환 환자는 ‘유전자 이상 및 유전자 관련 배경이 강력히 의심되는 희귀질환으로 판단되는 환자’로 전문 의료진의 판단에 따른다. 참여를 원하는 사람은 전국 16개 희귀질환 협력기관을 내원해 전문 의료진 상담 및 동의서 작성을 통해 등록할 수 있다.참여한 희귀질환 환자는 전장 유전체 분석(WGS)을 바탕으로 작성하는 진단참고용 보고서를 통해 희귀질환의 원인 규명 기회를 제공받을 수 있다. 또한 정부는 이 과정에서 비식별 아이디를 부여해 임상정보와 유전체 데이터 유출 가능성을 해소했다.이번 사업에서 얻은 임상정보와 유전체 데이터는 질병관리본부의 임상·유전체 관리시스템, 국가생명연구자원정보센터(KOBIC), 한국과학기술정보연구원(KISTI) 등에 구축된다. 이후 희귀질환 환자의 진료 등에 활용되고, 정보보안체계(폐쇄망)를 갖춘 임상분석연구네트워크(CIRN)를 통해 산·학·연·병 연구자의 다양한 연구를 지원하게 된다.고서곤 과학기술정보통신부 기초원천연구정책관은 “유전체 정보와 임상 정보 빅데이터 구축을 통해 병인 규명, 진단, 치료법 개발 등 다양한 연구를 촉진함으로써, 의료 난제를 해결하고, 신약, 정밀의료 서비스 등 바이오헬스 산업 성장에 필요한 핵심기술을 확보할 수 있기를 기대한다”고 말했다.김명상 기자"
2,"보건복지부와 과학기술정보통신부, 산업통상자원부는 30일부터 국가 바이오 빅데이터 구축 시범사업에 참여할 희귀질환 환자를 모집한다고 29일 밝혔다.    정부는 이번 시범사업을 2년간(2020∼2021년) 진행하게 되는데 올해 모집하는 환자 5천명과 이미 데이터를 확보한 선도사업 환자 5천명을 연계해 총 1만명의 임상정보와 유전체 데이터를 구축한다는 계획이다.    시범사업 참여 대상은 유전자 이상 및 유전자 관련 배경이 의심되는 희귀질환 환자로, 전문 의료진의 판단에 따라 참여할 수 있다.     참여를 원하는 환자는 전국에 지정된 16개 희귀질환 협력 기관을 방문해 등록할 수 있으며, 참여 환자들은 유전체 전체를 분석하는 '전장 유전체 분석'(WGS)을 통해 희귀질환의 원인을 규명할 기회를 갖게 된다.    정부는 참여자들에게 비식별 아이디를 부여해 개인의 민감 정보 유출 우려를 해소한다는 방침이다.     수집된 임상정보와 유전체 데이터는 질병관리본부의 임상·유전체 관리시스템, 국가생명연구자원정보센터(KOBIC), 한국과학기술정보연구원(KISTI)에 구축되며, 참여자의 진료와 산·학·연·병 연구자들의 연구에 활용된다.   "
3," 희귀질환 원인규명 및 맞춤의료 활성화, 유전체 기반 의료기기·신약 개발 등을 목적으로 추진되는 국가 바이오 빅데이터 구축사업에 참여할 희귀질환자 모집이 30일부터 시작된다.과학기술정보통신부, 보건복지부, 산업통상자원부는 6월 30일부터 국가 바이오 빅데이터 구축 시범사업의 일환으로 유전체 및 임상정보 수집에 참여할 희귀질환자 5천명을 모집한다고 밝혔다.참여 가능한 희귀질환 환자는 “유전자 이상 및 유전자 관련 배경이 강력히 의심되는 희귀질환으로 판단되는 환자”로, 전국 16개 희귀질환 협력기관에 방문해 전문 의료진 상담 및 동의서 작성을 통해 참여자로 등록할 수 있다.참여한 희귀질환 환자는 전장 유전체 분석(WGS, 유전체 전체를 분석하는 방법)을 바탕으로 작성하는 진단참고용 보고서를 통해 희귀질환의 원인 규명 기회를 제공받을 수 있다. 민감 정보인 임상정보와 유전체 데이터의 유출 우려를 해소하고, 안심하고 참여할 수 있도록 환자별로 비식별 아이디가 부여된다.임상정보 및 유전체 데이터는 질병관리본부의 임상·유전체 관리시스템, 국가생명연구자원정보센터(KOBIC), 한국과학기술정보연구원(KISTI)에 구축되며, 구축한 데이터는 희귀질환 환자의 진료 등에 활용할 뿐만 아니라, 정보보안체계(폐쇄망)를 갖춘 임상분석연구네트워크(CIRN)를 통해 산·학·연·병의 다양한 연구를 지원할 예정이다.국가 바이오 빅데이터 구축 시범사업 포스터 [과기정통부]국가 바이오 빅데이터 구축 시범사업은 바이오 빅데이터 연구 고도화 및 맞춤의료 구현을 위해 과학기술정보통신부, 보건복지부, 산업통상자원부가 공동 추진하는 범부처 사업으로 올해부터 2년간 시범사업을 통해 바이오 빅데이터 구축의 토대를 마련할 예정이다.올해는 희귀질환 환자 모집을 통해 5천명, 기존 선도사업과 연계한 5천명 등 총 1만 명의 임상정보 및 유전체 데이터를 구축할 계획이다.국가 바이오 빅데이터 구축 시범사업 추진위원회(위원장 송시영 세브란스병원 교수)는 지난 3월12일 이후 시범사업 계획 및 사업 추진체계 등을 결정하고 전국 권역별 16개 희귀질환 협력기관 지정, 희귀질환 전문위원회 의견수렴 등을 통해 희귀질환 환자 모집을 준비해왔다.고서곤 과학기술정보통신부 기초원천연구정책관은 “유전체 정보와 임상 정보 빅데이터 구축을 통해 병인 규명, 진단, 치료법 개발 등 다양한 연구를 촉진함으로써, 의료 난제를 해결하고, 신약, 정밀의료 서비스 등 바이오헬스 산업 성장에 필요한 핵심기술을 확보할 수 있기를 기대한다.”고 밝혔다.환자 모집을 담당할 서울대병원 희귀질환센터 채종희 교수는 “희귀질환은 진단과 치료가 복잡하고 어려워 국가적 차원의 지원과 연구가 필요한데, 이번 희귀질환 환자의 바이오 빅데이터 구축을 통해 희귀질환 연구가 한층 활성화되고, 희귀질환 환자와 가족에게 도움이 될 것으로 기대한다.” 라고 전했다.희귀질환 환자 참여 신청 및 문의는 16개 희귀질환 협력기관 및 국가 바이오 빅데이터 구축 사무국(043-719-6816)을 통해 상담받을 수 있다.◇희귀질환 협력기관 ▲중앙지원센터 서울대학교병원 ▲경기도 서북부권 인하대학교병원 ▲경기도 남부권 아주대학교병원 ▲충남권 충남대학교병원 ▲충북권 충북대학교병원 ▲대구·경북권 칠곡경북대병원 ▲부산권 인제대학교 부산백병원 ▲울산·경남권 양산부산대병원 ▲전남권 화순전남대학교병원 ▲전북권 전북대학교병원 ▲제주도권 제주한라병원 ▲서울·수도권 서울아산병원/삼성서울병원/연세대학교 세브란스병원/서울성모병원/분당서울대학교병원최상국기자"
4,"최대 바이오단지 ‘보스턴’ 거점 마련​한국제약바이오협회 제공코로나19로 교류가 얼어붙은 상황에서 국내 제약바이오산업이 글로벌 진출에 박차를 가하고 있다.한국제약바이오협회는 세계 최대 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로, 영국·독일 등 유럽으로 교류를 확대해 글로벌 제약바이오강국으로 도약을 노리고 있다이달 협회를 포함한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.세계 제약바이오산업의 40.2%(약 517조원)를 차지하는 최대 의약품 시장 미국에서 글로벌기업 연구센터와 유명 대학·병원·바이오벤처 등이 입주해 약 2조 달러 이상의 경제 효과를 창출하는 보스턴을 글로벌 시장 공략의 전초기지로 삼았다.한국제약바이오협회는 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여 명이 넘는 교수·연구진 등과 협업이 가능하다.25일에는 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다.CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동이 기대된다.지난해 국내 제약바이오산업 대표단이 미국·유럽을 방문해 현지 기관 및 단체와 구축하고 오늘날까지 이어온 글로벌 네트워크도 더욱 확대·발전시켜 나갈 계획이다.코로나19로 국제 교류가 불가능해진 상황에서 이러한 전략을 추진할 수 있었던 것은 재미한인제약인협회(KASBP), 재미한인바이오산업협회(KABIC), 주보스턴총영사관 등과 지속적인 유대를 쌓아왔기 때문이다.KABIC 김종성 회장은 “올해는 한국 제약바이오산업이 글로벌로 비상하는 역사적인 분기점이 될 것”이라며 “한인전문가들이 모인 KABIC은 보스턴에서의 오랜 활동 경험과 인적네트워크를 바탕으로 한국 제약바이오기업이 당면할 어려움을 해결하는 첫 단추를 열어주겠다”고 말했다.KASBP 서광순 회장은 “지난해 보스턴 바이오 클러스터를 찾은 원희목 회장이 한국 기업의 글로벌 진출 지원을 통해 패러다임을 바꾸겠다고 했을 때 열심히 돕겠다고 약속했다”며 “네트워킹, 인재채용, 콜라보레이션 등 다방면에서 협력 방안을 논의하고 실천해 한국 제약바이오산업에 도움이 되고 싶다”고 말했다.메드시티·바이오유럽 등 유럽 교류도 확대협회는 하반기에 유럽에서 활동한다. 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다.영국은 전역의 10여 개 임상연구기관 등을 토대로 약 120여 건의 첨단바이오의약품 임상이 진행되고, 민·관 투자와 산·학 네트워크가 활발한 국가로 꼽힌다. 런던시가 2014년 펀딩으로 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.협회는 메드시티 내 학계·산업계·투자자 등으로 구성된 첨단바이오의약품 네트워크와 연계해 한국과 온라인 세미나를 진행하고, 현지 기업과 국내 기업의 협업을 지원할 방침이다. 현재는 국내 첨단바이오의약품 개발 기업들과 인터뷰를 진행하며 해외 진출 전략 등을 파악하고 있다.10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 ‘바이오유럽 2020’에 참가, 국내 기업들과 ‘코리아 세션’을 별도로 마련할 예정이다. 코로나19 확산으로 오는 10월 26일부터 28일까지 온라인을 통해 열리는 이번 행사에서 국내 제약바이오산업의 우수성을 홍보하고, 기업들의 유망 파이프라인 등을 소개할 계획이다.협회는 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 이를 위해 행사 주최사인 EBD그룹과 함께 온라인으로 효과를 높일 수 있는 방안을 추진 중이다.한국제약바이오협회 원희목 회장은 “한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 말했다.​/ 유대형 헬스조선 기자"
5,"국내 제약바이오기업들이 세계 최대 바이오클러스터로 손꼽히는 미국 보스턴에 새로운 교두보를 마련했다. 다국적 제약바이오 회사들과 교류를 넓혀 글로벌 진출에 속도를 낸다는 취지다.한국제약바이오협회는 이달 협회를 비롯한 약 20개 국내 제약바이오기업이 보스턴 소재 산학협력 네트워크에 참여했다고 29일 밝혔다.국내 14개 제약바이오기업은 미국 매사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 회원사로 가입했다. 이들은 제약바이오협회를 중심으로 컨소시엄을 구성해 MIT ILP 내 260개 가입회사와 150개 연구소 등과 협력을 하기로 했다. 또 보스턴 소재 케임브리지이노베이션센터(CIC)에 제약바이오협회 공용 사무실을 마련했다. 이곳에는 국내 제약바이오기업 10개사가 입주해 전문 분야별 현지 자문단을 구성할 예정이다.각 기업은 이 곳의 자문단의 도움을 받아 보스턴에 모여든 해외 다른 국가 연구소, 바이오벤처와의 연구개발 협력, 기술이전, 합작투자법인 설립 등 다양한 활동을 준비할 계획이다.원희목 협회장은 ""국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어야 한다""며 ""협회는 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것""이라고 말했다"
6,"MIT ILP 가입·CIC 입주…글로벌 생태계 중심 美 보스턴 진출 잇따라 하반기 메드시티·바이오유럽 등 유럽 행보도 예정…GOI로 글로벌 도약 촉진◆…사진=한국제약바이오협회한국제약바이오협회는 올해 신년 기자간담회를 통해 강조한 글로벌 진출 거점 확보 과제를 온라인 시스템과 회원사의 적극적인 참여를 통해 실천해가고 있다고 29일 밝혔다.세계 최대의 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로 영국·독일 등 유럽으로 교류를 확대한다.이달 협회를 비롯한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.지난 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다. 70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여 명이 넘는 교수·연구진 등과 협업이 가능하다.또 지난 25일 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다. CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동을 기대할 수 있다.하반기에는 유럽에서 GOI 활동을 전개한다. 우선 오는 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다. 런던시가 2014년 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.오는 10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 '바이오유럽 2020'에 참가, 국내 기업들과 '코리아 세션'을 별도로 마련할 예정이다. 협회는 기업 뿐만 아니라 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 원희목 회장은 “국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 강조했다.▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)김상우"
7,"한국제약바이오협회는 영국 등 유럽에서 국내 제약·바이오산업의 우수성을 홍보하고 해외 진출 교두보를 마련하려는 전략을 세우겠다고 29일 밝혔다.    이를 위해 지난해부터 이어진 교류를 바탕으로 영국 메드시티와 첨단바이오의약품 분야 온라인 콘퍼런스를 8월 열기로 했다. 영국은 첨단바이오의약품에 대한 민관투자와 산학네트워크가 활발한 국가다.     10월에는 온라인으로 열리는 유럽 최대 규모의 제약·바이오기업 행사인 '바이오 유럽 2020'에 참가해 국내 기업들과 '코리아 세션'을 별도로 마련할 예정이다.     원희목 제약바이오협회장은 ""국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하려면 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다""며 ""협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원하겠다""고 말했다. 서울 서초구 방배동 제약바이오협회 전경[한국제약바이오협회 제공. 재판매 및 DB 금지]   "
8,"서울 서초구 방배동 한국제약바이오협회 전경. ⓒ한국제약바이오협회는 올해 신년 기자간담회를 통해 강조한 글로벌 진출 거점 확보 과제를 언택트 시대에 걸맞는 온라인 시스템과 회원사의 적극적인 참여를 통해 실천해가고 있다고 29일 밝혔다.세계 최대의 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로, 영국·독일 등 유럽으로 교류를 확대해 글로벌 제약바이오강국으로 도약하겠다는 포부다.이달 협회를 비롯한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.우선 지난 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다. 70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여명이 넘는 교수·연구진 등과 협업이 가능하다.지난 25일에는 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다. CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동을 기대할 수 있다.전 세계 제약바이오산업의 40.2%(약 517조원)를 차지하는 최대 의약품 시장인 미국에서 글로벌기업 연구센터와 유명 대학·병원·바이오벤처 등이 입주해 약 2조 달러 이상의 경제 효과를 창출하는 보스턴을 글로벌 시장 공략의 전초기지로 삼은 것이다.뿐만 아니라 지난해 국내 제약바이오산업 대표단이 미국·유럽을 방문해 현지 기관 및 단체와 구축하고 오늘날까지 이어온 글로벌 네트워크도 더욱 확대·발전시켜 나갈 계획이다.코로나19로 각국 왕래가 사실상 불가능해진 상황에서 이 같은 GOI 전략을 추진할 수 있었던 것은 재미한인제약인협회(KASBP), 재미한인바이오산업협회(KABIC), 주보스턴총영사관 등과 지속적인 유대를 쌓아왔기 때문으로 풀이된다.협회는 이들 현지 전문가들과 MIT ILP의 산학협력 인프라, CIC 입주기업들의 올해 하반기 다양한 사전 콜라보레이션 미팅 등을 통해 미국 시장 진출 지원을 위한 활동을 지속할 계획이다.메드시티·바이오유럽 등 유럽 교류도 확대하반기에는 유럽에서 GOI 활동을 전개할 계획이다.우선 오는 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다. 영국은 전역의 10여 개 임상연구기관 등을 토대로 약 120여 건의 첨단바이오의약품 임상이 진행되고, 민·관 투자와 산·학 네트워크가 활발한 국가로 꼽힌다.런던시가 2014년 펀딩으로 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.협회는 메드시티 내 학계·산업계·투자자 등으로 구성된 첨단바이오의약품 네트워크와 연계해 한국과 온라인 세미나를 진행하고, 현지 기업과 국내 기업의 협업을 지원할 방침이다. 현재는 국내 첨단바이오의약품 개발 기업들과 인터뷰를 진행하며 해외 진출 전략 등을 파악하고 있다.오는 10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 ‘바이오유럽 2020’에 참가, 국내 기업들과 ‘코리아 세션’을 별도로 마련할 예정이다.코로나19 확산으로 오는 10월 26일부터 28일까지 온라인을 통해 열리는 이번 행사에서 국내 제약바이오산업의 우수성을 홍보하고, 기업들의 유망 파이프라인 등을 소개한다는 취지다.협회는 기업 뿐만 아니라 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 이를 위해 행사 주최사인 EBD그룹과 함께 온라인으로 효과를 높일 수 있는 방안을 추진 중이다.원희목 회장은 “국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 강조했다.데일리안 이은정 기자 "
9," 대학과 연구소가 협력해 대전·충남에 바이오, 광주에 인공지능(AI) 분야 융합기술을 산업계로 이전해 사업화, 창업까지 연계하는 사업을 추진한다.   과학기술정보통신부는 '학·연 연계 사업화 선도모델 구축 사업'에 한국생명공학연구원 융합사업단과 광주과학기술원 융합사업단 등 2곳을 선정했다고 29일 밝혔다. 이 사업은 지역 전략·특화산업을 연계해 지역확산형 융합기술 생태계 활성화를 노리고 있다.   생명공학연구원이 주도하는 과제는 4차 산업혁명 기반 바이오융합 선도기술 클러스터 구축이다. 대전과 충남 지역 내 고부가가치 바이오메디컬 연구시설과 기업 인프라를 기반으로 바이오의약 기술사업화 협력체계 구축을 추진한다.   이를 통해 인플루엔자, 코로나, 감염 등 항바이러스제, 항암제, 진단키트 등 포스트 코로나 시대를 선제적 대응을 목포로 하고 있다. 또 글로벌 경쟁력 우위를 선점하는 미래 신산업 창출의 가능성을 확대할 것으로 기대된다.   광주과학기술원은 인공지능(AI)을 기반으로 융·복합 기술의 기술사업화 협력 선도모델을 구축한다. 이 과제는 광주지역의 AI 집적연구산업복합단지 특구와 세계 유수의 AI 연구소·기업과 국제협력 기반을 연계한 협력체계를 구축하고자 한다.   정부의 AI산업 집중 육성전략과 발맞춰 4차 산업혁명의 혁신 성장 견인을 주도할 것으로 기대된다. AI 융합기술사업화 협력 분야에는 AI 기반 정밀의료, 스마트 공장, 관제시스템, 이동형 교통정보 시스템 등이 있다.   한편 2017년 지원과제 2개를 시작으로 2018년 1개, 2020년 2개 과제 추가 지원 등 총 33개 기관이 참여하는 5개 과제를 지원하고 있다. 현재까지 융합기술 138건 발굴, 국내외 우수기술 이전 230건(기술료 약548억원), 기술창업 21건 및 투자유치 452억원 등의 효과를 거뒀다.     #컨소시엄 #R&D #바이오 #인공지능 #대학 #과기정통부 #기술이전 #연구소 #광주과학기술원 #한국생명공학연구원 #사업화  "
