,contents
0,"최대 바이오단지 ‘보스턴’ 거점 마련​한국제약바이오협회 제공코로나19로 교류가 얼어붙은 상황에서 국내 제약바이오산업이 글로벌 진출에 박차를 가하고 있다.한국제약바이오협회는 세계 최대 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로, 영국·독일 등 유럽으로 교류를 확대해 글로벌 제약바이오강국으로 도약을 노리고 있다이달 협회를 포함한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.세계 제약바이오산업의 40.2%(약 517조원)를 차지하는 최대 의약품 시장 미국에서 글로벌기업 연구센터와 유명 대학·병원·바이오벤처 등이 입주해 약 2조 달러 이상의 경제 효과를 창출하는 보스턴을 글로벌 시장 공략의 전초기지로 삼았다.한국제약바이오협회는 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여 명이 넘는 교수·연구진 등과 협업이 가능하다.25일에는 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다.CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동이 기대된다.지난해 국내 제약바이오산업 대표단이 미국·유럽을 방문해 현지 기관 및 단체와 구축하고 오늘날까지 이어온 글로벌 네트워크도 더욱 확대·발전시켜 나갈 계획이다.코로나19로 국제 교류가 불가능해진 상황에서 이러한 전략을 추진할 수 있었던 것은 재미한인제약인협회(KASBP), 재미한인바이오산업협회(KABIC), 주보스턴총영사관 등과 지속적인 유대를 쌓아왔기 때문이다.KABIC 김종성 회장은 “올해는 한국 제약바이오산업이 글로벌로 비상하는 역사적인 분기점이 될 것”이라며 “한인전문가들이 모인 KABIC은 보스턴에서의 오랜 활동 경험과 인적네트워크를 바탕으로 한국 제약바이오기업이 당면할 어려움을 해결하는 첫 단추를 열어주겠다”고 말했다.KASBP 서광순 회장은 “지난해 보스턴 바이오 클러스터를 찾은 원희목 회장이 한국 기업의 글로벌 진출 지원을 통해 패러다임을 바꾸겠다고 했을 때 열심히 돕겠다고 약속했다”며 “네트워킹, 인재채용, 콜라보레이션 등 다방면에서 협력 방안을 논의하고 실천해 한국 제약바이오산업에 도움이 되고 싶다”고 말했다.메드시티·바이오유럽 등 유럽 교류도 확대협회는 하반기에 유럽에서 활동한다. 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다.영국은 전역의 10여 개 임상연구기관 등을 토대로 약 120여 건의 첨단바이오의약품 임상이 진행되고, 민·관 투자와 산·학 네트워크가 활발한 국가로 꼽힌다. 런던시가 2014년 펀딩으로 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.협회는 메드시티 내 학계·산업계·투자자 등으로 구성된 첨단바이오의약품 네트워크와 연계해 한국과 온라인 세미나를 진행하고, 현지 기업과 국내 기업의 협업을 지원할 방침이다. 현재는 국내 첨단바이오의약품 개발 기업들과 인터뷰를 진행하며 해외 진출 전략 등을 파악하고 있다.10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 ‘바이오유럽 2020’에 참가, 국내 기업들과 ‘코리아 세션’을 별도로 마련할 예정이다. 코로나19 확산으로 오는 10월 26일부터 28일까지 온라인을 통해 열리는 이번 행사에서 국내 제약바이오산업의 우수성을 홍보하고, 기업들의 유망 파이프라인 등을 소개할 계획이다.협회는 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 이를 위해 행사 주최사인 EBD그룹과 함께 온라인으로 효과를 높일 수 있는 방안을 추진 중이다.한국제약바이오협회 원희목 회장은 “한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 말했다.​/ 유대형 헬스조선 기자"
1,"한국제약바이오협회는 영국 등 유럽에서 국내 제약·바이오산업의 우수성을 홍보하고 해외 진출 교두보를 마련하려는 전략을 세우겠다고 29일 밝혔다.    이를 위해 지난해부터 이어진 교류를 바탕으로 영국 메드시티와 첨단바이오의약품 분야 온라인 콘퍼런스를 8월 열기로 했다. 영국은 첨단바이오의약품에 대한 민관투자와 산학네트워크가 활발한 국가다.     10월에는 온라인으로 열리는 유럽 최대 규모의 제약·바이오기업 행사인 '바이오 유럽 2020'에 참가해 국내 기업들과 '코리아 세션'을 별도로 마련할 예정이다.     원희목 제약바이오협회장은 ""국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하려면 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다""며 ""협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원하겠다""고 말했다. 서울 서초구 방배동 제약바이오협회 전경[한국제약바이오협회 제공. 재판매 및 DB 금지]   "
2,"서울 서초구 방배동 한국제약바이오협회 전경. ⓒ한국제약바이오협회는 올해 신년 기자간담회를 통해 강조한 글로벌 진출 거점 확보 과제를 언택트 시대에 걸맞는 온라인 시스템과 회원사의 적극적인 참여를 통해 실천해가고 있다고 29일 밝혔다.세계 최대의 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로, 영국·독일 등 유럽으로 교류를 확대해 글로벌 제약바이오강국으로 도약하겠다는 포부다.이달 협회를 비롯한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.우선 지난 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다. 70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여명이 넘는 교수·연구진 등과 협업이 가능하다.지난 25일에는 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다. CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동을 기대할 수 있다.전 세계 제약바이오산업의 40.2%(약 517조원)를 차지하는 최대 의약품 시장인 미국에서 글로벌기업 연구센터와 유명 대학·병원·바이오벤처 등이 입주해 약 2조 달러 이상의 경제 효과를 창출하는 보스턴을 글로벌 시장 공략의 전초기지로 삼은 것이다.뿐만 아니라 지난해 국내 제약바이오산업 대표단이 미국·유럽을 방문해 현지 기관 및 단체와 구축하고 오늘날까지 이어온 글로벌 네트워크도 더욱 확대·발전시켜 나갈 계획이다.코로나19로 각국 왕래가 사실상 불가능해진 상황에서 이 같은 GOI 전략을 추진할 수 있었던 것은 재미한인제약인협회(KASBP), 재미한인바이오산업협회(KABIC), 주보스턴총영사관 등과 지속적인 유대를 쌓아왔기 때문으로 풀이된다.협회는 이들 현지 전문가들과 MIT ILP의 산학협력 인프라, CIC 입주기업들의 올해 하반기 다양한 사전 콜라보레이션 미팅 등을 통해 미국 시장 진출 지원을 위한 활동을 지속할 계획이다.메드시티·바이오유럽 등 유럽 교류도 확대하반기에는 유럽에서 GOI 활동을 전개할 계획이다.우선 오는 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다. 영국은 전역의 10여 개 임상연구기관 등을 토대로 약 120여 건의 첨단바이오의약품 임상이 진행되고, 민·관 투자와 산·학 네트워크가 활발한 국가로 꼽힌다.런던시가 2014년 펀딩으로 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.협회는 메드시티 내 학계·산업계·투자자 등으로 구성된 첨단바이오의약품 네트워크와 연계해 한국과 온라인 세미나를 진행하고, 현지 기업과 국내 기업의 협업을 지원할 방침이다. 현재는 국내 첨단바이오의약품 개발 기업들과 인터뷰를 진행하며 해외 진출 전략 등을 파악하고 있다.오는 10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 ‘바이오유럽 2020’에 참가, 국내 기업들과 ‘코리아 세션’을 별도로 마련할 예정이다.코로나19 확산으로 오는 10월 26일부터 28일까지 온라인을 통해 열리는 이번 행사에서 국내 제약바이오산업의 우수성을 홍보하고, 기업들의 유망 파이프라인 등을 소개한다는 취지다.협회는 기업 뿐만 아니라 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 이를 위해 행사 주최사인 EBD그룹과 함께 온라인으로 효과를 높일 수 있는 방안을 추진 중이다.원희목 회장은 “국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 강조했다.데일리안 이은정 기자 "
3,"MIT ILP 가입·CIC 입주…글로벌 생태계 중심 美 보스턴 진출 잇따라 하반기 메드시티·바이오유럽 등 유럽 행보도 예정…GOI로 글로벌 도약 촉진◆…사진=한국제약바이오협회한국제약바이오협회는 올해 신년 기자간담회를 통해 강조한 글로벌 진출 거점 확보 과제를 온라인 시스템과 회원사의 적극적인 참여를 통해 실천해가고 있다고 29일 밝혔다.세계 최대의 바이오 클러스터로 손꼽히는 미국 보스턴에 국내 제약바이오기업들과 뛰어드는 것을 시작으로 영국·독일 등 유럽으로 교류를 확대한다.이달 협회를 비롯한 약 20개 제약바이오기업들은 보스턴의 산학협력 네트워크에 참여하거나 공유사무실에 둥지를 틀었다.지난 12일 미국 메사추세츠공과대학(MIT) 기업 연계프로그램(ILP) 멤버십에 컨소시엄 형태로 협회와 14개사가 가입, 현지와 협력을 위한 소통에 나섰다. 70년 전통의 산학연계 프로그램 MIT ILP를 통해서는 260여 개 가입사는 물론 보스턴 켄들스퀘어에 있는 150개 이상 연구소, 1800여 개의 스타트업, 3000여 명이 넘는 교수·연구진 등과 협업이 가능하다.또 지난 25일 캠브리지 이노베이션센터(CIC) KPBMA 공용 사무실에 10개사가 입주키로 하고 전문분야별 현지 자문단을 구성했다. CIC는 보스턴 중심에서 단순한 공유 사무실을 넘어 현지 다양한 네트워크와 일상적인 정보 공유, 콜라보레이션을 바탕으로 연구개발(R&D) 협력과 기술이전, 합작투자법인(JV) 설립 등 다양한 활동을 기대할 수 있다.하반기에는 유럽에서 GOI 활동을 전개한다. 우선 오는 8월 영국 메드시티와 지난해부터 이어온 교류를 바탕으로 첨단바이오의약품(ATMP) 분야 온라인 컨퍼런스를 열기로 했다. 런던시가 2014년 설립한 메드시티는 영국 바이오산업의 연구·상업화·창업 및 투자를 연결하고 시너지를 낼 수 있도록 지원하고 있다.오는 10월에는 유럽 최대 규모의 제약바이오 파트너링 행사인 '바이오유럽 2020'에 참가, 국내 기업들과 '코리아 세션'을 별도로 마련할 예정이다. 협회는 기업 뿐만 아니라 정부와 협의를 통해 국내 제약바이오산업의 홍보 효과를 극대화하고, 국내 기업과 해외 기업 간 협업 기회를 확대할 전략이다. 원희목 회장은 “국내 제약바이오산업이 한정된 자원과 한계를 극복하고 성장하기 위해서는 글로벌 바이오 생태계에 직접 뛰어들어 글로벌제약사·연구소·대학·바이오벤처 등과 협업을 극대화해야 한다”며 “협회는 해외 현지 기관 및 단체 등과 협력해 국내 기업이 글로벌 진출 거점을 마련할 수 있도록 최선을 다해 지원할 것”이라고 강조했다.▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)김상우"
4,"한국생명공학연구원(원장 김장성)은 오는 7월 3일 대전 본원 본관동 대회의장에서 ‘희귀질환(Orphan Disease) 첨단바이오의약품의 개발 현황 및 전망’을 주제로 한 바이오 이슈 콘퍼런스를 온·오프라인으로 동시에 개최한다고 29일 밝혔다.이 자리에선 첨단바이오의약품에 기반한 희귀질환(Orphan Disease)의 치료제 개발 현황과 전망에 대해 논의가 이뤄진다.또, 오는 8월에 시행되는 ‘첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률(이하 첨생법)’에 입각해 희귀질환 전문가들이 대응과 협력 방안 등을 논의할 예정이다.희귀질환은 환자의 희귀성으로 인해 진단, 치료, 예방과 관련된 연구개발이 어려운 질병을 의미한다. 생명연 희귀난치질환연구센터(센터장 김남순 박사), 줄기세포융합연구센터(생명연 국가아젠다연구부장 정경숙 박사)가 주관하는 정책 세션에서는 Δ희귀질환 정책 및 연구 현황(질병관리본부 안윤진 과장) Δ희귀질환 임상시험 동향 및 활성화 플랫폼 현황(고려대학교 김신곤 교수) Δ유전자치료, 의료의 패러다임 전환(충남대학교 김연수 교수) Δ 국가 신약 연구지원 현황 및 전망(중앙대학교 조사연 교수)에 대해 살펴본다.연구 세션에서는 Δ망막질환 치료를 위한 생체 내 게놈 편집(서울대학교병원 김정훈 교수) Δ배아줄기세포치료제의 임상 개발(에스바이오메딕스 조명수 연구소장) Δ첨단바이오치료제의 비임상 독성 연구(안전성평가연구소 유민희 박사) Δ신경계 희귀질환의 정밀의료 플랫폼기술 개발(생명硏 김남순 센터장)을 주제로 진행된다. 생명연은 이번 콘퍼런스를 통해 치료제가 없었던 희귀질환에 대해 첨단과학기술을 접목하고, 산학연관병 협력 시스템을 구축함으로서 향후 관련 분야의 연구개발 및 상용화를 촉진시켜 미충족 의료 수요에 대응할 수 있을 것으로 기대하고 있다.생명硏 김장성 원장은 “올 8월 첨단재생바이오법이 시행됨에 따라 이번 컨퍼런스가 산학연관병 분야 전문가들이 첨단바이오의약품 기술을 기반으로 해 희귀질환(Orphan Disease)을 극복할 수 있는 새로운 발전 방향을 모색하는 연구교류의 장이 되기를 기대한다”고 말했다.그는 이어 “이번 콘퍼런스를 통해 소외계층의 의료복지를 구현하고, 국민의 의료수요에 적극 대응 할 수 있는 심도 있는 논의가 이뤄 질 수 있기를 바란다”고 당부했다"
5,"제4회 바이오 이슈 컨퍼런스 웹 초청장한국생명공학연구원(원장 김장성)은 내달 3일 대전 본원 본관동 대회의장에서 '희귀질환 첨단바이오의약품 개발 현황 및 전망'을 주제로 바이오 이슈 콘퍼런스를 온·오프라인 동시 개최한다.이번 콘퍼런스에서는 첨단바이오의약품 기반 희귀질환 치료제 개발 현황과 전망에 대해 논의하고, 오는 8월 시행되는 '첨단재생의료 및 첨단바이오의약품 안전 및 지원에 관한 법률(이하 첨단재생바이오법)' 대응과 협력 방안을 논의한다.생명연 희귀난치질환연구센터, 줄기세포융합연구센터가 행사를 주관한다.정책 세션에서는 △희귀질환 정책 및 연구 현황(안윤진 질병관리본부 과장) △희귀질환 임상시험 동향 및 활성화 플랫폼 현황(김신곤 고려대 교수) △유전자치료, 의료의 패러다임 전환(김연수 충남대 교수) 등 발표가 이어진다.연구 세션에서는 △망막질환 치료를 위한 생체 내 게놈 편집(김정훈 서울대병원 교수) △배아줄기세포치료제 임상 개발(조명수 에스바이오메딕스 연구소장) △첨단바이오치료제의 비임상 독성 연구(유민희 안전성평가연구소 박사) 등 발표가 있다.생명연은 이번 콘퍼런스가 첨단과학기술을 접목하고 산·학·연·관·병 협력 시스템을 구축함으로써 향후 관련 분야 연구개발(R&D)과 상용화를 촉진시킬 것으로 기대하고 있다.김장성 원장은 “이번 콘퍼런스가 다양한 분야 전문가들이 첨단바이오의약품 기술을 기반으로 희귀질환을 극복할 수 있는 새로운 발전 방향을 모색하는 연구교류 장이 되기를 기대한다”며 “소외계층 의료복지를 구현하고, 국민 의료수요에 적극 대응 할 수 있는 심도 있는 논의가 이뤄지기 바란다”고 말했다.이번 콘퍼런스는 코로나19 확산 방지를 위해, 7월 2일 오후 6시까지 참가 신청자에 한해 온·오프라인 참여가 가능하다.대전=김영준기자"
6,"한국생명공학연구원이 다음달 3일 대전 본원 대회의장에서 '희귀질환(Orphan Disease) 첨단 바이오의약품의 개발 현황 및 전망'을 주제로 바이오 이슈 컨퍼런스를 개최한다.온·오프라인으로 동시에 진행되는 이번 컨퍼런스에서는 첨단바이오의약품에 기반한 희소질환 치료제 개발의 현재와 미래를 짚어보고 8월 시행을 앞둔 '첨단 재생의료 및 첨단 바이오의약품 안전 및 지원에 관한 법률'과 관련한 희소질환 전문가들의 협력 방안 등을 논의한다.컨퍼런스는 정책세션과 연구세션으로 나뉜다. 정책세션에서는 ▲희귀질환 정책 및 연구 현황(질병관리본부 안윤진 과장) ▲희귀질환 임상시험 동향 및 활성화 플랫폼 현황(고려대학교 김신곤 교수) ▲유전자치료, 의료의 패러다임 전환(충남대학교 김연수 교수) ▲국가 신약 연구지원 현황 및 전망(중앙대학교 조사연 교수) 등을 다룬다.연구세션에서는 ▲망막질환 치료를 위한 생체 내 게놈 편집(서울대학교병원 김정훈 교수) ▲배아줄기세포치료제의 임상 개발(에스바이오메딕스 조명수 연구소장) ▲첨단바이오치료제의 비임상 독성 연구(안전성평가연구소 유민희 박사) ▲신경계 희귀질환의 정밀의료 플랫폼기술 개발(생명연구원 김남순 센터장) 등의 주제발표가 이어진다. 컨퍼런스 참여 희망자는 7월2일까지 인터넷(https://moaform.com/q/nPf8CY)으로 참가신청을 하면 된다.생명연구원은 이번 컨퍼런스를 통해 치료제가 없는 희소질환에 첨단과학기술을 접목하고 산·학·연·관·병 협력 시스템을 구축, 향후 관련 분야의 연구개발이 활성화될 것으로 기대하고 있다.생명연구원 김장성 원장은 ""첨단재생바이오법이 시행을 앞두고 이번 컨퍼런스는 첨단바이오의약품 기술을 기반으로 희귀질환을 극복할 수 있는 새로운 발전 방향을 모색하는 연구교류의 장이 될 것""이라며 ""사각지대 없는 의료복지를 구현하고 국민의 의료수요에 적극 대응 할 수 있는 심도있는 논의가 이뤄지길 바란다""고 밝혔다.☞공감언론 뉴시스"
7,"식품의약품안전처는 바이오의약품 제조 업체, 제약사 등의 서류 조작을 방지하고자 '데이터 완전성 평가지침'을 시행한다고 29일 밝혔다.    이 지침은 바이오의약품 제조 업체가 의약품 제조·품질관리기준(GMP)과 관련한 데이터를 허위·조작·누락하지 않고 완전하게 기록하게 하고자 마련됐다.     지침은 GMP 관련 데이터 관리 범위를 모든 자료로 확대하고, 경영진의 책임 아래 데이터를 관리·운영토록 했다. 또 데이터 완전성에 취약한 시험 항목은 위험평가를 하도록 했다.    특히 품질경영 원칙에 '윤리경영'을 반드시 반영하도록 해 국민건강을 위협하고 관리 당국을 기만하는 서류 조작 사건이 더는 발생하지 않도록 했다.    식약처는 ""모든 바이오의약품 업체가 이 지침을 이행할 수 있도록 행정 지시할 예정""이라며 ""지침에 어긋난 경우에는 데이터 조작 시도로 간주하고 무관용 원칙으로 엄단할 것""이라고 밝혔다.    "
8," 식품의약품안전처(이하 식약처)는 바이오의약품 제조 업체, 제약사 등의 서류 조작을 방지하기 위해 ‘데이터 완전성 평가지침’을 시행한다고 29일 밝혔다.이 지침은 바이오의약품 제조 업체가 의약품 제조·품질관리기준(GMP)과 관련한 데이터를 허위·조작·누락하지 않고 완전하게 기록하게 하고자 마련됐다. 식약처는 GMP 관련 데이터 관리 범위를 모든 자료로 확대하고, 경영진의 책임 아래 데이터를 관리·운영토록 했다. 또 데이터 완전성에 취약한 시험 항목은 위험평가를 하도록 했다. 특히 품질경영 원칙에 ‘윤리경영’을 반드시 반영하도록 해 국민건강을 위협하고 관리 당국을 기만하는 서류 조작 사건이 더는 발생하지 않도록 했다.식약처는 “모든 바이오의약품 업체가 이 지침을 이행할 수 있도록 행정 지시할 예정”이라며 “지침에 어긋난 경우에는 데이터 조작 시도로 간주하고 무관용 원칙으로 엄단하겠다”고 밝혔다"
9,"세금 감면, 허가신청비용 면제 등 혜택연내 임상 1·2a상 시험 착수프레스티지 바이오파마는 항체신약 후보물질 'PBP1510'가 미국 식품의약국(FDA)으로부터 췌장암 치료용 희귀의약품으로 지정받았다고 29일 밝혔다. 췌장암은 췌장 세포에서 발생하는 악성 종양이다. 미국에서 5년 생존율이 9%에 불과하다. 국내에서도 발병률이 꾸준히 증가해 현재 암 발생 순위 8위, 사망률 5위를 차지하고 있다. 발병 시 환자의 10~15%만 수술적 치료가 가능하고, 80% 이상의 대다수 환자는 수술적 치료가 불가능한 상태로 진단된다. 항암제 및 방사선 치료에 대한 반응도 낮은 것으로 알려져 있다. 췌장암은 그동안의 연구에서 '췌관선암 과발현 인자(PAUF)'의 과발현과 관련있다고 밝혀졌다. 췌장암 치료 표적으로서의 PAUF의 유용성 또한 다년간의 연구에 의해 입증됐으나, 현재 PAUF에 대한 표적 분자 치료제는 없는 상황이라고 회사 측은 전했다.  박소연 프레스티지 바이오파마 대표는 ""이번 FDA 희귀의약품 지정은 PBP1510의 개발 및 상용화를 가속화하는 데 매우 중요한 성과""라며 ""항-PAUF 단클론 항체인 PBP1510은 PAUF 양성 췌장암 환자에게 상당한 치료 효과를 보여줄 것으로 기대한다""고 말했다.  프레스티지 바이오파마는 유럽의약품청(EMA)에도 췌장암 치료용 희귀의약품 지정 신청서를 제출했다. 연내 PAUF 양성 췌장암 환자를 대상으로 국내와 유럽에서 임상 1·2a상 시험에 착수할 예정이다. 미 FDA 희귀의약품 지정은 희귀난치성 또는 생명을 위협하는 질병의 치료제 개발 및 허가가 원활히 이뤄질 수 있도록 지원하는 제도다. 희귀의약품으로 지정된 치료제는 세금 감면, 신약 승인 심사비용 면제, 시판 허가 승인 후 7년간 독점권 등의 혜택이 부여된다한민수 한경닷컴 기자"
