,contents
0," 쿠첸이 ‘대한민국 동행세일’에 동참한다고 27일 밝혔다. 이와 관련, 오는 7월 31일까지 특별 프로모션을 진행한다.‘대한민국 동행세일’은 중소벤처기업부를 중심으로 기획재정부, 문화체육관광부 등 6개 부처가 참여하는 행사로 오는 7월 12일까지 열린다. ‘신종 코로나 바이러스 감염증’(코로나19)으로 위축한 소비를 되살리고자 마련했다. 백화점과 대형마트, 가전, 자동차 등 다양한 업계에서 참여한다.쿠첸은 ‘대한민국 동행세일’에 동참해 오는 7월 31일까지 온오프라인 채널에서 특별 프로모션을 실시한다. 먼저 써모가드(Thermo-Guard)를 적용한 밥솥 5종을 롯데하이마트와 이마트 등 오프라인 채널에서 구입하면 최대 15% 할인 혜택을 제공한다. 써모가드는 온기가 새어나가지 않도록 막아주는 센서 보호캡으로 갓 지은 밥맛을 유지하는 데 효과적이다. 센서 주변으로 틈새가 없이 밀폐돼 있기 때문에 청소와 관리도 편하다.또 ‘IR미작’과 ‘IR미작 클린가드’ 등 에너지 소비효율 1등급 밥솥 총 7종을 대상으로 한 할인 이벤트도 진행한다. 소셜커머스와 오픈마켓 등 온라인 채널과 롯데하이마트, 이마트 등 오프라인 채널에서 해당 제품을 최대 30% 할인한 가격에 판매한다.쿠첸 공식 통합사이트 ‘쿠첸닷컴’에서도 할인 이벤트를 진행한다. 일부 밥솥 제품은 최대 60% 할인 혜택을 제공한다. 쿠첸 관계자는 “밥솥 제품을 알뜰하게 구매할 수 있는 기회가 될 것”이라고 말했다.강경래 "
1,"주방가전기업 ㈜쿠첸은 ‘대한민국 동행세일’에 동참해 다음달까지 밥솥을 최대 60% 할인하는 특별 프로모션을 실시한다고 26일 밝혔다. 먼저 쿠첸이 최근 출시한 써모가드(Thermo-Guard) 적용 밥솥을 롯데하이마트, 이마트 등 오프라인 채널에서 구입하면 최대 15%의 할인 혜택을 제공한다. 해당 모델은 CJH-TVE1000SK와 CJH-TLX0600iD 등 총 5종이다. 쿠첸이 국내 최초로 개발한 써모가드는 밥솥의 온기가 새어나가지 않도록 막아주는 센서 보호캡으로, 온기 유출이 적은 만큼 갓 지은 밥맛을 유지한다. 또 센서 주변으로 틈새가 없이 밀폐되어 있기 때문에 청소와 관리도 간편하다. 밥솥인 IR미작(CJR-PK1010RHW), IR미작 클린가드(CJR-PM0610RHW) 등 총 7종의 에너지 소비효율 1등급 밥솥도 할인한다. 소셜커머스, 오픈마켓 등 온라인 채널과 롯데하이마트, 이마트 등 오프라인 채널에서 최대 30% 저렴한 가격에 구매할 수 있다. 쿠첸닷컴은 일부 밥솥 제품을 최대 60% 저렴한 가격에 선보인다. 한편 다음달 12일까지 진행되는 동행세일은 신종 코로나바이러스 감염증(코로나 19)으로 위축된 소비를 되살리고자 마련됐다. 백화점, 대형마트, 가전, 자동차 등 다양한 업계에서 참여한다"
2," 쿠첸은 '대한민국 동행세일'에 동참해 오는 7월 31일까지 특별 프로모션을 실시한다고 26일 밝혔다.'대한민국 동행세일'은 중소벤처기업부를 중심으로 기획재정부, 문화체육관광부 등 6개 부처가 참여하는 행사로 이날부터 7월 12일까지 개최된다. 신종 코로나바이러스 감염증(코로나19)으로 위축된 소비를 되살리고자 마련됐으며 백화점, 대형마트, 가전, 자동차 등 다양한 업계에서 참여한다.쿠첸은 최근 출시한 써모가드 적용 밥솥을 롯데하이마트, 이마트 등 오프라인 채널에서 구입하면 최대 15%의 할인 혜택을 제공한다. 해당 모델은 CJH-TVE1000SK와 CJH-TLX0600iD 등 총 5종이다.쿠첸은 '대한민국 동행세일'에 동참해 오는 7월 31일까지 특별 프로모션을 실시한다. [사진=쿠첸]쿠첸이 국내 최초로 개발한 써모가드는 밥솥의 온기가 새어나가지 않도록 막아주는 센서 보호캡으로 온기 유출이 적은 만큼 갓 지은 밥맛을 유지하는 데 효과적이다. 뿐만 아니라 센서 주변으로 틈새가 없이 밀폐돼 있기 때문에 청소와 관리도 간편하다.IR미작(CJR-PK1010RHW), IR미작 클린가드(CJR-PM0610RHW) 등 총 7종의 에너지 소비효율 1등급 밥솥도 할인이 적용된다. 소셜커머스, 오픈마켓 등 온라인 채널과 롯데하이마트, 이마트 등 오프라인 채널에서 해당 제품을 최대 30% 할인된 가격에 판매한다.쿠첸 공식 통합사이트 '쿠첸닷컴'에서도 특별 할인 이벤트가 진행된다. 일부 밥솥 제품에 대해 최대 60%의 할인 혜택을 제공하며 이벤트 대상 제품은 '쿠첸닷컴'에서 확인 할 수 있다.쿠첸 관계자는 ""소비 진작을 위해 정부에서 실시하는 '대한민국 동행세일'에 동참하고자 특별 프로모션을 실시하게 됐다""며 ""쿠첸 제품을 더욱 알뜰하게 구매할 수 있는 기회이니 많은 관심과 참여 부탁드리며 앞으로도 더욱 풍성한 혜택을 제공할 수 있도록 다양한 프로모션을 진행할 계획""이라고 밝혔다.서민지기자"
3,"중소기업계가 동행세일에 적극 동참하고 있다. 큰폭의 할인행사부터 쿠폰지급까지 다양한 방법이다. 28일 중소기업계에 따르면 한샘은 대한민국 동행세일 기간인 7월12일까지 전국 한샘디자인파크, 한샘인테리어 등에서 가구를 최대 50% 할인한다. 한샘은 코로나19로 인해 침체된 내수 경제를 살리기 위한 대한민국 동행세일의 취지에 공감하고 가구 한정수량 특가세일 등 큰 폭의 할인 행사를 준비했다.매트리스와 침대를 함께 구매하면 침대를 50% 할인 받을 수 있다. 할인 대상 제품은 ▲유로501 ▲유로502 ▲유로503 ▲유로504 ▲유로604 5종이다.베스트 소파 3종도 할인 판매한다. ‘유로601 키안티’ 소파는 최대 50만원 할인하고 ‘바흐702’ 소파와 ‘바흐 703’ 소파는 각각 최대 30만원, 60만원 할인한다.‘유로 601 뉴트럴’ 식탁은 한정수량 500개를 대상으로 최대 27만원 할인한다. 프리미엄 가죽 침대 ‘바흐 801’은 킹(K)사이즈 기준 35개 한정으로 최대 70만원 할인한다. 7월 첫째 주부터는 소파, 식탁 등을 대상으로 한정 수량 할인 행사를 추가로 열 계획이다.쿠첸도 7월31일까지 온오프라인 채널에서 특별 프로모션을 실시하면서 동행세일에 동참한다. 최근 출시한 써모가드 적용 밥솥을 롯데하이마트, 이마트 등 오프라인 채널에서 구입하면 최대 15%의 할인한다. 해당 모델은 CJH-TVE1000SK와 CJH-TLX0600iD 등 총 5종이다. 밥솥인 IR미작(CJR-PK1010RHW), IR미작 클린가드(CJR-PM0610RHW) 등 총 7종의 밥솥을 대상으로 할인 이벤트도 진행한다. 소셜커머스, 오픈마켓 등 온라인 채널과 롯데하이마트, 이마트 등 오프라인 채널에서 해당 제품을 최대 30% 할인된 가격에 판매한다.쿠첸 공식 통합사이트 ‘쿠첸닷컴’에서도 특별 할인 이벤트가 진행된다. 일부 밥솥 제품에 대해 최대 60%의 할인 혜택을 제공한다. 이벤트 대상 제품은 ‘쿠첸닷컴’에서 확인 할 수 있다.홈앤쇼핑은 ‘썸머투게더'할인 행사를 통해 동행세일에 동참한다. 이 행사는 29일 오전 10시부터 14일간 진행된다. 전체 약 3억원 규모의 동행쿠폰 16만장을 지급한다. 행사기간 동안 홈앤쇼핑 모바일 앱에서 매일 아침 10시부터 선착순으로 3만원 이상 구매 시 1000원 할인되는 쿠폰을 1만명에게 지급한다. 또 주말에는 5만원 이상 구매 시 3000원 할인 받을 수 있는 쿠폰을 1만5000명에게 지급한다. 홈앤쇼핑의 대표 프로모션인 10&10 (10%할인, 10%적립)혜택과도 중복 적용이 가능하다. 이외에도 맞춤가발 기업 하이모는 첫 구매 고객에게 30% 할인, 에넥스도  2종의 소파에 적용할 수 있는 20% 할인 쿠폰 지급 등으로 동행세일에 동참한다.☞공감언론 뉴시스"
4,"코로나19로 인한 소비위축과 경기 부진을 타개하고 중소상공인들의 경영난을 덜어주기 위해 기획된 대규모 할인행사 '대한민국 동행세일'이 26일부터 내달 12일까지 진행된다.    전국 주요 백화점과 마트 등 대형 유통업체와 제조업체뿐 아니라 전통시장과 소상공인, 온라인쇼핑몰 등이 대거 참여한 가운데 대규모 할인과 온·오프라인 판촉, 특별현장 행사 등을 통해 전국적인 소비 활성화에 나선다는 계획이다.'대한민국 동행세일 추진계획' 브리핑(서울=연합뉴스) 강성천 중소벤처기업부 차관이 25일 오후 서울 종로구 정부서울청사에서 '대한민국 동행세일 추진계획' 브리핑을 하고 있다.    [중소벤처기업부 제공. 재판매 및 DB 금지]"
5," 내수 경제 회복을 위한 대규모 할인 행사 '대한민국 동행세일'이 오는 26일부터 다음달 12일까지 진행된다. 대형마트와 백화점, 편의점 등 유통업체뿐 아니라 전통 시장과 자동차, 가전 제조업체들도 대거 참여해 전국적인 소비 활성화에 힘을 보탤 계획이다.이마트와 홈플러스, 롯데마트 등 대형마트는 동행세일 시작 하루 전인 이날부터 다음달 1일까지 상품권 증정과 할인 행사 등을 실시한다. 롯데백화점과 신세계백화점, 현대백화점도 행사 기간 동안 코리아 패션마켓을 여는 등 의류와 잡화류를 대폭 할인 판매한다.롯데백화점은 본점, 잠실점, 노원점, 인천터미널점에서 브랜드 의류를 최대 80% 할인한 가격에 선보인다. 특히 동행 세일에 맞춰 신종 코로나바이러스 감염증(코로나19)로 국내 판매가 가능해진 면세점 명품 재고를 노원점과 영등포점 등 8개 점포에서 최대 60% 할인 판매한다.신세계백화점도 패션마켓에서 최대 70% 할인을 제공하고, 강남점에선 다음 달 3일부터 중기 브랜드 30여개의 상품을 소개하는 '동행마켓'을 개최한다. 현대백화점은 패션마켓을 열어 무역센터점·판교점에서 50개 브랜드의 이월상품을 최대 60% 할인된 가격에 선보인다.편의점도 동행 세일에 동참해 내수 경제 회복에 나선다. CU는 다음달까지 맥주와 냉장음료, 아이스크림 등 2100여가지 상품을 대상으로 1+1 등 증정 행사를 실시한다. GS25는 행사 기간동안 용기면과 즉석 식품, 음료, 일회용마스크, 위생용품 등을 저렴한 가격에 판매한다.자동차 및 가전 제조업체들도 대거 행사에 참여한다. 쌍용자동차는 다음달 1~31일 모든 차종을 일시불 혹은 할부로 구매하는 고객에게 할인 혜택을 제공한다. 할인 폭은 3~10% 수준으로 예상되며, 구체적인 판매 조건은 이달 말 확정된다.금호타이어는 온라인 타이어프로를 통해 제휴 타이어를 구매한 고객에게 최대 35%의 할인 혜택을 준다. 한국타이어앤테크놀로지는 룰렛 게임을 통해 타이어 추가 증정·할인 쿠폰과 음료 교환권, 모바일 주유권 등을 지급한다.삼성전자는 으뜸효율 가전제품을 사는 경우 기존의 10% 환급 외 추가 혜택을 증정한다. 또 행사 모델을 구매하는 고객을 대상으로 추첨을 진행해 8K QLED TV, 비스포크 냉장고, 그랑데 AI(인공지능) 건조기 등 경품을 제공한다.LG전자는 올해 상반기 히트 상품으로 구성된 특별전을 열고, 특정 모델을 한정 수량 판매한다. 이밖에 쿠첸은 신제품 밥솥 최대 15% 할인·으뜸효율 밥솥 최대 30% 할인 등을 진행하고, 쿠쿠도 트윈프레셔 마스터셰프 6인용 밥솥을 12% 할인 판매할 예정이다.[신미진 기자"
6,"코로나19로 인한 소비위축과 경기 부진을 타개하고 중소상공인들의 경영난을 덜어주기 위해 기획된 대규모 할인행사 '대한민국 동행세일'이 26일부터 내달 12일까지 진행된다.전국 주요 백화점과 마트 등 대형 유통업체와 제조업체뿐 아니라 전통시장과 소상공인, 온라인쇼핑몰 등이 대거 참여한 가운데 대규모 할인과 온·오프라인 판촉, 특별현장 행사 등을 통해 전국적인 소비 활성화에 나선다는 계획이다.중소벤처기업부는 25일 전국적인 소비 진작을 위해 동행세일 기간 자동차와 타이어 등을 특별 할인한다고 밝혔다.쌍용자동차는 내달 1~31일 모든 차종을 일시불 혹은 할부로 구매하는 고객에게 할인 혜택을 제공한다. 할인 폭은 3~10% 수준으로 예상되며, 구체적인 판매 조건은 6월 말 확정된다.금호타이어는 타이어를 최대 35% 할인하고, 한국타이어앤테크놀로지는 룰렛 게임을 통해 타이어 추가 증정·할인 쿠폰과 음료 교환권, 모바일 주유권 등을 지급한다.대형 가전 업체들도 동행세일을 겨냥해 각종 혜택을 내놨다.삼성전자는 으뜸효율 가전제품을 사는 경우 기존의 10% 환급 외 추가 혜택을 증정하고, 행사 모델을 구매하는 고객을 대상으로 추첨을 진행해 8K QLED TV, 비스포크 냉장고, 그랑데 AI(인공지능) 건조기 등 경품을 제공한다.LG전자는 올해 상반기 히트 상품으로 구성된 특별전을 열고, 특정 모델을 한정 수량 판매한다.또 쿠첸은 신제품 밥솥 최대 15% 할인·으뜸효율 밥솥 최대 30% 할인 등을 진행하고, 쿠쿠도 트윈프레셔 마스터셰프 6인용 밥솥을 12% 할인 판매할 예정이다.천안(경부), 금강(경부)을 비롯한 전국 5개 거점 휴게소에서도 동행세일 판매전이 개최되고, 수협은 전복, 장어 등 주요 인기 품목을 최대 50% 할인하는 등 농·축·수산물 할인도 진행된다.세계적인 축구 스타 박지성은 내달 10~12일 개최되는 서울 코엑스 현장 행사에 브랜드K 홍보대사로 참여해 언택트(비대면) 팬 사인회 등을 열 계획이다.이날 행사에서는 미니 K팝 공연뿐 아니라 최신 유행 제품들을 소개하는 예능 프로그램 ''프리한마켓 10'과 '겟잇뷰티' 공개 방송도 진행되며, 코로나19 극복을 위해 헌신한 의료진과 방역 관계자를 위한 힐링 이벤트도 열린다.동행세일 공식 홍보대사인 NCT 드림은 코로나19 피해 지역의 소상공인 방문, 틱톡 챌린지 참여 등을 통해 본격적인 홍보 활동을 벌일 계획이다.이마트, 이마트 에브리데이, 홈플러스, 롯데마트 등 대형 마트들은 동행세일시작 하루 전인 이날부터 내달 1일까지 상품권 증정, 할인 행사 등을 통해 내수 살리기 대열에 동참한다.또 롯데백화점과 신세계백화점, 현대백화점 등 주요 백화점도 동행세일 기간 협력사 수수료 인하, 중소기업 제품 판매, 특산물 사은품 증정 등으로 내수 경기 회복을 위한 행사에 힘을 보탤 계획이다.특히 이들은 오는 26~28일 산업통상자원부가 주최하고, 한국패션산업협회가 주관하는 코리아 패션마켓을 열어 의류와 잡화를 대폭 할인한다.롯데백화점은 본점, 잠실점, 노원점, 인천터미널점에서 브랜드 의류를 최대 80% 할인한 가격에 선보인다. 온·오프라인을 통해 200억원 규모의 재고 면세품도 푼다.신세계백화점도 패션마켓에서 최대 70% 할인을 제공하고, 강남점에선 다음 달 3일부터 중기 브랜드 30여개의 상품을 소개하는 '동행마켓'을 개최한다.현대백화점은 패션마켓을 열어 무역센터점·판교점에서 50개 브랜드의 이월상품을 최대 60% 할인하고, 목동점·신촌점·충청점에서는 '중소기업 상품 특별전'을 연다.갤러리아백화점도 갤러리아 명품관, 갤러리아 광교, 타임월드 등 전 지점에서 2백여개 브랜드를 10~50% 할인한다.동행세일은 내달 1~19일 특별 여행주간과도 맞물려 전용 교통이용권을 출시하고, 각종 숙박·여행 혜택을 제공할 예정이다.이영호기자"
7,"유통점·제조사·온라인쇼핑몰 등대규모 할인·판촉·특별 현장행사코로나19 극복과 소비 진작을 위해 오는 26일부터 내달 12일까지 '대한민국 동행세일'이 열린다. 사진은 동행세일 홍보대사로 위촉된 '트로트 신동' 정동원.     <중소벤처기업부 제공>코로나19로 타격을 입은 중소상공인을 돕고 소비 진작을 위해 '대한민국 동행세일'이 26일부터 시작된다.부터 내달 12일까지 열린다.전국 주요 백화점, 마트 등 대형 유통점은 물론 자동차·가전 등 제조사, 전통시장과 소상공인, 온라인쇼핑몰 등이 대규모 할인과 온·오프라인 판촉, 특별현장 행사를 연다.중소벤처기업부는 25일 소비 진작을 위한 동행세일이 26일부터 내달 12일까지 열린다고 밝혔다.쌍용자동차는 내달 모든 차종을 일시불 또는 할부로 구매하면 3~10% 할인한다. 삼성전자는 으뜸효율 가전제품을 사는 경우 기존의 10% 환급 외 추가 혜택을 증정하고, 행사 대상 제품을 구매하면 추첨을 통해 8K QLED TV, 비스포크 냉장고, 그랑데 AI(인공지능) 건조기 등 경품을 준다.LG전자는 올해 상반기 히트 상품으로 구성된 특별전을 열고, 특정 모델을 한정 수량 판매한다. 또 쿠첸은 신제품 밥솥 최대 15% 할인·으뜸효율 밥솥 최대 30% 할인 등을 진행하고, 쿠쿠도 트윈프레셔 마스터셰프 6인용 밥솥을 12% 할인 판매한다.천안(경부), 금강(경부)을 비롯한 전국 5개 고속도로 휴게소에서도 동행세일 판매전이 열린다. 수협은 전복, 장어 등 주요 인기 품목을 최대 50% 할인하는 등 농·축·수산물 할인행사도 개최한다.축구 스타 박지성은 내달 10~12일 개최되는 서울 코엑스 현장 행사에 브랜드K 홍보대사로 참여해 언택트 팬 사인회를 연다. 이날 행사에서는 미니 K팝 공연뿐 아니라 최신 유행 제품들을 소개하는 예능 프로그램 '프리한마켓 10'과 '겟잇뷰티' 공개 방송도 진행된다.이마트, 이마트 에브리데이, 홈플러스, 롯데마트 등 대형 마트들은 동행세일 하루 전인 25일부터 내달 1일까지 상품권 증정, 할인 행사 등을 연다. 롯데백화점과 신세계백화점, 현대백화점 등 주요 백화점도 동행세일 기간 협력사 수수료 인하, 중소기업 제품 판매, 특산물 사은품 증정 등에 나선다. 백화점들은 오는 26~28일 산업통상자원부가 주최하고, 한국패션산업협회가 주관하는 코리아 패션마켓을 열어 의류와 잡화를 대폭 할인한다. 롯데백화점은 본점, 잠실점, 노원점, 인천터미널점에서 브랜드 의류를 최대 80% 할인한 가격에 선보인다. 온·오프라인을 통해 200억원 규모의 재고 면세품도 판매한다.신세계백화점도 패션마켓에서 최대 70% 할인을 제공하고, 강남점에선 다음 달 3일부터 중기 브랜드 30여개의 상품을 소개하는 '동행마켓'을 개최한다.  김승룡기자"
8,"'대한민국 동행세일' 26일부터 내달 12일까지중소벤처기업부 홈페이지서 할인 정보 확인유통사 23곳, 온라인쇼핑몰 16곳, 전통시장 600곳 참여'대한민국 동행세일'이 26일부터 내달 12일까지 시행된다. 사진=중소기업부 홈페이지 캡쳐.신종 코로나바이러스 감염증(코로나19) 사태로 위축된 소비를 진작하기 위해 열리는 '대한민국 동행세일'이 내일부터 17일 간 본격적으로 개최된다. 백화점 대형마트 뿐 아니라 이(e)커머스, 전통시장, 면세점까지 대규모 할인 행사가 펼쳐지면서 풍성하고 합리적인 쇼핑을 즐길 수 있는 기회가 될 전망이다.◆백화점, 의류 잡화부터 최대 70% 할인25일 중소벤처기업부에 따르면 한국형 '블랙프라이데이'로 불리는 '대한민국 동행세일'(이하 동행세일)이 26일부터 내달 12일까지 시행된다. 지난달 지급한 긴급재난지원금이 대부분 소진된 상황에서 소비의 불씨를 꺼트리지 않기 위해 정부가 주도적으로 마련한 행사다. 고객의 발길에 목마른 유통업계도 이번 행사에 적극 참여한다. 백화점과 대형마트 등 23개 대형 유통사, 온라인 쇼핑몰 16개사, 전통시장 600여 곳이 참가한다.참가사들은 최대 50~60%에 이르는 할인율을 제공하며 고객 잡기에 나섰다. 해외 명품부터 가전 패션 생활용품 먹거리까지 할인받을 수 있는 상품군도 다양하다. 중소벤처기업부가 오픈한 동행세일 행사 홈페이지를 통해 각종 행사와 할인 정보를 한눈에 알 수 있다.이번 동행세일의 목적은 중소기업의 상품 판매 활성화다. 각종 행사가 중소기업 상품 할인에 초점이 맞춰진 덕에 관련 상품을 가장 저렴하게 살 수 있는 기회가 될 전망이다. 저렴한 가격에 구매는 물론 중소기업까지 도울 수 있는 일석이조의 효과가 기대된다.백화점은 의류 잡화를 중심으로 중기 브랜드 판매 지원에 나선다. 신세계백화점은 패션마켓에서 최대 70% 할인을 제공하고, 강남점에선 내달 3일부터 중기 브랜드 30여개의 상품을 소개하는 '동행마켓'을 개최한다. 현대백화점은 패션마켓을 열어 무역센터점·판교점에서 50개 브랜드의 이월상품을 최대 60% 할인한다. 목동점·신촌점·충청점에서는 '중소기업 상품 특별전'을 연다.26일부터 다음달 2일까지는 31개 패션브랜드가 참여하는 ‘힘내요 대한민국! 코리아패션마켓’이 열린다. 인기 브랜드 제품들이 최대 70%까지 할인 판매된다. 개별 가두점과 백화점 등에서 동시에 진행한다. CJ올리브영은 16개 중소 브랜드가 참여해 130여개 상품을 최대 50%까지 할인 판매하는 '즐거운 동행' 기획전을 진행한다.◆신선식품 저렴하게, 전통시장 행사도사진=뉴스1대형마트에선 신선식품을 대거 세일해 소비자들의 입맛을 저격한다.이마트는 내달 1일까지 농수산물 할인 판매와 상품권 증정 등의 행사를 진행한다. 국산 참외(1.5㎏)을 9980원에 판매하는데 2개를 사면 신세계 상품권 1만원을 증정한다. 표고버섯, 제주 은갈치, 토종민물장어 등을 30% 할인된 가격에 살 수 있다. 롯데마트는 한우, 수입 소고기, 랍스터, 과일 등을 25~40%까지 할인 판매한다. 홈플러스는 국내 우수농가 신선식품을 저렴하게 서보인다. 행사 카드로 결제하면 국내산 삼겹살 등 신선식품을 최대 30% 할인해준다. 제주 돼지 앞다리와 뒷다리, 완도 전복, 손질 오징어, 통영 바다장어, 부산 간고등어, 해동 제주 갈치 등도 할인 판매한다.전국 633개 전통시장에서는 온누리상품권 관련 행사가 진행된다. 전통시장을 방문해 인증하는 ‘옥토끼와 장보기’ 이벤트를 10일 이상 참여한 이들에게 추첨을 통해 온누리상품권 30만원을 지급한다.직접 시장을 방문하지 않아도 먹거리를 살 수 있는 방법도 있다. 우체국전통시장, 온누리전통시장 등 8개 온라인 전통시장관을 이용하면 된다. 총 1210개 점포가 10~40% 할인 판매를 진행한다. 청년상인 제품 100개는 온라인 쇼핑몰 11번가를 통해 20% 할인된 가격으로 판매된다.◆자동차 가전 명품까지 싹 할인비싸서 미뤄뒀던 자동차와 타이어 구매는 어떨까. 쌍용자동차는 다음달 모든 차종을 일시불 혹은 할부로 구매하는 고객에게 할인 혜택을 제공한다. 할인폭은 3~10% 수준으로 예상되며, 구체적인 판매 조건은 이달 말 확정된다.쌍용자동차는 다음달 모든 차종을 일시불 혹은 할부로 구매하는 고객에게 할인 혜택을 제공한다. 사진=연합뉴스.금호타이어는 타이어를 최대 35% 할인하고, 한국타이어앤테크놀로지는 룰렛 게임을 통해 타이어 추가 증정·할인 쿠폰과 음료 교환권, 모바일 주유권 등을 지급한다.대형 가전 업체들도 동행세일을 겨냥해 각종 세일을 진행한다. 삼성전자는 으뜸효율 가전제품을 사는 경우 기존의 10% 환급 외 추가 혜택을 증정한다. 행사 모델을 구매하는 고객에겐 추첨을 통해 8K QLED TV, 비스포크 냉장고, 그랑데 AI(인공지능) 건조기 등 경품을 제공한다.LG전자는 상반기 히트 상품으로 구성된 특별전을 연다. 쿠첸은 신제품 밥솥은 최대 15%, 으뜸효율 밥솥은 최대 30% 할인을 진행한다. 쿠쿠도 트윈프레셔 마스터셰프 6인용 밥솥을 12% 할인 판매할 예정이다.면세품도 득템할 기회가 열린다. 동행세일 기간 온라인 쇼핑몰에서 최대 60% 할인된 가격에 발렌시아가 펜디 클로에 등의 명품을 구입할 수 있다. 각 업체마다 각 100억~200억원어치 물량을 확보해놨다.롯데면세점은 100억원 규모의 재고 면세품을 롯데백화점과 아울렛에서도 살 수 있도록 했다. 면세품은 26일부터 백화점 노원점, 영등포점, 대전점, 프리미엄 아울렛 파주점, 기흥점, 김해점, 아울렛 광주수완점, 대구 이시아폴리스점 등 8개점에서 살 수 있다.롯데면세점 면세 물량은 롯데온에서도 구입할 수 있다. 앞서 판매된 100억원 규모의 1차 판매가 하루 동안만 70% 이상 판매가 소진된 바 있다. 롯데온 측은 내달 2차 판매를 진행할 예정이다.신세계면세점도 3차 재고 판매를 계획 중이다. 신세계 면세점은 지난 22일 신세계인터내셔날 온라인몰인 에스아이빌리지를 통해 재고 면세품을 판매했으며 서버 마비를 겪는 등 큰 관심을 받았다. 이후 2차 판매에서도 전체 물량의 90%가 판매됐다.다만 관심을 모았던 이날 신라면세점의 재고 면세품 판매는 돌연 연기됐다. 신라면세점은 당초 이날 오전 10시 재고 면세품 판매를 시작할 예정이었다. 행사 시작 시간은 오후 2시 전 재공지될 예정이다.채선희 한경닷컴 기자"
9,"의류 최대 80% 할인‘대한민국 동행세일’이 26일부터 내달 12일까지 시작된다. 전국 전통시장과 소상공인뿐 아니라 주요 백화점, 마트 등 대형 유통업체들도 대거 참여한다. 신종 코로나바이러스 감염증(코로나19)으로 인한 소비위축을 타개하기 위한 대규모 할인 행사를 벌인다. 전국 633개 전통시장과 상점가는 경품 이벤트, 문화공연, 장보기 체험 등 오프라인 판촉 행사를 열고, 온누리 상품권을 이용한 20% 페이백 등의 혜택을 제공한다. 농·축·수산업계에서도 달걀 관련 단체가 현장 판매를 진행하고 수협이 전복, 장어 등 주요 인기 품목을 최대 50% 할인한다.이마트, 이마트 에브리데이, 홈플러스, 롯데마트 등 대형 마트들은 내달 1일까지 상품권 증정, 할인 행사 등을 벌인다. 롯데와 신세계, 현대 등 주요 백화점도 동행세일 기간 협력사 수수료 인하, 중소기업 제품 판매, 특산물 사은품 증정 등을 계획했다.특히 오는 26~28일 산업통상자원부가 주최하고, 한국패션산업협회가 주관하는 코리아 패션마켓이 열려 브랜드 의류를 최대 80% 할인한다.온라인에서는 G마켓, 쿠팡, 11번가 등 16개 온라인 쇼핑몰이 중소기업과 소상공인 제품을 중심으로 기획전을 열어 최대 30~40% 할인을 진행한다. 내달 1~19일 특별 여행주간과 맞물려 전용 교통이용권과 숙박·여행 혜택이 있을 예정이다.김동우 기자"
