,contents
0, 창원대 메카트로닉스연구원 설상석 연구교수[김병찬 기자(=경남)
1,"홍석준 미래통합당 의원(대구 달서갑)은 25일 국내 국방 소재산업을 보호하고 육성하기 위한 ‘방위사업법 일부개정법률안’을 대표발의 했다.   홍 의원은 “국가 간 무역이 활발한 섬유업종의 경우 코로나19 사태로 글로벌 공급망이 무너진 상태에서 국내산업 공동화 방지 정책이 시급한 상황”이라며 “대한민국 경제 활성화와 국방 소재산업을 보호하고 육성하기 위한 관련법 개정이 필요하다”고 설명했다.   그에 따르면, 현행 방위사업법은 제19조에서 방위사업청장으로 하여금 국내에서 생산된 군수품을 우선적으로 구매하도록 하고 있다. 이는 국가안보와 직결되는 방위산업의 특수성을 고려하여 국내 방위산업을 보호 및 육성하기 위한 목적이다.   그런데, 현행법은 국내에서 생산된 군수품의 소재에 대한 규정이 없다. 이 때문에 외국 소재를 사용했음에도 국내에서 최종 생산되었다는 이유로 우선 구매되고 있다. 그 결과 값싼 수입산 소재가 군수품에 사용되면서 국방 소재 시장을 수입산이 장악하고 있다는 비판이 제기되고 있다.   홍 의원은 “유사시 군수품 생산에 필요한 소재의 안정적 수급을 위해 최종 생산품 뿐만 아니라 국방 소재 생산과 관련한 국내 산업을 보호하고 육성하는 것도 국방전력 유지의 필수적인 요소이다”라고 강조했다.   그는 또 “군수품 중 군복 등 전력지원체계의 경우 국산 소재를 사용하여 국내에서 생산된 물품을 우선적으로 구매하도록 하여 안정적 군수품 생산과 국방전력 유지의 중요한 기반이라고 할 수 있는 국방 소재 산업을 보호하고 육성함으로써 자주국방, 군인복지증진에 기여할 것이다”라고 의미를 설명했다.   홍 의원이 대표발의 한 방위사업법 개정안은 무기체계를 제외한 군복과 같은 군수품의 경우 국산 소재를 사용하여 국내에서 생산된 물품을 우선적으로 구매하도록 규정하고 있다.   아울러 홍 의원은 “오늘은 6.25전쟁 70주년이 되는 날이다. 우리나라를 지키고자 희생과 헌신한 분들에 대해 경의를 표한다”고 덧붙였다.   "
2,   
3,"사진=연합뉴스북한의 도발 위협이라는 공포를 먹고 커진 종목이 있다. 방산업체인 빅텍이다. 주가 급등으로 지난달 말 1200억원대였던 시가총액이 지난 19일 3200억원대로 불었다. 하지만 실제 이 회사의 실적을 좌지우지할 방산업체의 주가는 요지부동인데 반해 빅텍에만 매수세가 몰리면서 '기획 부양' 의혹을 받고 있다.  이 회사 주가는 지난 19일 전날과 같은 1만1650원에 거래를 마쳤다. 이날 장중 전일 대비 27.4% 오른 1만4850원까지 치솟았다가 1만700원까지 떨어지며 하루에 35% 넘는 변동폭을 보였다. 빅텍은 지난 4일 북한의 김여정 제1부부장이 우리 정부를 비판하면서 남북연락사무소 폐지를 언급할 때만 해도 별 다른 주가 흐름을 보이지 않았다.그러다 김여정이 남북간 연락망 차단 지시를 내린 다음날인 9일 전일 대비 18.93% 급등했다. 이때부터 개인 투자자들의 관심을 받으며 15일, 17일, 18일 3거래일은 상한가를 쳤다. 8일 이후 19일 장중 최고가까지 주가 상승률은 244.94%에 이른다. 이 기간 개인은 빅텍을 5억2263만3193주 사고, 5억2201만5312주 팔며 35억원어치 순매수했다.  북한과의 긴장이 커질 때마다 방산주들은 급등과 급락을 반복해왔다. 하지만 북한의 위협이 빅텍 실적 개선세로 이어진 사례는 전무했던 것으로 나타났다. 3월에는 천안함 피격사건, 10월에는 연평도 포격사건이 벌어진 2010년에도 빅텍의 영업이익은 30억원으로 전년(52억원)보다 오히려 42.3% 줄었다. 이듬해에는 35억원의 영업손실을 냈다. 올 1분기에는 매출 117억원, 영업이익 3억원을 기록해 작년 동기 대비 부진했다.  특히 이번 급락에는 과거와 달리 한화시스템, 한화에어로스페이스, LIG넥스원 등 주요 방산주 주가가 별 다른 흐름을 보이지 않았다. 이들 업체는 빅텍 실적을 좌우하는 주요 거래처로, 과거 방산주가 뜰 때마다 상승세를 나타냈던 종목들이다. 지난해 빅텍 매출의 64%를 차지한 전자전 방향탐지장치는 방위사업청과 LIG넥스원에 주로 공급하는 제품이다. 매출의 24%를 차지하는 전원공급장치와 피아식별장치는 한화시스템과 LIG넥스원에 공급한다. 매출의 7%인 전술정보통신체계는 한화시스템에 주로 공급한다. 올해도 1분기까지 매출 비중은 크게 변하지 않았다.  발주를 하는 밸류체인 상단 업체 주가는 요지부동인데, 하단 업체 주가만 급등했다는 얘기다. 일부 세력이 초반에 빅텍 주가를 의도적으로 부양한 뒤 개인투자자들에게 폭탄돌리기를 하고 있다는 지적이 증권업계에서 나오는 배경이다. 실제로 소위 '리딩방'으로 불리는 주식 커뮤니티에서는 빅텍 매수를 부추기는 글이나 조언이 북한과의 긴장이 높아진 직후 쏟아졌다.  고윤상 기자"
4,"        ▲  18일 오전 경남도청에서 열린 ‘방산혁신클러스터 구축을 위한 업무협약 체결식’.            ⓒ 경남도청 최종수   방위사업청(청장 왕정홍)과 경상남도(도지사 김경수), 창원시(시장 허성무)가 방산혁신클러스터 구축을 위해 손을 잡았다. 18일 오전 경남도청에서 '방산혁신클러스터 구축을 위한 업무협약 체결식'이 열렸다. 이날 협약식에는 최평규 한국방위산업진흥회장(S&T 그룹 회장), 이재현 창원대 부총장, 강재관 경남대 부총장, 최규하 전기연구원 원장, 이정환 재료연구소 소장, 이기중 육군종합정비창장 등이 함께 했다. 방위사업청과 경남도, 창원시가 방위산업 지역 생태계의 중심축인 '방산혁신클러스터'를 구축하기 위해 협약을 맺었다. 이 시범사업에는 5년간 정부 210억 원, 지자체 240억 원 등 총 450억 원이 투입된다. 이번 협약에는 지역 중심 방위산업 발전을 이끌 협치로 산.학.연.군 대표로 구성된 지역협의체를 운영하고, '경남.창원 방산클러스터 사업단'을 경상남도 경제부지사 직속으로 설치하여 실질적인 사업을 추진한다. 이 사업을 효율적으로 추진하기 위해 2022년까지 사업비 150억원으로 지하 1층, 지상 4층 규모의 '경남창원방산혁신지원센터'가 건립된다. 방위사업청, 경남도, 창원시는 지역 체계기업과 협력하여 무기체계의 소재.부품에 대한 국내 개발의 새로운 수요를 창출하고, 이를 지역 중소.벤처기업이 생산토록 지원한다. 방위사업청에서는 이 사업과 함께 중소벤처기업 창업 지원에 50억원을 투입하여 25개사 창업 목표로 아이템 발굴부터 사업화까지 전주기 기술창업을 지원한다. 협약식에서 왕정홍 청장은 ""방산혁신클러스터가 국가 균형 발전의 촉매제 역할을 할 수 있도록, 방위사업청의 대표사업으로 만들어 방산-민수 분야를 아우르는 상생 사이클을 만들겠다""라고 했다. 그는 ""경남.창원지역 방산혁신클러스터 사업의 성공을 계기로 향후 다른 지역으로 방산혁신클러스터 사업이 확장되고, 클러스터 간 시너지 효과를 발휘해 지역경제에 실질적인 도움이 되도록 노력 하겠다""라고 밝혔다. 김경수 지사는 ""방산혁신클러스터를 기점으로 기간산업 소재․부품․장비의 국산화가 획기적으로 제고되길 기대한다""며 ""스마트산단 선도 프로젝트를 진행중인 창원국가산단의 제조업 혁신과 함께 시너지를 내 세계 7위인 우리 방위산업이 5대 강국으로 도약할 수 있도록 지원하겠다""고 말했다.              ▲  18일 오전 경남도청에서 열린 ‘방산혁신클러스터 구축을 위한 업무협약 체결식’.            ⓒ 경남도청 최종수                 ▲  18일 오전 경남도청에서 열린 ‘방산혁신클러스터 구축을 위한 업무협약 체결식’.            ⓒ 경남도청 최종수  저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지"
5,"“5년간 450억 투입” 업무협약방위사업청과 경남도, 창원시는 18일 경남도청에서 ‘방산혁신클러스터’ 구축을 위한 업무협약을 체결했다. 경남도 제공경남 창원에 방위산업 지역생태계의 중심축인 ‘방산혁신클러스터’가 조성된다.방위사업청과 경남도, 창원시는 18일 경남도청 중회의실에서 방산혁신클러스터 구축을 위한 업무협약을 체결했다. 이 사업에는 5년간 총 450억 원(정부 210억 원, 지자체 240억 원)이 투입된다. 이날 협약에 따라 산·학·연·군 대표로 구성된 지역협의체를 운영하고, ‘경남·창원 방산혁신클러스터 사업단’을 경남도 경제부지사 직속으로 설치해 사업을 추진한다.이 사업을 효율적으로 추진하기 위해 오는 2022년까지 150억 원을 들여 지하 1층 지상 4층 규모의 ‘경남창원방산혁신지원센터’가 건립된다. 방산 부품 개발·생산에 큰 어려움으로 작용하는 시험평가 지원을 위해 96억 원을 투자해 고진동 복합진동시험기 등 국산화 시험 장비도 클러스터 내에 구축된다. 국방과학연구소·국방기술품질원 등 시험평가 분석 전문기관을 통해 시험 결과에 대한 해석과 개선 방안 등을 제시해 방산 부품 국내 개발의 품질 향상도 지원한다.협약 기관들은 지역 방산기업과 협력해 무기체계 소재·부품에 대한 국내 개발 수요를 창출하고, 이를 지역 중소·벤처기업이 생산하도록 지원할 방침이다. 협약 이후 공모를 통해 대학·연구소·기업 협력체 형태로 방산 부품 국산화연구실을 운영할 대학을 선정해 5년간 50억 원을 지원한다.선정된 대학은 방산 관련 교육과정을 개설하고, 방위산업 부품의 선제적 개발과 연구를 수행한다. 기업 지원을 강화하기 위해 기업지원 사업 초기 단계부터 사후관리까지 행정절차를 현장에서 밀착 지원한다. 방위사업청은 이 사업과 함께 중소벤처기업 창업 지원에 50억 원을 투입해 25개 기업 창업을 목표로 아이템 발굴부터 사업화까지 전 주기 기술창업을 지원한다.왕정홍 방위사업청장은 “방산혁신클러스터가 국가 균형 발전의 촉매제 역할을 할 수 있도록 방위사업청의 대표사업으로 만들어 방산-민수 분야를 아우르는 상생 사이클로 키워겠다. 경남·창원지역 방산혁신클러스터 사업의 성공을 계기로 향후 다른 지역으로 방산혁신클러스터 사업이 확장되고, 클러스터 간 시너지 효과를 발휘해 지역경제에 도움이 되도록 노력하겠다”고 말했다.김길수 기자"
6,"허성무 시장, 성공스토리 3대 발전전략 발표해 눈길[석동재 기자"
7," [방산분야 국산화, 기업 동반성장 방위산업 생태계 조성]김경수 경남지사(앞줄 왼쪽에서 여섯 번째)와 허성무 창원시장(앞줄 왼쪽에서 일곱 번째)이 18일 방산혁신클러스터 구축 협약을 하고 파이팅을 외치고 있다./사진제공=경남도경남도와 창원시, 방위사업청이 18일 경남도청에서 방산혁신클러스터 구축을 위한 업무협약을 체결했다.이번 협약식은 방위사업청과 경남도, 창원시가 방위산업 지역 생태계의 중심축인 방산혁신클러스터를 구축하기 위한 것으로 5년간 450억원을 투입한다.지역 중심 방위산업 발전을 이끌 거버넌스로 산·학·연·군 대표로 구성된 지역협의체를 운영하고 ‘경남·창원 방산클러스터 사업단’을 경남도 경제부지사 직속으로 설치해 사업을 추진한다.2022년까지 사업비 150억원으로 지하1층 지상4층 규모의 ‘경남창원방산혁신지원센터’를 건립하고 시험평가 지원을 위해 96억원을 들여 클러스터 내에 고진동 복합진동시험기 등 국산화 시험장비를 구축한다.국방과학연구소·국방기술품질원 등 시험평가 분석 전문기관을 통해 시험결과에 대한 해석과 개선 방안 등을 제시해 방산부품 국내 개발의 품질 향상도 병행 지원한다.경남도, 창원시, 방위사업청은 지역 체계기업과 협력해 무기체계의 소재·부품에 대한 국내 개발의 새로운 수요를 창출하고 이를 지역 중소·벤처기업이 생산하도록 지원한다.특히 협약 후 공모를 통해 대학·연구소·기업 협력체 형태로 방산부품 국산화연구실을 운영할 대학을 선정해 5년간 50억원을 지원한다. 선정된 대학은 방산 관련 교육과정을 개설하고 방위산업 부품의 선제적 개발 및 실증연구를 할 예정이다.기업 지원을 강화하기 위해 기업지원 사업 초기단계부터 사후관리까지 행정절차를 현장에서 밀착 지원한다. ‘방산콜 지원팀’을 운영해 기업 애로사항을 원스톱으로 해결하고 방위산업 통합지원 창구 역할을 하도록 할 방침이다.수출경쟁력 강화를 위해 신남방‧신북방의 투트랙을 활용한 해외수출 지원, 스마트공장 보급 지원 등 사업을 통해 방산 중소기업의 성장을 지원한다.방위사업청은 이 사업과 함께 중소벤처기업 창업 지원에 50억원을 투입해 25개사 창업 목표로 아이템 발굴부터 사업화까지 전주기 기술창업을 지원한다.김경수 경남지사는 “방산혁신클러스터를 기점으로 소재·부품·장비의 국산화가 획기적으로 제고되길 기대한다”며 “스마트산단 선도 프로젝트를 진행 중인 창원국가산단의 제조업 혁신과 함께 시너지를 내 우리 방위산업이 5대 강국으로 도약할 수 있도록 지원하겠다”고 말했다.허성무 창원시장은 “변화를 뛰어넘는 성공스토리가 필요하다”고 강조하고 ‘방산혁신클러스터의 성공스토리 3대 발전전략’을 제안했다.경남=노수윤 기자"
8,"70년대 국내 기계산업 이끈입주사 2603개의 창원산단현 고용인원 12만명에 달해4600억 투입해 재생사업 실시연구소 등 유치, 체질개선 예정위기극복 위해 임대료도 감면  창원국가산업단지는 한국기계공업의 요람이다. 1970년대 중화학공업 육성정책에 따라 기계산업을 대표하는 산업단지로 성장했다. 현재 입주기업은 2600여개사에 이르고 이중 기계업종이 약 60%, 전기전자 업종이 약 20%를 차지한다.   창원산단 관리면적은 2530만200㎡다. 지난해 기준 가동업체는 2603개사다. 이중 대기업은 두산중공업, LG전자, 효성 등 44개사로 전체 생산의 78%를 차지한다. 방위산업 지정업체는 19개사다. 나머지는 기계산업과 밀접한 소재·부품·장비를 다루는 중소기업이 다수다.   지난해 기준 창원산단 생산액은 39조1960억원, 수출규모는 95억970만달러에 달했다. 창원산단이 고용한 인원은 12만3531명이다.   창원산단은 산·학·연을 위한 우수한 자원을 보유하고 있다. 한국전기연구원, 재료연구소, 국방기술품질원 등 연구기관이 위치했다. 인근에 창원대, 폴리텍Ⅶ 등 7개교, 산학융합지구 등 교육기관도 있다. LG전자㈜ 등 250개 기업부설연구소도 있다.   산단공 관계자는 ""업종 제한으로 입주하지 못했던 첨단기계 및 융복합소재산업, 철도차량 R&D, 정보 서비스, 전자부품, 연구개발업 등을 유치해 첨단산업단지로 바꿔나갈 예정이다""고 말했다.   한편 한국산업단지공단은 코로나19로 어려움을 겪는 중소기업 및 소상공인 지원에도 적극 나서고 있다.   지난 3월부터 6개월간 산단공이 보유한 산단공 지원시설, 지식산업센터, 토지에 대한 월 임대료를 30% 인하하기로 했다. 산업통상자원부 산하 기관으로선 최초로 착한 임대인 운동에 동참한 것이다. 이에 따라 산단공이 보유한 전국 41개 시설에 입주한 700여개 회사는 임대료 인하 혜택을 받게 됐다. 산단공에 따르면 6개월간 중소기업이 받게 되는 임대료 감면 효과는 18억원 규모에 달한다. "
9,"▲ 고용노동부와 한국산업인력공단은 울산 더엠컨벤션에서 국가인적자원개발컨소시엄(이하 컨소시엄) 최우수 공동훈련센터 시상식을 열었다고 16일 밝혔다.    시상식에서는 지난해 성과평가를 통해 최우수 훈련기관으로 선정된 공동훈련센터를 격려하고 우수사례를 공유했다.    최우수 공동훈련센터로는 현대로템, 경북창조경제혁신센터, 한국국토정보공사, LG전자, 한국지능형사물인터넷협회, 포스코, 이영산업기계, 인천테크노파크, 삼성SDI, 한국전기기술인협회, 한국지능형교통체계협회, 한국선급, 한국수력원자력, 르노삼성자동차, 한국방위산업진흥회, 국가임상시험지원재단, 한국스마트그리드협회, 쌍용자동차, 코오롱인더스트리, 현대미포조선, 현대중공업, 부산대학교 등 총 22개사가 선정됐다.    첫 번째 우수사례 공유 발표를 맡은 현대로템은 교육 품질 2.0 프로젝트와 토탈케어 패키지 시스템을 통해 대·중·소 기업 상생협력을 위한 직업훈련 시스템 개선과 훈련관리방안을 공유했다.    이어 한국국토정보공사는 정부의 전략산업 인재육성 계획을 기반으로 공간정보와 융복합 인공지능, 빅데이터 등을 통한 협약기업 취업률 92％ 달성 사례를 발표했다.    김동만 한국산업인력공단 이사장은 ""최우수 센터들이 정부의 직업훈련 확대에 적극적인 역할을 수행하길 당부한다""고 말했다.    김민석 고용노동부 직업능력정책국장은 ""공동훈련센터를 중심으로 유·무급 휴직자 대상 고용유지와 연계 직업훈련 지원이 필요하다""며 ""공동훈련센터는 중소협력사 재직자 대상 재택 근로, 디지털 융합훈련 등 K-디지털 시대에 부응하는 공유훈련 인프라를 확보·수행해야 한다""고 밝혔다.    컨소시엄 직업훈련은 공동훈련센터가 운영하고 정부가 지원하는 중소기업 수요 맞춤형 직업능력개발사업으로, 이달 기준 139개소 공동훈련센터가 사업에 참여하고 있으며, 올해 16만여명에게 2천845개 훈련과정을 지원할 예정이다.    올해 중소기업(협약기업) 직무분석을 바탕으로 한 맞춤형 훈련 설계를 목표로 포스코 등 31개 훈련기관(이달 기준)을 기업 수요 맞춤형 공동훈련센터로 선정하고, 전문 훈련과정을 추가 운영할 계획이다. (연합뉴스)"
