,contents
0,"편의점 CU가 내달 2일부터 전국 점포에서 '방탄소년단 2020 티머니카드'를 한정 판매한다고 밝혔다. /BGF리테일 제공내달 2일부터 판매 시작…전국 15만 장 한정[더팩트｜이민주 기자] 편의점 CU가 지난해에 이어 올해도 방탄소년단 티머니카드를 출시한다.26일 CU 운영사 BGF리테일은 내달 2일 '방탄소년단 2020 티머니카드'를 단독 판매한다고 밝혔다.판매 수량은 15만 장이며, 가격은 장당 5000원이다. 전국 CU 매장에서 만나볼 수 있다.올해 출시되는 '방탄소년단 2020 티머니카드'는 방탄소년단 정규 4집 앨범 'MAP OF THE SOUL :7'를 콘셉트로 제작됐다. 각 카드에는 정장을 입은 RM, 진, 슈가, 제이홉, 지민, 뷔, 정국 등 모든 멤버들의 사진이 담겼다.해당 카드로 전국 CU에서 상품을 구매하면 CU 멤버십 포인트 2%가 자동으로 적립되며, 티머니 홈페이지에 카드를 등록할 시 T마일리지도 별도로 적립 받을 수 있다.방탄소년단 2020 티머니카드 가격은 장당 5000원이며, 판매 수량은 15만 장이다. /티머니 공식 SNS 캡처과거에도 다양한 콘셉트의 방탄소년단 티머니 카드를 선보인 바 있는 CU는 올해 상품 역시 인기를 끌 것으로 예상하고 있다.CU는 지난 2017년 '방탄소년단 CU플러스티머니카드' 출시를 시작으로 'BTS 투명 카드', 'BTS 투명 일러스트 카드' 등을 출시했다.이에 힘입어 교통카드 매출 신장률도 매년 두 자릿수를 유지하고 있다. 지난 2017년 CU 교통카드 매출은 전년 대비 32.2% 늘었으며, 2018년 18.4%, 2019년 13.7% 신장했다.CU 측은 ""방탄소년단 티머니카드는 10~20대 고객들을 중심으로 소장 욕구를 불러일으키며 출시마다 품귀현상이 빚어질 만큼 큰 인기를 끌었다""고 말했다.김일두 BGF리테일 생활용품팀 MD는 ""방탄소년단 티머니카드는 개성 있는 디자인과 높은실용성 덕분에 출시마다 온·오프라인에서 화제가 되는 상품""이라며 ""앞으로도 CU는고객들에게 차별화된 가치와 재미를 전달할 수 있는 상품들을 지속적으로 선보일 것""이라고 설명했다.minju@tf.co.kr- 더팩트 뮤직어워즈는 언제? [알림받기▶]  - 내 아이돌 응원하기 [팬앤스타▶]  저작권자 ⓒ 특종에 강한 더팩트 & tf.co.kr 무단 전재 및 재배포 금지"
1,"글로벌 슈퍼스타 방탄소년단이 올해도 티머니에 쏙 담겼다.   CU는 ‘방탄소년단 2020 티머니카드(5000원)’를 다음달 2일 단독 판매한다.   CU는 ㈜티머니와 손잡고 2017년 ‘방탄소년단 CU플러스티머니카드’ 출시를 시작으로 ‘BTS 투명 카드’, ‘BTS 투명 일러스트 카드’ 등 다양한 콘셉트의 방탄소년단 티머니카드를 선보여왔다.   방탄소년단 티머니카드는 10~20대 고객들을 중심으로 소장 욕구를 불러일으키며 출시 마다 품귀현상이 빚어질 만큼 큰 인기를 끌었다.   올해 출시되는 방탄소년단 2020 티머니카드는 방탄소년단 정규4집 ‘MAP OF THE SOUL : 7’의 콘셉트 포토로, 정장을 입은 RM, 진, 슈가, 제이홉, 지민, 뷔, 정국 등 모든 멤버들의 사진이 각각 디자인됐다. 해당 상품은 전국 CU에서 15만 장 한정 수량으로 판매된다.   해당 카드로 전국 CU에서 상품을 구매하면 CU멤버십 포인트 2%가 자동으로 적립되며, 티머니 홈페이지에 카드를 등록 시 T마일리지도 별도로 적립 받을 수 있다.   BGF리테일 생활용품팀 김일두 MD는 ”방탄소년단 티머니카드는 개성 있는 디자인과 높은 실용성 덕분에 출시 마다 온오프라인에서 화제가 되는 상품”이라며 “앞으로도 CU는 고객들에게 차별화된 가치와 재미를 전달할 수 있는 상품들을 지속적으로 선보일 것”이라고 말했다.   한편, CU 교통카드 매출 신장률은 전년 대비 2017년 32.2%, 2018년 18.4%에 이어 지난해에도 13.7% 신장했다.  padet80@fnnews.com 박신영 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
2,"정규 4집 콘셉트 앨범으로 디자인…내달 2일 전국 판매방탄소년단 2020 한정판 티머니카드(BGF리테일 제공)© 뉴스1(서울=뉴스1) 최동현 기자 = 글로벌 아이돌그룹 '방탄소년단'(BTS)의 한정판 티머니카드가 다음 달 2일 출시된다.편의점 CU는 26일 '방탄소년단 2020 티머니카드'를 단독 판매한다고 밝혔다. 지난 2017년 최초로 선보인 '방탄소년단 CU플러스티머니카드' 이후 4번째 한정판이다.올해 BTS 티머니카드는 정규4집 'MAP OF THE SOUL : 7' 앨범에 들어간 콘셉트 포토로 디자인됐다. 각 카드에는 정장을 입은 RM, 진, 슈가, 제이홉, 지민, 뷔, 정국 등 방탄소년단 멤버의 단독 사진이 들어갔다.이번 한정판 티머니카드는 전국 CU에서 단 15만장만 풀린다. BTS 티머니카드는 3년 내리 출시되자마자 품절되는 '완판 신화'를 이어가고 있다.실용성도 있다. BTS 한정판 카드로 전국 CU에서 상품을 구매하면 CU멤버십 포인트 2%가 자동으로 적립된다. 티머니 홈페이지에 카드를 등록하면 T마일리지도 적립 받을 수 있다.BGF리테일 관계자는 ""방탄소년단 티머니카드는 개성 있는 디자인과 실용성 덕분에 출시마다 온·오프라인에서 화제가 되는 상품""이라며 ""앞으로도 고객에게 차별화된 가치와 재미를 전달하는 상품을 지속적으로 선보일 것""이라고 말했다.dongchoi89@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
3,"[서울=뉴시스] 최지윤 기자 = 롯데칠성음료는 '칠성사이다 복숭아·청귤 BTS 스페셜 에디션'을 선보인다고 26일 알렸다. 청량감과 맑고 깨끗한 브랜드 정체성은 유지하면서 국내산 과일 풍미를 더했다. QR코드로 접속할 수 있는 '칠성사이다 MAP' 사이트도 오픈한다. 소비자들이 제품 라벨의 QR코드를 찍어 방탄소년단 멤버별 제품의 위치를 공유·확인할 수 있는 공간이다.이 사이트에서 방탄소년단 미공개 광고과 메이킹 영상도 최초 공개한다. 다음달 7일부터 13일까지 총 7일간 매일 오후 7시7분에 순차적으로 공개될 예정이다.☞공감언론 뉴시스 plain@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
4,"[아시아경제 이선애 기자] 롯데칠성음료가 ‘방탄소년단’ 멤버의 이미지를 담은 ‘칠성사이다 복숭아?청귤 BTS 스페셜 에디션’을 선보인다고 26일 밝혔다.BTS 스페셜 에디션은 칠성사이다만의 짜릿한 청량감과 맑고 깨끗한 브랜드 정체성은 유지하면서 국내산 과일 풍미를 더해 색다른 맛으로 선보인 신제품 청귤 및 복숭아의 붐업 조성을 위해 기획되었다. 방탄소년단 멤버 7명의 모습이 담긴 패키지 디자인과 함께 칠성사이다만의 청량감을 한층 더 했다.롯데칠성음료는 BTS 스페셜 에디션 출시에 맞춰 QR코드로 접속할 수 있는 ‘칠성사이다 MAP’ 사이트를 오픈한다. 해당 사이트는 사용자의 위치기반 서비스를 활용해 방탄소년단 멤버 별 제품의 위치를 소비자들이 제품 라벨의 QR코드를 찍어 직접 공유 및 확인할 수 있는 공간으로 활용된다.롯데칠성음료는 해당 사이트를 통해 방탄소년단 미공개 광고 영상을 최초 공개한다. 멤버 별 미공개 광고 영상 및 메이킹 영상은 오는 7월7일부터 13일까지 총 7일간 매일 오후 7시 7분에 순차적으로 공개될 예정이다.롯데칠성음료 관계자는 “이번에 선보이는 BTS 스페셜 패키지 출시와 함께 앞으로 젊은층의 눈높이에 맞춰 소통하고 호흡할 수 있는 다양한 이벤트를 진행해 나갈 예정”이라며 “방탄소년단과 함께 더욱 상큼해진 칠성사이다에 많은 관심을 부탁드린다”라고 말했다.이선애 기자 lsa@asiae.co.kr▶ 2020년 하반기, 재물운·연애운·건강운 체크!▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>"
5,"미국 토크쇼에 한복 차용한 무대의상 입고 화상출연[서울신문]유튜브를 통해 가장 많은 조회수를 기록하며 신곡을 공개한 블랙핑크 출처:블랙핑크 공식 인스타그램한국 YG엔터테인먼트 소속의 여성 밴드 블랙핑크의 유튜브 영상 조회 수가 방탄소년단(BTS)의 기록을 넘어섰다.BBC는 최근 블랙핑크가 유튜브를 통해 발표한 신곡 ‘하우 유 라이크 댓’의 첫 방송에 165만명의 팬들이 몰려들었다며 이는 지난 2월 방탄소년단의 기록을 넘어선 숫자라고 보도했다.28일 현재 블랙핑크의 신곡 뮤직비디오는 1억 1000회의 조회수를 기록하며 인기몰이 중으로 팬들은 조회수 10억회는 너끈할 것으로 기대하고 있다.약 1년여 만에 활동을 재개한 블랙핑크는 지난해 한국 출신으로는 처음으로 유튜브 조회수 10억회를 기록했다.블랙핑크의 신곡 뮤직비디오는 역사상 가장 빨리 유튜브 조회수 1억회를 돌파했는데 이는 26일 오후 6시 ‘How You Like That’이 공개되자마자 32시간 만에 세워진 기록이다.지난 2월 방탄소년단의 유튜브를 통한 신곡 발매는 154만회의 조회수를 기록한 바 있다.한복을 응용한 블랙핑크의 의상블랙핑크는 또한 유튜브에서 가장 구독자가 많은데 약 3750만명의 블랙핑크 구독자이자 팬들은 ‘블링크’라 불린다.BBC는 2016년 한국 서울에서 결성된 블랙핑크가 빠른 속도로 가장 인기있는 케이팝의 주인공이 되어가고 있다고 전했다.블랙핑크는 미국 코첼라 뮤직 페스티벌에서 공연한 최초의 한국 가수이자, 지난해 영국 인기곡 순위에서도 ‘킬 디스 러브’로 큰 성공을 거뒀다.한편 미국 인기 토크쇼에 ‘더 투나잇쇼 스타링 지미 팰런’에 화상으로 출연한 블랙핑크는 한복을 응용한 무대 의상으로 큰 관심을 모았다.지미 팰런은 블랙핑크를 “현재 세계에서 가장 뜨거운 반응을 얻고 있는 그룹”이라고 소개했다.윤창수 기자 geo@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
6,"[서울=뉴시스] 오동현 기자 = '방탄소년단 티머니카드'가 또 다시 완판 행진에 도전한다. 티머니는 15만장 한정판으로 ‘방탄소년단 2020 티머니카드’ 7종을 선보인다고 26일 밝혔다. '방탄소년단 티머니카드'는 2017년부터 꾸준히 출시되며 10~20대 고객층의 좋은 반응을 얻었다. 이번 카드는 RM, 진, 슈가, 제이홉, 지민, 뷔, 정국 멤버들의 정규 4집 ‘MAP OF THE SOUL : 7’ 콘셉트 포토를 7종으로 담아냈다. 검정 배경의 카드로 고급스러운 이미지를 부각한 것이 특징이다. 티머니 Payment&Platform사업부장 정성재 상무는 ""방탄소년단이 가진 글로벌 파급력과 티머니의 '생활카드'라는 이미지가 결합돼 방탄소년단 티머니카드는 매년 출시와 함께 완판되는 등 큰 인기를 끌어왔다""며 ""새로운 디자인으로 선보이는 '방탄소년단 2020 티머니카드'가 일상 속의 작은 기쁨을 제공할 수 있을 것""이라고 말했다. 한편, '방탄소년단 티머니카드'는 기존 티머니와 마찬가지로 대중교통은 물론 전국 10만여 티머니 제휴업체에서 사용가능하다. 티머니 홈페이지에 카드를 등록하면 T마일리지(서비스 가입 시) 적립 및 연말 소득공제 30%의 혜택을 받을 수 있다. 26일부터 전국 CU(씨유)에서 구매할 수 있으며, CU에서 해당 카드로 결제 시 CU멤버십 2%도 자동적립이 가능하고 매월 다양한 혜택을 받을 수 있다.☞공감언론 뉴시스 odong85@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
7,"BTS 티머니카드.CU 제공편의점 CU는 방탄소년단 사진이 담긴 티머니카드를 다음 달 2일 15만 장 한정 수량으로 단독 판매한다고 26일 밝혔다.올해 출시되는 방탄소년단 티머니카드는 지난 2월 21일 발매된 정규 4집 '맵 오브 더 솔 : 7)을 주제로, 정장을 입은 RM, 진, 슈가, 제이홉, 지민, 뷔, 정국 등의 사진이 담겼다.해당 카드로 전국 CU에서 상품을 구매하면 구매금액의 2%가 CU 멤버십 포인트로 자동 적립된다.배동진 기자 djbae@busan.com▶ 네이버에서 부산일보 구독하기 클릭!▶ '터치 부산' 앱 출시, 부산일보 지면을 내 손 안에!▶ 부산일보 홈 바로가기"
8,"방탄소년단의 음악을 그림책으로 만난다.방탄소년단의 음악을 일러스트로 표현한 ‘그래픽 리릭스(GRAPHIC LYRICS)’ 시리즈가 출간된다.‘그래픽 리릭스’는 노랫말(LYRICS)을 일러스트(GRAPHIC)로 표현해 그림책으로 선보이는 새로운 프로젝트다. 많은 사랑을 받았던 방탄소년단의 ‘어 서플리멘터리 스토리: 유 네버 워크 얼론(A Supplementary Story: You Never Walk Alone)’ ‘세이브 미(Save ME)’ ‘하우스 오브 카드(House Of Cards)’ ‘런(RUN)’ ‘버터플라이(Butterfly)’ 등 총 5곡을 각각의 그림책에 담아 선보인다.‘함께라면 웃을 수 있다’를 주제로 방탄소년단의 뮤직비디오와 소설 ‘화양연화 더 노트 1’, 웹툰 ‘화양연화 파트 0: 세이브 미’ 등으로 이어져 온 화양연화 이야기를 재해석했다. 방탄소년단의 소속사 빅히트엔터테인먼트 측은 “방탄소년단의 곡으로 처음 선보이는 ‘그래픽 리릭스’ 시리즈를 통해 음악을 즐기는 새로운 방식을 제안하고자 하며, 앞으로 빅히트 멀티 레이블 아티스트들의 그래픽 시리즈도 선보일 예정”이라고 밝혔다.  김인구 기자[ 문화닷컴 바로가기 | 문화일보가 직접 편집한 뉴스 채널 | 모바일 웹 ][Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]"
9,"그래픽 리릭스 시리즈 [파이낸셜뉴스] 그룹 방탄소년단의 음악을 일러스트로 표현한 ‘그래픽 리릭스(GRAPHIC LYRICS)’ 시리즈가 출간된다.   ‘그래픽 리릭스’는 노랫말(LYRICS)을 일러스트(GRAPHIC)로 표현해 그림책으로 선보이는 빅히트의 새로운 프로젝트다. 많은 사랑을 받았던 방탄소년단의 ‘A Supplementary Story : You Never Walk Alone’과 ‘Save ME’, ‘House Of Cards’, ‘RUN’, ‘Butterfly’ 등 총 다섯 곡을 각각 그림책에 담아 그래픽 리릭스의 첫 프로젝트로 선보인다.   ‘함께라면 웃을 수 있다’를 주제로 한 이번 그래픽 리릭스 시리즈는 방탄소년단의 뮤직비디오와 소설 ‘화양연화 더 노트 1’, 웹툰 ‘화양연화 Pt.0 ‘SAVE ME’’ 등으로 꾸준히 이어져 온 방탄소년단의 화양연화 이야기를 재해석한 새로운 콘텐츠다. 각각의 책은 곡의 노랫말에 어울리는 일러스트로 표현돼 다채로운 분위기를 느낄 수 있도록 했다.   지난 21일부터 빅히트 공식 상품 및 방탄소년단의 SNS 계정에는 그래픽 리릭스의 티저 콘텐츠가 잇달아 공개되며 기대감을 높이고 있다. 첫 티저 영상에서는 감성적인 피아노 선율과 함께 화면 중앙에 나비가 날아들며 도돌이표를 활용한 그래픽 리릭스의 로고가 공개됐다.   이후 각기 다른 매력의 그래픽 리릭스 다섯 권의 일러스트가 소개됐고, 마지막으로 공개된 메인 트레일러 영상에는 곡의 가사와 함께 일곱 소년들의 모습이 무빙 일러스트로 담겼다. 아련한 분위기를 더하는 음악과 첫 티저에 공개된 나비가 다시 등장하며 그래픽 리릭스만의 감성적인 느낌을 자아냈다.   빅히트 엔터테인먼트는 “방탄소년단의 곡으로 처음 선보이는 ‘그래픽 리릭스’ 시리즈를 통해 음악을 즐기는 새로운 방식을 제안하고자 하며, 앞으로 빅히트 멀티 레이블 아티스트들의 그래픽 리릭스 시리즈도 선보일 예정”이라며 “음악을 글과 그림으로 표현해 종이책만의 감수성을 고스란히 담아낸 그래픽 리릭스 시리즈는 방탄소년단의 음악을 사랑하는 팬 뿐 아니라 대중에게도 색다른 경험이 될 것”이라고 말했다.   ‘그래픽 리릭스’는 24일 오전 10시부터 한국, 미국, 일본 주요 판매처에서 예약 판매를 시작한다. 빅히트의 커머스 플랫폼 위버스샵(BTS GLOBAL/USA)을 비롯해, 교보문고 공식 홈페이지와 전국 오프라인 지점, 아마존 미국, 방탄소년단 일본 공식 샵, 아마존 일본, 츠타야 일부 지점에서 28일까지 예약 구매가 가능하고 29일부터는 상시 구매할 수 있다.    yccho@fnnews.com 조용철 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
