,contents
0,"메디톡스의 보툴리눔 톡신 ‘메디톡신’이 허가취소 이슈로 치료용 시장에서도 입지가 흔들리고 있다. 29일 관련 업계와 병원 측에 따르면 가톨릭대 부천성모병원, 이대서울병원 등 일부 종합병원은 ‘메디톡신 200단위’ 제품이 허가취소 대상에서 제외됐음에도 더 이상 사용하지 않기 위해 다른 제품으로 교체했거나 교체를 추진 중이다. 부천성모병원은 200단위를 포함해 메디톡신 전 품목을 회수 조치하고, 더 이상 사용하지 않기로 했다. 이대서울병원은 7월 중 병원 내 의약품 도입 여부 등을 결정하는 약사심의위원회를 열어 200단위 제품의 사용 중지를 추진할 계획이다. 개원 이래 한 번도 사용된 적 없고, 이번 이슈로 아예 사용 중지를 추진한다는 게 병원의 설명이다. 이 밖에 다른 종합병원들에서도 제품 교체를 검토하는 것으로 알려졌다. 200단위는 대부분 소아뇌성마비 및 뇌졸중 환자에 ‘치료 목적’으로 사용되고 있어, 허가취소 이슈로 인한 치료용 시장의 타격을 보여준다. 앞서 식품의약품안전처는 원액 바꿔치기·허위서류 조작으로 적발된 ‘메디톡신’ 3개 품목(150·100·50단위)을 25일자로 허가취소하기로 결정했다. 이후 대전지방법원이 지난 23일 허가 취소처분에 대한 효력을 내달 14일까지 정지하기로 결정하면서, 해당 처분은 일시 정지된 상태다. 피부미용(주름 개선)에 많이 쓰이는 허가취소 대상 3개 품목과 달리, 고용량 200단위는 홀로 건강보험 혜택(1병 당 약값 27만3998원)을 받으며 주로 종합병원에서 치료제로 쓰이고 있다. 메디톡스는 상당한 임상시험 시간과 비용을 들여 치료 적응증을 획득, 2011년부터 200단위를 종합병원에 공급하기 시작했다. 전 세계적으로 보툴리눔 톡신 제품의 50~60%가 치료 목적으로 쓰여, 치료제 적응증 획득이 갖는 의미가 크기 때문이다. 메디톡스의 또 다른 톡신 제품인 ‘코어톡스’도 근육강직 적응증이 있지만 실질적인 치료로 이어지기 위해 수반돼야 할 건강보험 급여를 못 받았다. 업계 관계자는 “치료용 시장이 손실되면 보툴리눔 톡신 기업 가치도 타격을 입는다”며 “많은 회사들이 저가 미용 판매에 그치지 않기 위해 치료 적응증을 획득하고자 노력한다”고 말했다. 일각에선 향후 메디톡스가 200단위 제품의 피부미용 병의원에 대한 공급을 넓히며, 이 시장을 지키는 데 사활을 걸 것이라는 시각도 있다. 메디톡스 관계자는 “내달 14일까지 처분이 정지돼 아직 50·100·150단위가 허가취소 되지 않았다”며 “허가취소 여부가 결정돼야 이후 200단위, 코어톡스 등 다른 제품을 통한 후속 대책을 세울 수 있다. 지금은 허가취소를 막는 데 모든 역량을 모으고 있다”고 말했다.☞공감언론 뉴시스"
1,"국산 보툴리눔 톡신 제제 1호인 '메디톡신' 품목허가 취소 처분이 내달 14일까지 중지된다.     24일 제약·바이오 업계에 따르면 전날 대전지방법원 제1행정부는 애초 25일로 예정돼있던 메디톡신의 품목허가 취소처분에 대한 일시 효력정지를 결정했다.     메디톡스는 지난 18일 저녁 대전지법에 식약처의 메디톡신 품목허가 취소 등 처분에 대한 효력정지 가처분 신청 및 처분취소 청구 소송을 제기했다.     이번 결정은 법원이 메디톡스의 가처분 신청을 받아들일지 말지를 판단하기 위한 시간 동안 품목허가 취소 처분의 효력을 정지하는 것이다.     재판부는 ""지난 18일 대전지방식품의약품안전청장이 내린 메디톡스의 메디톡신 품목허가 취소, 회수·폐기, 회수 사실 공표 명령 처분의 효력을 오는 7월 14일까지 정지한다""고 밝혔다.     메디톡스 법률대리인은 이번 결정이 식약처의 허가 취소 처분에 다툼의 여지가 있다는 점을 보여주는 것이라고 의미 부여했다.     메디톡스 법률대리인은 ""재판부에서 현재 유통 중인 해당 제품의 위해성에 아무 문제가 없다고 판단한 것""이라며 ""메디톡신에 대한 식약처 처분의 위법성과 집행정지의 필요성 등에 대해 법리적 근거를 보완해 대응하겠다""고 말했다.     식약처는 메디톡스가 2012년부터 2015년까지 메디톡신을 생산하는 과정에서 무허가 원액 사용, 허위 서류 기재 등 약사법 위반 행위를 저질렀다고 보고 관련 제품 3개(메디톡신주·메디톡신주50단위·메디톡신주150단위)의 품목허가를 취소했다.     이에 메디톡스는 약사법 위반 사항은 일부 인정하지만, 의약품의 안전성과 유효성에는 문제가 없는 만큼 품목허가 취소는 가혹하다고 주장하고 있다.    메디톡신은 2006년 국산 보툴리눔 톡신 제제로는 처음으로 식약처의 허가를 받은 제품이다. 이른바 보톡스로도 불리는 보툴리눔 톡신 제제는 미간 주름 개선 등 미용성형 시술에 쓴다.   "
2,"국산 보툴리눔 톡신 제제 1호인 '메디톡신' 품목허가 취소 처분이 내달 14일까지 중지된다.24일 제약·바이오 업계에 따르면 전날 대전지방법원 제1행정부는 애초 25일로 예정돼있던 메디톡신의 품목허가 취소처분에 대한 일시 효력정지를 결정했다.메디톡스는 지난 18일 저녁 대전지법에 식약처의 메디톡신 품목허가 취소 등 처분에 대한 효력정지 가처분 신청 및 처분취소 청구 소송을 제기했다.이번 결정은 법원이 메디톡스의 가처분 신청을 받아들일지 말지를 판단하기 위한 시간 동안 품목허가 취소 처분의 효력을 정지하는 것이다.재판부는 ""지난 18일 대전지방식품의약품안전청장이 내린 메디톡스의 메디톡신 품목허가 취소, 회수·폐기, 회수 사실 공표 명령 처분의 효력을 오는 7월 14일까지 정지한다""고 밝혔다.메디톡스 법률대리인은 이번 결정이 식약처의 허가 취소 처분에 다툼의 여지가 있다는 점을 보여주는 것이라고 의미 부여했다.메디톡스 법률대리인은 ""재판부에서 현재 유통 중인 해당 제품의 위해성에 아무 문제가 없다고 판단한 것""이라며 ""메디톡신에 대한 식약처 처분의 위법성과 집행정지의 필요성 등에 대해 법리적 근거를 보완해 대응하겠다""고 말했다.식약처는 메디톡스가 2012년부터 2015년까지 메디톡신을 생산하는 과정에서 무허가 원액 사용, 허위 서류 기재 등 약사법 위반 행위를 저질렀다고 보고 관련 제품 3개(메디톡신주·메디톡신주50단위·메디톡신주150단위)의 품목허가를 취소했다.이에 메디톡스는 약사법 위반 사항은 일부 인정하지만, 의약품의 안전성과 유효성에는 문제가 없는 만큼 품목허가 취소는 가혹하다고 주장하고 있다.메디톡신은 2006년 국산 보툴리눔 톡신 제제로는 처음으로 식약처의 허가를 받은 제품이다. 이른바 보톡스로도 불리는 보툴리눔 톡신 제제는 미간 주름 개선 등 미용성형 시술에 쓴다.(사진=연합뉴스)이영호기자"
3,"메디톡스사의 보툴리눔톡신제제(보톡스) 1호인 '메디톡신' 품목허가 취소 처분이 7월 14일까지 중지된다.24일 법조계 등에 따르면 대전지법 제1행정부(재판장  이영화)는 전날 식품의약품안전처가 지난 18일 내린 메디톡신 품목허가 취소 처분의 효력을 오는 7월 14일까지 정지했다.앞서 식약처는 ""제조·품질관리 서류 허위 조작 행위에 따라 허가취소를 결정했다""며 메디톡스의 보툴리눔톡신제제(보톡스) '메디톡신' 등에 주었던 품목허가를 취소했다. 메디톡스가 불법을 저질렀다는 검찰수사 결과를 토대로 내린 결정이었다.식약처는 국내 제약사 메디톡스의 보툴리눔톡신제제 '메디톡신' 3개 품목(메디톡신주 50·100·150단위)에 대해 6월 25일자로 품목허가 취소를 확정했다.식약처에 따르면 메디톡스는 '메디톡신'을 생산하면서 허가 내용과 다른 원액을 사용했음에도 마치 허가된 원액으로 생산한 것처럼 서류를 조작했다.한편 메디톡스 투자자들은 지난달 법무법인 오킴스를 통해 메디톡스를 상대로 집단소송을 제기하는 등 파장이 커졌다.피해주주 등은 메디톡스가 무허가 원액을 이용해 제품을 생산하고 이를 조직적으로 은폐·허위공시해 투자에 손해를 입혔다는 입장이다"
4,"휴젤 '레티보'·메디톡스 '뉴로톡스' 허가신청 대기중국·대만 '보톡스 한류' 선점 경쟁 치열중국 보툴리눔톡신 시장이 5년 안에 1조8000억원 규모로 급성장할 것으로 예상되는 가운데 국내 기업들의 선점 경쟁이 치열하다. 휴젤이 앞서나가고 메디톡스와 대웅제약 등이 뒤쫓는 형국이다. ⓒ각사중국 보툴리눔톡신 시장이 5년 안에 1조8000억원 규모로 급성장 할 것으로 예상되는 가운데 국내 기업들의 선점 경쟁이 치열하다. 휴젤이 앞서나가고 메디톡스와 대웅제약 등이 뒤쫓는 형국이다.휴젤은 연내 중국 품목 허가를 취득할 것으로 예상된다. 2014년부터 중국 진출을 추진한 휴젤은 2018년 임상 3상을 마치고 지난해 4월 품목허가를 신청해둔 상태다. 허가가 나는 대로 중국 심뇌혈관 의약품 제약사인 사환제약과 함께 현지 마케팅 전략을 세워 시장에 안착하겠다는 방침이다.앞서 휴젤은 2018년 대만에서도 레티보(Letybo)의 시판허가를 받고, 지난해 6월 현지에 진출했다. 휴젤은 대만을 중화권 진출 거점으로 삼고 증국 허가 절차를 꾸준히 진행해 왔다.대웅제약의 보툴리눔톡신 제제 '나보타'도 최근 대만 위생복리부 식품약물관리서(TFDA)로부터 미간주름을 개선할 수 있는 용도로 품목허가를 획득했다.이번 허가를 통해 아시아 미용성형 시장에서 나보타의 위상을 한 단계 높일 수 있게 됐다는 게 회사 측의 평가다. 현재 나보타는 동남아시아 국가 중 태국·필리핀·베트남·인도에서 출시되고 있고, 지난해 12월엔 인도네시아에서 품목허가를 획득했다.메디톡스는 대만과 중국에서 모두 시판허가를 신청했으나, 최근 불거진 국내 품질관리 이슈와 품목허가 취소로 난관에 부딪힌 상황이다. 메디톡스는 2018년 2월 중국식품의약품감독관리총국(CFDA)에 보툴리눔 톡신 ‘뉴로톡스’ 허가를 신청했으나 아직 허가가 나지 않았다.보톡스 업체들이 중국 진출을 서두르는 것은 다른 국가에 비해 성장 속도는 빠른 데도 경쟁은 심하지 않아 ‘기회의 땅’으로 불리고 있어서다.대한무역투자진흥공사(KOTRA)에 따르면 2018년 중국 의료미용 시장 규모는 144억8000만 위안(약 2조4634억원)으로 전년 대비 28.8% 증가했으며, 2019년 의료미용 시장 규모는 173억 위안(약 2조9432억원) 정도다.이처럼 시장이 커지는 것에 비해 경쟁은 비교적 덜한 편이다. 현재 중국에서 정식 허가를 받은 보툴리눔 톡신 제제는 엘러간의 ‘보톡스’와 란저우생물학연구소의 ‘BTXA’ 두 제품뿐이기 때문이다.보툴리눔 톡신 업체 관계자는 ""중국의 경우 올해 초부터 코로나19가 대륙으로 퍼지면서 당국이 품목허가를 검토할 여력이 없었던 것으로 보인다""면서 ""코로나 확산세가 점점 줄어들고 있는 만큼 연내에는 국내 기업들의 보툴리눔 톡신 제품 중에 허가가 나지 않을까 기대된다""고 말했다.데일리안 이은정 기자 "
5,"식품의약품안전처가 메디톡스의 보톨리눔톡신 제제 '메디톡신주'의 품목허가를 취소했다.18일 식약처는 메디톡스가 생산하는 '메디톡신주' 등 3개 품목에 대해 오는 25일자로 허가를 취소한다고 밝혔다.지난 4월 검찰은 지난해 공익신고로 제보된 '시험성적서 조작 의혹'과 관련해 메디톡스를 위계에 의한 공무집행방해 및 약사법 위반 혐의로 기소한 바 있다.이에 대해 식약처는 4월17일 이 품목의 제조·판매·사용을 중지하고, 품목허가 취소 등 행정처분 절차를 진행해왔다.이번 품목허가 취소 대상은 메디톡신주와 메디톡신주 50단위, 메디톡신주 150단위이다.식약처는 메디톡스가 메디톡신주 등을 생산하면서 허가 내용과 다른 원액을 사용했음에도 마치 허가된 원액으로 생산한 것처럼 서류를 조작하고, 원액 및 제품의 역가시험 결과가 기준을 벗어나는 경우 적합한 것으로 허위기재했으며, 조작된 자료를 식약처에 제출해 국가출하승인을 받고 해당 의약품을 시중에 판매했다고 설명했다.또 식약처는 제조·품질관리 서류를 허위로 조작한 메디톡스의 약사법 위반행위에 대해 ▲‘메디톡신주’ 등 3개 품목은 허가 취소 ▲‘이노톡스주’는 제조업무정지 3개월에 갈음하는 과징금 1억 7,460만 원을 처분했다.식약처 관계자는 ""국민의 건강을 위협하고 관리당국을 기만하는 서류 조작행위에 대해 무관용 원칙으로 강력하게 단속·처벌할 방침""이라며, ""이번 사건을 계기로 의약품 관리체계의 취약점을 보완하고 재발방지 대책을 수립하겠다""고 말했다.홍헌표기자"
6,신주 835만370주 발행증자 후 총 발행주식수 1267만135주신주배정기준일 다음 달 9일7월 31일 신주 상장 예정올해 ‘빅3’ 국가 보툴리눔톡신 허가 완료 목표바이오의약품 전문기업 휴젤은 23일 보통주 1주당 신주 2주(200%)를 배정하는 무상증자를 결정했다고 밝혔다. 무상증자를 통한 발행주식수 확대를 기반으로 주식 유동성을 증대하고 주주가치 제고를 실현한다는 설명이다. 기존 주식발행초과금에서 약 42억 원을 꺼내 자본금을 늘리기 때문에 증자 후에도 실제 자본 총계 변화는 없다. 이에 따라 한국거래소는 이날 장종료시까지 휴젤 보통주에 대한 주권매매 거래정지 조치를 취했다.이번 무상증자로 발행되는 신주는 835만370주다. 증자 완료 후 휴젤 총 발행주식수는 기존 431만9765주에서 1267만135주로 증가한다. 신주배정기준일은 다음 달 9일이다. 당일 주주명부에 등재된 주주에 대해 소유 주식 1주당 2주 비율로 배정된다. 자기주식 14만4580주는 제외된다. 여기에 무상증자에 따른 권리락은 오는 7월 8일 발생한다. 신주 상장 예정일은 7월 31일이다.휴젤 관계자는 “이번 무상증자는 휴젤이 지속적으로 전개하고 있는 주주친화정책 일환으로 마련한 것으로 주주가치 제고와 기업 신뢰도 향상에 긍정적인 영향을 줄 것으로 기대한다”며 “올해 중순으로 예상되는 보툴리눔톡신 중국 허가 획득을 시작으로 유럽(중순)과 미국(연말) 진출을 위한 생물의약품 허가신청서(BLA)를 제출하고 연말까지 글로벌 ‘빅3’ 국가 판매 허가 취득 완료를 목표로 글로벌 기업 도약에 주력할 예정”이라고 말했다.한편 휴젤은 지난해 4월 보툴리눔톡신 제제의 중국 시장 진출을 위한 판매허가 신청서 제출을 완료했다. 허가는 올해 중순 획득할 것으로 예상하고 있다.동아닷컴 김민범 기자
7,"    대웅제약은 자체 개발 보툴리눔톡신 제제 '나보타'가 아시아 보툴리눔톡신 중 최초로 미국 식품의약국(FDA)로부터 '주보(Jeuveau)'라는 이름으로 판매허가 승인을 획득해 작년 5월 미국에서 출시됐다고 25일 밝혔다. 이 제품은 같은 해 9월에는 유럽에서 판매허가 승인을 획득해 유럽 진출을 눈앞에 두고 있으며, 10월에는 '누시바(Nuceiva)'라는 이름으로 캐나다에 출시됐다. 대웅제약 관계자는 ""최근에는 인도네시아, 대만 등 아시아 주요 국가의 품목 허가를 획득하며 아시아 시장 영향력 확대에 본격 시동을 걸고 있다""고 말했다. 미국 FDA를 비롯 글로벌 3대 선진국(미국, 유럽, 캐나다) 규제기관으로부터 판매허가 승인을 획득하고, 글로벌 시장에 당당하게 입성할 수 있었던 배경으로는 나보타의 제품 우수성과 차별화된 경쟁력이 주요인으로 꼽힌다. 나보타는 미국, 유럽 및 캐나다 등에서 2100명 이상의 환자를 대상으로 진행한 대규모 글로벌 임상을 통해 효능과 안전성을 입증한 바 있다. 유럽 및 캐나다에서 진행한 임상 3상에서는 엘러간의 보톡스(Botox)와 직접 비교 임상을 통해 미간주름 개선 효과 및 안전성 측면에서보톡스 대비 비열등성을 입증했다. 해당 임상 결과는 지난 4월 SCI급 국제학술지인 '에스테틱서저리 저널(Aesthetic Surgery Journal)'에 게재됐다. 한편 대웅제약은 국제미용성형학회(International Master Course on Aging Science, IMCAS), 국제피부외과학회(International Society for Dermatologic Surgery, ISDS) 학술대회 등에 참가하는 등 글로벌 네트워크 확대로 시장 경쟁력을 강화하고 있다. 박성수 대웅제약나보타 사업본부장은 ""나보타는 선진국 3대 규제기관으로부터 승인받은 공인된 품질과 대규모의 임상자료를 통해 그 우수성이 입증됐다""며 ""앞으로도 다양한 연구활동과 해외 의료진들과의 활발한 교류를 통해 글로벌 보툴리눔톡신 브랜드로서의 위상을 더욱 강화해 나가겠다""고 밝혔다. 김광태기자"
8,"국내 자체 개발 제품으로 처음 허가받은 메디톡스의 보툴리눔 톡신 제제 '메디톡신'이 시장에서 퇴출당했다. 2006년 허가 후 14년 만이다.     이른바 '보톡스'로도 불리는 보툴리눔 톡신 제제는 미간주름 개선 등 미용성형 시술에 사용하는 의약품이다.     메디톡신은 메디톡스의 연간 매출 약 40% 차지하는 주력 제품이어서 회사가 입을 타격도 적지 않을 것으로 전망된다.메디톡신[메디톡스 홈페이지 캡처. 재판매 및 DB 금지]  식약처 6월 25일자로 메디톡신 3개 제품 취소     식품의약품안전처는 메디톡스의 메디톡신 3개 제품의 품목허가 취소 처분을 확정했다고 18일 밝혔다. 취소 일자는 오는 25일이다.     품목허가 취소 대상은 메디톡신주, 메디톡신주50단위, 메디톡신주150단위다.     이에 앞서 식약처는 지난 4월 17일자로 3개 품목의 잠정 제조·판매·사용을 중지한 뒤 품목허가 취소 등 행정처분 절차를 진행해 왔다.    식약처에 따르면 메디톡스는 메디톡신 생산과정에서 무허가 원액 사용하고도 허가된 원액으로 생산한 것처럼 서류를 조작했고, 제품의 품질 등을 확인한 역가시험 결과가 기준을 벗어났을 때도 적합한 것처럼 허위로 기재했다. 또 조작된 자료를 식약처에 제출해 국가출하승인을 받는 등의 불법 행위를 저질렀다. 이 회사는 2012년부터 2015년까지 지속적이고 반복적으로 원액을 바꾸고 제품의 시험성적서 등을 조작한 것으로 조사됐다.    이와 관련, 검찰에서도 메디톡스가 무허가 원액을 사용한 제품 생산, 원액 및 역가 정보를 조작해 국가출하승인 취득하는 등의 혐의가 있다고 보고 위계에 의한 공무집행방해 및 약사법 위반으로 기소한 바 있다.    이에 따라 식약처는 메디톡스가 제조·품질 관리 서류를 허위로 조작해 약사법을 위반했다고 판단해 메디톡신 3개 품목은 허가 취소, 또 다른 보툴리눔 톡신 제품인 '이노톡스'는 제조업무정지 3개월에 갈음하는 과징금 1억7천460만원을 처분했다.    이와 함께 메디톡스에 허가 취소된 메디톡신 3개 품목이 유통되지 않도록 회수·폐기토록 명령했다. 3개 제품을 보관 중인 병원에도 회수에 적극적으로 협조해달라고 당부했다. 메디톡신[메디톡스 제공=연합뉴스]  식약처, 서류 조작 행위 '무관용 원칙' 대응…엄중 처벌    식약처는 이번 사건을 계기로 서류 조작 행위에 '무관용 원칙'으로 대응하겠다는 입장을 확고히 했다.     식약처는 제조·품질관리 서류에 허위 기재, 데이터 조작이 없도록 데이터 작성부터 수정, 삭제, 추가 등 변경 이력을 추적할 수 있는 관리지침을 마련해 배포할 계획이다. 시험 결과뿐만 아니라 시험 과정 전반에 걸친 데이터에 대한 관리를 강화하기로 했다.     현장점검 등에서 의약품 제조·수입업체가 이러한 관리지침을 지키지 않은 것으로 확인되면 데이터 조작을 시도한 것으로 간주하고 엄중하게 처벌할 계획이다.     시판 전 마지막으로 품질을 확인하는 국가출하승인 제도 운영에서의 미비한 점도 개선하기로 했다.     식약처는 이번 사건이 위해도가 낮은 의약품의 국가출하승인시 별도의 국가검정 없이 서류검토만으로 승인해주는 점을 악용한 조작으로 보고 있다.    이에 따라 앞으로는 위해도가 가장 낮은 의약품이라도 무작위로 제조번호를 선정해 국가검정시험을 실시해 서류 조작 시도를 차단할 예정이다.    서류 조작에 대한 처벌 역시 강화된다. 허가·승인 신청 제한기간이 기존 1년에서 5년으로 확대되고, 징벌적 과징금 기준도 상향된다. 서류를 조작해 국가출하승인을 신청했을 때 허가를 취소토록 하는 등의 약사법 개정도 추진하기로 했다.     단 품목허가를 취소한 3개 제품의 안전성 우려는 크지 않은 것으로 결론 내렸다.     보툴리눔 톡신 제제에 대한 국내외 임상논문, 일정 기간 효과를 나타낸 후 체내에서 분해되는 특성 등을 종합적으로 고려한 중앙약사심의위원회 자문에 따른 것이다.    "
9,"메디톡스의 보툴리눔톡신 제제 ‘메디톡신’이 허가취소 처분을 받으면서 메디톡스 경영에 큰 타격을 입을 전망이다.18일 식품의약품안전처는 메디톡스의 보톨리눔톡신 제제 '메디톡신(주)'의 품목허가를 취소했다. 메디톡스가 생산하는 메디톡신(주)와 메디톡신(주) 50단위, 메디톡신(주) 150단위 등 3개 품목이 오는 25일자로 허가 취소된다.지난 4월 검찰은 지난해 공익신고로 제보된 '시험성적서 조작 의혹'과 관련해 메디톡스를 위계에 의한 공무집행방해 및 약사법 위반 혐의로 기소한 바 있다.식약처는 메디톡스가 메디톡신 등을 생산하면서 허가 내용과 다른 원액을 사용했음에도 마치 허가된 원액으로 생산한 것처럼 서류를 조작하고, 원액 및 제품의 역가시험 결과가 기준을 벗어나는 경우 적합한 것으로 허위기재했으며, 조작된 자료를 식약처에 제출해 국가출하승인을 받고 해당 의약품을 시중에 판매했다고 설명했다.또 식약처는 제조·품질관리 서류를 허위로 조작한 메디톡스의 약사법 위반행위에 대해 ‘메디톡신(주)’ 등 3개 품목은 허가 취소, ‘이노톡스(주)’는 제조업무정지 3개월에 갈음하는 과징금 1억7,460만 원을 처분했다.이번 품목허가 취소결정으로 메디톡스는 경영상 큰 타격을 입을 전망이다.메디톡스는 지난해 연결기준 2,059억 원의 매출과 257억 원의 영업이익을 기록했는데, 이번에 퇴출된 ‘메디톡신(주)’는 메디톡스 매출의 40%를 차지하고 있는 제품이다.뿐만 아니라 메디톡스의 매출 93%는 메디톡신과 뉴라미스 등 보툴리눔톡신과 필러 제품이 차지하고 있는 상황에서 이번 결정으로 회사의 신뢰도 역시 타격을 입을 전망이다.식약처 관계자는 ""국민의 건강을 위협하고 관리당국을 기만하는 서류 조작행위에 대해 무관용 원칙으로 강력하게 단속·처벌할 방침""이라며, ""이번 사건을 계기로 의약품 관리체계의 취약점을 보완하고 재발방지 대책을 수립하겠다""고 말했다.한편 제약바이오업계에서는 이번 결정으로 보툴리눔톡신 시장에서 경쟁을 펼치고 있는 휴젤과 휴온스, 대웅제약 등이 반사이익을 얻을 것으로 예상하고 있다.국내 보툴리눔톡신 시장에서는 휴젤과 메디톡스가 매출 1, 2위 경쟁을 펼쳤고, 휴온스와 대웅제약 등은 후발주자로 도전하는 형국이다. 이런 상황에서 메디톡신주의 퇴출 결정으로 빈자리를 차지하기 위한 경쟁이 본격화될 전망이다.홍헌표기자"
