,contents
0,"기획재정부는 마스크와 손소독제에 대한 매점매석 행위를 금지하는 기간을 6월 30일에서 9월 30일까지로 연장한다고 29일 밝혔다. 이를 위해 기재부 ‘마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시(매점매석 금지 고시) 적용 시한을 9월 30일로 늘린다. 마스크를 쓴 어린이들./연합뉴스이 고시는 지난 2월 5일 신종 코로나 바이러스 감염증(코로나19) 확산으로 마스크 등 방역 물품의 품귀 현상이 빚어지자 방역 물품 매점매석을 해 이익을 내고자 하는 교란 행위를 막기 위해 ‘물가 안정에 관한 법률’에 따라 제정됐다.이 고시는 마스크･손소독제 생산자와 판매자가 적용 대상이다. 매점매석의 판단 기준과 매점매석행위 신고센터 운영 등 단속과 조사에 필요한 규정들을 포함하고 있다. 가령  ‘2019년 1월 1일 이전부터 영업을 한 사업자의 경우 조사 당일을 기준으로 2019년 1월 1일부터 2019년 12월 31일까지의 월평균 판매량의 150%를 초과해 5일 이상 보관하는 행위’를 매점매석으로 규정하고 있다. 공적 마스크 제도 시행 이후 마스크 생산은 크게 증가했다. 3월 첫주 마스크 생산량은 7272개였으나, 점차 늘어 6월 셋째주에는 1만1114개까지 늘었다. 하지만 코로나19가 종료되지 않은 상황에서 매점매석행위가 또 발생할 가능성이 있어 기재부는 매점매석 금지 고시를 연장하는 것이다. 이준범 기재부 물가정책과장은 ""앞으로도 관련 기관들 간 긴밀한 협력을 통해 매점매석 행위 등에 대한 단속을 강화하겠다""면서 ""식품의약품안전처처와 각 시·도에서 매점매석 행위 신고센터를 운영 중이며, 총 54건의 매점매석 금지 고시 위반 사항을 적발했다""고 설명했다.[세종=이민아 기자"
1," 기획재정부는 마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시의 적용시한을 현행 6월 30일에서 9월 30일까지 연장하기로 했다고 29일 밝혔다.   고시는 2월 5일 코로나19 확산에 따른 마스크 등의 매점매석을 방지하고 시장 공급을 촉진하기 위해 물가안정에 관한 법률에 따라 제정된 것이다. 마스크･손소독제 생산자와 판매자를 적용 대상으로 하며 매점매석의 판단 기준과 신고센터 운영 등 단속과 조사에 필요한 규정들을 포함하고 있다.   기재부는 ""공적 마스크 제도 시행 이후 마스크 생산이 크게 증가하고 가격이 안정되는 등 수급여건이 개선되고 있으나 코로나19 상황이 종료되지 않았고 반시장적 행위의 발생 가능성이 존재하는 점을 고려해 고시의 적용시한을 연장하기로 결정했다""고 설명했다.   "
2,"보건용 마스크·손 소독제를 매점매석한 생산자와 판매자에 2년 이하 징역 또는 5000만원 이하 벌금을 부과하는 고시가 9월 말까지 연장된다.기획재정부는 6월 30일까지 적용 예정이던 이런 내용의 '보건용 마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시'를 9월 30일까지 연장한다고 29일 밝혔다.앞서 정부는 코로나19에 따른 보건용 마스크, 손소독제에 대한 폭리 목적의 매점과 판매 기피 행위를 방지하기 위해 지난 2월 5일 고시를 제정했다.고시에 따르면 2019년 이전부터 영업을 한 사업자의 경우 조사 당일을 기준으로 2019년 1월1일부터 12월31일까지 월평균 판매량의 150%를 초과해 5일 이상 보관하면 매점매석에 해당한다.기재부는 “공적 마스크 제도 시행 이후 마스크 생산이 크게 증가하고 가격이 안정되는 등 수급 여건이 개선되고 있으나, 코로나19 상황이 종료되지 않은 가운데 매점매석과 같은 반시장적 행위의 발생 가능성이 존재하는 점을 고려해 고시 적용시한을 연장했다”고 밝혔다.3월 첫째 주 7272만장이었던 마스크 생산량은 6월 셋째 주 기준 1억1114만장으로 늘었다.정부는 식품의약품안전처와 각 시·도에서 매점매석행위 신고센터를 운영 중으로 총 54건의 매점매석 금지 고시 위반 사항을 적발했으며, 앞으로도 계속 매점매석 행위 등에 대한 단속을 강화해나갈 방침이다.또한 '물가안정에 관한 법률 개정' 등을 통해 매점매석 금지 위반에 대한 처벌 강화를 추진할 계획이라고 밝혔다.유재희기자"
3,"보건용 마스크와 손 소독제를 매점매석한 생산자와 판매자에 2년 이하 징역 또는 5천만원 이하 벌금을 부과하는 고시가 9월 말까지 연장된다.    기획재정부는 6월 30일까지 적용 예정이던 이런 내용의 '보건용 마스크 및 손소독제 매점매석 행위 금지 등에 관한 고시'를 9월 30일까지 연장한다고 29일 밝혔다.    앞서 정부는 신종 코로나바이러스 감염증(코로나19)에 따른 보건용 마스크, 손소독제에 대한 폭리 목적의 매점과 판매 기피 행위를 방지하기 위해 지난 2월 5일 고시를 제정했다.    고시에 따르면 2019년 이전부터 영업을 한 사업자의 경우 조사 당일을 기준으로 2019년 1월1일부터 12월31일까지 월평균 판매량의 150%를 초과해 5일 이상 보관하면 매점매석에 해당한다.    기재부는 ""공적 마스크 제도 시행 이후 마스크 생산이 크게 증가하고 가격이 안정되는 등 수급 여건이 개선되고 있으나, 코로나19 상황이 종료되지 않은 가운데 매점매석과 같은 반시장적 행위의 발생 가능성이 존재하는 점을 고려해 고시 적용시한을 연장했다""고 밝혔다.    3월 첫째 주 7천272만장이었던 마스크 생산량은 6월 셋째 주 기준 1억1천114만장으로 늘었다.    정부는 식품의약품안전처와 각 시·도에서 매점매석행위 신고센터를 운영 중으로 총 54건의 매점매석 금지 고시 위반 사항을 적발했으며, 앞으로도 계속 매점매석 행위 등에 대한 단속을 강화해나갈 방침이다.    또한 '물가안정에 관한 법률 개정' 등을 통해 매점매석 금지 위반에 대한 처벌 강화를 추진할 계획이라고 밝혔다.일주일만에…마스크 매점매석•사기 165건 단속 (CG)[연합뉴스TV 제공]   "
4,▶ ‘ 코로나19 현황과 대응’ 최신 기사 보기http://news.kbs.co.kr/news/list.do?icd=19588김소영 기자 
5,"술 대신 손 소독제 마셨다가 메탄올 중독으로 사망. (사진=연합뉴스/자료사진)미국 뉴멕시코주에서 술 대신 손 소독제를 마신 주민 3명이 숨지고 1명이 실명하는 일이 발생했다.뉴멕시코주 보건부는 26일(현지시간) 성명을 통해 ""주민 7명이 손 세정제를 마시는 사건이 지난 5월 잇따라 발생했다""며 ""이들 가운데 3명이 숨지고 1명은 실명했다""고 밝혔다. 나머지 3명도 중태로 전해졌다.뉴멕시코주 보건부는 ""이번 사상자는 알코올 중독과 관련이 있다""면서 ""노숙자들이 술 대신 손 소독제와 기타 알코올 함유 제품을 마시는 경우가 있다""고 전했다.손 소독제는 보통 소독용 에탄올을 주성분으로 하지만 일부 불량 제품은 독성을 가진 메탄올을 쓰기 때문에 손 소독제 흡입은 무조건 피해야 한다고 보건당국은 경고했다.뉴멕시코주 보건당국은 이번에 숨지거나 실명한 사람들은 메탄올에 중독된 것으로 보인다며 ""메탄올이 함유된 손 세정제를 사용했을 가능성이 있다고 생각하면 즉시 병원에서 치료를 받아야 한다""고 당부했다."
6,"(로스앤젤레스=연합뉴스) 정윤섭 특파원 = 미국 뉴멕시코주 주민 7명이 술 대신에 독성 메탄올이 함유된 손 소독제를 마셨다가 3명이 숨지고 1명이 실명했다고 27일(현지시간) CNN방송 등이 보도했다.    뉴멕시코주 보건부는 전날 성명을 내고 ""주민 7명이 손 세정제를 마시는 사건이 지난 5월 잇따라 발생했다""며 ""이들 가운데 3명이 결국 사망했고 1명은 영구 실명했으며, 나머지 3명은 중태""라고 밝혔다.    일부 주민들이 술을 대신해서 알코올이 들어간 손 세정제를 마시는 어처구니없는 사건이 이어지자 뉴멕시코주 보건당국은 손 세정제 흡입의 심각성을 환기하기 위해 사상자 현황을 발표했다.    뉴멕시코주 보건부는 ""이번 사상자는 알코올 중독과 관련이 있다""면서 ""노숙자들이 주류를 대신해 손 소독제와 기타 알코올 함유 제품을 마시는 경우가 있다""고 전했다.    손 소독제는 보통 소독용 에탄올을 주성분으로 하지만, 일부 불량 제품은 독성을 가진 메탄올을 쓰기 때문에 손 소독제 흡입은 무조건 피해야 한다고 보건당국은 경고했다.    상당한 양의 메탄올에 노출되면 구토와 두통, 발작은 물론이고 실명과 뇌 손상, 사망을 초래할 수 있다.    뉴멕시코주 보건당국은 이번에 숨지거나 실명한 사람들은 메탄올에 중독된 것으로 보인다며 ""메탄올이 함유된 손 세정제를 사용했을 가능성이 있다고 생각하면 즉시 병원에서 치료를 받아야 한다""고 당부했다.   "
7, 
8,동영상 뉴스     
9,"코로나19, 주로 침방울을 통해 전파가 되지만 감염된 사람의 침방울이 묻은 물체를 손으로 만진 뒤 본인의 눈,코,입을 통해 감염될 수도 있습니다. 특히 코로나19 바이러스는 물체의 표면에서 일정 시간 생존이 가능한데 구리에선 최대 4시간, 골판지에선 최대 24시간, 천과 나무에선 1일, 유리에선 2일, 스테인리스 스틸과 플라스틱에선 무려 4일이나 생존한다고 합니다. 이러다보니 코로나19 감염 예방을 위해 직접 집이나 사업장 등을 소독하시는 분들도 많으실텐데요. 그런데 이 소독도 올바른 방법으로 하는 게 중요하다고 합니다. 마스크를 턱이나 코 밑으로 걸쳐서 착용하는 일명 '턱스크' 등이 방역 효과가 없듯이 잘못된 방법의 소독도 효과가 없거나 더 나아가 오히려 감염의 원인이 될 수 있습니다.중앙방역대책본부가 오늘(26일) 정례브리핑에서 환경부와 함께 올바른 소독방법을 소개했는데, 소독제를 사용할 땐 뿌리는 것이 아니라 천에 묻혀 소독하고자 하는 부위를 닦아내야 한다는 내용이 포함됐습니다. 구체적으로 어떤 내용인지 살펴보겠습니다. ■""소독제 분사, 오히려 공기 중 바이러스 확산시켜 감염 위험에 노출될 수 있어"" 대중교통을 타고 출근했다 퇴근한 뒤 집에 들어서며 불안한 마음에 옷 등에 소독제를 뿌리시는 분들 있으신가요? 보통 분무기 등에 소독제를 넣어서 사용하는 경우가 많은데요. 방역 당국은 소독제를 분무하거나 분사하게 되면 오히려 감염 위험에 노출될 수 있다고 설명했습니다. 권명희 환경부 국립환경과학원 화학물질연구과장은 ""분무소독을 하는 경우에는 물체 표면에 부착되어 있을 수 있는 바이러스들이 재분산되고 공기 중에 확산돼서 인체, 호흡기를 통해서 인체에 노출될 수가 있다.""고 말했는데요. 바이러스가 묻어있을 경우 오히려 소독제를 뿌림으로써 바이러스를 공기로 퍼뜨릴 수 있다는 설명입니다. 또 소독제는 흡입독성이 있는 물질들이 많기 때문에 분무 된 소독제를 사람들이 흡입했을 때 예상치 못한 건강상의 문제가 발생할 가능성도 있습니다. 살균 소독제는 세균과 바이러스 등을 제거하기 위한 성분이기 때문에 그 생명체를 죽이는 물질이 들어 있고, 인체 및 환경에 대한 독성을 가지고 있기 때문에 각별한 주의가 필요하다는 겁니다. 특히 코로나19 유행 이후 도로나 길가 등에 소독제를 살포하는 장면, 많이들 보셨을 텐데요. 방역 당국은 이 같은 행위도 소독 효과가 입증되지 않았고, 건강 문제와 환경문제를 유발할 수 있기 때문에 자제해야 한다고 밝혔습니다. ■""소독제를 적신 천으로 표면을 닦아낸 뒤, 물에 적신 천으로 다시 닦아내야"" 그렇다면 소독제를 뿌리지 말고 어떻게 사용해야 하는 걸까요? 방역 당국이 밝힌 올바른 소독 방법은 다음과 같습니다. 1. 소독하기 전 일회용 라텍스 장갑이나 고무장갑 등 방수용 장갑과 보건용 마스크 등 개인 보호구를 반드시 착용한다. 2. 소독 전 충분히 환기를 시키고 일상적인 청소를 해야 한다. 3. 소독제를 적신 천으로 손이 자주 닿는 표면을 닦고, 일정 시간 유지 후 깨끗한 물로 적신 천으로 다시 표면을 닦아야 한다. 4. 소독한 장소는 반드시 환기한다. 5. 소독 후엔 마스크 등 개인 보호구를 탈의한 후 비누와 물로 손을 씻고 샤워한 뒤 옷을 갈아입는다. 이때 소독제는 환경부에 승인, 신고된 코로나19 살균, 소독제를 사용해야 하는데 해당 제품 목록은 초록누리(ecolofe.me.go.kr)에서 확인이 가능합니다. 다만 가정이나 다중이용시설에서는 치아염소산나트륨, 일명 가정용 락스를 사용할 수 있는데, 이때는 반드시 찬물 1리터에 치아염소산나트륨 20ml를 섞어 희석해 사용해야 합니다. 가정용 락스 희석액은 다른 세제나 소독제와 혼합해서도 안 되고 두통을 유발할 수 있기에 꼭 창문도 열어두고 써야 합니다. 방역 당국은 소독해야 하는 부위도 예를 들어 설명했는데요. 손잡이나 난간, 문고리, 팔걸이, 콘센트, 스위치 등 사람들의 접촉이 많은 물건 표면, 사무실에서 자주 접촉하는 키보드, 책상, 의자, 전화기 등의 표면, 또 화장실 수도꼭지와 문손잡이, 변기 덮개, 욕조와 화장실 표면 등은 특히 신경 써서 소독해야 합니다. 방역 당국은 ""인체에 해가 없는 소독제는 없다""며, ""건강을 지키기 위한 소독이 오히려 건강을 해치지 않도록 주의 사항을 지켜서 안전하게 소독제를 사용해달라""고 요청했습니다.김민지 기자 "
