,contents
0,"해양수산부가 중국과 일본에 '포스트 코로나' 시대를 대비하기 위해 해운물류 분야에서 공동 협력사업 발굴을 공개 제안합니다.해양수산부는 김양수 차관이 내일(29일) 화상으로 진행하는 '제8차 한·중·일 교통물류 장관회의 특별 세션'에 참석해 위와 같은 제안을 할 예정이라고 밝혔습니다.김 차관은 코로나19 사태를 대비하기 위한 비대면 선박검사, 해운물류 산업 디지털화, 자율운항 선박 개발과 같은 물류 체계를 요청합니다.나아가 비대면 방식으로 국제 협약을 이행하는 방안처럼 새로운 유형의 국제규범 실행 방식에 대해 협조를 구할 예정입니다.최근 코로나19 확산으로 인해 여객 운송이 중단된 한·중 카페리 선사, 한·일 여객 선사를 위해 세 국가가 각각 자국 항만시설의 사용료를 깎아주는 방안도 검토를 제안할 예정입니다.이어 국제 물류 운송이 정상적으로 이뤄질 수 있게 각국의 검역, 방역 정보를 공유하는 방안을 제시하기로 했습니다.김 차관은 ""한·중·일 경제는 지금까지 분업과 협업을 통해 발전해왔고 그중에서도 해운물류 분야 협력은 3국을 잇는 핵심 가교역할을 담당해 왔다""라고 밝혔습니다.한·중·일 교통물류 장관회의는 2006년 9월 서울에서 열린 1차 회의를 시작으로 2년마다 개최돼 왔습니다.올해는 당초 8월에 장관급으로 일본에서 열릴 예정이었지만, 이를 연기하고 대신 '특별 세션' 형태의 차관급 화상회의를 우선 진행하기로 했습니다.권준수 기자"
1,"'비비고 생선구이'가 수산 가정간편식(HMR) 일상식화 트렌드를 만들며 시장 성장을 주도하고 있다.CJ제일제당은 수산 HMR 대표 제품 '비비고 생선구이'가 탄탄한 소비층을 확보하면서 지난해 8월 출시 이후 누적 매출 100억원을 돌파했다고 29일 밝혔다. 수산 HMR 제품이 출시 1년도 되지 않아 월 평균 10억원 이상 매출을 기록한 것은 업계에서 이례적인 일로 평가 받는다.특히 요리를 좋아하지만 손질, 연기, 냄새 등으로 생물 조리에 불편함과 어려움을 느꼈던 미취학 유자녀 가구와 1~2인 가구에서 반응이 뜨겁다. CJ제일제당은 이들이 '비비고 생선구이'의 충성고객으로 자리잡으면서 매출 확대에 기여한 것으로 보고 있다.실제 CJ제일제당 식품전문몰 'CJ더마켓' 기준으로 '비비고 생선구이' 재구매율은 70%에 육박한다. 차별화된 맛 품질과 편의성 덕분에 구매자 10명 중 7명은 생선구이를 일상적으로 즐기기 시작했다고 해석할 수 있는 대목이다.이에 대해 CJ제일제당은 '비비고 생선구이'만의 차별화된 맛 품질과 조리 편의성, 시간 절약 등 많은 특장점이 소비자에게 통한 결과라 보고 있다. 비비고 생선구이 하나면 번거로운 손질과 조리 과정 없이 전자레인지 1분 조리로 집에서도 간편하게 생선구이를 즐길 수 있고 맛도 생물 생선을 직접 조리한 것과 비슷해 소비자 호평과 재구매가 이어지고 있는 것.반찬을 온라인에서 구매하는 트렌드에 맞춰 온라인 경로 매출을 적극적으로 확대해 나간 점도 주효했다. '비비고 생선구이'가 신선한 냉장 제품인 만큼 빠른 배송과 신선도를 강조하는 새벽배송 업체들과 협업하고, 1인 가구 소비자를 대상으로 배달앱과 함께 한 끼 기획전도 열었다. 또, 3040세대 주부를 겨냥해 연기와 냄새 없는 '요즘 생선' 캠페인을 지속적으로 진행하고, 최근 언택트 트렌드에 맞춰 '랜선 시식' 이벤트도 병행했다.'비비고 생선구이'의 활약은 수산 HMR 시장 성장으로도 이어지고 있다. 구이, 조림, 찜, 볶음 등 수산 HMR 시장은 육류 HMR에 비해 절대적 규모는 작지만 지속적으로 성장하고 있다. 특히 6~8월은 불 앞 조리가 더 꺼려지는 시기인 데다가 여름철 쉽게 상하는 생물을 손질하는 번거로움을 해소해준다는 점에서 더욱 각광받을 것으로 전망된다.이에 CJ제일제당은 집에서 생선요리를 즐기는 수요층을 겨냥한 다양한 마케팅 활동을 통해, 여름 성수기 매출 확대와 함께 수산 HMR 시장 성장 견인에 집중하겠다는 계획이다.CJ제일제당 관계자는 “'비비고 생선구이'를 경험한 소비자의 상당수가 단골고객으로 이어지고 있다는 것은 제품의 맛과 품질의 우수성을 증명하는 것”이라며, “하반기에 보다 진화된 형태의 수산 HMR 신제품을 선보여 '비비고 생선구이'의 영향력을 확대해 나갈 계획”이라고 밝혔다.이주현기자"
2,"CJ제일제당은 29일 '비비고 생선구이'가 누적 매출 100억원을 돌파했다고 밝혔다.     비비고 생선구이는 ▲ 고등어 ▲ 가자미 ▲ 삼치 등 3종이다.    비비고 생선구이는 지난해 8월에 출시된 제품으로, 출시 1년도 되지 않아 월평균 매출 10억원 이상을 기록했다고 CJ제일제당은 설명했다.     비비고 생선구이는 전자레인지에 1분만 돌리면 간편하게 먹을 수 있어 미취학 자녀를 두고 있는 가구나, 1∼2인 가구에서 인기가 높다고 CJ제일제당은 밝혔다.    특히 CJ제일제당 식품전문몰 'CJ더마켓'에서 비비고 생선구이의 재구매율은 70%에 이르는 것으로 조사됐다.    CJ제일제당 관계자는 ""구이, 조림, 찜, 볶음 등 수산HMR(가정 간편식) 시장이 계속해서 성장하고 있다""며 ""비비고 생선구이는 생선을 손질해야 하는 번거로움을 덜 수 있고, 집에서 구운 생선요리와 거의 차이가 없어 인기를 끌고 있다""고 밝혔다.'비비고 생선구이'[CJ제일제당 제공. 재판매 및 DB 금지]   "
3," '비비고 생선구이'가 수산 간편식(HMR) 일상식화 트렌드를 만들며 시장 성장을 주도하고 있다.CJ제일제당은 수산HMR 대표 제품 '비비고 생선구이'가 탄탄한 소비층을 확보하면서 지난해 8월 출시 이후 누적 매출 100억원을 돌파했다고 29일 밝혔다. 수산HMR 제품이 출시 1년도 되지 않아 월 평균 10억원 이상 매출을 기록한 것은 업계에서 이례적인 일로 평가 받는다.특히 요리를 좋아하지만 손질, 연기, 냄새 등으로 생물 조리에 불편함과 어려움을 느꼈던 미취학 유자녀 가구와 1~2인 가구에서의 반응이 뜨겁다. CJ제일제당은 이들이 ‘비비고 생선구이’의 충성고객으로 자리잡으면서 매출 확대에 기여한 것으로 보고 있다. 실제 CJ제일제당 식품전문몰 ‘CJ더마켓’ 기준으로 '비비고 생선구이' 재구매율은 70%에 육박한다. 차별화된 맛 품질과 편의성 덕분에 구매자 10명 중 7명은 생선구이를 일상적으로 즐기기 시작했다고 해석할 수 있는 대목이다.이에 대해 CJ제일제당은 '비비고 생선구이'만의 차별화된 맛 품질과 조리 편의성, 시간 절약 등 많은 특장점이 소비자에게 통한 결과라 보고 있다. 비비고 생선구이 하나면 번거로운 손질과 조리 과정 없이 전자레인지 1분 조리로 집에서도 간편하게 생선구이를 즐길 수 있고, 맛도 생물 생선을 직접 조리한 것과 비슷해 소비자 호평과 재구매가 이어지고 있는 것.반찬을 온라인에서 구매하는 트렌드에 맞춰 온라인 경로 매출을 적극적으로 확대해 나간 점도 주효했다. ‘비비고 생선구이’가 신선한 냉장 제품인 만큼 빠른 배송과 신선도를 강조하는 새벽배송 업체들과 협업하고, 1인 가구 소비자를 대상으로 배달앱과 함께 한 끼 기획전도 열었다. 또 3040세대 주부를 겨냥해 연기와 냄새 없는 ‘요즘 생선’ 캠페인을 지속적으로 진행하고, 최근 언택트 트렌드에 맞춰 ‘랜선 시식’ 이벤트도 병행했다.‘비비고 생선구이’의 활약은 수산HMR 시장 성장으로도 이어지고 있다. 구이, 조림, 찜, 볶음 등 수산HMR 시장은 육류 HMR에 비해 절대적 규모는 작지만 지속적으로 성장하고 있다. 특히 6~8월은 불 앞 조리가 더 꺼려지는 시기인 데다가 여름철 쉽게 상하는 생물을 손질하는 번거로움을 해소해준다는 점에서 더욱 각광받을 것으로 전망된다.이에 CJ제일제당은 집에서 생선요리를 즐기는 수요층을 겨냥한 다양한 마케팅 활동을 통해, 여름 성수기 매출 확대와 함께 수산HMR 시장 성장 견인에 집중하겠다는 계획이다. CJ제일제당 관계자는 “’비비고 생선구이’를 경험한 소비자의 상당수가 단골고객으로 이어지고 있다는 것은 제품의 맛과 품질의 우수성을 증명하는 것”이라며, “하반기에 보다 진화된 형태의 수산HMR 신제품을 선보여 ‘비비고 생선구이’의 영향력을 확대해 나갈 계획”이라고 밝혔다.이선애 기자"
4,완도군은 출자출연기관인 완도전복㈜이 친환경 수산물 가공·유통 관리 인증(ASC-CoC)을 획득했다고 29일 밝혔다.     ASC-CoC(Chain of Custody)는 인증 제품의 라벨을 통해 수산물의 정보·이력 등 추적성을 제공하는 인증이다.     완도전복㈜은 구매·가공·유통의 체계적인 관리 프로그램을 보유하고 있어 인증서를 빠르게 획득 할 수 있다는 장점이 있다.     군은 ASC-CoC 인증 획득을 통해 지속가능한 친환경 수산물 국제 인증(ASC) 시스템을 확립하고 국제 인증을 받은 제품에 대한 유통 경로 확보해 해외 시장을 선점할 계획이다.    군은 총 26개 전복 양식 어가에서 ASC 인증을 획득했다. 해조류 인증도 추진 중이다.    
5," '코로나19' 영향으로 집밥 수요가 늘면서 전자레인지에 돌려서 먹을 수 있는 간편 생선구이 시장이 불 붙고 있다. 생선은 특유의 비린내 때문에 그 동안 즉석 제품으로 만들기 어려웠지만 CJ제일제당, 오뚜기 등 대기업들이 시장에 뛰어 들면서 급성장하고 있다.29일 업계에 따르면 가정간편식(HMR) 시장은 2011년 8천억 원 규모에서 지난 2018년 3조 원 규모로 시장이 7년 새 약 4배까지 급속하게 성장했지만, 참치, 연어캔 등으로 대표되는 수산물 가공식품의 시장 규모는 정체 상태였다.특히 생선구이는 집 안에서 구우면 연기와 비린내가 심해 환기를 시켜도 한동안 빠지지 않는 단점이 있어 소비자들이 쉽게 접하지 못했다. 이로 인해 가정간편식 내 생선류 구이나 조림 시장은 연간 40억 원 수준에서 머물렀다.CJ제일제당 '비비고 생선구이' [사진=CJ제일제당 ]하지만 식품업체들이 지난해부터 수산물을 소재로 한 간편 생선구이 제품을 잇따라 출시하면서 HMR 시장에 변화를 일으키고 있다. 지난해 4월에는 오뚜기가 고등어와 꽁치, 삼치를 전자레인지에 2분 돌려 구이를 즐기도록한 제품을 내놨고, 신세계푸드도 같은 해 5월 고등어·가자미·꽁치·갈치·삼치구이 등으로 구성된 '올반 간편생선구이'를 출시했다. 또 3개월 후에는 CJ제일제당도 '비비고 생선구이'로 수산 HMR 시장에 합류하며 시장 경쟁에 불을 지폈다.특히 CJ제일제당은 탄탄한 소비층을 확보하며 지난해 8월 출시 이후 최근 누적 매출 100억 원을 돌파했다. 수산HMR 제품이 출시 1년도 되지 않아 월 평균 10억 원 이상 매출을 기록한 것은 업계에서 이례적인 일로 평가 받는다. 또 CJ제일제당 식품전문몰 'CJ더마켓' 기준으로 '비비고 생선구이' 재구매율은 70%에 육박한다.CJ제일제당 관계자는 ""'비비고 생선구이'를 경험한 소비자의 상당수가 단골고객으로 이어지고 있다는 것은 제품의 맛과 품질의 우수성을 증명하는 것""이라며 ""하반기에 보다 진화된 형태의 수산HMR 신제품을 선보여 '비비고 생선구이'의 영향력을 확대해 나갈 계획""이라고 말했다.업계 관계자는 ""수산HMR은 요리를 좋아하지만 손질, 연기, 냄새 등으로 생물 조리에 불편함과 어려움을 느꼈던 미취학 유자녀 가구와 1~2인 가구에서 좋은 반응을 얻고 있다""며 ""특히 6~8월은 불 앞 조리가 더 꺼려지는 시기인 데다가 여름철 쉽게 상하는 생물을 손질하는 번거로움을 해소해준다는 점에서 더욱 각광받을 것으로 전망된다""고 밝혔다.장유미기자"
6," CJ제일제당은 수산 HMR(가정간편식) 대표 제품 ‘비비고 생선구이’가 지난해 8월 출시 이후 누적 매출 100억원을 돌파했다고 29일 밝혔다. (사진=CJ제일제당)수산 HMR 제품이 출시 1년도 되지 않아 월 평균 10억 이상 매출을 기록한 것은 업계에서 이례적인 일로 평가 받는다.비비고 생선구이는 손질, 연기, 냄새 등으로 생물 조리에 불편함과 어려움을 느꼈던 미취학 유자녀 가구와 1~2인 가구에서의 인기를 끌고 있다. 실제 CJ제일제당 식품전문몰 ‘CJ더마켓’ 기준으로 비비고 생선구이 재구매율은 70%에 육박한다. CJ제일제당은 비비고 생선구이만의 차별화된 맛 품질과 조리 편의성, 시간 절약 등 많은 특장점이 소비자에게 통한 결과로 분석했다. 비비고 생선구이 하나면 번거로운 손질과 조리 과정 없이 전자레인지 1분 조리로 집에서도 간편하게 생선구이를 즐길 수 있고, 맛도 생물 생선을 직접 조리한 것과 비슷해 소비자 호평과 재구매가 이어지고 있는 것.반찬을 온라인에서 구매하는 트렌드에 맞춰 온라인 경로 매출을 적극적으로 확대해 나간 점도 주효했다. 비비고 생선구이가 신선한 냉장 제품인 만큼 빠른 배송과 신선도를 강조하는 새벽배송 업체들과 협업하고, 1인 가구 소비자를 대상으로 배달앱과 함께 한끼 기획전도 열었다. 또, 3040세대 주부를 겨냥해 연기와 냄새 없는 ‘요즘 생선’ 캠페인을 지속적으로 진행하고, 최근 언택트 트렌드에 맞춰 ‘랜선 시식’ 이벤트도 병행했다.비비고 생선구이 이후 수산 HMR 시장도 성장하고 있다. 구이, 조림, 찜, 볶음 등 수산 HMR 시장은 육류 HMR에 비해 절대적 규모는 작지만 지속적으로 성장하고 있다. 특히 6~8월은 불 앞 조리가 더 꺼려지는 시기인 데다가 여름철 쉽게 상하는 생물을 손질하는 번거로움을 해소해준다는 점에서 더욱 각광받을 것으로 전망된다.CJ제일제당은 집에서 생선요리를 즐기는 수요층을 겨냥한 다양한 마케팅 활동을 통해, 여름 성수기 매출 확대와 함께 수산HMR 시장 성장 견인에 집중할 계획이다. CJ제일제당 관계자는 “비비고 생선구이를 경험한 소비자의 상당수가 단골고객으로 이어지고 있다는 것은 제품의 맛과 품질의 우수성을 증명하는 것”이라며, “하반기에 보다 진화된 형태의 수산 HMR 신제품을 선보여 비비고 생선구이의 영향력을 확대해 나갈 계획”이라고 말했다.이성웅 "
7," 이개호 의원(더불어민주당 담양·함평·영광·장성)이 21대 국회 전반기 ‘농림축산식품해양수산위원장’에 선출됐다.이 의원은 29일 오후 국회에서 열린 본회의 농림축산식품해양수산위원회 상임위원장 선거에서 총 투표수 181표 중 180표를 얻어 당선됐다.이 의원은 “코로나19 위기 속에서 우리나라 식량안보를 책임지고 있는 국회 농림축산식품해양수산위원장이라는 중책을 맡게 돼 막중한 책임감을 느낀다”면서 “오직 농어민의 편에서 농어민의 눈높이에 맞는 정책마련과 예산편성을 통해 급변하는 환경 속에서 우리 농어업과 농어촌이 새로운 성장동력을 찾아 꾸준히 발전해 나갈 수 있도록 최선을 다할 것”이라고 밝혔다.이어 “농림·수산·축산 등 국민 식생활 및 식량안보에 직결돼 있는 분야에 여야가 있을 수 없는 만큼, 협치를 바탕으로 농어업과 농어민을 위한다는 공동의 목표에 여야가 함께 하는 상임위가 될 수 있도록 운영에 만전을 기할 것”이라고 강조했다.한편 3선 의원인 이개호 의원은 20대 국회 전반기 농해수위 간사, 위원장 직무대행직을 수행하면서 야당과의 대화와 타협을 통해 농어촌상생기금도입, 청탁금지법 개정에 앞장서면서 상임위를 원만히 운영했다는 평을 받고 있다.또 제64대 농림축산식품부 장관으로서 쌀값 안정, 공익형직불제 도입 등 굵직한 농정개혁의 틀을 마련한 바 있어 농해수위 현안에 대한 경험과 전문성은 국회 내에서도 가장 높다는 평이다.호남취재본부 윤자민 기자"
8,"[헤럴드경제=황해창 기자] 이개호 의원(더불어민주당 담양·함평·영광·장성)이 21대 국회 전반기 농림축산식품해양수산위원회 위원장으로 선출됐다.29일 오후 국회에서 열린 본회의 농림축산식품해양수산위원회 상임위원장 선거에서 이개호 의원은 총투표수 181표 중 180표를 얻어 위원장으로 당선됐다.이 의원은 소감에서 “코로나19 위기속에서 우리나라 식량안보를 책임지고 있는 국회 농림축산식품해양수산위원장이라는 중책을 맡게 되어 막중한 책임감을 느낀다”면서 “오직 농어민의 편에서 농어민의 눈높이에 맞는 정책마련과 예산편성을 통해 급변하는 환경속에서 우리 농어업과 농어촌이 새로운 성장동력을 찾아 꾸준히 발전해 나갈 수 있도록 최선을 다할 것”이라고 말했다.이 의원은 또 “농림, 수산, 축산등 국민 식생활 및 식량안보에 직결되어 있는 분야에 여야가 있을 수 없는 만큼 협치를 바탕으로 농어업과 농어민을 위한다는 공동의 목표에 여야가 함께 하는 상임위가 될 수 있도록 운영에 만전을 기할 것”이라고 밝혔다.3선인 이 의원은 20대 국회 전반기 농해수위 간사, 위원장 직무대행직을 수행하며 야당과의 대화와 타협을 통해 농어촌상생기금도입, 청탁금지법 개정에 앞장섰다. 또 제64대 농림축산식품부 장관으로서 쌀값안정, 공익형직불제 도입등 굵직한 농정개혁의 틀을 마련했다는 평가다.이 의원은 신임 농해수위 위원장으로서 현안에 대한 경험과 전문성을 앞세워 여야간의 협치를 바탕으로 농어촌과 농어민의 권익을 대변하는 생산적이고 효율적인 상임위원회로 이끌어 나갈 것으로 기대된다.◆이개호 농림축산식품해양수산위원회 위원장 주요 이력▷1959년생, 전남 담양출신. 금호고, 전남대 경영학과 ▷제19·20·21대 국회의원(전남 담양·함평·영광·장성) ▷제24회 행정고등고시 합격(만21세) ▷제35대 전라남도 행정부지사 ▷더불어민주당 최고위원(전) ▷문재인정부 국정기획자문위 경제2분과위원장(전) ▷더불어민주당 전라남도당위원장(전) ▷제64대 농림축산식품부 장관 ▷21대 국회 전반기 농림축산식품해양수산위원회 상임위원장hchwang@heraldcorp.com"
9,"대구농협은 급격히 날씨가 더워짐에 따라 여름철 식품안전 및 위생관리를 강화하기 위해 관내 18개 농협 판매장에 하절기 식품안전 특별점검을 했다.농·축·특·수산물의 여름철 고위험군 식품관리, 식육·포장육 등의 냉장보관온도 관리, 작업장 및 작업자 위생관리 준수여부 등을 집중적으로 점검했다.오는 9월까지 농협 판매장을 수시로 점검할 예정이다. 이수환 본부장은 ""농협 판매장에 대한 철저한 식품안전관리로 소비자들에게 안전한 먹거리 공급을 위해 최선을 다하겠다""고 밝혔다.☞공감언론 뉴시스"
