,contents
0,"슈나이더일렉트릭코리아 익산 스마트 팩토리에 마련된 이노베이션 허브와 컨트롤 타워.슈나이더일렉트릭코리아는 전자식 모터 보호계전기(EOCR)를 생산하는 전북 익산 공장을 스마트 팩토리로 전환했다고 28일 밝혔다.회사는 노동집약형 제조를 하던 익산 공장에 사물인터넷(IoT) 기반 에너지 관리와 자동화 공정을 도입했다고 설명했다.이를 통해 제품불량률 10% 이상 감소, 에너지 소비 5% 이상 감축, 서류 업무를 60% 이상 감소하는 효과가 예상되며 향후 3년 내에 제품 생산량을 100% 향상시킬 것으로 기대된다고 덧붙였다.슈나이더일렉트릭은 한국형 스마트 팩토리의 표본을 제시하기 위해 조업현황, 인력투입시간, 품질, 생산성, 안전을 살펴볼 수 있는 이노베이션허브도 함께 만들었다고 전했다.슈나이더일렉트릭 관계자들이 익산 스마트 팩토리를 둘러보고 있다.윤건일기자"
1," 슈나이더일렉트릭코리아는 사물인터넷(IoT) 등 기술 플랫폼 '에코스트럭처'를 기반으로 구축한 전북 익산 스마트 팩토리를 28일 공개했다.이 공장은 지난 30여년 간 전자식 모터 보호계전기(EOCR)를 노동집약형 방식으로 생산해왔다.슈나이더일렉트릭은 이번에 에너지관리 시스템 '에코스트럭처 파워 모니터링 엑스퍼트'를 비롯해 아비바 소프트웨어(SW) 기반 공장 운영관리시스템(MES) '컨트롤 타워', 증강현실(AR) 솔루션 등을 설치해 스마트 팩토리를 구현했다.특히 AR 어드바이저를 활용하면 가동 중인 기계 설비를 직접 조작하거나 패널을 열어보지 않아도 운전상태를 모니터링하고 점검할 수 있다. 이를 통해 기계 가동 중단 없이 쉽고 안전하게 예방 보전 업무를 수행할 수 있다는 게 회사 측 설명이다.익산 스마트 팩토리에 마련된 이노베이션 허브와 컨트롤 타워의 모습. [사진=슈나이더일렉트릭 코리아]더불어 익산 공장에는 '이노베이션 허브'도 구축됐다. 이 공간 내에 위치한 컨트롤 타워에서는 조업 현황, 인력 투입시간, 품질, 생산성, 안전, 산업효율 등을 실시간으로 확인할 수 있다. 각종 데모 부스에는 '디지털 전력 시스템·에너지 관리 솔루션'과 '스마트 모터보호 및 정보감시 솔루션'과 '스마트 전기설비 감시·예방 예지보전 솔루션' 등을 직접 체험할 수 있는 공간이 마련됐다.김경록 슈나이더일렉트릭 코리아 대표는 ""익산 스마트 팩토리는 에너지 관리와 자동화라는 두 분야를 모두 갖추고 있다""며 ""국내 산업용 사물인터넷(IIoT) 및 한국식 스마트 팩토리 확대에 선도적인 역할을 것""으로 기대했다.최은정기자"
2,"자사 핵심 솔루션 적용해 생산방식·에너지관리 디지털화김경록 슈나이더일렉트릭코리아 대표(왼쪽 다섯번째)와 임직원들이 28일 전북 익산 스마트팩토리 오픈식에서 축하 케이크를 자르고 있다. 슈나이더일렉트릭 제공    슈나이더일렉트릭코리아(한국지사 대표 김경록)가 자사 전북 익산 공장을 스마트팩토리로 탈바꿈시키고 28일 오전 현장에서 오픈 행사를 진행했다. 이날 오픈식에는 김경록 슈나이더일렉트릭코리아 대표와 임직원들이 참석해 케이크 커팅을 하며 축하했다. 익산 공장은 30여년 동안 전자식 모터 보호계전기(EOCR)를 노동집약형 방식으로 생산했으나 슈나이더일렉트릭의 '에코스트럭처'(EcoStruxure) 플랫폼을 적용해 스마트팩토리로 바뀌었다. 에코스트럭처는 사물인터넷을 기반으로 에너지 관리와 자동화 공정을 최적화하는 기술 플랫폼이다. 디바이스간 통신이 가능한 커넥티드 제품과 모션 드라이브, 파워 모니터링 엑스퍼트, PLC(프로그래머블로직컨트롤러) 등의 엣지 컨트롤, 오퍼레이션 단의 애플리케이션, 분석툴·서비스를 아우르는 3단계 레이어를 통해 생산·관리·운영을 스마트화한다. 회사는 에너지 관리와 자동화에 더해 원격관리·증강현실·예지보전·보안 솔루션을 구현했다. 또 인력, 품질, 에너지 효율, 생산량, 공장 운영관리 관련 각종 지수를 한눈에 볼 수 있는 아비바 소프트웨어 시스템 기반의 컨트롤타워, 패드를 통한 증강현실 기반 원격 제어와 모니터링 시스템을 적용했다. 증강현실 어드바이저를 이용하면 가동 중인 기계설비를 직접 조작하거나 패널을 열어보지 않아도 각종 기기 및 설비의 운전상태를 모니터링하고 점검할 수 있다. 기계설비 도면과 기술자료도 스마트 디바이스로 볼 수 있다. 슈나이더일렉트릭 익산공장 직원이 스마트 패드를 통해 현장 장비를 확인하고 있다.  슈나이더일렉트릭 제공    슈나이더일렉트릭은 한국형 스마트팩토리 모델을 제안하기 위해 공장 내부에 '이노베이션 허브'를 구축했다. 허브 공간 내의 컨트롤타워에서는 공장운영시스템을 통해 조업현황, 인력 투입시간, 품질, 생산성, 안전, 산업효율 등을 실시간으로 한 눈에 볼 수 있다. 데모 부스에는 효율적인 에너지 관리를 위한 전력기기 모니터링 솔루션인 '디지털 전력 시스템 및 에너지 관리 솔루션'을 비롯해 모터 품질 관리 및 유지보수, 예지보전 솔루션인 '스마트 모터보호 및 정보감시 솔루션', '모디콘(Modicon) M262 로직 컨트롤러' 및 24시간 실시간 모니터링 서비스인 '스마트 전기 설비 감시 및 예방 예지보전 솔루션'을 체험할 수 있다. 엔지니어와의 질의응답을 통해 궁금한 사항을 직접 확인할 수도 있다. 김경록 슈나이더일렉트릭코리아 대표는 ""익산 스마트 팩토리는 에너지 관리와 자동화라는 두 분야를 모두 갖추고 있어, 국내 IIoT(산업용 사물인터넷) 및 한국식 스마트팩토리 확대에 선도적인 역할을 하리라 기대한다""며 ""뉴노멀 시대의 핵심이 된 '스마트공장' 비전을 구현한 익산 현장에 직접 방문해서 혁신 인사이트를 얻길 바란다""고 말했다.1981년도에 설립된 익산 공장은 스마트팩토리 솔루션 도입을 통해 △제품 불량률 10% 이상 감소 △에너지 소비 5% 이상 감축 △페이퍼워크 60% 감소 △3년 내에 제품 생산량 100% 향상을 기대하고 있다. 슈나이더일렉트릭은 세계적으로 11개의 스마트팩토리 등대공장을 갖추고 있다. 안경애기자"
3,"에너지 관리 및 자동화 분야의 디지털 혁신을 선도하고 있는 글로벌 기업 슈나이더 일렉트릭 코리아는 전북 익산에 위치한 '익산 스마트 팩토리'를 공개하며, 국내 기업들을 위한 뉴노멀 시대의 스마트 공장 표본을 제시했다. 오픈식에는 슈나이더 일렉트릭 코리아 김경록 대표 및 관련 임직원이 참석해 테이프 컷팅을 진행했다. 한편, 슈나이더 일렉트릭은 전세계 11개의 스마트 팩토리 등대공장을 갖추고 있으며, 대한민국을 비롯한 아시아에는 인도네시아 바탐 스마트 팩토리 및 태국, 필리핀, 베트남 등 총 6개의 스마트 팩토리를 운영하고 있다. 사진은 슈나이더 일렉트릭 코리아 익산 스마트 팩토리 오픈식에 참석한 김경록 대표(왼쪽에서 5번째) 및 임직원이 케이크 컷팅식에 참여하고 있다./ 슈나이더일렉트릭코리아 제공"
4,"[한경비즈니스=이명지 기자] 구자은 LS그룹 미래혁신단장 겸 LS엠트론 회장이 동제련 스마트 공장을 찾아 디지털 전환을 재촉했다.구 회장은 6월 23일 LS니꼬동제련 온산 제련소 스마트 팩토리 1차 구축 결과 시연을 참관했다. 이 자리에는 (주)LS 사업전략부문장 등 관계자 50여 명이 참석했고 LS니꼬동제련 도석구 사장이 시연했다.LS니꼬동제련은 2017년 스마트 팩토리를 추진하기 시작해 작년부터 관련 플랫폼을 단계적으로 구축해 왔다. 현재는 통합생산업무 플랫폼(MES), 원료 최적 조합 시스템(APS), 개방형 양방향 제어 시스템(DCS)을 도입해 제련소 경쟁력에 디지털 기술을 융합하는 단계로 2023년 3단계(최적화·자율 운행) 달성이 목표다"
5,"구자은 LS그룹 미래혁신단장 겸 LS엠트론 회장이 동 제련 스마트 공장을 찾아 디지털 전환을 재촉했다.DCS 관제실 둘러보는 구자은 LS 미래혁신단장(중간)[LS 제공. 재판매 및 DB 금지]    24일 LS에 따르면 구자은 회장은 지난 23일 LS니꼬동제련 온산 제련소 스마트 팩토리(ODS·Onsan Digital Smelter) 1차 구축 결과 시연을 참관했다.    이 자리에는 ㈜LS 사업전략부문장 등 관계자 50여명이 참석했으며 LS니꼬동제련 도석구 사장이 시연을 펼쳤다.    LS니꼬동제련은 지난 2017년 스마트 팩토리를 추진하기 시작해 작년부터 관련 플랫폼을 단계적으로 구축해왔다. 현재는 통합생산업무 플랫폼(MES), 원료 최적 조합시스템(APS), 개방형 양방향 제어시스템(DCS)을 도입해 제련소 경쟁력에 디지털 기술을 융합하는 단계로 2023년 3단계(최적화 및 자율 운행) 달성이 목표다.ODS 시연 참관하는 구자은 LS 미래혁신단장[LS 제공. 재판매 및 DB 금지]    구 회장은 이날 시연을 본 뒤 DCS 관제실을 방문했다. 그는 특히 현장에서 ""임직원들이 동 제련에 맞게 디지털을 재해석하고 구현해 그룹 내 디지털 전환 롤모델을 제시했다""고 말했다.    그러면서 ""최고경영자(CEO)를 중심으로 미래 혁신에 박차를 가해야 근본적이고 지속가능한 디지털 전환 여정을 이끌어갈 수 있다""고 강조했다.    구 회장은 작년 초 지주사 내 미래혁신단 단장직을 맡아 그룹 중점 미래 전략인 디지털 전환 과제를 촉진하고 애자일(Agile) 경영기법을 전파하는 데 주력하고 있다.   "
6,"[헤럴드경제 김현일 기자] 구자은 LS그룹 미래혁신단장 겸 LS엠트론 회장이 LS니꼬(Nikko)동제련의 울산 온산제련소를 찾아 ‘디지털 전환’ 성과를 격려하고, 신종 코로나바이러스 감염증(코로나19) 위기 극복을 위한 성과 창출을 당부했다.24일 LS그룹에 따르면 구 회장은 지난 23일 LS니꼬동제련 온산제련소를 방문해 전사적으로 추진하고 있는 디지털 전환 성과를 확인했다.이 자리에서 도석구 LS니꼬동제련 사장은 지난 2017년부터 시작한 ‘동제련 스마트 팩토리(ODS:Onsan Digital Smelter)’ 구축 결과를 시연했다.ODS 프로젝트는 모든 생산영역에 디지털 혁신기술을 도입하고, 데이터에 기반해 제련사업을 고도화하는 사업이다. LS니꼬동제련은 지난해부터 올해까지 스마트 팩토리 플랫폼을 1단계 구축했고, 2023년까지 최적화 및 자율운행을 목표로 하고 있다.작년 초 지주사에 신설된 미래혁신단 단장을 맡아 디지털 전환을 주도하고 있는 구 회장은 LS니꼬동제련의 사례가 그룹의 좋은 본보기가 될 것이라고 격려했다.그는 “LS니꼬동제련 임직원이 동제련 업에 맞게 디지털을 재해석하고 구현해 LS의 중점과제인 디지털 전환이 어떻게 추진돼야 하는지 좋은 롤모델을 제시했다”며 “이러한 디지털 전환의 성공 경험은 ‘글로벌 1등 제련소’라는 비전을 달성하는데 중요한 차별적 무기가 될 것”이라고 격려했다.이어 “최고경영자(CEO)를 중심으로 명확한 비전과 리더십을 가지고 미래혁신에 박차를 가해야 근본적이고 지속가능한 디지털 전환의 여정을 이끌어갈 수 있다”며 “임직원 모두가 스마트 팩토리 구축을 위해 2단계 확대 및 고도화, 3단계 최적화 및 자율화 단계까지 계속 매진해달라”고 당부했다."
7,"구자은 LS그룹 미래혁신단장 겸 LS엠트론 회장이 LS니꼬동제련의 울산 온산제련소를 찾아 ‘디지털 전환’ 성과를 격려하고, 신종 코로나바이러스 감염증(코로나19) 위기 극복을 위한 성과 창출을 당부했다.24일 LS그룹에 따르면 구 회장은 지난 23일 LS니꼬동제련 온산제련소를 방문해 전사적으로 추진하고 있는 디지털 전환 성과를 확인했다.이 자리에서 도석구 LS니꼬동제련 사장은 지난 2017년부터 시작한 ‘동제련 스마트 팩토리(ODS:Onsan Digital Smelter)’ 구축 결과를 시연했다.ODS 프로젝트는 모든 생산영역에 디지털 혁신기술을 도입하고, 데이터에 기반해 제련사업을 고도화하는 사업이다. LS니꼬동제련은 지난해부터 올해까지 스마트 팩토리 플랫폼을 1단계 구축했고, 2023년까지 최적화 및 자율운행을 목표로 하고 있다.작년 초 지주사에 신설된 미래혁신단 단장을 맡아 디지털 전환을 주도하고 있는 구 회장은 LS니꼬동제련의 사례가 그룹의 좋은 본보기가 될 것이라고 격려했다.그는 “LS니꼬동제련 임직원이 동제련 업에 맞게 디지털을 재해석하고 구현해 LS의 중점과제인 디지털 전환이 어떻게 추진돼야 하는지 좋은 롤모델을 제시했다”며 “이러한 디지털 전환의 성공 경험은 ‘글로벌 1등 제련소’라는 비전을 달성하는데 중요한 차별적 무기가 될 것”이라고 격려했다. 김현일 기자"
8,"일반 가전도 음성으로 제어...‘출발 타이머’ 기능 곧 적용(지디넷코리아=백봉삼  기자)네이버는 인공지능 플랫폼 '클로바'가 탑재된 스마트 클락 '클로바 클락+'을 다음달 1일 출시한다고 밝혔다. 익숙한 탁상시계 형태의 외관에 네이버의 최첨단 인공지능 기술을 접목해 새로운 사용자 경험을 제공한다.클로바 클락+은 사용자들이 가장 많이 검색하는 생활 정보를 시각화해 편의성을 높인 것이 가장 큰 특징이다. LED 디스플레이를 통해 별도의 음성 명령 없이도 현재 시각, 알람 설정 여부, 미세먼지 상태, 눈/비 소식을 한 눈에 확인할 수 있다.사물인터넷(IoT) 기능이 없는 일반 가전제품을 음성으로 제어할 수 있는 '스마트 리모컨' 기능도 추가됐다. 이로써 기존 스마트홈 지원 기기뿐만 아니라, 적외선 리모컨(IrDA)을 지원하는 TV, 셋톱박스, 에어컨, 공기청정기를 '클로바 클락+'과 연동할 수 있다.그 외에도 ▲음악오디오 콘텐츠 ▲키즈 콘텐츠 ▲생활 정보 검색 ▲영어 대화 등 클로바 스마트스피커를 통해 접할 수 있는 다양한 기능들을 '클로바 클락+'에서 동일하게 사용할 수 있다. 또 '퀄컴 스마트 오디오 400 플랫폼' 칩셋이 탑재돼 고품질의 오디오 경험을 제공한다.네이버는 사용자가 제 시간에 출발할 수 있도록 도와주는 '출발 타이머' 기능도 준비 중이다. 목적지와 도착 시간, 이동 수단 등을 미리 설정해두면, 실시간 교통상황을 반영해 출발해야 하는 시간을 안내한다. 예를 들면 “오전 9시까지 그린팩토리에 도착하려면 약 20분 뒤에 출발하세요”와 같은 식이다. 출발 타이머 기능은 7월 중 클로바 클락+에 우선 적용될 예정이다.정석근 네이버 클로바 대표는 ""이번 '클로바 클락+' 출시를 계기로 AI 기술 기반의 비즈니스를 본격화해 나갈 계획""이라면서 ""네이버 클로바는 계속해서 새로운 디바이스와 서비스로 AI 기술의 생태계를 확장하고, 사람의 일상을 편리하게 만드는 기술을 실현해 나갈 것""이라고 말했다.클로바 클락+는 LG U+의 스마트 인터넷 요금제 3종 가입을 해야만 지급받을 수 있다. 기기만 별도 구매하는 것은 불가능하다.백봉삼 기자"
9,"포스코ICT가 포스트코로나 시대에 대비해 스마트팩토리 솔루션으로 제조기업 경쟁력 향상을 지원하고 있다.포스코ICT는 국내 대표 유리 제조기업 한국유리공업의 스마트팩토리 구축 프로젝트를 추진한다고 23일 밝혔다. 포스코ICT는 한국유리공업의 군산 공장에 스마트팩토리 기반의 MES(통합생산관리시스템)를 내년 1월까지 구축할 계획이다.이를 통해 군산 공장은 유리 생산 원료투입 단계부터 생산, 출하에 이르는 전 공정을 스마트팩토리 체제로 전환한다. 특히, 전체 공정에서 발생하는 다양한 데이터를 수집, 정제해 빅데이터로 분석하고, 공정 간 데이터를 공유·활용할 수 있는 체계를 갖추게 된다.불량이 발생하면 데이터를 역추적해 이전 공정 단계에서 불량의 원인을 찾아내는 등의 정밀한 품질관리가 가능해진다. 고객주문과 생산 현황 데이터를 연동시켜 제품과 원료 재고율을 낮출 수 있다.포스코ICT 측은 “ 구축한 기술과 노하우를 활용해 기업의 디지털화를 지원하고 있다”며 “자사 스마트팩토리 솔루션을 중소 및 중견 기업 맞춤형으로 경량화 하고, 중화학·유리·제지 등 연속 공정 대상의 스마트팩토리 사업을 적극 추진하고 있다”고 설명했다. 정태일 기자"
