,contents
0,"        ▲  이철우 경북도지사가 29일 경북도청 다목적홀에서 민선 7기 2주년 기자간담회에서 발언하고 있다.            ⓒ 조정훈   대구경북 통합신공항 이전지 결정을 앞두고 군위군과 의성군의 갈등이 좀처럼 좁혀지지 않고 있는 가운데, 이철우 경북도지사가 이전지 확정을 위해 군위군을 반드시 설득하겠다고 강조했다. 단독 후보지인 군위 우보로 신공항을 옮기는 것은 불가하다고 사실상 선을 그은 것이다.  앞서 군위군은 단독 후보지인 군위 우보로, 의성군은 공동 후보지인 의성 비안·군위 소보로 각각 유치 신청을 냈다. 의성군은 주민투표 결과 공동 후보지를 가장 많이 찬성했다는 점을 강조한 반면, 군위군은 군민 반대 때문에 단독 후보지를 고수할 수밖에 없다는 입장이다.이철우 경북도지사는 29일 '민선 7기 전반기 성과 및 후반기 방향 브리핑'에서 ""중재안도 내고 방법도 강구해 군위와 의성 군민들이 적극적으로 동참할 수 있도록 총력을 펼치겠다""고 말했다. 앞서 지난 26일 국방부에서 열린 대구 군공항 이전부지 선정 실무위원회는 '군위군이 주민투표 결과에 반하는 후보지를 신청한 것은 지역사회합의 기준에 맞지 않고, 의성군이 신청한 공동 후보지 또한 군위군이 반대하기 때문에 절차를 충족하지 못했다'고 결론 내렸다. 이 지사는 ""최선을 다해 7월 3일 선정위에서 선정되도록 하는 것이 목표""라며 ""최악의 경우 어떤 일이 있더라도 공항 위치는 현재 정해진 방향대로 갈 수밖에 없다. 선정위에서 정해진 방향은 공동 후보지로 거의 결정이 된 상태""라고 말했다. 그러면서 ""군위는 우보를 위해서 열심히 뛰었는데 현 상태에서는 어렵게 되니까 허탈해하고 아직도 우보가 아니면 안 된다는 생각을 많이 갖고 있는 것 같다""며 ""하지만 법적 절차를 거쳐 왔기 때문에 우보로 돌아가는 것은 불가능하다""고 강조했다. 이 지사는 ""주민투표 할 때 우보가 많이 나오면 우보 단독으로 가고 소보나 비안이 많이 나오면 공동 후보지로 하기로 약속하고 서명까지 했다""며 ""투표하니 비안이 1등이 나와 당연히 공동 후보지로 가는 걸로 되어 있다""고 덧붙였다.""제3의 장소는 안 돼"" 거듭 강조 경북도와 대구시는 공동 후보지를 이전지로 결정하기 위해 군위군에 파격적인 인센티브를 제안한 상태이다. 군위군에 민항터미널 및 부대시설을 건설해주고 영외관사 2500여 세대와 공항IC, 송항진입도로 신설, 군위 동서관통도로, 시·도공무원연수시설 등을 제안했다. 이 지사는 이와 관련 ""국토부가 민항을 결정하지만 수요자가 많은 대구와 가까운 곳에 갈 수밖에 없다""며 ""영외관사는 국방부가 읍 단위에 가야 한다고 생각하는데 공항까지 군위읍은 7km, 의성읍은 16km 떨어져 있어 군위가 유리한 조건""이라고 말했다. 하지만 통합신공항 이전지 무산과 제3의 장소에 대해서는 단호하게 반대한다는 입장을 나타냈다. 그는 ""설사 제3지역으로 추진한다고 하더라도 그쪽 지역민 역시 반대와 찬성으로 나뉠 것""이라며 ""또 허송세월을 보내면서 결국 신공항 이전은 추진할 수 없게 될 것""이라고 우려했다. 그러면서 ""어떡하든 지금은 군위를 설득해 가는 수밖에 없다""며 ""이번에 무산시키면 우리는 역사의 죄인이 된다""고 군위군과 의성군의 결단을 촉구했다. 대구경북 행정통합과 관련해 이 지사는 ""대구 따로 경북 따로는 어렵다""면서 ""다른 지역은 엄청 발전하고 있는데 우리는 어렵다. 대구경북이 합쳐 시너지 효과를 내야 한다""고 말했다. 이 지사는 또 권영진 대구시장이 홍의락 전 더불어민주당 의원을 경제부시장으로 영입한 것과 관련해 ""대구는 새로운 실험을 하고 있고 협치에 도움이 될 것""이라며 ""대구의 실험을 보고 경북도 시도하겠다""고 말했다.저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지"
1,"그러면서 ""공동후보지로 거의 결정된 상태인데 단지 유치 신청하는 마지막 절차만 남아 있다""며 ""군위군이 공동후보지를 신청하도록 적극적으로 설득하고 있으며 단독후보지로 돌아가는 길은 불가능하다""고 강조했다.이전부지 선정 무산과 제3 후보지 거론과 관련해서는 ""두 후보지가 아닌 새로운 지역은 반대 세력 등으로 한발짝도 못 나가고 싸우다가 끝이 나고 현재로선 굉장히 어렵다""며 ""이렇게 가면 무산되는 만큼 똘똘 뭉쳐 해결해야 한다""고 강조했다.이 지사는 ""공항이 옮기면 군위와 의성 모두 획기적으로 발전하는데 작은 것으로 다투지 말고 한 방향으로 나아가도록 도와달라""고 호소했다.대구·경북 통합신공항 이전부지 선정실무위원회는 지난 26일 단독후보지와 공동후보지 모두 이전부지로 적합하지 않다고 판단했다.지난 1월 주민투표에서 공동후보지가 단독후보지보다 높은 점수를 받았으나 군위군이 공동후보지 유치신청을 하지 않았기 때문이다.선정실무위는 다음 달 3일 선정위원회까지 의성·군위군 등 지방자치단체가 후보지를 협의해 다시 신청할 것을 권고했다.이 지사는 대구와 경북 행정통합과 관련해서는 ""권영진 대구시장이 먼저 제안한 것으로 지휘를 한 사람이 하는 게 통합의 핵심""이라며 ""대구 일반 여론은 통합에 긍정적인데 공직자 일부에서 비관적인 의견이 있는 것 같다""고 전했다.이어 ""시·도민 추진위원회 등 민간 중심으로 행정통합 공감대를 확산하겠다""고 덧붙였다.대구=정재훈기자"
2,"지난 23일 부산 김해국제공항 국제선 터미널 모습. 접안한 비행기는 없는 대신 계류장에 멈춰 선 비행기들이 보인다. 연합뉴스부산·울산·경남 3개 단체장이 지난 토요일(27일) 부산시청에서 비공개 회동을 갖고 가덕신공항 건설안에 대한 심도 깊은 논의를 한 것으로 확인됐다. 국무총리실의 김해신공항안(김해공항 확장안) 검증이 막바지에 접어든 가운데, 세 단체장이 오롯이 신공항 문제를 논의하는 자리를 가진 것이다. 이들은 지난 16일 경남도청에서 열린 ‘더불어민주당 코로나19 국난극복위원회 영남권 간담회’에서 만난 바 있는데, 열흘여 만에 별도 회동이 진행된 터라 그 배경에 더욱 관심이 쏠린다.총리실 검증 발표 앞두고 또 회동부산시, 가덕신공항 보완안 설명매립 축소 건설비용 7조 5000억김해공항 확장안과 비슷한 수준안전 분과 제외 검증 마무리 단계부산시 관계자는 29일 “공항 문제에 대해 논의할 수 있는 자리가 필요하다는 부·울·경 단체장들의 의지가 있었는데, 일정을 맞추다 보니 토요일에 만남이 이뤄졌다”며 “총리실 검증 진행 상황과 가덕신공항 관련 논의가 진행된 것은 사실”이라고 했다.이날 만남에선 부산시의 가덕신공항 건설 타당성에 대한 설명이 있었다. 시는 2016년 파리공항공단엔지니어링(ADPi)이 검증 후 폐기한 가덕도 동서방향 활주로 건설안을 수정·보완한 내용을 공유한 것으로 전해진다. 국토교통부는 김해공항 확장안 백지화가 어려운 주된 사유로 ‘대안이 없다’는 주장을 펴고 있는데 이날 회동에선 소위 ‘가덕신공항 보완안’이 국토부가 찾고 있는 ‘대안’이 될 수 있다는 공감대가 형성됐다고 한다.시는 2016년 검증 당시 만들었던 가덕신공항 기존안에서 활주로를 20도 틀어 해상 매립 면적을 줄이는 방식의 안을 설명했는데, 이 안은 해상 매립 면적을 크게 줄여 건설비용을 기존 13조 원 규모에서 7조 5000억 원 수준으로 크게 낮추는 것이 핵심이다. 과거 ADPi 검증에서 경제성 점수가 낮았던 경험이 반영된 셈이다. 김해공항 확장안(7조 원)과 견주어도 건설비용이 크게 다르지 않다.이번 회동을 두고는 총리실 검증에서 ‘김해신공항 불가’ 쪽으로 결론이 날 것이라는 부·울·경의 자신감이 반영됐다는 분석도 가능하다. 당초 총리실 검증 결론 이전에는 가덕신공항 건설에 대해서는 ‘쉬쉬’ 하는 모습이었는데 지난 16일 변성완 대행이 “가덕도가 유일한 대안”이라고 천명한 뒤 가덕신공항 공론화 분위기가 형성되는 것도 같은 맥락에서 읽힌다.실제 검증위는 총 4개 분과 가운데 안전을 제외한 환경, 소음, 시설·운영·수요 등 3개 분과에서는 사실상 검증 작업을 마무리한 것으로 보인다. 시설·운영·수요 분과의 한 검증위원은 〈부산일보〉와의 통화에서 “현재 최종보고서 작성이 진행 중”이라며 “각자 맡은 분야에서 보고서를 작성하고 총괄분과에서 검독하는 과정이라 (제가 맡은 분야에선)검증이 마무리 단계로 볼 수 있다”고 했다.다른 분과와 달리 안전 분과에서는 아직 해결되지 않은 여러 쟁점에 대해 최종 판단을 내리지 못한 것으로 보인다. 안전 분과 한 검증위원은 통화에서 “(안전 분과에서는)아직 (검증할)내용들이 많다. 아직 많이 남았다고 볼 수 있다”며 “검토할 사안들이 있어 조만간 결정을 내리는 것은 어려울 듯하다”고 했다. 공항 건설 문제에서 가장 중요한 ‘안전’ 이슈에 대한 논란이 많다는 것은 그만큼 김해공항 확장안에 문제가 있다는 방증이다. 부·울·경 입장에선 긍정적인 신호다.다만 시에서는 가덕신공항 타당성 알리기에 앞서 김해신공항 적정성 검증 발표를 우선 기다려야 한다는 신중론도 일부 감지된다. 또 다른 부산시 관계자는 “현재 상황에선 김해신공항 적정성 검증 발표가 먼저이고 그 다음 단계가 (행정)협의체 구성에 따른 김해신공항 백지화”라며 “이런 단계가 최종적으로 전제되지 않았는데 가덕신공항 얘기가 나오는 것은 부담스러운 측면이 있다”고 했다.그럼에도 부·울·경은 일단 가덕신공항 띄우기를 본격화할 것으로 보인다. 당장 다음 달 6일 국회에서 열리는 민주당 중앙당과 부·울·경 예산정책협의회에서도 변 시장대행과 김 지사, 송 시장이 함께 신공항 이슈를 거론할 것으로 전망된다. 이 자리에는 민주당 이해찬 당대표와 김태년 원내대표를 비롯해 전재수 부산시당위원장, 이상헌 울산시당위원장, 민홍철 경남도당위원장 등도 참석한다.민지형 기자"
3,"3일 이전부지 선정위에 요구…'공동 후보지 가능성 살려놔야''군위 우보만 결론 내도록 해야'…이철우 지사 ""제3후보지 거론 불가""""정부가 사업 새로 추진하는 데 얼마나 의지 보일지도 불투명""대구경북 통합신공항 조감도. 매일신문 DB이철우 경상북도지사가 대구경북 통합신공항 이전부지로 (지금 시점에서) 제3의 후보지를 이야기하는 것은 (통합신공항 이전부지 선정에 전혀 도움이) 안 된다고 밝혔다. 이는 군위군과 의성군의 이전부지 선정에 대한 합의 실패 시 제3후보지 추진이 불가피하다는 대구 쪽의 흐름과는 결이 다른 목소리다.이철우 경북도지사이 지사는 28일 ""통합신공항 이전부지를 제3의 장소로 하는 것은 불가능하다. 군위군을 설득해 공동 후보지로 해결해야 한다""고 밝혔다.이 지사는 또 ""지금 (대구에서) 영천과 성주 등을 대안으로 얘기하지만 막상 시작하면 반대파가 나와 이를 설득하는데 다시 1년 이상 걸린다. 또 기존 두 후보지에서 소송이 이어질 것이 분명한 만큼 지금보다 더 꼬일 수 있다""고 덧붙였다.이 지사의 이같은 발언은 당장 내달 3일로 예정된 국방부의 이전부지 선정위(이하 선정위)를 코 앞에 두고 지역에서 기존 두 가지 이전안 이외에 다른 소리를 내서는 안 된다는 점을 강조하기 위한 것으로 보인다.특히 선정위가 3일 회의에서 군위 우보 단독후보지에 대한 기각 결정에 그치지 않고 의성 비안-군위 소보 공동후보지마저도 부적합 판정을 내려 통합신공항 사업 자체를 무산시켜서는 절대 안된다는 점을 강조하기 위한 발언이라는 분석이다. 결국 해답은 의성 비안-군위 소보 공동후보지 밖에 없다는 점을 부각시키려는 의도를 담은 발언이라는 것.더욱이 현 정부가 야당 단체장 지역에서 한 번 무산으로 결론이 난 사업을 새로 추진하는데 얼마나 의지를 보일지 불투명하다는 위기 의식도 반영된 것으로 풀이된다.이에 따라 경북도는 지역 출신 국회의원들과 함께 선정위에서 군위 우보 단독 후보지에 대한 결론만 내리도록 하는데 총력을 기울일 전망이다. 지난 26일 열린 국방부의 이전부지 선정실무위의 결론처럼 3일 회의에서 단독과 공동 후보지 두 곳 모두 탈락시키는 일은 반드시 막아야 한다는 데 의견을 같이한 것이다.이와 관련, 김희국 미래통합당 국회의원(군위의성청송영덕)은 ""자칫하다 지난 4년간의 수고와 노력이 물거품이 될 수 있다. 우리가 합의하지 못하면 다른 대안은 더욱 만들기 어렵다""며 ""군위·의성, 두 지역 모두 무엇을 더 주고 덜 주고에 집착하지 말고 어떻게든 대구경북 발전이라는 대승적인 차원에서 합의를 이뤄내야 한다""고 밝혔다.박영채 기자"
4," 4년 동안 추진해온 대구·경북통합신공항 이전 사업이 지자체들 간의 갈등으로 무산위기를 맞고 있다. 군공항 이전을 주도하는 국방부가 유치신청을 한 군위·의성군에 대해 모두 ‘부적합’ 판정을 내렸기 때문이다. 이에 따라 군위와 의성군은 국방부 이전부지선정위원회가 열리는 내달 3일 전까지 합의를 보지 못하면 신공항 건설은 최종 무산된다. 통합신공항은 군공항 이전부지가 먼저 결정되면 거기에 민간공항도 함께 들어선다. 28일 대구시와 경북도에 따르면 국방부가 지난 26일 대구 군공항 이전부지 선정 실무위원회를 열고 군위군과 의성군이 각각 신청한 후보지 모두 부적합하다는 판단을 내렸다. 선정실무위는 박재민 국방부 차관이 위원장을 맡고 기획재정부, 국토교통부, 행정안전부, 해당 지자체 관계자 등 20명을 위원으로 두고 있다. 선정실무위는 군위군이 주민투표 결과에 반하는 후보지를 신청한 것은 지역사회 합의 기준에 맞지 않다고 결론 내렸다. 또 의성군이 신청한 공동 후보지는 군위군이 반대하기 때문에 절차를 충족하지 못했다고 했다. 앞서 군위군은 단독 후보지(군위 우보)만, 의성군은 공동 후보지(의성 비안·군위 소보)에 대해 각각 유치신청을 했다. 지난 1월21일 군공항 이전에 따른 주민투표 결과, 공동 후보지가 단독 후보지보다 찬성률이 높게 나타났다. 의성군은 이를 근거로 공동 후보지 유치신청을 했다. 하지만 군위군은 공동후보지는 군민의 74%가 반대하기 때문에 신청할 수 없어 단독 후보지만 신청했다고 밝혔다.  군위군 시민단체는 무산위기에 대해 “경북도가 무리하게 개입해 의성 편을 들려다 이전사업에 찬물을 끼얹었다”면서 경북도에 화살을 돌렸다. 김화섭 군위군통합신공항 유치 추진위원회 공동위원장은 “경북도가 신공항을 도청(안동)과 가까운 의성으로 옮기기 위해 모순투성이인 주민투표안을 국방부 중재안으로 제안해 이전 사업에 걸림돌만 키웠다”고 지적했다.군위와 의성은 국방부 실무위의 부적합 판정이 나온 이후에도 좀체 이견을 좁히지 못하고 있다. 경북도는 군위군이 대승적 차원에서 공동 후보지를 신청하도록 각종 개발 인센티브를 제시하고 행정력을 총동원해 설득하고 있다. 하지만 군위군은 주민들 절대 다수가 반대하는 공동 후보지는 불가하다는 입장을 고수하고 있다. 이런 상황에서 국방부는 다음달 3일 이전부지선정위원회를 열고 실무위에서 올린 안건을 최종 심의, 의결한다. 이에 따라 군위와 의성이 남은 5일간 극적인 합의를 하지 않는 한 통합신공항 이전사업은 선정위에서 최종 무산될 가능성이 높아졌다. 벌써부터 대구시청 안팎에서는 무산 가능성에 따른 제3의 후보지가 거론되고 있다.대구시 관계자는 “남은 기간 두 지자체의 합의를 설득해 보겠지만 그래도 합의가 되지 않으면 경북도 내 제3 후보지를 물색할 수밖에 없다”고 말했다.박태우 기자"
5,"이철우 지사는 29일 기자회견에서 ""통합신공항 이전지로 우보는 어렵다는 생각에는 변함이 없다""라고 밝혔다. (사진=경북도 제공)이철우 경북지사는 29일 '대구·경북통합신공항 이전사업이 차질없이 추진되려면 군위·의성 공동 후보지 외에는 사실상 대안이 없다""라며 ""오는 7월 3일 부지 선정위원회 개최 전까지 남은 기간 군위와 의성을 설득하는 데 최선을 다하겠다""라고 밝혔다.이 지사는 이날 도청에서 열린 '민선 7기 2주년 기자간담회'에서 ""통합신공항 문제는 범과 원칙에 따라 해결돼야 한다""라며 ""그동안 주민투표 등 법적 절차를 거쳐 진행된 만큼 공항 이전 후보지를 군위 우보 단독 후보지로 돌리는 것은 불가능하다""라고 지적했다.이 지사는 아울러 ""일각에서 통합신공항 이전지로 영천과 성주 등이 거론되는 등 제3의 장소 얘기가 나오고 있지만 이는 주민 민원 등으로 아까운 시간만 낭비하는 결과만 초래할 뿐""이라며 ""더 이상 역주행은 안 된다""라고 분명한 선을 그었다.이 지사는 대구·경북 행정통합과 관련해서는 ""수도권이 영향이 충청권까지 미치는 등 앞으로 수도권 확장세는 더 심각해질 것""이라며 ""이대로 가면 대구경북은 지금보다 더 어려운 상황으로 내몰릴 수 밖에 없는 만큼 대구경북이 합쳐서 시너지 효과를 내야 한다""라고 강조했다.이 지사는 또 ""행정기구 통합에 앞서 우선 대구시장과 경북지사를 한 사람으로 뽑는 것부터 시작해야 한다""라고 덧붙였다.이 지사는 최근 대구시의 더불어민주당 출신 홍의락 전 국회의원의 경제부시장 영입과 관련해서는 ""새로운 실험으로 정치적인 해석을 뺀 행정적 차원에서 볼 때 협치를 통한 대구 발전에 많은 도움이 될 것으로 본다""라며 ""경북도 정치색이 적고 청와대와 교감할 수 있는 인물을 영입하려고 노력했지만 잘 안 되었다""라고 아쉬움도 토로했다.이철우 경북지사는 ""코로나19 위기 극복에 적극적으로 동참해 준 도민들께 감사드린다""라며 ""코로나19가 안정되는 대로 지역 경제 회복과 민생 안정에 총력을 기울이겠다""라고 밝혔다.이 지사는 이와 함께 ""민선 7기를 시작하면서 변해야 산다는 신념으로 중수로해체기술원과 스마트산단 유치, 투자유치 11조8천억 원 달성, 국비 4조4천600억 원 확보 등의 성과를 거뒀다""라며 ""민선 7기 후반기에도 경북형 스마트 뉴딜 추진과 영일만대교 등 핵심 SOC 구축 등 새경북 뉴딜 7+3 프로젝트를 적극적으로 추진하겠다""라고 약속했다."
6,"[헤럴드경제(안동)=김병진 기자]이철우 경북지사는 29일 “대구경북통합신공항 이전 부지 선정을 무산시키면 우리들은 미래 후손들에게 씻을 수 없는 역사의 죄인이 된다”고 강조했다.이 지사는 경북도청 다목적홀에서 열린 취임 2주년 기자간담회를 통해 “똘똘 뭉쳐서 통합신공항 문제를 해결해야 하며 이것이 곧 대구경북이 사는 길”이라고 말했다.또 “사실상 군위·의성 공동 후보지 외에는 대안이 없다”며 “다음달 3일 부지 선정위원회 개최 전까지 군위와 의성을 설득하는 데 최선을 다하겠다”고 전했다.이어 “통합신공항 문제는 법과 원칙에 따라 해결돼야 한다”며 “그동안 주민투표 등 법적 절차를 거쳐 진행된 만큼 공항 이전 후보지를 군위 우보 단독 후보지로 돌리는 것은 불가능하다”고 진단했다.특히 “대구경북의 운명과 사활이 걸린 통합신공항은 군위 의성 만의, 대구 경북만의 공항도 아니고 대한민국의 공항”이라며 “하늘 길은 반드시 열려야 한다. 대승적 차원에서 봐주기를 바란다”고 역설했다.일각의 제3의 지역 선정 구상과 관련에 이 지사는 “영천과 성주 등이 거론되고 있지만 이는 주민 민원 등으로 아까운 시간만 낭비하는 결과만 초래한다”며 “더 이상 역주행은 안 된다”고 분명한 선을 그엇다.이와 함께 이 지사는 최근 대구시의 더불어민주당 출신 홍의락 전 의원의 경제부시장 영입에 대한 경북도의 입장도 피력했다.그는 “새로운 실험으로 행정적 차원에서 볼 때 협치를 통한 대구 발전에 많은 도움이 될 것으로 생각한다”며 “경북도에서도 정치색이 적고 청와대와 교감할 수 있는 인물을 영입하려고 했으나 잘 안됐다”고 덧붙였다.이 지사는 끝으로 “코로나19 극복에 한마음으로 동참해 준 도민들에게 감사의 뜻을 전한다”며 “완전 종식 및 지역 경제 되살리기를 통해 도민의 일상을 되찾는데 총력을 다하겠다”고 밝혔다.한편 이날 이 지사는 지난 2년의 성과로 스마트 산단 등 미래 신산업 특구 유치, 신라왕경특별법·포항지진특별법 제정, 경북형 상생 일자리 창출, 지방소멸 극복모델 이웃사촌 시범마을 가시화 등을 들었다"
7,"이철우 경북지사가 대구경북 통합신공항 입지 선정(7월3일)을 앞두고 군위와 의성의 합의가 좀처럼 이뤄지지 않자 ""큰 복덩이가 지역에 떨어지는데 부스러기를 조금 더 차지하려고 싸우고 있다""고 비판했다.이 지사는 29일 취임 2주년 기자간담회를 열고 신공항 추진과 대구 경북 통합 문제에 대한 소회를 밝혔다.이 지사는 공항지정 신청을 하지 않고 있는 군위군을 설득할 카드가 있느냐는 질문에 ""중재안을 내놨다""며 ""공항과 영외관사의 위치가 핵심인데 공항은 수요자가 많은 곳으로 가게 돼 있다. 그 곳이 군위 소보 지역""이라고 답했다.또 ""영외 관사는 국방부가 결정할 사안으로 읍단위 지역으로 가야 하는데 군위읍과 의성읍이 있다. 군위는 공항까지 7㎞, 의성은 16㎞ 거리다. 공항이 공동후보지로 가더라도 군위가 유리하다""며 ""공항이 건설되면 고속도로, 철도, 국도, 지하철 등이 모두 군위를 통과한다. 군위로서는 불리할 것이 없는 중재안""이라고 했다.이 지사는 ""만약 이번에 지역간 합의가 이뤄지지 못하면 경북 지역민들에게 고개를 들 수 없게 된다. 지역에 유례가 없는 복덩어리가 떨어지는데 작은 부스러기를 가지고 서로 많이 차지하려고 해서야 되겠나""라며 ""거듭 말하지만 군위 우보는 안 된다""고 못 박았다.대구 경북 행정 통합에 대해서는 ""권영진 대구시장이 먼저 내게 제의한 것이고 앞서 김관용 전 지사에게도 제안을 한 바 있다""면서 ""대구와 경북이 분리되면서 경쟁력을 잃어갔다. 지금도 행정통합이 되지 않아 서로 쓸데없는 경쟁을 하기도 한다. 시교육감과 도교육감은 지금처럼 그대로 각각 뽑고 경북지사와 대구시장만 한 사람으로 하면 훨씬 효율적인 행정을 할 수 있고 세계와 경쟁하는 글로벌 메가시티가 될 수 있다""고 강조했다.대구시와 함께 여권 인사를 부지사로 영입하는 방안에 대해서는 ""대구 부시장으로 영입될 홍의락 전 의원에게는 경북도 챙겨달라고 부탁을 했다""며 ""부지사는 아니고 그보다는 작은 직책에 청와대와 통할 수 있으면서도 정치색이 적은 인사를 찾았지만 잘 맞지 않아 그만뒀다. 앞으로 대구시의 실험을 보고 다시 생각하겠다""고 했다.☞공감언론 뉴시스"
8,"이철우 경북도지사는 29일 ""대구경북통합신공항은 두 지역의 운명과 사활이 걸린 프로젝트이며, 포스트 코로나 최대 뉴딜 정책""이라고 말했다.이 지사는 이날 도청에서 열린 기자간담회에서 ""단독 후보지가 선정되지 못해 서운할 수 있겠지만 주민투표를 통해 법적 절차를 거쳤기 때문에 돌아갈 수 없다. 단독 후보지를 요구하는 군위군이 통 큰 양보와 대승적 판단으로 다시한번 힘을 모아야 한다""며 이같이 말했다.행정통합에 대해 그는 ""대구와 경북이 따로 갈 수 없는 것이 시대적 흐름""이라며 ""통합이 후손들의 미래이며 숙명""이라고 했다.이 지사는 이날 스마트산단 등 미래 신산업 특구 유치, 경북형 상생 일자리 창출, 스마트 농축산업 국책사업 유치 등 분야별 10대 주요 성과를 소개한 뒤 ""변화와 혁신으로 미래성장 기반을 구축하기 위해 다시 뛰자""고 강조했다"
9,29일 국방부·대구시·경북도·의성군·군위군 실무 회의대구경북 통합신공항 이전사업이 지자체 간의 갈등으로 중대한 고비를 맞고 있다. 29일 동구 불로삼거리에 군위와 의성의 합의를 촉구하는 현수막이 걸려 있다. 우태욱 기자
