,contents
0, 애플이 올 가을 나올 차세대 아이폰(가칭 아이폰12)에 유선 이어폰 이어버드와 충전기가 제외될 전망이다.맥루머스 등의 주요외신들에 따르면 애플은 아이폰12 모델 박스 패키지에 유선 이어폰과 충전기를 제공하지 않을 예정이다.밍치 궈 TF인터내셔널증권 애널리스트는 투자 보고서에서 애플이 차기 아이폰 구성 부품에서 이어버드와 충전 어댑터를 더 이상 포함시키지 않을 계획이다.애플이 아이폰12에 이어폰과 충전기를 포함시키지 않을 예정이다 [소니딕슨]애플은 대신 별도 옵션 판매로 기존 5W나 18W 충전기대신 20W 고속 충전기를 공급할 예정이다. 20W 충전기 디자인은 18W 버전과 비슷하며 USB-C 전력 고속 충전 기능을 통해 급속충전을 지원한다.밍치 궈 애널리스트는 아이폰12의 양산비용이 5G 지원으로 크게 상승할 것으로 예상되지만 애플이 신모델을 기존 아이폰11 모델과 비슷한 가격에 공급할 것으로 내다봤다.대신 애플은 이어버드와 충전기를 제외하며 제조비용을 낮추고 있는 것으로 알려졌다. 애플은 쓰임새가 떨어지는 주변 기기의 공급중단이 환경오염을 방지하는 데도 효과적이라고 전했다.투자사 바클레이즈는 애플이 아이폰12 모델에 라이트닝과 USB-C 포트 호환 케이블만 포함하고 있을 것으로 예상했다.안희권기자
1,"'아이폰12' 기본 구성품에 충전기 어댑터와 이어폰이 빠질 거라는 전망이 나온다. 이전에도 애플이 아이폰 가격을 낮추기 위해 기본 구성품 중 일부를 뺄 거라는 루머가 돌았지만, 이번엔 가능성이 더 높아졌다. 애플 제품 예상으로 유명한 궈밍치 TF 인터내셔널 애널리스트가 등판했기 때문이다.28일(현지시간) <애플인사이더>, <맥루머스>, <나인투파이브맥> 등은 궈밍치의 리서치 보고서를 인용해 이 같은 전망을 보도했다. 궈밍치에 따르면 애플은 아이폰12 패키지에서 충전기 어댑터와 '이어팟'을 빼고, 올 연말 '아이폰SE' 기본 구성품에서도 충전기 어댑터를 제공하지 않을 것으로 예상된다.18W·5W 아이폰 충전 어댑터궈밍치는 애플이 5G 지원으로 인한 아이폰 가격 상승을 상쇄하기 위해 이 같은 결정을 내릴 것으로 내다봤다. 또 패키지를 더 작게 만들고, 친환경적으로 구성해 제품 출하 비용을 낮출 것으로 예상했다. 궈밍치는 여기에 무선 이어폰 '에어팟' 판매량을 늘리려는 목적도 있다고 분석했다.현재 애플은 아이폰11과 아이폰SE 2세대 등에 5W USB-A타입 어댑터를 기본 제공 중이며, '아이폰11 프로'와 '아이폰11 프로 맥스'에 18W USB-C타입 어댑터를 제공하고 있다. 또 현재 판매 중인 '애플워치3'의 경우 충전 어댑터가 포함돼 있지 않다.이와 함께 궈밍치는 애플이 20W 고속 충전기를 새로운 아이패드와 함께 내놓을 거라고 예상했다. 궈밍치는 애플이 올해 10.8인치 아이패드, 내년 상반기에 8.5인치 아이패드 미니를 출시할 것으로 내다보며, 해당 아이패드 기본 구성품에는 새로운 20W 충전기가 포함될 것으로 전망했다.<나인투파이브맥>은 ""많은 아이폰 이용자들이 이미 많은 충전기와 이어팟을 가지고 있기 때문에 충전 어댑터·이어폰 제거가 실제로 불편하지 않을 수도 있다""라면서도 ""커뮤니티를 통해 애플이 액세서리로 바가지를 씌운다는 불만이 쏟아져 나올 것이며, 이어폰의 기본 구성품 제외가 에어팟 판매량 증가에 기여할 것""이라고 보도했다.이기범 기자"
2," LG유플러스가 아이폰 사용자에 네이버 웹툰 '쿠키'를 제공하는 이벤트를 시작한다.LG유플러스(부회장 하현회)는 애플 아이폰을 사용하는 U+모바일 가입자를 위해 네이버 웹툰 쿠키를 무료로 증정하는 '네이버 웹툰 정주행 이벤트'를 진행한다고 28일 발표했다.'쿠키'는 네이버 웹툰에서 유료 콘텐츠를 볼 수 있는 결제수단이다. 이번 이벤트는 LG유플러스 모바일서비스와 아이폰을 함께 사용하는 사람이라면 누구나 참여할 수 있다.LG유플러스는 네이버 웹툰, 애플과 제휴해 U+모바일과 아이폰을 함께 사용하는 Z세대를 위해 이번 이벤트를 마련했다. 특히 지난달 새로 출시된 아이폰 SE 주요 타깃인 Z세대들이 좋아하는 웹툰을 소재로 경쟁사와 차별화된 혜택을 제공하는 등 고객가치향상에 주력하고 있다.'네이버 웹툰 정주행 이벤트'이미지 [출처=LG유플러스]쿠키를 받으려면 이모티콘으로 표현된 네이버 웹툰 대표작들 캐릭터를 보고 작품 이름을 맞추는 퀴즈를 풀면 된다. 퀴즈를 푼 LG유플러스 아이폰 사용자 중 2만명에게 쿠키가 선착순으로 지급된다.당첨자는 7월 31일부터 9월 30일까지 애플 앱 스토어에 접속해 기프트카드 코드를 입력하면 쿠키 50개를 받을 수 있다. 웹툰 1편당 1~3개 쿠키로 작품을 감상할 수 있다. 교환된 쿠키는 60일 이내에 사용할 수 있다.LG유플러스 홈페이지 이벤트 페이지에서 퀴즈를 풀고 이름과 휴대전화 번호를 등록하면 정답을 맞춘 사람에게 당첨 안내 문자가 발송된다.정혜윤 LG유플러스 마케팅전략담당 상무는 ""콘텐츠 소비가 많은 Z세대 아이폰 사용자들을 위해 마련한 이벤트""라며 ""앞으로도 Z세대가 원하는 고객가치를 확대하는 방안을 확대해 나가겠다""고 말했다.송혜리기자"
3,애플 아이폰 이용자 대상 ‘네이버 웹툰 정주행 이벤트’ 진행(지디넷코리아=선민규  기자)LG유플러스(대표 하현회)가 애플 아이폰 사용자를 위한 ‘네이버 웹툰 정주행 이벤트’를 진행한다고 28일 밝혔다.이 이벤트는 네이버 웹툰에서 유료 콘텐츠를 시청할 수 있는 결제 수단인 ‘쿠키’를 증정하는 내용이다. LG유플러스의 모바일서비스와 아이폰을 함께 사용하는 이용자 누구나 참여할 수 있다.대상 이용자가 쿠키를 받기 위해서는 이모티콘으로 표현된 네이버 웹툰 대표작들의 캐릭터를 보고 작품의 이름을 맞추는 퀴즈를 풀면 된다. 퀴즈를 푼 이용자 중 선착순 2만명에게 쿠키가 지급된다.(사진=LG유플러스)당첨자는 7월 31일부터 9월 30일까지 애플 앱 스토어에 접속해 기프트카드 코드를 입력하면 쿠키 50개를 받을 수 있다. 교환된 쿠키는 60일 이내에 사용할 수 있다.정혜윤 LG유플러스 마케팅전략담당 상무는 “콘텐츠 소비가 많은 아이폰 유저들에게 특별한 혜택을 제공하고자 이번 이벤트를 마련했다”며 “LG유플러스는 앞으로도 Z세대가 원하는 이용자 가치를 확대하는 방안을 확대해 나가겠다”고 말했다.선민규 기자
4,LG유플러스는 애플 아이폰을 사용하는 자사 고객을 위해 네이버 웹툰 유료콘텐츠 결제수단인 '쿠키'를 무료로 증정하는 이벤트를 진행한다고 28일 밝혔다.이벤트에 참여하려면 이모티콘으로 표현된 네이버 웹툰 대표작들의 캐릭터를 보고 작품의 이름을 맞추는 퀴즈를 풀면 된다. 퀴즈를 푼 유플러스 아이폰 고객 중 2만명에게 쿠키가 선착순으로 지급된다.당첨자는 다음달 31일부터 9월 30일까지 애플 앱 스토어에 접속해 기프트카드 코드를 입력하면 쿠키 50개를 받을 수 있다. 웹툰 1편당 1~3개의 쿠키로 작품을 감상할 수 있다. 교환된 쿠키는 60일 이내에 사용할 수 있다.유플러스 홈페이지 내 이벤트 페이지에서 퀴즈를 풀고 이름과 휴대전화 번호를 등록하면 정답을 맞춘 고객에게 당첨 안내 문자가 발송될 예정이다.
5,"영국 투자은행 바클레이즈 전망(지디넷코리아=이정현  기자)영국 투자 은행 바클레이즈가 복수의 애플 공급업체 소식통을 기반으로 올 가을 출시될 예정인 아이폰12에 대한 전망 보고서를 공개했다고 애플 전문 매체 맥루머스가 25일(현지시간) 보도했다.폰아레나가 제작한 아이폰12의 렌더링 사진 (사진=폰아레나)바클레이즈 전망에 따르면, 아이폰12 제품 상자에는 유선 이어폰이 함께 제공되지 않을 것으로 전망된다. 또, 특이한 점은 아이폰12에 충전 어댑터 없이 USB-C 라이트닝 케이블만 포함될 것으로 예상했다는 점이다.아이폰11 제품 구성 (사진=애플 홈페이지)매년 수억 대 넘게 판매되는 아이폰에 충전 어댑터를 뺀다는 것은 환경적인 이점이 있지만, 여분의 USB-C 충전기가 없는 고객에게는 불편한 일임에 틀림없다고 맥루머스는 평했다. 현재, 애플의 기본 5W 전원 어댑터는 19달러에 별도로 구입할 수 있으며, 아이폰11 프로 모델에 포함된 18W 전원 어댑터는 29달러에 판매 중이다.이 같은 전망은 최근 IT트위터리안 미스터화이트(@laobaiTD)가 새로운 20W USB-C 충전기 사진을 공개하며, 해당 충전기가 아이폰12에 포함될 것이라고 전망한 것과는 반대되는 전망이다.또, 바클레이즈는 아이폰12의 생산이 다른 해와 비교하면 4~6주 지연된 것으로 추정하며, 애플이 여전히 9월에 새로운 아이폰을 발표할 것으로 보이지만, 일부 모델의 경우 10월 또는 11월까지 출시되지 않을 수 있다고 예상했다. 고급형 아이폰12 프로 두 개 모델에 라이다 스캐너가 장착된 트리플 카메라 시스템이 채택될 것이라고 덧붙였다.바클레이스는 새 아이패드 프로가 올해 말에 나올 것이며, 3세대 에어팟은 2021년 초에 출시 될 것으로 전망했다.이정현 기자"
6,"바클레이즈 전망 보고서""이어폰·어댑터 미제공""애플이 '아이폰12'에 이어팟(사진)과 충전용 전원 어댑터를 포함하지 않을 것이라는 전망이 나왔다.25일(현지시간) 바클레이즈는 보고서를 통해 아이폰12에는 유선이어폰인 이어팟과 전원 어댑터가 포함되지 않을 것이라고 관측했다. 애플이 아이폰 충전 어댑터 없이 USB-C 타입 라이트닝 케이블만 제공할 가능성이 높다는 게 바클레이즈의 예상이다.현재 애플은 기본 5W 전원 어댑터는 2만5000원, 18W 어댑터는 3만9000원에 판매하고 있다. 예비 충전기를 보유하지 않은 경우, 아이폰12와 함께 전원 어댑터를 별도로 구입하기 위해 소비자가 추가 비용을 부담해야한다.이어팟도 아이폰12부터는 번들로 제공되지 않는다. 애플 소식에 정통한 궈밍치 TF증권 연구원도 ""애플이 아이폰12에 '이어팟'을 제외시키고 연말 휴가 시즌에 에어팟 할인 프로모션 등을 통해 자연스럽게 에어팟 판매를 유도할 것""이라고 전망했다.이어팟은 3만5000원에 판매되고 있는데, 애플이 이어팟을 제외한 상태에서도 아이폰 가격을 유지한다면 또 다른 방식으로 비용 부담을 늘리는 격이 된다. 외신들은 아이폰12(128GB) 가격을 649달러(한화 약 78만원)에서 1099달러(약 132만원) 수준으로 전망하고 있다.바클레이즈는 아이폰12 공개 행사가 9월에 진행되더라도 출시는 최장 11월까지 미뤄질 수 있다고 분석했다. 바클레이즈는 ""대량 생산이 평년대비 4~6주 가량 지연돼 10~11월까지 일부 모델은 주문하기 어려울 수 있다""고 했다.노정동 한경닷컴 기자"
7,"애플 아이폰11 프로 제품 구성애플이 아이폰12 시리즈 제품 패키지 구성에 유선 이어폰과 충전기(전원 어댑터) 없이 출시할 것이라는 전망이 나왔다.영국 투자은행 바클레이즈는 보고서를 통해 애플이 아이폰 신제품 제품 포장에 유선이어폰과 충전 어댑터를 제공하지 않을 것으로 내다봤다. 아이폰 본품과 USB-C 라이트닝 케이블만 포함된 단촐한 구성이다.기존 아이폰 패키지에는 5W 충전기와 라이트닝 단자로 연결하는 유선 이어폰 '이어팟'이 번들로 제공됐다. 반면 아이폰12부터는 제품 구입과 함께 기본 액세서리 별도 구매가 요구되는 셈이다.애플 기본 5W 충전기 별도 판매가는 15달러다. 아이폰11 프로 모델에 포함된 18W 충전기는 29달러에 판매 중이다.앞서 밍치궈 TF증권 연구원은 “애플이 아이폰12에 이어팟을 제외시킬 것”이라며 “연말 휴가 시즌 에어팟 할인 프로모션 등으로 자연스럽게 에어팟 구입을 유도할 것""이라고 전망했다.박정은기자"
8," 애플이 이어팟과 충전용 전원 어댑터를 포함하지 않은 아이폰12 시리즈를 내놓을 것이라는 전망이 나왔다. 25일(현지시간) 바클레이즈는 보고서를 통해 아이폰12 시리즈에는 유선 이어폰 이어팟과 전원 어댑터가 포함되지 않을 것이라고 밝혔다. 애플이 아이폰 충전 어댑터 없이  USB-C 타입 라이트닝 케이블만 제공할 가능성이 높다.현재 애플은 기본 5W 전원 어댑터는 2만5000원, 18W 어댑터는 3만9000원에 판매하고 있다. 예비 충전기를 보유하지 않은 경우, 아이폰12와 함께 전원 어댑터를 별도로 구입하기 위해 추가 비용을 부담해야한다.이어팟도 아이폰12부터는 번들로 제공되지 않는다. 앞서 밍치궈 TF증권 연구원도 ""애플이 아이폰12에 '이어팟'을 제외시키고 연말 휴가 시즌에 에어팟 할인 프로모션 등을 통해 자연스럽게 에어팟 판매를 유도할 것""이라고 전망한 바 있다.이어팟은 3만5000원에 판매되고 있는데, 애플이 이어팟을 제외한 상태에서도 아이폰 가격을 유지한다면 또 다른 방식으로 비용 부담을 늘리는 격이 된다. 외신들은 아이폰12(128GB) 가격을 649달러(한화 약 78만원)에서 1099달러(약 132만원) 수준으로 전망하고 있다. 바클레이즈는 아이폰12 공개 행사가 9월에 진행되더라도 출시는 최장 11월까지 미뤄질 수 있다고 분석했다. 바클레이즈는 ""대량 생산이 평년대비 4~6주 가량 지연돼 10~11월까지 일부 모델은 주문하기 어려울 수 있다""고 밝혔다. 아이폰X나 아이폰XR도 다른 모델보다 늦게 출시됐다. 한편 아이폰12 프로 모델에서는 라이다 스캐너 포함한 트리플 카메라가 탑재될 것으로 보인다. 한진주 기자"
9,"애플이 새 모바일 운영체제(OS) iOS 14를 6년 지난 아이폰 모델까지 지원하기로 하면서 상대적으로 지원 기간이 짧은 안드로이드 스마트폰의 문제점이 다시 제기되고 있다.    소비자들은 100만원이 훌쩍 넘는 플래그십 모델이라면 애플만큼은 안 돼도 지금처럼 2년 남짓한 지원 기간은 너무 짧은 것 아니냐고 지적하고 있다.새 운영체제 업데이트하는 아이폰 6s[애플 제공. 재판매 및 DB 금지]    25일 관련 업계에 따르면 애플은 최근 공개한 새 운영체제 iOS 14를 최신 아이폰11 시리즈는 물론 아이폰6s 시리즈, 아이폰SE 1세대까지 지원한다고 밝혔다.    아이폰6s는 2015년 출시돼 올해로 6년째를 맞았고, 아이폰SE 1세대는 출시 5년째인 저가형 모델이다.    이처럼 애플은 5년 내지 6년째까지 아이폰 운영체제를 최신 버전으로 업데이트해 주는 정책을 유지하고 있다.    이런 소식에 안드로이드 스마트폰 이용자들은 상대적으로 짧은 운영체제 지원 기간에 새삼 불만을 나타내고 있다.    안드로이드 스마트폰은 회사나 모델별로 조금씩 차이는 있지만 대부분 2년 안팎이면 운영체제 업데이트가 만료된다.    이를테면 2018년 출시된 갤럭시S9은 최신 버전인 안드로이드10이 올해 업데이트됐지만, 연내 출시 예정인 안드로이드11은 업데이트를 못 받을 가능성이 크다.    실제로 갤럭시S9보다 1년 먼저 나온 갤럭시S8은 안드로이드9 업데이트를 마지막으로 지원이 끊어져 안드로이드10 버전부터는 사용하지 못하고 있다.    삼성전자뿐만 국내외 안드로이드 스마트폰 업체 대부분이 이처럼 2년 남짓만 운영체제를 업데이트해 주고 있으며, 일부 업체나 중저가 모델에서는 그나마도 1년 만에 지원이 끊기는 경우도 적지 않다.    소비자들은 초고가 모델을 소수만 출시하는 애플과 중저가 모델을 다수 출시하는 안드로이드 진영을 똑같이 비교하긴 어렵지만 6년과 2년의 차이는 지나치게 큰 것 아니냐는 반응이 많다.    특히 삼성전자 갤럭시 시리즈처럼 애플 못지않은 고가 제품이라면 현재처럼 2년에 불과한 지원 기간은 부족하다는 지적도 있다.    최근 수년간 스마트폰 사양이 상향 평준화되고 평균 교체 주기도 3년 가까이로 길어진 것도 이 같은 의견에 힘을 실어주고 있다. 실제로 삼성전자와 LG전자는 올해부터 국내에서 판매하는 스마트폰의 품질 보증기간을 기존 1년에서 2년으로 연장하기도 했다.안드로이드 소개 화면[안드로이드 홈페이지 캡처. 재판매 및 DB 금지]    하지만 업계는 애플과 안드로이드 진영을 같은 선상에서 비교해선 안 된다는 반응이다.    폐쇄형 운영체제인 iOS와 달리 개방형인 안드로이드는 앱과 기기의 표준화가 어려운 특성 탓에 일률적인 업데이트가 쉽지 않다는 것이다.    애플이 기기와 운영체제 개발 및 지원을 도맡는 것과 달리, 안드로이드는 구글이 운영체제만 개발할 뿐 기기별 업데이트는 기본적으로 제조사 책임인 것도 한계로 작용한다.    업계의 한 관계자는 ""구글과 제조사의 협력 생태계인 안드로이드 자체의 한계가 있는 것은 사실""이라면서도 ""구형 기기에 억지로 신형 운영체제를 지원한다고 제대로 작동할지도 의문이다. 형식뿐인 업데이트보다 실질적인 지원이 중요하다""고 말했다.   "
