,0
0,"동거남의 아이를 여행용 가방에 가두고 가방 위에 올라 뛰면서 결국 숨지게 한 40대 여성에게 살인 혐의가 적용됐다. 의붓아들을 여행용 가방에 가둬 심정지 상태에 이르게 한 의붓어머니가 3일 영장 실질심사를 위해 대전지방법원 천안지원으로 들어서고 있다. /연합뉴스대전지검 천안지청 여성·강력범죄 전담부(이춘 부장검사)는 살인과 아동복지법 위반(상습 아동학대), 특수상해 혐의로 A(41)씨를 구속기소했다. 검찰에 따르면 A씨는 지난 1일 정오 B(9)군을 가로 50㎝·세로 71.5㎝·폭 29㎝ 크기 여행용 가방에 3시간 동안 감금했다. 같은 날 오후 3시 20분쯤 A씨는 아이가 처음 갇힌 가방에 용변을 봤다는 이유로 가로 44㎝·세로 60㎝·폭 24㎝의 더 작은 가방에 들어가게 하고 중간에 3시간 가량 외출하기도 했다.5일 충남 천안 환서초등학교 교사들이 교내에 만들어진 추모공간에서 여행용 가방에 7시간 감금됐다가 숨진 아이의 넋을 위로하고 있다. /연합뉴스이날 B군은 오후 7시 25분 쯤 심정지를 일으킨 뒤 병원으로 옮겨졌지만, 이틀 만인 지난 3일 오후 6시 30분 쯤 저산소성 뇌 손상 등으로 숨을 거뒀다. 조사 결과 가방에 들어가 있던 B군은 '숨이 안 쉬어진다'고 수차례 호소했지만, A씨는 아랑곳하지 않고 가방 위에 올라가 뛰기까지 한 것으로 밝혀졌다.검찰은 A씨가 지난해 7월부터 최근까지 12차례에 걸쳐 B군 이마를 요가링으로 때려 상해를 가하기도 했다고 설명했다. 검찰 관계자는 ""피해 아동이 호흡곤란을 이야기하는 데도 가방 위에 올라가 뛰는 등 더 심한 학대를 했다""며 ""피해 아동의 울음이나 움직임이 줄어든 상태에서 그대로 방치한 만큼 살인의 고의가 인정된다""고 말했다.[민서연 기자"
1,"동거남의 9살된 아들을 여행용 가방에 7시간 넘게 가둬 숨지게 한 41살 A 씨가 살인 혐의로 재판에 넘겨졌습니다.대전지검 천안지청은 A 씨가 지난 1일, 여행용 가방에 갇힌 피해 아동이 호흡 곤란을 호소했는데도 여러 차례 가방 위에 올라가 뛰는 등 살인의 고의가 인정된다며 살인 혐의를 적용해 기소했습니다.A 씨는 또, 검찰 조사에서 지난해 7월부터 최근까지 12차례에 걸쳐 피해 아동을 때리고, 학대한 정황도 드러났습니다.이승섭 기자 [저작권자(c) MBC (https://imnews.imbc.com) 무단복제-재배포 금지]"
2,"[아시아경제 이정윤 기자] 검찰이 동거남의 아이를 여행용 가방에 가둬 결국 숨지게 한 40대 여성에게 살인 혐의를 적용해 재판에 넘겼다.대전지검 천안지청 성ㆍ강력범죄 전담부(부장검사 이춘)는 29일 살인과 아동복지법위반(상습 아동학대), 특수상해 혐의로 A(41)씨를 구속기소 했다고 밝혔다.검찰에 따르면 A씨는 지난 1일 B(9)군을 가로 50㎝·세로 71.5㎝ 크기의 여행용 가방에 3시간가량 감금한 뒤 가방 안에서 용변을 봤다는 이유로 이보다 더 작은 가로 44㎝·세로 60㎝ 가방에 들어가게 했다. A씨는 가방에 B군을 가둬놓은 채 약 3시간 동안 외출을 하기도 했다.B군은 같은 날 오후 7시 25분께 심정지를 일으켜 병원으로 옮겨졌지만 이틀만에 저산소성 뇌 손상 등으로 숨을 거뒀다.조사 결과 B군은 '숨이 안 쉬어진다'고 수차례 호소했지만 A씨는 이에 아랑곳하지 않고 가방 위에 올라가 뛰기까지 한 것으로 밝혀졌다. 검찰은 또 A씨가 지난해 7월부터 12차례에 걸쳐 B군의 이마를 요가링으로 때려 상해를 입히기도 했다고 설명했다.검찰 관계자는 ""피해 아동이 호흡곤란을 이야기했음에도 가방 위에 올라가 뛰는 등 심한 학대를 했다""면서 ""피해 아동의 울음이나 움직임이 줄어든 상태에서 그대로 방치해 살인의 고의가 인정된다""고 했다.이정윤 기자"
3," 9살 아이를 여행용가방에 가뒀던 계모가 가방 위에서 뛰기까지 했던 것으로 알려졌다. 검찰은 이 여성에게 살인 혐의를 적용하기로 했다.대전지검 천안지청 여성·강력범죄 전담부(이춘 부장검사)는 살인과 아동복지법 위반(상습 아동학대), 특수상해 혐의로 A(41)씨를 구속기소 했다.검찰에 따르면 A씨는 지난 1일 정오께 B(9)군을 가로 50㎝·세로 71.5㎝·폭 29㎝ 크기 여행용 가방에 3시간 동안 감금했다가 다시 같은 날 오후 3시 20분께 가로 44㎝·세로 60㎝·폭 24㎝의 더 작은 가방에 들어가게 했다.아이가 처음에 갇힌 가방 안에 용변을 봤다는 게 이유였다. A씨는 아이를 가둬놓고 중간에 3시간가량 외출도 했다.B군은 같은 날 오후 7시 25분께 심정지를 일으킨 뒤 병원으로 옮겨졌지만, 이틀 만인 3일 오후 6시 30분께 저산소성 뇌 손상 등으로 숨을 거뒀다.아이의 사망원인을 두고 의문이 더해진 가운데, 검찰 조사에서 A씨의 추가 범행이 드러났다.조사 결과 가방에 들어가 있던 B군은 “숨이 안 쉬어진다”고 수차례 호소했지만, A씨는 아랑곳하지 않고 가방 위에 올라가 뛰기까지 한 것으로 밝혀졌다.A씨는 지난해 7월부터 최근까지 12차례에 걸쳐 B군의 이마를 요가링으로 때려 상해를 가하기도 했다고 검찰은 설명했다.검찰 관계자는 “피해 아동이 호흡곤란을 이야기하는 데도 가방 위에 올라가 뛰는 등 더 심한 학대를 했다”며 “피해 아동의 울음이나 움직임이 줄어든 상태에서 그대로 방치한 만큼 살인의 고의가 인정된다”고 말했다.앞서 지난 3일 오전 구속영장 실질심사에 앞서 모습을 드러낸 A씨는 한눈에 보기에도 80㎏이 넘는 거구로, A씨가 가방 위에서 뛰었을 때 아이가 받았을 충격이 상당히 컸을 것으로 보인다. 사망 당시 B군은 몸무게가 23㎏으로 또래에 비해 현저히 작고 마른 아이였다"
4,"(사진=자료사진)검찰이 동거남의 아들을 여행용 가방 안에 가둬 끝내 숨지게 한 40대 여성에 대해 살인 혐의를 적용했다.이 여성은 아이를 가방에 가둔 것뿐만 아니라 가방 위에서 수차례 뛰고 가방 안으로 헤어드라이어 바람을 넣기도 한 것으로 드러났다.대전지검 천안지청 여성·강력범죄 전담부는 살인과 아동복지법 위반(상습아동학대), 특수상해 등 혐의로 A(41)씨에 대해 구속기소 했다고 29일 밝혔다.검찰에 따르면, A씨는 지난 1일 오후 12시쯤 B(9)군을 가로 50㎝·세로 71.5㎝·폭 29㎝ 크기 여행용 가방에 3시간 동안 감금했다.오후 3시 20분쯤에는 B군이 가방 속에서 용변을 봤다는 이유로 가로 44㎝·세로 60㎝·폭 24㎝의 더 작은 가방에 들어가게 했다.A씨는 아이를 가둬놓고 3시간가량 외출을 하기도 했다.B군은 이날 오후 7시 25분쯤 심정지 상태로 병원으로 옮겨졌지만, 이틀만인 3일 오후 저산소성 뇌 손상 등으로 끝내 숨졌다.검찰 조사 결과, A씨는 B군이 숨이 안 쉬어진다고 수차례 호소했지만, 가방 위에 올라가 수차례 뛰기도 한 것으로 드러났다. 또 여행용 가방 안으로 헤어드라이어 바람을 넣기도 했다.A씨는 지난해 7월부터 최근까지 총 12차례에 걸쳐 B군의 이마를 요가링으로 때려 상해를 가하기도 했다고 검찰은 설명했다.검찰 관계자는 ""피해 아동이 호흡곤란을 호소함에도 가방 위에 올라가 뛰는 등 더 중한 학대행위로 나아가고 피해 아동의 울음이나 움직임이 줄었음에도 그대로 방치해 살인의 고의가 인정된다""고 설명했다."
5,"여행용 가방에 9살 초교생 가둬 숨지게한 계모 가방위에서 뛰기도 해 '충격' 사진=연합뉴스동거남의 9살 초교생을 여행용 가방에 가둬 숨지게 한 40대 계모에게 살인 혐의가 적용됐다.이 여성은 아이를 가방에 가둔 데서 그치지 않고 가방 위에 올라가 뛰기까지 한 것으로 드러나 충격을 주고 있다.대전지검 천안지청 여성·강력범죄 전담부(이춘 부장검사)는 29일 살인·아동복지법상 상습 아동학대·특수상해 혐의로 A(41)씨를 구속기소 했다.검찰에 따르면 A씨는 지난 1일 정오께 B(9)군을 가로 50㎝·세로 71.5㎝·폭 29㎝ 크기 여행용 가방에 3시간 동안 감금했다가 다시 같은 날 오후 3시 20분께 가로 44㎝·세로 60㎝·폭 24㎝의 더 작은 가방에 들어가게 했다.A씨는 아이를 가둬놓고 3시간가량 외출도 했다.B군은 같은 날 오후 7시 25분께 심정지를 일으킨 뒤 병원으로 옮겨졌지만, 이틀 만인 지난 3일 오후 6시 30분께 저산소성 뇌 손상 등으로 숨을 거뒀다.조사 결과 가방에 들어가 있던 B군은 '숨이 안 쉬어진다'고 수차례 호소한 것으로 나타났다.A씨는 그러나 이에 아랑곳하지 않고 가방 위에 올라가 뛰거나 가방 속에 헤어드라이어로 뜨거운 바람을 불어넣기도 했다.그는 지난해 7월부터 최근까지 12차례에 걸쳐 B군 이마를 요가 링으로 때려 상해를 가하기도 했다고 검찰은 설명했다.앞서 경찰은 아동학대범죄의 처벌 등에 관한 특례법상 아동학대치사 등 혐의로 A씨를 송치했으나, 검찰은 A씨에게 살인의 고의성이 인정된다고 판단했다.검찰 관계자는 ""피해 아동을 지속해서 학대한 피고인이 범행 당일엔 밀폐된 여행용 가방에 가둬 두기까지 했다""며 ""가방에 올라가 수차례 뛴 것도 모자라 가방 안에 헤어드라이어로 바람을 넣어 피해자가 사망할 수 있다고 예견할 수 있었다""고 말했다.A씨는 여행용 가방에서 내려온 뒤 40분 동안 구호 조치 없이 B군을 방치하기도 했다고 덧붙였다.이 사건을 심의한 검찰시민위원회 역시 ""살인 혐의로 기소해야 한다""는 의견을 만장일치로 낸 것으로 파악됐다.검찰 관계자는 ""전담 수사팀이 피의자, 피해자 친부, 피의자 친자녀 등 사건 관계인들을 철저히 조사하고, 모바일 분석·통화내역 분석과 주거지 압수수색, 범행도구 감정 등을 진행했다""며 ""아동학대 관련 국내 유사 판례와 외국 유사 사례를 검토하는 등 면밀히 수사했다""고 강조했다."
6," 동거남의 아들을 7시간 동안 여행용 가방에 가둬 결국 숨지게 한 40대 여성이 지난 10일 오후 충남 천안동남경찰서에서 대전지검 천안지청으로 송치되고 있다. 연합뉴스동거남의 아들을 여행용 가방에 가둬 숨지게 한 40대 여성이 가방 위에 올라가 뛰고 헤어드라이어로 뜨거운 바람을 불어넣는 등 끔찍한 일을 벌였던 것으로 조사됐다. 검찰은 살인 혐의를 적용해 구속했다. 대전지검 천안지청 여성·강력범죄 전담부(이춘 부장검사)는 29일 살인·아동복지법상 상습 아동학대·특수상해 혐의로 ㄱ씨(41)를 구속기소 했다. 검찰에 따르면 ㄱ씨는 지난 1일 정오께 ㄴ군(9)을 가로 50㎝·세로 71.5㎝·폭 29㎝ 크기 여행용 가방에 3시간 동안 감금했다가 다시 같은 날 오후 3시 20분께 가로 44㎝·세로 60㎝·폭 24㎝의 더 작은 가방에 들어가게 했다. 아이가 처음에 갇힌 가방 안에 용변을 봤다는 것이 이유였다. ㄱ씨는 아이를 가둬놓고 3시간가량 외출도 했다. ㄴ군은 같은 날 오후 7시 25분께 심정지를 일으킨 뒤 병원으로 옮겨졌지만, 이틀 만인 지난 3일 오후 6시 30분께 저산소성 뇌 손상 등으로 숨을 거뒀다.조사 결과 가방에 들어가 있던 ㄴ군은 ‘숨이 안 쉬어진다’고 수차례 호소한 것으로 나타났다. ㄱ씨는 그러나 이에 아랑곳하지 않고 가방 위에 올라가 뛰거나 가방 속에 헤어드라이어로 뜨거운 바람을 불어넣기도 했다. 그는 지난해 7월부터 최근까지 12차례에 걸쳐 ㄴ군 이마를 요가 링으로 때려 상해를 가하기도 했다.앞서 경찰은 아동학대범죄의 처벌 등에 관한 특례법(아동학대처벌법)상 아동학대치사 등 혐의로 ㄱ씨를 송치했으나, 검찰은 ㄱ씨에게 살인의 고의성이 인정된다고 판단했다. ㄱ씨는 여행용 가방에서 내려온 뒤 40분 동안 구호 조치 없이 ㄴ군을 방치하기도 했다. 이 사건을 심의한 검찰시민위원회 역시 “살인 혐의로 기소해야 한다”는 의견을 만장일치로 낸 것으로 파악됐다.양승남 기자"
7,동거남의 아들을 7시간 동안 여행용 가방에 가둬 결국 숨지게 한 40대 여성이 지난 10일 오후 충남 천안동남경찰서에서 대전지검 천안지청으로 송치되고 있는 모습. [연합뉴스 자료사진]
8, '9세 아동 여행 가방 사망' 40대 동거여성 살인혐의 적용강경주 한경닷컴 기자
9," 밀집도 낮은 여행지, 하계 성수기 여행수요 분산을 위해 한국관광공사와 7개 지역관광공사가 ‘언택트관광지’를 소개했다.   한국관광공사와 7개 지역관광공사(RTO)로 구성된 지역관광기관협의회는 국민들이 코로나를 피해 상대적으로 여유롭고 안전하게 국내여행을 할 수 있도록 전국 ‘언택트관광지 100선’을 선정, 발표했다.   언택트관광지로 선정된 100곳은 경기 평택 바람새마을 소풍정원, 경북 영덕 벌영리메타세콰이어길, 대전 한밭수목원, 부산 황령산, 서울 몽촌토성, 인천 교동도, 제주 고살리 숲길 등이며, 동 관광지들은 지역관광공사 등에서 각각 추천한 해당 지역 관광지 중 △기존에 잘 알려지지 않은 관광지 △개별 여행 및 가족단위 테마 관광지 △야외 관광지 △자체 입장객수 제한을 통해 거리두기 여행을 실천하는 관광지 등의 기준 요건을 검토해 정해졌다.   협의회는 이들 관광지를 2020 특별 여행주간(7월1~19일)과 연계, 적극 홍보하여 안전 여행문화를 확산시키는 한편, 하계 여행성수기를 맞아 일부 유명관광지로의 관광객 편중 현상을 해소하면서 여행수요를 분산시키는 데도 일정 정도 기여할 것으로 기대하고 있다.   한국관광공사 정창욱 국민관광전략팀장은 “지역관광공사와 협력하여 안전여행을 코로나 시대 새로운 여행문화로 정착시키는 노력을 기울일 것”이며, “안전여행 문화 확립은 물론 신규 관광콘텐츠 발굴에 적극 나서 국내여행을 더욱 활성화시키는 데 주력할 것”이라고 말했다. "
10,"제주 남원에 있는 고살리 숲길. /제주관광공사한국관광공사는 29일 코로나바이러스 감염증(코로나19)을 피해 안전하게 국내여행을 할 수 있도록 '언택트 관광지 100선'을 선정했다고 발표했다. 선정된 관광지 100곳은 경기 평택 바람새마을 소풍정원, 경북 영덕 벌영리 메타세콰이어길, 대전 한밭수목원, 부산 황령산, 서울 몽촌토성, 인천 교동도, 제주 고살리 숲길 등이다. 관광공사는 기존에 잘 알려지지 않은 관광지, 야외 관광지, 자체 입장객 수 제한 등을 통해 거리 두기를 실천하는 관광지 등의 요건으로 7개 지역관광공사(RTO)로 구성된 지역관광기관협의회와 관광지를 선정했다.관광공사는 이들 관광지를 다음 달 1일부터 19일까지 진행하는 2020 특별 여행주간과 연계해 안전 여행문화를 확산하겠다는 방침이다. 관광공사 관계자는 ""지역관광공사와 협력하여 안전여행을 코로나 시대의 새로운 여행문화로 정착시키는 노력을 기울일 것""이라며 ""이를 통해 국내 여행을 더욱 활성화하는 데 주력할 것""이라고 말했다.[양범수 기자"
