,contents
0,"미래에셋자산운용은 초등학생을 위한 온라인 경제교육 콘텐츠 '미래에셋자산운용과 함께하는 우리아이 스쿨투어 영상'을 제작해 배포했다고 29일 밝혔다.영상은 온라인 교육 콘텐츠 플랫폼 아이스크림에서 확인할 수 있다.아이스크림은 초등교육용 디지털 이미지, 멀티미디어 자료, 교수 콘텐츠 등을 제공하는 서비스다. 전국 대다수 초등학교에서 활용되고 있다.해당 콘텐츠는 회원가입이나 로그인 없이 누구나 무료로 시청할 수 있다.교육내용은 초등학교 전학년을 대상으로 돈에 대한 기본 개념부터 용돈, 저축, 투자 등 금융에 대한 내용까지 총 30개 영상과 각각의 활동지에 담았다.더불어 중등 청소년 대상의 '청소년 금융스쿨' 영상 16편을 제작해 자유학년제 원격수업에 활용할 수 있도록 교육기부포털 등으로 일선 학교에 배포하고 있다.미래에셋자산운용은 중국 상하이와 선전에서 열리는 해외연수 프로그램 '우리아이글로벌리더대장정', 전국 초등학교로 직접 찾아가는 경제교실 '우리아이 스쿨투어', 부모와 자녀가 함께하는 '우리아이 경제교실', 방학마다 진행하는 초등학생 대상 '우리아이 경제박사 캠프' 등 국내외에서 다양한 경제교육 프로그램을 운영해왔다.배옥진기자"
1," 미래에셋자산운용은 초등학생을 위한 온라인 경제교육 콘텐츠 ‘미래에셋자산운용과 함께하는 우리아이 스쿨투어 영상’을 제작해 배포했다고 29일 밝혔다.   관련 영상은 온라인 교육 콘텐츠 플랫폼인 아이스크림에서 확인할 수 있다.   아이스크림은 초등 교육용 디지털 이미지 및 멀티미디어 자료, 교수 콘텐츠 등을 제공하는 서비스로 전국 대다수의 초등학교에서 활용되고 있다.   현재 코로나19 영향으로 초등학교에서는 4월부터 온라인 개학을 통한 원격수업이 진행되고, 5월부터 순차적 등교 수업이 진행되고 있다.   이번 제작으로 교사를 비롯해 학생과 학부모들의 온라인 경제교육 콘텐츠에 대한 니즈가 일정 부분 해소될 것으로 기대된다.   해당 콘텐츠들은 회원가입이나 로그인 없이 누구나 무료로 시청할 수 있다.   교육내용은 초등학교 전학년을 대상으로 돈에 대한 기본 개념부터 용돈, 저축, 투자 등 금융에 대한 내용까지 총 30개 영상과 각각의 활동지에 담았다.   더불어 중등 청소년 대상의 ‘청소년 금융스쿨’ 영상 16편을 제작해 자유학년제 원격수업에 활용할 수 있도록 교육기부포털 등을 통해 일선 학교에 배포하고 있다.   그 동안 미래에셋자산운용은 중국 상하이 및 선전에서 진행하는 국내 대표 해외연수 프로그램인 ‘우리아이글로벌리더대장정’, 전국 초등학교로 직접 찾아가는 경제교실 ‘우리아이 스쿨투어’, 부모와 자녀가 함께하는 ‘우리아이 경제교실’, 방학마다 진행하는 초등학생 대상 ‘우리아이 경제박사 캠프’ 등 국내외에서 다양한 경제교육 프로그램을 운영해 왔다.   미래에셋자산운용 WM마케팅부문 임명재 부문장은 ""미래에셋은 찾아가는 경제교육 프로그램 외에 온라인을 통해서도 어린이들에게 다양한 학습기회를 제공하고 있다”며 “앞으로도 더 많은 아이들이 경제와 친숙해질 수 있도록 다양한 콘텐츠와 프로그램을 개발하겠다”고 말했다.  #미래에셋 #미래에셋자산운용 #우리아이스쿨투어  "
2," 미래에셋자산운용이 초등학생을 위한 온라인 경제교육 콘텐츠 ‘미래에셋자산운용과 함께하는 우리아이 스쿨투어 영상’을 제작해 배포했다고 29일 밝혔다.영상은 온라인 교육 콘텐츠 플랫폼인 ‘아이스크림’에서 확인할 수 있다. 교육내용은 초등학교 전 학년을 대상으로 돈에 대한 기본 개념부터 용돈, 저축, 투자 등 내용까지 총 30개 영상과 각각의 활동지에 담았다. 더불어 중등 청소년 대상의 ‘청소년 금융스쿨’ 영상 16편을 제작해 자유학년제 원격수업에 활용할 수 있도록 교육기부포털 등을 통해 일선 학교에 배포하고 있다. 해당 콘텐츠들은 회원가입이나 로그인 없이 누구나 무료로 시청할 수 있다.이번 영상을 통해 교사, 학생, 학부모 등에게 온라인 경제교육 콘텐츠에 대한 수요가 일정 부분 해소될 것으로 기대된다. 미래에셋자산운용 WM마케팅부문의 임명재 부문장은 “찾아가는 경제교육 프로그램 외에 온라인을 통해서 다양한 학습기회를 제공하고 있다”며 “앞으로도 더 많은 아이들이 경제와 친숙해질 수 있도록 다양한 콘텐츠와 프로그램을 개발하겠다”고 했다.한편 미래에셋자산운용은 그 동안 중국 상하이 및 선전에서 진행하는 국내 대표 해외연수 프로그램인 ‘우리아이글로벌리더대장정’, 전국 초등학교로 직접 찾아가는 경제교실 ‘우리아이 스쿨투어’ 등 다양한 경제교육 프로그램을 운영해오고 있다. /이완기기자"
3,"ⓒ미래에셋자산운용미래에셋자산운용은 초등학생을 위한 온라인 경제교육 콘텐츠 ‘미래에셋자산운용과 함께하는 우리아이 스쿨투어 영상’을 제작해 배포했다고 29일 밝혔다.영상은 온라인 교육 콘텐츠 플랫폼인 아이스크림에서 확인할 수 있다. 아이스크림은 초등 교육용 디지털 이미지 및 멀티미디어 자료, 교수 콘텐츠 등을 제공하는 서비스로 전국 대다수의 초등학교에서 활용되고 있다.현재 코로나19 영향으로 초등학교에서는 4월부터 온라인 개학을 통한 원격수업이 진행되고, 5월부터 순차적 등교 수업이 진행되고 있다. 이번 제작으로 교사를 비롯해 학생과 학부모들의 온라인 경제교육 콘텐츠에 대한 니즈가 일정 부분 해소될 것으로 기대된다. 해당 콘텐츠들은 회원가입이나 로그인 없이 누구나 무료로 시청할 수 있다.교육내용은 초등학교 전학년을 대상으로 돈에 대한 기본 개념부터 용돈, 저축, 투자 등 금융에 대한 내용까지 총 30개 영상과 각각의 활동지에 담았다. 더불어 중등 청소년 대상의 ‘청소년 금융스쿨’ 영상 16편을 제작해 자유학년제 원격수업에 활용할 수 있도록 교육기부포털 등을 통해 일선 학교에 배포하고 있다.그 동안 미래에셋자산운용은 중국 상하이 및 선전에서 진행하는 국내 대표 해외연수 프로그램인 ‘우리아이글로벌리더대장정’, 전국 초등학교로 직접 찾아가는 경제교실 ‘우리아이 스쿨투어’, 부모와 자녀가 함께하는 ‘우리아이 경제교실’, 방학마다 진행하는 초등학생 대상 ‘우리아이 경제박사 캠프’ 등 국내외에서 다양한 경제교육 프로그램을 운영해 왔다.미래에셋자산운용 WM마케팅부문 임명재 부문장은 ""미래에셋은 찾아가는 경제교육 프로그램 외에 온라인을 통해서도 어린이들에게 다양한 학습기회를 제공하고 있다”며 “앞으로도 더 많은 아이들이 경제와 친숙해질 수 있도록 다양한 콘텐츠와 프로그램을 개발하겠다”고 말했다.데일리안 이미경 기자 "
4,"총 상금 4천 3백만 원 규모…게임문화 정책홍보 콘텐츠 활용 예정(지디넷코리아=최병준  기자)문화체육관광부(장관 박양우)가 주최하고 한국콘텐츠진흥원(원장 김영준, 콘진원)이 주관하며, 한국게임산업협회(회장 강신철)가 후원하는 ‘게임문화 창작콘텐츠 공모전’을 오는 7월 13일부터 9월 14일까지 진행된다.게임문화 창작콘텐츠 공모전은 게임의 사회문화적 가치와 건강한 게임 이용에 대해 국민 스스로 생각해볼 수 있는 기회를 만들고자 마련됐다.특히 내 인생을 꽃 피운 게임을 부제로 일상 속 여가문화로 자리매김한 게임을 이용하는 사람들에 대한 이야기를 접수받는다.게임문화 창작콘텐츠 공모전 포스터공모주제는 ▲관계를 꽃 피우다 ▲문화를 꽃 피우다 ▲인생을 꽃 피우다 3개 분야로 나뉜다. 각각 게임을 통해 타인과 소통했던 경험, 건강한 게임문화를 만들기 위한 아이디어나 제안, 삶에 대한 태도가 긍정적으로 변화한 사례 등을 주제로 ▲영상 ▲수기 ▲웹툰 형태로 자유롭게 응모 가능하다.건강한 여가문화로서 게임을 재조명하고 싶다면…오는 9월 14일까지 접수이번 공모전은 주제 적합성, 창의성, 메시지 전달력, 완성도 등을 기준으로 심사하며, 오는 10월 말에 결과 발표한다. 선정된 우수 작품은 향후 게임문화 정책홍보 콘텐츠로 재가공하여 활용될 계획이다.시상은 ▲영상, 수기, 웹툰 분야 통합 대상(문화체육관광부장관상) 1명(팀)과 각 분야별 ▲최우수상 및 우수상(한국콘텐츠진흥원장상) ▲장려상(한국게임산업협회장상) 등 43편을 선정해 총 상금 4천 3백만 원 규모로 진행된다.콘진원 김영준 원장은 “코로나19로 인해 비대면 여가문화로서 게임이 어느 때보다 주목받고 있다”며, “이번 공모전을 통해 게임이 우리의 일상을 얼마나 풍요롭게 만들고 있는지 그 가치를 재조명하는 계기가 되길 바란다”고 전했다.대한민국 국민 누구나 개인 및 팀(최대 6인 이내 구성)으로 참여 가능한 이번 공모전은 9월 14일 17시까지 접수하면 된다. 보다 자세한 내용은 콘진원 홈페이지 공지사항과 공모전 온라인 접수 페이지를 통해 확인할 수 있다.최병준 기자"
5,총 상금 4천 3백만 원 규모…향후 게임문화 정책홍보 콘텐츠로 활용 예정[김동언 기자(=나주)
6,"한국콘텐츠진흥원은 게임의 사회문화적 가치를 재조명하고 건강한 게임 이용을 위해 '게임문화 창작콘텐츠 공모전'을 개최한다고 29일 밝혔다.    이번 공모전은 문화체육관광부가 주최하고 한국게임산업협회가 후원하며 다음 달 13일부터 9월 14일까지 진행된다.    공모 주제는 '관계를 꽃 피우다', '문화를 꽃 피우다', '인생을 꽃 피우다' 등 3개 분야로 나뉜다.     각각 게임을 통해 타인과 소통했던 경험, 건강한 게임문화를 만들기 위한 아이디어나 제안, 삶에 대한 태도가 긍정적으로 변화한 사례 등을 주제로 영상과 수기, 웹툰 형태로 자유롭게 응모하면 된다.    주제 적합성과 창의성, 메시지 전달력, 완성도 등을 기준으로 심사하며 오는 10월 말에 결과를 발표한다. 선정된 우수 작품은 게임문화 정책홍보 콘텐츠로 활용된다.[한국콘텐츠진흥원 제공. 재판매 및 DB 금지]   "
7,"7월 13일부터 9월 14일까지 접수…총 상금 4300만원 규모한국콘텐츠진흥원(이하, 콘진원)이 '게임문화 창작콘텐츠 공모전'을 오는 7월 13일부터 9월 14일까지 연다.29일 콘진원에 따르면, 대한민국 국민 누구나 개인 및 팀(최대 6인 이내 구성)으로 참여 가능한 이번 공모전은 9월 14일 17시까지 접수하면 된다.공모주제는 ▲관계를 꽃 피우다 ▲문화를 꽃 피우다 ▲인생을 꽃 피우다 등 3개 분야이다. 게임을 통해 타인과 소통했던 경험이나 건강한 게임문화를 만들기 위한 아이디어나 제안, 삶에 대한 태도가 긍정적으로 변화한 사례 등을 주제로 ▲영상 ▲수기 ▲웹툰 형태로 자유롭게 응모 가능하다. 콘진원 측은 ""해당 공모전은 게임의 사회문화적 가치와 건강한 게임 이용에 대해 국민 스스로 생각해볼 수 있는 기회를 만들고자 마련됐다""고 설명했다.이번 공모전의 기준은 주제 적합성, 창의성, 메시지 전달력, 완성도 등이다. 오는 10월 말에 결과를 발표한다. 선정된 우수 작품은 향후 게임문화 정책홍보 콘텐츠로 재가공하여 활용될 계획이다.시상은 ▲영상·수기·웹툰 분야 통합 대상(문화체육관광부장관상) 1명(팀)과 각 분야별 ▲최우수상 및 우수상(한국콘텐츠진흥원장상) ▲장려상(한국게임산업협회장상) 등 43편을 선정해 총 상금 4300만 원 규모로 진행된다.김연준 콘진원 원장은 ""코로나19로 인해 비대면 여가문화로서 게임이 어느 때보다 주목받고 있다""며 ""이번 공모전을 통해 게임이 우리의 일상을 얼마나 풍요롭게 만들고 있는지 그 가치를 재조명하는 계기가 되길 바란다""고 전했다.황병서기자"
8," 문화체육관광부가 주최하고 한국콘텐츠진흥원이 주관하며, 한국게임산업협회가 후원하는 ‘게임문화 창작콘텐츠 공모전’을 오는 7월 13일부터 9월 14일까지 진행한다.   ‘게임문화 창작콘텐츠 공모전’은 게임의 사회문화적 가치와 건강한 게임 이용에 대해 국민 스스로 생각해볼 수 있는 기회를 만들고자 마련됐다.   공모주제는 △관계를 꽃 피우다 △문화를 꽃 피우다 △인생을 꽃 피우다 3개 분야로 나뉜다. 각각 게임을 통해 타인과 소통했던 경험, 건강한 게임문화를 만들기 위한 아이디어나 제안, 삶에 대한 태도가 긍정적으로 변화한 사례 등을 주제로 영상, 수기, 웹툰 형태로 자유롭게 응모 가능하다.   이번 공모전은 주제 적합성, 창의성, 메시지 전달력, 완성도 등을 기준으로 심사한다. 개인 및 팀(최대 6인 이내 구성)으로 참여 가능하며, 9월 14일 오후 5시까지 접수하면 된다. 결과는 오는 10월 말에 발표한다. 선정된 우수 작품은 향후 게임문화 정책홍보 콘텐츠로 재가공하여 활용될 계획이다.   시상은 △영상, 수기, 웹툰 분야 통합 대상(문화체육관광부장관상) 1명(팀)과 각 분야별 △최우수상 및 우수상(한국콘텐츠진흥원장상) △장려상(한국게임산업협회장상) 등 43편을 선정해 총 상금 4,300만원 규모로 진행된다.   콘진원 김영준 원장은 “코로나19로 인해 비대면 여가문화로서 게임이 어느 때보다 주목받고 있다”며, “이번 공모전을 통해 게임이 우리의 일상을 얼마나 풍요롭게 만들고 있는지 그 가치를 재조명하는 계기가 되길 바란다”고 전했다. "
9," 방송통신위원회가 인터넷윤리 창작콘텐츠 공모전에 나선다.방송통신위원회(위원장 한상혁)와 한국정보화진흥원(원장 문용식)은 건전한 인터넷 이용문화의 확산과 정착을 위해 29일부터 10월 5일까지 전 국민을 대상으로 '인터넷윤리 창작콘텐츠 공모전'을 개최한다고 발표했다.방통위 현판이번 공모전은 '우리가 만드는 슬기로운 인터넷 생활 길잡이'를 주제로, 언택트 문화 확산에 따른 사이버폭력, 디지털 발자국 및 평판, 온라인상에서의 정보판별 등 인터넷 윤리와 관련된 생활 속 경험을 공유하고, 더 나아가 긍정적인 인터넷윤리 실천방안을 제시하는 안내자로서 국민의 주도적 참여를 높이고자 기획됐다.공모전은 인식제고 콘텐츠, 교수·학습지도안 2개 부문으로 나누어 진행된다. ▲인식제고 콘텐츠 부문은   이미지, 영상, 글 ▲교수·학습지도안 부문은 창의적 체험활동과 교과연계 등의 세부분야로 나뉜다.교수·학습지도안 부문에서는 코로나19로 인해 비대면 교육의 중요성이 증가한 상황에 발맞춰 대면 수업과 더불어 원격 수업용 지도안을 공모하여 새로운 교육 형식과 방법을 발굴한다. 현직 초·중·고등학교 교사뿐만 아니라 교대와 사범대에 재학 중인 예비교사, 공공·민간 기관에서 활동 중인 인터넷윤리 교육 강사도 참여할 수 있다.병영 내 건전한 스마트폰 이용문화 조성에 대한 관심과 참여를 높이기 위해 작년에 이어 올해도 국방부와 협업해 군장병을 대상으로 부대 내에서의 인터넷윤리 실천을 위한 공모를 진행한다.출품작은 심사를 통해 ▲대통령상 1점 ▲ 국무총리상 1점 ▲방송통신위원장상 9점 ▲교육부장관상 3점 ▲국방부장관상 1점 ▲주관기관 및 후원기관장상 52점 등 본상 총 67점을 선정하고, 총 3천830만원의 상금을 수여하며, 올 연말 개최되는 인터넷 윤리대전에서 시상할 예정이다.대통령상은 올해 처음으로 추가됐다. 공모전의 공신력 강화를 위해 국민참여 심사와 대통령상 및 국무총리상 후보자에 대한 공개검증과정을 도입했다.수상작은 향후 인터넷윤리 관련 공익광고 및 홍보물, 인터넷윤리 교재 기획 시 활용된다. 기타 공모방법, 시상내역, 심사절차 등 세부 요강은 아름다운 인터넷 세상 공모전 누리집에서 확인할 수 있다.김문기기자"
