,contents
0,"   ▲  복제방지무늬(워터마크) 개념도 ⓒ 문체부 영상캡처 장치 등을 사용해 유료 온라인 콘텐츠 서비스(플랫폼)의 영상콘텐츠를 불법으로 녹화해 유출하면 불법 복제된 영상에는 유출자 흔적이 남는 복제방지무늬(워터마크) 적용 시범사업이 추진된다.문화체육관광부(장관 박양우, 이하 문체부)가 한국저작권보호원(원장 박주환)과 함께 추진하는 이번 사업에는 영화 등의 콘텐츠가 불법 유출됐을 때, 유출자를 추적할 수 있는 기술이 적용된다.문체부에 따르면 이번 시범사업은 지난 5월 27일(수)에 열린 '저작권 분야 현장 간담회' 결과를 신속하게 반영한 정책이다.문체부는 ""한국아이피티브이(IPTV)방송협회와 한국영화디지털유통협회는 IPTV 사업자가 최종 송출 단계에서 적용하는 복제방지무늬 외에 추가로 영화 공급 단계에서 복제방지무늬를 삽입하면 해당 콘텐츠가 불법 유통될 경우 유출 경로를 더욱 쉽게 파악할 수 있기 때문에 정부가 한국 영화에 복제방지무늬를 넣는 것을 지원해 줄 것을 건의했다""고 밝혔다.현재 해외 직배영화는 공급 단계에서도 복제방지무늬를 적용하고 있지만 한국 영화는 최종 송출 단계에서만 적용하고 있다.문체부는 ""이번 시범사업을 통해 영화콘텐츠의 온라인 콘텐츠 불법 유통 실태를 점검하고, 영리 목적의 상습 유출자를 적발할 계획""이라며 ""최근 극장에서 개봉되는 신작 영화가 IPTV에 본격적으로 공급되기 전에 복제방지무늬를 지원할 방침""이라고 밝혔다.이에 따라 문체부는 영화유통사들을 대상으로 7월 15일까지 복제방지무늬 적용 시범 영화에 대한 1차 신청을 받아 20편 내외로 선정한다. 개봉 일정이 미확정된 영화들도 9월 중에 30편 내외를 추가로 선정한다. 상세한 지원 내용과 접수 방법은 한국저작권보호원 누리집(www.kcopa.or.kr)에서 확인할 수 있다.문체부는 ""한국저작권보호원과 영화진흥위원회는 복제방지무늬가 적용된 영상을 모니터링하고, 그 결과를 한국IPTV방송협회와 한국영화디지털유통협회에 전달해 IPTV 사업자와 영화유통사 측에도 공유한다""면서 ""시범사업 결과에 따라 향후 온라인 동영상 서비스(OTT) 등 다른 온라인 콘텐츠 서비스(플랫폼)에도 복제방지무늬 지원 시범사업을 확대할 계획""이라고 밝혔다.문체부 정책 담당자는 ""코로나19 이후 비대면 소비가 가속화되고 영화업계의 온라인 매출 비중이 높아질 것으로 예측됨에 따라 온라인 저작권 보호의 중요성이 높아지고 있다""며 ""이번 시범사업은 온라인콘텐츠 저작권 침해 대응을 강화하는 계기가 될 것""이라고 밝혔다. 저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지"
1,한국영화가 복제방지무늬(워터마크)를 영화공급단계에서 적용해 불법유출을 차단하기에 나섰다.문화체육관광부(장관 박양우)와 한국저작권보호원(원장 박주환)이 한국영화에 대한 복제방지무늬(워터마크) 적용 시범 사업을 추진한다.복제방지무늬는 눈으로 보기엔 잘 보이지 않지만 전용 프로그램으로 추출하면 숨겨둔 무늬나 글자 등이 드러나는 기술이다.이 기술을 영화 콘텐츠에 적용하면 해당 콘텐츠가 불법 복제됐을 때 영상에 흔적이 고스란히 남게 돼 유출자를 추적할 수 있다. 이번 시범사업은 지난달 열린 저작권 분야 현장간담회의 요청을 반영해 마련됐다. 한국IPTV방송협회와 한국영화디지털유통협회는 영화 공급단계에도 복제방지무늬를 삽입하자고 요청했다.현재 해외 직배영화는 공급단계에서도 복제방지무늬가 적용되고 있지만 한국영화는 비용 및 이해관계 충돌 등 여러 가지 이유로 인해 최종 송출단계에서만 적용되고 있는 것으로 전해졌다.문체부는 이번 시범사업을 통해 영화콘텐츠의 온라인 콘텐츠 불법 유통 실태를 점검하고 영리를 목적으로 한 상습 유출자를 적발한다는 계획이다. 또 신작 영화가 IPTV에 본격적으로 공급되기 전에 복제방지무늬를 지원할 방침이다. 복제방지무늬가 시범 적용될 영화는 영화유통사들을 대상으로 7월 15일까지 1차 신청을 받아 20편 내외로 선정할 예정이다
2,안다영 기자 
3,"롯데컬쳐웍스 제공 영화 '살아있다'(사진)가 개봉 5일만에 100만 관객을 넘었다. 개봉 첫날 20만명이 본 이 영화는 개봉 첫주 누적관객수 106만46명을 불러모아 지난 2월 코로나19 여파로 침체된 극장가에 첫 100만 돌파 영화가 됐다. 덕분에 주말 극장을 찾은 관객수도 전주 대비 2배나 늘었다.   유아인·박신혜 주연의 영화 '살아있다'는 원인불명 증세의 사람들이 공격을 시작하며 통제 불능에 빠진 가운데, 홀로 아파트에 고립된 이들의 이야기를 그린 생존 스릴러다. 박혜은 '더 스크린' 편집장은 ""생존을 위해 제한된 상황에서 한정된 요소를 영리하게 활용한 점, 각 배우의 강점을 잘 살린 캐릭터와 연기도 장점""이라며 ""홀로 고립되었다가 함께 살아남기 위해 의기투합하는 청년들의 생존기가 코로나 팬데믹으로 인한 '언택트 시대'와 겹쳐 시의적절했다""고 평가했다.   한 극장관계자는 ""신작에 대한 갈증이 수면 위로 드러난 결과로 보인다""며 ""화제의 신작이 개봉될 때까지 '살아있다'의 흥행이 이어질 것""으로 전망했다. ""극장 방역이 본격적으로 시험대에 올랐다""며 ""안전한 관람 문화가 여름시장과 영화계 정상화에 도움이 되길 기대한다""고 말했다. "
4," ‘강철비2: 정상회담’로 영화화된 웹툰 원작  ‘스틸레인3’. 사진 카카오페이지카카오페이지가 ‘승리호’에 이어 ‘정상회담: 스틸레인3’을 슈퍼웹툰 프로젝트로 선정했다.카카오페이지 X 다음웹툰 ‘슈퍼웹툰 프로젝트’는 작품성, 대중성, 확장성 등을 바탕으로 메가 히트 IP(지식 재산권)를 선정하고 있다. 올 초 ‘박새로이’ 신드롬을 일으켰던 ‘이태원 클라쓰’를 시작으로 ‘어린’, ‘승리호’, ‘정상회담: 스틸레인3’으로 슈퍼웹툰을 이어가고 있다.웹툰 ‘정상회담: 스틸레인3(양우석, 제피가루)’은 남북미 정상회담 중에 북의 쿠데타로 세 정상이 북의 핵 잠수함에 납치 된 후 벌어지는 전쟁 직전의 위기상황을 그리고 있다. 특히 웹툰 ‘정상회담: 스틸레인3’은 올 여름, 영화 ‘강철비2: 정상회담’으로 개봉을 앞두고 있어 더욱 기대를 모으는 작품.웹툰작가이자 영화 연출가이기도 한 양우석 감독은 2011년 웹툰 ‘스틸레인1’을 시작으로 웹툰 ‘스틸레인2(영화 강철비1)’, 웹툰 ‘스틸레인3(영화 강철비2)’까지 총 3편의 웹툰과 2편의 영화를 통해 10년간 ‘분단 세계관’을 이어왔다. 웹툰과 영화, 두개의 장르를 자유로이 넘나들며 하나의 세계관을 구축해온 크리에이터는 국내에서 양우석 감독이 유일무이하다. 양우석 감독은 남북 정세에 대한 남다른 통찰력과 예지력을 바탕으로 한반도 문제에 대한 사회적 공감대를 지속적으로 형성해왔다.특히, 웹툰 ‘스틸레인3’을 영화화한 이번 ‘강철비2: 정상회담’은 전편 대비, 확장된 문제의식과 스케일로 분단국가인 남과북, 그리고 한반도를 둘러싼 강대국 사이에서 실제로 일어날법한 위기상황을 실감나게 그려낼 예정이다.분단 70년의 역사를 지닌 대한민국에서 남북문제는 언제나 뜨거운 감자로 이러한 정세와 국민들의 관심을 반영하듯 웹툰 ‘정상회담: 스틸레인3’의 조회수는 800백만을 기록했다. 또 얼마전 공개된 ‘강철비2: 정상회담’ 영화의 예고편 조회수 역시 공개되자마자 100만을 웃돌며 높은 관심을 모으고 있다.양우석 감독은 “애석하게도 한반도의 운명은 당사자들이 결정할 수 없는게 사실이다. ‘정상회담: 스틸레인3’는 한반도에서 동북아로 넓혀서, 동북아를 중심으로 벌어지고 있는 새로운 질서 재편에 따른 한반도의 운명에 대한 이야기를 담았다. ‘스틸레인3’는 국제정세를 최대한 반영해서 시뮬레이션을 해봤고, 그 와중에 평화적 해결을 지향하여 시나리오 구성을 했다”고 ‘스틸레인3(영화 강철비2:정상회담)’의 기획 배경을 전했다.덧붙여, 양우석 감독은 “영화가 시간예술이라면, 웹툰은 공간예술이다. 뻔한 이야기지만 스토리의 형태가 내용의 감상을 결정하기도 한다. 웹툰과 영화는 상호보완적”이라며, “이야기는 비슷할 지라도 ‘같은 작품인가?’라고 느낄 정도로 연출의 방향과 스타일에 따라 확연한 차이를 보일 수도 있는 것이 웹툰과 영화의 표현 방법이라고 생각한다. 웹툰을 재미있게 보신 분들은 영화가 색다를 수 있고, 영화를 재미있게 보신 분들은 웹툰을 색다른 시선으로 볼 수 있을 것”이라고 웹툰과 영화의 관전포인트를 전했다.카카오페이지와 다음웹툰은 웹툰 ‘스틸레인’ 시리즈를 선보이는 것은 물론 영화 ‘강철비’ 시리즈에 작품 투자를 해왔다. 10년간 양우석 감독의 파트너로 함께 해온 카카오페이지 이진수 대표는 “웹툰과 영화를 넘나들며 하나의 세계관을 구축해가는 크리에이터로서 양우석 감독은 단연 독보적이다. 3편의 웹툰과 2편의 영화를 통해 10년간 하나의 ‘유니버스’를 구축해온 ‘스틸레인’이란 IP 역시 국내에서 유일하다”며 “카카오페이지가 ‘IP 비즈니스 사업자’로 도약하는데 있어, 웹툰 ‘스틸레인’- 영화 ‘강철비’로 이어지는 선순환구조는 의미하는 바가 깊다. 단일 IP가 다양한 장르로 확장하며 작품의 롱테일을 보여준 사례이기 때문이다. 카카오페이지는 ‘스틸레인’과 같은 IP사례를 점차 확대해감으로써 국내 스토리엔터테인먼트 산업의 생태계를 풍성하게 만들기 위한 다양한 시도를 할 계획이다”라고 전했다.웹툰 ‘정상회담: 스틸레인3’는 카카오페이지와 다음웹툰에서 만나볼 수 있으며, 정우성, 곽도원, 유연석, 앵거스 맥페이든 주연의 ‘강철비2: 정상회담’은 올 여름 개봉을 앞두고 있다.이유진 기자"
5,"부산국제영화제(BIFF) 조직위는 오는 10월7일부터 16일까지 열리는 제25회 BIFF 자원봉사자를 모집한다고 29일 밝혔다.자원봉사자 서류 접수는 오는 7월19일까지다. 이후 7월23일 서류 합격자를 발표하고, 7월27일부터 8월7일까지 면접을 진행한다.면접기간은 서류 합격자 인원에 따라 변동 가능하며 부산과 서울에서 각각 진행될 예정이다. 최종합격자 발표는 8월13일이다.성인이라면 누구나 지원이 가능하며 2002년 1월1일생 이후부터는 지원이 불가능하다. 한국어 소통에 문제가 없는 외국인도 지원할 수 있다.접수는 자원봉사자 공식 홈페이지를 통해 온라인으로 진행된다. 지원서 검토와 면접 등의 과정을 거쳐 최종 선발한다. 모집대상, 활동기간 등 자원봉사자 모집에 관한 자세한 내용은 공식 홈페이지에서 확인할 수 있다"
6,※ '당신의 제보가 뉴스가 됩니다' YTN은 여러분의 소중한 제보를 기다립니다.[카카오톡] YTN을 검색해 채널 추가 [전화] 02-398-8585 [메일]
7,부산국제영화제(BIFF)는 1O월 개막하는 영화제의 성공적인 개최를 이끌 자원봉사자를 모집한다고 29일 밝혔다.    모집 신청 마감은 다음 달 19일까지다.    접수는 자원봉사자 공식 홈페이지(volunteer.biff.kr)에서 받는다.    다음 달 23일 서류합격자 발표에 이어 27일부터 8월 7일까지 부산과 서울에서 면접을 진행한다.    최종합격자 발표는 8월 13일 오후 5시 발표한다.    올해 제25회 부산국제영화제는 10월 7일 개막해 16일까지 열린다.    
8,"부산국제영화제는 올해 10월 '제25회 부산국제영화제'를 이끌어 갈 자원봉사자를 7월19일까지 모집한다.  참가 희망자는 부산국제영화제 자원봉사자 홈페이지를 통해 신청할 수 있다. 영화제 측은 지원서 검토와 면접 등을 통해 최정 선발할 예정이다. 모집대상, 활동기간 등 자원봉사자 모집에 관한 자세한 내용은 홈페이지에서 확인할 수 있다. 한편 올해 영화제는 10월 7~16일 열린다.☞공감언론 뉴시스"
9,"패션디자인학과, ㈜까스텔바작과 산학연계 프로젝트 작품 선봬와이즈유 패션디자인학과가 지난 28일 부산 영화의 전당 야외극장에서 졸업 패션쇼를 개최했다. 와이즈유(영산대학교) 제공.와이즈유(영산대학교, 총장 부구욱) 패션디자인학과는 지난 28일 부산 영화의 전당 야외극장에서 ‘제15회 산학연계 프로젝트형 졸업 패션쇼’를 개최했다.이날 패션쇼에는 노찬용 이사장과 부구욱 총장을 비롯해 문정수 전 부산시장, ㈜까스텔바작 관계자, 재학생, 부산 시민 등 약 300여명이 참석해 성황리에 진행됐다. 코로나19 확산 방지를 위해 야외에서 진행된 이날 패션쇼는 패션디자인학과와 ㈜까스텔바작과의 산·학연계 프로젝트 결과물을 발표해 큰 관심을 모았다. 야외의 넓은 장소에서 관객들은 마스크를 쓰고 ‘거리두기’를 실천하며 관람했으며 SNS를 이용해 동영상으로 패션쇼 현장을 생중계했다.패션디자인학과는 2017년부터 LINC+사업(사회맞춤형 산학협력 선도대학 육성사업)인 패션테크니컬디자이너 트랙을 운영하고 있다. 패션그룹 형지(회장 최병오)의 골프웨어 브랜드인 ㈜ 까스텔바작은 패션테크니컬디자이너 트랙의 참여기업 중 가운데 하나이다. LINC+ 산학협력 EXPO 전시장 공동 운영, 업체 탐방 및 기업전문가 초청 특강, 산학연계 프로젝트형 수업 등 다양하게 협력하고 있으며, 이날 협력의 결과물로 산학연계 프로젝트형 졸업패션쇼를 함께 선보였다.학생들이 발표한 자유 창작 디자인 80벌은 면, 쉬폰, 아세테이트, 오간자, 울 등을 의복의 소재로 사용해 디자인에 프릴이나 셔링, 바인딩 등의 다양한 기법들을 적용해 창의적이고 실용적인 의상을 디자인했다. 또한 ㈜까스텔바작과 연계한 프로젝트로 제작된 30벌은 회사의 특성인 아트에 기반한 위트와 펀(fun)을 바탕에 깔고 골프웨어의 특성에 맞게 색의 조합과 문양 등을 통해 역동성과 생동감이 넘치는 젊음을 표현했다.이번 패션쇼를 지도한 조명례 교수는 “코로나19 사태로 어려운 현실에서 현재의 어려움을 딛고 묵묵히 맡은 자리에서 열심히 노력하면서 내일을 기약해 보자는 의미로 ‘Keep Going’을 주제 삼아 학생들이 의상을 디자인했다”면서 “특히 학생들의 작품은 대면 실습수업이 이루어진 약 1달 반 정도의 짧은 기간 동안의 결과물임에도 불구하고 완성도가 높아 업계 관계자 및 관람객으로부터 많은 칭찬을 받았다”고 밝혔다.정순형 선임기자"
