,contents
0,"KISA 로고한국인터넷진흥원(KISA)이 온라인광고 채용연계형 집중과정 교육생을 모집한다.온라인광고 분야 취업준비생을 대상으로 현직 실무 전문가가 현장 맞춤형 교육과 취업을 지원한다. △온라인 광고 산업 이해와 기획, 콘텐츠 제작 △온라인 매체와 분야별 집행 △광고 빅데이터 분석 △자동화 광고(프로그래매틱) 실습 △온라인광고 분쟁조정 △커머스 광고 교육 △채용설명회 등으로 구성된다.코로나19 확산 방지를 위해 이론 강의는 온라인으로, 실습과 조별 활동이 필요한 강의는 오프라인으로 혼합해 진행한다. 취업 연계를 위해 온라인광고 기업 30여곳이 참여한다.이 분야 취업을 희망하면서 교육 이수 후 3개월 이상 인턴과 정규직 근무가 가능한 국민이면 누구나 지원할 수 있다. 신청은 다음달 12일까지며 교육은 다음달 21일부터 9월 3일까지다. 교육비는 무료다.KISA는 2013년부터 매년 온라인광고 채용연계형 집중과정을 운영해 왔다. 현재까지 총 539명이 수료했으며 수료생 51.4%인 277명이 당해 온라인광고 기업에 채용됐다. 지난해는 수료생 110명 가운데 55%인 61명이 취업했다.황성원 KISA 인터넷서비스지원본부장은 “비대면 확대에 따른 온라인 활성화로 온라인광고 시장이 커졌다”면서 “KISA는 관련 분야 서비스와 일자리 창출을 지원하겠다”고 말했다.오다인기자"
1," 한국인터넷진흥원(KISA)은 온라인 광고 분야 취업 준비생을 위해 '2020년 온라인광고 채용연계형 집중과정'을 진행한다고 22일 발표했다.이번 교육 과정은 현직 실무 전문가가 산업 수요에 맞춰 준비한 커리큘럼을 바탕으로, 온라인 광고 산업 이해 및 기획·콘텐츠 제작, 온라인 매체·분야별 집행, 광고 빅데이터 분석, 자동화 광고(프로그래매틱) 실습, 채용 설명회 등으로 구성된다.특히 올해는 온라인 광고 분쟁조정 및 커머스 광고 관련 교육이 새롭게 추가됐다. 무료로 진행하는 이번 교육은 온라인 광고 분야 취업을 희망하고, 교육이수 후 3개월 이상 인턴·정규직 근무가 가능한 국민이 대상이다.KISA 나주청사 전경 [사진=KISA]참여를 원하는 사람은 내달 12일까지 신청할 수 있으며, 교육 기간은 다음달 21일부터 9월3일까지다. 이론 강의는 온라인으로, 실습·조별 활동이 필요한 강의는 오프라인으로 진행된다. 자세한 내용은 KISA 홈페이지를 통해 확인할 수 있다.황성원 KISA 인터넷서비스지원본부장은 ""최근 '언택트(비대면)' 사회 확대에 따른 온라인 서비스 이용 활성화로 온라인 광고 시장 또한 급증하고 있다""며 ""KISA는 앞으로 관련 분야의 신규 서비스·일자리 창출을 위해 노력할 것""이라고 말했다.최은정기자"
2,"KISA, 온라인광고 채용연계형 집중과정 교육생 모집7월 12일까지 접수, 총 80명 모집 예정 한국인터넷진흥원(KISA, 원장 김석환)은 온라인광고 분야로 진출을 희망하는 취업준비생을 위해 현장 맞춤형 교육 및 취업을 지원하는 ‘2020년 온라인광고 채용연계형 집중과정’ 교육생을 모집한다고 22일 밝혔다.이번 과정은 관련 분야 현직 실무전문가가 산업 수요에 맞춰 준비한 커리큘럼을 바탕으로 현장 맞춤형 교육을 진행할 예정이다.이번 과정에는 △온라인광고 산업의 전반적인 이해부터 기획 및 콘텐츠 제작 △온라인 매체·분야별 집행 △광고 빅데이터 분석 △자동화 광고(프로그래매틱) 실습 △채용설명회 등으로 구성했으며, 올해 새롭게 온라인광고 분쟁조정 및 커머스 광고 관련 교육이 추가됐다.또한, 교육 후 채용수요가 있는 온라인광고 기업과의 취업 연계를 위해 온라인광고 기업 30여 곳이 이번 교육 지원에 참여할 예정이다.코로나19 확산 방지를 위해 이론 강의는 온라인으로, 실습 및 조별활동이 필요한 강의는 오프라인으로 혼합해 진행하기로 했다.무료로 진행하는 이번 교육은 온라인광고 분야로 취업을 희망하고 교육이수 후 3개월 이상 인턴 및 정규직 근무가 가능한 국민이면 누구나 지원 가능하다.신청기간은 오는 7월 12일까지며, 교육기간은 7월 21일부터 9월 3일까지이다.자세한 내용은 KISA 누리집(www.kisa.or.kr)에서 메인페이지-공지사항)을 통해 확인할 수 있다.KISA 황성원 인터넷서비스지원본부장은 “최근 언택트 사회의 확대에 따른 온라인 서비스 이용 활성화로 온라인광고 시장 또한 급증하고 있다”며, “KISA는 앞으로 관련 분야의 신규 서비스 및 일자리 창출을 위해 사회적 거리두기를 지켜가며 아낌없는 지원과 노력을 이어가겠다”고 말했다.송현수 기자"
3,"한국인터넷진흥원(KISA)은 온라인광고 분야로 진출을 희망하는 취업준비생을 위해 현장 맞춤형 교육 및 취업을 지원하는 '2020년 온라인광고 채용연계형 집중과정' 교육생을 모집한다고 22일 밝혔다.최근 매년 10% 이상의 성장세를 보이는 온라인광고 시장은 유튜브와 페이스북 등 소셜미디어를 활용한 광고의 성장으로 더욱 주목받고 있다. 지난 2018년 5조6000억원 규모였던 온라인 광고시장은 지난해 6조5000억원 규모로 성장했다.이에 한국인터넷진흥원은 온라인광고 기업이 원하는 현장 맞춤형 전문인력을 양성하기 위해 지난 2013년부터 매년 온라인광고 채용연계형 집중과정을 운영하고 있다. 현재 총 539명이 교육과정을 수료했으며 수료생의 51.4%인 277명이 그해 온라인 광고기업에 채용됐다. 지난해에는 수료생 110명 중 55%(61명)가 취업했다.올해 교육과정은 관련 분야 현직 실무전문가가 산업 수요에 맞춰 준비한 커리큘럼을 바탕으로 현장 맞춤형 교육으로 진행된다. 한국인터넷진흥원은 신종 코로나바이러스 감염증(코로나19) 확산 방지를 위해 이론 강의는 온라인으로, 실습 및 조별 활동이 필요한 강의는 오프라인으로 혼합해 진행하기로 했다.커리큘럼으로는 Δ온라인광고 산업의 전반적인 이해부터 기획 및 콘텐츠 제작 Δ온라인 매체·분야별 집행 Δ온라인광고 분쟁조정 및 커머스 광고 관련 교육 Δ광고 빅데이터 분석 Δ자동화 광고(프로그래매틱) 실습 Δ채용설명회 등으로 구성됐다.이번 교육과정에는 국내 온라인 광고기업 30곳이 참여하며, 한국인터넷진흥원은 교육 후 채용수요가 있는 온라인광고 기업과의 취업 연계를 지원한다는 계획이다.무료로 진행되는 이번 교육은 온라인광고 분야로 취업을 희망하고 교육이수 후 3개월 이상 인턴 및 정규직 근무가 가능한 국민이면 누구나 지원할 수 있다. 선발인원은 약 80명 규모로 신청기간은 오는 7월12일까지다. 교육은 오는 7월21일부터 9월3일까지 진행된다.황성원  한국인터넷진흥원 인터넷서비스지원본부장은 ""최근 비대면 사회의 확대에 따른 온라인 서비스 이용 활성화로 온라인광고 시장 또한 급증하고 있다""며 ""KISA는 앞으로 관련 분야의 신규 서비스 및 일자리 창출을 위해 사회적 거리두기를 지켜가며 아낌없는 지원과 노력을 이어가겠다""고 말했다.2020년 온라인광고 채용연계형 집중과정에 대한 자세한 내용은 한국인터넷진흥원 홈페이지에서 확인할 수 있다"
4," 중고폰ATM 민팃의 광고 본편이 다양한 온라인 채널을 통해 공개된다.SK네트웍스의 리사이클 사업 브랜드 민팃은 민팃ATM이 가진 사회적 가치를 알리는 광고 영상을 제작해 유튜브와 페이스북, 인스타그램, 온라인TV 등에서 선보인다고 22일 밝혔다.민팃ATM은 우리나라 최초로 인공지능 기능을 탑재한 중고폰 ATM으로, 기기 안에 휴대폰을 넣으면 기능 점검과 시세 조회는 물론 판매 및 기부까지 현장에서 바로 이뤄지도록 했다. 투명하고 합리적인 거래 속에서 신속·안전하게 거래하고 싶어 하는 고객들을 위해 첨단 기술을 적용했다. 이를 통해 중고폰을 꺼내놓지 않았던 고객들의 시장 참여를 유도하고, 나아가 중고폰 리사이클을 통해 자원 재활용 및 환경보전 등 사회적 가치 창출에 나서고 있다.이번 영상광고에서는 배우 안재홍을 모델로 기용했으며, 민팃 중고폰 ATM 이용을 통해 고객가치와 사회적 가치를 높인다는 내용을 세편의 에피소드로 재미있게 풀어냈다. 지난주 유튜브를 통해 선보였던 티저 광고의 경우 누적 조회수 150만을 돌파하며 많은 고객들의 호기심 유발 및 관심을 끄는 효과를 거두기도 했다.민팃은 이번 영상광고 제작을 기념해 24일부터 7월 7일까지 유튜브 민팃 채널 구독 화면을 캡쳐해 민팃 페이스북 이벤트 페이지에 댓글로 남긴 고객 중 100명을 추첨해 스타벅스 기프티콘을 선물할 계획이다.민팃 관계자는 ""더 가치 있는 미래를 위해 중고폰 거래가 꼭 필요하다는 것을 많은 고객 분들이 기분 좋게 느끼고 동참했으면 하는 마음을 담아 광고물을 기획했다""며 ""민팃을 통해 이웃과 환경을 살리는 중고제품 유통문화가 만들어지고, 민팃 플랫폼 위에서 고객과 업계 사업자들이 어우러지는 상생 생태계가 조성되도록 지속 노력할 것""이라고 강조했다. 김민주기자"
5,"7월 심의부터 자사 공개 경고 등 강력 제재한국신문윤리위원회가 지난 5월29~30일 제주 칼호텔에서 개최한 '온라인신문 선정광고의 문제점'을 주제로 세미나. 신문윤리위 제공한국신문윤리위원회(위원장 박재윤 변호사·전 대법관)는 7월 심의부터 인터넷판에 성인 웹툰과 성인 웹진 광고를 게재하는 언론사에 대해 ‘자사 공개경고’ 등 제재를 취하기로 했다. 신문윤리위는 지난 10일 제943차 전체회의에서 음란 퇴폐 패륜적 온라인 광고를 싣는 언론사에 대해 강력한 제재가 필요하다는 의견을 모았다고 22일 밝혔다. ‘자사 공개경고’는 해당 언론사가 자사의 홈페이지에 신문윤리위 결정 내용을 게재토록 하는 제재다. 신문윤리위는 지난해 12월과 올해 1월, 4월 세 차례 신문윤리위원 13명 전체의 명의로 해당 신문사 발행인과 인터넷판 제작 책임자에게 서한을 보내 음란성 광고 게재 중단을 촉구하고 이런 광고를 중단하지 않는 회원사는 ‘경고’ 이상의 제재를 검토하겠다고 예고했다. 신문윤리위가 문제 삼는 성인 웹툰이나 웹진은 외설스러운 성행위 표현과 그림, 패륜적이고 변태적인 내용이다. 특히 언론사들은 1회분을 이른바 ‘맛보기’ 용으로 게재해 성인 인증 절차 없이 누구나 볼 수 있게 하고 있다. 신문윤리위는 그간 온라인 광고의 음란성이 용인하기 어려울 정도로 도를 넘어 한국 언론의 품격과 신뢰를 크게 훼손한다고 판단, 지난해 하반기부터 심의를 강화한 바 있다. 신문윤리위는 지난 4월 심의에서 음란 광고를 게재한 30개 언론사, 5월에는 8개사, 6월에는 6개사에 대해 경고 결정을 내렸다.  한기봉 신문윤리위 온라인심의소위원장은 “일부 언론사의 온라인판에는 성인물 광고가 위장된 채로 숨어 있다”며 “언론사들이 눈앞의 광고 수익만 생각해 음란물 광고를 계속 게재하고 있어 더 이상 묵과하기 어렵다”고 말했다. "
6,"SK브로드밴드는 15일 누구나 TV 광고를 직접 구매·운영할 수 있도록 스마트 빅 애드 TV광고의 온라인 청약 시스템을 선보인다고 밝혔다.    SK브로드밴드는 2016년부터 실시간 채널에서 데이터 기반 타깃 광고를 송출할 수 있는 스마트 빅 애드를 운영하고 있다.    이번에 내놓은 온라인 청약 시스템은 광고주가 직접 광고 운영을 할 수 있는 셀프-서브 방식으로, 광고주가 직접 광고 예산과 기간, 노출 지역을 설정할 수 있다.    Btv에서 실시간 방송되는 프로그램과 프로그램 사이에 가구별 맞춤형 TV 타깃 광고가 노출되고, 디지털 검색 광고처럼 소액으로 TV 광고를 할 수 있다고 SK브로드밴드는 설명했다.    건너뛰기 없이 끝까지 노출이 보장되고, 시청자가 광고 영상이 끝나기 전에 채널을 바꾸면 과금하지 않는다.    최소 10만원부터 광고가 가능하고, 셋톱박스 위치를 기반으로 동 단위(우편번호) 수준으로 원하는 지역의 시청자에게 광고를 내보낼 수 있다.    또한 디지털 광고처럼 실제 발생한 유효 노출 수를 집계해 실시간으로 제공한다.    광고주는 노출과 이탈, 도달 등 다양한 지표를 실측 데이터로 받아 볼 수 있고, 청약 진행 상황과 광고 집행 현황도 조회할 수 있다.     김혁 SK브로드밴드 미디어전략본부장은 ""스마트 빅 애드를 고도화해 국내 유료방송 시장에서 TV 광고의 장점과 디지털 광고의 장점을 결합했다""며 ""지상파, IPTV와 협력해 맞춤형 타깃 TV 광고 시장을 선도할 것""이라고 말했다.[홈페이지 캡처. 재판매 및 DB 금지]   "
7,"ⓒ게티이미지뱅크SK브로드밴드가 누구나 쉽게 TV 광고를 직접 구매·운영할 수 있는 '스마트 빅 애드' TV 광고 온라인 청약 시스템을 15일 오픈했다.스마트 빅 애드는 실시간 채널에서 데이터 기반 타게팅 광고 송출 시스템으로 2016년 서비스를 시작했다. 온라인 청약 시스템은 광고주가 직접 광고를 운영하는 셀프-서브 방식으로 광고주가 직접 광고 예산, 기간, 노출 지역을 설정할 수 있다.Btv에서 실시간으로 방송되는 프로그램과 프로그램 사이에 가구별 맞춤형 TV 타게팅 광고가 노출된다. 디지털 검색 광고처럼 소액으로 TV 광고가 가능해 진다.제한된 사이즈 PC 또는 스마트폰 화면과 달리 대화면 TV로 광고가 노출, 구글·페이스북과 같은 디지털 동영상 매체 대비 한 차원 높은 광고 몰입도를 제공한다. TV광고는 스킵 없이 끝까지 노출을 보장하고 시청자가 광고 영상이 끝나기 에 채널을 바꾸면 과금하지 않는다.디지털 광고와 같이 실제 발생한 유효노출수를 실시간 집계한다. 실측 데이터를 바탕으로 노출, 이탈, 도달, 빈도 등의 다양한 지표를 제공한다. 최소 10만원부터 광고가 가능하고 동단위 지역으로 광고 노출 대상을 설정할 수 있다.SK브로드밴드는 코로나19로 경영 위기를 겪고 있는 소상공인을 지원하기 위해 30만원 한도 1개월 무료 체험권 100개를 선착순 지원한다.김혁 SK브로드밴드 미디어전략본부장은 “스마트 빅 애드를 고도화, 국내 유료방송 시장에서 TV 광고 장점과 디지털 광고 장점을 결합한 디지털 트랜스포메이션을 지속 추진할 것”이라며 “지상파 방송, IPTV와 협력해 국내 어드레서블 TV 광고 시장을 선도하겠다”고 말했다.박종진기자"
8,"SK브로드밴드가 누구나 쉽게 TV 광고를 구매·운영하는 '스마트 빅 애드'(Smart BIG AD) TV 광고의 온라인 청약 시스템을 15일 시작한다고 밝혔다.스마트 빅 애드는 실시간 채널에서 데이터 기반 타기팅(targeting) 광고를 송출하는 시스템이다. 이번 온라인 청약 시스템은 광고주가 직접 광고 운영을 할 수 있는 '셀프-서브'(Self-serve) 방식이다. 광고주가 직접 광고 예산·기간·노출 지역을 설정할 수 있다.실제로 최소 광고비는 10만원부터 시작하고, 셋톱박스 위치를 기반으로 우편번호(동단위) 수준으로 원하는 지역의 시청자에게만 광고를 노출할 수도 있다.또 SK브로드밴드는 신종 코로나 바이러스 감염증(코로나19)으로 어려운 운영위기를 겪고 있는 소상공인을 지원하기 위해 30만원 한도의 1개월 무료 체험권 100개를 선착순으로 제공하기로 했다.김혁 SK브로드밴드 미디어전략본부장은 ""스마트 빅 애드를 고도화해 국내 유료방송 시장에서 TV 광고의 장점과 디지털 광고의 장점을 결합한 디지털 전환을 지속적으로 추진해 나갈 것""이라며 ""지상파, IPTV와 협력하여 국내 어드레서블 TV 광고 시장을 선도해 나가겠다""고 말했다"
9,"[헤럴드경제=한지숙 기자] 서울 성동구(구청장 정원오)는 성수동 소셜벤처 허브센터에 온라인 콘텐츠 제작 지원을 위한 ‘성수 스튜디오’를 마련했다고 17일 밝혔다.지난 8일 문 연 이 스튜디오는 센터에 입주한 소셜벤처 기업이 쉽게 상품 홍보와 기업광고물을 제작하도록 촬영 장비를 구비해 놓은 공간이다. 영상회의, 화상면접, 온라인 교육 등도 가능하다.최근 코로나19로 비대면 마케팅과 콘텐츠에 대한 관심이 폭발적으로 늘었지만 스튜디오를 비싼 비용을 지불하고 대여하기 어려운 소규모 사업체들에게 쓸모 있다. 허브센터 지원플랫폼에서 사전 예약 신청만 하면 언제든지 이용할 수 있다.구는 또 소셜벤처 관련 종사자 230여명을 대상으로 웹과 앱을 통해 소셜벤처 관련 비대면 무료교육을 진행 중이다.한편 구는 2017년에 소셜벤처 육성을 위한 제도적 기반을 마련하고, 성수동에 소셜벤처 허브센터를 조성했다. 성동안심상가빌딩 4층부터 6층까지 독립사무실과 협동작업 공간을 마련해 저렴한 임대료로 대여해주고 있다. 현재 이 곳에는 소셜벤처 27곳이 입주해 있다.정원오 구청장은 “전국의 1,000여 개의 소셜벤처 중 약 300여 개의 소셜벤처 기업, 중간지원조직, 임팩트 투자사 등이 성동구에 집적되어 있다” 며 “포스트 코로나 시대를 대비한 다양한 지원과 육성방안을 마련해 소셜벤처 기업들이 변화된 환경에 즉각 대응할 수 있는 경쟁력을 갖출 수 있도록 적극 지원하겠다”고 말했다"
