,contents
0, 청주시청 전경 (사진=청주시 제공)청주시가 온실가스를 절감한 3664 가구에 6100만원의 인센티브를 지급했다.청주시는 온실가스 감축 실천 프로그램인 탄소포인트제에 참여한 세대 중 지난해 하반기 6개월 동안 에너지 사용량을 줄인 가구에 현금이나 그린카드 포인트로 6100만원의 인센티브를 지급했다.인센티브는 전년 동기대비 2.4배 증가했으며 에너지 사용량 감축은 과거 2년보다 15%이상 감축한 세대가 가장 많았다.이들 가구의 에너지 절감량을 온실가스로 환산하면 764톤으로 30년생 소나무 11만 5천 그루를 심은 것과 같은 효과다.   
1,"충남도가 온실가스 절감을 위해 당진·보령지역의 환경기초시설 3개소를 대상으로 탄소 중립 프로그램을 추진한다고 28일 밝혔다.환경기초시설에 대한 탄소 중립 프로그램은 환경부 공모 사업으로 추진되며 소각장, 폐수·하수처리장, 폐기물처리장 등 에너지 사용량이 많은 환경기초시설에 태양광·소각폐열 등 신재생에너지 발전 설비를 설치해 온실가스 배출량을 저감하는 사업이다.올해는 당진 고대부곡하수처리장과 합덕하수처리장, 보령 공공하수처리장 등 총 3개 시설을 대상으로 사업을 추진한다.이번 사업 대상 환경기초시설 3개소에는 총사업비 20억 3000만원을 투입해 총 700㎾ 규모의 태양광 발전 설비를 설치할 예정이다.태양광 발전 설비는 수처리시설 주변 부지와 건축물 옥상 등 가용 가능한 모든 유휴 부지를 활용해 조성한다.태양광 발전 설비를 통해 발생하는 연간 발전량은 Δ당진 고대부곡하수처리장(400㎾) 54만 2025㎾h Δ당진 합덕하수처리장(100㎾) 10만 8405㎾h Δ보령 공공하수처리장(200㎾) 25만 5500㎾h 등 총 90만 5930㎾h로, 이는 지난해 인구 1인당 전력 사용량 기준 우리나라 국민 1090여명이 한 달간 사용할 수 있는 전력량이다.이번 태양광 발전 설비 설치로 예상되는 온실가스 감축량은 연간 414tCO₂eq(이산화탄소 환산톤)다. 소나무 3000여 그루를 심은 효과와 맞먹는다.도 관계자는 “환경기초시설은 지역의 필수 시설로 해당 시설에서 사용되는 에너지의 양 자체를 조절하기는 어렵다”며 “그런 측면에서 신재생에너지 발전을 통해 기존 화석연료 에너지를 대체하는 이 사업은 환경기초시설 온실가스 발생량 감축에 가장 현실적인 방안”이라고 설명했다.이어 “앞으로 사업 대상지 발굴 및 환경부 공모에 적극 대응해 도내 환경기초시설에 신재생에너지 발전 설비 설치를 확대할 것”이라고 덧붙였다"
2," ‘2050년까지 온실가스 순배출 제로.’김성환 더불어민주당 의원이 한국판 뉴딜 중심축 중 하나인 그린뉴딜의 지향점으로 제시한 목표다. 김 의원은 기후위기 대응과 사회정의 실현, 일자리 창출이 조화롭게 기능한다면 이런 목표를 충분히 달성할 수 있다고 낙관했다. 정부·여당도 코로나19(신종 코로나바이러스 감염증) 사태 이후 한국형 뉴딜과 그린뉴딜 추진에 적극적이다. 문재인 대통령은 지난 1일 제6차 비상경제대책회의에서 “한국판 뉴딜은 추격국가에서 선도국가로 도약하기 위한 새로운 국가발전 전략”이라며 “사람 우선의 가치와 포용 국가의 토대 위에 디지털뉴딜과 그린뉴딜을 두 축으로 나란히 세운 한국판 뉴딜을 국가의 미래를 걸고 강력히 추진해 나갈 것”이라고 강조했다.◇“석탄발전 얼마나 빨리 감축하느냐 숙제”김 의원은 26일 서울 중구 통일로 KG타워 하모니홀에서 열린 ‘특별연속기획 코로나19와 그 이후’(이데일리·한국공공정책개발원 공동 주최) 포럼 제1세션 강연(포스트코로나와 그린뉴딜)을 통해 “탄소를 쓰지 않으면서 4차산업혁명시대 세계선도국가로 도약해보자”며 그린뉴딜의 담대한 비전을 제시했다.김 의원이 구상하는 그린뉴딜은 인간과 자연이 공생하는 지속가능한 성장이자 사회정의를 실현하는 착한 성장이다. 김 의원은 그린뉴딜의 당위성을 역설하면서 화석연료 사용에 따른 지구온도 증가 현상을 ‘삶은 개구리’에 비유했다.김 의원은 “인간의 이기심과 탐욕이 인류를 멸종의 길로 내몰고 있다”며 “지구의 역사가 24시간이라면 산업혁명 이후 불과 0.37초에 불과한 시간 동안 우리 인류가 석탄과 석유를 가져다 쓰면서 발생한 일”이라고 지적했다. 그는 “물을 아주 천천히 데우면 물이 뜨거워지는데도 개구리는 눈치채지 못한다”며 “물 밖으로 튀어나오지 못한 개구리는 결국 냄비 안에서 죽는다”고 꼬집었다.김 의원은 이런 사태를 막기 위해 오는 2050년까지 대기 중 이산화탄소 농도를 줄여 지구온도 상승을 1.5℃ 이내로 막아야 한다고 지적했다. 이를 위해서는 2015년 대비 90% 이상 온실가스를 감축해야만 한다.김 의원은 그린뉴딜을 적극적으로 추진하고 제대로 활용한다면 이런 전(全)지구적 차원의 목표를 이루는 데 일익을 담당할 수 있다고 주장했다. 그는 이 과정에 대해 “석탄발전소를 얼마나 빠른 속도로 줄일 수 있느냐 이게 첫 번째 숙제”라며 “왜 지구에 대한 책임을 안 지냐고 세계의 이성적인 사람들이 묻고 있다. 다른 나라 관점에서는 우리나라가 기후 악당국가로 보일 수 있다”고 말했다.김 의원은 석탄발전소를 줄이는 대신 재생에너지를 대폭 활용해야 한다고 주장했다. 특히 풍력이나 태양광 등 재생에너지 효율을 극대화하기 위해서는 주민들이 직접 참여하는 지역분산·지방분권형 에너지체계 도입이 필수라고 강조했다. 원자력발전에 대해서는 “적어도 탄소배출을 하지 않아 기후변화 부분에서는 논외”라면서도 “치명적으로 위험하기 때문에 현재 원전을 잘 관리하면서 탈원전으로 가자는 것”이라고 했다.◇“대한민국, 새로운 변화 선도하는 민족성”김 의원은 현시점을 기준으로 친환경 재생에너지가 가지는 비효율성 자체를 부인하지는 않았다. 다만 머지않아 온실가스를 배출하는 석탄이나 원전보다 가격경쟁력을 확보할 수 있다고 자신했다.김 의원은 “대한민국은 여러 가지 제약이 있어 아직 비싼 것은 맞다”면서도 “유럽은 이미 풍력이나 태양력이 석탄발전이나 원자력보다 싸지기 시작했다”고 설명했다. 또 “우리는 2025년에서 2028년이면 생산 효율성이 올라올 것이라고 본다”고 내다봤다.그는 고도성장에 많은 에너지가 필요하다는 것도 선입관에 불과하다고 선을 그었다. 김 의원은 “유럽의 많은 나라가 에너지다이어트 방식의 경제성장을 하고 있다”며 “방식과 방향을 바꾸면 에너지를 적게 쓰는 국가성장도 불가능하지 않다”고 전망했다.김 의원은 강연을 마무리하면서 그린뉴딜은 단순히 성장의 문제가 아니라 생존이 걸린 사안이라며 절박함을 호소했다. 김 의원은 “멸종으로 갈지 새로운 문명체계로 갈지 오로지 우리 손에 달렸다”며 “대한민국은 새로운 변화에 금방 적응하고 그게 옳으면 변화를 선도하는 민족성이 있다. 이 분야에서도 조만간 세계 최고의 경쟁력을 가질 것”이라고 했다.김 의원의 이런 구상은 하루아침에 나온 것이 아니다. 그는 그린뉴딜이 이슈화되기 이전인 20대 국회에서부터 당 ‘기후변화대응 및 재생에너지산업육성 특별위원회’ 에너지분권 책임의원을 맡아 저탄소 녹생성장 기본법 등 에너지 분권 실현을 위한 5대 법안발의를 주도했다. 지난 24일 활동을 마무리한 코로나19국난그복위에서도 한국형 뉴딜TF 단장을 역임하면서 관련 논의를 이끌었다.김 의원은 이번 총선에서 확보한 176석 과반 의석을 기반으로 21대 국회에서는 다가오는 정기국회부터 속도감 있게 관련입법을 추진해나가겠다고 했다. 민주당도 당차원에서 이미 “그린뉴딜기본법을 제정하고 정부와 구체적인 추진 전략을 마련하겠다”고 공언한 상태다.유태환 "
3,"산업계가 신종 코로나바이러스 감염증(코로나19)으로 인한 국내 기업의 경영난을 고려해 온실가스 배출권 구매 부담을 낮춰달라고 정부에 건의했다.     한국경영자총협회(경총)는 철강·석유화학·시멘트·자동차·반도체 등 11개 주요 업종별 협회와 함께 이 같은 내용의 건의문을 지난 22일 기획재정부와 환경부, 산업통상자원부에 제출했다고 23일 밝혔다.온실가스[연합뉴스TV 제공]    경총과 11개 협회는 건의문에서 ""산업계 핵심 현안 중 하나인 온실가스 배출권 거래제도와 관련해 현재 배출권 가격은 제도 시행 초기 대비 약 252% 수준으로 상승했다""며 ""지속적인 배출권 수급 불균형으로 향후에도 배출권 가격이 상승할 것으로 예상된다""고 우려했다.    이에 따라 이들은 배출권 거래제 기간 설비를 신·증설한 업체에 추가 배출권을 할당하기 위해 마련해 놓은 기타용도 예비분의 잔여 물량을 기존 할당 업체에 재분배해 달라고 건의했다.    제1차 계획 기간(2015∼2017년)의 사례를 보면 배출권 거래제 기간 기타용도 예비분 2천373만t 중 잔여 물량 448만t(약 954억원 상당)에 대해 당시 할당위원회에서 할당 업체와 충분한 협의 과정 없이 전부 폐기했다는 것이 경총의 설명이다.    제2차 계획 기간(2018∼2020년)의 기타용도 예비분 잔여 물량에 대해서는 제3차 계획 기간(2021∼2025년)의 배출허용 총량, 예비분 등을 고려해 할당위원회가 심의 후 폐기 또는 이월 여부를 결정할 예정이다.정부, 온실가스 감축 전략 (PG)[제작 최자윤] 일러스트    경총과 11개 협회는 ""2018년에 추가 할당된 예비분(1천340만t)을 고려하면 제2차 계획 기간에는 2천만t 이상의 기타용도 예비분이 남을 것으로 추정된다""며 ""11개 주요 업종의 요청대로 이 예비분을 재분배한다면 코로나19로 한계상황에 직면한 주요 업종에 숨통이 트일 것""이라고 주장했다.    이외에도 배출권 시장 안정화 용도 예비분의 조기공급으로 시장 유동성을 확보하는 한편 배출권거래제 유상할당에 따른 정부 수입을 기업의 재정·기술 지원에 활용하고 무상할당 업종의 선정 기준을 현행대로 유지할 것 등을 건의했다.    경총과 11개 협회는 ""정부와 산업계는 코로나19로 심각한 경제적 위기에 직면한 상황에서 온실가스 감축이라는 국민적 요구와 기업 경쟁력 유지라는 쉽지 않은 문제에 대해 합리적인 균형점을 찾아야 한다""며 ""기업이 현 위기 국면에 능동적으로 대응하고 글로벌 경쟁력을 확보할 수 있도록 건의문을 적극적으로 검토해달라""고 요청했다.    이어 ""올해 발표 예정인 '제3차 계획 기간 온실가스 배출권 할당계획'은 산업계와의 충분한 소통을 통해 수립돼야 한다""고 덧붙였다.이산화탄소[연합뉴스 자료사진]   "
4,농업인들이 농사를 지으면서 비닐하우스를 이중으로 설치해 온실가스 감축을 위해 노력했다면 온실가스 톤당 1만원의 인센티브를 지급한다. 사진은 경남 김해의 한 농촌들녘에서 대형 비닐하우스 철골 설치 작업을 하는 모습. 부산일보 DB농업인들이 농사를 지으면서 온실가스 감축을 위해 노력했다면 온실가스 톤당 1만원의 인센티브를 지급한다.농식품부는 농업인이 자발적으로 저탄소 농업기술(15가지 방법론 중 선택)을 적용해 온실가스를 줄이면 정부가 감축량을 인증하고 톤당 1만 원의 인센티브를 지급한다고 25일 밝혔다.2012년에 첫 도입한 감축사업에는 지금까지 542개 농가가 참여했으며 이 가운데 405개 농가에서 약 8만7000톤의 온실가스를 줄여 모두 8억8000만 원의 인센티브를 지급받았다.농식품부는 지난해 82개 농가 수준이던 참여 농가수를 올해는 3배 이상인 250개 농가까지 확대할 수 있을 것으로 내다보고 있다.온실가스를 줄이는 방법은 △시설 난방에 버려지던 온배수를 활용해 전기를 줄였을 경우 △2중 비닐하우스를 설치해 열손실을 줄였을 경우 △조명기구를 LED로 대체했을 경우 △전기에너지를 재생에너지로 대체했을 경우 등 15가지가 있다.농식품부 김지현 농촌재생에너지팀장은 “농업인들이 쉽게 적용 가능한 온실가스 감축 방법론을 지속적으로 개발해 파종부터 수확에 이르기까지 모든 생산과정에서 온실가스 배출량을 줄일 수 있도록 지원해 나갈 것”이라고 말했다. 또 김 팀장은 “현재 농축산부문 온실가스 배출량은 국가 전체 온실가스 배출량의 2.9% 수준이지만 농업인들도 온실가스 감축 노력에 힘을 보태주기를 바란다”고 말했다.이 사업은 농업기술실용화재단을 통해 오는 7월 17일까지 신규 참여 농가의 신청을 받는다. 자세한 내용은 농업기술실용화재단 홈페이지에서 확인할 수 있다.김덕준 기자
5,"정부가 온실가스 배출 규제대상이 아닌데도 자발적으로 온실가스를 감축하는 농가에 톤당 1만원의 인센티브를 지급하는 '농업·농촌 자발적 온실가스 감축사업'을 확대 추진한다. 농림축산식품부는 2020년 농업·농촌 자발적 온실가스 감축사업 신규 참여자를 확대해 추진하겠다고 25일 밝혔다. 이 사업은 정부가 제시한 15가지 저탄소 농업기술을 적용해 온실가스를 감축하는 농업인을 대상으로 한다. 참여 농가가 시설원예 면적 1㏊당 연간 약 30톤의 온실가스 배출을 줄이는 경우엔 30만 원의 추가 소득을 얻을 수 있다.앞서 지난 2012년 도입된 이 사업에는 542개 농가가 참여했다. 이 가운데 405개 농가가 약 8만7000톤의 온실가스를 감축해 총 8억8000만원(누계액)의 인센티브를 지원받았다.농식품부 관계자는 ""지난해 이 사업에는 82개 농가가 참여했지만 올해는 3배 이상인 250개 농가까지 확대할 수 있을 것으로 보인다""고 전했다.농식품부는 보다 많은 농업인이 사업에 참여할 수 있도록 시설원예 농가가 주로 활용하는 '에너지 이용 효율화' 분야 온실가스 감축 방법론을 개선했다고 전했다. 다겹보온커튼을 이용하는 시설원예에 대한 사업계획서, 모니터링 보고서 등을 간소화시켰다. 김지현 농식품부 농촌재생에너지팀장은 ""농업인들이 쉽게 적용 가능한 온실가스 감축 방법론을 지속적으로 개발·확대해 파종부터 수확에 이르기까지 모든 생산과정에서 온실가스 배출량을 줄일 수 있도록 지원해 나갈 것""이라고 했다"
6,"농림축산식품부는 25일 올해 농업·농촌 자발적 온실가스 감축사업 신규 참여자를 지난해 대비 3배 이상 늘어난 250 농가로 확대 추진한다고 밝혔다.농업·농촌 자발적 온실가스 감축 사업은 온실가스 배출 규제대상이 아닌 농업인이 자발적으로 저탄소 농업기술을 적용해 온실가스를 감축하면 정부가 감축량을 인증하고 톤(t)당 1만원의 인센티브를 지급하는 사업이다.2012년에 도입한 자발적 감축 사업에는 지금까지 542 농가가 참여해왔으며 이 중 405 농가에서 약 8만7000t 온실가스를 감축해 총 8억8000만원 인센티브를 지원받았다.농식품부는 자발적 온실가스 감축 사업에 보다 많은 농업인이 참여할 수 있도록 시설원예 농가가 주로 활용하는 '에너지 이용 효율화' 분야 온실가스 감축 방법론을 개선했다.이번 개정으로 다겹보온커튼을 이용하는 시설원예의 경우 사업 계획서, 모니터링 보고서 등이 간소화돼 소규모 감축 농가들도 개별 또는 지역·마을 단위 묶은 사업의 방식으로 참여할 수 있게 됐다.농식품부는 지난해 82 농가 수준이었던 참여 농가 수를 올해는 3배 이상인 250 농가까지 확대할 수 있을 것으로 봤다. 농가가 시설원예 면적 1㏊당 연간 약 30t 온실가스를 줄이는 경우 30만원의 추가 소득을 얻게 된다.김지현 농식품부 농촌재생에너지팀장은 ""농업인들이 쉽게 적용 가능한 온실가스 감축 방법론을 지속적으로 개발·확대해 파종부터 수확에 이르기까지 모든 생산과정에서 온실가스 배출량을 줄일 수 있도록 지원해 나갈 것""이라고 강조했다.☞공감언론 뉴시스"
7,"소규모 시설원예 농가에도 감축 인센티브 부여다겹보온커튼 시설원예 농가…산정방법 간소화농림축산식품부가 ‘농업·농촌 자발적 온실가스 감축사업’에 보다 많은 농업인이 참여할 수 있도록 시설원예 농가가 주로 활용하는 에너지 이용 효율화 분야 온실가스 감축 방법론을 개선했다고 25일 밝혔다.이번 개정으로 다겹보온커튼을 이용하는 시설원예의 경우 사업계획서, 모니터링 보고서 등이 간소화돼 그동안 사업 참여가 어려웠던 소규모 감축 농가들도 개별 또는 지역이나 마을 단위 묶음 사업의 방식으로 참여할 수 있게 됐다.이에 따라 농식품부는 지난해 82개 농가 수준이던 참여 농가수를 올해는 3배 이상인 250개 농가까지 확대할 수 있을 것으로 보고 있다.‘농업‧농촌 자발적 온실가스 감축사업’은 온실가스 배출 규제대상이 아닌 사업자(농업인)가 자발적으로 저탄소 농업기술(15개 방법론 중 선택)을 적용해 온실가스를 감축하면 정부가 감축량을 인증하고 톤당 1만원의 인센티브를 지급하는 사업이다.이들 농가들이 시설원예 면적 1㏊당 연간 약 30톤의 온실가스 배출을 줄이는 경우 30만원의 추가 소득을 얻게 된다. 연간 30톤의 온실가스 감축량은 30년생 소나무 약 4500그루를 심은 효과를 나타내는 것으로 알려져 있다.농축산부문 온실가스 배출량이 국가 전체 온실가스 배출량의 2.9% 수준이지만 이제 농업인들도 온실가스 감축 노력에 힘을 보태면서 부가적인 소득도 올리는 기회를 잡을 때라는 농식품부의 설명이다.김지현 농식품부 농촌재생에너지팀장은 “농업인들이 쉽게 적용 가능한 온실가스 감축 방법론을 지속적으로 개발·확대해, 파종부터 수확에 이르기까지 모든 생산과정에서 온실가스 배출량을 줄일 수 있도록 지원해 나갈 것”이라며 농업인들의 참여를 주문했다.농식품부의 자발적 감축사업은 위탁 운영기관인 전북 익산시에 위치한 농업기술실용화재단을 통해 오는 7월 17일까지 신규 참여농가의 신청을 받는다.한편, 2012년에 도입한 자발적 감축사업에는 지금까지 542개 농가가 참여해왔으며, 이 중 405개 농가에서 약 8만7000톤의 온실가스를 감축해 총 8억8000만원(누계액)의 인센티브를 지원받았다.데일리안 이소희 기자 "
8,다음달 31일까지 누리집 통해 누구나 참여기후위기 비상행동 관계자들이 지난해 9월25일 오전 서울 종로구 청와대 사랑채 앞에서 정부가 기후 위기를 직시하고 관련 정책을 수립할 것을 촉구하는 기자회견을 하고 있다. 김경호 선임기자
9,"범정부 협의체, '2050 장기 저탄소 발전전략' 의견 수렴(지디넷코리아=박영민  기자)오는 2050년까지 온실가스 배출량을 2017년 대비 40~75%로 감축해야 한다는 요구가 제기된 가운데, 범정부 협의체가 이와 관련한 국민과 전문가의 의견을 수렴키로 했다.환경부·산업통상자원부·국토교통부 등 기후변화 대응 14개 관계부처는 다음 한 달간 '2050 장기 저탄소 발전전략' 수립 관련 전문가 토론회를 실시한다고 23일 밝혔다.전문가 토론회는 ▲다음 달 2일(친환경차 보급) ▲9일(미래기술 발전) ▲14일(저탄소 산업혁신) ▲21일(재생에너지 보급) ▲23일(사회 혁신) 등 5개 주제별로 연이어 개최될 예정이다. 일반참가자의 경우, 코로나19 확산 예방을 위해 누리집(www.gihoo.or.kr/2050LEDS) 에서 사전 참석신청 접수를 받는다.국민이라면 누구나 참여 가능한 대국민 설문조사도 23일부터 다음 달 31일까지 진행된다. 설문조사는 누리집(www.gihoo.or.kr/2050LEDS)을 통한 온라인 설문조사와, 여론조사업체를 통한 조사 등 두 가지 방법으로 실시된다.이번 토론회는 2050 장기 저탄소 발전전략 수립을 위해 관계부처가 참여 중인 범정부 협의체를 통해 마련됐다. 2050 장기 저탄소 발전전략은 지구 평균온도 상승을 산업화 이전 대비 2도(℃) 이하, 나아가 1.5℃까지 제한키 위해 파리협정이 모든 당사국들에게 올해까지 유엔에 제출토록 요청한 것이다.기후변화를 일으키는 온실가스환경부에 따르면 지난 18일을 기준으로 유럽연합(EU)과 일본 등 17개국이 각국의 2050 장기 저탄소 발전전략을 제출했다. 2050년까지 탄소중립 달성을 목표로 하는 국제동맹인 '기후목표상향동맹(Climate Ambition Alliance)'에도 전세계 120개국이 참여 중이다.우리나라는 전문가 100여명으로 구성된 '2050 저탄소 사회 비전 포럼'이 2017년 우리나라 온실가스 배출량 대비 2050년까지 최대 75%(제1안)에서 최저 40%(제5안)의 5개 감축 시나리오와 함께 장기적인 탄소중립 목표 논의 필요성을 제시한 바 있다.정부는 포럼 의견과 설문조사, 토론회 결과 뿐 아니라 국내 그린뉴딜 추진과 국제사회의 탄소중립 선언 등 대내외 여건 변화를 종합적으로 고려해 2050 장기 저탄소 발전전략을 수립할 계획이다.안세창 환경부 기후변화정책관은 ""우리나라가 기후·환경위기 대응과 지속가능 사회 실현을 위한 그린뉴딜을 추진함에 따라, 2050 장기 저탄소 발전전략에 담길 비전과 목표에도 국제사회의 관심이 많은 상황""이라며 ""국민 의견을 적극적으로 반영할 계획이므로, 향후 사회 전반에 녹색전환이 이루어질 수 있도록 이번 설문조사와 토론회에 많은 참여를 부탁드린다""고 말했다.박영민 기자"
