,contents
0,"▶양진호 씨 28일 별세. 이두연 씨 남편상, 동준·경란(메가젠임플란트 이사)·경미 씨 부친상, 박광범(메가젠임플란트 대표)·고대호 씨 장인상. 빈소=대구가톨릭대병원 대특실. 발인=30일(화). 장지=명복공원-창녕. 053)650-4444. 010-3513-1824.이통원 기자"
1,"원더플란트치과(대표원장 이인우)가 2020 고객감동 우수브랜드 대상 임플란트 부문 1위에 선정됐다. 고객감동 우수브랜드대상은 중앙일보가 후원하는 시상으로, 소비자에게 감동을 준 부문별 하나의 업체에게만 수여 되는 특별한 상이다.      강북구 미아사거리에 본점을 두고 있는 원더플란트치과는 환자들에게 임플란트와 양질의 진료를 제공하기 위해 설립된 브랜드이다. 전속 기공소를 운영해 품질 좋은 보철물을 제작하고 있으며, 의료진 전원이 서울대 출신으로 구성돼 환자 구강건강증진에 기여하고 있다.     또한 오스템 인증 네비게이션 임플란트인 ‘원가이드’를 사용해 정밀하게 임플란트를 식립하고, 발치 즉시 사용할 수 있는 원데이 임플란트를 보장한다. 이인우 대표원장은 꾸준히 국내외 세미나와 학회를 통해 의사들에게 임플란트 강연과 라이브 서저리 등을 선보이고 있다.      이인우 대표원장은 “중앙일보가 후원하는 특별한 상을 수상하게 되어 너무 기쁘다. 이번 수상에 힘입어 환자분들께 더욱 완성도 높은 임플란트는 물론, 품질 좋은 치과 서비스를 제공하도록 애쓰겠다”고 소감을 전했다.  온라인 중앙일보   "
2,"오복 중 제일이 치아 건강이라는 말이 있을 정도로, 치아 건강의 중요성은 예로부터 익히 잘 알려져 있다. 그러나 치과 치료에 대한 두려움으로 임플란트 치료가 필요함에도 시기를 미루며 구강 건강 전반을 큰 위협으로 빠뜨리는 환자들이 있다. 치과 특유의 냄새와 소음 등에 공포심을 느끼는 환자들은 어렵게 치과를 찾더라도 긴장감에 입을 벌리지 못하기도 한다. 단순히 치과에 가는 것 자체를 두려워하는 것에서 그치는 문제가 아니기 때문에 이러한 환자들의 구강 건강을 지키기 위해서는 현실적인 해결책이 필요하겠다.이에 대안으로는 흔히 '수면임플란트'라 불리는 의식하진정요법을 이용한 치료가 있다. 의식하진정요법은 전신마취와는 달리 치료 전 약물 투여를 통해 환자를 가수면 상태로 유도함으로써, 마취 상태에서도 환자의 의식이 존재하고, 자가 호흡이 가능한 치료법이다. 치과 치료에 대한 불안감과 그로 인해 나타나는 방해 요인을 최소화한 상태로 환자의 움직임과 통증은 차단되지만 환자의 협조 하에 치료가 가능하다.이엔이치과 임창준 원장 (구강악안면외과 전문의)은 수면임플란트는 고령의 환자들이 다수의 임플란트를 식립해야 하는 상황에서도 적용 가능하다며 이 외에도 체력적인 문제로 장기간의 치료에 어려움을 느끼는 경우, 혹은 턱관절의 문제로 입을 오래 벌리고 있는 것에 부담을 느끼는 환자에게도 적용 가능하다고 말하다. 또한 극심한 공포감을 느끼는 환자들의 경우 의료진과 치료 도중 서로 사인(sign)을 나누기도 하고 치료에 관련된 추가적인 설명이 필요하거나 치료의 페이스를 조절할 수 있어, 환자는 심리적으로 더욱 안정된 상태에서 임플란트 치료가 가능해진다고 말했다.치아가 소실된 상태를 오래 방치할 경우 잇몸뼈의 소실이 가속화되어 구강 건강이 전반적으로 크게 망가지고, 치료의 범위 및 비용이 더욱 확대될 위험이 있는 만큼 그간 두려움으로 치료를 미뤄왔다면 수면임플란트를 통한 치료 계획을 고려해보는 것이 좋겠다. 따라서 임플란트 치과를 선택할 때에는 전문의의 임상 경력과 숙련도를 확인하는 것은 물론, 수면마취 하에서 환자와의 소통 가능 여부까지 꼼꼼히 살펴보고 몸과 마음이 모두 편안한 상태에서 치료가 가능할지 살펴볼 필요가 있겠다."
3,"치아 문제로 임플란트 시술을 고려하는 경우가 많다.하지만, 무턱대고 임플란트 시술을 했다가 오히려 부작용때문에 고생하는 사례들도 늘어나고 있다.독립적 고정이 가능해 주변 치아에 영향을 거의 주지 않고, 수복이 가능하다는 장점 때문에 최근 상실된 치아를 수복하는 방법으로 임플란트를 선호하는 추세다.오늘날 임플란트가 가능하게 된 것은 스웨덴 정형외과 전문의 브로네막 박사의 연구논문이 큰 역할을 했다고 보는 견해가 지배적이다.브로네막 박사는 생체현미경을 통한 연구 중 우연히 티타늄이 생체 뼈에 고정된다는 것을 발견했고, 이를 '골유착현상(osseointegration)'이라고 명명했다.브로네막 박사의 논문에 따르면 식립체의 재료와 식립체의 디자인,  식립체의 표면, 환자 수용부의 상태, 수술 방법, 적절한 하중이 임플란트 성공을 위한 6가지 필수 조건으로 정의했다.이 가운데 환자의 수용부는 임플란트를 식립할 부위의 치조골(잇몸뼈)의 상태를 말하며, 치조골의 형태가 나쁘거나 그 두께와 높이가 부족할 경우 임플란트를 실패할 가능성이 높아진다.김선영 수플란트 치과병원 대표원장은 ""환자의 치조골의 상태를 정확히 파악하는 것이 한계가 있기 때문에 3D CT 촬영 등을 통해 두께와 높이 형태에 대해 입체적으로 정확히 분석하고 치료계획을 수립해야 한다""고 말했다.김선영 원장은 ""환자의 수용부가 임플란트를 식립하기에 부적합한 상태라면 골이식술, 골유도재생술, 골신장술, 골성장인자이용법 등을 복합적으로 활용해 정상에 가까운 치조골의 형태를 재건해야 한다""고 조언했다.한번 망가졌던 잇몸은 다시 망가질 가능성이 크므로, 구강위생을 위한 관리 습관 자체를 개선하고 정기적인 치과 검진을 통해 꾸준히 관리해야 건강하고 오래 사용이 가능하다는 점도 명심해야 한다.양재준 성장기업부장"
4,"대구에 거주하는 40대 직장인 A씨는 회식 후 귀가 중 사고로 인해서 앞니 한 개를 상실하게 되었다. 이로 인하여 다양한 사람들을 만나야 하는 A씨의 업무 성격상 자연치아를 대신할 수 있다는 임플란트 식립에 대해서 알아보았다. A씨의 경우에는 여러가지 사정상 신속한 치료가 절대적으로 필요했지만 다른 치과치료에 비해 임플란트는 완성까지 여러 번의 내원이 필요하고 짧게는 3개월, 길게는 6개월에서 1년까지 걸리기 때문에 A씨와 같은 바쁜 직장인이나 육아를 하는 부모도 치과 방문에 어려움이 생기기 마련이다.하지만 수많은 임플란트 방법 중 '바로트(바로임플란트)는 갑작스러운 사고 등으로 인해 치아가 손상되거나 상실되었을 경우 신속하게 대체 해주는 시술법으로 치과 내원 후 발치를 한 그날 바로보철물을 통해서 완성이 가능하다.대구 이미지치과 지진우 대표원장은 ""바로트(바로임플란트)가 가능하기 위해서는 3D 첨단 디지털 장비와 모의 수술 시스템이 구축되어 있어야 한다. 또 자체 디지털 기공소가 원내에 구비되어 있어야 환자의 구강상태에 맞는 바로보철물이 신속하게 제작되어질 수 있다.""고 말했다.바로트는 A씨와 같이 갑작스러운 사고로 인해서 치아상실을 겪은 분들, 또는 시간이 없어서 임플란트 시술을 미뤄왔던 사람들에게 추천된다. 바로트의 진행을 원한다면 내원 후 첨단 장비를 이용하여 정밀한 진단으로 잇몸뼈의 양이 충분하고 염증이 없다면 내원 그날 바로 가능하다.지진우 대표원장은 ""바로트(바로임플란트)와 같이 환자의 상태에 맞는 맞춤치료를 진행하게 된다면 비교적 부작용 없이 긴 임플란트 수명을 가질 수 있다고 전하면서 꼼꼼한 정밀진단, 경험이 많은 의료진의 집도, 자체 기공소 보유, 확실한 사후관리 여부 등 임플란트를 잘하는 치과인지 꼼꼼하게 체크해보고 선정하는 것이 무엇보다 중요하다.""고 덧붙였다. <스포츠조선"
5,"과거에는 치아를 상실했다 하더라도 당뇨 등의 만성질환이 있거나 수술로 인한 신체적 부담이 큰 고령자의 경우 임플란트 시술을 받고 싶어도 망설여지는 부분이 있었다. 그러나 최근 컴퓨터 모의시술 임플란트, 일명 네비게이션 임플란트가 대중화되며 인공치아 식립의 새로운 지평이 열렸다.네비게이션 임플란트는 자동차 네비게이션이 빠른 길을 안내해주듯, 인공치아를 식립하는 최적의 위치를 디지털 장비를 통해 미리 파악하고 시뮬레이션 및 수술 가이드를 통해 오차범위를 최소화하는 방법이다.3차원 컴퓨터 단층촬영(CT)과 3차원 구강스캐너 등을 이용해 수술 전 영상진단 결과를 토대로 체계적인 수술 계획을 수립하며, 구강 내 구조와 신경의 위치, 주변 혈관 상태 등을 면밀히 파악한 뒤 컴퓨터상에서 모의수술(시뮬레이션)을 진행한다. 이후 3D 프린터를 이용해 수술 가이드를 제작하고 수술에 적용하게 된다. 이에 따라 임플란트 식립 시 오차범위가 줄어들어 이상적인 위치에 가깝게 수술을 할 수 있다.서울참조은치과 건대 김정한 대표원장은 네비게이션 임플란트의 또 다른 장점은 치조골 위치를 미리 알아볼 수 있어 불필요한 잇몸절개를 최소화할 수 있다고 말했다. 따라서 출혈은 물론 통증과 부작용 위험까지 줄어들게 된다면 이러한 특징 덕분에 당뇨나 고혈압 등 만성질환자와 고령자도 부담을 덜고 임플란트를 식립할 수 있게 된다고 말했다. 김 원장은 기존 수술 방법의 오차를 줄여, 이상적인 보철물 디자인도 가능하게 함으로써 임플란트 합병증 발생가능성도 낮출 수 있다고 강조한다.네비게이션 임플란트 시술 후 저작능력을 장기간 유지하기 위해서는 환자 본인의 노력도 필요하다. 정기검진을 소홀히 하거나 치석을 제대로 제거하지 않는 경우, 염증이 발생해 임플란트가 탈락될 수 있기 때문이다. 식후 올바른 양치질과 치실 사용으로 충치 및 잇몸염증을 예방하고자 노력해야 한다.또한 네비게이션 임플란트 정품사용 원칙을 지키면서 시술 경험이 풍부한 의사를 찾아야 성공률을 높일 수 있다. 사람마다 치아와 잇몸 상태가 다르고 이에 따라 시술 방법이나 기간에 차이가 날 수 있으므로 의료진과 자세한 상담을 진행하는 것이 좋다.<스포츠조선"
6,"세월이 흐르면서 노화는 피해갈 수 없는 과정이다. 겉으로 보이는 외모의 노화는 물론이고 여타 다른 기관들도 기능이 서서히 쇠퇴한다.구강 역시 이러한 흐름을 피해갈 수는 없는데 여기에 선천적, 후천적 원인들이 더해진다면 다수의 치아가 손상되기도 한다. 중장년층 이상으로 갈수록 종합적인 치아 문제가 발생할 수 있다. 만약, 치아 마모나 흔들림, 충치, 만성치주염으로 인해 발치의 상황까지 이르렀다면 그에 맞는 대안 치료가 시급하다.자연 치아를 대표할 수 있는 방법으로 임플란트가 꼽히고 있다. 임플란트는 티타늄 재질의 인공 치근을 치조골에 식립한 뒤 유사한 치아 모형 보철물을 올리는 과정으로써 저작력과 심미성을 보완하는 방법이다. 인체에 무해한 재료를 사용하기 때문에 올바르게 완성된다면 10년 이상의 긴 수명을 갖는다.단, 연령대가 높아질수록 무치악 환자의 비율이 높아지는데 잇몸뼈의 소실이 상당히 진행된 상태가 많아 다수의 임플란트 식립이 제한될 수 있다. 또한, 심어야 하는 개수가 많아지거나 추가 치료가 증가한다면 비용으로나 시간적으로나 부담이 될 것이다. 여러 제한점과 특성을 고려하여 전체 임플란트 식립이 어려운 분들에게는 임플란트 틀니가 대안이 된다.임플란트 틀니는 한 악당 2개~4개 정도의 인공 치근을 심고 특수연결장치로 고정식 의치를 연결하는 방법이다. 무치악 임플란트에 비해 식립 개수가 줄어드니 가격과 시간적인 부담이 완화될 수 있고, 사용감도 완전틀니에 비해 우수하다. 평소에는 고정해서 사용할 수 있기 때문에 대화를 할 때나 식사 시 흔들리는 현상을 방지할 수 있다. 사용하지 않을 때는 따로 빼 내어 세척 및 보관 할 수 있으니 청결 관리도 용이하다.이정택 에스플란트치과병원 원장은 ""임플란트 틀니를 고려하고 있다면 외과적 수술에 대한 기술력뿐 아니라, 틀니 제작의 경험, 미적 감각까지 갖추고 있는 의료진을 선택해야 한다.""며, ""정밀진단과 의치 제작에 필요한 디지털 장비를 갖추고 있는지, 꼼꼼한 검진이 이루어지는지, 의료진의 경력이 풍부한지, 사후관리까지 놓치지 않는지 확인하는 것이 바람직하다.""고 전했다.<스포츠조선"
7,"치과 임플란트의 성공적인 결과를 위해서는 환자의 잇몸뼈 상태가 매우 중요하다.모래성에 집을 지으면 금방 무너져 내리듯이 아무리 좋은 임플란트를 정확하게 식립해도 잇몸뼈의 높이나 두께가 부족하거나 단단하지 못하면 유착에 실패하는 경우가 많다.임플란트를 식립하기 전 환자는 본인의 잇몸뼈의 상태를 정확하게 살펴야 부작용을 최소화하고 정상적인 상태로 오래 사용할 수 있다.대부분 치아가 상실되는 이유 중 가장 많은 비중을 차지하는 것이 잇몸뼈에 이상이 생긴 경우이기 때문이다.부족한 잇몸뼈의 양이 비교적 많지 않거나, 골 결손부의 형태가 뼈를 만들기에 어렵지 않은 환자라면 뼈 이식만을 하고 임플란트가 가능하게 할 수 있다.하지만 심한 치주질환으로 인해 치아가 상실된 경우 잇몸뼈의 후퇴가 많이 진행돼 임플란트가 불가능하다는 진단을 받을 수 있다.뼈 이식 외에 뼈를 만드는 여러 가지 방법을 복합적으로 시술해 잇몸뼈를 정상에 가깝게 재건하는 골형성 수술이다.골형성 수술은 골유도재생술, 골 신장술, 골성장인자이용법 등을 환자의 상태에 따라 단일 또는 복합적으로 시술하는 술식이다.김선영 수플란트 치과병원 대표원장은 ""환자의 잇몸뼈 상태가 좋지 않은 경우 임플란트를 식립할 땐 반드시 그에 맞는 치료계획을 세워야 한다""고 조언했다.김선영 원장은 ""치주질환 환자는 유전적인 요인도 있어서 다른 사람들에 비해 잇몸뼈가 세균에 약한 경우일 수 있으므로 다른 사람들과 똑같이 관리해서는 안 되고 더 철저한 구강 위생관리를 습관화하고 정기적인 치과 검진을 통해서 관리를 받아야 한다""고 강조했다.양재준 성장기업부장"
8,"식품의약품안전처는 치과용 임플란트 성능을 검증하기 위한 '피로도 시험' 기준을 마련하고 이를 가이드라인으로 발간했다고 15일 밝혔다. 식품의약품안전처[연합뉴스TV 제공]    피로도 시험은 음식물을 씹을 때 치과용 임플란트의 기계적 강도를 측정해 내구성을 확인하는 시험이다.     가이드라인의 주요 내용은 ▲ 피로도 시험기준의 과학적 근거 ▲ 기존 제품의 피로도 시험 실측값 비교·분석 자료 ▲ 치아별 피로도 시험 기준 확립 등이다.     국제 피로도 시험 방법이 2016년에 개정됐으나 이에 맞는 국내 기준이 없어 그동안 임플란트 제품 개발에 애로사항이 많았다고 식약처는 설명했다.임플란트[게티이미지뱅크 제공]    식약처는 새로 마련한 기준을 오는 8월 치과 분야 국제표준 기술위원회(ISO TC 106)에 국제표준으로 제안할 예정이라며 ""이 기준이 채택될 경우 국산 치과용 임플란트 수출이 활발해질 것으로 기대된다""고 말했다.    "
9," [임플란트 '피로도 시험' 올해 8월 ISO 국제표준으로 제안 예정]디오 일플란트 시술 가이드 'DioNAVI' / 사진제공=디오식품의약품안전처는 치과용 임플란트 성능을 검증하는데 핵심적인 ‘피로도 시험’의 기준을 마련하고, 이를 가이드라인으로 발간했다고 15일 밝혔다. 피로도 시험은 음식물을 씹을 때 치과용 임플란트의 기계적 강도를 측정해 내구성을 확인하는 시험이다. 임상 환경과 유사 조건인 저작활동 500만회 반복 하중으로부터 임플란트의 기계적 강도를 측정, 최대 1개월의 기간과 1000만원 이상의 비용이 소요된다.식약처가 제시한 가이드라인의 주요내용은 △피로도 시험기준의 과학적 근거 △기존 제품의 피로도 시험 실측값 비교·분석 자료 △치아별 피로도 시험 기준 확립 등이다.식약처는 국산 의료기기의 주력 품목인 치과용 임플란트 업계의 어려움을 해소하고자 지난해부터 본격적으로 연구를 시작, 산업계‧학계 등과 함께 이번 피로도 시험 기준을 마련했다고 밝혔다. 치과용 임플란트는 의료기기 중 생산 1위(약 9842억원), 수출 2위(약 2억2496만달러)를 기록하고 있다.ISO 국제 시험방법이 2016년에 개정됐으나 이에 맞는 기준이 없어 그 동안 제품개발에 애로사항이 많았다. 식약처는 이 기준을 오는 8월 치과분야 국제표준 기술위원회(ISO TC 106)에 국제표준으로 제안할 예정이다. 실제 국제표준으로 채택될 경우 국산 치과용 임플란트 수출에 기여할 것으로 기대된다.가이드라인은 평가원 홈페이지(www.nifds.go.kr)→전자민원→민원인안내서→공무원지침서‧민원인안내서에서 확인할 수 있다.김유경 기자"
