,contents
0," 한국자산관리공사(캠코)가 29일 현대자동차, 기아자동차, 현대커머셜과 함께 '자동차 부품산업 지원을 위한 업무협약'을 체결했다고 밝혔다.이번 업무협약은 지난 제7차 비상경제 중앙대책본부 회의의 ‘자동차 부품산업 중점지원 대책’ 발표에 따라 신종 코로나바이러스 감염증(코로나19) 장기화로 어려움을 겪고 있는 자동차 부품 제조 중견·중소기업에 유동성을 공급하기 위해 추진됐다.이번 협약으로 ▲캠코의 대출형 기업지원펀드(PDF) 조성 ▲부품사 추천과 금융지원 협조(현대·기아자동차) ▲자동차 부품산업 시장현황과 금융지원에 대한 전반적 자문(현대커머셜) 등 자동차 부품산업 금융지원을 위해 협력한다.한국자산관리공사 캠코 [뉴시스 ]대출형 기업지원펀드(Private Debt Fund, PDF)는 투자자들로부터 자금을 모집해 대출 형태로 투자하는, 사모펀드의 일종이다.캠코는 총 3천억원 규모의 대출형 기업지원펀드를 조성하기 위해 약 1천억원을 후순위 출자할 예정이다.운용사가 민간투자자 모집을 완료한 후 펀드를 통해 자동차 부품 협력업체에 완성차 업체 매출채권을 담보로 운영자금 등을 지원한다.캠코는 이번 펀드 조성을 통해 자본시장 민간투자를 유도, 자동차 부품업체 유동성 공급의 마중물 역할을 할 것으로 기대하고 있다.문성유 캠코 사장은 “자동차 부품산업 위기 극복을 위해 캠코와 자동차 업계가 함께 협력해 돌파구를 모색해 간다는데 의미가 깊다”며 “앞으로도 캠코는 위기에 처한 우리 중견·중소기업이 빠르게 정상화될 수 있도록 온 힘을 다하겠다”고 말했다.캠코는 신속한 자금지원을 위해 대출형 기업지원펀드 운용사를 선정하고, 민간투자자 모집과 지원 대상 업체 선정 등 후속 절차를 추진할 계획이다.이효정기자"
1,"전라북도는 총사업비 30억원을 투입해 자동차 부품소재 고도화를 지원한다고 29일 밝혔다.이번 사업은 자동차부품 산업구조 체질을 개선하고, 부품기업 기술력 향상과 시장 경쟁력을 강화하기 위해 기획됐다.전라북도 로고.동력전달·섀시·제동·경량 차체부품 등 차량부품 고도화와 친환경 자동차 전기·전장부품 기술개발을 지원한다. 총 10개 업체를 선정해 지원한다.이번 사업에는 32개 업체가 신청할 정도로 관심이 높았다. 코로나19에 따른 경제침체를 기술력으로 극복하겠다는 의지로 해석된다.현재 전북지역 자동차산업은 현대 전주공장 등 완성차 기업의 부품 수입이 중단되면서 자동차 부품기업이 큰 타격을 받고 있다. 완성차 기업에서 전수받은 제품만을 납품하는 구조로는 자생력이 취약하다는 지적이 제기돼 왔다.전병순 전라북도 혁신성장산업국장은 “자동차 부품기업 기술경쟁력 강화와 완성차 품질 향상을 통한 지역경제 활성화, 일자리 창출을 위해 지속적으로 사업을 추진하겠다”고 말했다.전주=김한식기자"
2,"자동차 부품업체 한국게이츠가 26일 대구에 있는 공장을 닫고 철수한다고 밝혔다.    자동차 엔진벨트에 들어가는 고무부품을 생산하는 한국게이츠는 보도자료에서 대구 공장을 법적 절차와 규정에 따라 폐쇄하고 한국에서 철수한다고 밝혔다.    한국게이츠는 ""본사가 대구 공장이 주력으로 삼아온 자동차 시장에서 사업 효율성을 개선하기 위해 글로벌 사업 환경을 계속 검토해왔다""며 ""본사가 작년부터 해온 사업구조조정의 일환으로, 신종 코로나바이러스 감염증(코로나19)로 인해 불가피하게 일정이 당겨졌다""고 설명했다.    이어 ""심중한 사안이어서 본사에서도 수많은 선택지와 대안을 고려하며 최대한 신중하게 검토해 왔으나 유감스럽게도 대안을 찾지 못했다""고 말했다.    한국게이츠는 ""직원들을 존중하는 자세로 공정하게 지원하기 위해 노력할 것""이라며 ""업계 모범 사례에 부합하는 퇴직ㆍ 조기 퇴직 프로그램을 제공하겠다""고 덧붙였다.     한국게이츠는 미국 게이츠와 일본 업체의 합작회사로 1989년에 설립됐다. 현재 직원은 약 150명이다.    게이츠는 앞으로 중국에서 생산한 제품을 수입해서 유통판매 법인인 게이츠유니타코리아를 통해 판매할 계획이다. [게이츠코리아 홈페이지 캡처. 재판매 및 DB 금지]   "
3,"“코로나19로 사업구조조정 불가피”자동차 부품업체 한국게이츠는 대구에 있는 공장을 닫고 한국에서 철수한다고 26일 밝혔다. 한국게이츠는 미국 게이츠와 일본 업체의 합작회사로 1989년에 설립됐다.자동차 엔진벨트에 들어가는 고무부품을 생산하는 한국게이츠는 이날 “대구 공장을 법적 절차와 규정에 따라 폐쇄하고 한국에서 철수한다”고 밝혔다. 한국게이츠의 현재 직원은 약 150명이다. 한국게이츠는 “본사가 대구 공장이 주력으로 삼아온 자동차 시장에서 사업 효율성을 개선하기 위해 글로벌 사업 환경을 계속 검토해왔다”며 “본사가 지난해부터 해온 사업구조조정의 하나로, 신종 코로나바이러스 감염증(코로나19)으로 인해 불가피하게 일정이 당겨졌다”고 설명했다.한국게이츠는 “본사에서도 수많은 선택지와 대안을 고려하며 최대한 신중하게 검토해 왔으나 유감스럽게도 대안을 찾지 못했다”며 “직원들을 존중하는 자세로 공정하게 지원하기 위해 노력하겠다. 업계 모범 사례에 부합하는 퇴직 프로그램을 제공하겠다”고 밝혔다.게이츠는 앞으로 중국에서 생산한 제품을 수입해서 유통판매 법인인 게이츠유니타코리아를 통해 판매할 계획이다. "
4,"자동차 부품업체 한국게이츠가 오늘(26일) 대구에 있는 공장을 닫고 철수한다고 밝혔습니다.자동차 엔진벨트에 들어가는 고무부품을 생산하는 한국게이츠는 보도자료에서 대구 공장을 법적 절차와 규정에 따라 폐쇄하고 한국에서 철수한다고 밝혔습니다.한국게이츠는 ""본사가 대구 공장이 주력으로 삼아온 자동차 시장에서 사업 효율성을 개선하기 위해 글로벌 사업 환경을 계속 검토해왔다""며 ""본사가 작년부터 해온 사업구조조정의 일환으로, 신종 코로나바이러스 감염증(코로나19)로 인해 불가피하게 일정이 당겨졌다""고 설명했습니다.이어 ""심중한 사안이어서 본사에서도 수많은 선택지와 대안을 고려하며 최대한 신중하게 검토해 왔으나 유감스럽게도 대안을 찾지 못했다""고 말했습니다.한국게이츠는 ""직원들을 존중하는 자세로 공정하게 지원하기 위해 노력할 것""이라며 ""업계 모범 사례에 부합하는 퇴직ㆍ 조기 퇴직 프로그램을 제공하겠다""고 덧붙였습니다.한국게이츠는 미국 게이츠와 일본 업체의 합작회사로 1989년에 설립됐습니다. 현재 직원은 약 150명입니다.게이츠는 앞으로 중국에서 생산한 제품을 수입해서 유통판매 법인인 게이츠유니타코리아를 통해 판매할 계획입니다.게이츠코리아, 한국 철수 /사진=게이츠코리아 홈페이지 캡처[MBN 온라인뉴스팀]"
5," 자동차 부품산업 취약기업에 2조원 이상이 지원된다. 특례보증과 만기연장, 우대금리 등을 통해 자금을 공급한다.   금융위원회는 19일 홍남기 경제부총리주재 제7차 비상경제 중앙대책본부 회의에서 '자동차 부품산업 취약기업 중점지원 대책'을 의결했다고 밝혔다. 정부와 정책금융기관, 완성차 업체가 함께 마련한 재원을 통해 모두 2조원 이상이 자동차 부품업계 취약기업에 중점 공급된다. 6개의 대출·보증 프로그램과 만기연장 지원 확대를 통해 부품업계의 자금애로를 해소한다는 계획이다.   우선 신용보증기금은 3000억원 규모의 보증을 지원한다. 2700억원은 보증과 산업은행 대출이 연계된 '상생 특별보증 패키지 프로그램'을 통해, 300억원은 '프로젝트 공동보증'의 형태로 지원한다. 상생 프로그램 보증·대출 한도는 70억원으로 100% 전액보증 및 고정 보증료율 1.0%가 적용되며, 공동보증은 프로젝트 수행에 필요한 금액 이내에서 90% 보증 및 고정 보증료율 1.0%를 적용한다. 현재 협의중인 완성차업체와 지방자치단체 추가 출연이 이루어지면 공급규모는 3000억원보다 더욱 확대될 것으로 전망된다.   이어 산업은행과 수출입은행, 기업은행, 한국자산관리공사(캠코)는 1조6500억원 이상의 대출을 공급한다. 정책금융기관과 완성차업체가 함께 조성한 '동반성장펀드'를 통해 산은과 기은에서 각각 1750억원씩 모두 3500억원 규모의 대출이 이루어진다. 우대금리 등을 적용해 산은에서는 중소기업 50억원, 중견기업 100억원 한도로, 기은은 30억원 한도로 최장 3년 지원한다.   완성차 업체가 추천하는 중소·중견 협력업체가 지원 대상이지만 은행에서 심사 후 신용도 취약 업체를 우선 지원할 예정이다.   협력업체들이 갖고 있는 완성차업체의 매출채권이나 납품거래 실적을 적극 활용할 수 있는 대출 프로그램도 마련했다. 시장에서 자금조달이 어려운 1차 협력업체들이 매출채권을 담보로 대규모 자금지원을 받을 수 있도록 캠코에서 3000억원 규모의 '원청업체 납품대금 담보부 대출펀드(PDF)'를 신설했다. 시장 자금조달이 어려운 1차 협력업체 약 20개에 지원할 예정이다.   또 산은의 '힘내라 주력산업 협력업체 프로그램'을 통해서는 신용도와 무관하게 납품거래 실적이 있는 협력업체들을 대상으로 1조원 규모의 운영자금을 우대금리로 대출할 예정이다. 중소 50억원, 중견 100억원 한도로 기간은 최대 1년이다.   수은에서는 수은 해외법인을 활용해 부품업체의 해외공장 등이 지닌 '해외자산에 대한 담보부 대출'을 추진한다. 수은의 해외법인을 통해 부품업체 해외법인의 보유 자산을 담보로 활용하도록 진행한다. 현재 중소기업 및 소상공인에 대해서만 실시하고 있는 '시중은행 만기연장'은 5대 시중은행부터 자동차 중견 부품업체에 대해서도 시행할 계획이다.   "
6,"비상경제 중대본서 ‘자동차 부품산업 취약기업 중점지원 대책’ 의결(지디넷코리아=주문정  기자)정정부와 정책금융기관, 완성차업체가 함께 재원을 마련해 자동차 부품 취약기업에 2조원+α를 집중적으로 지원한다. 6개 대출·보증 프로그램과 만기연장 지원을 확대해 부품업계 자금애로를 해소한다는 방침이다.정부는 19일 홍남기 부총리 겸 기획재정부 장관 주재로 제7차 비상경제 중앙대책본부 회의를 열고 부품업계 위기 극복과 미래차 준비를 위해 ‘자동차 부품산업 취약기업 중점지원 대책’을 의결했다.홍남기 부총리는 “이번 대책은 자동차 부품산업 상황과 업계 요청을 적극적으로 반영해 기존 금융지원 프로그램의 사각지대에 놓여있던 중견기업과 중·저신용등급 부품업체 지원에 집중하면서 취약업체 지원에 따른 금융기관 리스크 경감과 업계 상생을 위해 정부와 완성차업체 등이 공동으로 역할을 분담했다”고 설명했다.홍남기 부총리 겸 기획재정부 장관이 19일 오전 정부서울청사에서 열린 제7차 비상경제 중앙대책본부 회의에서 발언하고 있다. (사진=뉴시스)신용보증기금은 총 3천억원 규모 보증을 지원한다.2천700억원은 보증과 산업은행 대출이 연계된 ‘상생 특별보증 패키지 프로그램’을 통해, 300억원은 ‘프로젝트 공동보증’ 형태로 지원한다.공동보증은 신보가 처음 시도하는 혁신적인 보증지원 방안이다. 자동차 부품산업을 시작으로 여러 산업에서 자체 신용도가 취약한 중소·중견 협력업체를 지원할 계획이다.홍 부총리는 “현재 협의 중인 완성차업체와 지자체 추가 출연이 이뤄지면 공급 규모는 3천억원보다 더욱 확대될 것”으로 내다봤다.산업은행과 수출입은행, IBK기업은행, 캠코는 1조6천500억원 이상 대출을 공급한다.정책금융기관과 완성차업체가 함께 조성한 ‘동반성장펀드’를 통해 산은과 기은에서 각각 1천750억원 규모 대출이 이뤄진다.완성차업체가 추천하는 중소·중견 협력업체가 지원 대상이지만 은행에서 심사 후 신용도 취약업체를 우선 지원할 예정이다.협력업체가 가진 완성차업체의 매출채권이나 납품 거래 실적을 적극적으로 활용할 수 있는 대출 프로그램도 마련했다.홍남기 부총리 겸 기획재정부 장관(왼쪽)과 성윤모 산업통상자원부 장관(오른쪽)이 19일 정부서울청사에서 열린 제7차 비상경제 중앙대책본부 회의실에 들어서고 있다. (사진=뉴시스)시장에서 자금조달이 어려운 1차 협력업체가 매출채권을 담보로 대규모 자금지원을 받을 수 있도록 캠코에서 3천억원 규모 ‘원청업체 납품 대금 담보부 대출펀드(PDF)’를 신설했다. 산은의 ‘힘내라 주력산업 협력업체 프로그램’을 통해 신용도와 무관하게 납품거래실적이 있는 협력업체를 대상으로 1조원 규모 운영자금을 우대금리로 대출할 예정이다.해외법인 대출에 대한 부품업체 요청과 중견기업의 만기연장 지원 건의도 적극적으로 수용했다.수은은 수은 해외법인을 활용해 부품업체의 해외공장 등이 지닌 ‘해외자산에 대한 담보부 대출’을 추진한다.현재 중소기업과 소상공인을 대상으로 실시하고 있는 ‘시중은행 만기연장’을 5대 시중은행부터 자동차 중견 부품업체에도 시행한다.정부는 이번 대책으로 중견기업과 취약업체를 지원 대상에 포함함, 운영 중인 P-CBO 발행지원 프로그램 등과 함께 자동차 부품산업에 대한 촘촘한 금융지원망이 완성됐다고 밝혔다.정부는 대책을 통해 완성차업체-자동차 부품업계로 이어지는 산업 생태계와 공급망이 안정화되고 중견기업 만기연장 등을 통해 부품업계 경영환경 불확실성 해소에 도움이 될 것으로 기대했다.주문정 기자"
7," 정부가 코로나19로 어려움에 처한 자동차 부품업계에 최소 2조원 규모의 금융 지원을 한다.금융위원회는 19일 홍남기 경제부총리 겸 기획재정부 장관 주재로 열린 ‘제7차 비상경제 중앙대책본부(경제 중대본)’ 회의에서 이같은 내용의 ‘자동차 부품산업 취약기업 중점지원 대책’을 의결했다고 밝혔다.정부와 정책금융기관, 완성차 업체가 함께 재원을 마련해 2조원+α의 자금을 자동차 부품업계 취약기업에 공급하겠다는 것이다. 금융위와 산업통상자원부는 지난 15일 자동차업계와 간담회를 열어 방안을 논의한 바 있다.이번 방안은 총 6개의 대출·보증 프로그램과 만기연장 지원으로 이뤄져 있으며, 중견기업과 중·저신용등급 부품업체를 주대상으로 한다.우선 신보는 총 3000억원 규모의 보증을 지원한다. 2700억원은 보증과 산업은행 대출이 연계된 ‘특별보증 프로그램’이며, 300억원은 완성차 업체의 특정 생산 프로젝트 단위로 보증 심사를 해서 프로젝트에 참여하는 협력업체까지 보증을 지원하는 ‘프로젝트 공동보증’이다. 완성차업체와 지자체의 추가 출연이 이뤄지면 공급규모는 더 확대될 전망이다.산업은행과 기업은행은 완성차업체와 함께 ‘동반성장펀드’를 조성해 3500억원(각 1750억원)을 대출한다. 완성차 업체가 추천하는 중소·중견 협력업체 중 신용도 취약 업체가 우선 지원된다.자산관리공사(캠코)는 3000억원 규모의 ‘원청업체 납품대금 담보부 대출펀드(PDF)’를 신설한다. 1차 협력업체들이 완성차업체의 매출채권을 담보로 대출을 받는 프로그램이다.산은은 1조원 규모의 ‘힘내라 주력산업 협력업체 프로그램’을 통해 신용도와 무관하게 납품거래 실적이 있는 협력업체에 우대금리로 운영자금을 대출할 예정이다.수은은 부품업체의 해외법인이 대출을 요청할 경우 해당 업체가 소유한 해외자산을 담보로 대출을 해줄 계획이다.또 자동차 중견 부품업체에 대해 시중은행이 만기연장도 해줄 계획이다. 이 프로그램은 현재 중소기업 및 소상공인에 대해서만 실시하고 있는데 대상이 확대된 것이다"
8,"(지디넷코리아=양태훈  기자)로옴이 차량용 반도체 시장 공략을 위해 중국 리드라이브 테크놀로지와 손을 잡았다.24일 로옴은 리드라이브 테크놀로지(이하 리드라이브)와 함께 중국 상해에 위치한 자유무역시험구 임항신구에 'SiC 기술 공동 연구소'를 개설하고, 차량용 인버터 개발에 나설 계획이라고 밝혔다.리드라이브는 지난 2017년 설립된 중국의 자동차 전장부품 제조업체다. 전기차에 적용되는 파워 모듈 및 모터, 인버터 등을 주로 생산하며, 실리콘카바이드(SiC) 베어 칩 기반의 파워 모듈과 시스템 개발에 100건의 국제 특허를 취득하는 등 기술 경쟁력을 보유하고 있다.지난 9일 중국 상해 자유무역시험구 임항신구에서 열린 'SiC 기술 공동 연구소' 제막식. (사진=로옴)로옴과 리드라이브는 SiC 기술 공동 연구소에서 실리콘카바이드 전계효과 트랜지스터(SiC MOSFET) 기반 베어 칩셋과 절연 게이트 드라이버를 활용한 차량용 파워 모듈, 인버터 개발에 나설 예정이다.로옴 측은 ""SiC 파워 디바이스는 IGBT(절연 게이트 타입 바이폴라 트랜지스터) 등 실리콘 파워 디바이스 대비 스위칭 및 도통 손실이 적고, 온도 변화에 강한 이점이 있어 최근 전기차의 온보드 차저 및 DC/DC 컨버터 등에 채용이 늘어나고 있다""며 ""리드라이브와 로옴은 2017년부터 협력 관계를 맺고 지금까지 SiC 파워 디바이스를 탑재한 차량용 어플리케이션 개발에 대한 기술 교류를 실시해 왔다. 향후 SiC를 중심으로 한 혁신적인 파워 솔루션 개발을 가속화할 예정""이라고 강조했다.양태훈 기자"
9,"부품사 지원 프로그램에 1천200억원 출연… 저신용 중소·중견 부품사 지원기술력과 안정적 공급처 보유 부품사 연쇄 피해 막고 車산업 생태계 보호 정부(산업부·중기부·금융위), 지방자치단체, 보증기금, 캠코, 금융권과 협업◆…출처=현대차그룹 제공현대차그룹은 산업통상자원부, 중소벤처기업부, 금융위원회, 지방자치단체, 한국자산관리공사, 산업은행, 기업은행, 기술보증기금, 신용보증기금과 함께 신용 등급이 낮은 자동차 부품사를 지원하기 위해 대규모 금융 프로그램 실행에 참여하기로 했다고 19일 밝혔다. 이번에 참여하는 프로그램은 3500억원 규모의 산업은행 및 기업은행 '동반성장펀드', 4200억원 규모의 기술보증기금 '상생특별보증', 3000억원 규모의 신용보증기금 '상생특별보증', 3000억원 규모의 한국자산관리공사(캠코) '원청업체 납품대금 담보부 대출'이다.현대차그룹은 이번 금융 프로그램에 총 1200억원의 자금을 출연하기로 했다. 산업은행과 기업은행의 '동반성장펀드' 시행을 위해 1000억원을 예치하고, 기술보증기금과 신용보증기금의 '상생특별보증' 프로그램에 각 100억원씩 총 200억원을 납입한다. 캠코 '원청업체 납품대금 담보부 대출'에 대해서는 협력사들이 금융지원을 원활히 받을 수 있도록 적극 협조한다. 이번 자동차 부품업계 지원은 기술력과 안정적인 공급처를 보유한 중소·중견 부품기업들이 코로나19로 인한 일시적 유동성 부족으로 피해가 확산되는 것을 막고, 전후방 연관효과가 큰 자동차산업 생태계를 보호하기 위해서다. 자동차 부품사들은 코로나19로 자동차 수출이 급감하고, 해외 자동차 공장 생산이 중단되면서 부품 공급량이 감소할 수밖에 없어 경영에 어려움을 겪어왔다. 특히 전체 부품사의 80%인 저신용 부품사들은 운영 자금을 확보하려 해도 은행 등 금융권 대출을 받을 수 없어 자금난에 직면하는 등 존립에 위협을 받고 있다. 현대차그룹은 산업은행 및 기업은행의 3500억원 규모 '동반성장펀드' 운영을 지원한다. 두 은행에 각 500억원씩 1000억원을 예치하고, 은행들은 예치금의 3.5배인 3500억원을 중소 부품사들에 대출하기로 한 것이다. 예치금에 대한 이자를 활용, 부품사들의 대출 이자도 인하된다.또한 기술보증기금 '상생특별보증' 프로그램에 100억원을 출연해 자동차 부품기업에 우대보증이 시행되도록 한다. 현대차그룹 포함 정부 100억원, 지자체 70억원 등 총 310억원의 특별출연금을 재원으로 기술보증기금은 4200억원 규모의 대출액까지 보증을 실행하기로 했다.신용보증기금의 '상생특별보증' 프로그램에도 특별기금으로 100억원을 출연한다. 현대차그룹뿐 아니라 정부 100억원 등의 출연금을 재원으로 신용보증기금이 3000억원 규모로 우대보증 및 프로젝트 공동보증을 시행한다.현대·기아차는 캠코가 운용하는 총 3000억원 규모 '원청업체 납품대금 담보부 대출'도 적극 돕기로 했다. 캠코가 금융지원펀드를 조성한 후 자금이 필요한 저신용 부품사에 납품대금 담보로 자금지원을 하는 프로그램이다.부품사는 완성차업체에 납품하고 받을 매출채권을 담보로 대출을 받을 수 있으며, 현대·기아차는 거래 부품사의 매출채권 규모를 확인해주고 추천함으로써 금융지원이 원활하게 진행될 수 있도록 협조하기로 했다.현대차그룹 관계자는 “자동차 산업 생태계의 강력한 기반인 자동차 부품 기업들의 경영이 안정화되어야, 코로나19 위기를 극복하고 포스트 코로나를 대비할 수 있다”며 “이번 금융 프로그램이 저신용 중소 부품사들의 자금난 해소에 큰 도움이 될 수 있을 것으로 기대한다”고 밝혔다.이번 금융 프로그램뿐 아니라 현대차그룹은 코로나19로 인해 큰 타격을 받고 있는 생산, 판매, 서비스 등 전 부문 협력사들의 피해를 최소화하고 안정적 환경에서 경영활동을 할 수 있도록 다각적인 지원을 하고 있다.현대·기아차는 지난 2월 코로나19 확산 초기 선제적으로 중소 부품 협력사들을 위해 1조원대 자금을 긴급 투입했다. 중소 부품 협력사들이 적기 유동성 확보를 통해 경영 어려움을 해소하는데 도움을 주기 위해 자금 지원을 결정했으며, 3080억원 규모 경영 자금 무이자 지원, 납품대금 5870억원 및 부품 양산 투자비 1,050억원 조기 결제 등을 통해 1조원 규모의 자금을 집행했다.지난 3월에는 코로나19 확산으로 매출 손실을 겪고 있는 서비스협력사 블루핸즈와 오토큐의 가맹금 감면을 통해 22억3천만원을 지원했다. 3월부터 5월까지 3개월간 전국 2200여개 가맹점의 가맹금을 50% 감면했으며 특히 3월에는 코로나19 피해가 심했던 대구, 경북 지역 서비스 협력사의 가맹금을 전액 면제했다. 이달 8일에는 현대·기아차 판매 대리점 및 현대모비스 부품 판매 대리점에 상생 펀드 조성, 임차료 지원 등 올해 총 557억원 규모의 운영자금을 지원한다고 발표했다. 2019년 지원했던 327억원보다 70% 증가한 금액이며, 이와 별도로 700억원 상당의 판매 지원금도 지급하고 있다.▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)김상우"
