,contents
0,"서울시는 자전거 이용자들의 편의를 돕기 위해 7월 1일부터 '자전거를 품은 택시' 서비스를 시범 운영한다고 29일 밝혔다.    최근 자전거 이용자들이 크게 늘었지만, 자전거 휴대 승차가 주말 지하철에만 국한되고 자전거가 고장 날 경우 다른 교통 서비스 이용이 어려워 불편함이 컸다고 시는 설명했다.    서울시는 이런 문제를 해결하고자 플랫폼 택시인 '마카롱택시'와 손잡고 자전거를 택시에 쉽게 실을 수 있는 서비스를 도입했다.    우선 친환경 전기 택시 10대에 자전거 거치대를 장착해 시범 운영하고 향후 이용 수요에 따라 탄력적으로 확대해 나가기로 했다.    최대 3대까지 자전거 부착이 가능하며, 자전거 1대당 3천원의 추가 운송료를 물린다.     이 서비스를 이용하려면 구글스토어 또는 앱스토어에서 마카롱택시 앱을 내려받은 뒤 '예약하기→ 이용목적지 입력→ 예약일정(시간) 선택→ '자전거를 품은 택시' 선택 순의 절차를 밟으면 된다.마카롱택시 앱 화면[서울시 제공. 재판매 및 DB 금지]   "
1,"(사진=스마트이미지 제공)서울시가 오는 7월부터 자전거 거치가 가능한 택시 서비스 시범 운영을 실시한다.29일 시에 따르면, 서울시는 오는 7월1일부터 '자전거를 품은 택시' 사업을 실시한다고 밝혔다.최근 코로나19 확산 등으로 '언택트' 이동수단인 자전거 이용율이 급증했다. 서울시 공공자전거인 '따릉이' 이용은 전년대비 약 70%가 증가한 바 있다.그러나 자전거 휴대 승차는 주말, 지하철에만 국한됐고 자전거 고장 시 이동 서비스가 전무해 시민들의 불편이 컸다. 서울시는 이러한 불편을 해소하기 위해 7월 1일부터 마카롱 택시와 '자전거를 품은 택시' 서비스를 개시한다. 친환경 전기택시 10대에 자전거 거치대를 장착해 시범 운영하며, 향후 이용수요에 따라 탄력적으로 운영대수를 확대해 나갈 계획이다.이용방법은 구글스토어 또는 앱스토어에서 마카롱택시 앱을 설치한 후 예약을 통해 이용할 수 있다. 예약은 이용시작시간 2시간 전까지 가능하며 도착 시 전문적인 안전 교육을 받은 택시기사가 직접 자전거 거치대를 부착하게 된다. 최대 3대까지 부착이 가능하며 자전거 1대당 3000원의 추가 운송료를 받는다."
2,"'자전거 품은 택시' 시범운영3대까지 부착… 어플로 이용 서울시 제공 오는 7월부터 자전거도 승객과 함께 택시에 탑승할 수 있게 된다.   서울시는 29일 '자전거를 품은 택시'(사진) 서비스의 시범 운영을 실시한다고 밝혔다. 코로나19 확산에 따라 자전거 이용이 급증하면서 이동 자전거는 밀집된 공간을 피해 중장거리 이동이 가능해 언택트 시대의 대표적인 이동 수단으로 부상하고 있다.   대중교통과 자전거 이용의 연계에 대한 시민 수요 역시 높아짐에 따라 자전거 인프라 구축과 다양한 서비스 제공의 필요성이 커지고 있다.   하지만 자전거 휴대 승차는 주말, 지하철에만 국한됐다. 자전거가 고장나면 사용할 수 있는 이동 서비스가 전무해 시민 불편이 컸다.   시는 이러한 불편 해소를 위해 오는 7월 1일부터 마카롱 택시와 '자전거를 품은 택시' 서비스를 개시할 예정이다. 친환경 전기택시 10대에 자전거 거치대를 장착해 시범 운영한다. 향후 이용수요에 따라 탄력적으로 운영대수를 확대해 나갈 계획이다.   이용방법은 구글스토어나 앱스토어에서 '마카롱택시' 앱 설치 후 자전거를 품은 택시 선택해 이용할 수 있다.   예약은 이용시작시간 2시간 전까지 가능하다. 전문적인 안전 교육을 받은 택시기사가 직접 자전거 거치대를 부착하게 된다.최대 3대까지 부착이 가능하고 자전거 1대당 추가 운송료 3000원을 내야한다.   황보연 도시교통실장은 ""앞으로는 택시뿐만 아니라 버스에도 거치대를 설치해 자전거와 대중교통을 연계한 다양한 이동 서비스를 마련하겠다""고 밝혔다. "
3,"서울시가 자전거를 실어 나를 수 있는 거치대를 장착한 택시를 다음달부터 운영한다. 자전거와 대중교통의 연계를 확대해달라는 시민들의 요구를 반영한 조치다.서울시는 다음달 1일부터 '자전거 품은 택시' 서비스의 시범 운영을 실시한다고 29일 발표했다. 이 서비스는 서울시와 마카롱택시가 함께 운영한다. 이용자는 마카롱택시 앱(응용프로그램)을 통해 자전거 거치대가 설치된 택시를 미리 예약할 수 있다.택시 한 대당 최대 세 대의 자전거까지 부착이 가능하다. 추가 운송료는 자전거 한 대당 3000원이다. 서울시는 친환경 전기택시 10대에 자전거 거치대를 장착해 시범 운영한 뒤 시민들의 수요에 따라 탄력적으로 운영대수를 확대해 나간다는 계획이다.서울시에 따르면 최근 신종 코로나바이러스 감염증(코로나19) 확산으로 시민들의 자전거 이용이 크게 늘어나고 있다. 지난 3월 서울시 공공자전거 '따릉이' 이용량은 153만건으로 전년 동월(90만건) 대비 69.5% 급증하기도 했다. 서울시는 자전거와 대중교통의 연계를 강화해 시민들의 자전거 이용 편의를 증진하고, 자전거 이용량을 더욱 늘리겠다는 구상이다.황보연 서울시 도시교통실장은 ""앞으로는 택시뿐만 아니라 버스에도 거치대를 설치해 자전거와 대중교통을 연계한 다양한 이동 서비스를 마련하고, 더욱 편리한 자전거 이용 환경을 만들겠다""고 말했다.박종관 기자"
4,"bhc치킨은 대학생 봉사 단체인 '해바라기 봉사단'이 서울 시내 자전거 도로 안전 점검을 위한 봉사활동을 진행했다고 29일 밝혔다.'해바라기 봉사단' 4기 1조는 서울환경운동연합이 주관하는 프로그램에 참여해 지난 28일 서울 공덕역부터 여의나루역까지 연결된 자전거 도로에 직접 자전거를 타면서 현장 안전 점검과 자전거 안전시설에 대한 실태 조사를 진행했다. 이번 봉사활동은 최근 레저스포츠로서 자전거에 대한 높은 관심과 자전거를 이용하는 시민이 점차 늘어나고 있는 가운데 좀 더 안전하고 편안한 환경 속에서 자전거를 이용하는 데 도움을 주고자 기획됐다. 이날 봉사단원들은 서울환경운동연합을 찾아 자전거 이용에 따른 안전교육을 받은 후 공덕역을 출발해 여의나루까지 연결된 약 4㎞에 이르는 자전거 도로를 달렸다. 도로 파손과 자전거 도로에 대한 다른 교통수단 준수 여부, 기타 안전시설 실태 등 자전거 도로 현황과 불편한 점이나 개선해야 할 점에 대한 모니터링을 꼼꼼하게 진행했다. 김동한 bhc치킨 홍보팀 부장은 ""미래세대인 젊은 청년들이 우리 사회를 좀 더 이해하고 나눔과 상생 가치를 느낄 수 있도록 하는 것이 봉사단의 취지""라며 ""올 연말까지 이어지는 4기 봉사단 활동이 소기의 성과를 이룰 수 있도록 적극적인 지원을 아끼지 않겠다""고 말했다.☞공감언론 뉴시스"
5,"◆…bhc치킨 '해바라기 봉사단'이 자전거 도로를 점검하고 있다. 사진=bhc제공bhc치킨 대학생 봉사 단체 '해바라기 봉사단'이 서울 시내 자전거 도로 안전 점검을 위한 봉사활동을 진행했다고 29일 밝혔다.'해바라기 봉사단' 4기 1조는 서울환경운동연합이 주관하는 프로그램에 참여해 지난 28일 서울 공덕역부터 여의나루역까지 연결된 자전거 도로에 직접 자전거를 타면서 현장 안전 점검과 자전거 안전시설에 대한 실태 조사를 진행했다. 이번 봉사활동은 최근 레저스포츠로서 자전거에 대한 높은 관심과 자전거를 이용하는 시민이 점차 늘어나고 있는 가운데 좀 더 안전하고 편안한 환경 속에서 자전거를 이용하는 데 도움을 주기위해 기획했다.이날 봉사단원들은 서울환경운동연합을 찾아 자전거 이용에 따른 안전교육을 받은 후 공덕역을 출발해 여의나루까지 연결된 약 4km에 이르는 자전거 도로를 달리면서 도로 파손과 자전거 도로에 대한 다른 교통수단 준수 여부, 기타 안전시설 실태 등 자전거 도로 현황과 불편한 점이나 개선해야 할 점에 대한 모니터링을 꼼꼼하게 진행했다. 이날 봉사활동에 참여한 단원들은 환경오염을 줄이는 친환경 교통수단으로서 자전거를 많이 이용하고 있지만 자전거 초보자도 도심 속에서 안전하게 탈 수 있도록 세심한 환경조성이 필요하다며 이번 현장 점검 봉사활동이 자전거 이용 문화 정착과 자전거 도로 내 불편사항을 개선하는 데 도움이 되길 바란다고 말했다. '해바라기 봉사단' 4기는 올 1월 본격적인 활동을 시작해 오는 12월까지 도움의 손길이 필요한 곳을 직접 찾아 다양한 활동을 펼치게 된다. 봉사활동 주제는 단원들 스스로가 선정해 기획부터 집행까지 자율적으로 진행되며 bhc치킨은 활동에 따른 비용을 전액 지원하고 있다.김동한 bhc치킨 홍보팀 부장은 “미래세대인 젊은 청년들이 우리 사회를 좀 더 이해하고 나눔과 상생 가치를 느낄 수 있도록 하는 것이 봉사단의 취지”라며 “올 연말까지 이어지는 4기 봉사단 활동이 소기의 성과를 이룰 수 있도록 적극적인 지원을 아끼지 않겠다”라고 말했다. ▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)박병우"
6,"bhc치킨 대학생 봉사 단체인 '해바라기 봉사단'이 서울 시내 자전거 도로 안전 점검을 위한 봉사활동을 진행했다고 밝혔다.'해바라기 봉사단' 4기 1조는 서울환경운동연합이 주관하는 프로그램에 참여해 지난 28일 서울 공덕역부터 여의나루역까지 연결된 자전거 도로에 직접 자전거를 타면서 현장 안전 점검과 자전거 안전시설에 대한 실태 조사를 진행했다.bhc치킨 해바라기 봉사단 4기 1조 봉사활동(사진=bhc 제공)이번 봉사활동은 최근 레저스포츠로서 자전거에 대한 높은 관심과 자전거를 이용하는 시민이 점차 늘어나고 있는 가운데 좀 더 안전하고 편안한 환경 속에서 자전거를 이용하는 데 도움을 주고자 기획되었다.이날 봉사단원들은 서울환경운동연합을 찾아 자전거 이용에 따른 안전교육을 받은 후 공덕역을 출발해 여의나루까지 연결된 약 4km에 이르는 자전거 도로를 달리면서 도로 파손과 자전거 도로에 대한 다른 교통수단 준수 여부, 기타 안전시설 실태 등 자전거 도로 현황과 불편한 점이나 개선해야 할 점에 대한 모니터링을 꼼꼼하게 진행했다.이날 봉사활동에 참여한 단원들은 환경오염을 줄이는 친환경 교통수단으로서 자전거를 많이 이용하고 있지만, 자전거 초보자도 도심 속에서 안전하게 탈 수 있도록 세심한 환경조성이 필요하다며 이번 현장 점검 봉사활동이 자전거 이용 문화 정착과 자전거 도로 내 불편사항을 개선하는 데 도움이 되길 바란다고 말했다.'해바라기 봉사단' 4기는 올 1월 본격적인 활동을 시작해 오는 12월까지 도움의 손길이 필요한 곳을 직접 찾아 다양한 활동을 펼치게 된다. 봉사활동 주제는 단원들 스스로가 선정해 기획부터 집행까지 자율적으로 진행되며 bhc치킨은 활동에 따른 비용을 전액 지원하고 있다.김동한 bhc치킨 홍보팀 부장은 ""미래세대인 젊은 청년들이 우리 사회를 좀 더 이해하고 나눔과 상생 가치를 느낄 수 있도록 하는 것이 봉사단의 취지""라며 ""올 연말까지 이어지는 4기 봉사단 활동이 소기의 성과를 이룰 수 있도록 적극적인 지원을 아끼지 않겠다""라고 말했다."
7," bhc치킨 대학생 봉사 단체인 해바라기 봉사단이 서울 시내 자전거 도로 안전 점검을 위한 봉사활동을 진행했다고 29일 밝혔다.   해바라기 봉사단 4기 1조는 서울환경운동연합이 주관하는 프로그램에 참여해 지난 28일 서울 공덕역부터 여의나루역까지 연결된 자전거 도로에 직접 자전거를 타면서 현장 안전 점검과 자전거 안전시설에 대한 실태 조사를 진행했다.   이날 봉사단원들은 서울환경운동연합을 찾아 자전거 이용에 따른 안전교육을 받은 후 공덕역을 출발해 여의나루까지 연결된 약 4㎞에 이르는 자전거 도로를 달리면서 도로 파손과 자전거 도로에 대한 다른 교통수단 준수 여부, 기타 안전시설 실태 등 자전거 도로 현황과 불편한 점이나 개선해야 할 점에 대한 모니터링을 실시했다.   이날 봉사활동에 참여한 단원들은 환경오염을 줄이는 친환경 교통수단으로서 자전거를 많이 이용하고 있지만, 자전거 초보자도 도심 속에서 안전하게 탈 수 있도록 세심한 환경조성이 필요하다고 전했다. 또 이번 현장 점검 봉사활동이 자전거 이용 문화 정착과 자전거 도로 내 불편사항을 개선하는 데 도움이 되길 바란다고 했다.   해바라기 봉사단 4기는 올 1월 본격적인 활동을 시작해 오는 12월까지 도움의 손길이 필요한 곳을 직접 찾아 다양한 활동을 펼치게 된다. 봉사활동 주제는 단원들 스스로가 선정해 기획부터 집행까지 자율적으로 진행되며 bhc치킨은 활동에 따른 비용을 전액 지원하고 있다.   "
8,"    (멕시코시티=연합뉴스) 고미혜 특파원 = 남미 볼리비아에서 자전거를 타고 불어난 빗물을 헤치는 한 간호조무사의 사진이 온라인을 뜨겁게 달구며 신종 코로나바이러스 감염증(코로나19) 사태 속에 의료진 희생과 봉사의 상징이 됐다.     27일(현지시간) CNN 스페인어판과 볼리비아 언론들에 따르면 사진 속의 주인공은 볼리비아 산타크루스의 한 병원에서 간호조무사로 일하는 마리 루스 살라사르(28)다.    며칠 전 찍힌 사진 속에서 살라사르는 하얀 유니폼을 입고 마스크를 한 채 바퀴가 반 이상 잠긴 물에서 페달을 밟고 있었다.    당시 살라사르는 병원에서 코로나19 환자들을 돌보며 12시간 이상 교대 근무를 한 후 집으로 돌아가던 길이었다고 했다.     힘겹게 물살을 가르던 그녀의 모습을 본 이웃이 사진을 찍어 인터넷에 올렸고, 사진은 잔잔한 감동을 주며 금세 확산했다. 흠뻑 젖은 살라사르 사진 공유한 모랄레스 [트위터 캡처]    아르헨티나에 망명 중인 에보 모랄레스 전 볼리비아 대통령까지 살라사르의 사진을 트위터에 공유하며 코로나19와 싸우는 그녀의 희생에 감사를 표했다.     인상적인 사진 한 장은 살라사르에게 예상치 못한 선물도 안겼다.    자전거로 통근하는 그녀를 위해 한 오토바이 회사가 오토바이 한 대를 기증했다.     또 계약직의 박봉으로 격무를 이어가는 살라사르의 처지가 인터뷰 등을 통해 알려지며 볼리비아 보건부는 보다 안정적인 근로 계약을 약속했다.    무엇보다 살라사르처럼 어려운 여건 속에서도 힘겹게 코로나19와 맞서는 의료진에 대한 인식이 개선된 점이 가장 큰 선물이었다.    살라사르는 CNN 인터뷰에서 자신의 사례가 코로나19와 싸우는 동료 의료인들의 노력을 보여주는 계기가 되길 바란다고 전했다.살라사르에게 오토바이 선물한 혼다 [혼다 볼리비아 페이스북]   "
9," 페달의 여왕 알폰시나 스트라다 이야기 '사이클 선수가 될 거야!'[오마이뉴스 김현자 기자]전설적인 여자 사이클 선수, 페달의 여왕 알폰시나 스트라다(alfonsina strada)는 이탈리아 북부에서 태어났다. 그녀가 태어난 것은 1891년. 그녀의 부모는 유모처럼 당시 서민들이 할 수 있는 여러 가지 노동을 하며 가정을 꾸려나갈 정도로 가난한 소작농이었다고 한다. 알폰시나 스트라다(아래 알폰시나)가 자전거를 처음 접한 것은 열 살 때 아버지가 자전거 한 대를 가져오면서다. 달걀 몇 개와 맞바꿔 올 정도로 낡은 데다가 투박한 짐 자전거였다고 한다. 어린 소녀가 타기에는 위험하고 버거운 자전거였던 것. 그럼에도 알폰시나는 금세 빠져들었다고 한다. 하지만 알폰시나가 자전거를 타기는 쉽지 않았다. 당시 유럽은 산업혁명이 한창이었다. 그래서 기차와 많은 자동차들이 다녔고 여성들도 경제활동을 했다. 그럼에도 여성들에게 가해지는 금기가 많았다. 대표적인 것 중 하나가 여성들은 바지를 입어서는 안 된다는 것. 그래서 당시 여성들은 드레스에 가까운 치마를 입어야만 했다. 게다가 자전거는 남성의 전유물로 인식되고 있었다. 그러니 여성이 발목을 드러내고 자전거를 타는 것은 비난과 놀림거리로 충분했다. 알폰시나와 같은 어린 소녀도 예외는 아니었다. 가족들이 말리는 것은 당연했다.              ▲  <사이클 선수가 될 거야!> 책표지.            ⓒ 우리교육    알폰시나 스트라다는 열세 살에 처음 나간 사이클 대회에서 우승하면서 사이클 선수의 꿈을 키웠어요. 1911년에 나간 대회에서는 한 시간에 37km를 달리며 여자 사이클 기록을 세웠지요. 이 기록은 기어가 하나밖에 없고 무게가 20kg이나 되는 자전거를 타고 세웠는데, 그 후로도 무려 26년간 아무도 기록을 깨지 못했답니다. - 책에서. 그럼에도 어린 알폰시나는 자전거를 포기하지 않는다. 때론 남자로 변장해 자전거를 타기도 하고 어쩌다 가끔 남자애들과 겨뤄 이기며 자신이 사이클에 재능이 있음을 알아차린다. 그리고 우연히 다른 나라에 여자 사이클 선수가 존재한다는 것을 알게 된다. 그리하여 '사이클 선수가 되자. 가난에서 벗어나자'라는 구체적이며 본격적인 꿈을 갖게 된다. 이런 알폰시나와 함께 기록되는 것 중 하나는 '지로 디탈리아(장거리 도로 사이클 경기)'에 최초로 참가한(1924년 경기) 여성이라는 것이다. 당시 이탈리아에서 여성이 자전거를 타는 것은 금기나 다름없었다. 그런 만큼 여성의 대회 참가 신청 자체가 받아들여지지 않을 그런 상황이었다. 이에 알폰시나는 자신의 이름(alfonsina)에서 'a'를 뺀 '알폰신 스트라다(alfonsin strada)'라는, 누가 봐도 남자 이름으로 참가 신청한 결과 출전할 수 있게 된다. 하지만 대회 이틀 전 여자임이 들통나고 많은 사람들의 반대로 경기장조차 밟아볼 수 없는 위기에 처한다. 그럼에도 출전할 수 있게 된 것은 주최 신문사 주간 에밀리오 콜롬보(Emilio Colombo) 덕분이었다.  그는 ""여성이 자전거를 타지 못하거나 대회에 참가해선 안 되는 것은 규칙으로 정해지지 않은 금기인 만큼 원한다면 누구든 대회에 참석할 수 있다""며 알폰시나의 대회 참여를 돕는다. 열두 개 구간에 걸쳐 3610km를 완주해야 하는, 출전 선수 90명 중에서 30명만 완주에 성공할 정도로 어려운 경기였다고 한다. 알폰시나도 일곱 번째 구간에서 무릎을 다치고 핸들까지 부러지는 위기를 겪지만, 빗자루를 잘라 핸들 부분에 연결하는 등으로 위기를 넘겨 끝까지 달린다. 그런데 관중들이 끝까지 남아 그런 그녀를 열렬히 환영하는 가슴 뭉클한 순간으로 이어졌다고 한다. 알폰시나의 지로 디탈리아 출전은 여러모로 의미 남다르며 기념비적이다. 세상 사람들에게, 뭣보다 이탈리아 사람들에게 '여성도 자전거를 탈 수 있다'는 것을 공식적으로 알리는 계기가 되기 때문이다. 나아가 자전거로 보다 멀리로 이동할 수 있게 되면서 새로운 세계를 본다거나, 치마만 입던 여성들이 자전거 타기에 편한 옷을 원하는 등 여성들의 삶이 변하는 계기가 되었다.  <사이클 선수가 될 거야!>(우리교육 펴냄)는 이처럼 사회의 그릇된 편견과 어려운 환경을 극복하며 꿈을 키운 알폰시나 스트라다의 이야기를 어린 아이들이 흥미롭게 접할 수 있는 동화이다.              ▲  내용 일부.            ⓒ 우리교육                  ▲  내용 일부.            ⓒ 우리교육   어린이 대상 동화인 만큼 그림과 비교적 짧은 글로 알폰시나에 대해 아주 조금 들려준 후 뒤에서 2쪽에 걸쳐 좀 더 자세하게 들려준다. 인상 깊게 기억할 책이 될 것 같다. 이름조차 몰랐던 알폰시나 스트라다를 알게 해 준 책이니. 서점에 가면 아동이나 청소년 코너로 가 훑어보는 것으로 서점 볼일을 마무리하곤 한다. 알폰시나 스트라다 경우처럼 잘 모르는 이야기나 어려운 분야를 맛보기 한 후 좀 더 본격적이며 구체적인 책으로 접근하는 데 도움되는 징검다리 역할과 같은 책들을 발견할 수 있기 때문이다.<사이클 선수가 될 거야!>로 출발해 알게된, 관련 지어 읽으면 좋을 책은 <재미있는 자전거 이야기>(장종수)와 <패션에 쉼표를 찍다>(김경희)이다. 앞의 책에선 '지로의 여자 선수'란 제목으로 알폰시나 스트라다를 이야기한다. 뒷책에선 '자전거는 열혈 페미니스트?'란 제목으로 블루머 스타일 등, 1890년대 자전거 타는 여성들이 늘면서 탄생한 패션을 이야기한다.  우리는 종종 주변 사람들의 시선이나 평가가 두려워 하고 싶은 일을 포기하거나 망설이는가 하면, 고민하기도 한다. 부당하다는 것을 알면서도 쉽게 나서지 못하기도 한다. 자신도 모르게 그에 동조하는 결과로 이어짐을 잘 알면서, 또한 그로 피해자가 되기도 하면서 말이다. 그래서 사회의 그릇된 편견에 맞서 자신의 꿈을 이룬 알폰시나 스트라다의 이야기가 많은 사람들에게 알려졌으면 싶은 마음이 크다.저작권자(c) 오마이뉴스(시민기자), 무단 전재 및 재배포 금지"
