,contents
0,"행정안전부는 정체전선의 영향으로 전국에 거센 비바람이 몰아칠 것으로 예상됨에 따라 29일 오후 4시를 기해 중앙재난안전대책본부(중대본) 1단계를 가동해 비상근무에 들어갔다고 밝혔다.    기상청에 따르면 이번 비는 이날 낮부터 제주도와 전남 해안지방을 시작으로 저녁에는 전국으로 확대될 전망이다. 30일 새벽까지 강원 영동과 경북 동해안을 중심으로 최대 300㎜ 이상의 매우 많은 비가 내리겠고 태풍급 강풍도 예보됐다.    현재 제주도와 전남 해안·흑산도·홍도 지역에 호우주의보가 발효 중이다. 또 전국 대부분의 지방에 이날 밤 발효 예정으로 호우 예비특보가 내려졌다.    이에 따라 행안부는 이날 오전 전국 지방자치단체와 긴급 대처상황 영상회의를 열어 비상대응체계 가동 등 상황관리를 철저히 해 달라고 당부했다. 세찬 비바람[연합뉴스 자료사진]    특히 취약시간대인 새벽에 집중호우로 피해가 발생할 가능성이 있으므로 배수펌프장 가동 준비, 산사태 위험지역 등 인명피해 우려지역 예찰·점검 강화, 둔치주차장·지하차도 출입통제 등 사전 안전조치를 요청했다.     아울러 신종 코로나바이러스 감염증(코로나19) 선별진료소 천막이나 폭염대비 그늘막, 옥외간판, 비닐하우스 등 강풍 피해가 예상되는 옥외시설물 안전관리에도 각별히 유의해달라고 강조했다.    김계조 행안부 재난안전관리본부장은 ""하천 흐름을 방해하는 자재와 토사를 제거하고, 위험지역 공사장은 작업을 중지하며, 재해복구사업장에서는 침수방지 안전조치를 해 비 피해가 발생하지 않도록 해 달라""고 말했다.    "
1,"연합뉴스 자료사진장마전선이 북상하면서 전국에 강한 비바람이 몰아칠 것으로 예상된다.행정안전부는 29일 오후 4시를 기해 중앙재난안전대책본부(중대본) 1단계를 가동해 비상근무에 들어갔다고 밝혔다.기상청에 따르면 이번 비는 이날 낮부터 제주도와 전남 해안지방을 시작으로 저녁에는 전국으로 확대될 전망이다. 30일 새벽까지 강원 영동과 경북 동해안을 중심으로 최대 300㎜ 이상의 매우 많은 비가 내리겠고 태풍급 강풍도 예보됐다.현재 제주도와 전남 해안·흑산도·홍도 지역에 호우주의보가 발효 중이다. 또 전국 대부분의 지방에 이날 밤 발효 예정으로 호우 예비특보가 내려졌다.행안부는 “취약시간대인 새벽에 집중호우로 피해가 발생할 가능성이 있으므로 배수펌프장 가동 준비, 산사태 위험지역 등 인명피해 우려지역 예찰·점검 강화, 둔치주차장·지하차도 출입통제 등 사전 안전조치 취해 달라”고 당부했다.아울러 “신종 코로나바이러스감염증(코로나19) 선별진료소 천막이나 폭염대비 그늘막, 옥외간판, 비닐하우스 등 강풍 피해가 예상되는 옥외시설물 안전관리에도 각별히 유의해 달라”고 강조했다.김계조 행안부 재난안전관리본부장은 “하천 흐름을 방해하는 자재와 토사를 제거하고, 위험지역 공사장은 작업을 중지하며, 재해복구사업장에서는 침수방지 안전조치를 해 비 피해가 발생하지 않도록 해 달라”고 전했다.권남영 기자"
2,"현대자동차가 장기화되고 있는 코로나19에 대비하기 위해 다음달 31일까지 현대차 고객을 대상으로 '차량 실내 공기 케어 서비스'를 실시한다고 29일 밝혔다.이번 서비스는 코로나19로 높아진 공기 질에 대한 우려를 해소하고 차량 내 머무는 시간이 많아지는 여름 장마철과 휴가 시즌을 맞아 차량 내 쾌적한 공기를 제공하고자 마련됐다. 이번 서비스는 차량 서비스 네트워크인 '블루핸즈'를 방문한 고객을 대상으로 진행된다. Δ친환경 성분 에어케어 케어포그 무상 지원 서비스(선착순 5만명) Δ헤파(HEPA)급 에어컨∙히터 필터 15% 할인서비스 등 두 가지다.에어케어 케어포그 무상지원 서비스를 이용하고자 하는 고객은 차량을 입고하기 전 통합 고객 서비스 앱 'myHyundai(마이현대)'에서 '케어포그 무상쿠폰'을 다운로드 한 후 기간 내 방문하면 된다.해당 서비스는 전국 블루핸즈에서 제공될 예정이다. 대상 차종은 현대차 승용 및 RV 전 차종을 대상으로 진행된다. 직영 서비스센터 및 상용 전담 블루핸즈는 제외된다.현대차 관계자는 ""여름철, 코로나19로 인해 차량 실내 공기에 대한 관심이 높아진 고객들을 위해 이번 서비스를 기획했다""며 ""앞으로도 고객들의 안전한 차량 운행을 위하여 다양한 프로모션을 실시할 것”이라고 말했다"
3,"29일 오전 서울 중구 롯데백화점 본점 LG전자 매장에서 모델들이 장마철에 유용한 가전 제품 제습기, 스타일러, 워시타워을 선보이고 있다.   2020.6.29   "
4,"29일 서울 중구 롯데백화점 본점 LG전자 매장에서 모델들이 장마철을 맞아 제습기, 스타일러, 워시타워 등 장마철에 유용한 가전제품을 선보이고 있다.  2020.6.29/뉴스1juanito@news1.kr"
5,"우울감을 떨치려면 따뜻한 물로 샤워하는 것이 도움이 된다./사진=게티이미지뱅크여름 장마철에 접어들면서 비 오는 날이 잦아지고 있다. 그런데 날이 우중충하면 나도 모르게 우울감이 커질 수 있다. 우울감을 떨쳐내는 데 도움 되는 4가지 방법을 소개한다.▷햇볕 최대한 많이 쬐기=햇볕은 우울감을 크게 완화한다. 세로토닌이라는 신경전달물질 양을 늘리기 때문이다. 실제 우울증 환자들도 '세로토닌 재흡수 억제제(SSRI)'를 처방받아 세로토닌 양을 늘리는 치료를 받는다. 낮에 햇볕을 쬐는 것은 저녁에 잠을 유도하는 멜라토닌 분비를 늘려 수면 주기를 바로 잡는 데에도 효과적이다. 수면주기가 규칙적이어야 우울감이 해소된다. 실제 빛을 이용한 광(光)치료는 정신의학계에서 정식 우울증 치료법으로 인정받기도 했다.▷일주일에 3회, 45분 이상 운동하기=운동은 항우울제만큼의 효과를 낸다는 연구 결과가 많다. 다만, 일주일에 3~5회, 한 번에 최소 45분 이상, 중등도 강도로 운동해야 한다. 운동 강도를 높일수록, 팔다리를 많이 움직일수록 세로토닌 분비량이 더 늘어난다. 등에 땀이 나고 옆 사람과 이야기하기 조금 버거울 정도의 강도로 운동하면 적당하다. 운동은 햇볕을 쬈을 때처럼 체내 세로토닌 양 증가에도 도움을 준다. 운동 중에는 심장이 빨리 뛰어 뇌로 가는 혈액량이 늘고, 이것이 무기력증을 완화하는 효과를 내기도 한다.​▷반신욕 등으로 체온 높이기=반신욕이나 사우나 등으로 체온을 높이는 것도 좋다. 실제 우울증 환자의 심부 체온을 1.5~2도 올렸더니 항우울제를 먹은 것과 동일한 효과가 나타났다는 연구가 있다. 체온을 올리는 것들이면 다 도움이 되기 때문에 따뜻한 물로 샤워하는 것도 우효과가 있다.▷같은 시간에 자고 깨기=우울감을 떨쳐내려면 매일 같은 시간에 자고 일어나는 게 중요하다. 그래야 기분 변동이 덜하고, 불면증을 막을 수 있다. 실제 수면주기만 개선해도 우울감이 크게 개선되는 우울증 환자가 많다.​/ 이해나 헬스조선 기자"
6," 생활문화기업 LF(대표 오규식)의 대표 남성복 브랜드 마에스트로가 습하고 무더운 장마철에도 쾌적한 스타일을 유지 해주는 ‘아이스 팬츠’를 출시한다고 29일 밝혔다.아이스 팬츠는 지난해 봄·여름 시즌 LF의 공식 온라인 쇼핑몰 LF몰 남성복 팬츠 카테고리에서 누적판매 1위를 기록한 마에스트로 대표 인기 아이템이다. 상쾌한 착용감, 세련된 디자인, 높은 실용성 세 가지 요소를 모두 갖춘 팬츠로 덥고 습한 날씨 속 출퇴근 하는 30~40대 직장인 남성들 사이에서 해마다 큰 인기를 얻고 있다.닿는 순간 시원한 감촉이 느껴지는 아이스 팬츠는 흡습·속건 기능성을 갖춘 경량 폴리에스터 소재를 사용해 높은 습도에도 청량감을 선사한다. 여기에 올해는 허릿단에 밴딩 디테일을 추가하고 신축성을 강화해 사무실에 오래 앉아 있을 때나 식사 후에도 편안한 착용감을 제공한다. 또, 바지의 핏을 좌우하는 주름선에 특수 열처리 공법을 적용해 세탁 시 제품의 형태가 틀어지지 않는 워셔블 기능을 더했다. 일반적인 남성복 슬랙스와는 달리 세탁기에 돌릴 수 있어 비와 땀으로 세탁을 자주해야 하는 장마철에 더욱 유용하다.발목까지 떨어지는 최적의 기장감과 간결한 핏으로 워셔블 니트, 셔츠, 티셔츠 등 어떤 상의와도 쉽게 코디할 수 있어 비즈니스룩과 주말룩을 동시에 연출할 수 있다. 다양한 고객 취향을 반영해 격식을 갖춘 느낌의 포멀 슬랙스 외에도 자연스러운 멋의 캐주얼 치노 팬츠 스타일도 함께 구성했다. 아이보리, 그레이, 블랙, 네이비 등 가장 손길이 많이 가는 색상을 중심으로 다양하게 출시됐으며, 가격은 12만9000원이다.윤성혁 LF 마에스트로 팀장은 “비가 자주 오고 습도가 높은 날씨에는 바지가 쉽게 젖고 눅눅해지기 때문에 스타일링에 고민을 느끼는 남성들이 많다”라며 “아이스 팬츠는 장마철에 대비해 시원한 촉감과 편안한 착용감은 물론, 세탁이 간편한 워셔블 기능까지 갖췄다""고 말했다. 조유진 기자"
7,"  생활문화기업 LF의 대표 남성복 브랜드 마에스트로(MAESTRO)가 습하고 무더운 장마철에도 쾌적한 스타일을 유지해주는 아이스 팬츠를 출시한다고 29일 밝혔다.마에스트로가 본격 장마철을 맞아 시원한 촉감으로 불쾌지수를 낮춰줄 ‘아이스 팬츠’를 업그레이드해 선보인다. 아이스 팬츠는 지난해 봄·여름 시즌 LF의 공식 온라인 쇼핑몰 LF몰 남성복 팬츠 카테고리에서 누적판매 1위를 기록한 마에스트로 대표 인기 아이템이다. 상쾌한 착용감, 세련된 디자인, 높은 실용성 세 가지 요소를 모두 갖춘 팬츠로 덥고 습한 날씨 속 출퇴근하는 30~40대 직장인 남성들 사이에서 해마다 큰 인기를 얻고 있다. 닿는 순간 시원한 감촉이 느껴지는 아이스 팬츠는 흡습·속건 기능성을 갖춘 경량 폴리에스터 소재를 사용해 높은 습도에도 청량감을 선사한다. 여기에 올해는 허릿단에 밴딩 디테일을 추가하고 신축성을 강화해 사무실에 오래 앉아 있을 때나 식사 후에도 편안한 착용감을 제공한다. 바지의 핏을 좌우하는 주름선에 특수 열처리 공법을 적용해 세탁 시 제품의 형태가 틀어지지 않는 워셔블 기능을 더했다. 일반적인 남성복 슬랙스와 달리 세탁기에 돌릴 수 있어 비와 땀으로 세탁을 자주해야 하는 장마철에 더욱 유용하다.발목까지 떨어지는 최적의 기장감과 간결한 핏으로 워셔블 니트, 셔츠, 티셔츠 등 어떤 상의와도 쉽게 코디할 수 있어 비즈니스룩과 주말룩을 동시에 연출할 수 있다. 다양한 고객 취향을 반영해 격식을 갖춘 느낌의 포멀 슬랙스 외에도 자연스러운 멋의 캐주얼 치노 팬츠 스타일도 함께 구성했다. 아이보리, 그레이, 블랙, 네이비 등 가장 손길이 많이 가는 색상을 중심으로 다양하게 출시됐으며 가격은 12만9000원이다.윤성혁 LF 마에스트로 팀장은 ""비가 자주 오고 습도가 높은 날씨에는 바지가 쉽게 젖고 눅눅해지기 때문에 스타일링에 고민을 느끼는 남성들이 많다""며 ""장마철에 대비해 시원한 촉감과 편안한 착용감은 물론 세탁이 간편한 워셔블 기능까지 갖춘 아이스 팬츠를 선보여 고객들의 불쾌지수를 낮춘다""고 말했다.마에스트로의 아이스 팬츠 및 워셔블 니트 등 시원한 쿨비즈룩 아이템과 관련 기획전은 LF몰에서 만나볼 수 있다.오정은 기자"
8," 본격적인 장맛비가 시작된 가운데 기상청에 따르면 한 달 가량 집중호우와 무더위가 번갈아 나타날 것으로 예상하고 있다.장마철에는 비를 피해 실내에서 보내는 시간이 길어지기 마련이다. 코로나19까지 겹치면서 바깥 외출 대신 집에 머물며 홈술, 홈카페를 즐기는 소비자들이 많다. 이에 식음료 업계에서는 홈칵테일, 홈베이커리 등 집에서 누구나 손쉽게 만들 수 있는 다양한 DIY(Do it yourself) 제품들이 관심을 얻고 있다.식음료 건강기업 일화의 초정토닉워터는 술집이나 바에 갈 필요 없이 집에서 간편하게 칵테일을 만들 수 있는 믹싱주다. 상큼한 레몬버터향을 첨가해 과일의 풍미를 더했다. 초정토닉워터와 소주를 넣으면 쏘토닉, 위스키와 레몬즙을 섞으면 하이볼 등 다양한 칵테일을 제조할 수 있다. 과일청과 혼합해 상큼한 과일에이드를 만들 수 있어 홈술, 홈카페족들에게 인기다.발효기 제조기업 슬로동양평이 만든 막걸리 키트는 집에서 어렵지 않게 막걸리를 만들 수 있도록 제작된 수제 키트다. 구성품인 밑술쌀에는 고두밥과 누룩이 황금비율로 맞춰져 있어 물만 부어주면 전분이 누룩의 효소로 가수분해돼 달달하게 당화된다. 이 과정에서 효모들이 증식돼 맛을 결정하는 밑술이 단 이틀만에 완성된다. 여기에 덧술쌀을 넣어주고 물을 채워주면 2시간 후부터 막걸리 발효가 시작된다. 투명한 전용 발효용기에서 발효 전 과정을 관찰할 수 있어 호기심이 많은 아이들과 학생들을 위한 교육 효과까지 얻을 수 있다. SPC그룹 파리바게트도 에어프라이어 전용 홈베이커리 제품 2종을 새롭게 출시했다. 버터의 풍미를 더한 ‘미니 크라상’, 고소하고 바삭바삭한 식감의 빵에 진한 풍미의 모짜렐라 치즈를 넣은 ‘바삭 치즈볼’ 등 두 가지다. 한 입에 먹기에 알맞은 앙증맞은 크기다. 별도의 해동과정 없이 에어프라이어로 10분간 구워내면 완성되기 때문에 집에서도 손쉽게 만들 수 있다. 소셜미디어 상에서 화제가 되고 있는 크로플(크로아상+와플)도 ‘미니 크라상’을 와플팬에 눌러 간편하게 만들 수 있다.GS25가 출시한 ‘탕후루 키트’는 유튜브에서 꾸준하게 인기를 끌었던 콘텐츠인 ‘탕후루 만들기’를 쉽게 성공할 수 있도록 돕는 제품이다. 보름 만에 누적 판매량 10만 개를 돌파할 정도로 인기를 끌었다. 탕후루는 설탕 시럽을 입힌 과일을 꼬치처럼 먹는 중국 간식으로 키트엔 세척된 과일, 시럽과 함께 과일을 꽂을 수 있는 나무 막대, 전자레인지 전용 종이컵이 들어있다.일화 관계자는 “비 소식에 코로나까지 겹치면서 바깥 외출 보다 집에서 보내는 시간들이 많아지고 있다. 외출 대신 집에서 분위기를 내는 소비자들이 많아지면서 다양한 분야의 DIY 제품들이 인기”라고 말했다. "
9,"폭우가 쏟아진 날 서울 광화문 광장에서 우산을 쓰고 지나가는 시민들. 장마전선의 영향으로 29일 밤부터 30일까지 서울과 수도권을 포함한 중부지방에 100㎜ 이상 많은 비가 내릴 것으로 보인다. 뉴스1       밤사이 전국에 태풍 수준의 비바람이 쏟아진다.      기상청에 따르면 29일 남부지방부터 시작된 장맛비가 전국으로 확대돼, 중부지방을 중심으로 30일 새벽까지 돌풍과 천둥‧번개를 동반한 강한 비가 예상된다. 동풍의 영향으로 동해안에도 시간당 80㎜가 넘는 폭우가 내리는 곳이 있겠다.      30일 자정을 기점으로 전 해상에 풍랑주의보, 전 해안가 지역과 서울수도권에 강풍주의보, 내륙 산지를 제외한 전 지역에 호우주의보가 내려진다. 강풍과 폭우로 인한 시설물 피해에 유의해야한다.      0629 오후 6시 30분 기준 전국 특보 현황. 전 해상에 풍랑특보, 전국에 호우주의보, 제주 산지에는 호우경보가 발령됐다. 자료 기상청      ━   장마전선이 태풍같은 비바람을 몰고왔다       장마전선을 동반한 저기압 중심이 서해상에서 강한 바람을 만들고 있다. 자료 기상청       이번 폭우를 만든 건 제주도 남쪽해상에서 장마전선을 끌고 올라오던 저기압이다. 기상청 윤기한 사무관은 “서쪽의 저기압이 서해상에서 북서풍을 타고 내려온 차고 건조한 공기와 만나 더 강해지고 비구름을 넓혔다”며 “전국 대부분 지역에 많은 비와 함께 태풍 수준의 강풍이 불 것”이라고 말했다.       장마전선이 표시된 일기도. 자료 기상청       전국 해안과 도서지역에는 시속 35~60㎞의 매우 강한 바람이 예상된다. 일부 지역에서는 최대순간풍속이 70㎞/h에 달해, 태풍(초속 17m 이상) 수준의 바람이 불 것으로 보인다. 해상에는 물결이 2~5m로 높게 일고, 동해상에는 시속 45~90㎞의 바람이 불면서 물결이 7m까지도 높게 일 것으로 보여 선박 운항에 유의해야 한다.     ━   중부 150㎜, 동해안 300㎜ 비      29일 오후 7시 예측 강수 현황. 자료 기상청       비는 남서쪽부터 시작했지만 30일까지 예상되는 비는 중부지방이 더 많다. 29일 오전부터 비가 내린 남부지방의 예상 강수량(30일까지)은 20~80㎜, 서울‧경기를 비롯한 중부지방의 예상 강수량은 50~100㎜다. 시간당 30㎜의 강한 비, 150㎜이상 많은 비가 내리는 곳도 있다.       윤 사무관은 ""원래 저기압의 북쪽에 비가 더 많이 오기도 하고, 바람이 충청도 등 중부지방에 모이면서 비구름도 모여들기 때문""이라며 ""동쪽에서 불어들어오는 비구름과 서쪽 비구름이 만나는 지점이기도 하다""고 설명했다.      장마전선을 낀 비구름은 서해안에 위치해있지만, 동해안에도 비가 많이 내린다. 저기압을 향해 불어들어가는 동풍이 동해상의 습기를 끌고 육지로 들어오면서 동해안과 강원영동지방은 30일까지 100~200㎜, 많은 곳은 300㎜의 폭우가 예상된다. 시간당 80㎜ 이상 강하게 비가 내리는 곳도 있을 것으로 보인다.     ━   30일 선선, 오후 비 그쳐       비가 내리면서 온도가 내려가고, 구름이 햇빛을 가리면서 30일 낮 최고기온은 21~28도로 29일과 비슷하게 선선한 날씨가 예상된다.        비는 30일 오후 3시 이후 대부분 그친다. 다만 강원영동과 경북동해안은 동풍의 영향이 남아있어 7월 1일 오전까지도 비가 내리는 곳이 있겠다.      김정연 기자 kim"
