,contents
0,"'침출수매립시설 환원정화설비' 1단계 설비 가동(지디넷코리아=박영민  기자)폐기물 매립장에서 발생한 침출수를 외부로 방류하지 않고, 매립장으로 재순환하는 설비가 국내에선 처음으로 도입된다.환경부 산하 수도권매립지관리공사는 이 같은 기능의 침출수매립시설 환원정화설비 1단계 시설 설치를 완료하고, 본격적인 설비 가동에 들어간다고 29일 밝혔다.환원정화설비는 미국 환경청(EPA)에서 '바이오리엑터'라는 명칭으로 개념을 규정하고 있는 시설로, 미국·유럽 등 여러 국가가 기술 개발에 노력을 기울이고 있다.환경부는 2006년부터 수도권매립지관리공사를 중심으로 장기간의 연구와 2016년 '폐기물관리법' 시행규칙 개정을 통한 세부적 설치·관리 기준을 마련, 실제 설비를 처음으로 도입하게 됐다.환원정화설비는 매립장에서 발생한 침출수를 일 최대 3천200톤(t)까지 제2매립장의 24개 블록 가운데 내측 8개 블록으로 재순환하는 시설이다.공사는 향후 일 최대 2천600톤의 침출수를 제2매립장의 나머지 16개 블록에 재순환시키는 2단계 시설 등을 추가로 설치할 예정이다. 이를 통해 매립지에서 발생한 모든 침출수를 외부로 내보내지 않는 침출수 무방류시스템을 구축하겠다는 목표다.(자료=수도권매립지관리공사)이번 설비 도입으로 주변지역 환경개선 효과뿐만 아니라 매립장 조기 안정화, 추가 전력 생산 등의 경제적 이익이 발생할 것으로 기대된다.침출수 재순환을 통해 매립장 내 함수율이 26%에서 40%로 증가하면, 폐기물의 유기물 분해를 촉진해 제2매립장 사후관리기간을 대폭 단축시키고 사후관리에 필요한 비용 약 1천15억원이 절감 전망이다.또 유기물 분해촉진으로 50메가와트(MW) 발전소의 연료로 활용되는 매립가스 발생도 증가시켜, 약 788억원 상당의 추가 전력까지 생산할 수 있을 것으로 예상된다.공사 관계자는 ""이전까진 생·화학적 공정을 통해 침출수를 처리·방류해왔지만, 이번 설비 도입을 시작으로 침출수 무방류시스템 구축이 완료되면 주변 수·생태계에 대한 환경 영향을 근본적으로 없앨 수 있다""고 설명했다.이어 ""이중관으로 구성된 침출수 재순환 관로가 침출수 주입과 매립가스 포집 기능을 동시에 수행해 악취물질인 매립가스의 발산량과 주변지역 환경 영향을 최소화하고 온실가스 배출을 대폭 감소시킬 것으로 기대된다""고 덧붙였다.원종철 수도권매립지관리공사 물환경처장은 ""이번 설비를 통해 수도권매립지는 저탄소 매립지뿐만 아니라, 냄새·먼지·침출수 방류가 없는 '3무(無) 매립지' 실현에 한 발 더 다가설 것""이라고 말했다.박영민 기자"
1,"[아시아경제 박혜숙 기자] 폐기물 매립장에서 발생한 침출수를 외부로 방류하지 않고 매립장으로 재순환하는 설비가 국내 첫 도입된다.수도권매립지관리공사는 침출수매립시설 환원정화설비 1단계 시설을 완료, 본격적인 설비 가동에 들어간다고 29일 밝혔다.환원정화설비는 미국 환경청(EPA)에서 '바이오리엑터'라는 명칭으로 개념을 규정하고 있는 시설로, 미국과 유럽 등 여러 국가가 관련 기술 개발에 힘 쓰고 있다.환경부는 2006년부터 수도권매립지관리공사를 중심으로 장기간의 연구와 2016년 폐기물관리법 시행규칙 개정을 통한 세부적 설치·관리 기준을 마련해 이번에 실제 설비를 처음 도입하게 됐다.환원정화설비는 매립장에서 발생한 침출수를 하루 최대 3200t까지 제2매립장의 24개 블록 중 내측 8개 블록으로 재순환하는 시설이다.매립지공사는 향후 하루 최대 2600t의 침출수를 제2매립장의 나머지 16개 블록에 재순환하는 2단계 시설을 추가로 설치해 매립지에서 발생한 모든 침출수를 외부로 내보내지 않는 침출수 무방류시스템을 구축할 계획이다.공사는 이번 설비 도입으로 주변지역 환경개선 효과 뿐만 아니라 매립장 조기 안정화, 추가 전력 생산 등의 경제적 이익이 발생할 것으로 기대하고 있다.이중관으로 구성된 침출수 재순환 관로가 침출수 주입과 매립가스 포집 기능을 동시에 수행해 악취물질인 매립가스의 발산량과 주변지역 환경 영향을 최소화하고, 온실가스 배출을 대폭 감소시킬 것으로 전망된다.또 침출수 재순환을 통해 매립장 내 함수율이 증가(26% → 최대 40%)하면 폐기물의 유기물 분해를 촉진해 제2매립장 사후관리기간을 대폭 줄이고 관리비용도 1015억원 가량 절감될 것으로 보인다.유기물 분해촉진으로 50MW 발전소의 연료로 활용되는 매립가스 발생도 증가시켜 788억원 상당의 추가 전력까지 생산할 수 있을 것으로 예상된다.원종철 수도권매립지관리공사 물환경처장은 ""이번 설비를 통해 수도권매립지는 저탄소 매립지 뿐만 아니라, 냄새·먼지·침출수방류가 없는 3무(無) 매립지 실현에 한 발 더 다가설 것으로 기대한다""고 말했다.박혜숙 기자"
2," 폐기물 매립장에서 발생한 침출수를 외부로 방류하지 않고, 매립장으로 재순환시키는 설비가 국내 첫 도입된다.환경부 산하 수도권매립지관리공사는 30일 이 같은 기능의 침출수매립시설 환원정화설비 1단계 시설의 설치를 완료하고, 본격적인 설비 가동에 들어간다고 29일 밝혔다. 환경부는 2006년부터 수도권매립지관리공사를 중심으로 장기간의 연구와 2016년 ‘폐기물관리법’ 시행규칙 개정을 통한 세부적 설치·관리 기준 마련해 이번에 실제 설비를 처음으로 도입하게 됐다.환원정화설비는 미국 환경청(EPA)에서 ‘바이오리엑터’라는 명칭으로 개념을 규정하고 있는 시설로 매립장에서 발생한 침출수를 일 최대 3200t까지 제2매립장의 24개 블록 중 내측 8개 블록으로 재순환시키는 시설이다.앞으로 일 최대 2600t의 침출수를 제2매립장의 나머지 16개 블록에 재순환시키는 2단계 시설 등을 추가로 설치해, 매립지에서 발생한 모든 침출수를 외부로 내보내지 않는 침출수 무방류시스템을 구축할 계획이다. 이번 설비 도입으로 주변지역 환경개선 효과뿐만 아니라 매립장 조기 안정화, 추가 전력 생산 등의 경제적 이익이 발생할 것이라는 설명이다.수도권매립지관리공사 관계자는 “기존에 생·화학적 공정을 통해 침출수를 처리·방류했지만 이번 설비 도입을 시작으로 침출수 무방류시스템 구축이 완료되면 주변 수·생태계에 대한 환경 영향을 근본적으로 없앨 수 있다”며 “이중관으로 구성된 침출수 재순환 관로가 침출수 주입과 매립가스 포집 기능을 동시에 수행해 악취물질인 매립가스의 발산량과 주변지역 환경 영향을 줄이고 온실가스 배출을 대폭 감소시킬 것으로 기대된다”고 설명했다.아울러 침출수 재순환을 통해 매립장 내 함수율이 증가하면 폐기물의 유기물 분해를 촉진해서, 제2매립장 사후관리기간을 대폭 줄이고 사후관리에 필요한 비용도 약 1015억 원이 절감될 전망이다. 또 유기물 분해촉진으로 50MW 발전소의 연료로 활용되는 매립가스 발생도 증가시켜 약 788억 원 상당의 추가 전력까지 생산할 수 있을 것으로 예상된다.원종철 수도권매립지관리공사 물환경처장은 “이번 설비를 통해 수도권매립지는 저탄소 매립지뿐만 아니라, 냄새·먼지·침출수방류가 없는 3무(無) 매립지 실현에 한 발 더 다가설 것으로 기대된다”고 강조했다.침출수매립시설 환원정화설비(1단계) 설치공사 계통도(자료=환경부 제공)최정훈 "
3,"[헤럴드경제=박세정 기자] SK텔레콤은 코로나19로 어려움 겪는 기업들을 위해 전력 비용 컨설팅 및 관리 서비스인 ‘E-옵티마이저(Optimizer)’를 한시적으로 무료 제공한다고 28일 밝혔다.'E-옵티마이저'는 SK텔레콤이 새롭게 개발한 전력비용 최적화 서비스다. 한국전력의 고압 요금제를 사용하는 고객이라면 별도의 장비 설치 없이 누구나 이용이 가능하다. 이번 무료 프로모션은 자사 T bizpoint 사이트를 통해 신청할 수 있다.이 서비스는 에너지 사용량이 많은 중대형 빌딩이나 공장의 전력 사용 데이터를 15분 단위로 분석해 현재 고객의 적정 요금제, 전력 사용 패턴 분석, 개선 방안을 컨설팅 보고서 형태로 제공한다.'E-옵티마이저' 기업 고객은 컨설팅 이외에도 ▷설비 담당자에게 매일 최적운전 가이드를 SMS로 제공하는 '일일전력관리' 서비스 ▷다수의 건물 및 공장의 에너지 사용 현황을 관리할 수 있도록 지원하는 '그룹전력관리' 서비스도 이용할 수 있다.SK텔레콤은 기존 'E-옵티마이저' 서비스를 통해 확보한 전력 분석 데이터 및 알고리즘을 확장해 저압 전력 사용 고객을 위한 서비스를 개발 중이다. 이를 통해 이르면 9월 중 소상공인을 위한 전력비용 최적화 서비스를 제공할 계획이다.신용식 Massive IoT사업본부장은 “SK텔레콤은 통신서비스를 넘어 에너지 분야의 사회적 가치 증진에 기여하기 위해 노력하겠다”고 밝혔다"
4,"전력 비용 최적화 서비스 ‘E-Optimizer’ 제공…코로나19 피해 기업 지원 위함(지디넷코리아=선민규  기자)SK텔레콤(대표 박정호)이 고압 전력 이용 기업의 전력 비용 컨설팅 및 관리 서비스인 ‘E-Optimizer’를 한시적으로 무료 제공한다고 28일 밝혔다. 이번 무료제공은 코로나19로 어려움 겪는 기업을 위해 추진됐다.지난해 10월 출시된 'E-Optimizer'는 SK텔레콤이 에너지 사업의 노하우를 토대로 개발한 전력비용 최적화 서비스다. 한국전력의 고압 요금제를 사용하는 고객이라면 별도의 장비 설치 없이 누구나 이용이 가능하다.이 솔루션의 대표 기능은 '전력 비용 최적화 컨설팅'이다. 에너지 사용량이 많아 비용 절감이 절실한 중대형 빌딩이나 공장의 전력 사용 데이터를 15분 단위로 분석해 ▲적정 요금제 ▲전력 사용 패턴 분석 ▲개선 방안 등을 보고서 형태로 제공한다.기업 이용자에게는 지속적인 에너지 절감이 필요한 기업의 과거 에너지 소비 패턴과 기상정보를 바탕으로 설비 담당자에게 매일 최적 운전 가이드를 SMS로 제공하는 '일일 전력관리' 서비스와 다수의 건물 및 공장의 에너지 사용 현황을 관리할 수 있도록 지원하는 '그룹 전력관리' 서비스도 제공된다.SK텔레콤은 기존 E-Optimizer 서비스를 통해 확보한 전력 분석 데이터 및 알고리즘을 확장해 저압 전력 사용 고객을 위한 서비스를 개발 중이다. 이를 통해 이르면 9월 중 소상공인을 위한 전력비용 최적화 서비스를 제공할 계획이다.신용식 매시브 IoT사업본부장은 ""중소기업의 경우 독자적인 에너지 절감 대책 수립과 초기비용 부담의 어려움을 겪고 있는데 E-Optimizer를 통해 전력비용 절감뿐만 아니라 국가적인 에너지 효율 혁신에 동참하여 사회적 비용을 절감하는 데 도움이 되길 바란다”며 “SK텔레콤은 통신 서비스를 넘어 에너지 분야의 사회적 가치 증진에 기여하기 위해 노력하겠다”고 밝혔다.선민규 기자"
5," SK텔레콤이 우리은행‧CJ대한통운 등에서 적용한 전력관리상품을 중소기업 100곳에 6개월간 무료 제공한다.    SK텔레콤(대표 박정호)은 코로나19로 어려움 겪는 기업을 위해 고압 전력 이용 기업 전력 비용 컨설팅 및 관리 서비스인 ‘E-옵티마이저(E-Optimizer)’를 한시적으로 무료 지원한다고 28일 밝혔다.   2019년 10월 출시된 E-옵티마이저는 전력비용 최적화 서비스로, 한국전력 고압 요금제를 사용하는 고객이라면 별도 장비 설치 없이 누구나 이용 가능하다. 전력비용 최석화 컨설팅(1건물 기준)을 포함하는 일일 전력관리 상품으로, 가격은 월 1만1000원이지만 선착순 100곳을 대상으로 6개월간 무료 체험 기회를 마련했다는 설명이다. T비즈포인트 사이트를 통해 신청할 수 있으며, 무료 체험 종료 후 유료가입으로 전환하거나 해지하면 된다.    E-옵티마이저 대표 기능은 전력 비용 최적화 컨설팅이다. 에너지 사용량이 많아 비용 절감이 절실한 중대형 빌딩이나 공장 전력사용 데이터를 15분 단위로 분석해 현재 고객의 적정 요금제, 전력 사용 패턴 분석, 개선 방안을 컨설팅 보고서 형태로 제공하는 서비스다.   고객은 최적화 컨설팅 이외에도 다양한 서비스를 누릴 수 있다. ‘일일전력관리’는 지속적인 에너지 절감이 필요한 기업의 과거 에너지 소비 패턴과 기상정보를 바탕으로 설비 담당자에게 매일 최적운전 가이드를 문자메시지(SMS)로 전달하는 서비스다. 다수의 건물 및 공장 에너지 사용 현황을 관리할 수 있도록 지원하는 그룹전력관리 서비스도 이용 가능하다.   E-옵티마이저 모든 고객사는 통합 대시보드를 통해 각 건물 에너지 사용 현황을 한눈에 볼 수 있고, 모바일기기를 통해서도 관리할 수 있다.    SK텔레콤은 전력 분석 데이터 및 알고리즘을 확장해 저압 전력 사용 고객을 위한 서비스를 개발 중이다. 이르면 9월 중 소상공인을 위한 전력비용 최적화 서비스를 내놓을 계획이다.   한편, 우리은행은 지난해 11월부터 주요 소유건물을 대상으로 E-옵티마이저를 운용하고 있다. 우리은행은 전국 각지 영업점 에너지를 효과적으로 관리하기 위해 이 서비스를 적용했고, 계절에 따른 피크관리를 통해 전력 수요 감축 정책에 동참해 온실가스 감축과 기후변화 완화에 기여할 수 있을 것으로 기대하고 있다.    신용식 Massive IoT사업본부장은 “중소기업의 경우 독자적인 에너지 절감 대책 수립과 초기비용 부담 어려움을 겪고 있다”며 “E-옵티마이저를 통해 전력비용 절감뿐 아니라 국가적인 에너지 효율 혁신에 동참해 사회적 비용을 절감하는데 도움이 되길 바란다”고 말했다.    <최민지 기자>cmj@ddaily.co.kr"
6,"충남도가 온실가스 절감을 위해 당진·보령지역의 환경기초시설 3개소를 대상으로 탄소 중립 프로그램을 추진한다고 28일 밝혔다.환경기초시설에 대한 탄소 중립 프로그램은 환경부 공모 사업으로 추진되며 소각장, 폐수·하수처리장, 폐기물처리장 등 에너지 사용량이 많은 환경기초시설에 태양광·소각폐열 등 신재생에너지 발전 설비를 설치해 온실가스 배출량을 저감하는 사업이다.올해는 당진 고대부곡하수처리장과 합덕하수처리장, 보령 공공하수처리장 등 총 3개 시설을 대상으로 사업을 추진한다.이번 사업 대상 환경기초시설 3개소에는 총사업비 20억 3000만원을 투입해 총 700㎾ 규모의 태양광 발전 설비를 설치할 예정이다.태양광 발전 설비는 수처리시설 주변 부지와 건축물 옥상 등 가용 가능한 모든 유휴 부지를 활용해 조성한다.태양광 발전 설비를 통해 발생하는 연간 발전량은 Δ당진 고대부곡하수처리장(400㎾) 54만 2025㎾h Δ당진 합덕하수처리장(100㎾) 10만 8405㎾h Δ보령 공공하수처리장(200㎾) 25만 5500㎾h 등 총 90만 5930㎾h로, 이는 지난해 인구 1인당 전력 사용량 기준 우리나라 국민 1090여명이 한 달간 사용할 수 있는 전력량이다.이번 태양광 발전 설비 설치로 예상되는 온실가스 감축량은 연간 414tCO₂eq(이산화탄소 환산톤)다. 소나무 3000여 그루를 심은 효과와 맞먹는다.도 관계자는 “환경기초시설은 지역의 필수 시설로 해당 시설에서 사용되는 에너지의 양 자체를 조절하기는 어렵다”며 “그런 측면에서 신재생에너지 발전을 통해 기존 화석연료 에너지를 대체하는 이 사업은 환경기초시설 온실가스 발생량 감축에 가장 현실적인 방안”이라고 설명했다.이어 “앞으로 사업 대상지 발굴 및 환경부 공모에 적극 대응해 도내 환경기초시설에 신재생에너지 발전 설비 설치를 확대할 것”이라고 덧붙였다"
7,"오른쪽 세번째부터 현대일렉트릭 김영기 전력사업본부장, 한국전력공사 김태용 송변전 운영처장현대일렉트릭은 한국전력공사와 '가스절연변압기 예방진단 기술 업무협약(MOU)'을 교환했다고 24일 밝혔다.양 사는 전력설비 예방진단 기술력을 강화한다. 전력설비 상태를 실시간 감시하고 데이터를 분석, 사전 진단해 최적의 유지 보수를 제공하는 기술을 고도화한다.현대일렉트릭은 오랜 전력설비 제조 경험을 바탕으로 정보통신기술(ICT)과 인공지능(AI) 기반 자산관리 솔루션 사업 진출을 추진하고 있다. 한국전력공사는 2018년 종합 예방진단 시스템을 변전소로 확대 구축했고, 작년부터 AI 도입 예방진단 기술을 개발하고 있다.협약식에는 김영기 현대일렉트릭 전력사업본부장과 김태용 한국전력공사 송변전 운영처장 등이 참석했다.조석 현대일렉트릭 사장은 “이번 기술협력이 변전설비 자산관리 분야 핵심 기술인 예방진단 고도화에 크게 기여할 것”이라며 “글로벌 전력 시장 선점에 주력할 것”이라고 밝혔다.류태웅 기자"
8,"현대중공업그룹의 전력기기·에너지솔루션 계열사인 현대일렉트릭이 한국전력공사와 손잡고 차세대 전력시장 공략에 나선다.    현대일렉트릭은 최근 한전과 '가스절연 변압기 예방진단 분야 기술협력을 위한 업무협약(MOU)'을 맺었다고 24일 밝혔다.     이번 기술협력은 현대일렉트릭의 전력 설비 예방진단 기술에 한전이 보유한 전력 운용 빅데이터 분석과 설비 유지보수 노하우 등을 접목해 기술력을 강화하기 위한 것이다.현대일렉트릭, 한전과 차세대 전력시장 공략(서울=연합뉴스) 현대일렉트릭이 한국전력공사와 '가스절연변압기 예방진단분야 기술협력을 위한 업무협약을 체결했다.    현대일렉트릭 김영기 전력사업본부장(오른쪽 세 번째), 한국전력공사 김태용 송변전 운영처장(오른쪽 네 번째)이 참석자들과 기념촬영 하고 있다. 2020.6.24     [현대중공업그룹 제공. 재판매 및 DB 금지]"
9," 현대중공업그룹의 전력기기 및 에너지솔루션 계열사인 현대일렉트릭이 한국전력공사와 예방진단 기술 고도화를 통한 차세대 전력시장 공략에 나선다.현대일렉트릭은 최근 한국전력공사와 '가스절연변압기 예방진단분야 기술협력을 위한 업무협약(MOU)'을 체결했다고 24일 밝혔다.현대일렉트릭 나주사무소에서 열린 이번 협약식에는 현대일렉트릭 김영기 전력사업본부장과 한국전력공사 김태용 송변전 운영처장 등이 참석했다.현대일렉트릭-한국전력 가스절연변압기 예방진단 기술협력 MOU [현대일렉트릭]이번 기술협력은 현대일렉트릭의 전력설비 예방진단 기술에 한국전력공사가 보유한 전력 운용 빅데이터 분석 및 설비 유지보수 노하우 등을 접목해 기술력을 강화하기 위한 것이다.현대일렉트릭은 오랜 전력설비 제조 경험을 바탕으로 정보통신기술(ICT)과 인공지능(AI)기반의 예지보전기술을 확보해, 자산관리 솔루션 제공 사업 진출을 추진하고 있다.전력설비 예방진단 기술이란 전력설비 상태를 실시간으로 감시하면서 고장 등 이상 징후에 대한 다양한 데이터를 분석, 사전 진단을 통해 최적의 유지보수를 제공하는 솔루션이다. 이를 통해 사고를 미연에 방지하고 제품의 잔존 수명을 예측할 수 있다.한국전력공사도 지난 1997년 가스절연개폐기에 온라인 예방진단 시스템 도입을 시작으로 2018년 종합예방진단시스템을 변전소로 확대 구축했으며, 2019년부터는 인공지능(AI)을 도입한 예방진단 기술개발을 추진하고 있어, 이번 협약의 시너지 효과가 클 것으로 기대되고 있다.조석 현대일렉트릭 사장은 ""이번 기술협력이 변전설비 자산관리 분야의 핵심기술로 평가받고 있는 예방진단 분야 기술 고도화에 크게 기여할 것으로 기대하고 있다""며 ""정보통신기술과 인공지능 기반의 자산관리 솔루션을 통해 차세대 글로벌 전력 시장을 선점하는데 주력할 방침""이라고 밝혔다.이영웅기자"
