,contents
0," 제약업계가 건강기능식품 사업을 강화하고 있다. 여러 제약사가 자체 쇼핑몰을 개설과 함께 제품 라인업을 강화하고 있다. 유한양행은 '가짜 백수오 사태'의 여파에서 벗어나지 못한 내츄럴엔도텍에 대한 지분투자 및 경영참여로 갱년기 증상 완화 시장에 진출한다. 29일 제약업계에 따르면 유한양행은 건강기능식품 제조업체 서흥과 손잡고 내츄럴엔도텍의 백수오 추출물로 만든 건강기능식품을 자회사 유한생활건강의 건강식품 매장 뉴오리진을 통해 판매한다. 유한양행은 내츄럴엔도텍의 지분 13.32%를 최근 확보했고, 이 회사의 주요 주주인 서흥으로부터 액면가 기준 110억원어치의 전환사채를 자회사인 유한생활건강과 함께 사들였다. 전환사채를 주식으로 전환하고 나면 유한양행은 내츄럴엔도텍의 3대주주가 된다. 1대 주주는 서흥이다. 내츄럴엔도텍은 다음달 6일 임시주주총회를 열고 방금덕 서훙 사장과 강종수 유한생활건강 대표를 각각 비상무이사로 선임하고, 상호를 큐엘에이치앤비로 바꿀 계획이라고 공시했다. 내츄럴엔도텍은 주력 제품의 원료인 백수오가 여성 갱년기 증상을 완화해줄 수 있다는 사실이 관심을 끌며 사세를 확장해갔지만, 지난 2015년 제품에 식품 원료로 사용할 수 없는 이엽우피소가 혼입됐다는 의혹으로 소비자 신뢰를 잃었다. 검찰 수사 결과 무혐의 처분을 받고 식품의약품안전처의 독성시험 및 위해평가에서 안전하다는 결론이 나왔지만, 소비자 신뢰를 회복하지 못하다 결국 올해 2월 내츄럴엔도텍은 상장폐지실질심사 대상에 올라 주식거래가 정지됐다. 올해 들어 제약업계의 건강가능식품 사업 강화 바람이 거세다. 신종 코로나바이러스 감염증(코로나19) 확산 사태로 인해 건강에 대한 관심이 높아지면서 관련 기능성식품에 대한 수요가 증가하는 트렌드에 올라타려는 것이다. 우선 여러 제약업체가 제품 라인업 강화에 나서면서 소비자들의 선택지가 넓어지고 있다. 동아제약은 올해 일반의약품이던 써큐란을 건강기능식품으로 전환하고 한편, 어린이용 영양제 미니막스를 리뉴얼 출시했다. 대웅제약은 간, 장, 눈, 혈행 등 건강 관리에 도움이 되도록 성분과 함량을 구성한 건강기능식품 6종을 출시했다. JW생활건강도 건강기능식품 브랜드 '마이코드(mychord)'를 론칭하고 최근 신제품 3종을 선보였다. 자체 쇼핑몰 개설 등을 통해 유통에도 직접 뛰어들고 있다. 동아제약은 :DMall을, JW생활건강은 마이코드몰을, 대웅제약은 대웅제약몰 각각 오픈하고 각종 이벤트를 이어가고 있다. 특히 대웅제약은 퀴즈앱 잼라이브, 간편송금앱 토스, 헬스케어플랫폼 캐시워크 등과 각각 협력한 이벤트를 통해 건강기능식품 홍보에 열을 올리고 있다. [한경우 기자"
1,"대웅제약 나보타대웅제약 보툴리눔톡신 제제 ‘나보타’가 아시아 시장 영향력 확대에 나섰다. 이번에 대만에서 품목허가를 받아 중화권 진출 초읽기에 들어갔다.대웅제약은 최근 대만 위생복리부 식품약물관리서(Taiwan Food and Drug Administration, TFDA)로부터 나보타 미간주름 적응증에 대한 품목허가를 획득했다고 23일 밝혔다.대만은 동남아시아 지역 내에서 미용시장 성장이 기대되는 국가로 꼽힌다. 이번 허가를 통해 아시아 미용성형시장에서 나보타 위상을 한 단계 높일 수 있을 것으로 대웅제약은 기대하고 있다. 현재 나보타는 동남아시아 국가 중 태국과 필리핀, 베트남, 인도 등에서 발매됐다. 지난 12월에는 인도네시아에서 품목허가를 획득한 바 있다. 대웅제약은 올해 하반기 중 대만에서 나보타를 발매할 계획이다. 나보타 대만 판매는 파트너업체 ‘오리엔트 유로파마(Orient Europharma)’가 맡는다. 오리엔트 유로파마는 대만에 본사를 둔 글로벌 제약업체다. 미용과 성형 관련 분야에서 주요 파이프라인 및 강력한 영업망을 확보하고 있어 나보타 발매 시 시너지를 기대할 수 있다고 전했다.박성수 대웅제약 나보타 사업본부장은 “대만은 아시아지역에서 미용시장이 급격하게 성장하고 있는 국가 중 하나”라며 “중국 진출을 대비해 성공 가능성을 시험해볼 수 있는 중요한 시장으로 평가하고 있다”고 말했다.한편 대웅제약이 자체 제조해 공급 중인 보툴리눔톡신은 현재 미국과 캐나다, 유럽 등 글로벌 52개국에서 품목허가를 획득했다. 판매 계약을 체결한 국가는 약 80개국이다.동아닷컴 김민범 기자"
2,"바이오기업 알테오젠이 글로벌 제약사와 인간 히알루로니다아제 원천기술에 대해 약 193억원 규모의 비독점적 사용권 계약을 체결했다.24일 공시에 따르면 알테오젠은 글로벌 10대 제약사 가운데 한 업체와 1600만 달러(약 193억6000만원) 규모의 계약을 진행, 자사의 인간 히알루로니다제 기술로 바이오의약품의 정맥주사를 피하주사 제형으로 바꾸어 주는 원천 기술의 권리를 승인했다. 이는 지난해 알테오젠 매출의 66.2%에 달한다.이에따라 해당 제약사는 알테오젠의 인간 히알루로니다아제 기술로 다수의 제품을 개발하고 이를 전 세계에 판매할 수 있게 된다. 또한 이 제약사는 계약금과 별도로 개발 단계별 성공에 따른 기술료(마일스톤 기술료) 38억6500만 달러(약 4조6770억원)를 최대 지급한다. 다만 일부 품목이 임상을 실패하거나 판매금액이 적을 경우 축소될 가능성은 있다.계약 기간은 24일부터 2040년 3월 24일까지이며 계약 상대방 및 구체적인 계약 내용은 경영상 비밀유지 조건에 따라 2040년 6월 23일 이후 공개된다.  장종호 기자"
3,"지난해 말 건국대충주병원의 협찬금 불법 수수 의혹을 제기했던 이 병원 노동조합이 경찰의 신속한 수사를 촉구하고 나섰다.    한국노총 건국대충주병원 노조는 23일 성명을 내고 ""충주경찰서는 병원 측의 청탁금지법 위반 의혹에 대해 즉각 수사해 달라""고 밝혔다.    노조는 ""전 병원장 등이 2017년 2건, 2018년 1건, 2019년 1건 등 4차례 학술대회 명목으로 제약회사들로부터 총 1억3천600여만원의 협찬금을 지원받은 혐의로 국민권익위원회에 진정서를 제출했었고, 권익위는 지난 2월 수사가 필요해 경찰청에 이첩했다고 알려왔다""고 전했다.    그러면서 ""지난 3월 충주경찰서로 사건이 넘어왔음에도 아직 진정인과 병원 관계자에게 출석 요구를 하지 않았다""며 ""우리는 굴지의 제약회사들이 연루돼 있음에 주목한다""고 덧붙였다.    남궁동호 위원장은 ""일부 의료인의 잘못으로 인한 국민 의료비 부담 증가와 국민 건강권 침해를 고쳐나가려는 것""이라고 말했다.건국대충주병원 노조의 지난해 12월 기자회견[박재천 기자 촬영]노조는 지난해 12월 기자회견에서 ""학교 측은 2018년 5월 18∼19일 상시 콘퍼런스를 학술대회라는 합법 행사로 가장해 제약업체 등 거래업체들로부터 상당한 공개·비공개 지원을 받은 의혹이 있다""며 ""경리과 입금자료를 보면 43개사로부터 3천597만원의 협찬금을 받아 행사를 진행했다""고 주장했다.    또 ""지난 2월에는 이 모 교수의 정년 퇴임식을 겸한 동계학술대회 명목의 행사에 (앞서) 병원 내부용 자료와 다른 내용으로 협찬을 유도, 부스 설치와 광고 명목으로 35개사로부터 3천762만원을 받았다""고도 했다.   "
4,"국가조달 백신 입찰 과정에서 도매업체에게 편의를 제공해주겠다며 금품을 받은 혐의로 재판에 넘겨진 제약사 임직원이 1심에서 실형을 받았다.서울중앙지법 형사4단독 김세현 판사는 26일 배임수재 혐의로 기소된 사노피 파스퇴르 임직원 이모씨에 대해 징역 3년6개월을 선고했다. 또 이씨가 받은 17억8000여만원에 대해 추징을 명령했다.재판부는 ""이씨가 오랜 기간 거래업체와 그 관계자들로부터 돈을 받아왔다""며 ""위법하게 취득한 돈의 합계가 17억원이 넘는 상당한 규모로 범행의 죄질이 좋지 않다""고 밝혔다.다만 ""이씨가 공소사실을 대체로 인정하면서 반성하고 있고, 모든 관계자들에게 돈을 적극 요구한 것은 아니다""라며 ""이씨의 업무처리와 관련해 소속 회사에서 구체적 손해가 발생했다는 자료는 없는 점, 백신관련 수사에 협조하기도 하고 일부 범행은 이씨가 먼저 수사기관에 시인한 점 등을 고려했다""라고 설명했다.이씨는 거래처 보장 등을 대가로 도매업체로부터 17억8000여만원의 금품을 받은 혐의를 받고 있다. 공정거래위원회는 지난해 5월 유아에게 접종하는 결핵 예방용 BCG(Bacille Calmette-Guérin) 백신을 수입·판매하는 업체들이 매출을 늘리려 백신 공급을 중단하는 등 담합을 벌였다며 검찰에 고발했다.검찰은 조달청에서 받은 자료를 기반으로 여러 업체들의 담합 행위 구조를 파악한 것으로 전해졌다. 특히 검찰은 이 과정에서 제약사와 도매업체 사이에 청탁과 뒷돈이 오갔고, 이를 위해 회삿돈을 빼돌린 정황을 발견한 것으로 알려졌다.이와 관련해 검찰은 지난해 11월 의약품 제조 및 유통 업체 10여곳을 입찰방해 등 혐의로 압수수색했다. 지난해 12월에는 한국백신 대표 최모씨를 위계에 의한 공무집행방해 등 혐의로 구속기소하기도 했다.☞공감언론 뉴시스 gahye_k@newsis.com"
5,"유유제약이 에스디바이오센서와 손 잡고 신종 코로나바이러스 감염증(코로나19) 진단키트 수출에 나선다. 에스디바이오센서는 2003년 세계 최초로 사스(SARS) 진단시약을 개발하고 코로나19, 조류인플루엔자, 신종플루, 메르스 등 진단시약을 개발한 국내 진단키트 업체다. 유유제약은 에스디바이오센서와 지난 17일 경기도 수원에스디바이오센서 본사에서 코로나19 진단키트 공급계약을 체결했다고 18일 밝혔다.이번 계약에 따라 유유제약은 에스디바이오센서로부터 코로나19 진단키트를 공급받아 미국에 수출할 계획이다.에스디바이오센서의 코로나19 진단키트는 실시간 유전자 증폭(RT-PCR) 방식으로 바이러스 유전자 반응을 나타낸다. 지난 4월 미국식품의약국(FDA)의 긴급사용승인을 받았고, 미국 연방재난관리청(FEMA)에 납품한 바 있다.유원상 유유제약 대표는 ""유유제약이 보유한 글로벌 네트워크를 활용해 코로나19 진단키트 미국 수출을 1순위로 진행한다""며 ""전세계 코로나19 극복을 위해 양사가 협력하기로 했다""고 밝혔다"
6,"유유제약은 에스디바이오센서와 함께 코로나19 진단키트 수출에 나선다고 18일 밝혔다.양사는 17일 실시간 유전자 증폭(RT-PCR) 방식 코로나19 진단키트 공급 계약을 체결했다. 에스디바이오센서의 코로나19 진단키트는 지난 4월 미국 식품의약국(FDA) 긴급사용승인을 받은 바 있다. 미국 연방재난관리청(FEMA)에도 30만 키트, 520만 달러에 달하는 물량이 납품됐다.유유제약이 공급받는 코로나19 진단키트 모델명은 ‘STANDARD M nCoV Real-Time Detection Kit’다. 코로나19의 특정 유전자 염기서열을 증폭해 진단하는 RT-PCR 방식이다. 인체 내 코와 혀의 인두 부분을 면봉으로 긁어 분비물 샘플을 채취한 후 코로나 바이러스 감염 유무를 검출할 수 있다.에스디바이오센서는 앞서 지난 2003년 세계 최초로 사스 진단시약을 개발한 것을 비롯 조류인플루엔자, 신종플루, 메르스, 에볼라, 지카 바이러스 진단시약을 개발한 국내 대표 진단키트 개발 업체다.유유제약 유원상 대표는 “유유제약이 보유한 글로벌 네트워크를 활용해 코로나19 진단키트 미국 수출을 1순위로 진행하며 향후 전 세계로 판매처를 확장할 계획”이라고 말했다.☞공감언론 뉴시스"
7,"의약품 제조업체인 위더스제약이 내달 코스닥 시장 상장을 추진한다.    위더스제약은 16일 서울 여의도에서 기업공개(IPO) 간담회를 열고 상장 계획을 밝혔다.    2004년 설립된 위더스제약은 전문의약품 제조업체로 노인성 질환에 특화된 약품을 주로 만든다.    회사 측은 중장기 성장을 위해 이중정(알약 하나에 두 개의 의약품을 서로 섞이지 않게 반씩 나누어 합친 정제) 기반의 개량 신약 개발로 노인성 질환 품목군을 강화하고 탈모치료제 시장에 진출하는 것을 목표로 하고 있다고 밝혔다.    성대영 위더스제약 대표이사는 ""공모를 통해 유입된 자금은 회사의 설비 투자 및 이중정 기반 개량신약 연구개발(R&D) 등에 사용할 계획""이라며 ""코스닥 상장을 계기로 설비 선진화 및 기술 역량 강화를 이루고 전문의약품 대표기업으로 우뚝 서겠다""고 말했다.    위더스제약의 총 공모 주식 수는 160만주이며 공모 예정가 범위는 1만3천900∼1만5천900원이다. 공모 예정 금액은 최대 254억원이다.     위더스제약은 오는 18∼19일 수요 예측을 통해 공모가를 확정한 뒤 25∼26일 일반 공모 청약을 진행한다.     내달 상장 예정이며 상장 주관사는 NH투자증권과 삼성증권이 맡았다.   "
8,"의약품 제조업체인 위더스제약이 기업공개, IPO 간담회를 열고 상장 계획을 밝혔습니다.  2004년 설립된 위더스제약은 전문의약품 제조업체로 노인성 질환에 특화된 약품을 주로 만듭니다.  회사 측은 중장기 성장을 위해 이중정, 즉 알약 하나에 두 개의 의약품을 서로 섞이지 않게 반씩 나누어 합친 정제 기반의 개량 신약 개발로 노인성 질환 품목군을 강화하고 탈모치료제 시장에 진출하는 것을 목표로 하고 있습니다.  성대영 위더스제약 대표는 ""공모를 통해 유입된 자금은 회사의 설비 투자, 이중정 기반 개량신약 연구개발 등에 사용할 계획""이라며 ""코스닥 상장을 계기로 설비 선진화와 기술 역량 강화를 이루고 전문의약품 대표기업으로 우뚝 서겠다""고 말했습니다.  [ 이상범 기자 /"
9,"Wnt표적항암제 혁신신약 후보물질 약물 재창출국내 첫 시도 매커니즘차별화된 작용기전·임상 1상 통해 안전성 입증약효농도 낮춰 항암제 독성 문제 해소기존 램데시비르 등 대조약물보다 항바이러스 4배↑JW중외제약이 항암제 후보물질을 활용해 신종 코로나바이러스감염증(코로나19) 치료제 개발에 나선다. 다른 제약사보다 치료제 개발 발표가 늦었지만 혁신신약으로 개발 중인 후보물질의 차별화된 작용기전을 활용해 치료제 개발에 박차를 가한다는 방침이다. 해당 후보물질은 이미 인체 대상 임상을 통해 안전성을 확인한 것이 특징이다. 국내에서 처음 시도하는 코로나19 치료제 개발로 이미 관련 특허까지 출원한 상태다.JW중외제약은 Wnt(윈트)표적항암제 후보물질 ‘CWP291’에 대한 ‘코로나19 치료용 조성물’ 특허를 출원하고 본격적으로 항바이러스 치료제 개발을 추진한다고 17일 밝혔다. 이번 치료제 개발은 약물 재창출(Drug Repurposing) 전략으로 진행된다.CWP291은 암 세포 성장과 암 줄기세포에 관여하는 신호전달 물질 ‘윈트/베타카테닌(Wnt/β-catenin) 기전을 억제하는 표적항암제다. 급성골수성백혈병, 다발골수종, 위암 등 다양한 암종을 대상으로 개발하고 있는 혁신신약(First-in-Class) 후보물질이다.앞서 JW중외제약은 CWP291 임상연구에서 종양 저항성 발현에 주요 역할을 하는 GRP78 저해효과를 확인한 바 있다. GRP78은 우리 몸에 침투한 바이러스를 세포 내로 수용하도록 하는 단백질의 일종이다. 코로나 바이러스가 몸에 들어오면 GRP78이 바이러스 돌기에서 작용을 해 바이러스가 세포에 침투할 수 있도록 하는 개념이다. JW중외제약은 후보물질 CWP291이 GRP78을 저해시킨다는 연구 데이터에서 착안해 해당 후보물질이 코로나19의 세포 침투를 원천 차단할 수 있다고 판단하고 치료제로서 임상 가능성을 검토했다. 해당 매커니즘을 활용해 코로나19 치료제를 개발하는 업체는 JW중외제약과 캐나다 소재 제약사 등 두 곳 뿐이며 국내에서는 JW중외제약이 유일한 것으로 전해졌다.지난 3월 국제학술지 감염저널(Journal of Infection)에 등재된 ‘코로나19 스파이크 단백질과 숙주 수용체 GRP78 결합 부위 예측’이라는 제목의 논문에 따르면 GRP78이 코로나19의 잠재적인 스파이크 결합 부위로 예측됐다. 코로나19 스파이크 단백질과 GRP78의 상호작용을 저해시키면 바이러스 진입과 복제를 억제할 수 있을 것으로 분석한 논문이다.이런 가운데 최근 JW중외제약은 세포실험을 통해 CWP291이 대조약물보다 동등 이상의 코로나19 항바이러스 효과가 있다는 연구결과를 확인했다. CWP291이 코로나19 치료제로 승인된 ‘렘데시비르(에볼라 치료제)’를 비롯해 말라리아 치료제 ‘하이드록시클로로퀸’, 에이즈 치료제 ‘로피나비르’ 등에 비해 약 4배 높은 항바이러스 활성을 나타낸 결과를 확인했다는 설명이다.JW중외제약은 CWP291의 코로나19 항바이러스 효과 뿐 아니라 약물동태(체내 약물농도 변화)와 안전역을 종합적으로 고려해 이번 개발을 추진하기로 확정했다고 전했다. 이에 따라 JW중외제약은 동물모델 시험에 돌입하는 동시에 임상 착수를 위한 국내외 기관과 협의를 진행할 계획이다.JW중외제약 관계자는 “그동안 항암제는 독성 문제로 약물 재창출이 실현되지 못했지만 CWP291은 한국과 미국에서 안전성을 검증한 임상 1상의 약물 용량보다 낮은 농도로 코로나19 항바이러스 치료제 가능성을 확인했다”며 “치료제 개발 추진 발표가 조금 늦었지만 이미 임상 1상을 거쳤고 차별화된 매커니즘을 갖춘 후보물질이기 때문에 경쟁력이 있다고 본다”고 말했다. 이어 “CWP291의 약물 재창출 임상시험이 성공할 수 있도록 역량을 집중해 나갈 것”이라고 덧붙였다.동아닷컴 김민범 기자"
