,contents
0,"코트라, 지난 26일 부산서 ‘조선해양기자재 중소·중견기업 간담회’ 개최해외근무 경력자·현장 전문가가 ‘산업 코디네이터’로 나서코트라(KOTRA)는 지난 26일 부산에서 ‘조선해양기자재 중소·중견기업 간담회’를 개최했다. 이번 간담회에는 코트라 서비스를 이용한 부산·경남 지역 10개사가 참석했다. 권평오 코트라 사장(오른쪽 세 번째)이 간담회에서 발언하고 있다. 코트라 제공 코트라(KOTRA, 사장 권평오는 지난 26일 부산에서 ‘조선해양기자재 중소·중견기업 간담회’를 열었다고 28일 밝혔다. 이번 간담회에는 코트라 서비스를 이용한 부산·경남 지역 10개사가 참석했다.코트라는 간담회에서 수출판로 개척과 부품·원자재 수급에 어려움을 겪고 있는 우리 기업의 목소리를 듣고 다양한 사업을 안내했다. 코트라는 산업별 온라인상품관 등 서비스를 통해 중소·중견기업이 새로운 방식으로 바이어를 발굴하도록 돕고 있다.최근 코트라는 ‘산업 코디네이터’ 사업도 개발해 산업별 맞춤형 지원체계를 마련했다.산업 코디네이터는 해외무역관 근무 경력자, 현장 경험이 있는 전문가가 직접 나서 산업트렌드와 상품특성에 맞는 수출마케팅을 제공하는 서비스다. 시장조사부터 바이어 발굴, 해외시장 진출에 이르는 과정이 모두 포함된다.권평오 코트라 사장은 “조선 분야는 전세계적으로 어려움을 겪고 있으나 환경 규제가 강화되면서 친환경·고효율 선박 수요가 늘어날 것으로 예상된다”며 “산업·고객별 맞춤 사업을 확대해 중소·중견기업이 해외시장에서 돌파구를 찾을 수 있도록 노력하겠다”고 말했다.송현수 기자"
1,"코트라(KOTRA)가 지난 26일 부산에서 조선해양기자재 중소·중견기업 간담회를 열었다고 28일 밝혔다. 간담회에는 코트라 서비스를 이용한 부산·경남 지역 10개사가 참석했다.이번 간담회는 수출판로 개척과 부품·원자재 수급에 어려움을 겪고 있는 우리 기업의 목소리를 듣고 다양한 사업을 안내하기 위한 자리로 기획됐다.코트라는 산업별 온라인상품관 등 서비스를 통해 중소·중견기업이 새로운 방식으로 바이어를 발굴하도록 돕고 있다. 최근에는 산업 코디네이터 사업을 개발해 산업별 맞춤형 지원체계도 마련했다.산업 코디네이터는 해외 무역관 근무 경력자, 현장 경험이 있는 전문가가 직접 나서 산업 트렌드와 상품 특성에 맞는 수출 마케팅을 제공하는 서비스다.시장 조사부터 바이어 발굴, 해외 시장 진출에 이르는 과정이 모두 포함된다. 조선 분야 뿐 아니라 디지털 무역, 소비재, 스마트팜 등 19개 산업 전반을 서비스 대상으로 하고 있다.권평오 코트라 사장은 ""조선 분야는 세계적으로 어려움을 겪고 있으나 환경 규제가 강화되면서 친환경·고효율 선박 수요가 늘어날 것으로 예상된다""고 봤다.이어 ""산업·고객별 맞춤 사업을 확대해 중소·중견기업이 해외시장에서 돌파구를 찾을 수 있도록 노력하겠다""고 밝혔다.☞공감언론 뉴시스"
2," 코트라는 지난 26일 부산에서 ‘조선해양기자재 중소·중견기업 간담회’를 개최했다고 28일 밝혔다. 이번 간담회엔 부산·경남 지역 조선해양기자재 업체 10개사가 참여했다. 코트라는 판로 개척과 부품 및 원자재 수급에 어려움을 겪고 있는 업체들의 애로를 수렴하고 다양한 지원 사업을 소개하는 시간을 가졌다. 코트라는 온라인상품관 등의 서비스를 통해 중소·중견기업의 판로 지원을 돕고 있다.코트라는 최근 ‘산업 코디네이터’ 사업도 개발했다. 산업 코디네이터는 해외무역관 근무 경력자, 현장 경험이 있는 전문가가 직접 나서 산업동향과 상품특성에 맞는 수출마케팅을 제공하는 서비스다. 시장조사부터 바이어 발굴, 해외시장 진출에 이르는 전 과정이 모두 포함되며 조선뿐만 아니라 디지털 무역, 소비재, 스마트팝 등 19개 산업 전반이 서비스 대상이다.권평오 코트라 사장은 “조선 분야는 전세계적으로 어려움을 겪고 있으나 환경 규제가 강화되면서 친환경·고효율 선박 수요가 늘어날 것으로 예상된다”며 “산업·고객별 맞춤 사업을 확대해 중소·중견기업이 해외시장에서 돌파구를 찾을 수 있도록 노력하겠다”고 밝혔다.김정유 "
3,권평오 KOTRA 사장(오른쪽에서 세번째)이 지난 26일 부산 벡스코에서 열린 ‘조선해양기자재 중소·중견기업 간담회’에서 발언을 하고 있다. 이날 간담회에는 KOTRA 서비스를 이용한 부산·경남 지역 10개사가 참석했다. (코트라 제공) 2020.6.28/뉴스1pjh2035@news1.kr
4,"KOTRA는 지난 26일 부산에서 '조선해양기자재 중소·중견기업 간담회'를 열었다고 28일 밝혔다. KOTRA 서비스를 이용하는 부산·경남 지역 기업 10개사가 참석했다.이 날 KOTRA는 수출 판로 개척과 부품·원자재 수급에 어려움을 겪는 우리 기업의 목소리를 듣고 '산업 코디네이터' 등 다양한 사업을 안내했다. 해외무역관 근무 경력자, 현장 경험이 있는 전문가가 직접 산업트렌드와 상품특성에 맞는 수출마케팅을 제공하는 서비스다. 시장조사부터 바이어 발굴, 해외시장 진출에 이르는 과정이 모두 포함된다.권평오 KOTRA 사장은 “환경 규제가 강화되면서 친환경·고효율 선박 수요가 늘어날 것으로 예상된다”며 “산업·고객별 맞춤 사업을 확대해 중소·중견기업이 해외시장에서 돌파구를 찾을 수 있도록 노력하겠다”고 말했다.윤희석기자"
5," KOTRA(코트라)가 지난 26일 부산에서 ‘조선해양기자재 중소·중견기업 간담회’를 열었다고 28일 밝혔다. 이번 간담회에는 KOTRA 서비스를 이용한 부산·경남 지역 10개사가 참석했다.KOTRA는 수출판로 개척과 부품·원자재 수급에 어려움을 겪고 있는 기업의 목소리를 듣고 다양한 사업을 안내했다. 산업별 온라인상품관 등 서비스를 통해 중소·중견기업이 새로운 방식으로 바이어를 발굴하도록 돕고 있다.최근 KOTRA는 ‘산업 코디네이터’ 사업을 개발해 산업별 맞춤형 지원체계를 마련했다.산업 코디네이터는 해외무역관 근무 경력자, 현장 경험이 있는 전문가가 직접 나서 산업트렌드와 상품특성에 맞는 수출마케팅을 제공하는 서비스다. 시장조사부터 바이어 발굴, 해외시장 진출에 이르는 과정이 모두 포함된다. KOTRA 산업 코디네이터는 조선 분야 뿐 아니라 디지털무역, 소비재, 스마트팜 등 19개 산업 전반이 서비스 대상이다.권평오 KOTRA 사장은 “조선 분야는 전세계적으로 어려움을 겪고 있으나 환경 규제가 강화되면서 친환경·고효율 선박 수요가 늘어날 것으로 예상된다”며 “산업·고객별 맞춤 사업을 확대해 중소·중견기업이 해외시장에서 돌파구를 찾을 수 있도록 노력하겠다”고 밝혔다.김지희 기자"
6,   
7,권평오 KOTRA 사장이 지난 26일 부산에서 열린 '조선해양기자재 중소·중견기업 간담회'에서 발언하고 있다. (사진=KOTRA 제공) 2020.06.28.
8,"코로나19 위기 극복을 위한 부산지역 해운항만업계 간담회가 지난 24일 오전 부산시청 영상회의실에서 부산시, 업계, 유관기관 관계자들이 참석한 가운데 열렸다. 정대현 기자"
9,"한국해양대학교 산학협력단, 한국조선해양기자재연구원, 한국해양과학기술원 등은 30일까지 '2020 상반기 해양클러스터 기술이전 설명회'를 한다.    부산 영도구 동삼혁신지구 해양클러스터에 있는 이 기관은 조선·해양분야 우수 특허 기술을 소개하고 기업에 사업화 기회를 제공한다.    올해는 코로나19로 온라인 설명회로 진행된다.    한국해양대는 나트륨(Na)이온전지 해수전지 기술과 초미세 금속 탄소 복합체 제조법을 설명한다.    한국조선해양기자재연구원은 내화성 단열패널 등 5개 기술을, 한국해양과학기술원은 드론을 이용한 자율 무인수상정 기술을 각각 소개한다.해양 공공기술 이전 설명회[한국해양대 제공]   "
