,contents
0," 피부에서 얻은 운동신경 세포로 손상된 ‘척수’를 치료하는 연구가 나와 세계가 주목하고 있다.몸체를 지탱하는 척추 뼈 안에 있는 신경조직인 척수는 한 번 손상을 입으면 회복하기 힘들다. 이 연구에 따르면 교통사고나 산업재해와 같은 사고로 인한 척수 손상뿐만 아니라 운동신경 세포가 파괴되는 루게릭병과 같은 질환도 치료할 길이 열린 것이다.울산과학기술원(UNIST) 생명과학부의 김정범 교수 연구팀은 피부세포에 유전인자 두 종을 주입해 척수를 구성하는 ‘운동신경세포’를 제작하는 데 성공했다.동물실험에서 제작된 운동신경 세포의 손상 재생능력을 확인했으며 임상 적용을 위해 필요한 세포를 대량으로 생산할 수 있어 상업화 가능성도 밝은 것으로 알려졌다.척수는 뇌의 신호를 사지로 전달하거나 거꾸로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다. 따라서 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻는다.이러한 척수 손상을 치료하기 위한 약물치료와 수술요법이 있으나 그 효과가 작고 심각한 부작용이 있다. 줄기세포를 이용해 손상된 조직을 재생시키는 ‘세포 치료제’가 주목받는 이유다.특히 척수를 구성하고 있는 세포 중 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 세포 치료제 후보이다.하지만 운동신경 세포를 배아줄기세포와 유도만능줄기세포에서 얻으면 암 발생 가능성이 있어 환자에게 직접 적용하기 힘들었다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료 효과 검증 개념도.이러한 문제점을 해결하기 위해 김정범 교수 연구팀은 원하는 목적 세포를 피부세포에서 바로 얻는 직접교차분화 기법을 이용해 운동신경 세포를 제작했다.환자 피부세포에 두 종류의 유전자를 직접 주입해 세포가 암세포로도 바뀔 가능성이 있는 ‘만능세포단계’를 거치지 않고 자가(autologous) 운동신경 세포를 만든 것이다. 이를 통해 기존 줄기세포치료제의 문제점인 면역거부반응과 암 발생 가능성을 모두 해결했다.제1저자인 이현아 UNIST 생명과학과 석박사통합과정 연구원은 “환자 피부세포에 줄기세포의 성질을 부여하는 유전자인 ‘OCT4’와 운동신경 세포 성질을 부여하는 유전자 ‘LHX3’를 단계적으로 주입해 운동신경 세포 기능을 갖는 세포를 성공적으로 만들었다”고 설명했다.개발된 운동신경 세포 제작법은 대량생산이 가능하다는 장점도 있다. 환자 임상치료를 위해서는 충분한 양의 세포가 필요한데, 기존의 직접분화기법은 얻을 수 있는 세포 수가 제한적이었다.반면 연구팀 개발한 방법은 세포 자가증식(Self-renewal)이 가능한 중간세포단계를 거치기 때문에 대량생산이 가능하다는 것.연구팀은 제작된 세포를 척수손상 실험쥐에 주입한 후, 상실된 운동기능이 회복되는 것과 손상된 척수조직 내에서 신경이 재생되는 것을 확인했다.김정범 교수는 “기존의 운동신경 세포 제작법이 가진 한계를 극복한 직접교차분화 기술을 개발했다”며 “제작된 운동신경 세포를 척수 손상을 보호하고 세포가 잘 생착될 수 있도록 돕는 치료제인 ‘슈파인젤’과 결합할 경우 치료 효과를 극대화할 수 있을 것”이라고 말했다.그는 이어 “척수 손상은 산업 재해에 의한 발병률이 높아 울산에 건립 예정인 산재전문 공공병원과의 시너지 효과도 기대할 수 있을 것”이라고 덧붙였다.이번 연구는 중소벤처기업부의 지원을 받아 김정범 교수의 창업기업인 ‘슈파인세라퓨틱스’와 공동으로 진행했다. 연구 성과는 유럽분자생물학회의 저명한 학술지 ‘이라이프 (eLife)’ 온라인판에 6월 23일 자로 발표됐다.영남취재본부 김용우 기자"
1,척수 손상 환자에게 도움되는 세포치료제 개발한 김정범 교수 - 척수손상 환자를 치료할 수 있는 세포치료제를 개발한 울산과학기술원(UNIST) 생명과학부 김정범 교수국내 연구진이 교통사고나 산업재해 같은 사고로 인한 척수 손상 환자나 운동신경 세포가 파괴되는 루게릭병 같은 질환을 치료할 수 있는 방법을 개발해 주목받고 있다.울산과학기술원(UNIST) 생명과학부 김정범 교수팀은 피부세포에 2종의 유전인자를 주입해 척수를 구성하는 운동신경세포를 만드는데 성공했다고 29일 밝혔다. 연구팀은 동물실험을 통해 운동신경세포의 재생능력을 확인하기도 했다. 이 같은 연구결과는 유럽분자생물학회에서 발행하는 국제학술지 ‘이라이프’에 실렸다.인체 중심 척추 속 척수손상 회복시키는 치료제 개발 - 국내 연구진이 척수손상 환자의 운동기능을 회복하고 운동신경세포를 재생시킬 수 있는 세포 치료제를 개발해 생쥐실험에 성공했다.신체를 지탱하는 척추뼈 안에 있는 신경조직인 척수는 뇌 신호를 몸 구석구석으로 전달하고 신체 감각을 뇌로 전달하는 중요한 역할을 한다. 척수가 손상이 되면 운동기능이나 감각을 잃거나 몸을 움직일 수 없는 심각한 후유증을 겪게 된다. 약물치료나 외과수술로 척수손상을 치료하기도 하지만 효과가 크지 않다. 이 때문에 줄기세포를 이용해 손상된 조직을 재생시키는 세포치료제가 주목받고 있지만 줄기세포 분화과정에서 암세포가 형성되는 경우도 환자에게 사용되지는 못하고 있다.연구팀은 피부세포에서 원하는 목적의 세포를 바로 얻을 수 있는 직접교차분화 기술을 이용해 운동신경세포를 만들었다. 환자 피부세포에 두 종류의 유전자를 직접 주입해 만능세포단계를 거치지 않고 곧장 운동신경세포로 만들어지도록 해 기존 줄기세포치료제의 문제점인 면역거부반응과 암세포로 분화 가능성을 모두 해결했다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료 메커니즘 - 울산과학기술원(UNIST) 제공기존의 직접분화 기법으로 만들어진 세포수는 너무 적어 환자 임상치료에 활용하기 충분치 않았지만 연구팀은 세포 자가증식을 통해 대량생산이 가능토록 했다. 실제로 이렇게 만들어진 세포치료제를 척수를 손상시킨 실험쥐에 주입한 결과 운동기능이 회복되고 손상된 척수조직에서 신경이 재생되는 것이 확인됐다.김정범 교수는 “척수 손상은 산업재해에 의한 발병률이 높은데 반해 지금까지 나온 기술로 치료는 쉽지 않았는데 이번에 개발된 세포치료제는 기존 치료방법들의 한계를 극복해 실질적인 치료효과를 가져다 줄 것”이라고 말했다.유용하 기자
2,"[헤럴드경제=구본혁 기자] 앞으로 피부세포에서 얻은 운동신경 세포로 척수 손상과 루게릭병을 치료할 수 있는 길이 열릴 전망이다.울산과학기술원(UNIST) 생명과학부 김정범 교수 연구팀은 피부세포에 유전인자 두 종을 주입해 척수를 구성하는 ‘운동신경세포’를 제작하는 데 성공했다고 29일 밝혔다. 동물실험에서 제작된 운동신경 세포의 손상 재생능력을 확인했으며 임상 적용을 위해 필요한 세포를 대량으로 생산할 수 있어 상업화 가능성도 높은 편이다.척수는 뇌의 신호를 사지로 전달하거나 역으로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다. 따라서 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻는다. 이러한 척수 손상을 치료하기 위한 약물치료 및 수술요법이 있으나 그 효과가 작고 심각한 부작용이 있다. 줄기세포를 이용해 손상된 조직을 재생시키는 ‘세포 치료제’가 주목받는 이유다. 특히 척수를 구성하고 있는 세포 중 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 세포 치료제 후보다. 하지만 운동신경 세포를 배아줄기세포 및 유도만능줄기세포에서 얻으면 암 발생 가능성이 있어 환자에게 직접 적용하기 힘들었다.이러한 문제점을 해결하기 위해 연구팀은 원하는 목적 세포를 피부세포에서 바로 얻는 직접교차분화’ 기법을 이용해 운동신경 세포를 제작했다. 환자 피부세포에 두 종류의 유전자를 직접 주입해 세포가 암세포로도 바뀔 가능성이 있는 ‘만능세포단계’를 거치지 않고 자가 운동신경 세포를 만든 것이다. 이를 통해 기존 줄기세포치료제의 문제점인 면역거부반응과 암 발생 가능성을 모두 해결했다.운동신경세포 제작 과정과 척수손상 동물실험에서 치료효과 검증 모식도.[UNIST 제공]개발된 운동신경 세포 제작법은 대량생산이 가능하다는 장점이 있다. 환자 임상치료를 위해서는 충분한 양의 세포가 필요한데, 기존의 직접분화기법은 얻을 수 있는 세포 수가 제한적이었다. 반면 연구팀 개발한 방법은 세포 자가증식이 가능한 중간세포단계를 거치기 때문에 대량생산이 가능하다. 제작된 세포를 척수손상 실험쥐에 주입한 후, 상실된 운동기능이 회복되는 것과 손상된 척수조직 내에서 신경이 재생되는 것을 확인했다.김정범 교수는 “기존 운동신경 세포 제작법이 가진 한계를 극복한 직접교차분화 기술을 개발했다”며 “제작된 운동신경 세포를 척수 손상을 보호하고 세포가 잘 생착될 수 있도록 돕는 치료제인 ‘슈파인젤’과 결합할 경우 치료 효과를 극대화할 수 있을 것”이라고 말했다.이번 연구성과는 유럽분자생물학회가 발행하는 국제학술지 ‘이라이프(eLife)’ 6월 23일자 온라인판에 발표됐다"
3,"울산과학기술원(UNIST) 연구진이 척수 손상을 치료하는 운동신경 세포를 개발했다.    김정범 생명과학부 교수팀은 피부세포에 유전인자 두 종을 주입해 척수를 구성하는 운동신경 세포를 제작하는 데 성공했다고 29일 밝혔다.    척추 안에 있는 신경조직인 척수는 뇌의 신호를 사지로 전달하거나, 역으로 신체에서 느낀 감각을 뇌로 전달하는 신호수 역할을 한다. 따라서 척수가 손상되면 운동기능이나 감각을 잃어 심각한 후유증을 얻는다. 척수 손상 치료를 위한 약물치료나 수술 요법이 있지만, 그 효과가 미미하고 부작용은 크다.    이런 이유로 줄기세포를 이용해 손상된 조직을 재생시키는 '세포 치료제'가 주목받고 있으며, 특히 운동기능 조절에 중요한 역할을 하는 운동신경 세포는 척수 손상을 치료할 수 있는 유력한 세포 치료제로 꼽힌다.    그러나 운동신경 세포를 배아줄기세포와 유도만능줄기세포에서 얻으면 암이 발생할 수 있어 환자에게 직접 적용하기는 어려웠다. 척수 손상을 치료할 수 있는 운동신경 세포를 개발한 UNIST 생명과학부 연구진. 왼쪽부터 김정범 교수와 이현아 연구원. [UNIST 제공. 재판매 및 DB 금지]    연구진은 이런 문제를 해결하고자 원하는 목적 세포를 피부세포에서 바로 얻는 '직접교차분화' 기법을 이용해 운동신경 세포를 만들었다. 환자 피부세포에 두 종류의 유전자를 직접 주입하는 방법으로 자가 운동신경 세포를 만든 것이다.    세포가 암세포로 바뀔 가능성이 있는 '만능세포단계'를 거치지 않아 암 발생 가능성을 차단하고 면역거부반응도 방지하는 등 기존 줄기세포 치료제의 문제점을 해결한 것이다.    특히 이 제작법은 대량생산이 가능하다는 장점이 있다.    환자 임상치료를 위해서는 충분한 양의 세포가 필요한데, 기존의 직접분화기법은 얻을 수 있는 세포 수가 제한적이었다. 반면에 연구팀이 개발한 방법은 세포 자가증식이 가능한 중간세포단계를 거치기 때문에 대량으로 생산할 수 있다.    연구진은 이렇게 제작한 세포를 척수 손상 실험용 쥐에 주입한 결과, 상실된 운동기능이 회복되고 손상된 척수 조직에서 신경이 재생되는 것을 확인했다.    교통사고나 산업재해와 같은 사고로 인한 척수 손상뿐 아니라, 운동신경 세포가 파괴되는 루게릭병 등의 질환 치료에 적용될 수 있을 것으로 기대된다.    김 교수는 ""기존 운동신경 세포 제작법이 가진 한계를 극복한 직접교차분화 기술을 개발했다""라면서 ""척수를 보호하고 세포가 잘 생착될 수 있도록 돕는 치료제인 '슈파인젤'과 제작된 운동신경 세포를 결합하면 치료 효과를 극대화할 수 있을 것""이라고 설명했다.    그는 ""척수 손상은 산업 재해에 의한 발병률이 높아 울산에 건립 예정인 산재전문 공공병원과의 시너지 효과도 기대할 수 있을 것""이라고 덧붙였다.    이번 연구는 유럽분자생물학회가 발간하는 학술지 '이라이프'(eLife) 온라인판 이달 23일 자에 발표됐다.   "
4," 국내 줄기세포 연구·개발(R&D) 회사와 줄기세포 의료 전문가, 의료컨설팅 전문회사 등이 '맞춤형 자가지방줄기세포 글로벌 복함 플랫폼' 구축을 위한 협력에 나선다. 지방줄기세포 R&D 기업 휴림바이오셀과 셀뱅킹 판매 전문회사인 휴림헬스케어, 자가지방줄기세포클리닉 네트워크를 운영 중인 유마스템 메디컬 그룹, 의료컨설팅 전문회사 티엔엠홀딩스는 맞춤형 자가지방줄기세포 복합 플랫폼 구축을 위한 업무협약을 체결했다고 29일 밝혔다. 이들 기업은 자가지방줄기세포 치료제 개발과 코스메슈티컬을 위한 줄기세포 원료 개발, 줄기세포와 면역세포를 보관하는 셀뱅킹 사업, 자가지방줄기세포전문 클리닉 네트워크 사업 등을 위해 국내외에서 협업해 나갈 계획이다. 휴림바이오셀은 2005년 창업 이후 국책 과제와 자체 임상 연구를 통해 줄기세포를 이용한 백반증과 간질환 치료제 개발에 주력했다. 국내 특허 27건, 해외특허 6건 등을 보유하고 있다. 2011년부터는 제대혈 뱅킹을 시작해 2018년부터 면역과 줄기세포 셀뱅킹 영업으로 업무를 확대했다. 유마스템 메디컬그룹은 뷰티항노화, 면역력 피부질환, 관절 재생,통증, 신체노화로 인한 신체기능개선 분야에서 노하우를 발휘했다. 앞으로 국내외 클리닉 네트워크 사업을 담당하고 있는 티엔엠홀딩스와 클리닉 네트워크사업을 전개할 계획이다. 휴림바이오셀의 임상 학술 연구기관으로도 활동할 예정이다.우선 경기도 안양 SK 지식산업단지에 300평 규모의 종합 클리닉센터를 2021년 1월 개원할 예정이며 이곳에서 지역 주민을 대상으로 하는 내과, 외과 외래 진료센터, 통증·재활전문 센터를 운영할 계획이다. 또 휴림바이오셀과는 줄기세포 의료 임상 연구소를 병원 내에 설립한다. 유마스템 관계자는 ""4개사의 줄기세포 활용 공동사업이 국민의 건강유지와 미래 질병치료에 대한 해법이 되기를 기대한다""고 말했다.김흥순 기자"
5," 회전근개 파열이라는 병명이 조금 생소하거나 어려울 수 있지만 60대 이후에는 50% 이상의 사람들이 이환되는 흔한 질환이다. 특히 오십견 의심 환자 중 절반 정도가 회전근개 질환자이고 또 그 중 절반 이상은 수술이 필요할 만큼 악화된 상태의 환자인 경우가 많다. 어떤 병이든 수술은 안 하는 게 좋겠지만 파열이라는 단어에서도 알 수 있듯이 한번 찢어진 어깨 힘줄은 저절로 치유되지 않아 수술적 치료는 불가피하다. 하지만 어깨는 움직임이 많은 관절이다 보니 힘줄 파열 범위가 크면 봉합 수술을 해도 재파열 위험이 크다. 최근 이 재파열율을 줄이기 위해 ‘동종이식물 패치’와 ‘자가줄기세포 치료법’ 연구가 활발히 진행되었고 학계에서 이 두 가지 치료법의 효과가 입증됐다. 회전근개는 어깨를 감싸고 지탱하는 4개의 힘줄을 말한다. 이 힘줄이 퇴행성 변화나 외상에 의해 염증이 생기거나 파열되는 것이 회전근 개 질환이다. 주로 팔을 어깨 높이 이상으로 들거나 내릴 때, 팔을 뻗거나 등 뒤로 보내는 자세에서도 통증이 있다. 또한 야간통과 함께 어깨와 팔꿈치 사이부터 상완부 통증이 심한 경우가 흔하다. 초기 회전근 개 질환은 물리치료, 약물, 주사치료로 염증을 조절하고 단계적으로 회전근 개를 강화하는 운동 등이 우선이다. 하지만 회전근 개 두께의 50% 이상이 파열이 진행되었다면 수술적 치료가 필요하다. 수술여부는 환자의 통증 정도와 활동 수준을 참고한다. 회전근 개 파열이 조금만 진행된 경우에는 관절내시경으로 손상된 부위를 직접 보면서 봉합하는 수술로도 치료되지만 3cm 이상의 대파열이거나 오랫동안 치료가 지연돼 힘줄의 근육 자체가 지방 변성된 경우에는 단순 봉합만으로는 회복이 더디거나 재발 우려가 높다. 이런 상태일 때는 관절경 수술에 동종이식물보강술과 줄기세포치료로 힘줄의 복원력을 높일 수 있다. 우선 마취하에 본 수술을 시작하기 전, 환자의 골반뼈에서 30~50㏄ 정도의 골수를 채취한다. 이후 원심 분리기를 이용하여 줄기세포를 농축하게 되고, 그 동안 환자는 관절내시경을 통해 봉합수술을 받게 된다. 봉합수술의 마지막 단계에서 봉합한 자리에 인체 피부를 가공해서 세포성분을 제거한 후 면역반응을 최소화하도록 제조한 패치를 덧붙이고 분리된 줄기세포를 주사해 수술을 마친다. 마치 옷이 찢어진 범위가 클 경우 실로 당길 수 있는데 한계가 있기 때문에 천 조작을 덧대서 꿰매주고(동종이식물패치) 그 자리에 더 튼튼한 보강과 재생능력 향상을 위해 접착제(자가 줄기세포치료)를 발라주는 과정과 비슷하다.회전근개 파열이 있는 일부 환자들은 통증이 없을 수도 있지만 결국 시간이 지날수록 통증과 함께 파열 정도가 커질 수밖에 없다. 그렇다고 단순히 수술로 무조건 치료해야 하는 건 아니지만 수술이 필요한 경우가 반드시 있는데, 그 적절한 치료시기를 놓치지 않도록 어깨 전문의 진료와 정기적인 추적검사가 필요하다. 이태연 날개병원 병원장이순용 "
6,"아티바, 작년  ‘개발전문(NRDO)’ 업체로 설립 미국 바이오 분야 벤처캐피탈 참여차세대 NK세포 치료제 올해 3분기 임상 돌입‘아티바’ 기술력·전문인력 주목국내 기술 기반 차세대 NK세포 치료제가 글로벌 투자 관련 협업 체계를 확보해 세계 최대 시장인 미국 현지에서 본격적으로 개발에 들어간다.GC와 GC녹십자랩셀은 NK(자연살해, Natural Killer)세포 치료제 미국 현지 개발을 위해 설립된 계열사 ‘아티바 바이오테라퓨틱스(Artiva Biotherapeutics)’가 약 935억 원(7800만 달러) 규모 ‘시리즈A’ 투자를 유치했다고 26일 밝혔다. 일반적으로 시리즈A 투자는 초기 시드(seed) 펀딩(종자돈 마련) 이후 이뤄지는 다음 단계 투자를 말한다. 시리즈A 투자 규모는 기술력이나 시제품 상품성, 경쟁력 등을 인정받은 척도로도 볼 수 있다.미국 샌디에이고 소재 아티바는 작년 키메라 항원 수용체(CAR, Chimeric antigen receptor) 개발 및 양산 기술을 포함해 GC녹십자랩셀의 NK세포 치료제 파이프라인 기술을 도입한 ‘개발전문(NRDO, No Research Development Only)’ 업체다.이번 시리즈A 투자에는 ‘5AM’을 필두로 ‘벤바이오(venBIO)’, ‘RA 캐피탈(Capital)’ 등 미국 바이오 분야 리딩 벤처캐피탈(VC)이 대거 참여했다. GC 측은 초기 시리즈A 단계부터 현지 대형 투자자들과 협업 체계를 구축했다는 점에서 의미가 크다고 설명했다.아티바는 이번에 조달한 자금을 항체 치료제 병용 제대혈 유래 NK세포 치료제인 ‘AB101’과 차세대 ‘AB200 시리즈(AB201 HER2 CAR-NK, AB202 CD19 CAR-NK 등)’ 개발에 투입한다는 계획이다. 특히 AB101은 오는 3분기 내 미국 임상에 돌입하고 AB200 시리즈는 내년부터 순차적으로 임상 진입을 목표로 하고 있다. 이 과정에서 파이프라인 원천인 GC녹십자랩셀은 마일스톤 달성 단계별로 아티바로부터 기술료를 받게된다. GC에 따르면 이번 투자를 결정한 VC들은 글로벌 시장에서 주목 받기 시작한 NK세포 치료제 기술력과 아티바의 인적 경쟁력을 높게 평가한 것으로 알려진다. 아티바 구성원 대부분이 페이트와 주노 등 세포 치료제 전문 글로벌 바이오텍 출신이기 때문이다. 글로벌 약물 개발 환경에 익숙하고 경험이 풍부해 파이프라인 상용화 단계까지 회사 경쟁력을 돋보이게 할 수 있다고 설명했다.톰 퍼렐(Tom Farrell) 아티바 CEO는 “GC녹십자랩셀과 파트너십을 통해 암 환자들을 위한 안전하고 효과적인 세포 치료법 상용화를 본격적으로 추진하게 됐다”며 “자금 조달을 통해 여러 후보물질들을 임상적으로 증명하고 발전시킬 수 있을 것으로 기대한다”고 말했다.박대우 GC녹십자랩셀 대표는 “아티바는 세계 시장 진출을 위해 글로벌 방식으로 설계한 진정한 현지화 모델로 꼽을 수 있다”며 “세포 치료제 시장이 CAR-T에서 CAR-NK로 개발 추세가 변화하고 있는 만큼 유전자 편집 및 줄기세포 유래 NK세포 치료제 등도 미국에서 개발을 이어갈 계획”이라고 전했다.동아닷컴 김민범 기자"
7," 건국대학교 KU융합과학기술원 줄기세포재생공학과 조쌍구 교수 연구팀은 건국대병원 비뇨기과 김아람 교수와 공동으로 방광이 차면 통증이 생기는 간질성 방광염(방광 통증 증후군)에서의 환자간 유전적 차이를 규명하고 이에 따른 질환을 예측할 수 있는 신규 마커를 발굴했다고 25일 밝혔다.간질성 방광염(interstitial cystitie, IC)은 방광이 차면 통증이 유발되는 방광 통증 증후군(Bladder pain syndrome, BPS) 질환으로, 환자는 통증을 줄이기 위해 본능적으로 자주 배뇨를 하게 돼 빈뇨 증상을 동반하게 된다. 통증이 지속적이어서 환자는 통증에도 시달리고 빈뇨의 고통도 겪어 삶의 질, 업무 능력, 대인관계에 심각한 문제가 발생해 우울증과 같은 정신 질환을 동반할 수도 있다. 이 질환은 최근에야 임상 사례가 알려지기 시작해 정확한 진단을 받기 어려워, 환자 대부분이 진통제를 수년 동안 복용하며 제대로 된 치료를 받지 못하고 있는 실정이다. 최근 여러 약물치료가 시도되고 있으나, 근본적인 질환의 치료 대책은 여전히 없는 상태이다. 건국대 줄기세포재생공학과 분자세포 리프로그래밍 (Molecular & Cellular Reprogramming, MCR) 연구실의 수보로토 쿠마 사하 (Subbroto Kumar Saha) 박사, 전탁일 박사과정 대학원생 연구팀과 건국대병원 비뇨기과의 김아람 교수 융합연구팀은 생물정보학 분석 방법(IT)과 건국대학교병원 환자들에 대한 분자생물학적 실험 분석(BT) 융합 연구를 통해 비질환자와 질환자의 유전적 차이를 규명했다.연구팀은 간질성 방광염의 근본적인 병인(pathophysiology)을 밝히기 위해 생물정보학(Bioinformatics) 분석 기법을 도입해 이전 임상 연구 사례를 분석하여 비질환자와 질환자의 유전적 분석을 통해 차이를 알아내고 그 중 발현 차가 큰 유전자를 분석하였으며, 이들 유전자 중 서로의 연관성이 큰 유전자인 ‘허브 유전자’를 선별했다. 건국대와 건국대병원 연구팀은 선별된 허브 유전자를 실제 환자에게 적용해 유전적 특징이 일치하는지 알아보았고 이를 통합적으로 분석하여, 간질성 방광염의 신규 바이오 마커를 발굴했다.이번 연구를 통해 환자 조직과 소변에서 검출되는 CD38, ITGAL, IL7R, KLRB1, 및 IL7R 유전자들의 발현이 실제 방광조직에서 발현된다는 것을 규명함으로써, 이들 유전자의 발현을 분석하면, 환자가 간질성 방광염임을 예측하는 데 도움을 받을 수 있어서, 불필요한 치료 경비를 줄이고, 효율적인 치료가 이루어지는데 기여할 수 있을 것으로 기대된다.연구팀은 이번 연구 결과 중 일부를 의학 일반(Medicine, General & Internal) 분야 10% 이내 국제 저널인 ‘Journal of clinical medicine’ 에 2020년 6월 20일자 온라인판에 게재했다. (논문명: Bioinformatics Approach for Identifying Novel Biomarkers and Their Signaling Pathways Involved in Interstitial Cystitis/Bladder Pain Syndrome with Hunner Lesion)이번 연구는 조쌍구 교수와 김아람 교수가 참여하는 융합연구팀이 2019년 7월부터 수행 중인 한국연구재단 국책과제인 ‘난치성 방광질환 치료를 위한 효율적인 생체 내 세포전환 기술 개발’ 연구의 하나로 이루어졌다. 이번 연구를 통해 규명된 간질성 방광염의 신규 바이오 마커들은 과제 연구의 효능 분석에 활용되고 있으며, 추가 연구를 통해 방관염 환자들을 위한 진단 마커로 활용될 예정이다.김문석 기자"
8,"(방콕=연합뉴스) 김남권 특파원 = 신종 코로나바이러스 감염증(코로나19) 확진 판정을 받은 아동에게서 줄기세포를 이식하는 수술이 세계 최초로 성공했다고 태국 의료진이 밝혔다.    24일 일간 방콕포스트에 따르면 마히돈 대학 라마티보디 병원 측은 지중해 빈혈증을 앓던 7세 '찐'의 생명을 구하기 위해 코로나19 환자인 5세 동생 '찌오'의 골수 줄기세포를 이식하는 수술이 이뤄졌다면서 이같이 발표했다.    이식 수술 과정은 순탄치 않았다.     골수 줄기세포를 채취해야 하는 날, 의료진은 찌오가 코로나19에 감염됐다는 사실을 발견했다.    누나와 함께 동생도 환자인 상황이 됐다.    게다가 골수 줄기세포를 줘야 하는 동생도, 그걸 받는 누나도 각각 5살과 7살에 불과해 모든 단계마다 조심에 조심해야 했다.    병원의 수라뎃 홍엉 박사는 ""골수에서 줄기세포를 채취하는 일은 위험으로 가득했다""면서 ""줄기세포가 코로나19에 감염됐을 위험도 생각해야 했다""고 말했다.    찌오가 코로나19 환자라서 격리돼야 했던 점도, 의료진이 수술 중에 코로나19에 감염될 수 있다는 점도 난관이었다.    코로나19 문제 말고도 의료진은 시간과 싸움도 벌여야 했다.     찐이 화학 치료를 계속 받아오다 보니 신체 면역력이 낮아져 긴급하게 줄기세포 이식 수술이 이뤄지지 않으면 생명이 심각한 위험에 빠질 수도 있었다.     이런 상황에서 코로나19 감염이 확인된 동생 찌오를 제외하고 다른 공여자들로부터 찐에 맞는 줄기세포를 찾는 것은 확률적으로 높지 않았고, 결국 의료진은 유일한 희망은 찌오라는 결론을 내렸다.     다행히도 찌오의 줄기세포가 코로나19에 감염되지 않은 것이 확인됐고, 누나에게 이를 이식하는 수술은 성공했다.     수라뎃 박사는 ""코로나19 환자로부터 이식을 위해 줄기세포를 추출한 수술은 세계에서 처음""이라고 말했다.    수술을 이끈 우사나랏 아누라타빤 박사는 ""이번 수술은 한 생명을 구했다는 기쁨인 동시에 태국 의학계에 또 다른 획을 그는 것""이라고 평가했다.   "
9,"5살 남동생 찌오의 골수 줄기세포를 이식받는 7살 누나 찐의 모습 / 사진=방콕포스트 캡처신종 코로나바이러스 감염증(코로나19) 확진 판정을 받은 아동에게서 줄기세포를 이식하는 수술이 세계 최초로 성공했다고 태국 의료진이 밝혔습니다.오늘(24일) 일간 방콕포스트에 따르면 마히돈 대학 라마티보디 병원 측은 지중해 빈혈증을 앓던 7살 '찐'의 생명을 구하기 위해 코로나19 환자인 5살 동생 '찌오'의 골수 줄기세포를 이식하는 수술이 이뤄졌다면서 이같이 발표했습니다.이식 수술 과정은 순탄치 않았습니다.골수 줄기세포를 채취해야 하는 날, 의료진은 찌오가 코로나19에 감염됐다는 사실을 발견했습니다.누나와 함께 동생도 환자인 상황이 됐습니다.게다가 골수 줄기세포를 줘야 하는 동생도, 그걸 받는 누나도 각각 5살과 7살에 불과해 모든 단계마다 조심에 조심해야 했습니다.병원의 수라뎃 홍엉 박사는 ""골수에서 줄기세포를 채취하는 일은 위험으로 가득했다""면서 ""줄기세포가 코로나19에 감염됐을 위험도 생각해야 했다""고 말했습니다.찌오가 코로나19 환자라서 격리돼야 했던 점도, 의료진이 수술 중에 코로나19에 감염될 수 있다는 점도 난관이었습니다.코로나19 문제 말고도 의료진은 시간과 싸움도 벌여야 했습니다.찐이 화학 치료를 계속 받아오다 보니 신체 면역력이 낮아져 긴급하게 줄기세포 이식 수술이 이뤄지지 않으면 생명이 심각한 위험에 빠질 수도 있었습니다.이런 상황에서 코로나19 감염이 확인된 동생 찌오를 제외하고 다른 공여자들로부터 찐에 맞는 줄기세포를 찾는 것은 확률적으로 높지 않았고, 결국 의료진은 유일한 희망은 찌오라는 결론을 내렸습니다.다행히도 찌오의 줄기세포가 코로나19에 감염되지 않은 것이 확인됐고, 누나에게 이를 이식하는 수술은 성공했습니다.수라뎃 박사는 ""코로나19 환자로부터 이식을 위해 줄기세포를 추출한 수술은 세계에서 처음""이라고 말했습니다.수술을 이끈 우사나랏 아누라타빤 박사는 ""이번 수술은 한 생명을 구했다는 기쁨인 동시에 태국 의학계에 또 다른 획을 그는 것""이라고 평가했습니다.[MBN 온라인뉴스팀]"
