,contents
0," 피해구제 과정에서 장애인 언급 없어… 아직도 집으로 갈 수 없는 이재민들도지진 발생 2년 6개월이 지났지만 포항 흥해 체육관에는 이재민이 거주하고 있다. / 반기웅 기자진도 5.4의 포항지진은 주민의 삶을 흔들었다. 지진이 발생한 지 2년 6개월이 지났다. 여진은 그쳤고, 도시는 재건 작업에 돌입했다. 1797명의 이재민은 새 거주지를 찾아 뿔뿔이 흩어졌다. 그 사이 포항지진은 지열발전소가 부른 ‘인재’라는 사실이 드러났다. 감사원은 정부가 지열발전사업을 제대로 관리·감독하지 못해 지진 피해를 키웠다고 지적했다. 우여곡절 끝에 포항지진특별법이 제정됐다. 지난 4월에는 국무총리 산하 진상조사위원회·피해구제심의위원회가 출범했다. 남은 절차는 피해구제(금전적 보상) 절차다. 어찌 됐든 포항지진은 공식적으로 ‘종결’ 단계에 접어든 셈이다.그날 아무것도 할 수 없었던 사람들지진은 수습됐지만 재난이 끝난 것은 아니다. 포항에는 아직도 ‘2017년 11월 15일’에 머물러 있는 사람들이 있다. 지진 상황에서 대피를 체념했던 장애인은 지금도 건물 밖으로 탈출할 방법을 알지 못한다. 재난관리 열외 대상이었던 이들은 피해구제 과정에서도 언급되지 않는다. 흥해체육관 대피소 텐트에는 아직도 이재민이 산다. 2년 거주기간이 끝나 철거를 앞둔 컨테이너에도 이재민이 남아 있다. 이들은 왜 한 걸음도 나아가지 못했을까.포항지진 당일 저녁 중증 뇌병변장애인 하민국씨(38·가명)는 흥해체육관으로 갔다. 전동휠체어에 앉아 대피소로 온 장애인은 하씨가 유일했다. 체육관은 이재민들로 꽉 들어찼다. 대피용 텐트가 세워지기 전이었다. 체육관 바닥에 침구류와 담요가 깔렸지만 하씨의 전동휠체어는 비좁은 틈으로 오갈 수가 없었다. 체육관에는 장애인용 화장실을 비롯해 편의시설이 없었다. 대피소에 남을 엄두가 나지 않았다. 결국 그는 대피소 문턱을 넘지 못했다. 그 길로 휠체어를 돌려 집으로 갔다. 하씨가 혼자 거주하던 집은 포항시 북구 장성동 필로티 구조의 원룸이었다. 당시 미디어에서는 ‘필로티 구조가 지진에 취약하다’는 보도를 내보내고 있었다. 지진으로 기둥이 붕괴된 하씨의 집 옆 빌라는 방송 리포트에서 위험한 필로티 구조의 사례로 소개됐다.이후 포항에는 여러 차례 여진이 이어졌다. 새벽에 여진이 느껴질 때마다 하씨는 식은땀을 흘렸다. 홀로 남은 방에서 그는 ‘지금 집이 무너진다면 꼼짝없이 건물 더미에 깔려 죽을 수밖에 없다’고 생각했다. 운 좋게 밖으로 나간다 해도 새벽에는 대피소로 갈 이동 수단이 없다. 대피소에는 하씨의 자리가 없다. 하씨는 탈출을 포기했다. 그날 새벽의 기억은 지금도 하씨를 괴롭힌다. 하씨는 “지진을 겪고 나서 견딜 수 없이 힘들다고 포항시에 말했고, 정부에서 마련한 자리에 나가 당사자 증언도 했다”며 “하지만 지금까지 달라진 건 아무것도 없다”고 말했다.혼자서는 몸을 뒤집지 못하는 소진현씨(35·가명·중증 뇌병변)도 지진 트라우마에 시달린다. 홀로 누워 있는 방이 흔들렸는데 당장 형광등이 떨어지면 피할 도리가 없었다. 전화를 걸려고 음성 연결을 시도했지만 통신도 불통이었다. 지진은 소씨가 2008년 자립생활을 시작한 이래 가장 무서운 경험으로 남았다. “집이 흔들리는데 저는 세상과 완전히 단절된 거예요. 너무 무서웠어요. 욕하면서 펑펑 울었습니다.”장애인이 느끼는 지진의 공포는 비장애인보다 강도가 높다. 후유증도 장기화된다. 포항지진 이재민 심리 치료를 했던 김선현 차의과학대 미술치료학과 교수는 “재난 앞에서 장애인은 자신이 철저한 약자라는 사실, 또 아무것도 할 수 없다는 사실을 다시 한번 깨닫게 된다”며 “분노와 무력감, 소외감을 느끼고 사람에 대한 불신으로 이어진다”고 말했다.지진 피해를 입은 한미장관맨션은 지금도 곳곳이 갈라져 비가 새고 곰팡이가 핀 집들이 많다. / 반기웅 기자“재난 상황에서 보이지 않는 존재”장애인 등 안전취약계층 지원 및 안전서비스 확대는 문재인 정부의 국정 과제다. 2017년 9월, 정부는 9개 관계부처 합동으로 ‘장애인 안전 종합대책’을 발표했다. 당시 정부는 정책 발표를 하면서 ‘장애인은 재난 인지·대응력이 낮고 현재 재난대응 매뉴얼이 비장애인 중심으로 돼 있다’며 ‘장애인은 재난 안전 사각지대에 있다’고 진단했다. 그렇다면 정부의 안전 종합대책은 무엇을 바꿨을까.장애인을 위한 지역기반 재난대응 안전망 구축은 이제 걸음마 단계다. 지난해부터 구체적인 방안 마련을 위한 연구가 시작됐다. 안전취약계층을 위한 재난 대피 지원 시스템 개발도 추진 논의 수준에 머물러 있다. 쉽게 말해 재난 상황에서 아파트·빌라에 거주하는 장애인이 엘리베이터 대신 이용할 이동 장치는 없다. 건물 밖 이동 수단도 열악하다.지진을 겪은 포항시는 38대의 장애인 콜택시(동행콜)를 운영한다. 2017년 포항지진 이후 8대가 증차됐다. 동행콜 이용을 위해 서비스에 등록한 장애인은 2146명(2019년 기준)이다. 턱없이 부족하다. 그나마 심야에 운행하는 동행콜은 단 1대뿐이다. 재난 상황에서 장애인의 발은 여전히 묶여 있다. 김성열 포항장애인자립생활센터 사무국장은 “지진을 겪었지만 장애인을 위해 만든 대책은 전무하다”며 “재난 상황에서 장애인은 보이지 않는 존재”라고 말했다.재난피해구제 과정에서도 장애인은 열외 대상이다. 포항 북구에 거주하는 이선주씨(가명)의 딸 수희 양(14·가명)은 중증 발달장애인이다. 수희는 2017년 지진을 겪은 뒤 일주일간 이불을 덮어쓰고 말을 하지 않았다. 이후 진동이 느껴지거나 지진과 비슷한 단어만 들려도 감정 조절을 하지 못하고 과민반응을 보였다. 이씨는 “수희의 지진 트라우마가 심한데 언어 장애가 있어서 충격이 어느 정도인지 가늠도 못 하고 있다”며 “정신적 피해가 큰데 피해를 호소할 방법이 없다”고 말했다. 수희와 같은 장애인이 입은 정신적 피해는 포항시 지진 피해 통계에 잡히지 않는다. 물리적 재산 피해도 다르지 않다. 지진 피해 규모 파악을 위한 지자체의 형식적인 방문 절차는 있었지만 이후 보상 등 행정 처리는 이뤄지지 않았다. 정보 접근성이 취약한 장애인은 피해 관련 지원 대상에서 누락됐다. 지난 4월 30일 11·15 지진 지열발전 공동연구단이 발표한 ‘포항지진 취약계층 지원 연구보고서’에 따르면 지진 이후 안전취약계층은 지진 트라우마와 불안감, 강박 증상에 시달리는 것으로 나타났다.장애인은 ‘포항지진특별법’에서도 주변인이다. 법 시행에 따라 오는 9월 1일부터 피해구제 신청이 시작된다. 그 전에 지진 피해주민들은 피해 규모를 산출해 신고서를 제출해야 한다. 정보 접근성이 취약한 장애인은 구제절차를 밟기 쉽지 않다.구제절차를 따르더라도 이들이 입은 정신적 피해는 인정받기 어렵다는 한계가 있다. 같은 강도의 지진이더라도 장애인은 비장애인보다 정신적 피해가 크다. 하지만 현행 구제절차 과정에서 장애는 고려대상이 아니다. 오롯이 손해사정사의 판단에 따라 피해 여부와 정도가 결정된다. 양만재 포항지진공동연구단 부단장은 “비장애인인 손해사정사의 잣대로만 장애인의 지진 피해를 산정한다면 갈등이 이어질 것”이라며 “장애인의 아픔과 피해를 공감할 수 있는 별도의 전담 소통 창구를 마련할 필요가 있다”고 말했다.지금껏 대피소를 벗어나지 못한 이재민에게도 지진 피해는 현재진행형이다. 포항 흥해읍 한미장관맨션 아파트 가동에 살았던 김상재씨(51·가명)는 2017년 11월 15일부터 흥해체육관에 거주하고 있다. 현재 체육관에 등록된 이재민 가구는 64가구. 실제 거주하는 이재민은 10명 내외다. 2년 반 동안 이재민 구호대책을 통해 LH 임대주택 등 새 거주지를 찾아 떠났다. 그나마 남아 있던 이재민들은 코로나19 이후 대피소에 발길을 끊었다.장마철을 대비해 지진으로 갈라진 틈을 메우는 보수 공사를 하고 있다. / 반기웅 기자체육관 대피소에 남아 있는 사람들김씨는 왜 남아 있을까. 한미장관맨션은 지진 진앙 인근에 있어 피해가 컸다. 김씨의 집 천장과 바닥에 균열이 생겨 비가 새고 곰팡이가 슬었다. 외벽에도 금이 갔고 바람이 들어오는 집도 있었다. 하지만 한미장관맨션은 건축물 안전진단 등급 C를 받았다. 포항시는 아파트 내력벽이 온전하다며 ‘소파(小破)’ 판정을 내렸다. 소파 판정은 지진 피해복구비로 100만원이 지급된다. 김씨는 소파 판정을 받아들이지 못한다. 김씨를 비롯한 한미장관맨션 주민들이 별도의 구조진단업체에 조사에서 나온 안전진단 결과는 D등급과 E등급이었다. 비가 새는 집을 포기하지 않는 이유다. 김씨는 “인재로 삶이 엉망이 됐는데 누구도 책임지지 않는다”며 “큰 보상을 해달라는 게 아니라 피해 사실을 있는 그대로만 인정해달라”고 말했다. 한미장관맨션 뒤편 이재민 거주 단지인 희망보금자리에도 사람이 있다. 현재 컨테이너 32동 가운데 25가구가 남았다. 살 곳을 따로 마련해두고 오가는 인원을 제외하면 실거주자는 거의 없다. 갈 곳이 마땅치 않은 사람들만 컨테이너에 남았다. 상주하던 관리 인력도 철수했다.희망보금자리 거주기간은 당초 2년이었지만 지난해 1년 연장했다. 포항시는 오는 9월 희망보금자리를 철거한다는 계획이다. 사유지를 빌려 조성한 부지여서 더 이상 임대료 부담을 감당하기 어렵다는 이유다.자식과 떨어져 혼자 살던 단독주택이 무너진 뒤 컨테이너에서 거주하고 있는 박진수씨(가명)는 앞으로가 걱정이다. 컨테이너가 철거되면 마땅히 갈 곳이 없다고 했다. 월세로 살던 아파트가 완파돼 희망보금자리로 온 이경수씨(52·가명)는 억울해서 그냥 나갈 수 없다고 했다. 이씨는 재난 수습 과정에서 세입자라는 이유로 번번이 지원 대상에서 제외됐다고 했다. 이씨는 “세입자도 똑같이 지진 피해를 입고 생계에 타격을 받는다”며 “재난 상황에서조차 차별을 받고 보니 정말 화가 난다”고 말했다.반기웅 기자"
1,"포항지진 범시민대책본부(범대본)는 경북 포항 흥해 한미장관맨션아파트 비상대책위원회가 대법원에 상고한 포항지진 재난지원금 사건과 관련해 29일 대법원에 탄원서를 내고 청사 앞에서 1인 시위를 했다.    범대본은 탄원서를 통해 ""대법원 판단은 그 어떤 법리보다 국민 안전을 도모하고 생명을 보호하는 데 우선해야 한다""며 그간 판결을 재고해달라고 요청했다.    모성은 범대본 공동대표는 ""지열발전을 유치하고 촉발지진을 막지 못한 포항시가 그에 대해 사죄는커녕 이재민에게 재난지원금을 적게 주려고 법원에서 시민과 다투는 일은 지탄받아 마땅하다""고 주장했다.    한미장관맨션 주민 155명은 2017년 11월 발생한 포항지진으로 아파트 4개 동이 심하게 부서졌지만, 포항시가 안전에 큰 문제가 없다고 판정하자 행정소송을 냈다.    시는 정밀안전점검에서 한미장관맨션 4개 동의 안전등급을 약간의 수리가 필요한 C등급으로 판정해 100만원을 지급하기로 했다.    그러나 주민들은 구조진단업체를 통해 별도 조사를 해 2개 동은 D등급, 나머지는 E등급을 받아냈다.     D등급은 긴급 보수가 필요해 사용제한 여부를 결정해야 하고, E등급은 안전에 위험이 있어 사용을 금지하고 보강·개축을 해야 하는 상태다.    포항시는 아파트 준공 당시를 기준으로, 주민은 현재 건축구조 기준으로 각각 안전진단을 했기 때문에 안전등급에 차이가 생겼다.    한미장관맨션 비대위는 ""현실에 맞는 재난지원금을 지급하라""며 포항시장을 상대로 행정소송을 냈으나 1심과 2심에서 패소하자 대법원에 상고했다.대법원 앞에서 1인 시위[포항지진 범시민대책본부 제공. 재판매 및 DB 금지]   "
2,경북 포항지진 범시민대책본부는 29일 오전 서울 대법원에 흥해 한미장관맨션아파트 비상대책위원회가 상고한 포항지진 재난지원금 사건에 대한 탄원서를 제출했다.(사진=포항지진 범시민대책본부 제공) 2020.06.29. 
3,"포항지진 범시민대책본부(범대본)는 29일 포항 흥해 한미장관맨션아파트(한미장관) 비상대책위원회가 상고한 포항지진 재난지원금 관련 사건에 대해 시민 2만명 명의로 대법원에 탄원서를 제출했다고 밝혔다. 범대본에 따르면 2017년 11월15일 포항지진이 발생하자 포항시는 한미장관맨션아파트에 대한 구조물 안전성 검토를 거쳐 아파트 4개동 모두 'C등급'(미흡)이 나왔다는 이유로 세대주들에게 재난지원금 100만원을 지급하기로 결정했다. 주민들은 이에 불복해 포항시가 의뢰한 업체와 동일한 안전진단업체에 내진성능 평가를 포함해 진단을 재의뢰했고 2개동은 E등급'(불량,전파), 2개동은 'D등급'(미흡, 반파)으로 판정받았다. 한미장관 측은 포항시가 재난지원금을 잘못 지급했다며 소송을 제기했으나 1,2심에서 패소하자 대법원에 상고한 상태다.범대본은 탄원서를 통해 ‘대법원의 판단은 그 어떤 법리보다 국민의 안전과 생명을 보호하는 데 우선해야 한다’면서 판결을 재고해 달라고 요청했다. 모성은 포항지진 범대본 공동대표는 ""지열발전을 유치하고 촉발지진을 막지 못한 포항시가 그에 대한 사죄는커녕, 이재민들에게 재난지원금을 적게 주려고 법원에서 시민들과 다투는 일은 크게 지탄 받을 일""이라고 밝혔다"
4,"포항지진 재난지원금 사건과 관련해 포항지진 범시민대책본부(범대본)가 오늘(29일) 대법원에 탄원서를 제출했습니다.  범대본에 따르면 포항 지진 이후, 포항시는 큰 피해를 본 한미장관멘션아파트에 대한 구조물 안전성 검토를 통해 아파트 4개 동 모두 'C등급'(미흡)이 나왔다며 세대주들에게 재난지원금 100만 원을 지급하기로 했습니다.  주민들은 이에 불복해 포항시가 의뢰한 업체와 같은 곳에 내진성능평가를 포함해 진단을 다시 의뢰했고, 2개 동은 'E등급'(불량·전파), 2개 동은 'D등급'(미흡·반파)으로 판정 받았습니다.  이에 주민들은 포항시가 재난지원금을 잘못 지급했다며 소송을 제기했지만, 하급심에서 모두 패소하고 대법원에 상고한 상태입니다.  범대본은 탄원서에서 '대법원의 판단은 그 어떤 법리보다 국민의 안전과 생명을 보호하는 데 우선해야 한다'며 판결을 재고해 달라고 요청했습니다.  [ 손기준 기자 /"
5,"남미 볼리비아 남부 아바포에서 29일 규모 5.0 지진이 연속으로 일어났다고 미국 지질조사국(USGS)이 밝혔다.USGS에 따르면 이들 지진은 이날 오전 5시6분(GMT)께 1초 사이를 간격으로 아바포 서쪽 45km, 49km 각각 떨어진 곳을 강타했다.진앙은 본진이 남위 18.9626도, 서경 63.8071도이며 진원 깊이가 35.0km이고 여진 경우 남위 18.925도, 서경 63.848도에 진원 깊이는 37.7km에 달했다.이번 지진으로 인한 인명이나 재산 피해에 관한 보고와 신고는 아직 들어오지 않은 상황이다.진원 깊이가 지표면과 아주 가깝지는 않지만 규모 5.0 지진이 연달아 내습함에 따라 피해 발생이 우려되고 있다.앞서 볼리비아에선 작년 3월 규모 6.3, 2018년 4월에는 규모 6.8 강진이 있었다.☞공감언론 뉴시스"
6,"23일 오후 7시 58분께 경기 파주시 북동쪽 15km 지역에서 규모 2.1의 지진이 발생했다.    진앙은 북위 37.86도, 동경 126.90도이며 지진 발생 깊이는 6km다.    이 지진의 계기 진도는 경기 최대 3으로 관측됐다. 계기 진도 3은 실내나 건물 위층에 있는 사람은 현저히 느끼고, 정지 상태의 차는 약간 흔들리는 수준이다.    기상청 관계자는 ""지진으로 인한 피해는 없으나 인근 지역은 지진동을 느낄 수 있으니 안전에 유의하길 바란다""고 말했다.   "
7,"    23일 오후 7시 58분 05초 경기 파주시 북동쪽 15㎞ 지역에서 규모 2.1의 지진이 발생했다고 기상청이 밝혔다.   진앙은 북위 37.86도, 동경 126.90도로 지진 발생 깊이는 6㎞다.   이 지진으로 경기 지역에는 최대 진도 3이 감지됐다. 실내, 특히 건물 위층에 있는 사람이 현저하게 느끼며, 정지하고 있는 차가 약간 흔들리는 수준이다.   기상청은 ""지진발생 인근지역은 진동을 느낄 수 있다. 안전에 유의해 달라""고 당부했다.   "
8,"23일 오후 7시58분쯤 경기 파주시 북동쪽 15㎞ 지역에서 규모 2.1의 지진이 발생했다. 지진 발생 깊이는 6㎞다.파주에서 규모 2.0 이상의 지진이 난 것은 이번이 처음이다. 이 지진의 계기 진도는 경기 최대 3으로 감지됐다. 계기 진도 3은 실내나 건물 위층에 있는 사람은 현저히 느끼고, 정지 상태의 차는 약간 흔들리는 수준이다.이 지진으로 인한 인명 및 재산피해는 없는 것으로 전해졌다. 기상청 측은 “지진 발생 인근 지역은 지진동(지진에 의한 지면의 진동)을 느낄 수 있으니 안전에 유의해야 한다”고 했다.정지은 기자"
9,"경기도 파주시 북동쪽 15km ""규모 2.1 지진"". 기상청23일 오후 7시 58분 5초에 경기도 파주시 북동쪽 15km 지역에서 규모 2.1의 지진이 발생했다.기상청에 따르면 진앙은 북위 37.86도, 동경 126.90도이다. 지진 발생 깊이는 6km.이에 따라 인근 경기도내 지역에서만 최대진도 Ⅲ 수준의 진도를 느낄 수 있을 것으로 기상청은 예상했다.최대진도 Ⅲ은 실내, 특히 건물 위층에 있는 사람이 현저하게 느끼며, 정지하고 있는 차가 약간 흔들리는 수준이다.황희진 기자"
