,0
0,"의료기기 제조업체인 미국의 다나허가 코로나19 감염 여부 진단을 위한 자사의 혈액 검사기가 미국 식품의약국(FDA)의 긴급사용 허가를 받았다고 밝혔다.29일(현지시간) 로이터통신에 따르면 다나허는 자사 항체 검사식 진단키트는 특이도가 99.6%, 민감도가 100%로 나타나 허위로 양성 반응을 나타낼 확률은 거의 없고, 허위로 나타내는 음성 반응도 없다고 밝혔다.다나허의 계열사인 벡먼 쿨터는 이 항체 검진기를 약 400개의 미국 내 병원과 연구소에 보냈으며, 월 3000만건 이상을 검진하기 위해 항체 검진기 생산량을 늘렸다고 설명했다.항체 검사는 코로나19 바이러스 감염자들의 면역성 수준을 나타낼 수 있어 지난 수주간 폐쇄된 경제를 안전하게 재개하는 데 중요한 역할을 할 것으로 보인다.코로나19 진단키트의 수요가 높아진 가운데 불량품 검진기들도 나오자 FDA는 검진기 승인 규정을 강화했다"
1,3개층에서 생애주기 피부관리클렌징후 4개 빛으로 피부상태 체크개인별 진단따라 화장품 내용물 조합29일 서울 중구 명동 아이오페랩에서 연구원이 본지 기자의 피부 상태 진단 검사를 한 뒤 피부 상태 분석 결과에 대한 상담을 하고 있다.      박동욱기자
2," 체외진단 전문업체 프로탄바이오(대표 조제열)는 자사 코로나 19 래피드 키트(신속 진단키트) '프로탄 COVID-19 IgM/IgG'가 식품의약품안전처로부터 수출허가 승인을 획득했다고 29일밝혔다.이 제품은 임상 결과 100%의 민감도와 97%의 특이도를 검증받았다.프로탄바이오 관계자는 ""현재 유럽 CE인증 절차도 진행 중""이라며 ""유럽뿐 아니라 코로나 감염자가 급격하게 늘고 있는 남미, 동남아, 중동 등지로 수출 국가를 다변화할 계획""이라고 했다. 이어 ""수출 물량에 대응하기 위해 CAPA(생산 능력) 확충에도 힘쓸 것""이라고 덧붙였다.프로탄바이오는 폐암 조기 진단 키트에 필요한 바이오 마커 특허를 국내에서 가장 많이 보유한 체외 진단 전문업체다. 코로나 19 래피드 키트에 이어 코로나 항원 면역 진단 키트와 항체 엘라이자 키트도 개발 중이다. 차세대 면역 항암 치료제 연구에도 힘쓰고 있다.중기협력팀 이유미 기자"
3,"휴마시스㈜의 코로나19 항체진단키트 제품이 브라질 국가건강품질관리연구소(INCQS-Instituto Nacional de Controle de Qualidade em Saude)의 평가에서 품질 적합 인증 및 승인을 받았다.26일 휴마시스는 ‘COVID-19 IgG/ IgM Test’ 제품의 INCQS 평가 결과, 민감도에서 IgM 96.2%, IgG 92.8%를, 특이도에서 IgM, IgG 모두 98.4%로 높은 수치의 결과를 얻어 제품 성능의 우수성을 확인했다고 밝혔다.브라질내 체외진단제품(IVD- In vitro Diagnostics)의 판매를 위해서는 브라질 위생 감시국 (ANVISA- Agencia Nacional de Vigilancia Sanitaria) 승인이 필요하다.특히 3~4등급의 제품의 경우는 추가적으로 브라질 ANVISA소속 국가건강품질관리 연구소인 INCQS 내 제품 품질 평가 및 승인을 받아야 등록 절차가 완료된다.휴마시스의 진단키트가 브라질 관계기관의 승인을 얻으면서 향후 브라질 시장 확대를 위한 기반이 마련됐다.휴마시스 관계자는 ""브라질 내 코로나19 피해가 계속 증가됨에 따라 브라질 내 진단키트 수요가 더욱 커질 것이며, 제품 성능 인증으로 인해 향후 주변 남미 국가들의 수요 또한 확대될 것으로 전망된다""라고 말했다.홍헌표기자"
4," 휴마시스는 코로나19 항체진단키트 제품이 브라질 국가건강품질관리연구소의 평가에서 품질 적합 인증 및 승인을 받았다고 26일 밝혔다.자사 진단키트가 브라질 관계기관의 승인을 얻으면서 향후 브라질 시장으로의 확대를 위한 기반을 마련하게 됐다는 게 휴마시스의 설명이다.휴마시스 관계자는 브라질 내 코로나19 피해가 계속 증가됨에 따라 브라질 내 진단키트 수요가 더욱 커질 것이라며 제품 성능 인증으로 인해 향후 주변 남미 국가들의 수요 또한 확대될 것으로 전망이라고 말했다.한편 브라질은 현재 확진자 119만여명, 사망자 5만4천여명으로 전세계에서 두 번째로 많은 코로나19 피해가 발생한 국가다.한상연기자"
5,"보건산업 수출액이 지난해 같은 기간 대비 크게 늘어난 것으로 나타났다. 바이오의약품의 꾸준한 수출 증가와 K-방역품목의 급증세가 큰 역할을 한 것으로 분석된다.  한국보건산업진흥원이 발표한 2020년 5월 보건산업 수출 실적에 의하면, 5월 수출액은 총 17.8억 달러로 전년 동월 대비 34.5% 증가했다.  산업별 수출액은 의약품 7.8억 달러, 화장품 5.7억 달러, 의료기기 4.2억 달러 순으로 많았다.  바이오의약품 수출은 꾸준한 증가세를 유지하고 있고, 진단키트·소독제 등 K-방역품목의 선호도는 최근 급증하는 추세다. 지난해 5월 진단용 시약과 소독제는 각각 수출액 순위 45위와 149위였으나, 올해 5월은 각각 5위와 6위로 순위가 급격히 상승했다. 화장품 수출은 성장 둔화세를 보이고 있으나, 일본으로의 수출이 확대되는 특징을 보였다.  국가별로는 브라질(0.6억 달러)의 의료기기(진단키트) 수출이 크게 증가해 10위권 안으로 진입했고, 미국·독일·일본·터키 등 의약품 수출 상위권 국가로의 수출확대가 지속됐다.  단, 국내 진단기기 수출 확대에도 불구하고 주력 품목인 '초음파 영상진단기'와 '임플란트' 등의 수출은 코로나19 사태 이후 중국 내 대면 영업차질, 치과 운영 중단 및 내원 환자 감소 등으로 수출이 최근 들어 감소한 것으로 나타났다.  올해 1월부터 5월까지 보건산업 누적 수출액은 78.3억 달러로, 전년 동기대비 24.0% 증가했다. 산업별로는 의약품(30.9억 달러, +49.0%), 화장품(28.9억 달러, +8.1%), 의료기기(18.5억 달러, +18.2%) 순이다.  한편, 이번 진흥원의 보건산업 수출 동향은 관세청의 수출입 통계 월별 확정치를 한국무역통계진흥원에서 교부받아, 그 중 보건상품에 해당하는 HSK 10단위 기준 644개 품목을 대상으로 분석한 결과다.문세영 기자 "
6,"초음파진단기·임플란트 수출은 주춤코로나19 관련 국내 진단키트 수출 호조로 지난달 국내 보건산업의 수출 실적이 예년보다 크게 늘어났다. 26일 한국보건산업진흥원에 따르면 지난달 국내 보건산업 수출액은 총 17억8000만달러(약 2조1300억원)로 지난해 5월과 비교해 34.5% 증가했다.산업별로는 의약품 7억8000만달러, 화장품 5억7000만달러, 의료기기 4억2000만달러 순으로 수출액이 많았다. 특히 코로나19 관련 진단키트와 소독제 등 K방역 품목에 대한 해외 선호도가 높아 수출 상승을 주도했다. 반면 화장품 수출은 소폭 둔화됐다.국가별로는 브라질에 대한 수출이 전년 5월 대비 157% 이상 큰 폭으로 늘어 눈길을 끌었다. 코로나19 진단키트 수출 증가에 따른 것으로 풀이된다. 품목별로는 면역물품인 바이오의약품 수출이 전년 5월 대비 꾸준한 증가세를 유지했으며 진단용 시약과 소독제 등 K방역 필수품목 수출은 최근 급증한 것으로 분석됐다.다만 국내 진단기기 수출 확대에도 불구하고 주력 품목인 초음파 영상진단기와 임플란트 등의 수출은 감소했다. 코로나19 사태 후 중국 내 대면 영업 차질과 현지 치과 운영 중단, 내원 환자 감소 등이 겹쳐 업체들의 수출실적 부진으로 이어졌다.올해 1~5월 보건산업 분야 누적 수출액은  78억3000만달러로 지난해 같은 기간보다 24% 증가했다. 산업별로는 의약품 수출이 49% 늘었고 의료기기는 18.2%, 화장품은 8.1%씩 각각 늘었다.[서진우 기자]"
7,"GC녹십자엠에스 제공GC녹십자엠에스는 총 1200만 달러(약 150억원) 규모의 코로나19 항체진단키트 수출 계약을 체결했다.이번 계약으로 GC녹십자엠에스는 프랑스, 사우디아라비아, 필리핀 등 유럽, 중동, 동남아시아 8개국을 대상으로 항체진단키트를 수출한다.항체진단키트 ‘GENEDIA W ONE COVID-19 IgM/IgG Kit’는 한두 방울의 소량의 혈액으로 10분 이내 코로나19 진단이 가능하다. 신속한 현장진단이 가능해 의료 인프라가 비교적 부족한 개발도상국 등 의료 환경에 접목이 가능한 것이 특징이다.GC녹십자엠에스는 17일 3000만 달러 규모의 코로나19 진단키트 계약에 이어 추가 수출까지 6월 한달 간 ​지난해 매출 50%를 넘어서는 ​총 4200만 달러(약 520억원) 규모 수출을 확정지었다.계약에 따른 첫 선적은 이달부터 본격화되며, 7월 중 1시간 내 감염여부를 확인할 수 있는 분자진단키트의 수출 허가를 준비하고 있어 하반기 수출은 더욱 탄력받을 것이란 전망이다.GC녹십자엠에스 ​안은억 대표는 “추가적으로 논의 중인 물량 등 수요에 대응하기 위해 음성 진단시약 공장을 100% 가동하며 전사적 역량을 집중하고 있다”며 “하반기에는 면역진단키트의 신속성과 분자진단키트의 정확성을 모두 갖춘 형광면역 POCT 개발을 앞두고 있어 코로나19 진단키트 포트폴리오의 완성도를 높일 계획”이라고 말했다./ 유대형 헬스조선 기자"
8,"GC녹십자엠에스는 프랑스, 사우디아라비아, 필리핀 등 8개국에 총 1천200만달러(약 150억원) 규모의 신종 코로나바이러스 감염증(코로나19) 항체진단키트를 수출한다고 23일 밝혔다.     이 제품은 소량의 혈액으로 10분 이내에 코로나19 감염 여부를 진단할 수 있는 항체 진단키트다.    이로써 GC녹십자엠에스는 이달에만 총 4천200만달러 규모의 코로나19 진단키트 수출을 확정지었다. 앞서 GC녹십자엠에스는 지난 17일 3천만달러 상당의 코로나19 항체진단키트 2종과 분자진단키트 1종의 수출 계약을 성사시켰다.     안은억 GC녹십자엠에스 대표는 ""추가 수요에 대응하기 위해 음성의 진단시약 공장을 100% 가동하며 전사적 역량을 집중하고 있다""고 밝혔다.   "
9," GC녹십자엠에스는 총 1200만 달러(약 150억원) 규모의 코로나19 항체진단키트 수출 계약을 체결했다고 23일 공시했다. 이번 계약을 통해 GC녹십자엠에스는 프랑스, 사우디아라비아, 필리핀 등 유럽, 중동, 동남아시아 8개국을 대상으로 항체진단키트를 수출한다.이번에 수출하는 항체진단키트 ‘GENEDIA W ONE COVID-19 IgM/IgG Kit’는 한두 방울의 소량의 혈액으로 10분 이내 코로나19 진단이 가능한 면역학적 방식의 제품이다. 신속한 현장진단이 가능해 의료 인프라가 비교적 부족한 개발도상국 등 의료 환경에 접목이 가능한 것이 특징이다.GC녹십자엠에스는 지난 17일 3000만 달러 규모의 코로나19 진단키트 수출 계약에 이어 이번 추가 수출까지 6월 한달 간 총 4200만 달러(약 520억원) 규모의 수출을 확정 짓게 됐다. 이는 전년 매출의 50%를 넘어서는 수치이다.회사 측은 계약에 따른 첫 선적이 이달부터 본격화된다고 설명했다. 특히 7월 중 1시간 내 감염여부를 확인할 수 있는 분자진단키트의 수출 허가를 준비하고 있어 하반기 수출은 더욱 탄력을 받을 것으로 전망된다.안은억 GC녹십자엠에스 대표는 “추가적으로 논의 중인 물량 등 수요에 대응하기 위해 음성 진단시약 공장을 100% 가동하며 전사적 역량을 집중하고 있다”며 “하반기에는 면역진단키트의 신속성과 분자진단키트의 정확성을 모두 갖춘 형광면역 POCT 개발을 앞두고 있어 코로나19 진단키트 포트폴리오의 완성도를 높일 계획”이라고 말했다"
