,contents
0," 2008년 5월 서울의 한 대학병원 신생아실 모습. 경향신문 자료사진2005년 대한가족보건복지협회(현 인구보건복지협회)는 출산억제 기관으로서 간판을 내렸다. 창립 44년 만이었다. “한 자녀보다는 둘, 둘보다는 셋이 더 행복합니다”라고 말하기 시작했다.저출산 시대, 변화는 당연해 보였다. 하지만 협회가 시작한 ‘1·2·3 운동’은 쓴웃음을 짓게 했다. 결혼 후 1년 내 임신해 2명의 자녀를 서른 살 전에 낳아 잘 기르자니. “그렇게 하면 40대에 파산한다”는 조롱 섞인 반응이 나왔다. 몇 해 전까지 출산율 제고는 저출산 정책의 최우선 순위였다. ‘낳을수록 희망 가득 기를수록 행복 가득’, ‘하나는 외롭습니다. 자녀에게 가장 좋은 선물은 동생입니다’와 같은 표어들이 다산을 권장했다.지금은 다르다. 2018년 말 대통령직속 저출산고령사회위원회는 저출산 정책 패러다임을 ‘출산 장려’에서 ‘삶의 질 향상’으로 바꿨다. 결혼한 부부 중심의 출산율 올리기가 아니라 아이를 낳을 수 있는 환경을 만들겠다는 것이다. 새 패러다임을 토대로 올해 말 4차 저출산·고령사회 기본계획(2021~2025년)이 수립된다.1961년 합계출산율은 6.3명이었다. 그해 정부는 산아제한 정책을 펴기 시작했다. 3년 뒤 ‘덮어놓고 낳다 보면 거지꼴을 못 면한다’는 유명한 표어가 나왔다. 1983년 합계출산율 2.06명을 기록했다. 인구 규모를 유지하기 위해 필요한 합계출산율 2.1명을 밑돌았다. 이듬해에는 1.76으로 뚝 떨어졌다. 인구정책 전환이 필요했지만 억제책을 쓰던 관성이 판단을 흐렸다. 1996년 인구증가 억제정책은 폐지됐다. 하지만 출산율 감소는 외환위기로 인한 일시적 현상으로 여겨졌다.좋은데… 모호하다2003년 전년도 합계출산율(1.17명)이 발표되면서 출산장려책을 펴야 한다는 목소리가 커졌다. 경제협력개발기구(OECD) 국가 중 최저치였다. 2005년 저출산·고령사회기본법이 제정됐다. 정부는 2006년부터 3차례에 걸쳐 저출산 대책을 시행했다. 자녀를 둔 가구에 보육비 등을 지원하면 아이를 낳으려는 가구가 많아질 것이라는 희망이 깔려 있었다. 120조원을 넘게 투입했지만 효과는 없었다. 지난해 합계출산율은 0.92명으로 역대 최저를 기록했다.문재인 정부 들어 새롭게 꾸려진 저출산고령사회위원회는 ‘출산율과 출생아 수를 목표로 하는 국가주도 출산정책’에서 ‘삶의 방식에 대한 개인의 선택권을 존중하고 삶의 질을 향상시키는 사람 중심 정책’으로 방향을 전환했다. 5대 정책과제로 출생부터 아동의 건강한 성장 지원, 아이와 함께 일·생활 균형, 모든 아동과 가족에 대한 평등한 지원, 청년의 평등한 출발 지원, 건전한 재정·효율적 전달을 내세우고 있다.저출산은 경제·사회적 변화에 적응한 개인 선택의 결과다. 결혼·출산 여부, 자녀 수, 출산 시기는 개인이 주체적으로 결정할 몫이다. 국가정책의 역할은 이들이 합리적인 결정을 할 수 있도록 여건을 만드는 것이다. 이는 현 저출산고령사회위원회의 정책 방향 전환과도 맥을 같이한다.2009년 4월 한 백화점의 ‘출산장려 캠페인’에 참가한 어린이들이 한반도 지도 모양의 조형물 위에서 손을 흔들고 있다. 경향신문 자료사진다만 ‘삶의 질 향상’이라는 목표가 모호하다는 지적이 나온다. 삶의 질을 개선하기 위한 정책들이 전반적인 복지정책과 어떻게 차별성을 가질 것인지 의문이 남는다. 자칫 온갖 복지정책을 망라하는 ‘좋은 사회 기본계획’으로 비춰질 수 있다. 강동수 한국개발연구원 연구부원장은 경제인문사회연구회 협동연구총서 <저출산에 대응한 통합적 정책방안>에서 “궁극적 정책목표로서 삶의 질을 타깃팅하는 것은 적절하나 실천적 목표로서는 그 대상과 개념이 모호하다. 저출산에서의 삶의 질은 보다 실천적 과제로 제시되어야 한다”고 말했다.저출산 현상에 대응하는 모범 사례로 종종 스웨덴과 프랑스가 거론된다. 스웨덴은 여성의 노동시장 진출을 장려하며 성평등을 이루고, 프랑스는 각종 가족수당을 지급하는 점이 강조된다. 하지만 복지 확대 또는 성평등의 진전이 저출산 완화를 이끌 것이라는 주장은 단편적인 면이 있다. 이들 국가에선 저출산 정책이 출산·양육 복지서비스에 그치지 않고 종합적 사회정책의 성격을 갖기 때문이다. 빈곤·불평등, 성평등, 사회적 연대의 문제를 포괄하며 노동·산업·복지·교육 영역과 맞물려 작동한다.지금 필요한 건 ‘원칙’이상림 한국보건사회연구원 연구위원은 “한국의 현실에서 서구와 같은 사회구조 재편은 어렵다고 할지라도, 지금 같이 개별 사업 중심의 접근을 넘어 최소한 정책기조의 문제로 확대된 접근이 필요하다”고 말했다. 주거 지원사업이 아닌 전체적 주거정책, 일자리 지원사업이 아닌 산업 재편, 교육정책 등과 연계된 거시정책 등 저출산 정책 테두리 밖의 정책들을 논의의 장으로 끌어들여야 한다는 것이다. 이 연구위원은 “복지·젠더·주거 등 사람마다 저출산을 바라보는 시각이 다르다. 그걸 아우르는 기초는 노동”이라며 “동일노동 동일임금 원칙을 이뤄 이중화된 노동시장의 격차를 줄이는 게 가장 시급하다고 본다”고 말했다.저출산은 정부의 정책만으로 해결되지 않는다. 사회적 합의와 구성원의 참여가 있어야 실질적 변화가 일어난다는 말은 뻔하지만 중요하다. 전문가들은 합의와 신뢰에 기초한 대원칙을 마련하는 것이 과제라고 말한다. 그간 저출산·고령사회 기본계획은 하나의 원칙에서 뻗어나가기보다 각 부처에서 추진하던 사업들을 모아놓은 형태였다.지난 2월 출범한 제7기 저출산고령사회위원회는 4차 기본계획을 준비하고 있다. 이와 별도로 정부의 인구정책 TF는 인구구조 변화에 따른 대응방안을 논의 중이다. 여야 국회의원 82명은 ‘저출산·인구절벽대책 특별위원회’ 구성을 추진하고 나섰다. 저출산은 신통한 처방전이 없다. 짧은 기간에 변화를 기대하기도 힘들다. 정부 관계자·정치인·전문가뿐 아니라 모두가 머리를 맞대야 한다고 수많은 연구물이 말하고 있다. 그 방향은 멀고 깊어야 한다.노도현 기자"
1,"경기 양주시는 출산 친화적 사회 분위기 조성을 위해 다음 달 1일부터 출산축하금을 확대 지급한다고 22일 밝혔다.    양주시는 그동안 둘째 이상 가정에 50만∼100만원의 출산축하금을 지급했다.    다음 달 1일부터는 첫째 60만원, 둘째 150만원, 셋째 200만원, 넷째 500만원, 다섯째 이상 1천만원의 출산축하금을 지급한다.    첫째는 한 번에 주고, 둘째·셋째는 2회, 넷째 이상은 5회로 나눠 지역화폐인 양주사랑카드로 분할 지급한다.    지원대상은 출생일 기준 90일 이상 양주시에 주소를 둔 출산 가정이다.    대상 가정은 출생신고 뒤 180일 이내에 거주지 읍·면·동 주민센터를 방문해 신청하면 된다.    양주시는 앞으로 5년까지 출산축하금 지원사업에 69억원을 투입할 방침이다.    양주시 관계자는 ""양주시는 옥정·회천신도시를 비롯해 대규모 도시개발과 급격한 인구 증가에도 출생아 수는 감소하고 있다""며 ""적극적인 출산장려 정책을 추진하는 등 아이를 낳아 키우기 좋은 도시를 만들 것""이라고 말했다.   "
2,"경기 양주시는 다음달 1일부터 출산축하금을 확대 지급한다고 22일 밝혔다.시는 시민 중심의 출산정책 수립을 위한 첫걸음으로 '출산장려금'이라는 용어를 '출산축하금'으로 변경했다. 이는 지원자의 관점이 아닌 수혜자의 관점에서 사업을 추진한다는 뜻이다. 지원혜택을 살펴보면 기존 둘째자녀 이상 가정에 50만원에서 100만원까지 지원하던 출산축하금을 Δ첫째 자녀 60만원 Δ둘째 자녀 150만원 Δ셋째 자녀 200만원 Δ넷째 자녀 500만원 Δ다섯째 자녀 이상 1000만원으로 확대했다.둘째‧셋째 자녀인 경우는 2회로 나눠, 넷째‧다섯째 자녀 이상인 경우는 5회에 걸쳐 지역화폐인 양주사랑카드로 분할 지급한다. 시는 안정적인 출산축하금 지원사업 추진을 위해 향후 5년간 69억여원의 예산을 투입할 계획이다. 지원대상은 출생일 기준 90일 이상 양주시에 주소지를 둔 출산 가정으로 올해 7월1일 이후 태어난 신생아부터 적용된다. 대상 가정은 출생신고 후 180일 이내에 거주지 관할 읍면동 주민센터를 방문해 신청하면 된다.경기 양주시의회(의장 이희창)는 지난 18일 제318회 정례회 제3차 본회의에서 출산 지원금을 대폭 늘린 출산장려금 등 지원에 관한 조례 전부개정조례안에 대한 수정안을 의결했다.앞서 지난달 양주시의회 임재근 의원은 집행부가 의회에 제출한 '출산장려금 등 지원에 관한 조례 전부개정조례안'이 다소 미흡하다고 보고 '최대 1000만원까지 출산축하금을 확대한다'는 내용을 추가한 뒤 수정 발의했다.이성호 시장은 ""옥정‧회천신도시를 비롯한 대규모 도시개발과 급격한 인구 증가에도 불구하고 출생아 수는 감소하고 있다""면서 ""이번 조례 개정을 통해 적극적인 출산장려 정책을 추진하겠다""고 전했다"
3," 양주시가 아이 낳아 키우기 좋은 출산 친화적 분위기 조성을 위해 출산축하금을 첫째 자녀는 60만원, 다섯째부터는 1000만원을 지급한다.   양주시는 18일 양주시의회 본회의에서 출산축하금 확대 지급 관련 조례 개정안이 통과됨에 따라 오는 7월1일부터 시행에 들어간다. 이번 조례 개정은 심각한 사회문제로 떠오른 저출산 문제에 적극 대응하기 위해 마련됐다. 대한민국 합계출산율은 2018년 0.98명, 2019년 0.92명으로 2년 연속 1명 미만의 역대 최저치를 기록하고 있다.   이성호 양주시장은 “양주시는 옥정-회천 신도시를 비롯해 대규모 도시개발과 급격한 인구증가에도 출생아 수는 감소하고 있다”며 “이번 조례 개정을 통해 적극적인 출산장려정책을 추진하는 등 아이 낳아 키우기 좋은 감동양주를 조성해 나가겠다”고 말했다.   양주시는 시민 중심 출산정책 수립을 위한 첫걸음으로 ‘출산장려금’ 용어를 ‘출산축하금’으로 변경해 지원자 관점이 아닌 수혜자 관점에서 출산장려사업을 추진한다.   특히 기존 둘째자녀 이상 가정에 50만원에서 100만원까지 지원하던 출산축하금을 첫째 자녀 60만원, 둘째 150만원, 셋째 200만원, 넷째 500만원, 다섯째 자녀 이상 1000만원으로 확대했다. 둘째-셋째 자녀인 경우는 2회로 나눠, 넷째-다섯째 자녀 이상인 경우는 5회에 걸쳐 지역화폐인 양주사랑카드로 분할 지급한다.   양주시는 안정적인 출산축하금 지원사업 추진을 위해 향후 5년간 69억여원의 예산을 투입할 계획이다. 지원 대상은 출생일 기준 90일 이상 양주시에 주소지를 둔 출산 가정으로 2020년 7월1일 이후 태어난 신생아부터 적용된다, 대상 가정은 출생신고 후 180일 이내에 거주지 관할 읍면동 주민센터를 방문해 신청하면 된다.   "
4,       특히 가임기(15∼49세) 여성 1명이 평생 낳을 수 있는 자녀의 수인 ‘합계출산율’은 2014년 1.35명에서 2018년 1.09명으로 줄었다. 이를 극복하기 위한 양주시의 출산장려금 지원은 2016년 2억6150만원에서 2019년 3억8610만원으로 증가했다.      이성호 양주시장은 “양주시는 옥정·회천신도시를 비롯한 대규모 도시개발과 급격한 인구 증가에도 불구하고 출생아 수는 감소하고 있다”며 “이번 조례 개정을 통해 적극적인 출산장려 정책을 추진하는 등 아이를 낳아 키우기 좋은 도시를 만들 것”이라고 말했다.      전익진 기자
5,"‘출산장려금’ 용어를 ‘출산축하금’으로 변경…이성호 양주시장 “아이 낳아 키우기 좋은 감동양주 조성”경기 양주시가 아이 낳아 키우기 좋은 출산 친화적 사회 분위기 조성을 위해 출산가정에 지원하는 출산축하금을 확대 지급한다고 21일 밝혔다.양주시는 최근 양주시의회 본회의에서 출산축하금 확대 지급 관련 조례 개정안이 통과됨에 따라 오는 7월 1일부터 출산축하금 확대 정책을 시행한다.시는 시민 중심의 출산정책 수립을 위한 첫걸음으로 ‘출산장려금’의 용어를 ‘출산축하금’으로 변경해 지원자의 관점이 아닌 수혜자의 관점에서 사업을 추진한다.기존 둘째 자녀 이상 가정에 50만원에서 100만원까지 지원하던 출산축하금을 첫째 자녀 60만원, 둘째 자녀 150만원, 셋째 자녀 200만원, 넷째 자녀 500만원, 다섯째 자녀 이상 1000만원으로 확대했다. 둘째·셋째 자녀인 경우는 2회로 나눠, 넷째·다섯째 자녀 이상인 경우는 5회에 걸쳐 지역화폐인 양주사랑카드로 분할 지급한다.시는 안정적인 출산축하금 지원사업 추진을 위해 향후 5년간 69억여원의 예산을 투입할 계획이다.지원대상은 출생일 기준 90일 이상 양주시에 주소지를 둔 출산 가정으로 2020년 7월 1일 이후 태어난 신생아부터 적용된다. 대상 가정은 출생신고 후 180일 이내에 거주지 관할 읍면동 주민센터를 방문해 신청하면 된다.이성호 양주시장은 “양주시는 옥정·회천신도시를 비롯한 대규모 도시개발과 급격한 인구 증가에도 불구하고 출생아 수는 감소하고 있다”며 “이번 조례 개정을 통해 적극적인 출산장려 정책을 추진하는 등 아이 낳아 키우기 좋은 감동양주 조성해 나가겠다”고 밝혔다.양주=박재구 기자"
6,"경기 양주시는 아이 낳아 키우기 좋은 출산 친화적 사회 분위기 조성을 위해 출산가정에 지원하는 출산축하금을 오는 7월 1일부터 확대 지급한다고 21일 밝혔다.  시는 시민 중심의 출산정책 수립을 위한 첫걸음으로 ‘출산장려금’의 용어를 ‘출산축하금’으로 변경, 지원자의 관점이 아닌 수혜자의 관점에서 사업을 추진한다. 특히, 기존 둘째자녀 이상 가정에 50만원에서 100만원까지 지원하던 출산축하금을 ▲첫째 자녀 60만원, ▲둘째 자녀 150만원, ▲셋째 자녀 200만원, ▲넷째 자녀 500만원, ▲다섯째 자녀 이상 1000만원으로 확대했다.둘째·셋째 자녀인 경우는 2회로 나눠, 넷째·다섯째 자녀 이상인 경우는 5회에 걸쳐 지역화폐인 양주사랑카드로 분할 지급한다. 시는 안정적인 출산축하금 지원사업 추진을 위해 향후 5년간 69억여원의 예산을 투입할 계획이다. 지원대상은 출생일 기준 90일 이상 양주시에 주소지를 둔 출산 가정으로 2020년 7월 1일 이후 태어난 신생아부터 적용된다,대상 가정은 출생신고 후 180일 이내에 거주지 관할 읍·면·동 주민센터를 방문해 신청하면 된다.이성호 양주시장은 “양주시는 옥정·회천신도시를 비롯한 대규모 도시개발과 급격한 인구 증가에도 불구하고 출생아 수는 감소하고 있다”며 “이번 조례 개정을 통해 아이낳아 키우기 좋은 환경을 조성해 나가겠다”고 말했다.☞공감언론 뉴시스"
7,"다음달 1일부터 시행경기 양주시가 아이낳기 좋은 환경을 만들기 위해 출산 축하금을 대폭 확대 지급한다. 양주시는 다음달 1일부터 첫째 자녀 출산 시 60만원, 둘째 150만원, 셋째 200만원, 넷째 500만원, 다섯째 이상 1,000만원을 지급하는 내용의 개정된 출산 출하금 정책을 시행한다.이는 기존 둘째 자녀 이상 가정에 50만원에서 100만원까지 지원하던 출산축하금을 대폭 확대한 것이다. 지원대상은 출생일 기준 90일 이상 양주에 주소지를 둔 출산 가정으로 2020년 7월 1일 이후 태어난 신생아부터 적용된다.축하금은 둘째, 셋째 자녀의 경우 2회에 걸쳐 지역화폐인 양주사랑카드로 분할 지급된다. 넷째와 다섯째 자녀 이상은 5회에 나눠 지급된다.  ‘출산장려금’이란 용어도 ‘출산축하금’으로 변경, 지원자가 아닌 수혜자의 관점에서 사업을 추진하기로 했다. 양주시는 출산축하금 지원사업에 향후 5년간 69억여원의 재정을 투입할 계획이다. 이성호 양주시장은 “우리나라 합계출산율이 2018년 0.98명, 2019년 0.92명으로 2년 연속 1명 미만의 역대 최저치를 기록하는 등 인구감소가 심각한 사회문제로 대두되고 있다”며 “저출산 문제에 대응하기 위해 적극적인 출산장려 정책을 추진하게 됐다”고 말했다.  이종구 기자"
8,"'출산파업'이란 말이 있다. 병원마다 신생아실이 텅텅 비고 있는 현실을 반영한 조어다. 24일 통계청이 발표한 인구동향을 보면 실감이 난다. 4월 출생아 수가 53개월째 감소세였다. 이대로 가면 올해 출생자 수는 최초로 30만명대로 떨어질 거라니 한 해 60만~100만명이 태어났던 베이붐 세대는 이제 전설이 된 느낌이다.   이로 인한 '인구절벽'은 결국 '경제절벽'과 맞닥뜨리게 된다. 고령화 추세와 맞물려 생산가능인구가 줄어 경제도 졸아들게 되면서다. 이런 악순환의 첫 번째 고리가 저출산이다. 여태껏 이 고리를 끊을 '신의 한 수'는 없었다. 지난 10여년 역대 정부가 무려 140조원을 쏟아부었지만 '밑 빠진 독에 물 붓기'에 그쳤다. 현 정부도 찔끔찔끔 현금을 쥐여주는 출산장려정책을 폈지만, 별무효과였다. 다락같이 오르는 집값과 사교육비로 허리가 휠 판인데 청년 세대인들 결혼해 아이를 낳을 엄두를 쉽게 내겠나.   포스코가 24일 '육아기 재택근무제'를 국내 기업 최초로 신설했다고 밝혔다. 만 8세 또는 초등학교 2학년 이하 자녀가 있는 직원이 직무여건에 따라 '전일'(8시간) 또는 '반일'(4시간) 재택근무를 신청할 수 있게 된 것이다. 젊은 직원들이 육아와 업무를 병행할 수 있게 해 '경력단절'을 걱정하지 않도록 한다는 취지다. 코로나19 사태로 안착된 재택근무제를 육아와 접목시킨 아이디어다.   정부도 못하는 저출산 문제 해결에 포스코가 팔을 걷어붙인 지는 오래됐다. 2017년부터 연간 최장 열흘까지 쓸 수 있는 난임치료 휴가 제도도 운용 중이다. 특히 이번 육아기 재택근무제는 출산파업의 가장 큰 원인인 육아 부담을 덜 수 있다는 점에서 주목된다. 고령화와 저출산은 세계적 추세다. 이를 해결할 왕도가 따로 있을 리도 없다. 청년들이 아이를 낳고 키울 수 있는 범사회적 환경을 '꾸준히' 조성해 나가는 길밖에 없다. 포스코의 이번 실험이 일과성에 그치지 않고 고로를 달구는 불꽃처럼 연면히 이어지기를 바란다.  "
9,"부산 최초, 월 최고 30만원씩 최대 1년 동안 지원… 올 7월 본격 시행부산 수영구가 부산 기초지자체 중 처음으로 아빠 육아휴직 장려금을 지원한다. 수영구(구청장 강성태)는 올 7월부터 남성의 육아참여 분위기 확대를 위해 월 최고 30만원씩 최대 1년 동안 지원하며 근로자의 통상임금을 넘지 않는 범위 내에서 360만원까지 아빠 육아휴직 장려금을 지원한다고 밝혔다.수영구는 본격적인 사업 시행에 앞서 제도의 법제화를 위해 부산 기초지자체 중 최초로 조례를 제정했다. 16일 오전 11시 제223회 수영구 의회 본회의를 통과됨에 따라 올해 편성된 예산 3600만원을 지원하며, 앞으로도 지속적으로 아빠의 육아휴직을 권장해 나갈 계획이다.아빠 육아휴직 장려금은 올해 수영구에 주민등록을 두고 1년 이상 거주 중이며 올해 7월 1일 이후에 육아휴직을 사용한 남성근로자 중 고용보험법상의 육아휴직 급여 지급요건을 충족한 사람이면 지원신청이 가능하며, 육아휴직 대상 자녀 또한 관내 주민등록을 두고 거주 중이어야 한다. 지원 대상이 되는 육아휴직 사용 남성은 고용센터에서 발행하는 육아휴직급여 지급결정통지서를 지참하고 동 행정복지센터에 육아휴직 장려금을 신청하면 혜택을 받을 수 있다.고용보험통계에 따르면 지난 해 12월 말 기준 부산광역시 남성 육아휴직급여 수급자 수는 1,283명으로 전체 육아휴직자의 13.6%에 불과하다. 이번 아빠 육아휴직 장려금 지원 사업 시행을 통해 남성의 육아참여 기회를 확대하고 여성의 경력단절을 줄여 결과적으로 출산율 증가에 도움을 줄 것으로 기대하고 있다.앞서 지난해 10월 수영구는 부산 기초지자체중 최초로 공립어린이집 전담 대체교사 지원 등 공보육에 대한 지원을 강화한 바 있다. 올해에는 출산장려금을 전년 대비 4억2500만원(둘째 출산 당초 20만원→증액 100만원, 셋째 출산 당초 30만원→증액 200만원, 넷째 이후 출산 70만원→증액 300만원) 증액 하여 대폭 확대 지원하는 등 다양한 출산보육정책을 신설·확대 추진하고 있다.강성태 수영구청장은 “이번 사업 시행을 통해 아빠가 시간 및 경제적 부담 없이 아이를 돌볼 수 있는 사회 분위기 조성에 기여할 것으로 기대한다. 앞으로도 ‘아이 키우기 좋은 도시 수영’을 만들기 위해 더욱 노력하겠다.”라고 밝혔다.정순형 선임기자"
