,contents
0,"교육부는 정부 차원에서 고졸 인재를 위한 괜찮은 일자리를 발굴하기 위해 30일 세종시에 중앙취업지원센터를 개소한다고 29일 밝혔다.    센터는 신종 코로나바이러스 감염증(코로나19) 위기 상황에서 위축되는 고졸 청년 인재들의 현장 실습·취업처 발굴에 나서고, 코로나19 사태 이후인 이른바 '포스트 코로나' 시대를 대비해 고졸 인재 취업을 위한 중장기 전략을 수립하는 역할을 수행한다.    교육부는 앞으로 관련 법령을 개정해 센터 운영 근거를 명확히 한다는 방침이다.    개소식에는 유은혜 부총리 겸 교육부 장관, 박영선 중소벤처기업부 장관, 김기문 중소기업중앙회 회장, 김덕술 자랑스러운중소기업인협의회(자중회) 회장 등이 참석한다.    교육부와 중기부, 중기중앙회, 자중회는 센터 개소식에 맞춰 고졸 취업 활성화를 위한 업무협약도 체결한다.    교육부와 중기부는 시도교육청과 협력해 우수 중소기업 맞춤형 인재 양성 체제를 마련하기로 했다.    중기중앙회와 자중회는 직업계고 학생들을 위한 현장실습 기회를 확대해 실질적인 채용으로 연계할 수 있도록 힘을 모으기로 했다.    유 부총리는 ""중앙취업지원센터의 1호 업무협약이 잘 실천돼 고졸 청년 인재들에게 희망의 빛이 되길 바란다""며 ""중소기업 인력 수요와 고졸 청년 구직이 잘 연계되는 계기가 되길 바란다""고 밝혔다.   "
1,"중앙정부 차원에서 취업처를 발굴하는 등 고졸취업 활성화를 위한 센터가 문을 연다.교육부는 30일 중앙취업지원센터를 세종시에 개소하고 중소벤처기업부-중소기업중앙회-자랑스러운중소기업인협의회와 취업 활성화 업무협약을 체결한다고 29일 밝혔다.센터는 전국 단위 일자리 발굴을 위한 중앙정부의 지원이 필요하다는 현장의 목소리를 반영해 출발했다. 운영 예산은 국민참여예산제도를 통해 국고 18억 원을 확보했다. 각 시도교육청은 2012년부터 취업지원센터를 설치해 왔다. 중앙취업지원센터를 통해 전국단위 협력망을 구축해 고졸취업에 적합한 양질의 일자리를 발굴한다. 직업계고 학생과 기업체를 직접 연결하는 취업지원 시스템을 갖춘다. 시도교육청 등 지역 단위에서 발굴에 어려움을 겪었던 직종별 협의체와 대기업 및 공공기관 일자리를 발굴하고 전 국민을 대상으로 고졸취업과 관련한 정책 홍보도 할 예정이다. 교사 및 취업지원관의 역량 강화를 위한 지침을 개발·보급하고, 현장실습·취업 현황의 모니터링을 통해 학생에 대한 권익침해가 발생하면 즉각적으로 지원 시스템을 가동하는 등 총괄적으로 지원한다. 포스트코로나 시대를 대비한 중장기적인 전략도 수립할 예정이다.교육부·중기부·중기중앙회·자중회는 고졸취업 활성화를 위한 업무협약을 체결한다. 교육부와 중기부는 시도교육청과 협력하여 우수 중소기업 맞춤형 인재 양성 체제를 마련한다. 중기중앙회와 자중회는 직업계고 학생들을 위한 현장실습 기회를 확대해 채용으로 연계한다.강성천 중소벤처기업부차관은 “코로나19 상황에도 불구하고, 고졸인재에게 좋은 일자리를 발굴하고 중소기업 채용 지원을 위해 관계기관이 협업하는 것은 매우 의미 있는 일이며 앞으로도 적극 협력하겠다”고 말했다.유은혜 부총리 겸 교육부장관은 “중앙취업지원센터의 1호 업무협약이 잘 실천되어 고졸청년 인재들에게 희망의 빛이 되길 바라며, 중소기업 인력수요와 고졸청년 구직이 잘 연계되는 계기가 되길 바란다”고 밝혔다.문보경기자"
2,"중앙취업지원센터 주요 역할 모식도 (사진=연합뉴스)고졸 인재들의 취업을 활성화하고 양질의 일자리를 발굴하기 위한 중앙취업센터가 문을 연다.교육부는 오는 30일 산하 중앙취업지원센터 개소식을 열고 중소벤처기업부-중소기업중앙회-자랑스러운중소기업인협의회와 고졸취업 활성화를 위한 업무협약을 체결한다고 29일 밝혔다.정부세종청사 인근에 위치한 중앙취업지원센터는 운영예산이 국고 18억원으로 책정됐다. 교육부는 앞으로 관련 법령 개정을 통해 운영 근거를 명확히 마련할 계획이다.중앙취업지원센터는 고졸청년 인재들을 위해 전국 단위 협력망을 구축해 고졸취업에 적합한 양질의 일자리를 발굴하고 직업계고 학생과 기업체를 직접 연결하는 취업지원 시스템을 갖출 예정이다.또 교사·취업지원관 역량 강화를 위한 지침을 개발·보급하고 현장실습·취업 현황의 모니터링을 통해 학생에 대한 권익침해가 발생하면 즉각적으로 지원 시스템을 가동하는 등 총괄적으로 지원하게 된다.교육부와 중기부는 이번 업무협약을 통해 시도교육청과 협력해 우수 중소기업 맞춤형 인재 양성 체제를 마련하고, 중기중앙회와 자중회는 직업계고 학생들을 위한 현장실습 기회를 확대해 실질적 채용으로 연계하게 된다.정세균 국무총리는 개소식에 ""고졸청년 인재들의 용기 있는 선택이 현실이 될 수 있도록 중앙취업지원센터가 청년들의 동반자가 돼 달라""는 영상메시지를 보낸다.유은혜 부총리 겸 교육부 장관은 직접 참석해 ""중앙취업지원센터가 일자리 인큐베이터 역할을 맡아 고졸청년 인재들에게 좋은 일자리를 제공하는 든든한 디딤돌이 되도록 적극적으로 지원하겠다""고 밝힐 예정이다."
3,"중소벤처기업부는 교육부, 중소기업중앙회, 자랑스러운중소기업인협의회와 오는 30일 중앙취업지원센터에서 고졸취업 활성화와 중소기업 채용 지원을 위해  업무협약을 체결한다고 29일 밝혔다.이번 업무협약은 고졸청년 인재 일자리 발굴 업무를 전담하기 위해 교육부 주관으로 설치한 중앙취업지원센터의 개소에 맞춰 이뤄진다. 앞서 이날 개소식에는 유은혜 부총리, 강성천 중기부 차관, 김기문 중기중앙회 회장, 김덕술 자중회 회장, 나영선 한국직업능력개발원 원장, 최교진 전국교육감협의회 회장, 이정우 한국장학재단 이사장 등이 참석했다. 업무협약에 따라 교육부와 중기부는 시도교육청과 협력해 우수 중소기업 맞춤형 인재 양성 체제를 마련하고, 중기중앙회와 자중회는 고졸청년 인재채용 수요 발굴과 현장실습 기회를 제공하기로 했다. 특히 중기부와 중기중앙회는 자중회 기업 등 우수 중소기업을 추천하고, 교육부는 이들 기업을 현장실습 선도기업으로 일괄 지정해 우수기업 포상 등 각종 인센티브를 제공하기로 했다. 강성천 중기부 차관은 “코로나19 상황에서도 고졸인재에게 좋은 일자리를 발굴하고 중소기업 채용을 지원하기 위해 관계기관이 모여 협업하는 것은 매우 의미있는 일”이라며 “중소벤처기업부도 적극 협력하겠다”고 말했다.유은혜 부총리는 “중앙취업지원센터의 1호 업무협약이 이어질 다른 업무협약의 모범이 될 수 있도록 약속이 잘 실천되어 고졸청년 인재들에게 희망의 빛이 되길 바란다”고 말했다.☞공감언론 뉴시스"
4,"지부장·회사 간부 등 4명, 18명에 5700만 원 받아 버스 운전기사로 채용 추천해 주는 대가로 돈을 받은 혐의로 재판에 넘겨진 부산 모 시내버스회사 노조 지부장과 회사 간부 등이 징역형의 집행유예를 선고받았다.부산지법 형사5부(부장 권기철)는 배임수재와 근로기준법 위반 혐의로 기소된 전국자동차노조 부산버스노조 모 운수 지부장 A(61) 씨에게 징역 1년에 집행유예 2년을 선고했다고 29일 밝혔다. 법원은 A 씨 범죄 수익인 2090만 원에 대해 추징 명령도 내렸다. 법원은 또 A 씨 공범인 운전기사 B 씨에게 징역 10월에 집행유예 2년, 돈을 받고 부정 채용을 묵인한 버스 회사 간부 C 씨와 총무과 직원 D 씨에게는 징역 8월, 징역 6월을 각각 선고하고 형의 집행을 유예했다.재판부는 “A 씨는 조합원들의 복리 증진을 위해 임무를 청렴하게 수행하여야 할 지위에 있었음에도 부정한 청탁을 받고 취업에 개입했다”며 “그러나 돈을 일부 반환한 점, 잘못을 뉘우치는 점 등을 참작했다”고 밝혔다. 판결문에 따르면 A 씨는 부산 한 시내버스 회사의 운전기사로 근무하다 2015년 이 회사 노조 지부장이 됐다. A 씨는 버스 기사를 신규 채용할 때 지부장의 추천권을 이용해 친구인 B 씨에게 버스 기사로 취직하고 싶은 사람을 소개해 달라고 부탁해 사람들을 소개받았다.A 씨는 2015년 7월 해운대구 한 커피숍에서 현금 600만 원을 받는 것을 시작으로 버스 기사를 원하는 3명에게서 200만∼500만 원을 받아 챙긴 혐의 등으로 재판에 넘겨졌다. A 씨를 비롯해 B 씨, 회사직원 등 4명이 2014년부터 2016년까지 채용 청탁받은 지원자는 모두 18명에 이르고, 이 중 15명이 실제로 채용된 것으로 드러났다. 이들 4명이 나눠 가진 채용 청탁금은 모두 5700여 만 원에 달한다.  부산="
5," 버스 운전기사로 채용 추천해 주는 대가로 돈을 받은 혐의로 재판에 넘겨진 부산의 한 시내버스회사 노조 지부장과 회사 간부 등이 징역형의 집행유예를 선고받았다.29일 법조계에 따르면 부산지법 형사5부(부장판사 권기철)는 배임수재와 근로기준법 위반 혐의로 기소된 전국자동차노조 부산버스노조 모 운수 지부장 A(61)씨에게 징역 1년에 집행유예 2년을 선고했다. 범죄 수익인 2090만원에 대해 추징 명령도 내렸다.법원은 또 A씨 공범인 운전기사 B씨에게 징역 10월에 집행유예 2년, 돈을 받고 부정 채용을 묵인한 버스 회사 간부 C씨와 총무과 직원 D씨에게는 징역 8월, 징역 6월을 각각 선고하고 집행을 유예했다.재판부는 ""A씨는 조합원들의 복리 증진을 위해 임무를 청렴하게 수행하여야 할 지위에 있었음에도 부정한 청탁을 받고 취업에 개입했다""며 ""다만, 돈을 일부 반환한 점, 잘못을 뉘우치는 점 등을 참작했다""고 밝혔다.2015년 부산 한 시내버스 회사의 노조 지부장이 된 A씨는 친구인 B씨로부터 버스 기사를 원하는 3명을 소개 받고 200만~600만원을 받아 챙긴 혐의 등으로 기소됐다.A씨를 비롯해 B씨, 회사직원 등 4명이 2016년까지 채용 청탁받은 지원자는 모두 18명에 이르는 것으로 조사됐다. 이 가운데 15명은 실제로 채용됐으며 A씨 등 4명이 나눠 가진 채용 청탁금은 모두 5700여만원에 달했다.조성필 기자"
6," 29일 인천공항 제1여객터미널 3층 출국장이 ‘코로나19’ 출국객이 없어 한산하다.29일 인천공항 제1여객터미널 3층 출국장. 이맘때쯤이면 여름 휴가철 해외로 떠나는 여행객들이 보안검색을 받느라 긴 줄을 서야 했지만 코로나19 여파로 출국객이 없어 한산했다.여행객들의 휴대품을 검색하느라 바빴던 보안검색요원들은 일손이 줄었지만 마음은 편치 않다. 최근 인천공항공사가 보안검색요원들을 청원경찰로 신분을 바꿔 직고용하기로 하자 이 같은 전환 방침에 반대하는 목소리가 나오고 있기 때문이다.비정규직의 정규직화로 논란의 중심에 선 보안검색요원들은 직접고용된다는 안도감보다는 ‘로또 취업’, ‘취업준비생(취준생) 일자리를 빼앗는다’ 등 “사실과 거리가 먼” 이야기들에 억울하다고 토로한다.2007년부터 보안검색요원으로 근무 중인 ㄱ씨(42)도 최근 공사가 발표한 직접고용 대상자다. 그는 “그동안 근로계약서만 7번 넘게 썼다”며 “다음달에 제3자회사인 인천공항경비(주)로 임시 편제되지만, 연봉이 얼마인지도 모르는 상태에서 근로계약서를 또 써야 한다”고 말했다.ㄱ씨는 (주)유니에스 소속이다. 그는 처음에 유니에스에 입사했지만 입찰을 통해 새로 낙찰된 씨큐어넷(주)으로 소속이 바뀌었다가 다시 입찰을 통해 유니에스가 선정되자 또 소속이 바뀌었다. 회사가 바뀌거나 임금이 변경될 때, 그리고 근무형태가 바뀔 때마다 ㄱ씨는 근로계약서를 다시 썼다. 인천공항의 60개 파견·용역업체 9785명이 모두 ㄱ씨와 비슷한 처지다.29일 인천공항 제1여객터미널 3층 서측에 위치한 여행사 안내 카운터가 ‘코로나19’ 로 이용객이 없어 텅 비었다.■‘직고용’을 불공정의 상징처럼 매도해항공기를 타 본 사람은 보안검색요원이 어떤 일을 하는지 안다. 보안검색요원들은 항공보안법에 따라 테러 등을 예방하기 위해 항공기 탑승 전 여행객의 신체와 위탁·휴대 수하물을 검색해 위해물품을 적발한다. X-레이 판독자들은 1년 이상의 훈련을 통한 고도의 숙련성과 전문성을 갖추고 있다. 이들은 최일선에서 국민의 생명과 안전을 지키는 공항 노동자들이다. 미국은 9·11 테러 이후 보안검색요원들을 국토안보부 산하 교통보안청(TSA) 소속으로 바꿨다.사회관계망서비스(SNS)에 떠도는 것처럼 아르바이트는 불가능하며, 전원 공채와 엄격한 심사를 통해 선발된다. 208시간의 전문교육과 국토교통부의 보안검색인가증을 받아야만 현장에 투입된다. 75%가 4년제 대졸자이다. 신입 연봉은 기본급이 최저시급 8950원으로 야간·연장근로수당을 합해 3240만원, 10년차는 3730만원이다. 이들은 오전·오후·야간조로 나눠 근무한다. 하루 13시간 서서 근무하는 등 열악한 근무 환경과 처우 등으로 그만두는 사람도 부지기수다.인천공항 보안검색노조 관계자는 “2017년 5월12일 문재인 대통령이 정규직화를 선언한 이후에도 2019년 12월까지 그만둔 보안검색요원은 477명으로 이직률이 무려 25%에 달한다”며 “보안검색요원 상당수는 현장에서 여객 휴대품을 넣은 바구니를 올렸다 내렸다 하는 일을 반복하고 무거운 수하물을 들어 손목과 어깨, 무릎 등에 ‘골절염’을 앓고 있다”고 말했다.또 다른 보안검색요원 ㄴ씨(41)는 “직고용될 보안검색요원들은 공사 공채를 준비하려는 취준생들의 새 일자리를 빼앗는 것이 절대 아니다”라며 “오히려 문 대통령의 선언 이후 입사해 고용승계 대상에서 제외된 800여명의 동료들이 공채시험에서 떨어질까 걱정된다”고 말했다. 이어 “대부분 30∼40대인 보안검색요원들은 가족들에게 우리가 불공정의 상징처럼 보여지는 게 가장 가슴 아파한다”고 덧붙였다.이번에 직고용되는 공항 노동자는 보안검색요원 1902명만이 아니다. 화재 진압과 구조를 맡고 있는 소방대 노동자 211명과 활주로 주변에서 조류충돌(버드 스트라이크)예방 활동을 하는 야생동물통제요원 30명도 있다.정규직화를 추진하는 인천공항 노(노조)·사(사측)·전(전문가) 협의회는 2017년 생명·안전 분야 노동자 30%를 직고용하기로 이미 합의했다.29일 인천공항 제1여객터미널 3층 출국장 체크인카운터가  ‘코로나19’ 로 이용객이 없어 텅 비었다.■공채시험에 동료 낙방할까 걱정지난 27일 인천공항공사는 고용승계 대상이 아닌 소방대 노동자들에 대해 공채 필기시험을 진행했다. 관리·예방·소방대원 등 64명을 뽑는데 소방 공무원을 준비하는 취준생 등 599명이 응시해 9 대 1의 경쟁률을 보였다. 소방대 노동자는 ‘공채’ 때문에 오히려 현 소방대 노동자들이 떨어지는 역차별이 우려된다고 주장했다.소방노동자 ㄷ씨(54)는 “이번에 공채시험을 본 소방노동자들은 3년 전 입사할 때 이미 국가직인 소방공무원들과 똑같은 신체검사와 필기, 체력테스트를 통해 뽑혔다”며 “공공부문 제로화 선언 이후 입사한 48명 중 상당수가 떨어진다면 그동안 힘들게 근무한 것이 모두 헛고생이 된다”고 말했다.소방노동자 관리직 19명은 문 대통령 정규직화 선언 이전 입사해 고용승계 대상인데도 인천공항공사가 12명을 뽑는 공채에 응시하게 했다고 주장했다. 이 같은 행위는 정부의 정규직화 가이드라인을 어긴 것으로 공채시험을 치른 관리직들은 지난 15일 인천지법에 ‘공개경쟁채용 절차중지’ 가처분 신청을 제기했다.인천공항에는 직고용이 아닌 자회사로 전환돼 고용불안이 해소된 것에 대해 만족하는 노동자들도 많다. 지난 4월 제2자회사인 인천공항서비스(주) 소속으로 정규직이 된 청소노동자 ㄹ씨(62)는 2007년 입사 이후 13년간 소속사가 4번 바뀌었다. 인천공항공사가 3∼5년마다 입찰을 통해 새 용역업체를 선정하기 때문이다.ㄷ씨는 “이제 근로계약서를 다시 쓰지 않고, 65세 정년까지 안정적으로 일할 수 있게 됐다”며 “인천공항이 세계 최고 공항이 된 데에는 현장 노동자들도 큰 역할을 한 만큼 그에 상응하는 대우를 해 줘야 한다”고 말했다.또 다른 현장 노동자인 ㅁ씨(38)는 “일반직 공채 출신인 인천공항공사 정규직은 직급이 높아지면서 본부장 등 임원이 되고, 퇴직 때는 자회사 임원이나 사장도 할 수 있지만 현장 노동자들은 정년 때까지 줄곧 현장만 지킨다”고 했다.문 대통령은 80%가 넘는 인천공항 비정규직 노동자들이 업체가 바뀔 때마다 근로계약서를 다시 써야 하는 고용불안을 해소하기 위해 취임 3일 만에 인천공항을 방문, 공공부문 비정규직 제로화를 선언했다. 인천공항 1만명 정규직화는 노·사·전 협의회가 합의한 직고용 30%에 8% 부족한 22%로 3년 만인 이달 말 마무리된다.인천공항 여객터미널 전경.|인천국제공항공사 제공■청원경찰로 바꿔 채용해 빌미 제공이들의 직고용에 반대하는 이들도 있다. 인천공항공사 정규직들은 보안검색요원 직고용에 대해 ‘과정이 공정하지 못하다’며 반발하고 있다. 인천공항공사 신입 사원 연봉은 4589만원, 정규직 평균연봉은 9100만원(2019년 기준)이다. 공사는 보안검색요원을 직고용하면 별도직군으로 관리·운영하고, 초봉은 3850만원이 될 것이라고 밝혔다.인천공항공사는 대학생이 꼽은 가장 일하고 싶은 공기업 1위로, 인기 직장이다. 경쟁률 100 대 1을 뚫고 입사한 인천공항공사 정규직들은 공채를 위해 3∼4년을 준비한다.연봉 8000만원 정도를 받는 대리급 ㅁ씨는 “이번에 직고용될 노동자들은 자회사로도 가도 얼마든지 고용안정이 되는데, 노조의 힘을 이용해 공정한 입사 절차도 없이 정규직 1545명보다 많은 2143명이 한꺼번에 입사하게 돼 부당하다는 생각이 든다”고 말했다. ㅁ씨는 이어 “이들이 직고용돼 노조를 설립하면, 인원이 많은 곳으로 단체교섭권이 넘어가 회사 경영권을 위협할 수도 있다”고 했다.이번 정규직화 사태는 사측이 빌미를 제공한 측면도 있다. 인천공항공사는 지난 2월까지만 해도 특수경비원인 보안검색요원 1902명은 현행 항공보안법과 경비업법, 통합방위법으로는 직고용이 불가능해 법이 개정돼야 가능하다며 소방대와 야생동물통제만 직고용하겠다고 밝혔다. 그러나 지난 22일 갑자기 보안검색요원을 청원경찰로 신분을 바꿔 직고용하겠다고 발표해 논란을 자초한 셈이 됐다.글·사진 박준철 기자"
7,"수원공업고등학교가 취업맞춤반 프로그램을 통해 수원지역 중소기업 맞춤형 인재양성에 박차를 가하고 있다.수원공업고등학교(교장 이기홍)는 최근 학생 84명과 수원 인근 47개 기업 간 취업맞춤반 취업·채용 협약식을 개최했다고 밝혔다.이번 협약식은 코로나19 영향으로 4일간 학과별로 기업대표, 취업맞춤반 학생을 비롯해 학부모 등 200여명이 참석했다. 중소기업 특성화고 인력양성사업을 소개하고 병역특례제도를 중심으로 다양한 질의응답 시간도 가졌다.이번 취업맞춤반 취업·채용 프로그램은 △건설정보과 11개사 △전기전자제어과·디지털게임과 12개사 △자동차과 10개사 △기계과 14개사 등 총 5개 학과에 47개 기업이 매칭돼 진행된다.학교는 취업을 원하는 학생을 대상으로 기업방문을 실시하고 기업 담당자와 면담을 통해 학생이 자신에게 적합한 회사를 선택할 수 있도록 돕는다. 기업은 학생을 심층면접하고 인적성을 파악해 필요 인력을 선발한다.학생은 20시간 직업기초과정과 110시간 전공 직업능력개발훈련에 참여해 해당기업 직무를 분석하고 산업현장에서 요구하는 기술을 배운다. 취업맞춤반에 선발된 학생은 산업기능요원에 우선 편입돼 병역특례 혜택이 주어진다.서민환 수원공고 교감은 “코로나19로 힘든 상황 속에서도 수원공고는 기업현장 맞춤형 교육을 통해 명실상부한 취업 명문학교로 거듭나고 있다”면서 “취업맞춤반 학생이 지성, 인성, 전문지식을 갖춰 협약 중소기업에서 훌륭한 기능인으로 발전할 수 있기를 바란다”고 말했다.이준희기자"
8,"(서울=연합뉴스) ""1천900여 명의 보안검색 노동자들을 직접 고용하기로 했다.""    지난 21일 인천국제공항공사의 발표.    최근 몇 년간 공사 측과 갈등을 빚어온 인천공항의 보안검색 요원들.    ""안전과 생명 관련 업무 분야는 반드시 정규직으로 전환하겠다.""    2017년 대통령의 약속대로 직접 고용해달라고 주장.     공사가 법률 검토를 거쳐 이들을 청원경찰 신분으로 직접 고용하기로 한 것.    그러나 적격심사를 거쳐 직고용되는 대상은 2017년 5월 정규직 전환 선언 이전에 입사한 보안요원들.    ""고용안정 담보하라.""    나머지는 공개경쟁 채용 대상이 된다는 소식에 보안요원 노조 일부 반발.    ""힘든 경쟁을 뚫고 들어온 직원들과 형평성에서 문제.""    공사 기존 정규직들도 들고 일어났는데.    공사의 이번 결정에 가장 강한 거부감을 표현하는 이들은 취준생·청년층.    ""노력하는 이들의 자리를 뺏는 게 평등인가.""    공사 입사를 위해 노력해온 사람들의 기회를 뺏고 박탈감을 준다며 반발.    '무분별한 비정규직의 정규화를 멈추라.'    청와대 국민청원은 게시 하루 만에 정부 답변 기준인 20만명 이상의 동의를 받았다.    현 정부 들어 추진된 공공부문의 정규직 전환 정책.    최근 3년여간 공공부문의 정규직 전환 인원은 약 9만명(한국전력공사 8천237명·한국도로공사 6천959명·한국철도공사 6천163명·인천국제공항공사 4천810명·한국공항공사 4천161명 등).    ""철도공사는 역무·승무 정규직화로 사무영업 '티오'(채용 정원)가 줄었다.""    국민청원 게시자 등은 이 같은 정규직 전환 추세가 향후 취업 시장에 악영향을 미칠 것이라 우려.    #인국공사태, #로또취업반대.    SNS에는 정규직 전환 대상이 된 사람들을 '로또' 맞은 것에 빗댄 키워드가 등장.    #부러진펜운동.    특히 부러진 연필 그림을 올리며 '부러진 펜 운동'에 동참하는 사람들이 생겨났는데.    '취업을 위해 공부한 사람만 바보가 됐다'는 반감에 이 같은 움직임이 확산한 것.    '부러진 펜 운동할 시간에 공부해서 취업이나 해라.'    '그만 징징거려라.'    취준생·청년층의 반발을 비판하는 여론도 만만치 않은데.    올해까지 3년 연속 '대학생이 꼽은 가장 일하고 싶은 공기업' 1위에 오른 꿈의 직장, 인천국제공항공사.    ""노동시장의 공정성 문제를 해결하기 위한 정부의 노력.""    황덕순 청와대 일자리수석이 해명과 국민 설득에 나섰지만.     ""고용상 평등권을 침해하는 차별행위.""    지난 25일 인권위에 진정이 제기되는 등 '인국공 사태' 논란은 쉽게 수그러들지 않을 기세다.이은정 기자 김지원 작가 진민지 인턴기자    "
9," 전남 영광군은 지난 25일 미취업 청년들에게 월 50만 원씩 최대 6개월간 구직활동비를 지원하는 「청년 취업활동수당 지원사업」 대상자 42명을 선정했다.청년 취업활동수당 지원사업은 군비(100%)로 미취업 청년에게 교육비, 교재비, 면접비, 교통비 등 구직활동에 소요되는 경비를 지원하기 위해 추진하는 사업이다. 군은 지난 2일부터 17일까지 만 18세 이상 45세 이하 미취업 청년을 대상으로 모집하여 실업급여 수급자·취업성공패키지·전남 청년구직활동수당 참여 여부, 기준중위소득 150% 이하 가구 등 서류심사를 거쳐 대상자를 최종 선정했다. 선정자에게는 1인당 300만 원(월 50만 원, 6개월)이 영광사랑카드(180만 원)와 현금(120만 원)으로 지급된다. 청년 취업활동수당 지원사업 대상자는 매월 구직활동 결과보고서를 군에 제출해야 수당을 지원받을 수 있다. 선정 이후 전출, 진학, 취·창업, 구직활동 결과보고서 미제출 시 취업활동수당 지급이 중지된다.군 관계자는 “코로나19로 인해 많은 청년들이 구직활동에 어려움을 겪는 상황이지만 취업활동수당을 통해 조금이나마 보탬이 되었으면 좋겠다”며 “구직활동 결과보고서, 만족도 조사 등을 통해 지속적인 모니터링을 할 계획이다”고 말했다.[기사제보"
