,contents
0,"한국마이크로소프트가 민관학 협력을 통해 맞춤형 노인 케어 서비스 실증사업을 지원한다. 서울시립마포노인종합복지관 이용자를 대상으로 인공지능(AI) 스피커, 웨어러블 디바이스를 통합적으로 활용해 동작 인지 데이터를 분석하고, 이를 통한 정신질환 예방 및 케어 가이드를 제공할 예정이다.29일 한국마이크로소프트는 연세대학교 간호대학·연세의료원, 서울시립마포노인종합복지관, 비알프레임과 함께 노인의 우울증, 치매와 같은 정신질환을 미리 예방하고 케어하는 맞춤형 돌봄 서비스 실증사업을 시작한다고 밝혔다.해당 사업의 공식 명칭은 ‘멀티모달 통합 패턴 인지 기반의 맞춤형 돌봄 서비스’다. 오늘부터 2021년 11월까지 서울시립마포노인종합복지관 이용자를 대상으로 실증사업이 진행될 예정이다. ‘멀티모달’은 멀티모달 인터페이스(Multi-modal Interface)의 줄임말로, 사람과 기계간 통신을 위해 음성·키보드·펜 등 다양한 수단을 통합해 정보를 주고받는 것을 말한다. 마이크로소프트는 ‘디지털 헬스케어 미래 전략’의 일환으로 국내에서 지난 2017년부터 웨어러블 디바이스 기반의 정신질환 헬스케어의 연구개발(R&D) 사업을 지원하고 있다.이번 실증사업은 참여기관들간의 긴밀한 협업을 통해 진행된다. 실증대상인 서울시립마포노인종합복지관은 초기 단계부터 우울증 연구를 위한 노인 선정 지원 및 돌보미를 위한 케어 서비스에 대한 구체적인 요건 협의를 통해 실생활에서의 활용성을 높이는 것에 주력하고 있다.질환 예측 모형을 개발한 연세대학교 간호대학 소속 김희정 교수 연구팀은 신촌 세브란스병원 노년내과와의 협업을 통해 인지 측정 방법 및 의료 서비스 가이드를 개발하며, 마이크로소프트의 ISV 파트너인 비알프레임(BRFrame)은 디바이스간의 데이터 연계, 통합 인지 모형 구축, 딥러닝 및 비지도 학습 기반 이상 패턴 감지 기술을 담당한다. 마이크로소프트는 AI 기반의 서비스 플랫폼과 기술 지원을 담당한다.IT기술로 노인 돌봄...안전 모니터링→예방 목적이번 실증 사업은 다양한 기기를 활용해 복합적인 생체데이터와 패턴을 파악하고, 정신건강문제를 신속하게 예측하는 동시에 관련 서비스를 제공하는 사례를 확대하는 데 목표를 두고 있다. 이를 위해 AI, 빅데이터, 사물인터넷(IoT) 등 최신 IT기술이 적극 활용된다. 마이크로소프트의 AI 기반 모션 인식 장치인 애저 키넥트와 시중에서 쉽게 구매할 있는 삼성 갤럭시 워치 등 웨어러블 디바이스, AI 스피커 등을 통합적으로 활용하여 케어 서비스 실증에 집중할 계획이다.노인 실증 대상자는 웨어러블 디바이스를 착용하고 거주지 내 AI 스피커를 설치하면 된다. 마이크로소프트는 각 디바이스에서 수집된 각종 동작 정보(누움, 일어섬, 앉음, 식사, 수면 등), 거주지 체류 시간, 손님 방문 여부 등의 데이터를 통합 인지하고, 이를 바탕으로 AI스피커를 통해 우울증과 같은 정신건강문제 예방하기 위한 맞춤형 케어 가이드가 음성·영상 등으로 자동 지원되도록 개발할 예정이다.서울시립마포노인종합복지관 김윤태 복지관장은 “이번 실증사업은 서울시 자치구 중 최초로 시도되는 것” 이라며 “기존 안전 모니터링 중심에서 적극적으로 데이터와 IT 기술을 활용한 예방 서비스로 자리잡아 노인분들의 삶의 질 개선과 지역사회 케어 서비스의 성공적인 모델이 되길 바란다”고 말했다.연세대학교 간호대학 김희정 교수는 “질환예측 모형 개발시에는 웨어러블 디바이스 제공과 함께 연구원들이 노인분들을 1:1대면을 통해 맞춤형 설명과 지속적인 추후 관리를 제공되는 온오프믹스 형태의 케어를 동시에 제공함으로써 예측모형의 정확도를 높일 수 있다”라며 “이번 추진되는 실증사업에서는 연세의료원 노년내과 참여를 통해 인지측정 및 케어 가이드를 제공드림으로써 좀 더 실질적인 도움을 드리는 데 목적이 있다”고 전했다.한국마이크로소프트 공공 사업부문 김현정 전무는 “클라우드 및 AI 기술을 활용해 위급 상황이 발생할 수 있는 노인분들을 실시간으로 체크하고 대처할 수 있는 사업에 함께 할 수 있어 뜻깊다”며 “언택트 시대에 IT 기업으로서 기술 뿐 아니라 지속적으로 사회적 이슈를 해결하는데 다양한 지원을 아끼지 않겠다”고 말했다.김인경 기자"
1,"한국마이크로소프트는 노인 우울증·치매 등 정신질환을 예방하고 돌보는 맞춤형 서비스 실증사업을 시작한다고 29일 밝혔다.    연세대 간호대학 및 연세의료원, 서울시립마포노인종합복지관, 비알프레임과 함께 '멀티모달 통합 패턴 인지 기반의 맞춤형 돌봄 서비스'란 이름으로 내년 11월까지 마포노인종합복지관 이용자를 대상으로 이뤄진다.     MS의 인공지능(AI) 기반 동작 인식 장치인 '애저 키넥트'와 삼성 갤럭시 워치 등 몸에 착용하는 웨어러블 디바이스와 AI 스피커 등을 활용한다.     실증 대상자가 해당 기기를 착용하면 각종 동작 정보(누움·일어섬·앉음·식사·수면 등), 거주지 체류 시간, 손님 방문 여부 등 데이터를 통합적으로 인지, 분석해 거주지 내 설치된 AI 스피커에서 우울증 같은 정신건강문제를 예방하는 맞춤형 가이드를 음성·영상으로 지원한다.    연세대 간호대학 김희정 교수는 ""질환예측 모형 개발시에는 웨어러블 디바이스와 함께 연구원들이 노인분들을 일대일로 만나 맞춤형으로 설명하고 지속해서 관리해 예측모형의 정확도를 높일 수 있다""고 설명했다.     마포노인종합복지관 김윤태 복지관장은 ""데이터와 IT 기술을 활용한 예방 서비스로 노인분들의 삶의 질 개선과 지역사회 케어 서비스의 성공적인 모델이 되길 바란다""고 말했다.    한국MS 공공 사업부문 김현정 전무는 ""언택트 시대에 IT 기업으로 사회적 이슈를 해결하는 데 다양한 기술적 지원을 아끼지 않겠다""고 말했다.   "
2,"한국마이크로소프트는 인공지능(AI) 기기를 활용해 노인의 우울증·치매 등 정신질환을 예방하고 돌보는 맞춤형 서비스 실증사업을 시작한다고 29일 밝혔다.사업의 공식 명칭은 '멀티모달' 통합 패턴 인지 기반의 맞춤형 돌봄 서비스'로 연세대 간호대학 및 연세의료원, 서울시립마포노인종합복지관, 비알프레임과 함께 내년 11월까지 마포노인종합복지관 이용자를 대상으로 진행된다.멀티모달은 멀티모달 인터페이스를 줄임말로 사람과 기계간 통신을 위해 음성, 키보드, 펜 등을 이용해 정보를 주고받는 것을 말한다.해당 서비스에는 마이크로소프트의 인공지능(AI) 기반 동작 인식 장치인 '애저 키넥트'와 삼성 갤럭시 워치 등 웨어러블 디바이스와 AI 스피커 등을 활용한다.실증 대상자가 웨어러블 기기를 착용하면 각종 동작 정보(누움·일어섬·앉음·식사·수면 등), 거주지 체류 시간, 손님 방문 여부 등 데이터를 통합적으로 인지해 거주지 내 설치된 AI 스피커에서 우울증 같은 정신건강문제를 예방하는 맞춤형 가이드를 음성·영상으로 지원한다.김희정 연세대 간호대학 교수는 ""질환예측 모형 개발시에는 웨어러블 디바이스와 함께 연구원들이 노인분들을 일대일로 만나 맞춤형으로 설명하고 지속해서 관리해 예측모형의 정확도를 높일 수 있다""고 설명했다.김현정 한국마이크로소프트 공공 사업부문 전무는 ""클라우드 및 AI 기술을 활용해 위급 상황이 발생할 수 있는 노인들을 실시간으로 체크하고 대처할 수 있는 사업에 함께 할 수 있어 뜻깊다"" 며 ""비대면(언택트) 시대에 IT 기업으로서 기술 뿐 아니라 지속적으로 사회적 이슈를 해결하는데 다양한 지원을 아끼지 않겠다""고 말했다.v_v@news1.kr"
3,"옥천군치매안심센터는 7월부터 치매안심센터 이용객을 대상으로 송영서비스를 실시한다고 29일 밝혔다. 송영차량은 치매안심센터-시외버스 터미널(607번 승강장 앞)-옥천군보건소-시내버스 종점-치매안심센터 구간을 오전 2회, 오후 4회 등 6회 운영한다. 매시간 15분에 치매안심센터를 출발한다.송영서비스는 가는 사람을 보내고 오는 사람을 맞는다는 의미로 옥천치매안심센터가 시행하고 시책이다. 2020년 5월말 기준 옥천군 내 65세 이상 인구는 1만4894명(29.3%)로 초고령사회로 진입했다. 이 중 60세 이상 추정치매유병률이 9.06%에 이르는 것으로 조사됐다. [보은군, 재산분 주민세 자진신고․납부기간 운영 ]  보은군은 7월 1일부터 31일까지 재산분 주민세에 대한 자진신고·납부기간을 운영한다고 29일 밝혔다.재산분 주민세의 납세의무자는 과세기준일(7월 1일) 현재 연면적 330㎡를 초과하는 사업소를 둔 사업주이다. 세율은 사업소 연면적 1㎡당 250원의 세액이 부과된다. 다만 오염물질 배출 사업소는 2배의 중과세액을 부과한다. 문의는 보은군청 재무과 지방소득세팀으로 하면 된다"
4,"여성은 남성보다 뇌에서 알츠하이머병과 관련 있는 변화가 더 많이 일어나고 이는 폐경기 때 호르몬 장애와 연관이 있다는 연구 결과가 나왔다.  알츠하이머병은 치매를 일으키는 가장 흔한 퇴행성 뇌질환으로 서서히 발병하여 기억력을 포함한 인지기능의 악화가 점진적으로 진행되는 질환이다.  '헬스데이'에 따르면, 미국 뉴욕시 웨일 코넬 메디슨의 리사 모스코니 박사는 ""알츠하이머병이 있는 사람의 약 3분의 2가 여성""이라며 ""일반적으로 이는 여성이 더 오래 살기 때문으로 여겨져 왔다""고 말했다.  모스코니 박사는 ""이번 연구는 호르몬 요인이 누가 뇌에서 변화를 겪을지를 예측할 수 있다는 것을 보여준다""며 ""이번 연구 결과는 뇌 영상의 특징 혹은 뇌의 생체지표의 변화를 보여주는데 폐경 상태가 알츠하이머병과 관련된 여성의 뇌 변화에 대한 최고의 예측 인자가 될 수 있다는 것을 시사한다""고 말했다.  웨일 코넬 메디슨 연구팀은 사고력이나 기억력에 문제가 없는 여성 85명과 남성 36명을 대상으로 연구를 진행했다. 연구팀은 알츠하이머병과 연관된 베타-아밀로이드 플라크 수치와 뇌의 회색과 백색물질의 양, 뇌 활동의 지표인 뇌가 포도당을 대사시키는 속도를 측정하기 위해 뇌 스캔을 했다.  연구팀은 모든 수치에서 여성들의 점수가 더 나쁘다는 것을 발견했다. 남성들과 비교했을 때 여성들은 평균적으로 베타-아밀로이드 플라크를 30% 더 갖고 있었고, 남성들보다 포도당 대사가 22% 더 낮았다.  또한 회색과 백색 물질의 양도 11% 적었다. 모스코니 박사는 ""이번 연구 결과는 중년 여성들이 폐경이나 폐경 후에 에스트로겐 호르몬의 낮은 수치 때문에 알츠하이머병에 걸릴 위험이 더 높을 수 있다는 것을 시사한다""고 말했다.  그는 ""모든 성 호르몬이 관련돼 있는 것 같지만 이번 연구에 따르면 에스트로겐의 감소는 우리가 관찰한 여성들의 알츠하이머병 생체지표 이상과 관련이 있다는 것을 나타낸다""며 ""특히 뇌 속 회색물질의 손실 패턴은 뇌 에스트로겐 네트워크와 해부학적으로 겹친다는 것을 보여준다""고 덧붙였다.  이번 연구 결과(Sex-driven modifiers of Alzheimer risk)는 '뉴롤로지(Neurology)'에 실렸다.권순일 기자 "
5,"식약처 ""치매약 '콜린알포세레이트' 효과 있는지 다시 평가""식약처가 지난 23일, '콜린알포세레이트'가 들어간 의약품 255개 품목을 임상 재평가하겠다고 발표했습니다.'콜린아포세레이트'는 치매치료제에 들어가는 성분으로, 이 약을 파는 134곳 제약사는 오는 12월까지 임상시험을 실시할 것인지 알리고, 한다면 계획서를 제출해야 합니다. 임상 재평가를 하지 않겠다고 하면 판매를 중단해야 합니다.이번 식약처 결정은 제약사에겐 '마른하늘에 날벼락'입니다. 이미 임상했던 의약품을 다시 '재평가', 그러니까 다시 임상시험을 해서 효과를 입증해야 하기 때문입니다.　　왜 임상을 다시 해야 하나요?우리나라에 처음 들어온 콜린알포세레이트제제인 '글리아티린'은 이탈리아 제약사 이탈파마코가 개발했는데요.동화약품이 최초로 품목허가를 받고 지난 2000년 대웅바이오가 판권을 넘겨 받아 판매했습니다. 이후 2016년에는 종근당도 이탈파마코와 계약을 맺고 '종근당 글리아티린'이란 이름으로 판매에 나섰습니다.현재 국내에서 이 제제 시장 규모는 약 3천억 원인데요. 지난해 시장의 절반가량을 종근당의 '글리아티린'과 대웅바이오의 '글리아타민'이 차지하고 있습니다.이후 현재까지 100여 개 제약사에서 250개가 넘는 제품을 선보였는데 지난 2017년 갑자기 의문이 제기됩니다.'건강사회를 위한 약사회'가 ""약 효과에 대한 근거가 부족한데 전문의약품으로 분류돼 수 년 동안 상당 규모로 건강보험 급여에서 나가고 있다""라며 공론화한 것인데요. 이후 국정감사 대상이 되는 등 논란이 확산됐습니다.이에 건강보험심사평가원이 치매로 인한 효능에는 급여를 유지하되, 그 외의 효능에는 선별급여를 적용하도록 했습니다.식약처도 ""과거 콜린알포세레이트가 허가될 당시 인용된 자료는 1990년대 만들어져 너무 오래됐다""며 ""효능 논란이 지속적으로 빚어지고 있어 새로운 추가 임상 자료를 반영해 허가 사항 변경 여부를 결정하겠다""는 입장을 내놨고, 그 결과 이번에 임상 재평가 실시가 발표된 겁니다.　""치매치료제, 다른 의약품 임상과는 차원이 달라""그럼에도 제약사들은 '콜린알포세레이트'가 지난 2018년 품목허가 갱신을 통과한 만큼, 이번 임상 재평가를 납득하기 힘들다는 입장입니다.또 단순히 임상에 필요한 돈 때문만이 아니라 효능에 대한 '증명' 자체가 어렵다고 말합니다.이 약을 파는 한 제약사 관계자는 ""'치매'라는 인지장애는 고령층을 대상으로 하기 때문에 임상 중도 탈락이 많다""며 ""이 과정을 거쳐 설사 결과가 나온다 하더라도 인지장애를 판단할 객관적 지표가 없어 입증이 매우 어렵다""고 말했습니다.고령 환자의 인지장애로 검사 일정을 따라오지 못해 검사가 제대로 진행되지 않는 문제가 있고, 결국 임상시험 대상자가 다수로 시작해 몇 명 남지 않는 상황이 벌어지는 겁니다.　머리 맞댄 100개 제약사…""대책 논의도 아직""하지만 어쩌겠습니까.제약사들이 환자들이 안심하고 처방받을 수 있도록 효능을 다시 입증해 보자는 식약처의 뜻을 거스를 순 없습니다.제약사 100여 곳 실무진이 오늘 온라인으로 비대면 회의를 열었지만 대책은커녕 심평원과 식약처의 재평가 근거 등에 대해서만 파악하는 수준에서 끝났습니다.콜린알포세레이트는 '인지장애' 치료제라는 점에서 임상시험이 힘든 약물임이 분명합니다.그럼에도 지난해 기준 185만 명의 환자가 이 약을 처방받았습니다. 고령화 시대에 이 약이 적절하게 처방되기 위해서는 이제는 재평가가 필요한 약물인 것도 부정할 수 없습니다.무엇보다 불필요한 건강급여가 새어나가는 건 아닌지 다시 한번 점검이 필요해보입니다.제약사들의 임상 재평가를 통해 효능이 있고 안전한 약물임을 평가받길 바랍니다.     이한나 기자"
6,"신종 코로나바이러스 감염증(코로나19)이 요양원 등 미국 장기요양시설을 덮치면서 알츠하이머와 치매 환자에 대한 돌봄 활동이 직간접적인 지장을 받았고 이로 인해 이들 환자의 사망률이 전년 대비 최대 18% 증가했다는 보도가 나왔다. 28일(현지시간) 월스트리트저널(WSJ)에 따르면 미국 질병통제예방센터(CDC)는 지난 2월부터 5월까지 알츠하이머와 치매 환자 대략 10만명이 사망했다고 추정하고 있다. 특히 미국에서 코로나19가 본격 확산되기 시작한 지난 3월 중순부터 알츠하이머와 치매 환자 사망자가 급격히 증가하기 시작했고 4월 중순부터는 하루 250여명이 사망했다. WSJ는 모든 사망자가 코로나19와 직접적인 연관이 있는 것은 아니지만 최근 몇년간 사망률 평균 보다 18% 높은 수치라고 지적했다. 이들 사망자 일부는 코로나19에 때문에 숨졌을 가능성이 높다고 CDC는 추정하고 있지만 사태 초기 검사장비 부족 등 때문에 사망 진단서에는 코로나19가 적시돼지 않았다고도 했다.WSJ는 코로나19로 간접 2차 피해로 숨진 사람도 다수 존재할 것으로 추정된다고 했다. 지난해 9월 미국 위스콘신주 요양원에 입소한 치매 환자 루스 레이겔은 지난 3월 코로나19 확산 방지를 위해 가족 방문이 금지될 때까지 매주 최소 36시간을 가족과 함께 보냈다. 그는 당초 남편과 자녀 7명을 모두 알아봤지만 가족 방문이 금지된 이후 병세가 악화됐고 5월말 고관절 골절상을 입은 이후 폐렴에 걸려 돌연 사망했다. 그의 자녀는 가족 직접 상봉이 금지된 이후 가족과 함께 할 수 없다는 스트레스와 변한 환경 때문에 모친의 상태가 더 악화됐다고 전했다.CDC 사망자 통계과장인 로버트 앤더슨 박사는 ""알츠하이머와 치매 환자들은 보통 허약하다""면서 ""가족 구성원과 간병인의 꾸준하고 긴밀한 돌봄에 의존하고 (일상이) 붕괴되는 것에 취약하다""고 지적했다. 그는 ""허약한 이들에게 가해지는 과도한 스트레스는 사망에 치닫게 할수도 있다""고 설명했다.장기요양시설 입소자 처우 개선을 위한 비영리단체 사무국장을 맡고 있는 로리 스메탄카는 ""(코로나19 때문에 가족의 시설 방문이 어려웠다는) 사실을 이해하지 못하는 치매 환자들에게는 특히나 힘든 일이었다""며 ""우리는 외로움과 버림 받았다는 고통 때문에 병세가 악화되고 죽어가는 사례를 보고 듣고 있다""고 했다.☞공감언론 뉴시스"
7,"미국에서 알츠하이머와 치매 환자들이 신종 코로나바이러스 감염증(코로나19) 대유행으로 가족들이 방문을 중단하자 병세가 악화돼 사망하는 사례가 증가하고 있다.28일(현지시간) 월스트리트저널(WSJ)에 따르면 미국 질병통제예방센터(CDC)는 지난 2월부터 5월까지 약 10만명의 알츠하이머 및 치매 환자가 사망했다고 밝혔다. 모든 환자들이 코로나19에 감염돼 사망한 것은 아니지만 최근 몇년 간의 평균 치매 사망자 수보다 18% 높다. 특히 각 주에서 봉쇄조치를 시작한 3월부터 사망자가 급격히 증가하기 시작했다. 비영리재단 전미장기요양원 소비자목소리의 로리 스메탄카 사무국장은 ""전염병 유행으로 돌봄시설 거주자들의 가족들이 갑자기 방문을 중단했는데 그 이유를 이해하지 못하는 치매 환자들에게는 특히 힘든 일이었다""고 말했다.스메탄카 국장은 ""우리는 말 그대로 외로움과 버림받은 느낌으로 치매 환자들의 병세가 악화되고 죽는 사례들을 보고 듣고 있다""고 설명했다.위스콘신주 마시필드의 한 요양원에서 살고 있는 치매 환자 루스 레이겔은 지난 3월 요양원 측이 감염 방지를 위해 가족 방문을 금지할 때까지 남편과 7명의 자녀들을 모두 알아봤다고 한다. 레이겔의 딸 에이미 캐터나흐는 ""(봉쇄 이후) 어머니 병세가 악화됐고, 창밖을 통해 가족을 봤을 때 우리를 알아보는 능력이 떨어지는 것 같았다. 어머니는 적어도 6차례 넘어졌다""고 호소했다.   레이겔은 지난달 말 고관절 골절상을 입었고 폐렴으로 발전해 결국 이틀 만에 숨졌다. 가족들은 그가 사망하기 직전이 돼서야 대면할 수 있었다.로버트 앤더슨 CDC 국립보건통계센터 과장은 ""전염병이 돌봄에 어려움을 초래했기 때문에 건강이 좋지 않은 사람들이 더 자주 사망했다""며 ""과도한 스트레스는 연약한 사람들을 죽게 만들 수 있다""고 밝혔다"
8,"KT는 두뇌·인지능력 개발과 치매 예방을 위해 혼합현실(Mixed Reality.MR) 솔루션과 신규 콘텐츠를 삼성서울병원과 공동으로 연구 개발한다고 28일 밝혔다.    MR이란 현실 공간에 사실감을 극대화한 3차원 가상 이미지와 영상을 구현하는 기술이다. 이용자는 별도의 장비를 착용하지 않고도 가상 환경을 체험할 수 있다.    KT는 2018년 MR과 스포츠를 결합한 'MR 스포츠 솔루션'을 선보였다. 올해 5월에는 교육과 헬스케어 콘텐츠를 결합한 솔루션 'KT 리얼 큐브'를 출시해 기업 간 거래(B2B) 사업을 벌이고 있다.    KT 리얼 큐브는 두뇌와 신체 발달을 동시에 꾀하는 MR 솔루션이다. 이용자가 솔루션의 효과를 파악할 수 있는 측정 지표도 제공한다.    이번 제휴를 계기로 KT는 삼성서울병원 뇌 신경센터 및 치매연구센터와 협업해 두뇌·인지 발달 효과 관련 데이터를 검증하는 연구를 한다.     또한 신체 능력 측정 전문기관의 기초 체육 측정 지표를 활용해 데이터 신뢰도를 높일 계획이다.    KT 커스터머신사업본부장 김훈배 전무는 ""KT의 실감형 미디어 기술과 삼성서울병원의 의료 역량을 결합해 혁신적 의료 및 헬스케어 서비스를 선보일 수 있을 것""이라며 ""앞으로도 다양한 분야에서 실감 미디어 영역을 확장하겠다""고 말했다.    삼성서울병원 미래의학연구원 이규성 연구부원장은 ""삼성서울병원 의료진의 의학 연구 역량을 기반으로 KT와 콘텐츠 개발을 위해 적극적으로 협력해 혼합 현실 서비스를 의료 영역에 폭넓게 활용할 수 있을 것""이라고 말했다.삼성서울병원 미래의학연구원 이규성 연구부원장(사진 왼쪽)과 KT 커스터머신사업본부장 김훈배 전무 [KT 제공. 재판매 및 DB 금지]   "
9,   서울 강남구 삼성서울병원 대회의실에서 진행된 협약식에서 미래의학연구원 이규성(왼쪽) 연구부원장과 KT 커스터머신사업본부장 김훈배 전무. KT     KT는 삼성서울병원과 손잡고 두뇌·인지능력 개발과 치매 예방을 위해 실감미디어(MR) 솔루션을 공동으로 연구 개발한다고 28일 밝혔다. MR이란 현실 공간에 사실감을 극대화한 3차원 가상 이미지와 영상을 구현하는 기술이다. 이용자는 별도의 장비를 착용하지 않고도 가상 환경을 체험할 수 있다.    KT는 2018년 MR과 스포츠를 결합한 'MR 스포츠 솔루션'을 선보였다. 올해 5월에는 교육과 헬스케어 콘텐트를 결합한 솔루션 'KT 리얼 큐브'를 출시해 기업 간 거래(B2B) 사업을 벌이고 있다.    KT 리얼 큐브는 두뇌와 신체 발달을 동시에 꾀하는 MR 솔루션이다. 이용자가 솔루션의 효과를 파악할 수 있는 측정 지표도 제공한다.    KT는 이번 제휴로 삼성서울병원 뇌 신경센터 및 치매연구센터와 협업해 두뇌·인지 발달 효과 관련 데이터를 검증하는 연구를 한다.    또 신체 능력 측정 전문기관의 기초 체육 측정 지표를 활용해 데이터 신뢰도를 높일 계획이다.    KT 커스터머신사업본부장 김훈배 전무는 “KT의 실감형미디어 기술과 삼성서울병원의 의료 역량을 결합하면 보다 혁신적인 의료 및 헬스케어 서비스를 선보일 수 있을 것”이라고 말했다.      삼성서울병원 미래의학연구원 이규성 연구부원장은 “삼성서울병원 의료진의 뛰어난 의학 연구 역량을 기반으로 지속적인 콘텐트 개발을 위해 KT와 적극 협력해 혼합 현실 서비스를 의료 영역에 폭 넓게 활용하는 성과를 이룰 수 있을 것으로 확신한다”고 말했다.    권오용 기자 kwon
