,contents
0,"엔씨소프트(대표 김택진)는 캐릭터 브랜드 ‘투턱곰(TWOTUCKGOM)’과 아이돌그룹 ‘몬스타엑스(MONSTA X)’의 신규 콜라보 웹예능 ‘몬스타엑스의 뉴트로랜드’를 선보인다.‘몬스타엑스의 뉴트로랜드’는 복고 컨셉트의 아이템을 ‘뉴트로(새로움과 복고의 합성어)’ 감성으로 재해석한 몬스타엑스 멤버들의 이야기다. 7월 7일 오후 7시 첫 방송을 시작으로 총 7회에 걸쳐 투턱곰 공식 유튜브 채널에서 단독 공개된다. 투턱곰과 몬스타엑스는 런칭 기념 V LIVE(브이라이브)도 진행한다. 이번 웹예능의 OST ‘무모하게 대책 없지만(with TTG)’도 주요 음원 사이트를 통해 공개할 예정이다.  엔씨소프트는 ‘투턱곰 X 몬스타엑스 콜라보 굿즈’도 출시한다. 몬스타엑스 멤버들의 손글씨, 생일, 탄생석 등을 모티브로 한 투턱곰 레이어드링 등의 상품으로 구성됐다. 콜라보 굿즈를 구매하면 몬스타엑스 영상통화 사인회 응모권과 멤버들의 손글씨가 담긴 시리얼컵, 홀로그램 랜덤 포토키링, 레트로 종이인형 및 딱지 세트, 투명 포카 프레임 및 포토카드 세트 등의 경품도 받을 수 있다.콜라보 굿즈는 오는 7월 7일 오전 10시부터 공식 온라인 스토어에서 구매할 수 있다. 7월 9일부터는 서울 신사동 가로수길에 위치한 ‘플래그십 스토어’에서도 만나볼 수 있다.엔씨소프트 엔터사업실 김정하 실장은 “투턱곰과 몬스타엑스가 새로운 콜라보 웹예능을 선보인다”며 “앞으로도 투턱곰만의 매력이 돋보이는 다양한 활동을 이어가겠다”고 말했다.[임영택기자"
1,"광주은행은 본점에서 송종욱 은행장과 임직원, 어린이 등이 참석한 가운데 캐릭터 'KJBEARS'(웅이·달이·단지)의 탄생을 축하하는 첫 걸음을 했다고 24일 밝혔다.    출발식에서는 웅이와 달이 등의 첫걸음을 기념하는 공연과 캐릭터 선포 퍼포먼스, 캐릭터 개발 경과보고, 홍보 마케팅 전략 등을 발표했다.    곰 세 마리를 형상화한 캐릭터로 기존에 금융 브랜드가 가진 경직된 이미지를 벗고 친근하고 편안한 이미지로 고객에게 다가가고자 개발했다고 광주은행은 설명했다.    광주은행은 금융의 디지털화와 생활밀착형 금융 패턴의 시대 흐름에 맞춰 단순 금융서비스 제공에 그치는 것이 아니라 다양한 연령층의 소비자에게 '광주은행'의 매력을 선보이는 마케팅과 고객과의 소통이 필요한 시점이라고 강조했다.    젊은 고객 등 미래 고객 확보에 이 캐릭터 마케팅을 활용하고 고객의 감성을 자극하는 상품 정보 전달에도 효과가 있을 것으로 기대한다.    곰 캐릭터를 각종 금융상품과 인터넷·스마트·모바일웹뱅킹과 같은 디지털 금융 플랫폼에서 고객과 소통의 창구로도 활용할 계획이다.    우선 카드와 통장 등 금융상품과 비대면채널 금융 프로세스에 캐릭터를 디자인으로 활용한다.    최근 출시한 '멍이냥이카드'에 반려동물 사진을 삽입해 고객의 관심을 유도하는데 성과를 거두기도 했다.    메신저 이모티콘, 캐릭터 인형 등 고객을 위한 상품으로 제작해 온·오프라인에서 광주은행에 대한 친숙한 이미지를 부각하고 브랜드 인지도를 높이는 데 활용하기로 했다.    송종욱 광주은행장은 ""이번 자체 개발한 캐릭터를 통해 고객에게 한 걸음 더 다가가고 마음을 나누는 은행이 되도록 하겠다""며 ""고객에게 신뢰와 사랑을 받는 금융 브랜드로 거듭날 수 있도록 하겠다""고 말했다.   "
2,"광주은행, 캐릭터 'KJ BEARS' 출시하며 친근하고 사랑받는 은행으로 거듭나 (사진=광주은행 제공)광주은행은 24일 본점에서 송종욱 은행장과 임직원, 어린이 등이 참석GO 캐릭터 'KJ BEARS'(웅이·달이단지)의 탄생을 축하하는 런칭식을 했다고 밝혔다.이날 런칭(출시)식에서는 '웅이·달이·단지'의 첫걸음을 기념하는 공연 및 캐릭터 선포 퍼포먼스 등을 진행하고, 캐릭터 개발 경과보고 및 홍보 마케팅 전략을 발표했다.'웅이·달이·단지'는 곰 세 마리를 형상화한 광주은행 캐릭터로 기존에 금융 브랜드가 가지는 경직된 이미지에서 벗어나 더 친근하고 편안한 이미지로 고객에게 다가가기 위해 개발됐다. 이들 캐릭터에 이름과 의미, 성격까지 정의되면서 앞으로 광주은행 홍보에 적극적으로 활용할 계획이다.금융의 디지털화와 생활밀착형 금융패턴이 대두되는 시대 흐름에 맞춰 광주은행은 단순 금융서비스 제공에 그치는 것이 아니라 다양한 연령층의 소비자들에게 '광주은행' 브랜드에 대한 매력을 보일 마케팅과 고객과의 소통에 대한 필요성을 인식했다.또한 치열한 금융환경에서 점차 주거래은행의 개념이 옅어짐에 따라 부수적 요인들을 통한 고객 유치가 중요해졌다. 이에 따른 영향을 크게 받는 유스(Youth)고객을 유인해 미래고객을 확보하는데도 캐릭터 마케팅 활용은 유용할 것으로 보인다. 특히 디지털 시대에 있어 기존의 틀에 박힌 정보전달식의 마케팅이 아니라 캐릭터를 통해 고객의 감성을 자극하는 상품 정보 전달이 상당한 마케팅 효과를 끌어낼 것으로 기대된다.이에 따라 광주은행은 KJ BEARS '웅이·달이·단지' 캐릭터를 각종 금융상품과 인터넷·스마트·모바일웹뱅킹과 같은 디지털 금융 플랫폼에서 고객과의 소통의 창구로 활용함으로써 브랜드 홍보 및 마케팅에 박차를 가할 계획이다.가장 먼저 광주은행은 카드 및 통장 등 금융상품과 비대면채널 금융 프로세스에 KJ BEARS 캐릭터를 디자인으로 활용할 예정이다. 지금까지 고객들은 상품의 디자인보다 할인율과 금리 혜택 등에 관심이 더 컸다면 이제는 자신의 개성이나 취향을 담아낸 상품의 디자인 또한 금융소비 선택에 중요한 영향력을 미친다. 최근 출시한 광주은행의'멍이냥이카드'는 카드에 자신의 반려동물 사진을 삽입하는 것만으로도 고객의 관심을 유도하는데 큰 성과를 거뒀다.또한 메신저 이모티콘, 캐릭터 인형 등 고객을 위한 굿즈로 제작해 온·오프라인에서 광주은행에 대한 친숙한 이미지를 부각시키며 브랜드 인지도를 높이는데 활용할 것이다. 평소 광주은행은 페이스북, 인스타그램, 유튜브 등 소셜 네트워크 서비스(SNS)를 매체로 광주은행의 각종 정보, 행사, 신상품 등을 소개하며, 적극적인 홍보와 공유 활성화에 힘쓰는 한편, 은행의 상품과 서비스 프로세스에 대한 고객의 의견을 반영하여 개선하기 위한 소통채널로 '톡톡(Talk-Talk)자문단'을 운영하여 고객의 목소리에 귀 기울이고 있다.따라서 이번 캐릭터 자체개발을 통해 광주은행은 고객과의 소통 통로를 더 넓히고, 고객중심경영 실천에 힘을 기울임으로써 광주전남 대표은행의 브랜드 강화를 이룰 것으로 기대된다."
3,"송종욱 은행장 ""친근하고 사랑받는 은행으로 거듭날 터""  【파이낸셜뉴스 전남=황태종 기자】광주은행은 24일 본점에서 송종욱 은행장, 이성욱 노조위원장, 송현 상임감사위원, 어린이 등이 참석한 가운데 캐릭터 'KJBEARS(웅이·달이·단지)'의 탄생을 축하하는 런칭식을 가졌다고 밝혔다.'웅이·달이·단지'는 곰 세 마리를 형상화한 광주은행 캐릭터로 기존에 금융 브랜드가 가지고 있는 경직된 이미지에서 벗어나 보다 친근하고 편안한 이미지로 고객에게 다가가기 위해 개발됐다.광주은행은 디지털 시대를 맞아 기존의 틀에 박힌 정보전달식의 마케팅이 아니라 캐릭터를 통해 고객의 감성을 자극하는 상품 정보 전달이 상당한 마케팅 효과를 끌어낼 것으로 기대하고 있다.이에 따라 KJBEARS '웅이·달이·단지' 캐릭터를 각종 금융상품과 인터넷·스마트·모바일웹뱅킹과 같은 디지털 금융 플랫폼에서 고객과의 소통 창구로 활용함으로써 브랜드 홍보 및 마케팅에 박차를 가할 계획이다.광주은행은 먼저 카드 및 통장 등 금융상품과 비대면채널 금융 프로세스에 KJBEARS 캐릭터를 디자인으로 활용할 예정이다. 지금까지 고객들은 상품의 디자인보다 할인율과 금리 혜택 등에 관심이 더 컸다면 이제는 자신의 개성이나 취향을 담아낸 상품의 디자인 또한 금융소비 선택에 중요한 영향력을 미친다. 최근 출시한 광주은행의 '멍이냥이카드’는 카드에 자신의 반려동물 사진을 삽입하는 것만으로도 고객의 관심을 유도하는데 큰 성과를 거뒀다.광주은행은 또 메신저 이모티콘, 캐릭터 인형 등 고객을 위한 굿즈로 제작해 온·오프라인에서 광주은행에 대한 친숙한 이미지를 부각시키며 브랜드 인지도를 높이는데 활용할 계획이다. 광주은행은 평소 페이스북, 인스타그램, 유튜브 등 소셜 네트워크 서비스(SNS)를 활용해 각종 정보, 행사, 신상품 등을 소개하며, 적극적인 홍보와 공유 활성화에 힘쓰고 있다. 아울러 은행의 상품과 서비스 프로세스에 대한 고객의 의견을 반영하고 개선하기 위한 소통채널로 '톡톡(Talk-Talk)자문단'을 운영하며 고객의 목소리에 귀기울이고 있다.특히 이번 캐릭터 개발을 통해 고객과의 소통 통로를 더욱 넓히고, 고객중심경영 실천에 힘을 기울임으로써 광주·전남 대표은행의 브랜드 강화를 이룰 것으로 기대된다.송종욱 은행장은 ""고객중심·지역밀착경영으로 항상 고객님의 가장 가까이에서 인생의 동반자, 금융 파트너가 되고자 다방면에서 힘을 기울이고 있다""면서 ""이번 광주은행 캐릭터 개발 또한 금융의 딱딱한 이미지를 벗고 고객님께 보다 친근하게 다가가 보다 더 행복한 금융을 선사하고자 하는 마음에서 시작됐다""고 말했다.   또 ""상품 및 프로세스 개발을 비롯한 금융서비스에서부터 고객님과 마음을 나누는 사회공헌활동까지 캐릭터를 활용한 홍보와 마케팅을 통해 광주·전남 대표은행을 넘어서는 브랜드로서 입지를 확고히 다지고, 고객님께 신뢰와 사랑을 받는 금융 브랜드로 거듭날 수 있도록 최선을 다하겠다""고 강조했다. "
4," 삼양식품이 캐릭터 ‘호치’를 활용해 다양한 상품을 선보이며 불닭브랜드 강화에 나섰다.삼양식품은 최근 한국과 일본에서 라인 메신저용 호치 이모티콘을 출시했다고 24일 밝혔다.라인 메신저용 호치 이모티콘은 메신저에서 자주 사용하는 40가지의 표현을 호치 캐릭터를 활용해 제작한 것이다. 호치의 다양한 몸짓과 표정으로 전하고자 하는 메시지를 생생하게 표현할 수 있으며, 라인 스토어에서 구입할 수 있다.이와 함께 삼양식품은 자사 온라인 쇼핑몰인 삼양맛샵에서 불닭 캐릭터 굿즈를 판매한다.판매 제품은 아트박스와 협업해 선보인 문구류 4종(핵불닭볶음면 수첩, 불닭볶음면 노트, 핵불닭볶음면·불닭볶음면 지우개), 애경산업 2080 브랜드와 컬래버레이션한 ‘2080 호치치약’, 컵라면 뚜껑 홀더로 사용할 수 있는 호치 피규어 ‘라꿍’ 등 총 6가지이다. 전 제품 모두 10% 할인된 가격에 판매한다.삼양맛샵에서 호치 굿즈를 판매하는 것은 이번이 처음으로, 삼양식품은 추후 판매 상품을 확대해 나갈 계획이다.삼양식품 관계자는 “호치 굿즈로 소비자들에게 신선한 즐거움을 제공하며 친근한 브랜드로 다가가고자 한다”며 “향후에는 게임 등 콘텐츠 분야로 호치의 활용 범위를 확대해 나갈 계획”이라고 말했다.삼양식품은 2014년 불닭브랜드 제품에 ‘호치’ 캐릭터를 적용했으며, 이를 기반으로 타 업계와 적극적인 컬래버레이션을 추진하고 있다. 토니모리의 ‘불타는 에디션’을 비롯해 LG생활건강과 겨울시즌 한정 상품으로 ‘메디핫팩’을, SG생활안전과 ‘불닭 마스크’를 선보인 바 있다."
5,"삼양식품이 캐릭터 '호치'를 활용해 다양한 상품을 선보이며 불닭브랜드 강화에 나섰다. 삼양식품은 최근 한국과 일본에서 라인 메신저용 호치 이모티콘(사진)을 출시했다고 24일 밝혔다.라인 메신저용 호치 이모티콘은 메신저에서 자주 사용하는 40가지의 표현을 호치 캐릭터를 활용해 제작한 것이다. 호치의 다양한 몸짓과 표정으로 전하고자 하는 메시지를 생생하게 표현할 수 있으며, 라인 스토어에서 구입할 수 있다.이와 함께 삼양식품은 자사 온라인 쇼핑몰인 삼양맛샵에서 불닭 캐릭터 굿즈를 판매한다. 판매 제품은 아트박스와 협업해 선보인 문구류 4종(핵불닭볶음면 수첩, 불닭볶음면 노트, 핵불닭볶음면·불닭볶음면 지우개), 애경산업 2080 브랜드와 컬래버레이션(협업)한 '2080 호치치약', 컵라면 뚜껑 홀더로 사용할 수 있는 호치 피규어 '라꿍' 등 총 6가지다. 전 제품 모두 10% 할인된 가격에 판매한다.삼양맛샵에서 호치 굿즈를 판매하는 것은 이번이 처음으로, 삼양식품은 추후 판매 상품을 확대해 나갈 계획이다.삼양식품 관계자는 ""호치 굿즈로 소비자에게 신선한 즐거움을 제공하며 친근한 브랜드로 다가가고자 한다""면서 ""향후에는 게임 등 콘텐츠 분야로 호치의 활용 범위를 확대해 나갈 계획""이라고 말했다.삼양식품은 2014년 불닭브랜드 제품에 호치 캐릭터를 적용했으며, 이를 기반으로 타 업계와 적극적인 컬래버레이션을 추진하고 있다. 토니모리의 '불타는 에디션'을 비롯해 LG생활건강과 겨울시즌 한정 상품으로 '메디핫팩'을, SG생활안전과 '불닭 마스크'를 선보인 바 있다.황상욱 기자"
6," 삼양식품이 캐릭터 '호치'를 활용해 다양한 캐릭터 상품을 선보인다.삼양식품은 최근 한국과 일본에서 라인 메신저용 호치 이모티콘을 출시했다고 24일 밝혔다.라인 메신저용 호치 이모티콘은 메신저에서 자주 사용하는 40가지의 표현을 호치 캐릭터를 활용해 제작했다.이와 함께 삼양식품은 자사 온라인 쇼핑몰인 삼양맛샵에서 불닭 캐릭터 굿즈를 판매한다. 판매 제품은 아트박스와 협업해 선보인 문구류 4종, 애경산업과 만든 '2080 호치치약', 컵라면 뚜껑 홀더로 사용할 수 있는 호치 피규어 '라꿍' 등 총 6가지다.삼양맛샵에서 호치 굿즈를 판매하는 것은 이번이 처음으로, 삼양식품은 추후 판매 상품을 늘릴 계획이다.삼양식품 관계자는 ""호치 굿즈로 소비자들에게 신선한 즐거움을 제공하며 친근한 브랜드로 다가가고자 한다""며 ""향후에는 게임 등 콘텐츠 분야로 호치의 활용 범위를 확대해 나갈 계획""이라고 말했다.김아름기자"
7," 삼양식품은 불닭 캐릭터인 호치를 이용해 라인 메신저용 이모티콘을 출시했다고 24일 밝혔다.   라인 메신저용 호치 이모티콘은 메신저에서 자주 사용하는 40가지의 표현을 호치 캐릭터를 활용해 제작한 것이다. 이와 함께 삼양식품은 자사 온라인 쇼핑몰인 삼양맛샵에서 불닭 캐릭터 굿즈를 판매한다. 아트박스와 협업해 선보인 문구류 4종(핵불닭볶음면 수첩, 불닭볶음면 노트, 핵불닭볶음면·불닭볶음면 지우개), 애경산업 2080 브랜드와 협업한 ‘2080 호치치약’, 컵라면 뚜껑 홀더로 사용할 수 있는 호치 피규어 ‘라꿍’ 등 총 6가지다. 전 제품 모두 10% 할인된 가격에 판매한다. 삼양식품은 추후 판매 상품을 확대해 나갈 계획이다.   삼양식품 관계자는 “호치 굿즈로 소비자들에게 신선한 즐거움을 제공하며 친근한 브랜드로 다가가고자 한다”며 “향후에는 게임 등 콘텐츠 분야로 호치의 활용 범위를 확대해 나갈 계획”이라고 말했다.   "
8," 광주은행이 친숙한 이미지의 곰 캐릭터를 새로 선보이고 고객에게 보다 친근하고 신뢰받는 은행으로 자리매김하기 위해 마케팅을 강화한다.광주은행은 최근 본점에서 송종욱 은행장과 임직원, 어린이 등이 참석한 가운데 곰 세마리를 형상화한 캐릭터 론칭식을 가졌다고 25일 밝혔다. ‘KJ 베어스’로 이름붙여진 광주은행의 새 캐릭터는 웅이, 달이, 단지로 구성된다. 웅이는 곰의 든든함을, 안경을 쓴 달이는 똑똑함을, 단지는 꿀단지에 소중함을 담겠다는 의미라고 은행 측은 설명했다.이들 캐릭터는 금융의 디지털화와 생활밀착형 금융패턴이 요구되는 시대 흐름에 맞춰 단순 금융서비스 제공에 그치는 것이 아니라 다양한 연령층의 소비자에게 광주은행의 매력을 보여주는 마케팅과 고객 소통에 적극 활용할 계획이다.이번에 개발한 캐릭터는 최근 들어 주거래은행의 개념이 무의미해지는 치열한 금융환경에서 젊은 고객 등 미래 고객을 확보하기 위한 마케팅 활용에도 유용할 것으로 보인다. 특히 틀에 박힌 정보전달식의 마케팅이 아니라 캐릭터를 통해 고객의 감성을 자극하는 상품 정보 전달이 상당한 마케팅 효과를 끌어낼 것으로 기대된다.이에 따라 광주은행은 곰 캐릭터를 각종 금융상품과 인터넷·스마트·모바일웹뱅킹과 같은 디지털 금융 플랫폼에서 고객과 소통의 창구로 활용할 계획이다. 먼저 카드와 통장 등 금융상품과 비대면채널 금융 프로세스에 곰 캐릭터를 디자인으로 활용할 예정이다. 최근 출시한 광주은행의‘멍이냥이카드’는 카드에 자신의 반려동물 사진을 삽입해 고객의 관심을 유도하는데 성과를 거두기도 했다. 또 메신저 이모티콘, 캐릭터 인형 등을 굿즈로 제작해 온·오프라인에서 광주은행에 대한 친숙한 이미지를 부각시켜 브랜드 인지도를 높이는데도 활용할 계획이다.송종욱 광주은행장은 “캐릭터 개발은 금융의 딱딱한 이미지를 벗고 고객에게 보다 친근하게 다가가 보다 더 행복한 금융을 선사하고자 하는 마음에서 시작됐다”며 “상품과 프로세스 개발은 물론 금융서비스부터 사회공헌활동까지 캐릭터를 활용한 홍보와 마케팅을 통해 신뢰와 사랑을 받는 금융 브랜드로 거듭나도록 최선을 다하겠다”고 말했다. /광주=김선덕기자"
9,"11번가가 올해 들어 매달 한 차례씩 뷰티 라이브 커머스를 진행 중이다. 당일 거래액이 최대 20배까지 증가하는 등 반응이 좋다.25일 11번가에 따르면 지난 2월부터 조성아 뷰티, 에뛰드, 아이오페, 헤라 등과 라이브 커머스를 선보였다. 방송 당일 해당 브랜드 거래액은 평소 일 평균 거래액 대비 적게는 5배, 많게는 20배까지 폭발적으로 늘었다.헤라 5배(359%), 에뛰드 9배(769%), 조성아 13배(1179%), 아이오페 20배(1920%) 수준이다. 방송 당일 각 브랜드의 거래액은 월 평균 거래액의 30~40%에 달한다. 한 달 거래액의 3분의 1 이상이 하루 만에 판매되는 셈이다.이날 오후 7시에는 100만 구독자를 보유한 뷰티 유튜버 '윤쨔미'와 함께 에뛰드 여름 신상품을 소개한다. 에뛰드가 디즈니 인기 캐릭터 '썸썸'과 협업해 최근 출시한 상품, '어썸 파티 컬렉션'의 틴트와 쿠션 등을 소개한다.방송이 끝난 뒤에도 오는 30일까지 방송에 소개된 어썸 파티 컬렉션 6종을 정가보다 최대 40% 저렴한 가격에 구매할 수 있다.김명식 11번가 라이프뷰티 담당은 ""온라인쇼핑의 한계를 극복한 뷰티 라이브방송이 동영상 정보에 익숙한 젊은 고객들에게 효과적인 소통 방식으로 자리잡고 있다""며 ""꾸준히 다채로운 콘텐츠를 통해 고객들과 소통하겠다""고 말했다.☞공감언론 뉴시스"
