,contents
0,"조양래 회장, 조현범 사장에게 보유지분 전량 23.59% 매각차남 조사장 42.9%로 최대주주...장남 조현식 부회장 반격 주목"
1," 조양래 한국테크놀로지그룹(옛 한국타이어월드아이드) 회장이 보유 지분 전체를 차남인 조현범 사장(사진)에게 매각한 것으로 알려졌다. 그룹의 후계 구도가 이명박 전 대통령의 사위인 조 사장으로 가닥이 잡힌 것으로 보인다.29일 재계에 따르면 조 사장은 지난 26일 블록딜(시간 외 대량매매)로 아버지 지분(23.59%)을 모두 인수해 최대주주가 된 것으로 알려졌다. 주식매수 대금은 약 3000억원으로 추정된다. 조 사장의 지분은 당초 19.31%로 형인 조현식 부회장(19.32%)과 같았지만 조 회장 지분을 더하면 43%로 늘어난다.그동안 조 부회장은 지주사인 한국테크놀로지그룹 부회장을, 조 사장은 최고운영책임자(COO) 사장과 자회사인 한국타이어앤테크놀로지 대표이사 사장을 맡고 있었으나 후계구도는 정해지지 않은 상태였다. 다만 조 부회장이 반격하며 형제 간 갈등이 벌어질 가능성도 제기된다. 조 사장은 배임수재 등의 혐의로 지난 4월 1심에서 징역 3년에 집행유예 4년, 추징금 6억1500만원을 선고받았다.김준 선임기자"
2,"한국테크놀로지그룹 승계구도가 차남 조현범 사장으로 잡힌 것으로 보인다.    29일 재계에 따르면 한국테크놀로지그룹 조현범 사장은 26일 블록딜(시간외 대량매매)로 아버지 조양래 회장의 지분(23.59%)을 모두 인수해서 최대주주가 된 것으로 알려졌다.    한국테크놀로지그룹은 ""확인되지 않는다""고 말했다.    주식매수 대금은 약 3천억원으로 추정되며, 조현범 사장이 기존 주식을 담보로 대출을 받아 치른 것으로 알려졌다.    조현범 사장의 지분은 당초 19.31%로 형인 조현식 부회장(19.32%)과 같았지만 여기에 조 회장 지분을 더하면 43%로 늘어난다.    한국테크놀로지그룹 최대주주 일가 지분은 딸인 조희원씨 지분 10.82% 등을 포함해 모두 73.92%다. 국민연금이 5월 21일 기준으로 9.23%를 갖고 있다.한국테크놀로지그룹 조현범 사장[연합뉴스 자료사진]    그동안 조현식 부회장은 지주사인 한국테크놀로지그룹 부회장을, 조현범 사장은 COO(최고운영책임자·사장)와 자회사인 한국타이어앤테크놀로지 대표이사 사장을 맡았다.    후계구도가 정해지지 않은 상황에서 형제 사이엔 알력이 있던 것으로 전해졌다. 동생인 조현범 사장이 실질적으로 경영을 맡아했으나 형인 조현식 부회장도 마냥 두고 있진 않았다고 재계 관계자들은 전했다.    이런 가운데 이명박 전 대통령 사위인 조현범 사장은 배임수재 및 업무상 횡령 등 혐의로 기소돼서 4월 1심에서 징역 3년에 집행유예 4년, 추징금 6억1천500만원을 선고받았다.    지난 23일엔 갑자기 일신상의 이유로 한국타이어앤테크놀로지 대표이사직을 사임했다. 사장직은 유지하면서 대표이사직을 사임한 것은 앞으로 재판을 앞두고 반성하는 신호라는 해석이 나왔다.    일각에선 조현식 부회장이 누나 등과 함께 반격에 나설 것이란 관측도 내놓는다. 국민연금도 변수다.    조 부회장은 최근 누나에게 1억여원 허위 급여를 지급한 혐의로 징역 1년에 집행유예 2년이 선고됐다.   "
3,"조양래 회장, 지분 전량 넘겨  한국테크놀로지그룹의 후계를 차남인 조현범 한국타이어 사장(사진)이 차지했다.   29일 관련 업계에 따르면 조양래 한국테크놀로지그룹(구 한국타이어월드와이드) 회장은 지난 26일 자신이 보유한 한국테크놀로지그룹 지분 23.59%를 조현범 사장에게 블록딜 형태로 매각했다. 조 사장은 기존에 보유하고 있던 지분 19.31%에 아버지 지분을 합쳐 42.9%를 보유한 최대주주로 올라섰다. 조현범 사장의 형인 조현식 부회장은 한국테크놀로지그룹의 지분 19.32%, 누나인 조희원씨는 10.82%를 보유하고 있다.   재계 서열 38위의 한국테크놀로지그룹은 국내 3대 타이어 제조업체인 한국타이어앤테크놀로지(옛 한국타이어), 한국아트라스BX, 한국네트웍스, 한국카앤라이프 등을 자회사로 둔 지주회사다. 조현범 사장은 그동안 형인 조현식 부회장과 함께 그룹 경영을 맡아왔다. 조현식 부회장은 지주사인 한국테크놀로지그룹 부회장을, 조현범 사장은 한국테크놀로지그룹 COO(최고운영책임자·사장)와 자회사인 한국타이어앤테크놀로지 사장을 맡았다. 그러나 최근 조현범 사장은 납품 업체로부터 6억여원을 받은 혐의로 2심 재판을 앞두고 대표이사직을 내려놓았다.   "
4,"조양래 한국테크놀로지그룹(한국타이어월드와이드) 회장이 자신의 지분 전량을 차남인 조현범 한국테크놀로지그룹 사장에게 매각하면서 차남 승계가 유력해졌다. 왼쪽부터 조양래 회장, 조현식 한국타이어월드와이드 부회장, 조현범 한국타이어 사장/조선일보DB29일 업계에 따르면 조 회장은 지난 26일 자신이 보유한 한국테크놀로지그룹 지분 23.59% 전량을 조 사장에게 블록딜(시간 외 대량매매) 방식으로 매각했다. 이로써 조 사장은 기존에 보유하고 있던 지분에 19.31%에 아버지 지분을 합쳐 42.9%를 보유한 최대주주로 올라섰다.조 사장의 형인 조현식 부회장은 지분 19.32%를 보유하고 있다. 기존에는 조 부회장과 조 사장의 지분율이 비슷했던 것이다. 누나 조희원씨는 10.82%를 보유하고 있다.그동안 조 부회장은 그룹 지주사를, 조 사장은 한국타이어앤테크놀로지 사장을 맡아 형제경영을 해왔다. 그러나 지난 23일 조 사장이 한국타이어앤테크놀로지 대표이사직을 사임하면서 조 부회장에게 힘이 실리는 것 아니냐는 관측도 나왔다. 조 사장은 현재 걸려 있는 재판의 2심 재판을 앞두고 반성의 의미로 대표이사직을 내려 놓은 것으로 알려졌다. 그는 협력업체로부터 금품을 수수한 혐의 등으로 지난 4월 1심에서 징역 3년, 집행유예 4년을 선고받았다. 조 회장이 자신의 지분을 차남인 조 사장에게 넘기면서 형제간 경영권 분쟁 소지가 있었던 한국테크놀로지그룹은 조 사장이 경영권을 승계할 가능성이 높아졌다. 그러나 형인 조 부회장이 조희원 씨와 연합해 동생에 대항할 가능성도 남아있다. 업계에서는 한국타이어가 경영권 분쟁에 휩싸이게 될 경우 7.74%의 지분을 보유한 국민연금이 '캐스팅 보트' 역할을 하게 될 가능성도 언급된다.[변지희 기자"
5,"한국타이어 후계구도조현범 사장에게 보유지분 넘겨조사장 42.90%로 최대주주 등극장남 조현식 부회장 반격 '주목'조현범 한국테크놀로지그룹 사장조양래 한국테크놀로지그룹(옛 한국타이어월드와이드) 회장이 보유 지분 전체를 둘째 아들인 조현범 한국테크놀로지그룹 사장에게 매각했다. 재계에서는 조 사장이 조 회장의 후계자로 지목됐다는 분석이 지배적이다. 일각에서는 조 회장 장남인 조현식 한국테크놀로지그룹 부회장이 반발하면 그룹 경영권을 놓고 ‘형제의 난’이 벌어질 가능성이 있다는 전망도 제기된다.29일 재계에 따르면 조 회장은 지난 26일 자신이 보유한 한국테크놀로지그룹 지분 전량(23.59%)을 조 사장에게 블록딜(시간 외 대량매매) 형태로 매각했다. 한국테크놀로지그룹은 한국타이어그룹의 지주사다. 매각대금은 약 3000억원으로 추정된다.이번 거래로 조 사장 보유지분은 19.31%에서 42.90%로 두 배 이상으로 늘었다. 재계 관계자는 “최근 두 아들이 경영권을 놓고 대립할 조짐을 보이자 조 회장이 ‘후계자는 조 사장’이라고 못 박은 것”이라고 설명했다.이번 거래로 형제간 갈등이 표면화하면서 확산될 가능성도 있다. 조 부회장과 누나 조희원 씨는 각각 한국테크놀로지그룹 지분 19.32%와 10.82%를 보유하고 있다. 두 사람이 힘을 합치고 시장에서 주식을 일부 매수하면 그룹 경영권을 놓고 ‘표 대결’이 벌어질 수 있다.변수는 국민연금과 조 사장의 사법 리스크다. 지분 경쟁이 벌어지면 한국테크놀로지그룹 지분 7.74%를 가진 국민연금이 캐스팅보트를 쥐게 된다. 조 사장은 협력업체로부터 6억원가량을 받고 관계사 자금 2억6300여만원을 횡령한 혐의로 2심 재판을 받고 있다. 1심에서는 징역 3년에 집행유예 4년을 선고받았다.父가 낙점한 차남 조현범, 승계 굳히기냐…장남의 반격이냐한국타이어 형제경영, 형제의 난으로 가나재계 43위 한국테크놀로지그룹(옛 한국타이어)이 ‘형제의 난’에 휘말릴 조짐을 보이고 있다. 조양래 회장의 두 아들이 그룹 경영권을 확보하기 위한 경쟁을 시작하면서다. 조 회장이 차남 조현범 한국테크놀로지그룹 사장의 손을 들면서 조 사장이 승기를 굳혔다는 분석이 지배적이지만, 장남인 조현식 그룹 부회장이 반격할 수 있다는 관측도 제기된다. 재계 관계자는 “조 회장이 장남을 설득하지 못하면 경영권 분쟁이 지속될 가능성도 있다”고 말했다. 조 부회장은 기자와의 통화에서 “드릴 말씀이 없다”고만 했다.조현범, 지주사 지분 43% 확보한국타이어그룹의 경영권 분쟁이 수면 위로 떠오른 건 29일 조 회장이 조 사장에게 보유 지분을 모두 매각한 사실이 알려지면서다. 조 회장은 지난 26일 자신이 보유한 지주사 한국테크놀로지그룹 지분 전량(23.59%)을 조 사장에게 블록딜(시간외 대량매매) 형태로 매각했다. 조 사장은 보유 지분이 순식간에 19.31%에서 42.90%로 대폭 늘면서 1대 주주 자리를 확보했다. 조 사장은 기존 지분을 담보로 대출받아 매수자금을 확보한 것으로 알려졌다. 매입가격은 공개되지 않았지만 3000억원(주당 약 1만5000원) 수준인 것으로 전해졌다.조 회장이 기습적으로 보유 주식을 모두 조 사장에게 넘긴 것은 경영권 분쟁 가능성을 차단하기 위한 결정이라는 해석이 많다. 조 사장이 지난해 11월 배임 및 횡령 등의 혐의로 구속된 것을 계기로 형제간 다툼이 가시화되자 후계자를 확정했다는 설명이다.그룹 사정을 잘 아는 한 재계 인사는 “조 사장은 수년 전부터 그룹 경영을 사실상 총괄해오고 있었다”며 “회사 내부에서는 차남이지만 조 사장이 경영권을 이어받을 것이라는 관측이 많았는데, 최근 조 부회장이 이를 뒤집으려는 시도를 했다”고 전했다. 조 부회장은 올해 초 조 사장이 추진하던 신사업을 모두 원점에서 재검토하라고 지시했다. 조 사장과 가까운 임원 일부를 해임하기도 했다.이 과정에서 조 부회장과 조 사장의 사이가 틀어졌다는 분석이다. 타이어업계 관계자는 “조 사장은 타이어 외 신사업에 공격적으로 나서야 한다는 생각이 강했고, 조 부회장은 타이어에 집중해야 한다고 주장하는 등 두 사람이 계속 부딪쳤다”며 “조 회장은 이번 매각으로 조 사장을 여전히 신임하고 있음을 대외적으로 공개한 셈”이라고 설명했다.조현식, 누나와 연합하나조 사장이 지주사인 한국테크놀로지그룹 지분을 절반 가까이 확보함에 따라 조 부회장이 이를 뒤집기는 쉽지 않은 상황이다. 다만 조 회장의 장녀인 조희원 씨가 조 부회장을 지지하고 있어 그룹 경영권을 둘러싼 ‘표 대결’로 이어질 가능성도 있다. 조 부회장과 조희원 씨는 각각 지분 19.32%와 10.82%를 갖고 있다. 조 부회장 측이 소송을 제기하는 등의 방식으로 문제제기를 할 경우 한국타이어그룹은 한동안 경영권 분쟁에 휘말리게 된다.오너 일가를 제외하고 가장 많이 주식을 들고 있는 국민연금(지분율 7.74%)도 변수다. 조 사장이 1심에서 징역 3년에 집행유예 4년을 선고받은 상황에서 국민연금이 표 대결 시 조 사장을 지지하기 쉽지 않을 것이라는 전망이 나온다. 법적인 하자는 없지만 횡령 등의 혐의로 유죄 판결을 받은 총수에게 그룹 경영권을 선뜻 맡기는 쪽에 표를 주기는 어렵다는 분석이다. 조 사장이 2심에서 실형을 선고받을 가능성도 배제할 수 없다. 하지만 그룹 내부에서도 조 사장의 경영권 승계를 ‘예고된 수순’이라고 보는 시각이 많아 결과를 뒤집기는 어려울 것이라는 관측이 지배적이다.그룹 관계자는 “조 사장이 지난주 최대 계열사인 한국타이어앤테크놀로지 대표이사직에서 물러난 것은 이미 후계 구도가 정리됐다고 판단했기 때문”이라며 “재판을 마무리한 뒤 승계 작업을 마칠 것으로 보인다”고 말했다.조 사장은 경영권을 최종 승계한 뒤 첨단기술을 보유한 기업을 공격적으로 인수하는 등 그룹 체질을 바꾸는 데 주력할 것으로 예상된다. 그는 평소 주변에 “타이어 또는 자동차 관련 산업에만 투자해야 한다는 고정관념에 얽매일 필요가 없다”고 강조해온 것으로 알려졌다.증권가도 형제간 경영권 분쟁이 벌어질 가능성이 있다고 보고 있다. 이날 한국테크놀로지그룹 주가는 지난 26일 대비 9.87% 오른 1만2250원에 마감했다. 오전 중 20% 이상 올랐지만 오후 들어 상승폭이 줄었다.도병욱/김보형 기자"
6,"조 회장 지분 23.59% 블록딜 매각…조현범 사장 최대주주 올라경영권 분쟁 소지 줄이려한 듯…조현식 부회장 거취 주목조현범 한국타이어앤테크놀로지 대표이사 사장 ⓒ한국타이어앤테크놀로지조양래 한국테크놀로지그룹(구 한국타이어월드와이드) 회장이 보유 지분 전량을 차남인 조현범 한국테크놀로지그룹 사장에게 매각한 것으로 알려졌다.조 사장이 최대주주에 오르게 되면서 한국테크놀로지그룹은 차남 승계가 유력해졌다.29일 업계에 따르면 조 회장은 최근 자신이 보유한 한국테크놀로지그룹 지분 23.59% 전량을 조 사장에게 블록딜(시간 외 대량매매)로 매각했다.조 사장은 기존 지분 19.31%에 아버지 지분을 합쳐 42.9%를 보유한 최대주주로 올라섰다.이로써 조 사장 지분율은 형인 조현식 부회장(19.32%)과 누나 조희원씨(10.82%) 보다 2배 이상 차이가 벌어졌다. 그룹 경영권 승계 향방도 조 사장 쪽으로 기울게 됐다.앞서 조양래 회장은 지난해 3월 모든 계열사 등기임원에서 물러나면서 조현식 부회장에게 그룹 지주사를, 조현범 사장에게 한국타이어앤테크놀로지(한국타이어) 사장을 맡겼다.핵심 계열사인 한국타이어 경영을 맡은 조 사장이 신사업 추진 및 대규모 투자를 진행하자 업계는 차남 승계에 힘이 실리는 것이 아니냐는 관측을 내놨다. 조 사장은 이명박 전 대통령의 사위이기도 하다.그러다 지난 23일 조현범 사장이 한국타이어테크놀로지 대표이사직을 사임하면서 그룹 경영권이 조현식 부회장쪽으로 기울어졌다는 전망도 제기됐다.조 사장은 협력업체로부터 금품을 수수한 혐의 등으로 재판에 넘겨졌다. 1심에서 징역형 집행유예를 선고 받았으나 검찰 항소로 다시 법원 판단을 기다리고 있다.이런 상황에서 조 회장이 차남에게 지분을 모두 넘긴 것은 승계구도를 명확히 하고 분쟁의 소지를 줄이겠다는 의도로 해석된다.다만 조현식 부회장과 누나 조희원씨가 연합해 경영권 다툼을 벌일 가능성도 배제할 수 없어 향후 조 부회장의 거취가 주목된다. 조희원씨는 조 부회장을 지지하는 것으로 알려졌다.한국타이어가 본격적인 '형제의 난'에 휩싸이게 될 경우 국민연금이 '캐스팅 보트' 역할을 하게 될 것이라는 전망이 나온다. 현재 국민연금은 7.74%의 지분을 보유하고 있다.재판 결과도 변수다. 특정경제범죄가중처벌법 시행령 개정에 따라 5억원 이상의 횡령·배임 등을 저지른 경영진의 경우 회사 복귀가 불가능하다. 조 사장이 2심 재판에 총력을 기울여야 하는 이유다.조 사장으로서는 현재 재판에 집중하는 한편 최대주주로서 '조현범 승계 구도'를 보다 공고히 할 것이라는 관측이 제기된다.데일리안 조인영 기자 "
7,"지주사 지분 전량, 조현범 사장에 블록딜로 넘겨장남 조현식 부회장 반발 땐 경영권 분쟁 가능성조현범 한국타이어앤테크놀로지 사장. 한국타이어 제공조양래 한국테크놀로지그룹 회장이 자신 지분 전량을 조현범 사장에게 '블록딜(시간 외 대량매매)' 방식으로 매각했다. 이에 따라 차기 한국타이어 회장은 장남 조현식 한국테크놀로지그룹 대표이사 부회장이 아닌 차남 조현범 사장이 될 가능성이 커졌다. 29일 업계에 따르면 조 회장은 최근 자신이 보유한 한국테크놀로지그룹 지분 23.59% 전량을 조 사장에게 블록딜 방식으로 매각했다. 재계 서열 38위인 한국테크놀로지그룹은 국내 대표적 타이어 제조업체인 한국타이어앤테크놀로지(옛 한국타이어), 한국아트라스BX, 한국네트웍스 등을 자회사로 둔 지주회사다. 이로써 조 사장은 기존에 보유하고 있던 지분에 아버지 지분을 합쳐 42.9%를 보유한 최대주주로 올라섰다. 기존 조 사장이 가진 지분은 19.31%로 형인 조 부회장(19.32%)과 비슷했다. 누나 조희원씨는 10.82%를 보유하고 있다.그룹을 이끌어 온 조 회장은 지난해 3월 모든 계열사 등기임원에서 물러나면서 3세 경영을 본격화했다. 조현식 부회장이 그룹 지주사를, 조현범 사장은 한국타이어앤테크놀로지 사장을 맡아 형제경영을 펼쳐왔다.조 사장이 핵심 계열사인 한국타이어 경영을 맡아 대규모 투자와 인수합병(M&A), 신사업 추진을 총괄하면서 업계에서는 차남 승계에 힘이 실린 것 아니냐는 관측이 나왔다.  조 사장은 이명박 전 대통령(셋째 딸 수연씨와 결혼)의 사위이기도 하다.그러나 조 사장이 협력업체로부터 금품을 수수한 혐의 등으로 구속 기소돼  지난 4월 징역형 집행유예를 선고 받으면서 후계 구도에 재차 관심이 집중됐다. 최근 조 사장이 한국타이어앤테크놀로지 대표이사직을 내려놓으면서 지주사를 이끄는 장남 조 부회장에게 힘이 실리는 분위기였다. 이런 상황에서 조 회장이 차남인 조 사장에게 지분을 모두 넘긴 것은 후계 구도를 분명히 하면서 분쟁 소지를 줄이려한 것으로 풀이된다. 다만 조 부회장이 누나 조희원씨와 연합해 동생과 경영권 다툼을 벌일 가능성도 배제할 수 없어 향후 조 부회장의 거취가 주목된다. 조희원씨는 조 부회장을 지지하는 것으로 알려져 있다.업계에서는 한국테크놀로지그룹이 경영권 분쟁에 휩싸이게 될 경우 7.74%의 지분을 보유한 국민연금이 '캐스팅 보트' 역할을 하게 될 가능성도 점치고 있다. 조 사장은 최대주주에 올라선 만큼 물밑에서 '조현범 체제'를 공고히 할 것으로 보인다.한편 회사 측은 특정경제범죄가중처벌법 시행령 개정에 따라 5억원 이상의 횡령·배임 등을 저지른 경영진은 회사 복귀가 불가능한 만큼 조 사장의 2심 재판 방어에 총력을 다할 전망이다. 조 사장은 납품업체로부터 매달 수백만원씩 총 6억1,500만원가량을 받고 관계사 자금 2억6,300여만원을 횡령한 혐의로 기소돼 지난 4월 1심에서 징역 3년에 집행유예 4년을 선고받은 바 있다. 류종은 기자"
8," 조양래 한국테크놀로지그룹 회장이 자신이 보유하고 있던 그룹 지분 전량을 차남인 조현범 한국테크놀로지그룹 사장에게 매각했다. 이에 형인 조현식 한국테크놀로지그룹 부회장과 경영권 다툼이 벌어지는 것 아니냐는 전망이 나온다.29일 업계에 따르면 지난 26일 조 회장이 자신이 보유하고 있는 한국테크놀로지그룹 지분 전량인 23.59%를 조 사장에게 블록딜(시간 외 대량매매) 형태로 매각한 것으로 전해졌다. 매각 대금은 약 3천억 원이다.이로 인해 조 사장의 그룹 보유 지분이 19.31%에서 42.90%로 늘었다. 형인 조현식 한국테크놀로지그룹 부회장의 지분인 19.32%를 훌쩍 뛰어넘은 것이다.이에 경영권을 두고 '형제의 난'이 벌어질 가능성이 제기되고 있다. 그룹 경영권이 조 사장에게 갈 가능성이 높아져서다.물론 조 사장이 그동안 그룹의 핵심 계열사인 한국타이어앤테크놀로지(한국타이어)의 경영을 맡으면서 신사업 추진 등으로 능력을 인정받았다는 점도 조 사장의 경영권 승계 가능성에 힘을 실어줬다.하지만 지난 23일 조 사장이 한국타이어 대표이사직을 사임하면서 조 부회장에게 힘이 실리기도 했다. 업계선 하청업체로부터 수억 원의 뒷돈을 받은 혐의 등으로 2심 재판을 앞두고 있는 조 사장이 재판에 집중하기 위해 대표이사직서 물러난 것으로 해석했다.(왼쪽부터) 조현식 부회장, 조현범 사장. [아이뉴스24 DB]조 부회장이 그룹 지분 10.82%를 보유한 누나인 조희원 씨와 연합해 조 사장과 경영권 다툼을 벌일 수도 있다는 관측도 나온다. 누나인 조 씨가 조 부회장과 가깝다고 알려져 있어서다. 두 사람의 지분을 합하면 30.14%다.여기에 국민연금이 지분 7.74%를 보유하고 있어 경영권 분쟁이 일어나면 캐스팅 보트 역할을 할 것이란 시각도 나온다.한편 조양래 회장은 지난해 3월 모든 계열사 등기임원에서 물러나면서 3세 경영을 본격화한 바 있다. 이후 조현식 부회장이 그룹 지주사를, 조현범 사장 한국타이어앤테크놀로지(한국타이어) 사장을 맡았다.황금빛기자"
9," 한국타이어앤테크놀로지(161390)는 글로벌 완성차 브랜드 제너럴 모터스(GM)에서 개최한 ‘올해의 우수 공급업체 시상식’에서 ‘2019 GM 올해의 우수 공급업체’로 선정됐다고 29일 밝혔다. 1992년부터 매년 개최되는 올해의 우수 공급업체 시상식은 GM이 거래 중인 전 세계 자동차 부품업체 가운데 혁신적이고 뛰어난 가치를 창출한 우수 업체를 선정해 시상하는 행사다. 특히 품질, 물류, 공급망 등 다방면에 걸친 종합 평가를 통해 업체를 선정한다.코로나19 여파로 온라인 행사로 진행된 이번 시상식에서 타이어 부문은 한국타이어를 비롯한 미쉐린, 브릿지스톤, 콘티넨탈 등 6개 글로벌 타이어 브랜드가 수상했으며 국내 타이어 기업 중에는 한국타이어가 유일하다.한국타이어는 지속적인 R&D 혁신에 기반한 최고의 품질 경쟁력을 바탕으로 GM과 최고의 파트너십을 유지하고 있다. 최근에는 ‘2021 올-뉴 쉐보레 트레일블레이저’에 신차용(OE) 타이어 공급 계약을 체결하며 전략적 협력 관계를 한층 강화했다. 한국타이어는 ‘2021 올-뉴 쉐보레 트레일블레이저’에 ‘키너지 컴포트(Kinergy GT)’와 ‘다이나프로 올 터레인(Dynapro AT2)’를 신차용 타이어로 공급한다.한국타이어는 이번 GM 우수 공급업체 선정을 바탕으로 북미 시장에서 글로벌 톱 타이어 기술력을 알리고 프리미엄 브랜드 이미지를 더욱 강화할 예정이다.한편, 한국타이어는 포르쉐의 슈퍼 프리미엄 SUV 모델 3세대 ‘카이엔(Cayenne)’과 아우디의 고성능 SUV 모델인 ‘뉴 아우디 SQ8 TDI’에 신차용 타이어를 공급하는 등 글로벌 프리미엄 완성차 브랜드에 대한 신차용 타이어 공급을 지속적으로 확대하고 있다. 세계 최고 수준의 기술력과 품질을 바탕으로 글로벌 프리미엄 브랜드와의 전략적 파트너십을 확장하여 전 세계 46개 완성차 브랜드약 320여 개 차종에 신차용 타이어를 공급하며 프리미엄 OE 시장을 이끌고 있다.이승현 "
