,contents
0,"현대글로비스가 클라우드 기반의 비대면 협업 시스템을 구축한다. 언제 어디서든 일할 수 있는 근무 환경을 만들어 업무 효율성을 획기적으로 높인다는 방침이다. 현대글로비스는 디지털 사무 시스템 'G-square'(지스퀘어)를 구축했다고 29일 밝혔다.지스퀘어는 현대글로비스 임직원들이 '비대면으로 협업하는 광장'이라는 뜻을 담아 네이밍한 디지털 업무체계다. 클라우드(중앙컴퓨터 서버) 기술을 기반으로 현대글로비스 국내외 전 직원의 업무 환경을 하나로 통합하는 것이 핵심이다.이에 따라 현대글로비스는 사무실은 물론 물류현장, 재택근무 시에도 업무 단절 없이 근무할 수 있는 환경을 구축하게 됐다. 현대글로비스 임직원에게 지급 된 랩톱 컴퓨터는 물론 개인이 보유한 스마트폰, 태블릿 PC 등 모바일 기기로도 업무가 가능하다. 현대글로비스 측은 “지스퀘어 도입은 기존 오프라인 대면 업무가 클라우드 중심의 디지털로 전환됨을 의미한다""고 설명했다.또한 과거 팀 단위로 이뤄지던 업무를 과업 중심으로 개편해 관련 임직원이 함께 업무를 추진할 수 있게 했다. 해당 과업과 관련된 임직원이라면 지스퀘어를 이용해 누구나 자유롭게 의견을 공유하고 협업할 수 있다.  이를 위해 현대글로비스는 메신저 기반의 협업 솔루션을 활용, 전 임직원의 통합 커뮤니케이션을 지향한다. 문서 작성과 저장, 화상 회의, 채팅 등이 디지털 클라우드 환경에서 모두 이뤄져 빠르게 업무를 처리할 수 있다.대표적인 예로 대부분의 오프라인 회의가 화상으로 대체된다. 현대글로비스는 기존에도 사무실에 비치된 컴퓨터에서 사용 가능한 프로그램을 이용해 화상 회의를 진행했지만, 이번 협업 솔루션을 통해서는 컴퓨터 외에 스마트폰, 태블릿 PC 등으로도 화상 회의가 가능하다. 특히 화상 회의 자료를 지스퀘어로 공유해 참석자가 공동으로 문서를 작성하고 편집하는 협업 기능이 강화된다. 현대글로비스는 업무 환경뿐만 아니라 자유롭게 일할 분위기를 조성하는 등 기업문화에도 변화를 줘 업무 효율성을 높인다는 계획이다. 출퇴근 시간을 개인 업무 특성에 맞춰 유연하게 결정하는 선택적 근로시간제 활용을 더욱 권장하고, 시범 운영 중인 자율좌석제 확대를 검토한다. 시간과 공간에 제약이 없는 업무 환경을 구축하고 형식에 얽매이지 않는 기업 문화를 조성해 직원들의 자율성을 최대한 보장, 업무 생산성을 높이겠다는 전략이다.회사 관계자는 ""물류업의 특성을 반영한 비대면 협업 시스템 도입으로 화주의 요구에 신속히 대응하는 한편, 기업 경쟁력을 지속적으로 높이겠다""고 말했다"
1,"사진=뉴스1정부가 추진하는 '한국판 뉴딜' 사업이 반영된 3차 추가경정예산안에 한국판 뉴딜과는 거리가 먼 예산까지 포함된 것으로 나타났다. 국가 부채가 급증한다는 우려 속에도 정부가 코로나19 사태 대응을 위해 추경을 추진했지만, 각 부처가 불필요한 사업까지 '끼워넣기' 했다는 비판의 목소리가 나온다. 디지털·그린 뉴딜과 거리가 먼 사업들23일 국회 예산정책처가 내놓은 제3회 추가경정예산안 분석에 따르면, 교육부는 한국판 뉴딜 세부과제로 '비대면산업 육성'을 계획하면서 무선네트워크 구축과 노후 컴퓨터 교체에 2367억원의 예산을 책정했다. 또 온라인 콘텐츠 활용 교과서 시범사업 운영을 명목으로 태블릿PC 등 디지털 기기 구입에 101억원을 집행하기로 했다. 이들 사업은 한국판 뉴딜의 핵심 분야인 디지털 뉴딜의 일환으로 교육부가 내놓은 것이다. 예산정책처는 그러나 ""이미 오래전 범용화된 제품을 단순 구매하는 것으로서 비대면 산업·기술을 육성하는 데에는 크게 기여를 하기 어려울 것으로 보인다""며 ""특히 노후 기자재를 교체하는 사업은 한국판 뉴딜이 아니라도 기간 경과에 따라 자연스럽게 이루어졌을 사업이라는 점에서 미래성장동력 확보를 위한 적극적인 재정투입으로 해석하는 것은 타당하지 않다""고 지적했다. 디지털 뉴딜과 함께 한국판 뉴딜의 양대 축인 그린 뉴딜과 관련 국토교통부, 문화체육관광부, 교육부 등 여러 부처가 부적절한 계획을 제출했다는 지적도 나왔다. 이들 부처는 '공공시설의 제로에너지화 전면 전환' 계획을 내놓으면서 3200억원 규모 예산이 필요하다고 요청했다. 국토부는 '노후공공임대주택 그린리모델링' 사업과 '공공건축물 그린리모델링' 사업에 각각 360억원과 1992억원이 필요하다고 했다. 문체부는 '국민체육센터 친환경시설 재구조화' 사업에 393억원을 요구했다. 교육부는 국립학교 그린스마트 전환 사업을 제시하면서 친환경 단열재 보강을 위해 119억원을 편성했다.예산정책처는 이들 사업이 기존 사업과 중복되며, 미래성장동력 확보를 목표로 하는 그린 뉴딜과는 거리가 멀다고 평가했다. 예산정책처는 ""이러한 사업은 각종 건축 기법을 활용해 건물의 냉·난방효율을 제고함으로써 에너지 절감을 가능하게 하는 것""이라며 ""기존 기법을 단순 활용하는 데에 그치지 않고 에너지를 절감하거나 온실가스를 감축할 수 있는 신기술·신재료를 적용하는 등 한국판 뉴딜에 부합하도록 해야 한다""고 요구했다. 사진=연합뉴스구체적 계획 없이 예산만 달라는 부처세부 계획을 제대로 마련하지 않은 채 예산 따내기에만 골몰한 부처도 있다. 중소벤처기업부는 그린뉴딜 유망기업 육성을 계획하면서 그린뉴딜 유망기업 기준을 단순히 '그린산업 분야 유망 중소·벤처기업'으로만 제시했다. 예산정책처는 ""이를 확정하지 않았다는 것은 사업 자체의 상이 아직 확정되지 않았음을 의미한다""고 꼬집었다. 환경부는 '스마트 그린 도시' 사업을 위한 예산을 신규 편성했는데 사업 추진을 위한 기본사항을 담은 스마트 그린도시 종합계획을 확정하지 않은 상태에서 예산을 요구했다. 예산정책처는 ""단기사업이 효과성을 확보하기 위해서는 이러한 종합계획을 먼저 확정한 후 그에 따라 체계적이고 일관성 있게 시행하는 것이 바람직할 것으로 보인다""고 평가했다. 사진=뉴스1벽화 설치도 시급?상대적으로 시급하지 않은 예산안을 끼워 넣은 부처도 있다. 문체부는 공공장소에 벽화나 조각 등 예술 작품을 설치하는 사업에 770억3600만원을 요구했다. 2차 추경 때 11억7600만원보다 758억6000만원 증액된 수치다. 문체부는 코로나19로 문화 예술 수요 급감에 대응하고, 예술가들에게 일자리를 제공한다는 취지라고 했다. 하지만 예산정책처는 ""마을미술 프로젝트라는 명칭으로 2009년부터 추진되고 있는 사업""이라며 ""기초지자체별 1개 프로젝트를 기준으로 예산을 편성한 것은 다소 과다한 측면이 있다""고 지적했다.  이밖에 외교부는 인도적 지원(ODA) 사업에 238억원을 증액 편성했다. 예산정책처는 ""자연재해 등 긴급재난 지원 명목으로 238억원이 증액되어 있을 뿐 이에 대한 구체적인 내역이 없다""며 ""이번 추경예산안은 이미 발생한 코로나19에 대응하는 지원예산이기 때문에 구체적인 편성 내역을 국회에 제출해 심의를 받아야 한다""고 했다. 조미현 기자"
2," 정부가 코로나19 대응을 위한 처방으로 내세운 고용 안정 대책과 한국판 뉴딜에 대해 국회예산정책처가 ""3차 추경 관련 사업들에 대한 보완과 소명이 필요하다""는 지적을 내놓았다. 21대 국회 원 구성이 완료되지 않아 추가경정예산 심사가 본격적으로 시작되지 않았지만 야권은 3차 추경 심사가 시작되면 코로나19를 핑계로 추진되는 불필요한 사업에 대해 '현미경 검증'을 하겠다는 입장을 내놓고 있다. 특히 고용과 한국판 뉴딜은 문재인정부의 핵심 정책인 만큼 관련 예산을 두고 여야의 마찰이 불가피할 것으로 예상된다.23일 예산정책처가 내놓은 3차 추경 분석에 따르면 한국판 뉴딜 관련 3차 추경안에는 실질적으로 한국판 뉴딜과는 거리가 먼 예산이 상당수 포함된 것으로 드러났다. 보고서는 ""비대면 산업 육성은 디지털 뉴딜의 일환으로 추진되고 있지만 세부 사업 구성을 보면 비대면 산업 기술 자체를 개발하기보다는 단순히 관련 분야의 인프라스트럭처나 업무 프로세스를 개선하는 데 그치는 사업이 포함돼 있다""고 지적했다. 대표적인 예가 교육부가 추진하는 '초·중등 온라인 교육 인프라 구축' 사업이다. 교육부는 2367억원을 투입해 무선 네트워크를 구축하고 노후 컴퓨터를 교체한다는 계획이다. 또 교육부는 온라인 교육을 활성화한다면서 태블릿PC 등 디지털 기기 구입에도 101억원을 배정했다. 예산정책처는 ""노후 기자재를 교체하는 사업을 한국판 뉴딜 사업으로 분류하는 게 타당한지 의문""이라고 꼬집었다.사업에 대한 세부 계획 없이 예산만 따내기 위한 사업도 문제로 지적됐다. 중소벤처기업부는 그린 뉴딜 유망기업 육성사업을 위해 예산을 배정하면서도 유망기업 기준을 제시하지 않았다. 보고서는 ""지원 대상 범위는 정책의 핵심 사항인데, 이를 확정하지 않았다는 것은 사업 계획이 아직 확정되지 않았음을 의미한다""고 지적했다. 보고서는 환경부의 '스마트 그린 도시' 사업도 사업 추진을 위한 기본 사항이 담긴 '스마트 그린 도시 종합계획'이 확정되지 않았다고 지적했다.보고서는 ""이번 추경안에 담긴 한국판 뉴딜 사업에 대해 예비타당성조사를 면제하고 있는데, 재정 소요 등을 고려해 이를 보완하기 위한 사업 계획 적정성 검토를 실시하는 방안을 고려해야 한다""고 조언했다.고용정책예산과 관련해서도 정부가 제공하는 직접 일자리가 지나치게 많은 만큼 시장 수요보다 공급이 많아 공급 초과 상황이 될 수 있다고 우려했다.예산정책처는 추경을 통한 예산 지출뿐만 아니라 세입 부분에 대해서도 '경고장'을 꺼내 들었다. 정부는 3차 추경안을 제출하면서 올해 국세 수입 규모를 276조7000억원으로 전망했다. 기존 전망치(291조2000억원)보다 무려 11조4000억원가량 낮췄다.하지만 예산정책처는 올해 국세 수입이 276조7000억원에 그칠 것으로 내다봤다. 정부 전망치보다 3조원 더 적다. 보고서는 ""정부 전망보다 취업자 수가 늘지 못하면서 근로소득세가 예상보다 줄어들고 기업들 어려움이 가중되면서 법인세도 더 줄어들 가능성이 크다""고 분석했다.이런 연장선에서 예산정책처는 재정건전성에 대한 우려도 드러냈다. 보고서는 현 상황에 대해 ""우리나라의 국내총생산(GDP) 대비 일반 정부 부채 비율은 경제협력개발기구(OECD) 평균에 비해 낮은 수준이며 단기적으로는 재정 여력 측면에서 나쁜 상황은 아닌 것으로 보인다""고 진단했다. 하지만 ""저출산·고령화 등 인구구조 변화, 이에 따라 빠르게 늘어나는 사회복지 지출, 상대적으로 빠른 국가채무 증가 속도 등을 고려하면 재정건전성 측면에서 나라 살림을 신중하게 꾸려 가야 한다""고 조언했다.실제 코로나19로 재정 지출이 크게 늘어난 가운데 한국 재정건전성이 2010년대 들어 크게 악화됐다는 분석이 제기됐다.  [손일선 기자 / 송민근 기자]"
3," 터치패널(스마트폰/태블릿PC) 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면, 베셀의 퀀트 재무 점수는 2.13점으로 터치패널(스마트폰/태블릿PC) 관련 다른 종목 평균 보다 안정성과 수익성, 성장성 점수가 모두 낮은 편이다. 이는 재무적 측면에서 베셀이 다른 종목 대비 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 토비스는 다른 종목 평균 대비 높은 성장성과 안정성, 수익성 점수로 퀀트 재무 순위 1위를 차지했다.[표] 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율, 자기자본증가율, 부채비율, 유동비율, ROA, ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 아경봇 기자"
4," 터치패널(스마트폰/태블릿PC) 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면, 이미지스의 퀀트 재무 점수는 1.92점으로 터치패널(스마트폰/태블릿PC) 관련 테마 내에서 퀀트 재무 순위 7위에 그쳤다. 이는 이미지스는 상대적으로 재무적 측면에서 투자 매력도가 그다지 높지 않다는 것으로 해석될 수 있다. 반면에 토비스는 다른 종목 평균 대비 높은 성장성과 안정성, 수익성 점수로 퀀트 재무 순위 1위를 차지했다.[표] 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율, 자기자본증가율, 부채비율, 유동비율, ROA, ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 아경봇 기자"
5," 터치패널(스마트폰/태블릿PC) 테마 주요 종목 등락률씽크풀 로보알고리즘 RASSI의 분석에 따르면, 미래나노텍은 성장성, 안정성, 수익성 모두 테마의 평균 점수를 상회하면서 퀀트 재무 순위 3위(총 8종목)를 차지했다. 이는 재무적인 측면에서 테마 내 다른 종목들에 비해 미래나노텍의 투자 매력도가 높은 편이라고 해석될 수 있다.[표] 테마내 재무점수 상위 종목※ 퀀트 재무 점수는 로보알고리즘이 각 기업의 매출액증가율, 자기자본증가율, 부채비율, 유동비율, ROA, ROE 등을 토대로 분석한 결과이다.※ 이 기사는 아시아경제와 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성 알고리즘에 의해 실시간으로 작성된 것입니다. 아경봇 기자"
6," 한국마이크로소프트는 18일 ‘뉴노멀 시대의 모던 워크플레이스, 창의성과 생산성을 끌어올리다’를 주제로 온라인 기자간담회를 개최하고 업무용 기기 ‘서피스 고2’와 ‘서피스 허브 2S’를 공개했다.서피스는 효율적인 협업 환경을 구축함으로써 빠른 업무 공유와 의사결정, 그리고 더욱 창의적인 업무를 수행하도록 돕는 업무용 기기다. 바로 앞에서 대화를 주고받는 듯한 선명한 화면과 고음질의 마이크 및 스피커, 펜 사용 등 몰입감을 극대화해준다. 또 노트북보다 가볍고 일체형인 일반적인 노트북과 달리 터치가 가능하며 키보드와 모니터를 분리해서 태블릿PC처럼 쓰일 수 있는 것이 특징이다.서피스 패밀리는 △서피스 고 △서피스 프로 △서피스 프로 X △서피스 랩탑 △서피스 북 △서피스 스튜디오 △서피스 허브 총 7개 라인업으로 구성되어 있다. 마이크로소프트 ‘서피스 패밀리’/사진제공=한국MS서피스 라인업 중 휴대성이 가장 뛰어난 ‘서피스 고2’는 전작과 동일한 무게(544g)와 크기를 유지하되 더 넓어진 10.5인치 터치스크린을 적용했다. 배터리 수명은 최대 10시간으로 늘었다. 원격회의를 위해 마이크와 카메라 기능도 대폭 향상됐다. 듀얼 마이크 솔루션인 스튜디오 마이크가 탑재돼 주변 소음을 억제하고 선명한 음성 전달을 돕는다. 1080p HD 영상 녹화가 가능한 500만 화소 전면 카메라는 낮은 조도에서도 선명한 영상 녹화를 가능케 하며, 800만 화소의 후방 카메라에는 문서와 화이트보드 등을 쉽고 빠르게 스캔하는 애플리케이션이 적용됐다.마이크로소프트 ‘서피스 허브 2S’/사진제공=한국MS대화면 멀티 터치 태블릿 ‘서피스 허브 2S’는 더 큰 화면으로 회의실 상황을 공유해 기존 회의실 환경의 경계를 허무는 기기다. 서피스 허브 2S는 4K+ 50인치 멀티 터치 디스플레이를 탑재했으며, 전작보다 40% 가벼운 무게와 60% 얇은 디스플레이, 그리고 50% 빨라진 그래픽 성능을 지원한다. 서피스 고2는 이날부터 구매할 수 있으며, 가격은 사양에 따라 60만2,000원부터 116만원까다.서피스 허브2S는 다음 달 1일부터 기업 고객을 대상으로 예약 주문을 시작하며, 8월부터 배송될 예정이다. 가격은 약 1,200만원으로 예상되나 정확한 가격은 추후 안내될 예정이다. /백주원기자"
7," [풀가동 모자라 TV용 라인 전환 추진…탈LCD 韓 업체, 고부가 IT제품 생산 집중] ""태블릿 PC 같은 IT(정보기술) 제품용 패널 주문이 밀려 공장을 풀가동해도 물량을 맞추기 어려울 정도입니다.""LG디스플레이 관계자는 최근 생산라인이 긴박하게 돌아간다며 22일 이같이 말했다. LG디스플레이는 최근 LCD(액정표시장치) 라인에서 노트북·모니터·태블릿 등 IT제품용 패널 생산에 주력하고 있다. 온라인교육과 재택근무 확산으로 IT용 제품 수요가 폭증하면서 ‘탈(脫)LCD전략’을 세운 국내 디스플레이업체들이 LCD 사업 전략을 수정하고 있다. ━LG·삼성D, TV용 LCD 대신 고수익 IT용 제품 '올인'━LG디스플레이는 올 연말까지 사업을 접기로 한 TV용 LCD 패널 생산 비중을 지속적으로 줄이는 대신 IT용 제품 비중을 늘리고 있다. 궁극적으로 TV용 LCD 라인을 개조해 IT 제품용 생산으로 전환할 방침이다. IT 제품용 라인은 최근 풀가동해도 밀려드는 주문량을 감당할 수 없는 반면 TV용 LCD 패널은 코로나19 여파로 수요에 직격탄을 맞은 데다 중국발 저가 공세로 수익성이 낮기 때문이다. 지난달 애플은 아이패드용 LCD 패널을 신속하게 공급해달라고 LG디스플레이에 긴급 요청한 것으로 알려졌다. 일부 외신에 따르면 애플이 올 하반기 출시하는 아이패드 에어 4세대 신제품도 LG디스플레이의 10.8인치 LCD 패널을 탑재할 예정이다. 업계 관계자는 ""세트업체가 패널을 받아 완제품을 생산하려면 2~4주 정도 걸리다 보니 패널을 미리 선점하려는 업체들의 주문이 밀려들고 있다""고 밝혔다.LG디스플레이는 일찌감치 수익성이 낮은 TV용 LCD 패널 대신 IT제품 등 고부가가치 제품 중심으로 포트폴리오를 조정해왔다. 코로나19로 인한 비대면 부문 확산으로 이런 변화에 가속도가 붙고 있다. 지난달 IT용 LCD 패널 생산량은 전월 대비 두자릿수 증가율을 보였다.노트북·모니터·태블릿 LCD 패널은 TV용 LCD 패널보다 기술집약적 제품이어서 판매 단가가 더 높다. LG디스플레이의 제품은 광시야각 기술인 IPS와 터치 정확도를 높인 인터치 등 독자 기술이 적용돼 부가가치가 높다.연말까지 LCD 사업을 접는 삼성디스플레이도  커브드 모니터 등 고부가 IT 제품 생산 비중을 높이고 있다. 반면 TV용 LCD 패널은 이미 계약된 고객 주문 위주로 생산을 최소화하고 있다. ━비대면 경제 확산…올해 노트북·모니터·태블릿 출하 급증━시장조사업체도 IT 제품용 패널 수요가 증가할 것으로 본다.  옴디아에 따르면 올해 TV용 디스플레이 출하량은 코로나19발 수요 절벽으로 전년 대비 9.9% 감소한 2억6170만대에 그치는 반면, IT 제품용 디스플레이 출하량은 급증할 것으로 전망했다. 구체적으로 노트북 패널이 전년 대비 3.4%, 모니터는 7.8%, 태블릿은 16.4% 출하량이 늘어날 것으로 본다. 2분기만 놓고 보면 노트북 패널은 전 분기 대비 35%, 모니터 패널은 19% 출하량이 급증할 것으로 예상된다. 옴디아는 ""올 1분기는 코로나19 여파로 대형 디스플레이 출하량이 전년 대비 4% 감소했다""며 ""그러나 2분기엔 중국 디스플레이 업체들의 생산 회복과 국가별 봉쇄령으로 비대면 수요가 폭증해 출하량이 전년 대비 5% 증가할 것""이라고 밝혔다.이에 따라 업체들의 생산 계획도 수정되고 있다. 삼성디스플레이는 올해 모니터용 LCD 패널을 2296만대 출하할 것으로 예상된다. 지난해보다 40.1% 늘어난 수치다. 연말까지 운영하는 LCD 사업을 모니터용 패널에 집중해 수익성을 극대화하려는 전략으로 풀이된다.LG디스플레이의 모니터용 LCD 점유율은 올 1분기 21.2%에서 2분기 22.6%로 증가할 전망이다. 노트북용 LCD 점유율도 1분기 14.4%에서 2분기에는 16.4%로 확대될 전망이다.업계 관계자는 ""노트북과 태블릿 PC 수요가 전 세계적으로 급증하며 제조사들이 재고 확보에 힘을 쏟고 있다""며 ""TV용 LCD는 중국에 자리를 내줬지만 고부가 IT 제품용 LCD에서 한국의 지배력은 높아지는 추세""라고 밝혔다.박소연 기자"
8,"법인보험대리점(GA) 리치앤코가 소속 설계사를 위해 인슈어테크(보험+기술) 기반 솔루션 구축에 나섰다. 보험회사에 이어 GA 소속 설계사들도 앞으로 간편하게 태블릿PC로 영업과 고객관리가 가능해질 것으로 보인다.이처럼 보험업계 공룡으로 떠오른 GA들이 속속 정보통신(IT) 기술을 영업·고객관리에 활용하면서 산업혁신 속도도 빨라지고 있다.21일 업계에 따르면 보험관리 애플리케이션(앱) 굿리치를 서비스하는 리치앤코는 모든 디바이스에서 사용 가능한 설계사용 IT 솔루션 '굿리치플래너'를 개발 중이다.굿리치플래너는 크게 고객상담 기능과 고객관리 기능으로 구성됐다.우선 고객상담 기능은 △보험설계 △보장분석 △보험비교 등 3단계로 나뉜다. 굿리치플래너를 이용하는 설계사는 태블릿PC로 상품설계시스템에 접속해 고객 기본정보를 입력하고, 상품 선택과 기간을 지정하면 다양한 보험사의 조건을 한 번에 현장에서 확인할 수 있다. 설계사 입장에서는 시간을 획기적으로 줄일 수 있다.리치앤코는 현재 보험설계와 보장분석 단계를 완료했고 올해 안으로 보험비교 단계까지 개발한다는 계획이다.GA 업계 처음으로 태블릿PC에서도 모든 설계사 업무 지원이 가능하다.GA의 경우 다양한 회사 상품을 판매하는 특성상 보험회사 시스템 대비 높은 성능을 요구한다. 이에 휴대성이 뛰어난 태블릿PC에서는 이용이 어려워 대부분 GA 소속 설계사들은 고객을 만난 후 사무실로 복귀해 각 원수 보험사 설계 전산망에서 고객정보를 적고, 해당 내용 서류 자료를 다시 준비해 고객을 찾아가야 하는 불편이 있었다.하지만 굿리치플래너를 이용하면 현장에서 태블릿PC로 굿리치플래너에 접속해 영업은 물론 고객들의 주요 지표를 확인할 수 있다. 리치앤코는 현재 굿리치플래너를 컴퓨터에서 서비스하고 있으며 연내 태블릿PC에서도 구동되도록 시스템 구축을 완료한다는 계획이다.리치앤코 관계자는 “보험은 대면 설계사들이 언제 어디서든 고객 상담 요청에 대해 리얼타임으로 대처하는 것이 영업 효율의 핵심”이라면서 “리치앤코는 인슈어테크를 기반으로 설계사 경험을 혁신하는 데 앞장설 것”이라고 말했다.보험사의 태블릿PC 사용은 2012년 1월 3일 전자서명 제도를 도입하는 보험업법 시행령 개정안이 국무회의를 통과하면서 시작됐다. 이전에는 보험계약을 할 때 청약을 하거나 설계를 바꾸려면 설계사를 직접 만나 청약서를 써야 하는 불편이 있었다. 하지만 전자서명이 도입되면서 설계사와 한 차례만 만나 계약하고 인터넷으로 청약서를 언제든지 확인·수정할 수 있게 됐다.이에 당시 손해보험업계에서는 한화손해보험을, 생명보험업계는 대한생명(현 한화생명) 등 원수 보험사를 중심으로 태블릿PC를 활용해 영업을 시작했다.다만 보험업계와 달리 GA는 페이퍼리스와 동떨어진 시대를 밟아왔다. 보험회사들이 2012년 개선한 이전 과정의 업무 절차를 거치던 것이다. 하지만 최근 비바리퍼블리카 GA자회사인 토스인슈어런스에 이어 리치앤코가 현장에서 이용 가능한 설계사 전용 플랫폼을 선보이면서 산업혁신이 빨라질 것으로 기대된다.업계 관계자는 “보험사는 물론 GA까지 다양한 IT를 적용하면서 비대면은 물론 대면영업상 편의성이 대폭 향상되고 있다”면서 “IT가 고도화함에 따라 이런 추세는 더욱 늘어날 것”이라고 말했다.박윤호기자"
9,"에이수스·주연테크·에이서그래픽카드 등 특화된 제품 출시 에이수스 ROG 제피러스 GA401 델 G3 15 3500 에이서 프레데터 트리톤 900 코로나바이러스 확산 사태로 PC업체들이 게이밍 노트북과 게이밍 데스크톱 등 고사양 제품을 쏟아내고 있다. 직장인의 재택근무, 집에 머무는 학생들이 많아지면서 고사양 제품 수요가 늘고 있어서다.   21일 업계에 따르면 에이수스가 최근 게이밍 노트북과 데스크톱을 내놨고 주연테크는 100만원대 미만의 게이밍 데스크톱을 한정판매 상품으로 출시했다. 에이서는 태블릿 겸용으로 쓸 수 있는 모델을 조만간 출시할 계획이다.   에이수스는 이달 초 게이밍 노트북 1종(ROG 제피러스 GA401)과 게이밍 데스크톱 2종(ROG 스트릭스 GA35·ROG 스트릭스 GA15)을 출시했다. AMD 프로세서를 탑재해 가격대 성능비가 좋다.   ROG 제피러스 GA401는 14인치 게이밍 노트북으로, 고사양 게임은 물론, 그래픽 디자인 및 고해상도 영상 편집 등 다양한 크리에이티브 작업을 원하는 유저에게 최적화된 제품이다. 17.9mm의 얇은 두께와 1.7kg의 가벼운 무게로 휴대성을 극대화했고, 최대 AMD 3세대 라이젠 9 4900HS CPU와 엔비디아 지포스 RTX 2060 Max-Q 그래픽 칩셋을 달아 고사양 작업도 쉽게 할 수 있다. ASUS ROG 스트릭스 GA35는 수냉식 쿨러를 장착하고 AMD 라이젠 9 3900X 프로세서와 최대 엔디비아 지포스 RTX 2080 SUPER 그래픽카드를 꼽았다.   델도 지난달 게이밍 노트북 브랜드 '델 G 시리즈' 신제품 2종(델 G5 15 SE 델 G3 15 3500' )을 공개했다.   G5 15 SE는 AMD 라이젠 400시리즈 프로세서와 AMD RX 5600M 그래픽카드를 달았다. 144Hz 주사율 모니터를 탑재해 게임 속 빠른 움직임도 유연하게 표현한다. 델 G3 15 3500는 인텔 10세대 i7 프로세서와 엔비디아 지포스 RTX 2060 그래픽카드를 달았다.   주연테크는 게이밍 데스크톱 초특가 모델 3종(TINY-L35X7·LUNA-L35X6S·LUNA-L94F6S)을 각 100대씩 총 300대를 한정 판매중이다. 모두 100만원대 이하 모델로 가성비를 높였다. TINY-L35X7은 AMD 3500X 프로세서에 RX570(8G) 그래픽카드를 탑재했다. LUNA-L35X6S 모델은 AMD 3500X CPU에 GTX1660super(6G) 그래픽카드를, LUNA-L94F6S 모델은 인텔 i5-9400F CPU에 GTX1660super(6G)를 달았다.   "
