,contents
0,"박종훈 경남도교육감은 29일 민선 7기 교육감 취임 2주년 기자간담회를 열어 미래교육의 모델이 될 '미래교육테마파크'의 청사진을 제시하고 수업과 배움의 획기적 전환을 선도할 (가칭)미래형 교수학습지원시스템을 9월에 개통해 포스트 코로나 시대를 대비한 미래교육 구축을 본격화한다고 밝혔다. 박종훈 교육감은 지난 임기 동안 지속적으로 추진한 경남교육의 주요 성과로 교실 수업, 학교 문화, 교육 생태계의 변화를 강조했다. 먼저 배움중심수업과 과정중심평가를 도입해 학교 현장에 안착시키고 전문적학습공동체 활성화로 교실 수업의 변화를 가져왔다고 밝혔다. 학생인권조례 제정 추진, 교육인권경영센터 개관 등으로 학생이 존중받고 인권과 민주주의가 꽃피는 학교 문화를 만들기 위해 노력했다는 점을 설명했다. 배움의 공간을 학교를 넘어 지역사회까지 확대하고자 행복교육지구를 9개 시·군에서 운영하고 4개의 센터형 행복마을학교 운영, 192개의 지역별 마을학교를 운영해 교육생태계 확장에도 힘을 쏟았다는 점을 강조했다.이러한 성과를 바탕으로 남은 2년 동안 포스트 코로나 시대를 대비해 지금까지 새로운 교육체제로서 준비해 온 미래교육을 본격적으로 펼쳐 나갈 것이라고 밝혔다. 그 시작으로 순조롭게 진행 중인 '미래교육테마파크'의 청사진을 제시하며 대한민국의 미래교육이 경남교육에서 시작되고 있음을 강조했다. 경남의 미래를 담는 미래교육테마파크는 ‘공감그릇, 생각그릇, 체험그릇’의 3개 동으로 구성된다. 공감그릇은 600석 규모의 강의동으로 교사 연수, 문화예술공연, 포럼과 세미나를 운영하는 공간이다. 생각그릇은 미래교육테마파크의 프로그램을 기획하고 콘텐츠 연구, 미래교육과정을 개발하는 곳으로 사용된다. 가장 핵심적인 체험그릇은 3층 구조로 체험 및 연구, 실제 제작을 위한 다양한 콘텐츠로 구성되는 공간이다.미래교육테마파크의 큰 특징은 모든 콘텐츠가 항상 새롭게 배치되는 가변성을 갖추고 있으며 각 콘텐츠들이 체험에서 창작에 이르기까지 유기적인 흐름으로 학생의 동선이 기획되었다는 점이다. 한편, 경남교육청은 조직개편을 통해 미래교육테마파크설립을 담당할 전담팀도 신설할 예정이다.박종훈 교육감은 “아이들의 배움과 미래를 이어주는 교육이 바로 미래교육""이라며 ""그 동안의 성과를 바탕으로 미래교육을 이어가겠다”고 말했다"
1,닌텐도와 유니버설 파크앤리조트가 지난 2014년부터 준비한 테마파크(지디넷코리아=김한준  기자)일본 오사카에 건설 중인 닌텐도 지적재산권 기반 테마파크 개장이 연기됐다고 싱가포르 경제 매체 비즈니스타임즈가 28일(현지시간) 보도했다.업계 소식통의 발언을 인용한 보도에 따르면 일본 오사카에 올 여름 선보이는 것을 목표로 준비 중인 '슈퍼닌텐도 월드' 개장이 내년까지 지연된다. 코로나19 바이러스 확산에 따른 조치다.닌텐도와 NBC 유니버설의 자회사 유니버설 파크앤리조트는 지난 2014년 '슈퍼닌텐도 월드' 개발을 위한 계약을 체결한 바 있다.슈퍼닌텐도 월드 콘셉트 이미지.당시 두 기업은 일본 오사카에 '슈퍼닌텐도 월드'를 개장하는 것을 시작으로 미국 전세계 유니버설 스튜디오 테마파크 내에 닌텐도 지적재산권을 테마로 하는 구역을 새롭게 선보일 것이라는 계획을 공개했다.'슈퍼닌텐도 월드' 내에는 슈퍼마리오 게임 내에 등장하는 쿠파의 성과 얼음왕국 등 배경을 형상화 한 다양한 건물 및 조형물을 비롯해 게임 콘셉트를 차용한 어트랙션이 구비될 것으로 알려졌다.비즈니스타임즈는 당초 '슈퍼닌텐도 월드'가 2020 도쿄올림픽 개막에 맞춰 개장할 예정이었기에 내년으로 연기된 도쿄올림픽 개막에 맞춰 개장할 수도 있다고 보도했다.해당 소식의 진위를 묻는 질문에 닌텐도와 유니버설스튜디오 재팬은 응답하지 않았다.김한준 기자
2,"군위 삼국유사 테마파크가 다음 달 1일 개장합니다. 군위군 의흥면 이지리 일원 72만여 ㎡ 규모로 조성된 테마파크는 여러 전시 공간과 체험 행사를 비롯해 사계절 썰매장과 물놀이장, 숙박시설 등을 갖추고 있습니다. 또, 코로나19로 대규모 개장 행사는 생략하는 대신 다양한 공연 프로그램을 곳곳에 마련해 관광객을 맞이할 계획입니다. 이지은 기자 "
3," 롯데월드가 한국콘텐츠진흥원과 손잡고 테마파크에 맞는 콘텐츠 발굴에 본격 나선다.롯데월드는 한국콘텐츠진응원과 '테마파크 수요맞춤형 콘텐츠 공동기획·발굴 및 중소 콘텐츠 기업 지원'을 위한 업무협약을 체결했다고 26일 밝혔다. 이번 협약은 민관 협업을 통한 국내 콘텐츠 산업 활성화와 중소기업 지원 측면에서 의의가 있다.업무 협약의 주요 내용은 ▲ 콘텐츠 IP를 활용한 테마파크 수요맞춤형 콘텐츠 공동 기획·발굴 ▲ 양 기관의 보유 자원과 네트워크를 통한 중소기업 콘텐츠 유통 및 홍보 등이다. [사진=롯데월드 어드벤처]롯데월드는 콘텐츠 강화를 위해 현재 공식적으로 사용 중인 반입체 형태의 로티, 로리 등 롯데월드 캐릭터 14종을 애니메이션 IP 트렌드에 맞춰 2D 형태로 리뉴얼하는 작업을 진행할 예정이다.아울러 롯데월드에 최적화되고 손님의 체험을 극대화시킨 테마파크 맞춤형 콘텐츠를 발굴 및 기획하는 과제를 공동으로 추진할 예정이다. 이 밖에도 롯데월드가 운영하는 사업장인 롯데월드 어드벤처, 롯데월드 아쿠아리움, 전망대 서울스카이 내 미디어 플랫폼 15개 구간을 활용해 중소기업의 영상 콘텐츠를 유통하고 홍보하는 역할을 수행할 계획이다.최홍훈 롯데월드 대표는 ""롯데월드는 1989년 오픈한 이래로 대표 캐릭터 로티, 로리를 포함한 캐릭터 14종을 선보인 데 이어 최신 트렌드를 반영한 다양한 콘텐츠를 개발해 항상 즐거운 경험을 선사하기 위해 최선을 다하고 있다""며 ""대한민국을 대표하는 테마파크로서 30년간 쌓아온 역량을 바탕으로 중소기업 육성과 홍보를 지원하며 나아가 국산 콘텐츠 산업의 성장을 위해 적극 협력하겠다""고 포부를 밝혔다.장유미기자"
4," 롯데월드가 한국콘텐츠진흥원과 '테마파크 수요맞춤형 콘텐츠 공동기획 및 발굴, 중소 콘텐츠기업 지원'을 위한 업무협약을 체결했다. 이번 협약은 민관 협업을 통한 국내 콘텐츠 산업 활성화와 중소기업 지원 측면에서 의의가 있다.   주요내용은 △콘텐츠IP를 활용한 테마파크 수요맞춤형 콘텐츠 공동 기획 및 발굴 △양 기관의 보유 자원과 네트워크를 통한 중소기업 콘텐츠 유통 및 홍보 등이다. 롯데월드는 콘텐츠 강화를 위해 현재 공식적으로 사용 중인 반입체 형태의 로티, 로리 등 롯데월드 캐릭터 14종을 애니메이션 IP 트렌드에 맞춰 2D 형태로 리뉴얼하는 작업을 진행할 예정이다.   아울러 롯데월드에 최적화된, 손님의 체험을 극대화시킨 테마파크 맞춤형 콘텐츠 발굴 및 기획하는 과제를 공동 추진할 예정이다. 이밖에도 롯데월드가 운영하는 사업장인 롯데월드 어드벤처, 롯데월드 아쿠아리움, 전망대 서울스카이 내 미디어 플랫폼 15개 구간을 활용해 중소기업의 영상 콘텐츠를 유통하고 홍보하는 역할을 수행할 계획이다.   롯데월드 최홍훈 대표이사는 ""롯데월드는 1989년 오픈한 이래로 대표 캐릭터 로티, 로리를 포함한 캐릭터 14종을 선보인데 이어 최신 트렌드를 반영한 다양한 콘텐츠를 개발해 항상 즐거운 경험을 선사하기 위해 최선을 다하고 있다""며 ""대한민국을 대표하는 테마파크로서 30년간 쌓아온 역량을 바탕으로 중소기업 육성과 홍보를 지원하며 나아가 국산 콘텐츠산업의 성장을 위해 적극 협력하겠다""고 말했다.   "
5,"26일 테마파크 맞춤형 콘텐츠 발굴 업무협약 롯데월드(대표 최홍훈)는 26일 한국콘텐츠진흥원(원장 김영준)과 ‘테마파크 수요맞춤형 콘텐츠 공동기획·발굴 및 중소 콘텐츠기업 지원’을 위한 업무협약을 체결했다.  양측은 앞으로 콘텐츠IP를 활용한 테마파크 수요맞춤형 콘텐츠 공동 기획 및 발굴, 양 기관의 보유자원과 네트워크를 통한 중소기업 콘텐츠 유통 및 홍보 등엣 협력한다.  롯데월드는 현재 공식적으로 사용 중인 반입체 형태의 로티, 로리 등 롯데월드 캐릭터 14종을 애니메이션 IP 트렌드에 맞춰 2D 형태로 리뉴얼하는 작업을 진행할 예정이다. 또한 손님의 체험을 극대화시킨 테마파크 맞춤형 콘텐츠 발굴 및 기획하는 과제를 공동 추진할 예정이다. 이밖에 롯데월드 어드벤처, 롯데월드 아쿠아리움, 전망대 서울스카이 내 미디어 플랫폼 15개 구간을 활용해 중소기업의 영상 콘텐츠를 유통하고 홍보한다. 최홍훈 롯데월드 대표이사는 “롯데월드는 1989년 오픈한 이래로 대표 캐릭터 로티, 로리를 포함한 캐릭터 14종을 선보인데 이어 최신 트렌드를 반영한 다양한 콘텐츠를 개발해 항상 즐거운 경험을 선사하기 위해 최선을 다하고 있다”며 “대한민국을 대표하는 테마파크로서 30년간 쌓아온 역량을 바탕으로 중소기업 육성과 홍보를 지원하며 나아가 국산 콘텐츠산업의 성장을 위해 적극 협력하겠다”고 포부를 밝혔다.스포츠동아 김재범 기자"
6,"공사기간 10년 동안 사업비 1천223억원 투입경북 군위군 삼국유사테마파크에 있는 해룡물놀이장 모습. 군위군 제공경북 군위군은 삼국유사를 테마로 한 복합 문화공간 '삼국유사테마파크'(의흥면 이지리 일대)를 내달 1일 개장한다. 삼국유사테마파크는 경북 3대 문화권 사업의 하나로 추진됐으며 공사기간 10년 동안 사업비 1천223억원이 투입됐다.삼국유사테마파크는 가온누리관(전시관), 이야기학교·숲속학교(교육·연구시설), 해룡물놀이장·해룡슬라이드(놀이시설) 등 볼거리와 즐길거리가 풍부하다. 또 삼국유사 속 설화를 구현해 놓은 조형물도 곳곳에 배치, 관람객들의 눈길을 끌 전망이다. 17m 높이의 신화목, 신라 지철로왕의 사자상, 나라의 모든 근심과 걱정을 해결해준다는 전설의 피리 만파식적 등이다.체류형 관광지의 필수 조건인 숙박시설 20동도 보유하고 있다. 숙박시설은 영웅 탄생을 연상시키는 알 모양의 돔 하우스형으로 지어졌다. 삼국유사에 나오는 영웅들과 나라 이름을 붙여 이용객들이 색다른 체험을 할 수 있도록 했다. 이 밖에 용담지, 아침향기원 등 산책코스를 비롯해 식사를 할 수 있는 풍류정, 각종 상점 등 편의시설을 마련했다.김영만 군위군수는 ""코로나19 사태로 지친 국민들이 삼국유사테마파크에서 힐링할 수 있기를 기대한다""며 ""관람객들에게 사랑받는 테마파크로 거듭나기 위해 끊임없이 노력하겠다""고 밝혔다.이현주 기자"
7,삼국유사 설화 속 이야기를 현실에서 부활시킨 삼국유사테마파크[박종근 기자(=군위)
8,"경북 군위군 의흥면에 조성한 '삼국유사 테마파크'가 7월1일 개장한다.23일 군위군에 따르면 삼국유사 테마파크는 삼국유사(三國遺事) 속 이야기를 다양한 전시 및 조형물로 구현해 놓은 복합 문화콘텐츠 공간이다. 문화체육관광부의 '3대 문화권 관광진흥사업' 일환으로 2010년부터 총사업비 1224억 원을 투입, 의흥면 이지리 일원 72만㎡에 삼국유사 관련 다양한 전시·조형물을 조성했다. 군위군은 일연 대사(1206～1289년)가 삼국유사 저술을 완성하고 입적(入寂)한 인각사(麟角寺)가 있어 '삼국유사의 고장'으로 불린다.삼국유사 테마파크 내에는 가온누리관(전시관), 이야기학교와 숲속학교(교육연구시설), 스피드슬라이드(사계절 썰매장), 물놀이장 등 교육과 체험을 할 수 있는 다양한 시설들로 꾸며졌다.핵심 시설인 '가온누리관'은 삼국유사를 테마로 한 지상 2층 전시시설이다.보각국사 일연 문화계승관, 삼국유사 속 인물들을 판타지 영상으로 만날 수 있는 '서클영상관', 삼국의 역사와 문화 등을 전시물을 통해 배울 수 있는 '히스토리관', 삼국유사 속 여러 교육적인 이야기들을 체험으로 배울 수 있는 '설화문화체험관' 등으로 구성됐다. 17m 높이의 신화목 (사진=군위군 제공)'이야기학교와 숲속학교'는 삼국유사와 관련된 세미나, 강연, 교육 및 체험을 할 수 있는 곳으로 강당과 강의실, 세미나실, 아카이브, 연구실 등이 있다.야외 놀이시설인 '해룡놀이터'는 어린이들을 위한 물놀이장과 사계절 이용할 수 있는 스피드슬라이드(썰매장)가 들어섰다.야외 광장에는 삼국유사의 서문과 발문을 조형물로 표현한 '가온문'(정문)과 '누리문'(후문), 삼국유사의 모든 신화를 담고 있다는 의미로 연출한 17m 높이의 '신화목'이 있다.나라의 모든 근심과 걱정을 해결해준다는 전설의 피리 '만파식적', 전망대로 만들어진 신라 지철로왕의 '사자상', 향가가 흘러나오는 이야기벤치, 난생설화를 표현한 알케이트를 비롯해 다양한 시설이 조성됐다.전망대로 만들어진 신라 지철로왕의 사자상, 탄생설화를 표현한 알게이트를 비롯해 벽화(건국이야기길, 영웅탄생길), 잔디광장(한울마당), 미로(혜통미로), 야외공연장(가온광장, 누리광장) 등이 관람객을 기다린다. 삼국유사 테마파크 내에는 영웅탄생을 연상시키는 알 모양의 돔 하우스형 숙박시설 20동이 지어졌다.'삼국유사 테마파크' 조감도 (사진=군위군 제공)32㎡(10평형) 10동, 44㎡(14평형) 10동으로 이뤄진 역사돔은 다양한 공간 활용도를 자랑한다.군위문화관광재단(이사장 김영만 군위군수)은 삼국유사 테마파크 종합안내소 운영을 통해 관람객 만족을 극대화한다는 계획이다.당초 재단측은 7월 1일 내외빈을 초청한 개장 행사, 7월 4~5일 개장 축제를 개최할 방침이었지만 코로나19 사태를 감안해 대규모 행사는 지양하기로 결정했다.김영만 이사장은 ""삼국유사테마파크는 한국의 신화와 역사를 재발견하고, 우리 민족의 정체성을 확립할 수 있는 대표적 문화 관광지로 자리매김할 것""이라며 ""삼국유사의 다양한 콘텐츠와 문화산업을 접목해 차별화된 문화관광지의 면모를 보여주겠다""고 말했다.☞공감언론 뉴시스"
9,"울산 북구 강동 관광단지에 국내 최대 어린이 테마파크건설 착공 초읽기에 들어가면서 그동안 지지부진하던 강동권 개발사업이 탄력을 받고 있다.울산 북구는 29일 도시계획시설 유원지 제5호인 ‘뽀로로·타요 호텔 앤 리조트’ 조성사업 실시계획인가를 고시했다. 이에 따라 사업 시행자인 ㈜재상은 실시계획인가를 바탕으로 기반시설 조성을 위한 기초조사에 착수한다.이번 실시계획인가 고시에 따라 협의보상 이후 매수 협의가 되지 않는 토지는 지난 4일부터 개정된 관광진흥법에 따라 민간사업자도 토지의 3분의 2 이상 취득 시 나머지 사유지는 사업시행자인 북구청장에게 매수요청이 가능하게 됐다.뽀로로·타요 호텔 앤 리조트는 울산 북구 산하동 8만 7657㎡ 부지 총사업비 4200억원을 들여 어린이 전용 테마파크와 캐릭터 호텔, 리조트 호텔, 컨벤션, 캐릭터 상가, 뽀로로 숲속 마을, 집라인 등 가족형 리조트 단지를 조성하는 사업이다. 오는 2023년 준공을 목표로 하고 있다.이 사업으로 2만 3000여 명의 고용창출과 3조 2000억원 규모의 생산유발 효과에 1조 4000억원의 부가가치 유발효과를 거둘 전망이다.북구 강동 관광단지는 2007년 2월 롯데건설이 리조트 건설에 나서면서 본격화했다. 하지만 롯데는 공정률 37% 상태에서 2009년 6월 공사를 중단했다. 이후 리조트 공사 현장은 공사 재개와 중단을 거듭하면서 흉물로 남았다. 그러나 지난해 초 ‘미호JCT~범서IC~가대IC~호계~강동’까지 이어지는 울산외곽순환도로의 예타면제가 확정되면서 부활의 신호탄을 쏘았다.지난 2월에는 10년 동안 표류했던 강동권 개발사업의 한 축인 ‘강동골프장 조성사업’도 착공에 들어갔다. 강동골프장은 북구 어물동 75만5372㎡ 부지에 18홀 규모로 퍼블릭으로 운영된다.골프장 설계는 데이비드 데일(David M Dale)이 맡았다. 그는 제주 나인브릿지를 비롯해 세계 100대 골프장 중 30여 개를 설계한 권위자로 이름나 있다. 공사가 예정대로 진행되면 강동골프장은 내년 10월 시범라운딩을 시작으로 본격적인 영업에 들어간다.울산시는 강동골프장 건설 관광·레저산업 활성화, 강동권개발 촉진, 강동지역 경제 활성화, 신규 일자리 창출을 비롯해 지방소득세 등 10년간 300억원의 세수증가 효과를 기대하고 있다.이동권 북구청장은 “강동지역은 바다, 산악, 도시자원 등 다양한 관광자원 활용과 최근 변화된 관광여건을 능동적으로 대처해 울산의 새로운 관광명소로 조성될 것”이라고 말했다.울산=조원일 기자"
