,contents
0,"코로나 바이러스 감염증(코로나19) 확진자가 충북 옥천의 한 편의점에서 아르바이트를 한 것으로 확인된 가운데 옥천군이 현금으로 계산한 손님 39명의 신원파악에 난항을 겪고 있다. 충북 옥천군 보건소 역학조사관들이 28일 이원면 보건지소 앞에 마련된 선별진료소에서 주민들을 대상으로 역학조사를 하고 있다. /연합뉴스29일 옥천군에 따르면 지난 27일 확진 판정을 받은 A씨(37)는 이원면의 한 회사에 다니며 퇴근 후에는 편의점에서 일했다. 옥천군보건소는 A씨가 확진 판정을 받기 전인 지난 25일부터 26일까지의 동선을 파악해, A씨가 각각 오후 6시부터 이튿날 새벽 1시까지 편의점에서 일한 것으로 확인했다. 매장 내 폐쇄회로(CC)TV 분석한 결과 A씨는 마스크를 쓰고 일했다. 그러나 해당 시간에 편의점을 방문한 손님 128명은 마스크를 아예 쓰지 않았거나 입을 가리는 등 마스크를 제대로 착용하지 않은 것으로 확인됐다. 보건소는 우선 40명의 신원을 확인해 자가격리 하도록 조치했다. 이들 중에는 유치원생 1명과 초등학생 8명, 중학생 4명이 포함돼 있다. 카드를 쓴 49명의 신원은 신용카드사의 협조를 얻어 확인 중이다.현금으로 물건을 계산한 손님 38명의 신원은 확인되지 않았다. 확진자가 근무한 편의점은 경계를 이웃한 영동과 경북 김천, 전북 무주로 통해, 타 지역 거주자거나 자발적으로 나타나지 않으면 추적 조사가 어렵다. 옥천보건소 관계자는 ""마스크를 쓰지 않은 128명 중 30%가량은 외지인일 가능성이 있다""며 ""문자메시지와 마을방송 등을 통해 편의점 이용자에게 검체 검사를 받으라고 알리고 있다""고 말했다.[민서연 기자"
1,"(사진=자료사진)충북 옥천의 첫 코로나19 확진자가 편의점에서도 야간 아르바이트를 한 것으로 확인됐지만 방역당국이 이 편의점 일부 이용객의 신원 파악에 애를 먹고 있다. 충청북도 재난안전대책본부는 29일 옥천 첫 코로나19 확진자인 A(37)씨의 접촉자 신원을 파악하고 있다고 밝혔다. A씨는 지난 25일과 26일 각각 오후 6시부터 이튿날 새벽 한 시까지 이원면의 한 편의점에서 근무한 것으로 확인됐다. 근무 당시 A씨가 마스크를 착용하고 있었던 것과 달리 손님 128명이 마스크를 쓰지 않거나 코 밑으로 내려 쓰는 등 제대로 착용하지 않은 것으로 조사됐다. 방역당국은 이 가운데 61명의 소재를 확인해 이미 자가격리 조치했다. 나머지 손님들의 신원도 파악하고 있지만 이 가운데 39명 가량이 현금 이용객이어서 난항을 겪고 있다. 다만 방역당국은 이 편의점에 방문한 주민들은 모두 검사를 받도록 조처하면서 지역 사회 확산 가능성은 크지 않을 것으로 보고 있다. 현재까지 A씨의 부인과 친구 등 10명과 자발적으로 검사를 받은 편의점 이용객 173명이 진단 검사를 받은 결과 음성으로 나왔다. 충북도 관계자는 ""현재 CCTV로 확인된 128명의 접촉자에 대한 신원 파악에 나섰다""며 ""다행히 자발적 검사자도 많아 지역사회 전파 가능성은 낮은 것으로 보고 있다""고 말했다.  앞서 이원면의 한 업체에서 일하는 A씨는 지난 27일 대전에 거주하는 한 직장 동료(대전 105번 확진자)가 양성 판정을 받자 진단 검사를 받았고 결국 감염된 것으로 드러났다.도내 64번째 확진자이자 옥천지역 첫 확진자다. 지난 달 24일 청주 30대 남성 이후 한달여 만에 해외 입국자가 아닌 지역 사회 감염이기도 하다. A씨는 지난 25일 회사에서 대전 확진자와 함께 식사를 했고, 퇴근 뒤에는 이원면의 한 편의점에서 야간 아르바이트를 한 것으로 조사됐다. 현재 충북의 코로나19 확진자는 서울 용산 사이버사령부 소속 군인 8명을 포함해 모두 64명이며 이 가운데 이미 60명은 완치 판정을 받고 퇴원했다. "
2,"충북 옥천의 신종 코로나바이러스 감염증(코로나19) 확진자가 퇴근 후 편의점에서 아르바이트한 것으로 확인된 가운데 옥천군이 지역 내 확산 방지를 위해 편의점 이용객 신원 파악에 나섰다.""검체 검사 중""[옥천군 제공. 재판매 및 DB 금지]29일 옥천군에 따르면 지난 27일 오후 4시께 양성 판정을 받은 A(37)씨의 아내와 친구 4명은 검체 검사 결과 모두 '음성'으로 확인됐다.    문제는 A씨가 퇴근 후 아르바이트를 한 편의점에서 그와 접촉한 시민들이다.    옥천군 보건소는 A씨가 확진 판정을 받기 전인 25∼26일 행적을 조사했는데, 각각 오후 6시부터 이튿날 새벽 1시까지 편의점에서 일한 것으로 확인됐다.    폐쇄회로(CC)TV를 분석한 결과 A씨는 마스크를 쓰고 일했다.    그러나 128명의 이용객이 마스크를 아예 쓰지 않았거나 코를 내놓고 입만 가리는 등 마스크를 제대로 착용하지 않은 채 편의점을 찾은 것으로 드러났다.    마스크를 제대로 착용하지 않았다면 비말(침방울)에 의한 코로나19 감염 가능성이 있다는 점에서 14일간의 자가격리 대상이 된다.    보건소는 이들 중 40명의 신원을 확인해 자가격리 조처했다. 이들 중에는 유치원생 1명과 초등학생 8명, 중학생 4명도 포함돼 있다.    카드를 쓴 49명의 신원도 확인하고 있다.    신용카드사의 협조를 얻으면 카드 이용객의 신원 확인은 어렵지 않다.    문제는 현금으로 계산한 나머지 39명이다.    이들이 옥천군의 문자메시지를 받고 검체 검사를 받았다면 문제가 없겠지만, 스스로 나타나지 않으면 사실상 추적 조사가 어렵다.    이 편의점은 경계를 이웃한 영동과 경북 김천, 전북 무주로 통하는 길목에 있다.    '노 마스크' 이용객이 모두 이원면 주민이라고 단정할 수 없는 이유다.    보건소 관계자는 ""신원이 확인된 40명 중 30명이 이원 주민이었다""며 ""이 비율로만 보면 마스크를 쓰지 않은 128명 중 30%가량은 외지인일 가능성이 있다""고 설명했다.    옥천군은 문자메시지와 마을방송 등을 통해 ""편의점 이용자는 즉시 검체 검사를 받으라""고 알렸지만, 외지 이용객을 찾아낼 방법은 마땅치 않은 상황이다.    군 관계자는 ""CCTV에 나온 용모로 신원을 확인해야 하는데, 지역 주민이 아닌 외지인이라면 이마저도 불가능하다""며 ""25∼26일 밤에 이원면을 지나가다가 편의점을 이용했다면 보건소에 즉시 신고해 달라""고 당부했다.   "
3,"충북 옥천 확진자 퇴근후 편의점서 일해밀접접촉자 128명 중 현금 낸 사람 못찾아  충북 옥천군 보건소 역학조사관들이 지난 28일 이원면 보건지소 앞 광장에 차려진 선별진료소에서 주민들을 대상으로 역학조사를 하고 있다. 연합뉴스       충북 옥천의 신종 코로나바이러스 감염증(코로나19) 확진자가 편의점에서 아르바이트한 것으로 확인된 가운데 옥천군이 현금을 낸 손님 39명의 신원 파악에 애를 먹고 있다.       29일 옥천군에 따르면 지난 27일 확진 판정을 받은 A씨(37)는 이원면의 한 회사에 다니며 퇴근 후에는 편의점에서 일했다. 옥천군보건소는 A씨가 확진 판정을 받기 전인 지난 25∼26일 동선을 파악해, A씨가 각각 오후 6시부터 이튿날 새벽 1시까지 편의점에서 일한 것으로 확인했다. 매장 내 폐쇄회로TV(CCTV) 분석결과 A씨는 마스크를 쓰고 일했다.       하지만 손님 128명은 마스크를 아예 쓰지 않았거나 코를 내놓고 입만 가리는 등 마스크를 제대로 착용하지 않은 채 편의점을 찾았다. 확진자와 접촉한 사람이 마스크를 제대로 착용하지 않으면 비말(침방울)에 의한 코로나19 감염 가능성이 있어서 14일간 자가격리 대상이 된다.       보건소는 우선 40명의 신원을 확인해 자가격리 조처했다. 이들 중에는 유치원생 1명과 초등학생 8명, 중학생 4명이 포함돼 있다. 카드를 쓴 49명의 신원은 신용카드사의 협조를 얻어 확인하고 있다.       나머지 현금으로 물건을 계산한 손님 39명은 확인되지 않았다. 이 편의점은 경계를 이웃한 영동과 경북 김천, 전북 무주로 통하는 길목에 있다. 이들이 옥천군의 문자메시지를 받고 검체 검사를 받았다면 문제가 없겠지만, 타 지역 거주자거나 스스로 나타나지 않으면 추적 조사가 어렵다. 옥천보건소 관계자는 “마스크를 쓰지 않은 128명 중 30%가량은 외지인일 가능성이 있다”며 “문자메시지와 마을방송 등을 통해 편의점 이용자에게 검체 검사를 받으라고 알리고 있다”고 말했다.       옥천에서 첫 확진자가 나온 이원면은 복숭아 재배 농가가 많다. 옥천군은 A씨와 접촉한 자가격리 대상자가 복숭아 농사를 짓는 농민일 것으로 보고 수확 인력 지원에 나설 계획이다. 공무원 일손 돕기나 자원봉사 인력을 활용하는 생산적 일손 봉사, 저소득 실직자를 활용하는 행복 일자리 사업 등을 고려하고 있다. 옥천군 관계자는 “복숭아 수확을 코앞에 둔 농부가 2주일간 집에 격리된다면 수확 시기를 놓쳐 낭패를 볼 수밖에 없다”며 “농민들이 손해 보는 일이 없도록 이장들의 조언을 받아 제대로 된 일손 지원을 추진하겠다”고 말했다.      옥천=최종권 기자"
4,"충북 옥천군 보건소 역학조사관들이 지난 28일 이원면 보건지소 앞 광장에 차려진 선별진료소에서 주민들의 검체를 채취하고 있다. 연합뉴스충북 옥천 신종 코로나바이러스 감염증(코로나19) 확진자가 편의점에서 아르바이트한 것으로 확인돼 옥천군이 편의점 이용객 파악에 나섰다.29일 옥천군에 따르면 거주민 A씨(37)는 지난 27일 확진 판정을 받았다. A씨는 이원면의 한 업체 직장 동료이자 대전 105번 확진자에게 감염된 것으로 드러났다.A씨와 밀접 접촉자로 분류되는 아내와 친구 10명은 검체 검사 결과 모두 음성으로 확인됐다.A씨는 지난 25일과 26일 직장 퇴근 후 오후 6시부터 이튿날 새벽 1시까지 이원면의 한 편의점에서 근무한 것으로 확인됐다.근무 당시 A씨가 마스크를 착용하고 있었던 것과 달리 편의점 이용객 128명이 마스크를 쓰지 않거나 코 밑으로 내려 쓰는 등 제대로 착용하지 않은 것으로 조사됐다.방역 당국은 이들 중 40명의 신원을 확인해 자가격리 조치했다. 카드를 사용한 49명의 신원도 확인하고 있다. 신용카드사의 협조를 얻으면 빠른 시일 내에 신원이 확인될 것으로 예상된다.문제는 현금으로 계산한 나머지 39명에 대한 신원 파악이다.이들이 옥천군의 문자메시지를 받고 검체 검사를 받는다면 문제가 없겠지만, 스스로 나타나지 않으면 사실상 추적 조사가 어렵기 때문이다.보건소 관계자는 편의점 이용객이 모두 거주민이 아닐 가능성이 있다고 말했다. 관계자는 “신원이 확인된 40명 중 30명이 거주민이었다”며 “이 비율로만 보면 마스크를 쓰지 않은 128명 중 30%가량은 외지인일 가능성이 있다”고 설명했다.군 관계자는 “CCTV에 나온 용모로 신원을 확인해야 하는데, 지역 주민이 아닌 외지인이라면 이마저도 불가능하다”며 “지난 25∼26일 밤에 이원면을 지나가다가 편의점을 이용했다면 보건소에 즉시 신고해 달라”고 당부했다.유승혁 인턴기자"
5,"전년 대비 32% 매출 증가 모바일앱 연 후 성장 가속화편의점 와인 전성시대가 왔다. 28일 편의점 세븐일레븐에 따르면 올해 들어 지난 26일까지 와인 매출은 전년 대비 32% 증가하며 유례없는 성장세를 기록하고 있다.특히 4월 중순 모바일앱(세븐앱) ‘와인예약주문 서비스’가 오픈된 이후로는 무려 60%의 신장률을 기록할 만큼 고객 수요가 날로 커지고 있다.편의점 와인의 성장 주역은 경제력을 갖춘 3040세대 여성이었다. 세븐일레븐이 모바일 와인예약주문 서비스 이용 현황을 분석한 결과 40대 여성 구매 비중이 전체의 22%로 가장 높게 나타났고, 30대 여성이 18%로 그 뒤를 잇는 등 3040 여성의 와인예약주문 비율이 전체의 40.5%를 차지했다. 전체 여성 구매 비중도 56%로 남성(44%)을 압도했다. 판매가 169만 원의 고가 와인인 ‘샤또마고750mL’의 구매고객도 40대 여성인 것으로 나타났다.세븐일레븐은 와인의 대중화 트렌드 속에서 여성이 남성에 비해 상대적으로 고급스럽고 여유 있는 생활문화를 추구하는 경향을 보이고, 사회적 영향력과 경제력을 갖춘 3040세대가 핵심 고객층을 형성하게 됐다고 분석했다.세븐일레븐은 7월 중 ‘스마트오더 결제 서비스’ 오픈을 준비하고 있다. 현재 편의점 모바일 와인예약주문 서비스는 고객이 모바일에서 상품을 주문한 후 점포를 방문해 결제·픽업을 하는 구조다. 스마트오더 결제 서비스가 오픈되면 모바일에서 주문과 함께 결제까지 바로 할 수 있고, 점포에선 성인 인증 후 상품 수령만 하면 되기 때문에 서비스 이용이 보다 간편해진다. 또 세븐일레븐은 와인 매출 활성화를 위한 할인행사도 더욱 확대해 나간다는 계획이다. 세븐일레븐은 이달 와인 7종을 대상으로 진행 중인 골라담기 행사를 내달엔 품목 수를 12개까지 확대해 운영할 예정이다.남건우 세븐일레븐 음료주류팀 CMD는 “와인은 홈술, 홈파티, 생활 속 작은 사치 등의 트렌드와 맞물려 여성을 중심으로 소비가 늘고 있는 것으로 보인다”면서 “와인 전성기에 맞게 다양한 가격대와 용량의 상품 구색을 점차 확대해 나갈 예정이며, 할인 프로모션도 꾸준히 전개해 나갈 것”이라고 말했다.황상욱 기자"
6,"편의점 와인 시장이 급성장 중이다.   28일 세븐일레븐에 따르면 올해(1/1~6/26) 와인 매출은 전년대비 32.2% 증가하며 유례없는 성장세를 기록하고 있다. 특히 4월 중순 모바일앱 '와인예약주문 서비스'가 오픈된 이후로는 무려 60.3%의 신장률을 기록할 만큼 고객 수요가 날로 커지고 있다.   편의점 와인의 '큰 손'은 경제력을 갖춘 30~40대 여성이었다. 세븐일레븐이 모바일 와인예약주문 서비스 이용 현황을 분석한 결과 40대 여성 구매 비중이 전체의 22.3%로 가장 높았고, 30대 여성이 18.2%로 그 뒤를 이었다. 전체 여성 구매 비중도 55.9%로 남성(44.1%)을 압도했다. 판매가 169만원의 고가 와인인 '샤또마고'의 구매 고객도 40대 여성인 것으로 나타났다.   세븐일레븐은 와인의 대중화 트렌드 속에서 여성이 남성에 비해 상대적으로 고급스럽고 여유있는 생활문화를 추구하는 경향을 보이고, 특히 사회적 영향력과 경제력을 갖춘 30~40대가 핵심 고객층을 형성하게 됐다고 분석했다.   지역별로는 서울이 39.7%로 가장 높았고 수도권 지역이 전체의 66%를 차지했다. 서울 자치구별로는 강남구(15.4%), 중구(12.0%), 광진구(9.7%) 순으로 높게 나타났다.   남건우 세븐일레븐 음료주류팀 CMD는 ""와인은 홈술, 홈파티, 생활속 작은사치 등의 트렌드와 맞물려 여성을 중심으로 그 소비가 늘고 있는 것으로 보인다""며 ""와인 전성기에 맞게 다양한 가격대와 용량의 상품 구색을 점차 확대해 나갈 예정이며, 할인 프로모션도 꾸준히 전개해 나갈 것""이라고 말했다.   "
7,"세븐일레븐, 모바일 와인예약주문 서비스 후 와인 매출 60% 증가 편의점 와인이 전성기를 맞았다.28일 편의점 세븐일레븐에 따르면 올해 1월 1일부터 6월 26일까지 와인 매출은 전년 대비 32.2% 증가했다. 특히 4월 중순 모바일 애플리케이션 '세븐앱'에 와인예약주문 서비스가 도입된 이후 60.3%의 신장률을 기록했다.편의점 와인의 성장 주역은 경제력을 갖춘 3040세대 여성이다. 모바일 와인예약주문 서비스 이용 현황을 분석한 결과 40대 여성 구매 비중은 전체 22.3%로 가장 높았고, 30대 여성이 18.2%로 총 40.5%를 차지했다. 전체 여성 구매 비중도 절반 이상(55.9%)으로 남성보다 많았다. 169만원의 고가 와인인 ‘샤또마고(750mL)’를 구매한 고객도 40대 여성이었다.세븐일레븐 측은 ""홈술(집에서 마시는 술), 홈파티, 생활 속 작은 사치 등의 트렌드와 맞물려 여성을 중심으로 와인 소비가 늘고 있는 것으로 보인다""고 분석했다. 지역별로는 서울이 39.7%로 가장 높게 나타난 가운데 수도권 지역이 전체의 66%를 차지했다. 서울지역 자치구별로는 강남구(15.4%), 중구(12.0%), 광진구(9.7%) 순으로 높게 나타났다.와인 수요 확산에 따라 세븐일레븐은 다음 달 ‘스마트오더 결제 서비스’를 선보일 예정이다. 현재 편의점 모바일 와인예약주문 서비스는 고객이 모바일에서 상품을 주문한 후 점포를 방문해 결제 및 픽업을 하는 구조지만, 스마트오더 결제 서비스가 도입되면 모바일에서 주문, 결제까지 바로 할 수 있다. 점포에서는 성인 인증 후 상품을 수령만 하면 된다.할인 행사도 늘릴 계획이다. 세븐일레븐은 현재 와인 7종을 대상으로 진행 중인 '골라담기' 행사의 품목 수를 다음 달엔 12개까지 확대할 예정이다.[김은영 기자"
8,"(사진=스마트이미지 제공)편의점에서 파는 와인의 주소비계층은 3,40대 여성인 것으로 나타났다.28일 편의점 세븐일레븐이 와이예약주문 어플리케이션 이용현황을 분석한 결과 40대 여성 비중이 전체의 22.3%로 가장 높았고 30대 여성이 18.2%로 그 뒤를 이었다.또한 전체 여성 구매 비중도 55.9%로 남성에 비해 높았다.세븐일레븐은 ""와인의 대중화 속에서 여성이 남성보다 상대적으로 고급스럽고 여유 있는 생활문화를 추구하는 경향을 보였다""며 ""사회적 영향력과 경제력을 갖춘 3,40세대가 핵심 고객층을 형성하게 됐다""고 분석했다.지역별로는 서울 39.5%를 포함해 수도권이 66.0%였다. 서울 자치구별로는 강남구(15.4%), 중구(12.0%), 광진구(9.7%) 순이었다."
9,"여름철 대표과일로 알려진 '수박'이 메인 플레이버(맛)로 자리잡고 있다. GS리테일이 운영하는 GS25가 올해 1월부터 6월 26일까지 수박 관련 제품(사진) 매출을 전년 동기(2019년 1월 1일~6월 26일)대비 살펴본 결과, 수박 모티브의 가공식품 매출이 89.5% 신장한 것으로 나타났다고 29일 밝혔다. 또 음료와 아이스크림, 과자 등의 가공식품에서 수박을 테마로 한 제품 수는 작년말 기준 20종에서 올해 31종으로 대폭 확대됐다.이는 여름철 대표과일인 수박의 원물 특유의 청량한 맛과 식감을 구현할 수 있는 기술이 발달함에 따라 메인 식재료로 자리잡아 수박 콘셉트의 제품 선호도가 높아진 것으로 풀이된다. 또 갈수록 고온 다습해지는 기후의 영향으로 연중 청량하고 시원한 과일 맛을 찾는 고객들이 늘어난 것으로 GS25는 분석하고 있다.이에 GS리테일은 지난 5월에 수박 콘셉트의 이색 아이스크림 5종을 선보인데 이어 6월 말 빙수 1종과 음료 3종을 추가 출시한다. GS25가 이달 25일에 출시한 라벨리)수박화채빙수280mL는 여름철 즐겨먹는 수박 화채를 빙수로 개발한 상품이다. 실제 수박을 상단에 토핑하고 파인애플과 복숭아, 딸기 후르츠를 넣어 상큼하고 깔끔함을 더했다. 초콜릿으로 씨앗을 표현했으며 아이스크림 하단은 달콤한 사과믹스로 구성했다.고객들은 수박화채빙수를 통해 처음부터 끝부분까지 실제 수박화채를 먹는 느낌을 받을 수 있다.GS25는 7월 한달간 빙수 5종(인절미빙수, 망고빙수, 티라미수빙수, 팥빙수, 수박빙수)중 2개 제품 구매 시 1개를 증정하는 2+1 행사도 진행한다.GS25에서 이달 말 새롭게 선보이는 수박음료는 유어스)진심가득수박330mL, 자연)톡터질수박에500mL, GS)수박멜론스파클링350mL 3종이다. 유어스)진심가득수박330mL은 고열충진방식 대신 무균충진방식을 적용해 수박 본연의 맛과 향을 살린 제품이다.자연)톡터질수박에500mL는 비교적 퍽퍽하게 느껴지는 수박알갱이 대신 아삭하게 씹히는 알로에 알갱이로 변경해 개발한 제품이다. 수박알갱이를 직접 씹는 것 같은 식감을 구현했으며 수박의 달콤함과 수박껍데기의 시원한 맛을 적절히 배합해 여름철에 달콤하게 즐길 수 있어 고객들의 호응이 예상된다. GS)수박멜론스파클링350mL은 수박과 멜론의 달콤한 향과 맛을 동시에 느낄 수 있으면서도 저당, 저칼로리, 무색소의 건강한 탄산음료다.GS25 관계자는 ""GS25는 굉장히 무더울 것으로 예상되는 올해 여름을 겨냥해 수박 본연의 맛을 살리면서도 색다르게 즐길 수 있는 수박 콘셉트 제품 라인업을 강화하고 있다""며 ""향후에도 GS25는 더위로 지친 고객들의 입맛을 사로잡을 수 있는 다양한 제품을 선보일 수 있도록 더욱 노력할 것""이라고 말했다.황상욱 기자"
