,contents
0, 배상현 기자 =김영록 전남지사가 29일 오전 도청 브리핑룸에서 민선7기 출범 2년 기자회견을 하고 있다. (사진=전남도 제공) 2020.06.29. 
1,제2연평해전 18주년인 29일 오후 인천시 옹진군 대연평도 평화공원에 위치한 제2연평해전 전사자들의 부조의 모습. 2020.6.29   
2,29일 오후 6시를 기해 대전과 충남지역에 호우주의보가 발효된 가운데 대전 서구 보라매공원에 위치한 평화의 소녀상에 빗물이 맺혀 있다. 2020.6.29/뉴스1presskt@news1.kr
3,"강원 인제군이 ‘평화’ ‘거점도시’ ‘레저산업’ ‘경제 재도약’ 등 4대축을 바탕으로 지역발전을 이끄는데 중점을 두고 민선 7기 후반기 군정 운영에 나선다.군은 4대축을 토대로 한 7대 전략, 20대 과제를 내달 1일부터 본격적으로 추진한다고 29일 밝혔다.‘평화’ 축은 국도 31호선 대체노선 및 평화도로를, ‘거점도시’ 축은 춘천~속초 고속화철도를, ‘레저산업’ 축은 동서고속도로를, ‘경제 재도약’ 축은 국도 44·46호선을 기반으로 한다.7대 전략은 Δ혁신과 평화를 모토로 더 나은 미래 Δ신 레저산업 육성을 중심으로 더 신나는 관광 Δ농림수산업 경쟁력 강화를 위한 더 풍요로운 농업·농촌 Δ전통시장 활성화와 명품 스포츠 도시를 목표로 더 활기찬 지역경제 Δ사각지대 해소로 완전한 복지를 꿈꾸는 더 촘촘한 복지 안전망 Δ7만 군민 수요에 맞은 행정설계를 중심으로 더 살기 좋은 인제 등이다.20대 과제 중 주요 사업은 Δ국도 31호선 대체노선 신설 Δ빅데이터 플랫폼 구축 Δ익스트림 스포츠 타운 조성 Δ파라다이스 역사 루지 공원 Δ농업기술센터 이전 Δ재난위기 콘트롤 타워 구축 Δ자가 격리 치유센터 조성 등이다.최상기 군수는 “상반기에는 군민 생활에 실질적으로 도움을 줄 수 있는 생활정책과 현안 해결에 심혈을 기울였고, 앞으로는 코로나 이후 변화를 대비한 한국판 뉴딜 사업을 발굴하는 등 선제적으로 발전전략을 수립하는데 역점을 쏟겠다”고 말했다"
4,"    (서울·파리=연합뉴스) 안용수 기자 김용래 특파원 = 영국 런던에서 64㎞ 떨어진 레딩의 한 공원에서 한 괴한의 흉기 테러로 3명이 숨지는 일이 일어났다.    BBC 방송 등 영국 언론에 따르면 지난 20일 오후 7시께(현지시간) 레딩의 도심에 있는 공원 포베리가든에서 주말 저녁 산책을 즐기던 시민들을 괴한이 마구 찌르고 달아났다.     괴한이 휘두른 흉기에 공원에 있던 시민 3명이 숨지고 다른 3명이 중상을 입었다.    사건이 일어난 포베리 가든은 레딩의 도심에 있는 공원으로, 온화한 날씨를 보인 이날 저녁 많은 시민이 가족·친지들과 함께 산책과 담소를 즐기러 나와 있었다.    사건 당시 포베리 가든 공원에 있던 로런스 워트(20)씨는 영국의 PA통신에 ""공원이 사람들로 가득 차 있었다. 많은 사람이 앉아서 지인들과 음료를 마시고 있었는데, 한 괴한이 혼자 걸어 들어오더니 알아들을 수 없는 말을 크게 외치고는 갑자기 사람들을 찌르기 시작했다""고 말했다.    워트 씨는 ""그가 우리 일행을 향해서도 달려와 우리는 뒤로 돌아 뛰기 시작했다. 우리를 잡지 못할 것이라고 생각한 괴한이 공원에 앉아 있던 다른 사람들을 찌르려고 했다""고 전했다.    경찰은 사건 현장 인근에서 25세의 리비아인을 용의자로 체포해 조사 중인 것으로 알려졌다.     선데이미러에 따르면 현장에 출동한 한 경찰관이 몸을 날려 태클을 해 용의자를 제압한 것으로 전해졌다.     영국 언론들에서는 용의자가 레딩에 거주하는 리비아 출신 남성으로 영국 정부로부터 난민 인정을 받은 인물이라는 보도가 나왔지만, 경찰은 이에 대해 공식적으로 확인해주지 않고 있다.     경찰은 21일 오전까지 이 사건을 테러 사건으로 보지 않고 있다고 밝혔으나 곧 입장을 바꿔 정식으로 테러 수사를 개시했다고 발표했다.    "
5,"영국 런던에서 64㎞ 떨어진 레딩의 한 공원에서 괴한의 흉기 테러로 3명이 숨지고 3명이 다쳤습니다.BBC방송 등에 따르면 현지시간 20일 오후 7시쯤 레딩의 도심에 있는 공원 포베리가든에서 괴한이 주말 저녁 산책을 즐기던 시민들에게 흉기를 휘둘렀습니다.현지 언론들에선 용의자가 레딩에 거주하는 리비아 출신 남성으로 영국 정부로부터 난민 인정을 받은 인물이라는 보도가 나왔지만, 경찰은 공식적으로 확인해주지 않고 있습니다.경찰은 당초 이 사건을 테러 사건으로 보지 않고 있다고 밝혔지만 입장을 바꿔 정식으로 테러 수사를 개시했다고 발표했습니다.김정환 기자 "
6," 영국 런던에서 64㎞ 떨어진 레딩의 한 공원에서 한 괴한의 흉기 테러로 3명이 숨지는 일이 일어났다.BBC 방송 등 영국 언론에 따르면 지난 20일 오후 7시께(현지시간) 레딩의 도심에 있는 공원 포베리가든에서 주말 저녁 산책을 즐기던 시민들을 괴한이 마구 찌르고 달아났다. 괴한이 휘두른 흉기에 공원에 있던 시민 3명이 숨지고 다른 3명이 중상을 입었다. 사건이 일어난 포베리 가든은 레딩의 도심에 있는 공원이다. 온화한 날씨를 보인 이날 저녁 많은 시민이 가족·친지들과 함께 산책과 담소를 즐기러 나와 있었던 것으로 전해졌다.사건 당시 포베리 가든 공원에 있던 로런스 워트(20)씨는 “공원이 사람들로 가득 차 있었다. 많은 사람이 앉아서 지인들과 음료를 마시고 있었는데, 한 괴한이 혼자 걸어 들어오더니 알아들을 수 없는 말을 크게 외치고는 갑자기 사람들을 찌르기 시작했다”고 전했다. 그러면서 “그가 우리 일행을 향해서도 달려와 우리는 뒤로 돌아 뛰기 시작했다”면서 “우리를 잡지 못할 것이라고 생각한 괴한이 공원에 앉아 있던 다른 사람들을 찌르려고 했다”고 전했다.경찰은 사건 현장 인근에서 25세의 리비아인을 용의자로 체포해 조사 중인 것으로 알려졌다. 선데이미러에 따르면 현장에 출동한 한 경찰관이 몸을 날려 태클을 해 용의자를 제압한 것으로 전해졌다. 영국 언론들에서는 용의자가 레딩에 거주하는 리비아 출신 남성으로 영국 정부로부터 난민 인정을 받은 인물이라는 보도가 나왔지만 경찰은 이에 대해 공식적으로 확인해주지 않고 있다. 경찰은 21일 오전까지 이 사건을 테러 사건으로 보지 않고 있다고 밝혔으나 곧 입장을 바꿔 정식으로 테러 수사를 개시했다고 발표했다. /김기혁기자"
7,"[헤럴드경제(오산)=지현우 기자] 오산시(시장 곽상욱)는 죽미령 평화공원 유엔군초전기념관 1층 평화배움터에서 ‘평화나누미 활동가 양성과정’ 수료식을 진행했다고 26일 밝혔다.‘평화나누미 활동가 양성과정’은 오산백년시민대학 물음표학교의 오산공작소 사업의 일환으로 전쟁과 평화를 주제로 한 교육, 홍보, 행사 지원을 위한 활동가 양성을 위해 개설된 과정이다. 총 12회차, 24시간으로 진행된 ‘평화나누미 활동가 양성과정’에서 수강생들은 ▷평화 공감 토크 콘서트: 통일 톡 투 유 ▷오산의 비전과 오산 죽미령 평화공원 ▷평화적 관점으로 바라본 한국전쟁 등 강의를 통해 평화와 통일에 대해 학습했다.심화과정을 통해 글로컬 세계시민교육과 평화 감수성 교육, 탈분단 감수성과 평화교육 등을 주제로 좀 더 심도 깊게 평화와 통일에 대해 다양한 관점에서 고찰해보는 시간을 가졌다. 이번 과정 수료자들은 향후 오산 죽미령 평화공원에서 평화나누미 활동가로 활동한다. 학교 연계 평화·통일 체험 프로그램, 평화공연 등 다양한 행사를 진행하고 홍보할 예정이다.오산시 관계자는 “평화나누미 활동가들이 다양한 평화 콘텐츠 기획과 운영 참여를 통해 평화문화의 전파자 역할을 할 것으로 기대한다”고 했다. 오산 죽미령 평화공원은 다음달 5일 625 전쟁과 오산죽미령 전투 70주년을 맞아 정식 개장식을 가진다"
8,"<태백산맥>의 조정래 작가와 6·25 참전 유공자, 학생 등 400명이 25일 강원도 철원군 백마고지 전적지에서 열린 한국전쟁 70돌 기념행사 ‘기억을 넘어 함께, 희망으로’에서 ‘한반도 종전기원문’을 함께 낭독하고 있다. 강원도 제공한국전쟁 70돌을 맞은 25일, 당시 전쟁의 상흔을 간직하고 있는 현장들과 함께 전국 성당 등지에서 한반도 평화를 기원하는 목소리가 울려 퍼졌다. 참석자들은 최근 남북관계의 경색을 우려하며 이 땅에서 다시는 전쟁이 일어나선 안 된다고 한목소리로 말했다.이날 한국전쟁 최대 격전지인 강원도 철원군 백마고지에선 한반도 평화를 기원하는 ‘종전기원문’이 공표됐다. 이 종전기원문은 ‘분단문학의 백미’로 꼽히는 <태백산맥>의 조정래 작가가 직접 써 의미를 더했다.조 작가와 6·25 참전 유공자, 학생 등 400명은 이날 철원에서 한국전쟁 70돌 기념행사 ‘기억을 넘어 함께, 희망으로’를 열고 ‘한반도 종전기원문’을 함께 낭독했다. 종전기원문에는 분단의 아픔과 평화공존·공동번영의 염원, 한반도의 항구적인 평화를 위한 협조 호소 등의 내용을 담았다.이날 공표된 편지 형식의 ‘한반도 종전기원문’은 통일부나 남북 체육 관련 단체 등을 통해 김정은 북한 국무위원장에게도 전달할 계획이다.전국 성당에서는 한반도 평화를 기원하는 미사가 일제히 봉헌됐다. 서울대교구 주교좌성당인 명동성당에서 열린 미사를 집전한 염수정 추기경은 최근 급속히 악화한 남북관계를 거론하며 “참평화를 이루는 일은 매우 어렵기는 하지만 결단코 불가능한 일이 아니다. ‘용서의 정치’가 펼쳐질 때 정의는 더욱 인간적인 모습을 띠게 되고 평화는 더욱 항구적인 것이 될 것”이라고 강조했다.음휘선 작가의 ‘노근리에 꽃비가 내리던 날’. 충북민예총 제공한국전쟁의 아픔을 간직하고 있는 노근리 평화공원에선 평화를 기원하는 설치미술전이 이날 개막했다. 충북민예총과 충북민족미술인협회(충북민미협)가 한국전쟁 70돌을 맞아 준비한 전시회는 7월 말까지 이어진다. 노근리 평화공원은 한국전쟁 초기인 1950년 7월25~29일 미군 폭격으로 피란민 수백명이 희생된 충북 영동군 황간면 노근리 경부선 철도 쌍굴다리 앞에 조성됐다. 당시 정부 조사에서 희생자 226명, 유족 2240명을 확인했다. 박수혁 오윤주 기자"
9,"북한 접경지역인 서해 북단 연평도에 올해 8월 평화를 주제로 하는 전망대가 문을 연다.    인천시 옹진군은 연평도에 '연평 평화전망대' 건물 건축 공사를 마치고 개관 준비를 하고 있다고 26일 밝혔다.    고지대에 위치한 전망대는 지하 1층, 지상 3층, 연면적 400㎡ 규모로 8월 개관할 예정이다.     지상 1층은 평화와 연평도의 역사·미래를 주제로 한 전시공간으로 운영된다.    2층은 망원경 등을 갖춘 전망대로 꾸며진다. 3층은 군부대의 관측시설로 활용할 계획이다.    이곳 전망대에서는 연평도와 인접한 북한 석도, 갈도, 장재도 등지의 모습을 볼 수 있다.    옹진군은 평화전망대와 연평도 내 자연자원·관광시설을 연계해 이른바 평화 관광코스를 조성하는 방안도 추진하고 있다.    연평도에는 남북 간 군사대치로 불이 꺼졌다가 45년 만인 지난해 5월 다시 불을 밝힌 '연평도등대'가 있는 등대공원이 조성돼 있다.    또 제1·2 연평해전 희생자와 2010년 북한 연평도 포격 도발로 전사한 하정우 하사와 문광욱 일병을 추모하기 위해 조성된 평화공원도 있다.    옹진군 관계자는 ""전망대는 내부 전시공간 조성 등을 거쳐 8월 중 개관을 목표하고 있다""며 ""평화에 대한 염원을 담은 영상물을 상시 상영하는 공간을 마련할 계획""이라고 말했다.   "
