,contents
0,"허가받은 보관량을 수십 배 초과하는 폐기물을 받아 '쓰레기 산'을 쌓아둔 채 정작 폐기처리는 하지 않고 거액의 폐기비만 받아 챙긴 업체와 뒷돈을 받고 이를 눈감아준 공무원 등 20명이 경찰에 적발됐다.    경기남부지방경찰청 지능범죄수사대는 폐기물관리법 위반, 뇌물수수 등 혐의로 경기도의 한 폐기물처리업체 대표 A 씨와 직원, 해당 지방자치단체 공무원 B 씨 등 20명을 불구속 입건해 기소의견으로 검찰에 송치했다고 29일 밝혔다.[경기남부지방경찰청 제공. 재판매 및 DB 금지]    A 씨 등은 2018년 6월부터 지난해 2월까지 허가받은 폐기물 보관량인 560ｔ보다 40배 많은 2만3천ｔ의 목재를 비롯한 각종 폐기물을 자신이 운영하는 폐기물처리업체의 2만3천㎡ 규모 야적장에 쌓아둔 혐의를 받고 있다.    2018년 4월 문을 연 A 씨의 폐기물처리업체는 같은 해 7월 허가보관량의 10배인 5천600ｔ의 폐기물을 쌓아뒀다가 적발돼 지자체로부터 2달간 영업정지 처분을 받고도 계속 영업을 이어가며 폐기물을 받아 쌓아둔 것으로 조사됐다.    이 업체는 폐기물 처리 과정의 중간단계에 있는 업체로 폐기물 수집·운반 또는 배출업체로부터 처리비를 받고 폐기물을 넘겨받으면 허가보관량 이내로 보관했다가 일부 자체 처리하거나 최종 처리업체에 처리비를 주고 넘겨야 하는데 그러지 않고 폐기물과 15억원가량의 처리비만 받아 챙긴 것으로 파악됐다.    A 씨는 이처럼 폐기물을 불법 보관하던 동안 행정처분 등 불이익을 받지 않고자 해당 지자체의 관련 업무를 담당하는 공무원 B 씨에게 1천200만원 상당의 금품과 향응을 제공하기도 했다.    경찰 조사에서 A 씨는 혐의를 대체로 인정했지만, 공무원 B 씨는 ""돈을 받지 않았다""며 부인한 것으로 전해졌다.    경찰 관계자는 ""폐기물처리업체와 공무원이 유착된 비리 사건으로 이러한 환경비리, 지역 토착비리에 대해 적극적으로 수사할 방침""이라고 말했다.   "
1," 허가받은 보관량을 수십배 초과하는 폐기물을 받아 ‘쓰레기 산’을 쌓아둔채 폐기처리는 하지 않고 거액의 폐기비만 받아 챙긴 업체와 뒷돈을 받고 이를 눈감아준 공무원 등 20명이 경찰에 적발됐다.경기남부지방경찰청 지능범죄수사대는 폐기물관리법 위반, 뇌물수수 등 혐의로 경기도의 한 폐기물처리업체 대표 ㄱ씨와 직원, 해당 지방자치단체 공무원 ㄴ씨 등 20명을 불구속 입건해 기소의견으로 검찰에 송치했다고 29일 밝혔다.ㄱ씨 등은 2018년 6월부터 지난해 2월까지 허가받은 폐기물 보관량인 560ｔ보다 40배 많은 2만3000ｔ의 목재를 비롯한 각종 폐기물을 자신이 운영하는 폐기물처리업체의 2만3000㎡ 규모 야적장에 쌓아둔 혐의를 받고 있다.2018년 4월 문을 연 ㄱ씨의 폐기물처리업체는 같은해 7월 허가보관량의 10배인 5600ｔ의 폐기물을 쌓아뒀다가 적발돼 지자체로부터 2달간 영업정지 처분을 받고도 계속 영업을 이어가며 폐기물을 받아 쌓아둔 것으로 조사됐다.이 업체는 폐기물 처리 과정의 중간단계에 있는 업체로 폐기물 수집·운반 또는 배출업체로부터 처리비를 받고 폐기물을 넘겨받으면 허가보관량 이내로 보관했다가 일부 자체 처리하거나 최종 처리업체에 처리비를 주고 넘겨야 하는데 그러지 않고 폐기물과 15억원가량의 처리비만 받아 챙긴 것으로 파악됐다.ㄱ씨는 이처럼 폐기물을 불법 보관하던 동안 행정처분 등 불이익을 받지 않고자 해당 지자체의 관련 업무를 담당하는 공무원 ㄴ씨에게 1200만원 상당의 금품과 향응을 제공하기도 했다. 경찰 조사에서 ㄱ씨는 혐의를 대체로 인정했지만, 공무원 ㄴ씨는 “돈을 받지 않았다”며 부인한 것으로 전해졌다.최인진 기자"
2,"경기도 평택시에 위치한 폐기물 처리업체.(사진=경기남부경찰청 제공)허가받은 보관량의 수십배에 달하는 폐기물을 받아 무단으로 적치한 폐기물 처리 업자와 이를 알고도 눈감아준 공무원 등이 경찰에 적발됐다.경기남부지방경찰청 지능범죄수사대는 폐기물관리법 위반, 뇌물수수 등 혐의로 평택시의 한 폐기물처리업체 대표 A씨와 직원, 평택시 소속 공무원 B씨 등 20명을 불구속 입건해 기소의견으로 검찰에 송치했다고 29일 밝혔다.A씨 등은 2018년 6월부터 지난해 2월까지 허가받은 폐기물 보관량인 560ｔ보다 40배 많은 2만3천ｔ의 목재를 비롯한 각종 폐기물을 자신이 운영하는 폐기물처리업체의 2만3천㎡ 규모 야적장에 쌓아둔 혐의를 받고 있다.2018년 4월 문을 연 해당 폐기물처리업체는 같은 해 7월 허가보관량의 10배인 5천600ｔ의 폐기물을 쌓아뒀다가 적발돼 지자체로부터 2달간 영업정지 처분을 받고도 계속 영업을 이어가며 폐기물을 받아 쌓아둔 것으로 조사됐다.이 업체는 폐기물 처리 과정의 중간단계에 있는 업체로 폐기물 수집·운반 또는 배출업체로부터 폐기물을 넘겨받고 15억원을 챙긴 것으로 파악됐다.B씨는 이를 알고도 묵인하는 대가로 A씨로부터 1천200만원 상당의 금품과 향응을 제공받은 혐의다.경찰 관계자는 ""폐기물처리업체와 공무원이 유착된 비리 사건으로 이러한 환경비리, 지역 토착비리에 대해 적극적으로 수사할 방침""이라고 말했다."
3,"허가받은 보관량의 40배가 넘는 폐기물을 쌓아두고 처리는 하지 않은 채 수십억대의 폐기비용만 받아 챙긴 업체 관계자와 뒷돈을 받고 이를 눈감아준 공무원 등 20명이 경찰에 적발됐습니다.경기남부지방경찰청 지능범죄수사대는 경기도의 한 폐기물처리업체 대표 A씨와 직원, 해당 지방자치단체 공무원 B씨 등 20명을 불구속 입건해 기소의견으로 사건을 검찰에 넘겼습니다.A 씨 등은 2018년 6월부터 지난해 2월까지 2만3천톤의 폐기물을 자신이 운영하는 폐기물처리업체의 야적장에 쌓아둔 혐의를 받고 있습니다.이는 허가받은 폐기물 보관량 560톤의 40배가 넘는 양입니다.또 A씨 등은 폐기물을 처리해야 하지만 비용만 15억원을 챙기고 아무런 조처를 하지 않았던 것으로 조사됐습니다.한편, A 씨는 불법행위를 저지르며 행정처분 등을 피하기 위해 해당 지자체의 관련 업무를 담당하는 5급공무원 B 씨에게 1천200만원 상당의 금품과 향응을 제공한 것으로 드러났습니다.이재욱 기자 "
4,김용덕 기자 
5,"영업정지 기간 중에도 수만톤의 불법 폐기물을 쌓아둔 업체와 뇌물을 받고 이를 묵인한 공무원 등이 경찰에 무더기로 붙잡혔다.경기남부지방경찰청 지능범죄수사대는 폐기물관리법위반, 뇌물수수 등 혐의로 폐기물종합처리업체 대표 A씨(50대)와 공무원 B씨(50대) 등 20명을 불구속 기소의견으로 송치했다고 29일 밝혔다. 경찰에 따르면 지난 2018년 4월부터 경기 평택지역에서 폐기물종합처리업체를 운영한 A씨는 같은 해 7~8월 지자체의 영업정지 처분을 받았음에도 수거된 폐기물을 불법 적재하고 이를 처리하는 비용 15억원을 챙긴 혐의다.그는 영업정지 기간 동안 행정처분을 받지 않기 위해 관련 업무를 담당하는 평택시 공무원 B씨에게 1200만원 상당의 금품을 제공한 혐의도 받고 있다. A씨는 해당 폐기물업체를 설립하는 과정에서 8억여원을 끌어들였으나 두 달간 영업정지를 당해 투자자금을 회수하지 못하자 이같은 범행을 저지른 것으로 파악됐다.해당 폐기물업체가 허용되는 폐기물 적재량 560t보다 40배 많은 2만3000t까지 보관한다는 정보를 입수한 경찰은 지난해 3월 수사에 착수했다.A씨는 ""잘 아는 공무원이 있는데 부탁을 하면 영업정지를 풀게끔 도와주겠다""는 지역 언론인의 소개로 B씨를 알게 된 것으로 조사됐다.B씨는 A씨에게 수천만원 상당의 금품을 받고 A씨의 불법행위를 묵인한 것으로 알려졌다.경찰 관계자는 ""공무원이 개입돼 있는 기업형 환경범죄를 막기 위해 무관용 원칙으로 단호하고 적극적인 수사를 진행할 것""이라고 말했다.한편 해당 언론인은 이미 타지역에서 발생한 다른 사건과 연루돼 이미 구속상태인 것으로 전해졌다"
6,"경기 평택지역에서 영업정지 기간 중 수만 t의 폐기물을 불법으로 처리한 폐기물업체 대표와 이를 알고도 묵인해 준 공무원이 경찰에 붙잡혔다.경기남부지방경찰청 지능수사대는 A 폐기물 처리업체 대표 B씨와 폐기물수집·운반업체, 언론인 등 18명을 폐기물 무단 반입·적치한 혐의로 불구속 기소 의견으로 검찰에 송치했다고 29일 밝혔다.또 이를 알고도 금품과 향응을 제공받고 묵인해 준 공무원 2명도 뇌물수수 및 직무유기 혐의로 불구속 기소됐다.경찰에 따르면 폐기물 업체 대표 B씨는 영업정지 기간인 지난 2018년 6월부터 2019년 2월까지 8개월간 2만3000t의 폐기물을 불법 반입·적치한 혐의다.이는 A업체가 허가받은 보관량보다 40배 넘는 양이다.B씨는 대가로 폐기물 수집·운반업체로부터 폐기물 처리비용으로 15억2000만 원을 받았다.앞서, 지난 2018년 4월 폐기물 처리업체로 허가를 받고 영업을 시작한 A업체는 당초 허가 받은 보관량보다 많은 양의 폐기물을 적치한 사실이 적발돼 2개월의 영업정지를 받은 상태였다.  이 과정에서 지역 언론인은 이를 관리·감독해야 할 관할 지자체 공무원 2명을 A업체에 소개했고, 문제의 공무원들은 해당 업체로부터 500만 원 상당의 금품과 향응을 제공받고 불법 행위를 묵인했다.경찰 관계자는 “A업체는 영업허가를 받은 직후부터 불법 행위가 적발됐던 업체”라며 “공무원이 개입돼 있는 기업형 환경범죄를 막기 위해 무관용 원칙으로 단호하고 적극적인 수사를 진행할 예정”이라고 말했다.☞공감언론 뉴시스"
7,"전문가 의견도 못 모은 재검토위일반인 대상 공론화 '예고된 난항'정부 차질없이 절차 진행한다지만8월 착공 예정 맥스터 증설 빨간불""월성 2~4호기 중단 땐 TK 전력 22% 빠질 판""경주 월성 원자력발전소 내에 설치된 사용후핵연료 건식 임시저장시설인 맥스터. /사진제공=한수원[서울경제] 핵폐기물 처리 방향에 대한 공론화 기구가 최근 ‘위원장 사퇴’라는 돌발변수와 맞닥뜨리며 정부의 관련 정책 마련 역시 사실상 ‘올스톱’될 위기에 처했다. 당장 여론 수렴이라는 산도 넘지 못하는 마당에 핵폐기물 처리 방안이라는 국가적 과제 해결까지 난항이 불 보듯 뻔하기 때문이다. 겉도는 공론화는 불과 2년도 채 되지 않는 시점에 월성 원자력발전소가 핵폐기물 포화에 의해 가동을 멈춰야 하는 초유의 사태를 불러올 가능성을 높였다. 정부가 공론화라는 과정에 숨지 말고 결단을 내려야 한다는 지적이 나오는 이유다. 전문가도 의견 못 모아...예고된 난항정정화 전 사용후핵연료 관리정책 재검토위원장이 지난 26일 전격 사퇴 의사를 밝히며 내놓은 ‘사퇴의 변’은 “지역주민과 탈핵 시민단체 등이 참석하지 않은 ‘반쪽 공론화’여서 차후 공정성 시비가 불가피하다”는 것이었다. 정 전 위원장 사퇴 이후 주무부처인 산업통상자원부는 26일과 29일 두 차례에 걸쳐 해명자료를 내고 ‘공론화 참여를 거부한 것은 탈핵 시민사회계’라고 거듭 반박했다. 또 당장 다음달 1일 호선을 통해 재검토위원장을 즉각 재선출하고 다음달 중 종합토론회를 개최하는 등 공론화 및 의견 수렴을 차질 없이 진행할 것이라고 강조하기도 했다. 지난해 5월 변호사·대학교수 등 15명으로 출범한 재검토위는 정 전 위원장을 포함해 현재까지 4명이 사퇴하면서 11명이 남은 상황이다. 그러나 이 같은 난항은 사실상 예고된 것이었다는 비판이 크다. 재검토위는 3월 사용후핵연료 관리 방안 등에 대한 전문가 검토그룹 논의 결과를 발표했다. 일반 시민을 대상으로 한 공론화에 사용할 ‘가이드북’에 해당하는 자료다. 그러나 이 논의 결과에도 ‘사용후핵연료의 영구처분이 필요하다’는 원론적인 합의만 담겼을 뿐이다. 오히려 맥스터 추가 건설, ‘지하심층처분기술’의 안정성 등 사용후핵연료 처리 방식 등 구체적인 각론에 대해서는 이견만 확인했다는 지적이 나왔다. 당시 한 재검토위 위원은 오히려 ‘맥스터 설치 및 방식은 공론화 사항이 아니라 기술적인 선택의 문제’라는 의견을 내기도 했다. 공론화의 한계를 스스로 시인한 셈이다. 월성 원전 스톱 땐 TK 전력 22% 생산 차질 공론화가 겉돌며 당장 빨간불이 켜진 현안은 월성 원전 2~4호기의 임시저장시설(맥스터) 증설 문제다. 한국수력원자력에 따르면 맥스터가 지난해 말 이미 포화율이 94%를 넘긴 만큼 추가 7기를 당장 오는 8월부터는 짓기 시작해야 한다. 맥스터 건설 기간이 보수적으로 잡아도 19개월이기 때문이다. 만일 재검토위 공론화가 다시 쳇바퀴를 돌 경우 월성 2~4호기는 가동을 중단해야 한다. 지난해 기준 월성 2~4호기의 발전량은 130억6,000만kwh로, 이는 같은 기간 대구·경북 전력소비량인 595억kwh의 22%에 해당한다. 우리나라의 고질적 문제로 꼽히는 핵폐기물 중간저장시설·영구처리시설에 대한 논의도 제자리걸음일 수밖에 없다. 원전 업계의 한 관계자는 “현재 결정해야 할 쟁점은 영구처분시설과 중간저장시설을 한곳에 몰아서 지을지, 분산할지, 나아가 어떤 방식으로 부지를 선정할지 등 여러 가지”라고 말했다. /세종=조양준기자"
8,"올해 하반기부터 세종시, 부산시 기장군, 대구시 달성군 등 38개 지역의 자동차를 대상으로 배출가스 정밀검사 확대 시행한다. 또 폐기물을 불법으로 수출입을 하다 적발되면 처리이익의 최대 3배에 해당하는 금액과 원상처리 비용을 과징금으로 부과하게 된다.기획재정부는 올해 하반기부터 달라지는 제도와 법규사항을 정리한 '2020년 하반기부터 이렇게 달라집니다'를 29일 발간했다.먼저 환경·기상 부문을 보면 자동차 배출가스 정밀검사 지역에 충청북도 충주시, 전라북도 군산시 등이 추가된다. 부산시·대구시·여수시·순천시·광양시는 일부 지역에서 전 지역으로 확대된다. 이외 자동차의 소유자는 내달 3일 이후 각 시·도의 조례로 정하는 바에 따라 운행차 배출가스 정밀검사를 받아야 한다.정부나 지자체는 생태·경관보전 지역, 자연공원 등에서 생태계 서비스 보전·증진 활동을 한 개인 등에게 정당한 보상을 할 수 있게 된다. 이번 생태계서비스지불제계약 도입으로 다양한 생태계 보전·증진 활동에 대한 보상을 받을 수 있게 됐다. 이에 환경부는 민간 참여가 촉진돼 생태계 서비스 보전·증진이 보다 더 활성화 될 수 있을 것으로 기대하고 있다.또 폐기물 불법수출입 행위에 대한 처벌 규정도 강화된다. 폐기물을 불법으로 수출하면 처리이익의 최대 3배에 해당하는 금액과 원상처리 비용을 과징금으로 부과해야 한다. 취득한 이익이 없거나 이익을 산정하기 어려운 때에는 10억원 이하의 과징금이 부과된다.국민이 체감할 수 있는 상세한 예보 제공을 위해 예·특보 체계도 개편된다. 초단기 예보는 60분→10분 가격, 단기예보는 3시간→1시간 간격으로 서비스를 제공한다. 아울러 기온과 습도를 반영한 체감온도를 도입하고, 서울시 특보 구역을 서북권·동북권·서남권·동남권 4개 권역으로 구분해 운영한다. 실시간 기상 알림 서비스인 '날씨알리미'도 운영한다. 집중호우, 태풍, 대설 등 중요 기상특보를 자신의 위치 기반으로 확인할 수 있다. 사용자 설정에 따라 원하는 지역, 수신 시간에 최신 날씨 정보를 알림 메시지로 제공한다.국토·교통 부문을 보면 '드론 원스탑 민원서비스'가 제공될 예정이다. 이에 드론 비행 승인, 특별 비행 승인, 항공 촬영 허가, 사업 등록, 장치 신고 등을 한곳에서 신청할 수 있게 된다. 당초에는 드론 운용자가 비행 승인, 사업 등록 등의 허가를 받기 위해 관할 기관에 각각 신청해야 하는 불편함이 있었다. 앞으로는 PC·모바일을 통한 민원 신청 서비스를 제공해 누구나 간편하게 하나의 창구를 통해 민원을 신청할 수 있다. 등록 민간임대주택의 부기등기 도입도 시행한다. 12월말부터 민간임대주택의 임대 사업자는 소유권 등기에 해당 민간임대주택이 임대 의무 기간과 임대료 증액 기준 등을 준수해야 하는 재산이라는 사실 등을 부기등기해야 한다.장세희 기자"
9,"전북 익산시와 한 익산시의원이 25일 음식물폐기물 처리비를 놓고 보도자료로 법적조치 공방을 벌였다.익산시는 이날 보도자료를 내어 ""익산시는 음식물폐기물 처리비 산정과 관련해 규정과 절차에 따라 적법하게 처리했으며, 임형택 시의원이 제기한 의혹은 일방적이고 개인적인 추측에 불과하다""고 밝혔다.임형택 의원이 행정사무감사와 시정질문 등을 통해 집행부의 음식물폐기물 처리비 과다지급 의혹을 제기한 데 대해 반박을 한 것이다.익산시는 ""임 의원이 '원가산정방식을 이상하게 바꿔 재료비를 이전보다 2배 이상 지급했다'고 주장했는데, 실제로 재료비를 2배 이상 지급한 사실이 없다""고 밝혔다. 음식물폐기물 처리비는 월간 처리물량에 톤당 계약단가를 적용해 총액으로 지급하기 때문에 재료비를 별도로 지급할 일이 없다는 것이다.그러면서 ""원가는 재료비 등 12개 항목으로 구성되는데, 2016년 원가는 2014년 대비 재료비가 2억4800만원 올라간 대신에 전력비, 폐기물처리비 등 제 경비에서 4억5500원이 줄어들었다""고 강조했다.이어 ""'익산시가 해당업체에 매년 3억8000만원씩 2년간 7억6000만원을 더 지급했다'는 임 의원의 주장은 명백한 허위사실""이라며 ""상대방의 신분이 시의원인 점을 감안해 그동안 대응을 최대한 자제해 왔으나, 악의적이고 반복적인 허위사실 유포행위가 도를 넘었다고 판단해 법적조치를 고민하고 있다""고 밝혔다.임형택 익산시의원이 시의회 본회의장에서 발언을 하고 있다. /뉴스1이에 임 의원은 보도자료로 ""익산시의원으로서 정상적인 의정활동 차원에서 문제제기를 하고 있음에도 불구하고 문제제기를 할 때마다 법적조치 운운하는 것은 매우 유감스러운 일""이라고 밝혔다.그는 ""원가항목 가운데 이전보다 2배 이상 증액된 재료비 산출방법은 환경부 지침에서도 근거를 찾아볼 수 없는 이상한 계산방법임에도 불구하고 전혀 검토하지 않고 그대로 유지했다는 점은 매우 의문""이라고 거듭 의혹을 제기했다.임 의원은 ""익산시가 2019년 7월17일 '허위사실을 적시해 피해자들(익산시, 익산시장, 공무원)의 명예를 훼손했다'면서 전주지검 군산지청에 본 의원과 언론사 기자를 수사의뢰했지만, 본 의원과 기자는 2020년 1월21일 '혐의없음' 처분을 받았다""고 밝혔다.이어 ""음식물쓰레기 처리 관련 문제점에 대해 감사원 공익감사를 청구한 상태""라며 ""서면조사가 진행 중이기 때문에 감사 결과를 보면 시시비비가 가려질 것""이라고 했다.그는 ""아무쪼록 정헌율 시장께서는 의회를 바라보고 대하는 관점에 문제는 없는지 돌아보는 계기로 삼아주시기 바라며, 어려운 익산의 현실에서 지역의 역량을 하나로 모아나가는 통큰 정치와 포용과 협력의 리더십을 보여주시기 바란다""고 말했다"
