,contents
0,7월 1일~8월 31일 복지 위기가구 집중 발굴기간 지정[홍춘봉 기자(=동해)
1,"최근 러시아 시베리아에서 이상고온현상이 지속하면서 지난 주 산불까지 다섯배 늘어났다.    영국 일간 인디펜던트는 28일(현지시간) 러시아 연방항공산림보호청 통계에 따르면 소방관이 출동할 수 없는 지역에서 115만 헥타르가 불타고 있다고 보도했다.    남한 면적(약 1천3만4천 헥타르)의 약 10분의 1에 해당하는 규모이다.    가장 큰 산불 피해를 본 지역은 베르호얀스크가 있는 러시아 극동 사하(야쿠티아)공화국으로, 92만9천헥타르가 불타고 있다. 베르호얀스크는 지난 20일 역대 최고 기온인 섭씨 38도를 기록한 지역이다.    유럽연합(EU) 산하 코페르니쿠스기후변화서비스(C3S)도 지난 25일 최근 몇 년 사이 가장 북단으로 추정되는 북위 72.7도에 위치한 지역에서 발생한 산불을 포착하기도 했다.    이처럼 시베리아에서 최근 증가하고 있는 산불은 기후변화에 따른 이상고온과 관련이 있다는 지적이 나오고 있다.    조너선 오버펙 미시간대 환경학 교수는 ""(북극은) 비유적으로나 문자 그대로 불타고 있다""며 ""예상보다 훨씬 빠른 온난화로 빙산이 녹고 산불이 늘어나고 있다""고 말했다.지난 19일(현지시간) 이상고온현상으로 붉게 물든 시베리아[AP=연합뉴스 자료사진]    C3S가 찍은 사진을 보면 시베리아는 치솟은 기온으로 온통 붉게 물들었다. C3S에 따르면 지난 5월은 전세계으로 가장 더운 5월로 기록됐는데, 특히 시베리아의 기온은 평년보다 10도 정도 높았다.    미국항공우주국(NASA) 고더드우주연구소(GISS)도 ""이번 현상은 지난 100년 동안 볼 수 없을 정도로 이례적""이라며 ""고온 기록을 경신할 가능성도 점점 커지고 있다""고 말했다.     NASA의 방문연구원인 앰버 소야는 ""올해 (시베리아의) 더위와 산불은 우리가 수년간 이들 숲에서 목격한 기후변화 신호의 증거를 더해줄 뿐""이라면서 ""그것은 먼 미래가 아니다""고 말했다.   "
2,"폭염은 매우 심한 더위를 뜻하죠. 열사병 등 열질환까지 유발하는 만큼 위험하기까지 합니다. 영어로 폭염은 'heatwave'입니다. 해외에선 어떻게 표현하는지 뉴스래빗 홈페이지에서 오디오 클립을 들어보세요. ▽▽PLAY▽▽ 오디오래빗 기상청은 높은 기온이 여러 날 지속되면 온도에 따라 폭염주의보와 폭염경보를 내립니다. 한낮 최고기온이 섭씨 33도 이상인 날이 2일 이상 지속될 것으로 예상되면 폭염주의보를 내리고, 섭씨35도 이상이라면 폭염경보를 발령하죠. 기상청은 올여름 폭염일 수가 예년보다 늘어날 것으로 예상했습니다. 평년 평균 폭염일수는 9.8일이었지만 올해는 20~25일에 달할 것이라고 전망했죠. 평균 기온도 평년보다 0.5~1.5도 높아 무더운 날씨가 지속될 것으로 보입니다. 해외 기상청은 올해가 역대 가장 더운 해가 될 것이라고 발표했는데요. 미국 국립해양대기청은 올여름이 기상 관측이래 가장 더울 것이라고 예측했습니다. 올해는 특히 온열질환을 더 조심해야 하는데요. 마스크 때문입니다. 신종 코로나바이러스 감염증(코로나19) 확산 때문에 마스크 착용이 일상이 됐죠. 본격적으로 여름이 시작되면서 인터넷 커뮤니티 등엔 ""마스크 언제까지 착용해야하냐"", ""숨쉬기 답답하다""는 반응이 이이졌죠. 방역당국은 코로나19 예방을 위해 마스크 착용이 중요하지만 폭염으로 인한 온열질환 우려가 커지면서 일부 상황에서 마스크를 착용하지 않아도 된다고 밝혔는데요. 실내가 아닌 실외 기준으로 충분한 거리 유지가 가능해야 한다는 조건을 달았습니다.지난 22일 정은경 중앙방역대책본부장은 ""코로나19 예방을 위해 마스크 착용이 중요하지만 무더운 실외에서의 마스크 착용은 심박수, 호흡수, 체감온도가 상승해 신체에 부담을 줄 수 있다""고 말했습니다. ""2m이상 거리두기가 가능하다면 마스크를 착용하지 않을 것을 권장한다""고 밝혔습니다.방역당국의 권고에 마스크를 쓰지 않은 사람이 늘어 날 수 있다는 우려의 목소리도 이어지고 있습니다. #오디오래빗 ? 뉴스래빗 산하 오디오랩 콘텐츠입니다. 정보형, 공감형, 힐링형, 브리핑형 등 주제와 독자의 상황에 맞는 소리 지향 콘텐츠를 연구개발(R&D)합니다. 뉴스래빗이 자체적으로 커스터마이징한 오디오 플레이어를 통해 뉴스래빗 모바일웹 및 PC웹에서 편하게 듣고, 손쉽게 저장하고, 공유할 수 있습니다 !.! 책임= 김민성, 연구= 신용현 한경닷컴 기자"
3," 코로나19의 장기화로 면역력에 대한 관심이 계속해서 높아진데다 역대급 폭염이 예고되면서 피로회복과 면역력을 동시에 보강해주는 정관장 홍삼 달임액이 인기다. 29일 KGC 인삼공사 관계자는 “이른 더위 속 건강에 대한 관심이 높아지고 있는 가운데 면역력 증진에 도움을 줄 수 있는 홍삼 제품에 대한 문의가 늘고 있다”며 “엄선된 원료 선정부터 철저한 품질관리를 거치는 정관장 홍삼제품이 소비자 건강관리에 도움 되길 바란다”고 밝혔다.정관장 홍삼 달임액은 홍삼 시장에서 1위를 달리고 있는 인삼공사 ‘정관장’의 대표제품이다. 홍삼과 물 이외에는 아무것도 첨가하지 않은 것이 특징이다. 인삼공사 관계자는 “최소 20년 이상 근무한 홍삼 명장들이 까다롭게 선별한 홍삼을 최적 온도와 공정으로 정성껏 달여 홍삼 본연의 풍미를 제대로 느낄 수 있는 것이 정관장 홍삼 달임액”이라고 밝혔다. 정관장 홍삼 달임액은 더운 날씨에 냉장고에서 꺼내 시원하게도 섭취가 가능하다. 1회 복용량에 맞춘 개별 파우치 포장으로 휴대가 간편하다보니 언제 어디서나 쉽게 복용할 수 있다. 성인기준 1일 1~3회, 1회당 1포를 섭취하면 된다.정관장 관계자는 “홍삼은 피로회복, 면역력 개선, 혈행 개선, 기억력 개선, 항산화 효과 등 식약처로부터 공식적으로 기능성을 인정받았다”며 “건강은 꾸준한 관리가 필요하기 때문에 올 여름 무더위 극복을 위해 정관장 홍삼을 추천한다”고 강조했다./박형윤기자"
4,"행인들 지나치는 가운데 그늘로 옮긴 뒤 119 신고울산시의회 한 의원이 폭염에 쓰러진 70대 노인에게 응급조치를 한 뒤 119구급대에 인계한 사실이 뒤늦게 알려졌다.김성록 울산시의원은 지난 25일 오후 1시15분께 울산시청 광장에서 쓰러진 70대 노인을 발견했다. 많은 사람들이 주저주저하면서 노인을 지나치는 가운데 김 의원은 서둘러 쓰러진 노인에 다가가 노인을 부축해 광장 주변 그늘 아래로 옮겼다. 이 과정에 김경백 울산시 도시계획과 주무관도 김 의원을 도왔다.당시 노인에게서는 술 냄새가 잔뜩 났다. 김 의원은 섭씨 30도에 육박하는 무더위에 노인이 술을 먹고 갑자기 쓰러진 것으로 보고 몸 상태를 살폈다. 다행히 눈동자는 정상이었고, 심폐소생술이 필요한 상황은 아니라고 판단한 뒤 119에 전화를 했다. 10분도 안돼 도착한 119 구급대는 노인을 안정시킨 다음 귀가시켰다.김 의원은 ""쓰러진 노인에게 문제가 없어 다행이다. 쓰러진 사람을 도와주는 것은 당연한 일""이라며 취재를 사양했다. [울산 = 서대현 기자]"
5,"올해 여름엔 유례없는 더위가 예상되는 가운데 한국철도(코레일)가 1월부터 준비한 폭염종합대책을 본격 가동한다.  29일 코레일에 따르면 지난달 20일부터 폭염대책본부를 본격 운영하고 있다. 코레일 폭염대책본부는 더위는 물론 장마, 태풍 등에 대비해 24시간 비상대응체제를 유지하고 있는 종합 통제 센터다. 차량, 전기, 시설 등 철도 전 분야의 전문가로 구성된 대책본부는 여름철 기상이변 속에서도 안정적인 열차 운행을 지원한다. 코레일 관계자는 ""엄동설한인 지난 1월부터 전년의 애로사항을 분석해 폭염 대비 32개 집중과제를 선정했고 이를 차근차근 준비했다""고 설명했다. 특히 올여름 폭염대책의 핵심은 운행안전 확보와 함께 국민불편 최소화에 맞춰졌다. 대표적인 해결과제는 폭염 속 고속열차 선로 관리다. 여름볕 아래 선로 온도가 55도 이상 올라가면 선로가 휘어질 가능성이 있다. 그만큼 열차사고의 우려가 커진다. 이 경우 열차 서행이 필수적이다. 실제 111년 만에 최악의 폭염이 찾아왔던 지난 2018년엔 선도 온도 상승으로 고속열차가 132차례나 서행해야 했다. 약속시간을 놓친 승객의 불편도 커질 수밖에 없다. 올해엔 고속열차 선로 온도를 선제적으로 관리한다는 방침이다. 우선 기존 32곳에서 운영했던 자동살수장치를 올해는 87곳으로 확대 설치했다. 선로 온도가 48도 이상이면 자동으로 물이 뿌려져, 온도를 10도가량 낮출 수 있다. 주요 선로 120곳에 온도감지 시스템도 운영한다. 선로 온도를 실시간으로 모니터링하고 온도가 상승한 구간을 정확하게 알 수 있어서 열차 서행 운전 구간을 최소화 할 수 있다. 앞서 지난 5월 말까지 온도가 자주 상승하는 선로 414.4㎞에 차열성 페인트를 발랐다. 차열성 페인트는 외부열기를 차단해 레일 온도 상승을 4~5도 더 낮출 수 있다. 열차 승객을 위한 쾌적한 환경 조성은 최우선 순위다. 이미 전국 역 맞이방과 승강장 등에 무더위쉼터 227곳을 조성했다. 열차 승강장에는 고객 대기실을 설치해 적정 실내온도를 준수할 수 있도록 냉방을 가동하고, 역 맞이방 실내온도는 26~28도를 유지한다. 일반 시민도 들러서 더위를 피할 수 있도록 개방한다. 코로나19로 마스크 착용이 필수인 열차 객실의 에어컨 유지도 필수다. 에어컨이 유지되지 않으면 찜통더위를 마스크를 낀 채 견뎌야하기 때문이다. 코레일은 사전에 냉방설비를 전수 조사해 노후차량 에어컨 240개를 교체했다. KTX 유리창엔 모두 열차단 필름을 부착해 1도라도 낮은 온도를 유지하도록 했다. 객실 에어컨이 고장 날 경우도 대비했다. 서울, 부산, 광주송정역 등 주요역사 내 응급조치반을 운영하고 전국 70개 역에 생수와 물수건, 얼음팩을 상비했다. 이렇게 마련한 비상용품만 15만개에 달한다. 손병석 코레일 사장은 “폭염 재난으로 인한 국민 불편이 발생하지 않도록 빈틈없는 준비에 최선을 다하겠다”며 “다만 너무나 심한 더위로 열차가 서행해야만 한다면 불편하더라도 안전을 위한 불가피한 조치인 만큼 양해를 부탁드린다”고 당부했다"
6,"파세코 창문형 에어컨2/사진제공=파세코올 여름 '역대급 폭염'이 예고된 가운데 에어컨 판매가 늘어나면서 특히 이동식 에어컨과 창문형 에어컨의 최근 판매 호조가 눈에 띈다.신종 코로나바이러스 감염증(코로나19) 여파로 가정에 머무는 시간이 많아지는 가운데 '가성비(가격 대비 성능)'가 확실한 두 제품에 소형 가구와 20~30대 소비자 중심으로 관심이 커지고 있다.'보조 냉방가전'으로 자리매김하며 뚜렷한 성장세를 보인 덕분에 가전업체들 대응도 빨라지고 있다. 올해 들어 다양한 신제품이 출시되면서 소비자는 자신이 필요한 공간에 적합한 제품을 비교·분석해 구입하는 것이 중요해졌다.28일 가전업계에 따르면 최근 이동식·창문형 에어컨 판매량이 크게 늘었다. 옥션 등을 운영하는 이베이코리아가 이달 1~16일 카테고리별 판매량을 조사한 결과에 따르면 이동식 에어컨 판매량은 전년 동기 대비 398%, 창문형 에어컨도 286% 급증했다.이동식·창문형 에어컨의 최대 강점은 따로 실외기를 설치할 필요가 없어 좁은 공간에서 효율적으로 활용할 수 있다는 점. 창문만 있다면 전문 설치 기사를 부를 필요 없이 소비자 혼자 설치 가능한 장점이 있다. 냉방 면적이 5~8평 내외지만 원룸 등 작은 공간을 커버하기엔 충분하다.LG 이동식 에어컨/사진제공=LG전자이동식 에어컨은 바퀴가 달려 장소를 옮겨가며 사용할 수 있는 에어컨이다. 방이 여러 개 있는 가정집과 사무실 등에서 스탠드 형 에어컨 외에 보조 냉방가전으로 활용하기에 적격이란 평을 받는다.창문형 에어컨과 비교하면 이동식 에어컨은 이동이 자유롭다는 장점을 갖는다. 다만 이동식 에어컨은 본체와 연결된 배기호스를 판넬을 끼운 창문에 고정시켜 사용해야 한다. 냉매를 통해 시원한 바람을 내는 만큼 뜨거운 바람을 외부로 배출해야 해서다. 이동은 가능하지만 매번 장소를 옮기긴 부담스럽다는 얘기다.반면 창문형 에어컨은 창틀에 올려 마감재로 창문을 막는 방식으로 설치해 공간 활용도를 끌어올렸다. 제품이 창문에 설치돼 별도 공간을 차지하지 않는다는 점에서 수요가 있다.이동식 에어컨과 마찬가지로 창문형 에어컨은 스탠드형 냉기가 잘 닿지 않는 방과 오피스텔 등 베란다가 없는 좁은 공간을 냉방하기에 적합한 제품으로 최근 각광받고 있다. 냉방 방식은 본체를 창문에 고정해 사용하며 분체 후면부로 더운 바람이 배출하는 방식을 사용한다. 두 제품은 편리한 설치와 효율적 공간 활용에 힘입어 보조 냉방가전으로서 인기를 끌고 있지만, 사용시 '전기세 폭탄'을 맞을 우려도 있다. 이동식 에어컨은 에너지소비효율 인증 대상기기에 포함되지 않아 어느 정도 전기세가 나올지 정확히 예측하기 어렵다.창문형 에어컨의 경우 소비자가 구매하는 B2C(기업과 소비자간 거래) 제품은 몇몇 신제품을 제외하곤 대부분 에너지소비효율이 최저등급인 4~5등급에 그친다.두 제품 모두 가동 시 스탠드 에어컨에 비해 소음이 확연히 크다는 점도 주의해야 한다. 에어컨 실외기가 따로 없이 제품 내부에 탑재된 탓이다. 생활소음이 발생하는 낮에는 크게 거슬리지 않은 수준이나 조용한 곳에서 사용하거나 소음에 예민한 소비자에게는 불편할 수 있다.이에 대해 한 업계 관계자는 ""보조 냉방가전은 십수년 전부터 나온 제품이지만 각광받기 시작한 건 최근이다. 제조사들이 그간 지적 받았던 소음 등 문제를 줄이기 위해 신제품에 다양한 기능들을 추가하고 있다""고 말했다.배성수 한경닷컴 기자"
7," ""더우면 양산 쓰세요. 양산 무료로 빌려드려요""폭염도시 대구에 전국 최초로 '양산 무료 대여소'가 등장했다. 본격적인 무더위가 시작되면서 폭염을 이기기 위해 남녀노소 모두가 참여하는 양산 쓰기를 일상화하기 위해서다. 양산 대여소는 대구지역 주요 관광지에 설치됐다. 동성로(대구백화점)와 김광석길(관광안내소), 두류공원(2.28기념탑 관광정보센터), 이상화고택(관광안내소), 3.1운동계단(관광안내소), 달성공원(출입문앞) 등 7곳에 마련됐다. 또 도시철도 3호선 역사 3곳(청라언덕역 수성구민운동장역 매천시장역)과 구군 주민센터 등에서도 양산 대여를 할 수 있다. 양산은 대여소에 비치된 관리대장에 성별, 연령을 작성 후 이용하면 된다. 반납은 대여소가 설치된 곳이면 어디든 가능하다. 양산을 쓰면 체감온도는 약 10도 정도 낮춰주고 자외선차단, 피부암 및 피부질환예방, 탈모방지에 효과가 있는 것으로 알려져 있다. 또 코로나19 예방을 위한 거리두기도 자연스럽게 실천할 수 있다. 햇볕을 가리는 양산은 18세기에 발명된 우산에서 유래됐다. 우산을 처음 발명한 영국의 조나스 핸웨이는 비가 오는 날 뿐 아니라 비가 오지 않는 날에도 우산을 항상 썼다. 하지만 당시 우산은 나약한 사람들만 쓰는 것으로 간주됐고 귀족 여성들만의 전유물로 취급됐다. 이런 편견과 멸시에도 불구하고 조나스 핸웨이는 평생 우산을 쓰고 다녔고 이후 그 편리성과 필요성이 알려지면서 지금은 성별을 가리지 않고 남녀 모두 사용하게 됐다. 이처럼 우산은 대중화 됐지만 햇볕을 가리는 양산은 지금도 남성에게는 대중화되지 못했다. 남성과 젊은층에서 양산을 쓰지 않는 이유는 거추장스러을 뿐만 아니라 주변시선과 체면, 여성들만 쓰는 제품이라는 편견 때문이다. 이런 편견을 극복하기 위해 지역 양산업체들도 남성과 젊은층의 의견을 반영해 양산 쓰기 대중화를 위한 신규 디자인을 개발 중이다.대구시는 관계자는 ""양산쓰기는 자연스러운 거리두기 실천이 가능해 코로나19와 폭염 극복을 위한 최고의 대안""이라며 ""남녀 구분없이 양산쓰기 일상화가 정착 되길 바란다""다고 말했다.[대구 = 우성덕 기자]"
8,28일 오후 경북 포항시 남구 해도동 형산강에서 플라잉 보드 묘기가 펼쳐지고 있다. 2020.6.28/뉴스1choi119@news1.kr
9,"밤사이 강원 영서 북부에 100㎜ 가까운 폭우가 내린 가운데 28일 내륙은 낮 최고기온이 31도까지 오르는 무더위가 이어지겠다.     강원지방기상청에 따르면 전날부터 이날 오전 7시 현재까지 내린 비의 양은 철원 양지 97㎜, 철원 외촌 85㎜, 인제 신남 23㎜, 홍천 내면 19.5㎜, 춘천 신북 10.3㎜ 등이다.    이날 오후부터 밤사이 내륙과 산지에는 천둥·번개를 동반한 소나기가 오는 곳이 있겠다.    소나기에 의한 예상 강수량은 5∼40㎜다.    낮 최고 기온은 내륙 29∼31도, 산지 23∼25도, 동해안 24∼26도로 전날보다 다소 높겠다.    기상청 관계자는 ""내륙은 낮 기온이 30도 이상 오르는 곳이 많겠고 습도가 높아 체감온도는 더 높겠다""며 ""폭염 예보를 참고해 건강관리 등에 각별히 주의해 달라""고 당부했다.   "
