,contents
0,"해남 솔라시도에 국내 최대 태양광발전소 단지 준공㈜한양이 한국남부발전, KB자산운용 및 에너지인프라자산운용 등과 전남 해남군 구성지구 솔라시도 일대 약 158만㎡에 국내 최대 규모 태양광발전소를 준공하고, 신재생 에너지 사업에 본격 진출했다.한양은 29일 해남 솔라시도 일대에 국내 최대 규모인 98㎿급 태양광 발전설비와 세계 최대 용량인 306&31216;급 에너지저장장치(ESS)를 갖춘 ‘솔라시도 태양광발전소’를 완공했다고 밝혔다. 이 발전소에서 생산되는 전력량은 연간 약 129GWh로 2만7000여 가구가 1년 동안(가구당 월 400&40176; 이용 기준) 이용할 수 있는 전력이다. 솔라시도 태양광발전소는 한양이 부지 조성에서부터 EPC(설계·조달·시공), 관리 및 운영까지 전 과정을 직접 수행한 국내 최대 규모 신재생 에너지 개발사업이다.한양은 구성지구에 개발 중인 친환경 스마트도시 ‘솔라시도’의 개발 비전을 담아 태양광발전소 단지에 ‘썬가든(Sun Garden·사진)’도 조성했다. 발전소 단지 중앙에 조성된 원형광장과 단지 전체를 가로지르는 50ｍ 폭의 십자 도로에 조성한 썬가든은 자연, 사람, 에너지가 공존하는 미래도시 솔라시도의 개발 비전을 담은 축소판이다. 이 공원 부지의 총면적은 약 15만㎡로 발전소 전체 부지의 10분의 1에 달하며 라일락, 후박나무, 야생초 등 다양한 꽃과 나무 등을 심었다. 지름 300ｍ 규모의 원형광장 중심에는 주변 경관을 조망할 수 있는 높이 5m가량의 전망언덕을 조성, 태양광발전소 단지와 함께 아름다운 경관을 보유한 관광명소로서도 주목받을 것으로 기대를 모으고 있다.한양은 썬가든을 포함한 솔라시도 태양광발전소의 준공 이후에도 선진화된 태양광발전 시설 운영 및 관리체계를 갖춰나갈 계획이다. 열화상감지 기능을 탑재한 드론을 활용해 태양광 패널 등 모듈과 ESS 장치의 이상 유무를 실시간으로 관리하고, 데이터를 분석하고 학습함으로써 발전소 운영 경험과 노하우를 확보해 기술을 선도해 나간다는 방침이다. 또 국내 최대 규모 태양광발전소 준공과 운영 경험을 기반으로 수상 태양광, 육상 풍력 등 다양한 신재생에너지 분야 사업에 도전할 계획이다.한양 관계자는 “솔라시도 태양광발전소는 한양이 에너지개발 사업에 진출한 이후 거둔 첫 성과물이자 신재생 에너지 사업으로의 확대를 위한 교두보가 될 것”이라며 “청정 에너지원인 햇빛을 자원화해 발생한 수익을 지역주민들과 공유하고 지역을 대표하는 관광명소로 활성화하는 등 기존 발전소와는 차별화한 친환경 발전소 개발에 더욱 박차를 가할 것”이라고 밝혔다.  김순환 기자[ 문화닷컴 바로가기 | 문화일보가 직접 편집한 뉴스 채널 | 모바일 웹 ][Copyrightⓒmunhwa.com '대한민국 오후를 여는 유일석간 문화일보' 무단 전재 및 재배포 금지(구독신청:02)3701-5555)]"
1,"대림에너지는 한국신용평가 신용등급이 ‘A-‘에서 ‘A’로 한단계 상향됐다고 29일 밝혔다. 앞서 한국신용평가는 2018년 4월 신용등급 ‘A-’, 등급전망 ‘안정적’이던 대림에너지 신용등급을 2019년 5월 ‘A-’, ‘긍정적’으로 등급전망을 상향한 바 있다. 이후 1년여만에 신용등급을 ‘A’등급으로 상향하고 등급전망을 ‘안정적’으로 평가했다.한국신용평가는 대림에너지 국내외 자회사의 실적 개선, 지주사로서의 우수한 재무구조 등을 고려했다. 대림에너지의 주력 자회사인 포천파워는 2014년 상업 운전 이후 국내 민자 발전시장 침체로 어려움을 겪었으나 용량 요금 인상과 운영 비용 절감 노력 등으로 2018년 당기순이익 흑자 전환에 성공했다. 지난해에는 당기순이익 277억원으로 흑자 폭이 증가했다. 또다른 자회사 포승그린파워는 바이오매스 연료를 이용한 열병합 발전소로 2018년 상업 운전을 개시한 이후 전력 판매 수익뿐만 아니라 집단에너지(지역난방)사업과 신재생에너지 공급인증서(REC) 판매 매출에 기반해 양호한 실적을 보이고 있다는 평가다.대림에너지가 보유하고 있는 호주 밀머란 화력발전소의 작년 당기순이익은 479억 원으로 2018년 240억 원에 비해 크게 개선됐다. 2016년에 투자한 방글라데시 민자발전사업도 2019년 높은 수익률로 투자금 회수를 마쳤다. 대림에너지 관계자는 “대림에너지는 대림그룹 내 발전부문 디벨로퍼로서 2013년 12월 설립된 이후 7개국, 13개 발전사업을 개발·투자하면서 가시적인 성과를 보이고 있다”면서 “현재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 도래하면 실적은 더욱 개선될 것”이라고 말했다.동아닷컴 정진수 기자 brjeans@donga.com▶ 네이버에서 [동아일보] 채널 구독하기▶ 집 볼 때 쓰는 메모장 '집보장'ⓒ 동아일보 & donga.com, 무단 전재 및 재배포 금지"
2,"자회사 및 해외 발전 프로젝트 실적 개선대림에너지는 최근 한국신용평가에서 부여한 신용등급이 ‘A-‘에서 ‘A’로 한단계 상향됐다고 29일 밝혔다.한국신용평가는 2018년 4월 신용등급 ‘A-‘, 등급전망 ‘안정적’이던 대림에너지 신용등급을 2019년 5월 ‘A-‘, ‘긍정적’으로 등급전망을 상향한 바 있다. 이후 1년여만에 신용등급을 ‘A’등급으로 상향하고 등급전망을 ‘안정적’으로 평가했다. 한국신용평가는 대림에너지 신용등급 상향 배경에 대해 ""국내외 자회사의 실적 개선과 지주사로서의 우수한 재무구조 등이 고려됐다""고 밝혔다.또한 대림에너지가 중간지주사로서 우수한 재무구조를 보유하고 있다는 점도 신용등급 상향 이유로 꼽았다. 대림에너지는 2020년 3월말 기준 부채비율과 차입금의존도가 각각 37.6%와 26.1%로서 동종 업계 대비 낮은 수준을 유지하고 있다. 대림에너지의 주력 자회사인 포천파워 및 포승그린파워의 실적과 영업현금흐름이 개선되고 잇다. 포천파워는 2014년 상업 운전 이후 국내 민자 발전시장 침체로 어려움을 겪었으나 용량 요금 인상과 운영 비용 절감 노력 등으로 2018년 당기순이익 흑자 전환에 성공했다. 2019년에는 당기순이익 277억원으로 흑자 폭이 증가했다. 포승그린파워는 바이오매스 연료를 이용한 열병합 발전소다. 2018년 상업 운전을 개시한 이후 전력 판매 수익뿐만 아니라 집단에너지(지역난방)사업과 신재생에너지 공급인증서(REC)* 판매 매출에 기반해 양호한 실적을 보이고 있다.  해외에서도 영업실적이 개선되고 있다. 대림에너지가 보유하고 있는 호주 밀머란 화력발전소의 2019년 당기순이익은 479억원으로 2018년 240억원에 비해 급증했다. 2016년에 투자한 방글라데시 민자발전사업도 2019년 높은 수익률로 투자금 회수를 완료했다. 대림에너지 관계자는 “대림에너지는 대림그룹 내 발전부문 디벨로퍼로서 2013년 12월 설립된 이후 7개국, 13개 발전사업을 개발, 투자하면서 가시적인 성과를 보이고 있다”며 “현재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 도래하면 실적은 더욱 개선될 것”이라고 밝혔다. 김하나 한경닷컴 기자 hana@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
3,"자회사 실적 개선, 우수한 재무구조 긍정적 평가[서울=뉴시스]대림에너지 CI(사진= 업체제공)[서울=뉴시스] 이인준 기자 = 대림그룹 내 발전 부문 디벨로퍼인 대림에너지는 한국신용평가에서 부여한 신용등급이 1년만에 ‘A-‘에서 ‘A’로 상향됐다고 29일 밝혔다. 회사측에 따르면 한신평은 최근 대림에너지의 무보증사채 신용등급을 이 같이 변경했다. 등급전망은 '안정적'으로 평가했다. 대림에너지가 지난해 5월 ‘A-‘(긍정적) 평가를 받은 지 1년만이다.한신평은 대림에너지 신용등급 상향 배경으로 국내외 자회사의 실적 개선, 지주사로서의 우수한 재무구조 등이 고려됐다고 설명했다. 대림에너지의 주력 자회사인 포천파워 및 포승그린파워의 실적과 영업현금흐름이 개선되며 재무안정성이 높아지고 있다. 포천파워는 2014년 상업 운전 이후 국내 민자 발전시장 침체로 어려움을 겪었으나 용량 요금 인상과 운영 비용 절감 노력 등으로 2018년 당기순이익 흑자 전환에 성공했다. 지난해는 당기순이익이 277억원을 기록해 흑자 폭이 증가했다. 포승그린파워는 바이오매스 연료를 이용한 열병합 발전소로 2018년 상업 운전을 개시한 이후 전력 판매 수익뿐만 아니라 집단에너지(지역난방)사업과 신재생에너지 공급인증서(REC) 판매 매출에 기반해 양호한 실적을 보이고 있다고 회사측은 밝혔다. 또 해외 발전 프로젝트에서도 우수한 영업실적을 기록하고 있다. 특히 대림에너지가 보유하고 있는 호주 밀머란 화력발전소의 2019년 당기순이익은 479억원으로 2018년 240억원에 비해 크게 개선됐다. 지난 2016년에 투자한 방글라데시 민자발전사업도 2019년 높은 수익률로 투자금 회수를 완료했다. 한신평은 아울러 대림에너지가 중간지주사로서 우수한 재무구조를 보유하고 있다는 점도 신용등급 상향 이유로 꼽았다. 대림에너지는 올해 3월말 기준 부채비율과 차입금의존도가 각각 37.6%와 26.1%로서 동종 업계 대비 낮은 수준을 유지하고 있다. 대림에너지 관계자는 ""대림에너지는 대림그룹 내 발전부문 디벨로퍼로서 2013년 12월 설립된 이후 7개국, 13개 발전사업을 개발, 투자하면서 가시적인 성과를 보이고 있다”며, “현재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 도래하면 실적은 더욱 개선될 것”이라고 말했다.☞공감언론 뉴시스 ijoinon@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
4,"[디지털타임스 이상현 기자] 대림그룹 대림에너지는 최근 한국신용평가에서 부여한 신용등급이 기존 'A-'에서 'A'로 한단계 상향됐다고 29일 밝혔다.한국신용평가는 2018년 4월 신용등급 'A-', 등급전망 '안정적'이었던 대림에너지의 신용긍급을 2019년 5월 'A-', '긍정적'으로 등급전망을 상향한 바 있다. 이후 1년여 만에 신용등급을 'A'등급으로 상향하고 등급전망을 '안정적'으로 평가했다.한국신용평가 측은 상향배경으로 ""국내외 자회사의 실적 개선, 지주사로서의 우수한 재무구조 등이 고려됐다""고 설명했다.해외 발전 프로젝트에서도 영업실적이 개선되고 있다. 대림에너지가 보유하고 있는 호주 밀머란 화력발전소의 2019년 당기순이익은 479억원으로, 2018년 240억원에 비해 크게 개선됐다.또 한국신용평가는 대림에너지가 중간지주사로서 우수한 재무구조를 보유하고 있다는 점도 신용등급 상향 이유로 꼽았다.대림에너지는 2020년 3월말 기준 부채비율과 차입금 의존도가 각각 37.6%와 26.1%로서 동종 업계 대비 낮은 수준을 유지하고 있다.대림에너지 관계자는 "" 대림에너지는 대림그룹 내 발전부문 디벨로퍼로서 2013년 12월 설립된 이후 7개국, 13개 발전사업을 개발, 투자하면서 가시적인 성과를 보이고 있다""며 ""현재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 도래하면 실적은 더욱 개선될 것""이라고 밝혔다.이상현기자 ishsy@dt.co.kr대림에너지 자회사인 포천파워가 운영 중인 포천복합화력발전소 사진. <대림에너지 제공>     디지털타임스 채널 구독 / 뉴스스탠드 구독디지털타임스 홈페이지 바로가기"
5,"솔라시도 태양광발전소 [한양 제공] (서울=연합뉴스) 홍국기 기자 = 중견 건설사 ㈜한양이 신재생 에너지 사업 분야로의 진출을 본격화한다고 29일 밝혔다.    한양은 최근 한국남부발전, KB자산운용·에너지인프라자산운용 등과 함께 전라남도 해남군 구성지구 솔라시도 일대에 부지 면적만 약 158만㎡에 달하는 국내 최대 규모의 태양광 발전소를 준공했다면서 이같이 전했다.     솔라시도 태양광발전소는 한양이 부지 조성에서부터 설계·조달·시공(EPC), 관리·운영까지 사업 모든 과정을 직접 수행한다.    한양은 국내 최대 규모 태양광발전소 준공과 운영 경험을 기반으로 수상 태양광, 육상 풍력 등 다양한 신재생에너지 분야 사업에 도전할 계획이다.    한양 관계자는 ""솔라시도 태양광발전소는 한양이 에너지개발 사업에 진출한 이후 거둔 첫 성과물이자 신재생 에너지 사업으로의 확대를 위한 교두보가 될 것""이라며 ""건설을 넘어 에너지·주택개발 기업으로 도약하겠다""고 강조했다.     redflag@yna.co.kr▶코로나19 속보는 네이버 연합뉴스[구독 클릭]▶[팩트체크]'인국공 사태'로 취준생 피해?▶제보하기"
6,"[서울신문]더불어민주당에서 다음달 발의를 목표로 그린뉴딜 특별법(가칭) 수립을 진행 중이라고 26일 밝혔다. 이를 통해 관련 사업에 2030년까지 총 300조원의 투자재원을 마련할 계획이다. 이는 그린뉴딜 이행력 강화와 재원조달 근거를 만들기 위한 조치로, 동 법안의 내용에는 석탄발전 및 내연기관 퇴출, 핵폐기물처리 연동을 통한 원전 감축, 에너지효율 의무화 등이 담길 전망이다.향후 석탄 및 원전의 감축이 가속화됨에 따라 정부 및 민관 주도의 신재생에너지의 보급은 더 활발해질 전망이다. 민간 주도의 대형 해상풍력 프로젝트들에 대한 정책적인 수혜가 기대되면서 대한그린에너지 (대표이사 박근식)에 대한 관심도 뜨겁다. 대한그린에너지는 최근에 코스닥 상장법인인 케이알피앤이의 최대주주 지분을 전량 인수하고 케이알피앤이을 통한 대형 프로젝트 사업 진행에 초석을 닦았다.회사 관계자는 “대한그린에너지가 비상장법인이라서 풍력발전 개발 쪽에서 절대 강자 지위임을 잘 모르시는 분들이 많다. 국내 풍력발전 프로젝트들에서 지난 7년 간 대한그린에너지가 참여한 부분이 상당하고, 2018년에 준공한 국내 최대 규모의 영광풍력발전 (80MW)을 토지수용 및 인허가부터 준공 후 운영에 이르기까지 주도적으로 수행한 업체가 바로 대한그린에너지이다. 대한그린에너지는 상장법인 인수를 통해 ‘대규모 개발자금 확보’라는 숙제를 해결한 만큼 대형 프로젝트 개발에 속도를 더 할 것” 이라고 밝혔다.온라인뉴스부 iseoul@seoul.co.kr▶ 네이버에서 서울신문 구독하기 클릭! ▶ 세상에 이런 일이 ▶ [연예계 뒷얘기] 클릭!ⓒ 서울신문(www.seoul.co.kr), 무단전재 및 재배포금지"
7,"더불어민주당에서 다음달 발의를 목표로 그린뉴딜 특별법(가칭) 수립을 진행 중이라고 26일 밝혔다.이를 통해 관련 사업에 2030년까지 총 300조원의 투자재원을 마련할 계획이다. 이는 그린뉴딜 이행력 강화와 재원조달 근거를 만들기 위한 조치로, 동 법안의 내용에는 석탄발전 및 내연기관 퇴출, 핵폐기물처리 연동을 통한 원전 감축 ,에너지효율 의무화 등이 담길 전망이다.향후 석탄 및 원전의 감축이 가속화됨에 따라 정부 및 민관 주도의 신재생에너지의 보급은 더 활발해질 전망이다. 민간 주도의 대형 해상풍력 프로젝트들에 대한 정책적인 수혜가 기대되면서 대한그린에너지 (대표이사 박근식)에 대한 관심도 뜨겁다. 대한그린에너지는 최근에 코스닥 상장법인인 케이알피앤이의 최대주주 지분을 전량 인수하고 케이알피앤이을 통한 대형 프로젝트 사업 진행에 초석을 닦았다.회사의 핵심 관계자는 ""대한그린에너지가 비상장법인이라서 풍력발전 개발 쪽에서 절대 강자 지위임을 잘 모르시는 분들이 많다.  국내 풍력발전 프로젝트들에서 지난 7년 간 대한그린에너지가 참여한 부분이 상당하고, 2018년에 준공한 국내 최대 규모의 영광풍력발전 (80MW)을 토지수용 및 인허가부터 준공 후 운영에 이르기까지 주도적으로 수행한 업체가 바로 대한그린에너지이다.  대한그린에너지는 상장법인 인수를 통해 '대규모 개발자금 확보'라는 숙제를 해결한 만큼 대형 프로젝트 개발에 속도를 더 할 것"" 이라고 밝혔다.디지털전략부▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지"
8,"자회사 현금흐름 개선+해외사업 성황미국·요르단·칠레 등 상업발전 앞둬…""실적 개선 박차""대림에너지 포천복합화력발전소. © 뉴스1(서울=뉴스1) 이철 기자 = 대림에너지는 최근 한국신용평가(한신평)의 신용등급에서 'A'로 한단계 상향했다고 29일 밝혔다. 상향되기전 등급은 'A-'였다.한신평은 2018년 4월 A-(안정적)이던 대림에너지의 등급전망을 지난해 5월 A-(긍정적)로 상향한 바 있다. 이후 1년여만에 신용등급을 A(안정적)으로 올리게 됐다.한신평은 ""주력 자회사인 포천파워의 영업현금흐름이 개선되고 재무안정성도 제고됐다""며 ""2018년 상업운전을 개시한 포승그린파워의 양호한 영업실적을 감안할 때, 자회사를 통한 사업 기반이 강화되고 있는 것으로 판단된다""고 설명했다.이어 ""투자 부문에서 해외 발전 프로젝트가 우수한 실적을 시현하고 있다""며 ""특히 밀머란에스피씨(지분 61.2% 보유)가 투자한 MPP(밀머란에스피씨가 지분 35% 보유)의 우수한 영업실적을 바탕으로 밀머란에스피씨로부터 유상감자, 배당 등을 통한 현금유입이 이뤄지고 있다""고 평가했다.대림에너지의 자회사인 포천파워는 2014년 상업 운전 이후 국내 민자 발전시장 침체로 어려움을 겪었으나 2018년 당기순이익 흑자 전환에 성공했고 지난해 당기순이익 277억원으로 흑자 폭이 커졌다. 해외사업에서는 호주 밀머란 화력발전소의 지난해 당기순이익이 479억원을 기록해 2018년 240억원에 대비 개선됐다.대림에너지 관계자는 ""대림그룹 내 발전부문 디벨로퍼로서 2013년 12월 설립된 이후 7개국, 13개 발전사업을 개발·투자하면서 가시적인 성과를 보이고 있다""며 ""현재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 도래하면 실적은 더욱 개선될 것""이라고 강조했다.iron@news1.kr▶ 네이버 메인에서 [뉴스1] 구독하기!▶  뉴스1 바로가기 ▶  코로나19 뉴스 © 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지"
9,"◆…대림에너지 CI. 사진=대림산업 제공대림에너지가 한국신용평가 부여 신용등급이 'A-'에서 'A'로 한 단계 상향되고 등급전망도 안정적으로 평가됐다고 29일 밝혔다.한신평은 대림에너지의 국내외 자회사 실적 개선, 지주사로서의 우수한 재무구조 등을 상향 조정 요인으로 평가했다.대림에너지 자회사 포천파워는 지난 2014년 상업운전 이후 국내 민자 발전시장 침체로 어려움을 겪었으나 용량 요금 인상, 운영비용 절감 등으로 2018년 당기순이익 흑자전환에 성공했으며 지난해 흑자폭이 늘어 277억원의 순이익을 기록했다. 호주 밀머란 화력발전소의 작년 순이익도 479억원으로 전년대비 239억원 증가했다.이와 함께 대림에너지의 올 1분기말 부채비율과 차입금의존도가 각각 37.6%, 26.1%로 동종업계 대비 낮은 수준을 유지했다는 것이 회사측 설명이다.회사 관계자는 ""2013년 12월 설립 이후 7개국, 13개 발전사업을 개발·투자하면서 가시적인 성과를 보이고 있다""며 ""재 건설 중인 미국 나일스 복합화력발전, 요르단 풍력발전, 칠레 태양광발전, 방글라데시 중유발전 등의 상업 운전이 시작되면 실적이 더 개선될 것""이라고 전망했다.▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)임재윤(jyfly86@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지"
