,contents
0,"해양수산부가 중국과 일본에 '포스트 코로나' 시대를 대비하기 위해 해운물류 분야에서 공동 협력사업 발굴을 공개 제안합니다.해양수산부는 김양수 차관이 내일(29일) 화상으로 진행하는 '제8차 한·중·일 교통물류 장관회의 특별 세션'에 참석해 위와 같은 제안을 할 예정이라고 밝혔습니다.김 차관은 코로나19 사태를 대비하기 위한 비대면 선박검사, 해운물류 산업 디지털화, 자율운항 선박 개발과 같은 물류 체계를 요청합니다.나아가 비대면 방식으로 국제 협약을 이행하는 방안처럼 새로운 유형의 국제규범 실행 방식에 대해 협조를 구할 예정입니다.최근 코로나19 확산으로 인해 여객 운송이 중단된 한·중 카페리 선사, 한·일 여객 선사를 위해 세 국가가 각각 자국 항만시설의 사용료를 깎아주는 방안도 검토를 제안할 예정입니다.이어 국제 물류 운송이 정상적으로 이뤄질 수 있게 각국의 검역, 방역 정보를 공유하는 방안을 제시하기로 했습니다.김 차관은 ""한·중·일 경제는 지금까지 분업과 협업을 통해 발전해왔고 그중에서도 해운물류 분야 협력은 3국을 잇는 핵심 가교역할을 담당해 왔다""라고 밝혔습니다.한·중·일 교통물류 장관회의는 2006년 9월 서울에서 열린 1차 회의를 시작으로 2년마다 개최돼 왔습니다.올해는 당초 8월에 장관급으로 일본에서 열릴 예정이었지만, 이를 연기하고 대신 '특별 세션' 형태의 차관급 화상회의를 우선 진행하기로 했습니다.권준수 기자"
1,4일 재개될 예정이었던 전북 군산항과 중국 스다오(石島)항을 오가는 카페리의 운항이 연기되면서 군산항 국제여객터미널이 한산한 모습을 보이고 있다. 2020.2.4
2,"해양수산부가 중국과 일본에 신종 코로나바이러스 감염증(코로나19) 사태 이후의 시대에 대비한 해운물류 분야 공동 협력사업 발굴을 공개 제안하기로 했다.28일 해양수산부는 29일 열리는 제8차 한·중·일 교통물류 장관회의 특별세션에서 중국·일본과 해운물류 분야의 코로나19 대응 경험을 공유하고, 코로나19 이후 시대에 부합하는 비대면 서비스 분야의 협력을 제안할 계획이라고 밝혔다.이번 회의에는 김양수 해양수산부 차관과 미노리카와 노부히데 일본 국토교통성 차관, 다이 동창 중국 교통운수부 차관이 각국 수석대표로 참석한다.해수부에 따르면 김양수 차관은 29일 화상으로 진행되는 ‘제8차 한·중·일 교통물류 장관회의 특별세션’에 참석해 이런 제안을 할 예정이다.김 차관은 우선 코로나19 사태 이후에 대비하기 위해 비대면 선박검사, 해운물류 산업 디지털화, 자율운항선박 개발 등을 놓고 협력할 것을 요청한다.또 비대면 방식으로 국제 협약을 이행하는 방안 등 새로운 유형의 국제규범 실행 방식에 대해서도 협조를 요구한다.아울러 코로나19 확산으로 여객 운송이 중단된 한·중 카페리 선사, 한·일 여객 선사를 위해서는 세 국가가 각각 자국 항만시설의 사용료를 깎아주는 방안을 검토하자고 제안할 계획이다.김양수 차관은 “한·중·일 경제는 지금까지 분업과 협업을 통해 발전해왔고 그중에서도 해운물류분야 협력은 3국을 잇는 핵심 가교역할을 담당해 왔다”며 “앞으로도 3국은 코로나19 상황을 극복해 나가면서 원활한 물류 흐름을 유지할 수 있도록 노력해 나갈 것”이라고 밝혔다.이번 회의는 당초 8월에 장관급으로 일본에서 열릴 예정이었지만, 코로나19 사태를 고려해 본 회의 개최를 연기하고 대신 차관급 화상회의를 우선 진행한다.(사진=연합뉴스)이호규기자"
3,4일 재개될 예정이었던 전북 군산항과 중국 스다오(石島)항을 오가는 카페리의 운항이 연기되면서 군산항 국제여객터미널이 한산한 모습을 보이고 있다. 2020.2.4
4,"김양수 해수부 차관, '한·중·일 교통물류 장관회의 특별세션' 참석김양수 해양수산부 차관2. 해수부 제공 해양수산부가 중국과 일본에 코로나19 사태 이후의 시대에 대비한 해운물류 분야 공동 협력사업 발굴을 공개 제안하기로 했다.28일 해수부에 따르면 김양수 해수부 차관은 29일 화상으로 진행되는 '제8차 한·중·일 교통물류 장관회의 특별세션'에 참석해 이런 제안을 할 예정이다.이번 회의에는 김 차관과 미노리카와 노부히데 일본 국토교통성 차관, 다이 동창 중국 교통운수부 차관이 각국 수석대표로 참석한다.김 차관은 우선 코로나19 사태 이후에 대비하기 위해 비대면 선박검사, 해운물류 산업 디지털화, 자율운항선박 개발 등을 놓고 협력할 것을 요청한다.또 비대면 방식으로 국제 협약을 이행하는 방안 등 새로운 유형의 국제규범 실행 방식에 대해서도 협조를 구할 방침이다.아울러 코로나19 확산으로 여객 운송이 중단된 한·중 카페리 선사, 한·일 여객 선사를 위해서는 세 국가가 각각 자국 항만시설의 사용료를 깎아주는 방안을 검토하자고 제안할 계획이다.나아가 코로나19와 같은 세계적 감염병 유행이 발생해도 국제 물류 운송이 정상적으로 이뤄질 수 있게 각국의 검역, 방역 정보를 공유하는 방안을 제시할 방침이다.김 차관은 이날 ""한·중·일 경제는 지금까지 분업과 협업을 통해 발전해왔고 그중에서도 해운물류 분야 협력은 3국을 잇는 핵심 가교역할을 담당해 왔다""면서 ""앞으로도 3국은 코로나19 상황을 극복해 나가면서 원활한 물류 흐름을 유지할 수 있도록 노력해 나갈 것""이라고 밝혔다.한·중·일 교통물류장관회의는 2006년 9월 서울에서 열린 1차 회의를 시작으로 2년마다 개최돼 왔다.회의는 당초 8월에 장관급으로 일본에서 열릴 예정이었지만, 코로나19 사태를 고려해 본 회의 개최를 연기하고 대신 '특별세션' 형태의 차관급 화상회의를 우선 진행하기로 했다.송현수 기자"
5," 한국해양진흥공사는 국립수산과학원, 부산지방해양수산청 등과 함께 코로나19 대응, 슬기로운 피서생활을 위해 해수욕장 쓰레기 정화봉사활동을 했다.해운기업의 안정적인 선박 도입과 유동성 확보를 지원하고 해운산업의 성장에 필요한 종합서비스 제공하기 위해 부산에 설립된 한국해양진흥공사(KOBC)가 설립 2년 만에 해운산업의 든든한 동반자로 자리매김했다.한국해양진흥공사는 정부의 해운 재건 5개년 계획의 실질적인 수행기관으로서 해운산업 재건을 위한 지원체계를 마련해왔다. 공사는 HMM(현대상선의 새 이름)의 초대형 컨테이너선 20척(2만4000TEU 12척, 1만6000TEU 8척) 신규 건조를 위한 선박금융 조달을 적극 지원했다. 지난 4월 공사의 금융지원을 발판으로 건조된 컨테이너선은 1호선인 ‘알헤시라스호’를 시작으로 올해 12척 모두 인도돼 항해에 나설 예정이다. 내년 1만6000TEU급 컨테이너선 8척이 계획대로 인도되면 HMM은 세계 선복량 8위의 글로벌 선사로 다시금 도약하게 된다.공사는 해운산업 지원 외에도 부산 지역사회 발전과 해양환경 보호를 위한 사회공헌활동도 활발하게 진행 중이다. 올해에는 ‘함께하는 나눔으로 배가되는 희망물결(HOPE WAVE)’이라는 사회공헌 슬로건 아래 해양 안전, 지역 상생, 인재 육성, 환경보호를 사회공헌활동 핵심 테마로 선정하고 다양한 사업을 추진 중이다."
6," 신용보증기금은 코로나19 피해기업 및 주력산업 등에 유동화회사보증을 통해 1조2000억원 규모의 자금을 지원했다고 26일 밝혔다.   신보의 유동화회사보증은 회사채 등을 기초자산으로 유동화증권을 발행해 기업이 직접금융시장에서 장기자금을 조달할 수 있도록 지원하는 제도다.   코로나19로 인한 경기침체가 장기화됨에 따라 지난 5월말 유동화회사보증을 통해 1.2조원을 지원한데 이어 이번 달에도 같은 규모인 1.2조원을 지원했다.   6월 발행에는 씨제이푸드빌(외식), 장금상선(해운), 서연이화(자동차부품), 한세실업(의류제조) 등 코로나19로 직접적인 피해를 입은 업종과 소상공인 등에 대한 원리금상환 유예에 적극적으로 참여한 여전사에 7천억원을 우선 지원했다.   또 자동차, 조선, 석유화학, 디스플레이 등 정부가 지정한 주력산업 및 소재·부품·장비기업 등에도 3200억원의 자금을 공급해 주력산업 경쟁력 강화에 기여했다.   신보의 유동화회사보증은 시장발행이 어려운 투자등급 미만의 저신용기업들이 회사채를 통해 자금조달 할 수 있는 사실상 유일한 금융수단으로 6월 유동화회사보증 지원기업 중 약 60%에 해당하는 43개 기업(중견·대기업 기준)이 BB등급에 해당된다.   신보 관계자는 ""코로나19 사태가 장기화됨에 따라 기업들의 자금애로가 계속되어 유동화회사보증 신청이 지속적으로 늘어날 것으로 예상된다""며 ""신보는 유동성 부족으로 어려움을 겪는 기업들에 안정적인 장기자금을 지원해 우리 경제가 침체에 빠지지 않도록 든든한 버팀목 역할을 계속해 나가겠다""고 말했다.    "
7,"현지 시각 24일 가나 해역에서 조업 중이던 한국인 선원 5명이 괴한에게 피랍된 가운데 해당 선원을 송출한 피오마린 관계자가 지도에서 사고 해역과 현지 지리를 설명하고 있다. (사진=송호재 기자)25일 서부 아프리카 베넹 해역에서 조업 중이던 한국인 선원 5명이 괴한에게 납치된 가운데[6.25 CBS노컷뉴스=한국인 선원 5명 아프리카 베냉 앞바다서 피랍] 선원들을 송출한 부산의 해운 서비스 업체는 침통한 분위기 속에 대책을 마련하고 있다.나이지리아 해적으로 추정되는 괴한들은 금품을 목적으로 한국인 선원만 노려 납치한 것으로 업계는 추정하고 있다.이날 피랍된 '파노피 프런티어'에 한국인 선원을 송출한 부산 중구 해운서비스 업체 '피오마린'에 따르면 괴한들에 납치된 한국인 선원 5명은 선장과 기관장, 갑판장과 1항사, 1기사 등 모두 선박을 운항하는 간부들이다.함께 납치된 가나인은 이들 한국인 음식을 조리하던 조리장이라고 피오마린은 설명했다.피오 마린 관계자는 ""현지 법인에게 받은 보고내용에 따르면 괴한들은 선박 간부인 한국인 5명과 이들 음식을 조리하는 가나인 조리장을 함께 납치했다""며 ""금품 등을 노리고 한국인을 골라 납치한 것으로 추정된다""고 말했다.현지 시각 24일 가나 해역에서 조업 중이던 한국인 선원 5명이 괴한에게 피랍됐다. 해당 선원을 송출한 부산 중구 피오 마린 앞. (사진=송호재 기자)피오마린에 따르면 파노피 프런티어는 현지시각 24일 오후 2시에 괴한에게 습격 당했다.괴한들은 보트 2척이 갑자기 선박에 접근해 한국인들을 납치했다는 게 피오 마린 설명이다.당시 파노피 프런티어에는 모두 30명이 타고 있었고, 이들 가운데 5명은 한국인이고 25명은 가나 국적 선원으로 파악됐다.각각 부산에서 3명, 인천과 광주에서 각각 1명씩 선박에 오른 것으로 알려졌다.이들 선원의 안전 등은 여전히 확인되지 않고 있다.파노피 프론티어는 날이 밝는 대로 베넹 해역에서 가나로 향할 예정으로 전해졌다.피오마린과 해운 업계에 따르면 파노피 프런티어가 조업 중이던 해역에서는 나이리지리아 해적의 습격과 피랍 등 사고가 빈번하던 곳이다.2년 전에는 조업 중이던 한국인 3명이 피랍됐다가 30여일 만에 석방된 바 있다.피오마린 관계자는 ""해당 해역은 피랍 사고가 빈번한 곳으로 통상적으로 1~2주 이상 납치가 길어지는 경우가 많다""며 ""현재 외교부 등 관계 기관과 연락을 취하며 대책을 마련하는 중""이라고 말했다."
8,"[아시아경제 유제훈 기자] 발틱운임지수(BDI), 상하이컨테이너운임지수(SCFI) 등 해운시장의 주요 지표들이 신종 코로나바이러스감염증(코로나19) 사태 이전 수준을 회복한 것으로 나타났다.28일 해운업계에 따르면 건화물선 운임 지표인 BDI는 지난 26일 기준 전거래일 대비 0.63% 늘어난 1749를 기록했다. 이는 연중 최고치로, 중국 우한에서 코로나19 사태가 시작되기 전인 지난해 10월 수준을 회복했다.이 같은 상승세는 주요 철광석 수출국인 브라질이 코로나19 사태로 혼란을 겪으며 공급에 악영향이 발생한 반면 중국이 코로나19 진정세에 접어들면서 조강생산량을 확대하는 등 수요를 늘리고 있기 때문인 것으로 풀이된다.유진투자증권은 이와 관련 최근 보고서를 통해 ""중국은 지난 5월 전년 대비 조강생산량이 3.6% 증가하는 등 견조한 흐름을 보이고 있다""면서 ""(중국의) 철광석 항구 재고 역시 2016년 말 수준으로 급락해 있는 상황이어서 단기적으로 운임 반등세가 이어질 수 있다""고 짚었다.컨테이너 운임 지표인 SCFI도 최근 급등세를 그리고 있다. 지난 24일 기준 SCFI는 전주(988.82)대비 1.2% 가량 상승한 1001.33을 기록했다. 이 역시도 코로나19 사태가 본격화 되던 1월 하순과 비슷한 운임수준이다. 특히 아시아-미서안 항로의 운임은 FEU(20피트 컨테이너 1개를 일컫는 단위) 당 2692달러를 기록, 연초 대비 약 60% 급등했다. 이 항로는 HMM, SM상선 등 한국 선사들의 매출 중 30~50% 가량이 집중된 곳이어서 실적 개선 효과도 기대된다.컨테이너선 운임이 고공행진을 거듭하는 이유로는 선사들이 코로나19 여파에 선제적으로 공급축소를 단행한 가운데, 미국 등 주요국의 확산세가 정점을 지나면서 각종 화물 수요가 일부 증가해 수급불일치가 나타나고 있기 때문인 것으로 풀이된다. 실제 HMM이 소속된 해운동맹체 디 얼라이언스도 공급을 20% 가까이 줄인 것으로 전해졌다.하지만 업계에선 최근 운임지수 급등에도 안심하긴 이르단 분위기다. 봉쇄조치를 해제한 각 국에서 산발적 집단감염 사태가 계속되고 있는 가운데 하반기 코로나19 2차 유행이 본격화하면 회복국면에 돌입한 수요가 다시 감소세로 돌아설 수 있다는 이유에서다. 미ㆍ중 무역분쟁이 2라운드로 접어든 것도 부담스러운 국면이다.유제훈 기자"
9,"부산시는 25일 시청에서 코로나19 위기극복을 위한 해운·항만업계 간담회를 연다고 24일 밝혔다.    박성훈 경제부시장 주재로 열리는 간담회에는 부산항만산업총연합회, 부산항만산업협회, 한국선박수리공업협동조합, 한국선박관리산업협회, 한국선주협회 관계자 등이 참석한다.    간담회는 코로나19 글로벌 확산에 따라 항만 물동량이 감소하는 등 해운·항만업계 전반으로 충격이 확산하고 있어 업계 애로·건의사항을 듣고 규제 개선 방안 등을 논의하기 위해 마련됐다.     박진석 부산시 해양수산물류국장은 ""간담회에서 나온 현장 목소리를 시정에 적극적으로 반영하고 규제 개선 방안 등은 해양수산부에 신속히 건의, 해운·항만산업이 빠르게 회복될 수 있도록 하겠다""고 말했다.   "
