,contents
0,"신천지예수교 이만희 총회장이 신종 코로나바이러스 감염증(코로나19) 치료제 개발을 위해 혈장 공여 의사를 밝힌 완치 신도들에게 특별 감사편지를 보냈다.29일 신천지 대구교회에 따르면, 이 총회장은 지난 27일 A4용지 1장 분량의 편지를 통해 “코로나19 치료제 개발을 위해 혈장 공여에 자발적으로 참여하겠다는 의사를 밝혔다는 소식을 듣고 기뻤다”고 밝혔다.이 총회장은 “우리 성도들은 하나님의 아들 예수님의 생명의 피를 받았다”고 강조했다. 그러면서 “우리도 예수님 같이 피를 줌(혈장 공여)으로 세계 만민이 코로나19의 고통에서 해방되게 하자는 뜻으로 마음을 모았음을 안다”고 말했다.이어 “이것이 이 나라 국민으로서, 참된 신앙인으로서 할 일이며, 네 이웃을 내 몸 같이 사랑하는 예수님의 계명을 지켜 좋은 일에 마음 모아 결단을 해주심에 감사드린다”고 덧붙였다.아울러 이 총회장은 “우리 교회가 해결할 수 없는 코로나19 감염 확산 방지와 치료를 정부가 맡아 해결해준 그 은혜 너무너무 감사하다”며 정부를 향해 감사의 뜻을 전하기도 했다.앞서 23일 질병관리본부 등에 따르면, 신천지 대구교회는 코로나19에 감염됐다가 완치된 신도들의 혈장을 공여하겠다고 밝혔다. 대구 신천지 신도 중 완치자는 약 4000명이다.윤우열 동아닷컴 기자"
1," 코로나19 확산 초기 집단감염 매개가 된 신천지예수교 이만희 총회장이 신도들에게 보낸 서신으로 오랜만에 미디어에 이름을 올렸다.29일 신천지 대구교회에 따르면 이 총회장은 대구교회 신도 4000여명이 혈장 공여에 참여한 것에 감사를 표하는 서신을 보냈다.서신은 A4 용지 한 장 분량으로, 이 총회장은 “성도님들이 코로나19 바이러스 치료제 개발을 위해 혈장 공여에 자발적으로 참여하겠다는 의사를 밝혔다는 소식을 듣고 기뻤다”며 감사 뜻을 전한다.이 총회장은 “우리 교회가 해결할 수 없는 코로나19 감염 확산 방지와 치료를 정부가 맡아 해결해 주신 그 은혜 너무너무 감사하다. 세계 만인이 고통에서 해방되게 하자는 뜻에서 대구교회 신도들이 마음을 모았음을 안다”고도 적었다.대구교회 측은 “총회장이 신도들을 치료해 준 정부와 혈장 공여로 그에 보답하려는 대구교회 측 모두에 감사를 전하려 한 것 같다”며 서신을 받은 배경을 설명했다.앞서 신천지 대구교회 측은 코로나19 완치 판정을 받은 신도 4000여명이 혈장치료제 개발 지원 차원에서 혈장 공여에 나서기로 했다고 밝힌 바 있다.대구교회에 따르면 신천지와 질병관리본부, 제약업체인 녹십자 관계자들이 이미 몇 차례 회의를 열어 혈장 공여와 관련된 논의도 진행한 것으로 알려졌다. 공여 방법 등은 추가 논의를 진행해 최종 결정할 예정이다.신천지 대구교회는 현장 예배 과정에서 발생한 집단감염으로 초기 코로나19 확산에 치명적인 영향을 미쳤다. 당시 하루 확진자가 수백여명에 달할 정도로 감염 속도가 빨라 방역당국이 애를 먹기도 했다.여기에 신천지 신도들 일부가 역학조사 과정 등에서 비협조적인 태도를 보인 것이 확인돼 사회적 지탄이 쏟아지기도 했다. 이번 혈장 공여 역시 신천지 측이 그동안의 비난 여론을 의식해 내린 결과라는 지적도 나온다.13일 오후 경기 용인시 기흥구 GC녹십자에서 연구원들이 신종 코로나바이러스 감염증(코로나19) 완치자 혈장을 활용한 혈장 치료제 개발을 하고 있다. 사진=뉴시스장영락 "
2,"신종 코로나바이러스 감염증(코로나19)이 완치된 신천지 대구교회 신도 4천여명이 혈장 공여에 나선 것에 이만희 총회장이 감사 서신을 보냈다.    29일 신천지 대구교회에 따르면 이 총회장은 지난 27일 A4 용지 한 장 분량의 감사 편지를 보냈다.    이 총회장은 서신에서 ""성도님들이 코로나19 바이러스 치료제 개발을 위해 혈장 공여에 자발적으로 참여하겠다는 의사를 밝혔다는 소식을 듣고 기뻤다""고 말했다.    이어 ""우리 교회가 해결할 수 없는 코로나19 감염 확산 방지와 치료를 정부가 맡아 해결해 주신 그 은혜 너무너무 감사하다""며 ""세계 만인이 고통에서 해방되게 하자는 뜻에서 대구교회 신도들이 마음을 모았음을 안다""고 덧붙였다.    대구교회 관계자는 ""총회장이 신도들을 치료해 준 정부와 혈장 공여로 그에 보답하려는 대구교회 측 모두에 감사를 전하려 한 것 같다""고 말했다.   "
3,"이만희 신천지예수교 증거장막성전(신천지) 총회장이 신종 코로나바이러스 감염증(코로나19) 혈장치료제 개발에 필요한 혈장을 공여하기로 한 대구교회 신도들에게 감사 편지를 보냈다.29일 신천지에 따르면 이만희 총회장은 지난 27일 '사랑하는 대구교회 성도님들께'라는 감사편지를 통해 ""대구교회 성도님들께서 코로나19 바이러스 혈장 치료제 개발을 위해 혈장 공여에 자발적으로 참여하겠다는 의사를 밝혔다는 소식을 듣고 기뻤다""며 ""성도님들은 예수님의 피를 받은 자들임을 믿는다""고 밝혔다.이 총회장은 ""우리 성도들은 하나님의 아들 예수님의 생명의 피를 받았고 죄에서 해방됐다""며 ""우리도 예수님같이 피를 줌으로(혈장 공여로), 코로나19로 고통 받고 있는 세계 만민이 코로나19의 고통에서 해방되게하자는 뜻으로 마음을 모았음을 안다""고 했다.이어 ""나는 대구의 많은 성도님들이 자발적으로 혈장 공여 의사를 밝혔다는 말을 듣고 감동했다""며 ""과연 예수님의 피를 받은 제자들""이라고 했다.이만희 신천지 총회장이 지난 27일 코로나19 혈장치료제 개발을 위해 혈장공여를 약속한 대구교회 신도들에게 보낸 감사편지.© 뉴스1그러면서 ""이것이 이 나라 국민으로서, 참된 신앙인으로서 할 일이며, 네 이웃을 내 몸같이 사랑하라는 예수님의 계명을 지켜(마 22:39), 좋은 일에 마음 모아 빛 되는 결단을 해주심에 감사드린다""며 ""우리 다 예수님의 이름으로 코로나19 박멸을 위해 기도하자(요 14:13-14 참고)""고 덧붙였다.이만희 총회장은 ""우리 교회가 해결할 수 없는 코로나19 감염 확산 방지와 치료를 정부가 맡아 해결해주신 그 은혜 너무너무 감사하다""며 정부에게도 감사의 뜻을 밝혔다.앞서 신천지 대구교회는 지난 23일 코로나19에 감염됐다 완치된 신도 4200명 정도가 가능한 한 모두 혈장치료제 개발에 필요한 혈장을 공여하기로 결정했다고 밝힌 바 있다.신천지 측은 이달 중 질병관리본부, 제약업체 GC녹십자 등 관계자들과 두 차례 회의를 열고 혈장 공여에 대해 적극 동참하겠다고 의견을 나눈 상태로, 자세한 방법과 절차를 마련할 계획이다.GC녹십자가 개발중인 혈장치료제는 코로나19에서 회복한 환자의 혈액에 포함된 코로나 중화항체를 분획해 치료제 형태로 만든 것으로, 다음달 임상 2, 3상을 시작할 것으로 보인다"
4,"지난 3월 코로나19에 감염됐다가 완치판정을 받은 경기 성남시분당구보건소 직원 5명 전원이 코로나19 혈장치료제 개발을 위한 혈장공여에 참여하기로 했다.29일 시에 따르면 이들은 모두 성남시 관내 코로나19 집단감염 발생으로 역학조사 및 긴급대책반 활동 중에 감염돼 치료받고 완치된 직원들이다.고려대학교안산병원에서 신체검사와 혈액검사를 통해 선별검사를 마친 뒤 지난 25일부터 순차적으로 혈장을 기증하고 있다.혈장은 혈액에서 백혈구와 적혈구를 제외하고 면역에 중요한 단백질이 포함된 액체 성분으로 완치자의 혈장에는 코로나19와 싸울 수 있는 항체가 있기 때문에 이를 바탕으로 치료제를 개발하려는 것이다.기증은 전국 4개 지정병원(고려대학교안산병원, 계명대 동산병원, 경북대학교병원, 대구파티마병원)에서 가능하며 첫 번째 방문에서 선별검사를 통해 헌혈 가능여부를 진단한 뒤 두 번째 방문에서 약 500㎖의 혈장성분헌혈을 실시한다.기증자들은 ""혈장치료제 개발로 코로나19로 고생하는 환자들의 치료에 도움이 되었으면 좋겠다""며 ""많은 완치자들이 사회적 낙인과 심리적 불안을 해소하고 혈장치료제 개발을 위한 혈장공여에 동참해달라""고 말했다.☞공감언론 뉴시스"
5,"           지난 3월 경기도 성남시 분당구보건소에 비상이 걸렸다. 신종 코로나바이러스 감염증(코로나19) 확산으로 인한 역학 조사 등으로 전 직원이 제때 집에도 가지 못하고 비상이 걸린 상황에서 이 보건소 신명화(52) 정신건강팀장이 코로나19 확진 판정을 받았다.     은수미 성남시장은 신 팀장의 확진 소식에 자신의 소셜네트워크서비스(SNS)에 ""코로나19 사태 수습을 위해 정말 애를 많이 쓴 직원""이라며 ""마음이 아프다""고 안타까운 심경을 전했다.     신 팀장 이후에도 이 보건소에선 4명의 코로나19 확진 환자가 더 나왔다.      신 팀장은 ""지금도 그때만 생각하면 심란하다""며 ""그래도 당시에 응원하는 글들을 많이 올려주셔서 (국민께) 감동도 많이 받았고 고마웠다""고 말했다.     ━   배테랑 보건 담당 공무원의 감염       신 팀장은 2009년 신종플루(H1N1 인플루엔자 A) 대유행부터 중동호흡기증후군(MERS·메르스)까지 모두 담당했던 베테랑 보건 담당 공무원이다. 코로나19 환자를 치료하던 분당제생병원에서 잇달아 확진자가 나오자 병원 상황실에 투입돼 근무하기도 했는데 이때 감염된 것으로 추정된다. 당시 분당제생병원과 관련된 코로나19 확진자만 42명이 나왔다.     그는 ""당시 코로나19 관련 업무로 여러 부서와 병원, 보건소 등과 통화를 많이 했는데 어느 순간 갑자기 목소리가 나오지 않았는데 이게 코로나19 초기 증상이었던 것 같다""고 말했다.     다행히도 신 팀장은 물론 다른 보건소 직원들도 상태가 심각하진 않았다. 1명은 증상이 심해 고생을 했지만 다른 4명은 경상이었다. 치료가 끝난 뒤 복귀한 이들은 업무에 매진했다.      신종 코로나바이러스 감염증(코로나19)에 감염됐다 완치된 경기 성남 분당보건소 직원들이 ㅁ혈장치료제 개발을 위한 혈장공여에 참여하기 위해 문진 검사를 한 뒤 관련 설명을 듣는 모습. 성남시       그리고 이들은 최근 모두 코로나19혈장 치료제 개발을 위한 혈장 공여에 참여하기로 결정했다.      혈장은 혈액에서 백혈구와 적혈구를 제외하고 면역에 중요한 단백질이 포함된 액체 성분으로 완치자의 혈장에는 코로나19와 싸울 수 있는 항체가 있다. 정부는 현재 이를 바탕으로 코로나19 치료제를 개발하려고 준비 중이다. 현재 혈장 기증은 고려대학교 안산병원, 계명대 동산병원, 경북대학교병원, 대구파티마병원 등 전국 4개 병원에서만 가능하다.       신 팀장은 ""사실 정부가 혈장 치료제 개발 계획을 밝혔던 지난 5월 초에 혈장을 기증하려고 했는데 기증할 수 있는 병원이 멀리 있는 데다 업무도 바빴고, 직원 일부는 막 회복된 상태라 건강을 좀 더 챙긴 뒤 기증하자고 다 같이 약속을 했다""고 설명했다.     ━   중대본 ""특별히 감사드린다""        이들은 지난 22일 고려대학교 안산병원에서 신체검사와 혈액검사를 통해 1차 선별검사를 마쳤다. 모두 '항체가 생겼다'는 판정을 받아서 기증할 수 있는 자격을 얻었다. 이들은 지난 25일부터 다음 달 초까지 순차적으로 고려대학교 안산병원을 찾아 혈장을 기증한다. 신 팀장은 오는 30일 병원을 찾는다.     권준욱 중앙방역대책본부 부본부장은 지난 27일 열린 코로나19 브리핑에서 ""분당보건소 직원 5명이 혈장공여 참여 의사를 밝혀주셨다. 특별히 다시 한번 감사를 드린다""며 고마움을 전했다.       신종 코로나바이러스 감염증(코로나19)에 감염됐다 완치된 경기 성남 분당보건소 직원들이 혈장치료제 개발을 위한 혈장공여에 참여한 직원. [사진 성남시]      ━   분당제생병원 의료진도 동참키로       분당보건소 직원들의 혈장기증 소식에 분당제생병원 의료진도 힘을 보태기로 했다. 코로나19 확진 판정을 받았다가 완치 판정을 받은 간호사 등 상당수의 의료진이 혈장 기부 의사를 전해왔다. 병원에선 이들이 수월하게 기증할 수 있도록 휴가를 주는 방안을 검토 중이고 성남시도 차량 지원하는 방법 등을 고려하고 있다.      신 팀장은 ""당시 마음고생도 심하긴 했지만 그래도 이후 집단 감염에 대한 기틀이 만들어지고 해서 다행이라고 생각한다""며 ""이번 기증이 코로나19로 고생하는 환자들의 치료제를 개발하는 데 도움이 되었으면 좋겠다""고 말했다.      최모란 기자"
6,박능후 보건복지부장관이 지난 5월13일 오후 경기 용인시 기흥구 혈장치료제 개발 기업인 GC녹십자를 방문해 신종 코로나바이러스 감염증(코로나19) 완치자 혈장을 활용한 혈장 치료제 개발 상황을 살펴보고 있다. 2020.05.13
7,"경기 성남시 분당보건소 직원 5명이 코로나 19 혈장치료제 개발을 위해 혈장공여에 참여하고 있다.27일 시에 따르면 이들은 지난 3월  코로나19 집단감염 발생으로 역학조사 및 긴급대책반 활동 중에 감염돼 치료받고 완치된 직원들로,지난 22일 고려대학교안산병원에서 신체검사와 혈액검사를 통해 선별검사를 마쳤고 25일부터 순차적으로 혈장을 기증하고 있다.혈장은 혈액에서 백혈구와 적혈구를 제외하고 면역에 중요한 단백질이 포함된 액체 성분으로 완치자의 혈장에는 코로나19와 싸울 수 있는 항체가 있기 때문에 이를 바탕으로 치료제를 개발이 진행되고 있다.기증은 고려대학교안산병원, 계명대 동산병원, 경북대학교병원, 대구파티마병원 등 전국 4개 지정병원에서 받고 있다. 첫 번째 방문에서는 선별검사를 통해 헌혈 가능여부를 진단한 뒤, 두 번째 방문에서 혈장성분헌혈(약 500ml)을 실시한다.좌승훈기자"
8,"경기 성남시는 지난 3월 코로나19에 감염됐다 완치된 분당구보건소 직원 5명 전원이 코로나 19 혈장치료제 개발을 위한 혈장공여에 참여하기로 했다고 27일 밝혔다.이들은 관내 코로나19 집단감염 발생으로 역학조사와 긴급대책반 활동을 하다 감염돼 치료를 받고 완치된 직원들이다.이들 5명은 지난 22일 고려대학교 안산병원에서 신체검사와 혈액검사를 통해 선별검사를 마친데 이어 25일부터 순차적으로 혈장을 기증하고 있다.혈장은 혈액에서 백혈구와 적혈구를 제외하고 면역에 중요한 단백질이 포함된 액체 성분이다. 완치자의 혈장에는 코로나19와 싸울 수 있는 항체가 있기 때문에 치료제 개발에 결정적인 역할을 하는 것으로 알려져 있다. 현장 기증은 고려대학교 안산병원, 계명대 동산병원, 경북대학교병원, 대구 파티마병원 등 전국 4개 지정병원에서 가능하다. 첫 번째 방문에서 선별검사를 통해 헌혈 가능여부를 진단한 뒤, 두 번째 방문에서 혈장성분 헌혈(약 500ml)을 실시한다.기증자들은 “우리의 기증이 혈장 치료제 개발로 이어져 코로나19로 고생하는 환자들의 치료에 도움이 됐으면 좋겠다”며 “많은 완치자들이 사회적 낙인과 심리적 불안을 해소하고 혈장치료제 개발을 위한 혈장 공여에 동참해줬으면 좋겠다”고 말했다"
9,"신종 코로나바이러스 감염증(코로나19) 치료제 개발을 위한 전 세계 연구자들의 다양한 시도가 계속되고 있다. '렘데시비르'처럼 이미 긴급 승인을 통해 일부 환자들에게 적용된 약물도 있으며 전염병과는 전혀 관계없어 보이던 약물이 코로나19 치료제로 떠오르기도 한다. 28일 국가임상시험지원재단에 따르면 지난 22일 기준 임상시험 사이트인 클리니컬트라이얼(ClinicalTrials.gov)에 신규 등록된 코로나19 치료제 관련 약물 중재 임상시험은 905건으로 3상 이상 단계에 들어간 임상시험만 현재 350개가 넘는 것으로 파악된다.현재 코로나19 치료제 후보는 Δ코로나19 바이러스 감염을 억제하는 항바이러스제 Δ면역과잉반응으로 인한 사망 위험을 줄이는 자가면역치료제 Δ항체 치료제가 다수를 차지한다.◇에볼라·말라리아·HIV 등 항바이러스 치료제, 코로나19에 도전 현재 가장 유력한 코로나19 치료제는 미국 길리어드사이언스에서 에볼라 바이러스 치료제로 개발한 항바이러스제 '렘데시비르'다. 렘데시비르는 코로나19 바이러스의 RNA 복제를 막아 감염을 억제하는 기전을 갖고 있다.  렘데시비르는 미국을 시작으로 우리나라, 유럽 그리고 일본 등 주요 국가에서 코로나19 치료제로 긴급승인 받았다. 또한 제네릭(복제약) 제조사들과 계약해 전 세계 127개국에 치료제를 공급할 예정이다. 렘데시비르가 향후 코로나19 치료제로 정식 승인될 경우 전 세계적인 블록버스터 치료제가 될 확률이 높다.투자은행인 에스브이비 리링크(SVB Leerink)는 이달 초 렘데시비르가 2022년에 76억달러(약 9조1200억원)의 매출을 기록할 것으로 전망했다.인간면역결핍바이러스(HIV) 치료제인 미국 애브비의 '칼레트라(성분 로피나비어·리토나비르)'와 일본 후지필름에서 개발한 '아비간(성분 파비파라비르)'은 일부 코로나19 환자에 효과를 보이며 유력한 치료제 후보로 떠올랐으나 임상시험에서 안전성 및 효능을 입증하는데 실패했다. 또 다른 유명한 후보로 말라리아 치료제인 '하이드록시클로로퀸'과 '클로로퀸'을 들 수 있다. 이 약물은 도널드 트럼프 미국 대통령이 코로나19 판세를 바꿀 '게임체인저'라고 칭하면서 유명해졌다. 클로로퀸은 개발된지 오래돼 특허 문제에서 자유로워 가격이 저렴하고 알약 형태로 복용이 간편한 장점이 있다. 코로나19 초기 일부 임상시험에서 긍정적인 효과를 보였으나 이후 여러 임상에서 주요 효능평가 기준을 충족하지 못해 현재는 치료제 후보에서 상당히 멀어졌다.그밖에 우리 몸에서 바이러스 감염 및 증식을 억제하는 단백질인 '인터페론'이 코로나19 환자들의 증상을 개선하는데 효과가 있을 것으로 기대되며 현재 임상시험이 진행 중이다.© News1 최수아 디자이너◇관절염·혈액암·골수섬유증·탈모 치료용 면역치료제도 도전장 코로나19 환자 중 과잉 면역 반응인 '사이토카인 폭풍'으로 위중한 경우가 많이 나타나 기존 관절염·혈액암·골수섬유증 치료를 위한 면역치료제들이 앞다퉈 코로나19 환자에 임상시험을 적용 중이다.현재 임상시험 중인 프랑스의 사노피와 미국 리제네론의 '케브자라(성분 사릴루맙)', 스위스 로슈의 '악템라(성분 토실리주맙)', 미국 일라이릴리의 '올루미언트(성분 바리시티닙)' 그리고 스위스 노바티스의 '자카비(성분 룩솔리티닙)'는 모두 환자들의 과잉면역반응을 억제하는 면역치료제다.  국내 기업 중엔 셀트리온이 영국 옥스퍼드대학과 자가면역치료 바이오시밀러(복제약) '램시마'의 코로나19 치료를 위한 임상을 시작했다.최근에는 우리 몸에 다양한 영향을 미치는 호르몬을 코로나19 치료제 적용한 연구도 공개됐다.옥스퍼드대학은 지난 16일 합성 부신피질호르몬제인 '덱사메타손'이 중증 코로나19 환자들의 사망 위험을 크게 낮춰준다는 임상결과를 공개했다. 업계에선 덱사메타손은 면역 반응을 억제해 염증을 완화하는 효과가 있지만 남용될 경우 오히려 기저질환을 악화시킬 수 있어 아직은 조심스런 입장이다. 그 외에도 최근 남성 호르몬인 안드로젠이 코로나19 바이러스와 결합하는 안지오텐신2(ACE2) 수용체의 활성에 관여하는 점을 이용해 안드로젠을 억제하는 탈모 및 전립선비대증 치료제를 코로나19 치료에 적용하는 임상시험이 진행 예정이다.  ◇'항바이러스치료제 + 면역치료제'  병용요법도 시도 또한 2가지 이상의 약물을 함께 적용하는 '병용요법'도 시도되고 있다.병용 요법은 질환에 여러 기전으로 작용하는 약물을 적용해 내성을 줄이고 효능을 높이는 치료법이다. 병용요법은 이미 수년 전부터 항암치료에선 광범위하게 사용된다. 현재 미국 국립보건원(NIH)은 렘데시비르와 자가면역치료제인 올루미언트 병용요법을 시험 중이다. 국내에선 서울대병원이 참여해 국내 코로나19 환자들을 대상으로 임상시험이 시작됐다. 그밖에 로슈에서도 지난 5월부터 악템라와 렘데시비르 병용요법을 개시했다.◇릴리, 리제네론 등 코로나19 항체치료제 개발도 속도 우리 몸안에 침입한 코로나19를 직접 노리는 항체치료제 개발도 진행 중이다.일라이릴리가 개발한 항체치료제 'LY-CoV555'와 리제네론의 'REGN-COV2'은 코로나19 바이러스를 무력화시킬 수 있는 중화항체 치료제로 최근 임상시험에 들어갔다. 오는 7월과 8월에는 각각 셀트리온과 영국 아스트라제네카의 중화항체 치료제도 임상시험을 개시할 계획이다.특히 셀트리온은 이달 초 공개한 동물시험 결과에서 항체 치료제 후보물질이 코로나19 바이러스를 100분의 1 수준으로 감소시킨 것으로 나타나 기대를 모으고 있다.◇국내서도 코로나19 치료에 혈액제제, 항암제, 구충제 등 다양한 시도 중국내 제약사들도 코로나19 치료제 개발을 위해 다양한 연구를 진행하고 있다.종근당이 시험 중인 '나파벨탄'은 혈액항응고제 또는 급성췌장염 치료에 쓰이는 약물이다. 한국 파스퇴르연구소에서 진행한 인체 폐세포 시험 결과 렘데시비르 대비 수백 배의 항바이러스 효능을 보였다.그 외에도 일양약품의 백혈병치료제 '슈펙트', 부광약품의 B형 간염치료제 '클레부딘', 신풍제약의 말라리아치료제 '피라맥스' 그리고 엔지캠생명과학의 'EC-18'이 등이 임상시험 중이다. 또한 JW중외제약이 개발 중인 항암제를, 그리고 대웅제약이 자회사인 대웅테라퓨틱스를 통해 구충제인 '니클로사마이드' 성분의 코로나19 치료제를 개발 중이다.GC녹십자가 개발중인 혈장치료제는 코로나19에서 회복한 환자의 혈액에 포함된 코로나 중화항체를 분획해 치료제 형태로 만든 것이다. GC 녹십자는 글로벌 혈액제제 기업들이 참여한 '코로나19 혈장치료제 개발 얼라이언스'와 함께 혈장 치료제 개발에 나섰으며 이와 별개로 다음달 혈장치료제 'GC5131A'가 임상시험에 들어간다"
