,contents
0,"(지디넷코리아=안희정  기자)롯데홈쇼핑(대표 이완신) 식품·주방 전문 프로그램 ‘김나운의 요리조리’가 1주년을 맞이해 특집 방송을 진행하고, 할인 및 경품 행사를 진행한다고 29일 밝혔다.‘김나운의 요리조리’는 ‘집밥의 여왕’으로 불리는 방송인 김나운이 진행하는 프로그램으로 매주 수, 목요일 오후 5시 40분에 방송한다. 김나운이 직접 기획에 참여한 간편식품을 비롯해 다양한 먹거리를 선보이며, 살림 노하우까지 전하고 있다.1년간 누적 주문금액은 270억원에 달하며, ‘언양식 불고기’, ‘오리 주물럭’, ‘떡갈비’, ‘통낙지’, ‘돈가스’ 등 론칭한 상품 대부분이 롯데홈쇼핑 간편식품 매출 상위를 차지할 정도로 대표 프로그램으로 자리잡았다. 대표적인 인기상품 ‘언양식 불고기 와규한판’은 론칭 이후 28회 연속 매진 기록을 세웠으며, 현재까지 주문수량 총 14만 세트 판매, 주문금액은 75억원을 기록하고 있다.롯데홈쇼핑 방송이미지‘김나운의 요리조리’ 인기 비결은 믿을 수 있는 상품과 고객과의 적극적인 소통에 있다. 상품 기획부터 재료 선정까지 깐깐한 김나운의 노하우를 담아 롯데홈쇼핑 단독으로 선보이고 있으며, 온 가족이 즐길 수 있는 요리로 30대부터 60대까지 폭넓은 연령대의 고객들이 구매를 하고 있다. 상품 재 구매율도 일반 간편식품에 비해 두 배 가량 높은 수준이다. 방송 중 실시간 채팅 건수가 식품 방송 평균의 5배가 넘어 고객과 소통하고 공감하는 방송이라는 평가를 받고 있다.이에, 7월 1일과 2일 이틀간, 1주년 기념 특집 방송을 진행한다. ‘랜선 생일 파티’ 콘셉트로, 인기 상품을 선보이고 고객들이 보내준 축하 영상 및 편지를 소개하는 등 고객과 함께 소통하는 방송으로 꾸민다. 모바일 앱을 통해 구매 시 10% 할인 혜택을 제공하며 엘포인트 적립, 경품 추첨 이벤트 등도 준비했다.박형규 롯데홈쇼핑 리빙부문장은 “’김나운의 요리조리’ 프로그램이 고객들의 사랑 덕분에 1년 만에 인기 식품•주방 프로그램으로 자리매김할 수 있었다”며 “앞으로도 온 가족이 즐길 수 있는 상품과 방송을 통해 더욱 진실되고 건강한 프로그램으로 거듭날 계획”이라고 말했다.안희정 기자"
1,"롯데홈쇼핑 식품주방 전문 프로그램 김나운의 요리조리롯데홈쇼핑(대표 이완신) 식품·주방 전문 프로그램 '김나운의 요리조리'가 1주년을 맞이해 특집 방송을 진행하고, 할인 및 경품 등 다양한 혜택을 제공한다.'김나운의 요리조리'는 '집밥의 여왕'으로 불리는 방송인 김나운이 진행하는 프로그램으로 매주 수, 목요일 오후 5시 40분에 방송한다. 김나운이 직접 기획에 참여한 간편식품을 비롯해 다양한 먹거리를 선보이며, 살림 노하우까지 전하고 있다. 1년간 누적 주문금액은 270억원에 달하며, '언양식 불고기' '오리 주물럭' '떡갈비' '통낙지' '돈가스' 등 론칭한 상품 대부분이 롯데홈쇼핑 간편식품 매출 상위를 차지할 정도로 대표 프로그램으로 자리잡았다. 대표적인 인기상품 '언양식 불고기 와규한판'은 론칭 이후 28회 연속 매진 기록을 세웠으며, 현재까지 주문수량 총 14만세트 판매, 주문금액은 75억원을 기록하고 있다.'김나운의 요리조리' 인기 비결은 믿을 수 있는 상품과 고객 소통에 있다. 상품 기획부터 재료 선정까지 깐깐한 김나운의 노하우를 담아 롯데홈쇼핑 단독으로 선보이고 있다. 온 가족이 즐길 수 있는 요리로 30대부터 60대까지 폭넓은 연령대 고객이 구매를 하고 있다. 상품 재 구매율도 일반 간편식품에 비해 두 배가량 높은 수준이다. 방송 중 실시간 채팅 건수가 식품 방송 평균의 5배가 넘어 고객과 소통하고 공감하는 방송이라는 평가를 받고 있다.이에, 7월 1일과 2일 이틀간, 1주년 기념 특집 방송을 진행한다. '랜선 생일 파티' 콘셉트로, 인기 상품을 선보이고 고객들이 보내준 축하 영상 및 편지를 소개하는 등 고객과 함께 소통하는 방송으로 꾸민다. 모바일 애플리케이션(앱)을 통해 구매 시 10% 할인 혜택을 제공하며 엘포인트 적립, 경품 추첨 이벤트 등도 준비했다.박형규 롯데홈쇼핑 리빙부문장은 “'김나운의 요리조리' 프로그램이 고객 사랑 덕분에 1년 만에 인기 식품·주방 프로그램으로 자리매김할 수 있었다”며 “앞으로도 온 가족이 즐길 수 있는 상품과 방송을 통해 더욱 진실되고 건강한 프로그램으로 거듭날 계획”이라고 전했다.김정희기자"
2,"롯데홈쇼핑은 식품·주방 전문 프로그램 '김나운의 요리조리' 1주년을 맞아 매주 수요일과 목요일 오후 5시40분 특집 방송을 진행한다고 29일 밝혔다.'김나운의 요리조리'는 '집밥의 여왕'으로 유명한 방송인 김나운씨가 직접 기획한 간편식품과 먹거리, 살림 노하우를 알려주는 프로그램이다. 지난 1년간 누적 주문금액만 270억원에 달하는 인기 방송이다. 특히 김씨가 소개한 '언양식 불고기 와규한판'은 론칭 이후 28회 연속 '품절 행진'을 이어가고 있다. 현재까지 주문 수량은 총 14만 세트, 매출액은 75억원에 달한다.롯데홈쇼핑은 다음달 1일과 2일 이틀간 '김나운의 요리조리' 론칭 1주년을 기념해 10% 할인 혜택과 경품을 제공하는 특집 방송을 연다. '랜선 생일 파티'를 콘셉트로 소비자가 보내온 축하 영상과 편지를 소개하는 코너도 마련했다.박형규 롯데홈쇼핑 리빙부문장은 ""'김나운의 요리조리' 프로그램이 고객들의 사랑 덕분에 1년 만에 인기 식품·주방 프로그램으로 자리매김할 수 있었다""며 ""앞으로도 온 가족이 즐길 수 있는 상품과 방송을 통해 더욱 진실되고 건강한 프로그램으로 거듭날 계획""이라고 말했다"
3,"롯데홈쇼핑의 '김나운 요리조리' 방송 화면. 롯데홈쇼핑 제공. 롯데홈쇼핑은 식품·주방 전문 프로그램 '김나운의 요리조리'가 1주년을 맞아 특집 방송을 열고 할인 및 경품 등 다양한 혜택을 제공한다고 29일 밝혔다.   '김나운의 요리조리'는 '집밥의 여왕'으로 불리는 방송인 김나운이 진행하는 프로그램이다. 김나운이 직접 기획에 참여한 간편식품을 비롯해 다양한 먹거리를 선보이며, 살림 노하우까지 전하고 있다. 1년간 누적 주문금액은 270억원으로 '언양식 불고기', '오리 주물럭', '떡갈비', '통낙지', '돈가스' 등 론칭한 상품 대부분이 롯데홈쇼핑 간편식품 매출 상위를 차지할 정도로 대표 프로그램으로 자리잡았다. 대표적인 인기상품 '언양식 불고기 와규한판'은 론칭 이후 28회 연속 매진 기록을 세웠으며, 현재까지 주문수량 총 14만 세트 판매, 주문금액은 75억원을 기록하고 있다.   '김나운의 요리조리' 인기 비결은 믿을 수 있는 상품과 고객과의 적극적인 소통에 있다. 상품 재 구매율도 일반 간편식품에 비해 두 배 가량 높은 수준이다. 방송 중 실시간 채팅 건수가 식품 방송 평균의 5배가 넘어 고객과 소통하고 공감하는 방송이라는 평가를 받고 있다.   7월 1일부터 이틀간 진행되는 1주년 특별 방송은 '랜선 생일 파티' 콘셉트로, 인기 상품을 선보이고 고객들이 보내준 축하 영상 및 편지를 소개하는 등 고객과 함께 소통하는 방송으로 꾸민다. 모바일 앱을 통해 구매 시 10% 할인 혜택을 제공하며 엘포인트 적립, 경품 추첨 이벤트 등도 준비했다.   박형규 롯데홈쇼핑 리빙부문장은 ""'김나운의 요리조리' 프로그램이 고객들의 사랑 덕분에 1년 만에 인기 식품·주방 프로그램으로 자리매김할 수 있었다""며 ""앞으로도 온 가족이 즐길 수 있는 상품과 방송을 통해 더욱 진실되고 건강한 프로그램으로 거듭날 계획""이라고 말했다.   "
4,"NS홈쇼핑 띵라이브 하이포크 고기파티NS홈쇼핑 V커머스 띵라이브에서 30일 오후 7시부터 8시까지 '새우젓으로 맛을 낸 햄'과 '그때 그 삽겹살+목살' 특집방송을 통해 판매한다.이날 방송하는 '새우젓으로 맛을 낸 햄'과 '그때 그 삽겹살+목살'은 친환경 축산전문기업 팜스코의 돼지고기 브랜드 '하이포크' 상품으로 차별화된 맛과 품질을 내세웠다.먼저 '새우젓으로 맛을 낸 햄'은 시중에 많이 판매되는 캔햄과 달리 수입육과 닭고기 혼합, 기계발골육(살코기를 발라내고 남은 뼈에 붙은 고기를 기계로 분리한 것)을 쓰지 않은 100% 국내산 돼지고기로 만든 햄이다.여기에 발색제, 합성향료, 산화방지제 등 합성첨가물을 넣지 않고, 돼지고기와 찰떡 궁합인 국내산 광천 토국 숙성 새우젓을 넣어 감칠맛을 높였다. 이날 띵라이브 방송에서는 '새우젓으로 맛을 낸 햄 200g' 13캔을 기존 판매가보다 10% 할인된 2만6910원에 판매한다.함께 방송하는 '하이포크 그때그삼겹살+목살 세트'는 레트로 열풍 속에 큰 인기를 얻고 있는 냉동삼겹살과 목살을 2030 세대의 감성으로 만든 뉴트로 상품이다.프리미엄 한돈 브랜드 '하이포크'의 돼지고기를 가장 맛있는 두께 삼겹살 7㎜, 목살 5㎜로 슬라이스해, 별도 해동과정 없이 바로 구워먹을 수 있다. '하이포크 그때그삼겹살+목살 세트'는 NSmall의 '씽씽배송' 서비스를 통해 12시 전까지 주문하면, 다음날 받아볼 수 있다. 이날 방송에서는 삼겹살 5봉, 목살 5봉 등 총 10봉을 기존 판매가보다 10% 할인된 3만6810원에 판매한다.NS홈쇼핑의 V커머스 채널 '띵라이브'는 NSmall 앱과 카카오톡 친구추가를 통한 라이브 방송을 통해 시청할 수 있다.박차라 NS홈쇼핑 V커머스팀 PD는 “누구나 좋아하는 캔햄과 냉동삼겹살을 더욱 건강하고 맛있게 즐길 수 있도록 방송을 준비했다”며 “함께 소통하고 즐기는 방송에 참여하시고, 혼밥 조리 꿀팁과 구매 혜택도 함께 누리시길 바란다”고 말했다.김정희기자"
5,"30일 오후 7시부터 8시까지, 10% 할인된 가격으로 판매(지디넷코리아=안희정  기자)NS홈쇼핑 V커머스 띵라이브에서 30일 오후 7시부터 8시까지 '새우젓으로 맛을 낸 햄'과 '그때 그 삽겹살+목살' 특집방송을 통해 판매한다고 29일 밝혔다.이날 방송하는 '새우젓으로 맛을 낸 햄'과 '그때 그 삽겹살+목살'은 친환경 축산전문기업 팜스코의 돼지고기 브랜드 '하이포크' 상품으로 차별화된 맛과 품질을 내세웠다.먼저 '새우젓으로 맛을 낸 햄'은 시중에 많이 판매되는 캔햄(can ham)과 달리 수입육과 닭고기 혼합, 기계발골육(살코기를 발라내고 남은 뼈에 붙은 고기를 기계로 분리한 것)을 쓰지 않은 100% 국내산 돼지고기로 만든 햄이다.NS홈쇼핑여기에 발색제, 합성향료, 산화방지제 등의 합성첨가물을 넣지 않고, 돼지고기와 찰떡 궁합을 자랑하는 국내산 광천 토국 숙성 새우젓을 넣어 감칠맛을 높였다.이날 띵라이브 방송에서는 '새우젓으로 맛을 낸 햄 200g' 13캔을 기존 판매가보다 10% 할인된 2만6천910원에 판매한다.함께 방송하는 '하이포크 그때그삼겹살+목살 세트'는 레트로(Retro) 열풍 속에 큰 인기를 얻고 있는 냉동삼겹살과 목살을 2030 세대의 감성으로 만든 뉴트로(newtro) 상품이다.프리미엄 한돈 브랜드 '하이포크'의 돼지고기를 가장 맛있는 두께 삼겹살 7mm, 목살 5mm로 슬라이스해, 별도 해동과정 없이 바로 구워먹을 수 있다.한입 크기로 굽자마자 바로 먹을 수 있고 1봉에 180g 분량으로 혼자서 먹기에도 부담이 없다. 오삼불고기, 두부김치 등 각종 요리에 활용하기에도 적합하다.'하이포크 그때그삼겹살+목살 세트'는 NS몰의 '씽씽배송' 서비스를 통해 12시 전까지 주문하면, 다음날 받아볼 수 있다. 이날 방송에서는 삼겹살 5봉, 목살 5봉 등 총 10봉을 기존 판매가보다 10% 할인된 3만6천810원에 판매한다.이날 띵라이브에는 국내유일 '한식대가' 타이틀을 보유한 전석민 쇼핑호스트가 출연해  '새우젓으로 맛을 낸 햄'과 '그때 그 삽겹살+목살'을 더욱 맛있게 먹을 수 있는 간단한 조리 꿀팁을 소개할 예정이며, 생방송 중 NS톡에서 구매인증을 한 고객에게는 1천원부터 5천원까지 적립금을 드리는 '복불복 룰렛 찬스' 이벤트도 함께 진행한다.NS홈쇼핑의 V-커머스 채널 '띵라이브'는 NS몰 앱과 카카오톡 친구추가를 통한 라이브 방송을 통해 시청할 수 있다.NS홈쇼핑 V-커머스팀 박차라 PD는 ""누구나 좋아하는 캔햄과 냉동삼겹살을 더욱 건강하고 맛있게 즐길 수 있도록 방송을 준비했다""라며, ""함께 소통하고 즐기는 방송에 참여하시고, 혼밥 조리 꿀팁과 구매 혜택도 함께 누리시길 바란다""라고 말했다.안희정 기자"
6," 신약개발 전문기업 바이오리더스(142760)는 면역증진 건강기능식품 ‘면역엔피지에이케이(PGA-K)’가 지난 28일 NS홈쇼핑에서 완판을 기록했다고 29일 밝혔다.이 회사는 암 치료제로 개발 중인 신약후보물질 ‘폴리감마글루탐산’을 기반으로 포 형태의 건강기능식품 면역엔피지에이케이를 판매 중이며 제조사는 계열사인 코넥스 상장사 네추럴에프앤피다.회사 관계자에 따르면 “폴리감마글루탐산을 경구 투여한 임상시험 결과 체내 면역세포인 NK세포(자연살해세포)가 52.3% 이상 증가하는 등 면역력 강화에 효과적”이라면서 “NK세포는 체내 선천적 면역시스템 중 가장 핵심 역할을 하는 면역세포로 바이러스에 감염된 세포나 몸에서 생성된 암세포를 정확히 식별해 소멸시킨다”고 설명했다.홈쇼핑 방송이 진행됐던 지난 28일 오전 8시 48분에는 ‘NK세포’가 국내 주요 포털 사이트 실시간 검색어 1위에도 오르는 등 이목이 집중됐다. 회사 관계자는 “최근 신종 코로나바이러스 감염증(코로나19) 확산으로 면역력에 대한 중요성이 부각되면서 제품에 대한 관심도 높아졌다”고 말했다. 이어 그는 “방송 시간(64분) 동안 초당 22포에 해당하는 총 8만4960포의 면역엔피지에이케이가 판매됐다”면서 “홈쇼핑 최초로 선보인 제품에 대해 성공적인 런칭 방송을 진행한 것”이라고 밝혔다. 또한 “수요 급증에 따른 물량 부족으로 구매하지 못한 소비자들을 위해 2차 방송을 진행할 예정”이라며 “다음달 9일 같은 채널을 통해 홈쇼핑 판매가 이뤄질 계획”이라고 덧붙였다.지난 17일 이 회사는 세계 최대 근육질환 컨퍼런스인 ‘근위축증협회 임상·과학 컨퍼런스(MDA, Muscular Dystrophy Association Clinical and Scientific Conference)’에서 이중 항원 발현 유산균을 이용한 새로운 근육질환 치료 기술에 대해 발표한 바 있다.회사는 이 기술을 활용해 질환 치료 효과를 높이고 뒤쉔형 근이영양증(DMD·근이영양증 중 가장 빈도가 높은 유전성 질환) 치료제인 ‘BLS-M22’의 적응증을 노인성 근감소증(Sarcopenia)을 포함한 다양한 근육 질환으로 확대할 계획이다.한편 이 회사의 올해 1분기 매출액은 200억5585만원으로 전년 동기 대비 22.2% 감소했으며 영업이익은 같은 기간 적자 지속했다.유준하 "
7," 이완신 롯데홈쇼핑 대표가 포스트 코로나를 대비해 파트너사의 의견을 직접 청취하고, 상생 협력관계를 구축하기 위해 현장 소통 강화에 나섰다. 롯데홈쇼핑은 이 대표가 지난 26일 충북 제천에 위치한 건강기능식품 제조업체 코스맥스바이오를 방문해 거래 과정에 대한 의견을 청취하고 포스트 코로나에 대비해 협력관계를 강화하기 위한 방안을 논의했다고 28일 밝혔다. 또한 내부 시설과 생산라인을 돌아보며 제품 제조과정을 직접 보고, 여름철 식품 안전사고가 집중적으로 발생하는 점을 고려해 위생상태도 점검했다. 이외에도 이달 초 론칭한 신선식품 자체 브랜드 ‘하루일과’ 사과를 선물로 전달했다.이날 방문은 파트너사의 목소리를 직접 청취하고 반영해, 보다 실질적인 상생 활동을 전개하고자 하는 현장경영의 일환으로 마련됐다. 이 대표는 지난 2017년 롯데홈쇼핑에 부임한 이후 정기적으로 파트너사를 방문해 애로사항을 점검하고, 개선점을 모색하는 등 소통을 이어왔으나 올해에는 코로나19로 진행하지 못했다.이완신 롯데홈쇼핑 대표는 “코로나19 위기 극복을 위해 파트너사와 상생 협력을 최우선으로 삼고 자금 지원, 입점 상담, 상품 판매 등 실질적인 지원을 이어오고 있다”며 “파트너사와 소통 기회를 더욱 확대해 상호 신뢰를 바탕으로 지속 성장할 수 있는 방안을 실행해 나갈 것”이라고 말했다. "
8," 이완신 롯데홈쇼핑 대표가 포스트 코로나를 대비해 파트너사의 의견을 직접 청취하고, 상생 협력관계를 구축하기 위해 현장 소통 강화에 나섰다.  롯데홈쇼핑은 이 대표가 지난 26일 충북 제천에 위치한 건강기능식품 제조업체 코스맥스바이오를 방문해 거래 과정에 대한 의견을 청취하고 포스트 코로나에 대비해 협력관계를 강화하기 위한 방안을 논의했다고 28일 밝혔다. 또한 내부 시설과 생산라인을 돌아보며 제품 제조과정을 직접 보고, 여름철 식품 안전사고가 집중적으로 발생하는 점을 고려해 위생상태도 점검했다. 이외에도 이달 초 론칭한 신선식품 자체 브랜드 '하루일과' 사과를 선물로 전달했다.이날 방문은 파트너사의 목소리를 직접 청취하고 반영해, 보다 실질적인 상생 활동을 전개하고자 하는 현장경영의 일환으로 마련됐다. 이 대표는 지난 2017년 롯데홈쇼핑에 부임한 이후 정기적으로 파트너사를 방문해 애로사항을 점검하고, 개선점을 모색하는 등 소통을 이어왔으나 올해에는 코로나19로 진행하지 못했다.이완신 롯데홈쇼핑 대표는 ""코로나19 위기 극복을 위해 파트너사와 상생 협력을 최우선으로 삼고 자금 지원, 입점 상담, 상품 판매 등 실질적인 지원을 이어오고 있다""며 ""파트너사와 소통 기회를 더욱 확대해 상호 신뢰를 바탕으로 지속 성장할 수 있는 방안을 실행해 나갈 것""이라고 말했다. 김아름기자"
9," 롯데홈쇼핑은 이완신 대표가 포스트 코로나를 대비해 파트너사의 의견을 직접 청취하고, 상생 협력관계를 구축하기 위해 현장 소통 강화에 나섰다고 28일 밝혔다.  이 대표는 지난 26일 충북 제천에 위치한 건강기능식품 제조업체 코스맥스바이오를 방문해 롯데홈쇼핑과 거래 과정에 대한 의견을 듣고, 포스트 코로나에 대비해 협력관계를 강화하기 위한 방안을 논의했다. 또한 내부 시설과 생산라인을 돌아보며 제품 제조과정을 보고 여름철 식품 안전사고가 집중적으로 발생하는 점을 고려해 위생상태도 점검했다. 이외에도 이달 초 론칭한 신선식품 자체 브랜드 ‘하루일과’ 사과를 선물로 전달했다.이날 방문은 파트너사의 의견을 직접 청취하고 실질적인 상생 활동을 전개하고자 하는 현장경영의 일환으로 마련됐다. 이 대표는 지난 2017년 롯데홈쇼핑에 부임한 이후 정기적으로 파트너사를 방문해 애로사항을 점검하고 개선점을 모색하는 등 소통을 이어왔다. 롯데홈쇼핑은 지난 1월 쉐라톤 서울 팔래스 강남 호텔에서 파트너사 실무 담당자들을 초청해 ‘동반성장 포럼’을 진행하기도 했다. 올해는 코로나19로 활동을 잠정 중단했었지만 첫 파트너사 방문을 계기로 현장경영을 재개했다.이 대표는 “코로나19 위기 극복을 위해 파트너사와 상생 협력을 최우선으로 삼고 자금 지원, 입점 상담, 상품 판매 등 실질적인 지원을 이어오고 있다”라며 “파트너사와 소통 기회를 더욱 확대해 상호 신뢰를 바탕으로 지속 성장할 수 있는 방안을 실행해 나갈 것”이라고 말했다. 1984년 설립된코스맥스바이오는 건강기능식품을 직접 개발해 고객사에 납품하는 제조자개발생산(ODM) 회사다. 지난달 롯데홈쇼핑이 최초로 선보인 건강식품 자체 브랜드 ‘데일리 밸런스(Daily Balance)’ 제조에 참여한 파트너사이다. 첫 상품인 ‘프렌치 콜라겐 5000’은 현재까지 2회 방송 동안 주문수량 3000건, 주문금액 7억5000만원으로 연속 매진을 달성했다.김무연 "
