,contents
0,"화장품에 흰 피부 강조하는 말 쓰지 않기로 세계 최대 화장품 회사 프랑스 로레알이 자사 화장품 명칭과 광고에 '미백(whitening)'이란 표현을 쓰지 않기로 했다. 백인의 피부가 다른 인종의 피부보다 우월하다는 인식을 심어줄 수 있다는 이유에서다.로레알은 26일(현지 시각) ""화장품에서 흰 피부를 강조하는 '미백' '흰(white)' '밝은(fair)' 등의 단어를 제거하겠다""고 밝혔다. 로레알의 미백 화장품은 그간 아시아·아프리카 등에서 주로 판매돼 왔다고 로이터통신은 전했다. 로레알은 이달 초 소셜미디어를 통해 ""흑인 사회와 연대하고, 어떤 불의에도 반대한다""고 올리며 반(反)인종차별 지지 선언을 발 빠르게 내놓기도 했다.유럽의 대표적 소비재 기업 유니레버는 25일 자사 브랜드인 '페어 앤드 러블리(Fair & Lovely·밝고 사랑스러운)'가 인종 편견을 부추긴다는 지적을 받자 브랜드 명칭을 변경하겠다고 밝혔다. 새 명칭엔 '페어' 등 피부색을 연상시키는 단어가 포함되지 않을 예정이다.제약 업체 존슨앤드존슨도 클린앤클리어·뉴트로지나 등 자사 브랜드의 미백 크림을 중동을 비롯한 아시아 시장에서 판매하지 않겠다고 19일 발표했다. 앞서 존슨앤드존슨은 유색인종을 배려한 검은색 반창고를 출시한다고도 했다.[임규민 기자"
1," 세계 최대 화장품 회사인 로레알이 ‘화이트닝(미백), 흰, 연한’ 등 단어가 인종차별을 유발한다며 마케팅과 광고에서 해당 표현을 쓰지 않겠다고 밝혔다. 프랑스의 한 공항 내 로레알 매장  ⓒ 로이터=뉴스1 27일(현지시간) AP통신 등에 따르면 최근 기업들이 반인종차별 지지를 선언하는 가운데, 로레알도 ‘미백’이라는 단어가 백인의 피부가 다른 인종의 피부보다 우월하다는 인식을 심어줄 수 있다며 앞으로 흰 피부 관련 용어는 사용하지 않겠다고 선언했다.앞서 이달 초 로레알은 인종차별 이슈가 불거진 뒤 소셜미디어에서 “흑인 사회와 연대하고, 어떤 불의에도 반대한다”며 반인종차별 지지를 외쳤지만, 자사 크림에 쓰여진 '미백'이란 단어 때문에 비난을 면치 못했다.로이터통신에 따르면 로레알의 미백 크림은 아시아, 아프리카, 카리브해 국가에서 판매율이 높다. 통신은 이들 국가들이 인종적으로 백인종이 다수가 아님에도 여성들 사이에서 흰 피부가 인기라고 전했다./사진제공=트위터 캡쳐  로레알 외에도 유럽의 다국적 생활용품 회사인 유니레버도 지난 25일 자사 브랜드인 ‘페어 앤드 러블리(밝고 사랑스러운)’ 이라는 제품명이 인종에 대한 편견을 부추긴다는 지적에 브랜드 명칭을 변경하겠다고 밝혔다. 새 이름엔 ‘페어’라는 피부색을 연상시키는 단어는 삭제될 예정이다. 제약회사이자 화장품 제조사인 존슨앤존슨은 아시아와 중동 시장에서 판매되는 자사 브랜드의 미백 크림 판매를 아예 중단한다고 밝혔다. 또 유색인종을 위한 검은색 등의 여러 색의 반창고를 출시하기로 했다.최연재 인턴기자"
2,동영상 뉴스     
3,"코리아나화장품의 더마 코스메틱 브랜드 '프리엔제'가 건강한 성분을 담아 마일드한 클렌징을 도와줄 '워터리 클렌징 밀크'를 출시했다고 29일 밝혔다.새롭게 선보이는 '프리엔제 워터리 클렌징 밀크'는 식물 유래 계면 활성제와 워터 캡처 젤링 시스템을 적용한 밀크 제형이 메이크업과 노폐물을 흡착해 말끔한 클렌징 효과를 선사한다. 별도의 2차 세안 없이 물세안 만으로도 산뜻하게 마무리되는 것이 특징이다.'식물성 콤플렉스'와 '유산균 발효 성분' 함유로 클렌징 후 예민해질 수 있는 피부 진정에 도움을 주며, 프리엔제만의 특별한 성분인 '안젤리카 콤플렉스'를 담아 외부환경으로부터 피부를 보호하는 데 도움을 준다.이 외에도 세라마이드와 히알루론산 성분이 피부의 유수분 밸런스를 맞춰 클렌징 후 들뜰 수 있는 각질을 순하고 촉촉하게 케어해 준다.코리아나 화장품 관계자는 ""프리엔제 워터리 클렌징 밀크는 저자극 테스트를 완료한 것은 물론 2차 세안과 같은 클렌징의 단계를 줄여 더욱 마일드한 클렌징을 도와주는 제품으로 순한 타입의 클렌징 제품을 찾으시는 분에게 적극 추천하는 제품""이라고 말했다.☞공감언론 뉴시스"
4," 국내 바이오시밀러(바이오의약품 복제약) 시장을 개척하면서 '코리아 바이오' 산업을 대표하는 기업인이 된 서정진 셀트리온그룹 회장에게도 아픈 손가락이 존재한다. 그룹의 본업인 바이오의약품 사업은 승승장구하고 있지만 신성장동력으로 추진했던 엔터테인먼트와 화장품 사업은 지지부진하다. 올해 말 은퇴를 예고한 서정진 회장에게 실패한 사업의 꼬리표로 평가될지 관심이 집중된다.셀트리온그룹은 바이오의약품 개발 및 생산을 담당하는 셀트리온, 바이오의약품의 글로벌 유통 판매 및 마케팅을 총괄하는 셀트리온헬스케어, 개량 합성 신약 및 케미컬의약품 개발·생산 전문기업인 셀트리온제약 등이 그룹의 핵심사업부문이다. 바이오사업 외 화장품 전문기업인 셀트리온스킨큐어와 드라마 및 영화 제작, 매니지먼트 회사인 셀트리온엔터테인먼트는 그룹의 새 성장동력으로 투자된 사업이다.그룹의 본업인 바이오시밀러 사업은 고공행진 중이다. 올해 1분기 셀트리온의 매출은 3728억 원, 영업이익 1202억 원을 기록했다. 전년 동기 대비 매출과 영업이익은 각각 68.2%, 55.4% 상승했다. 미국과 유럽 등 글로벌 빅마켓에서 주력 제품 램시마(자가면역질환 치료제)와 트룩시마(혈액암 치료제), 허쥬마(유방암 치료제) 등의 점유율이 증가하면서 실적이 뛰었다.셀트리온은 최근 다국적 제약사 다케다제약의 아시아·태평양 지역 의약품 사업을 인수했다. 이 계약으로 18개 제품 특허와 상표, 판매권리를 확보하면서 글로벌 종합제약사로 도약 발판을 마련하게 됐다.또 셀트리온은 신종 코로나바이러스 감염증(코로나19) 치료제 개발 경쟁에서도 한발 앞서 나가며 회사의 가치를 높이고 있다. 코로나19 치료제 개발을 진두지휘하는 서정진 회장은 ""내달 16일부터 코로나19 치료제의 인체 임상에 들어간다""고 밝히기도 했다.셀트리온그룹은 바이오 사업에서 눈에 띄는 성장을 보이고 있지만 사업다각화로 추진한 일부 사업은 부진의 늪에서 빠져나오지 못하고 있다.올해 1분기 셀트리온의 매출은 3728억 원, 영업이익 1202억 원을 기록했다. 전년 동기 대비 매출과 영업이익은 각각 68.2%, 55.4% 상승했다. /더팩트 DB바이오화장품 기업인 셀트리온스킨큐어는 그룹의 본업인 바이오 산업과 연관성이 높다. 의학적으로 검증된 성분을 화장품에 넣은 '코스메슈티컬'이 시장의 새로운 트렌드로 자리 잡고 있어서다. 이 시장에 많은 제약·바이오 기업들이 뛰어들었다. 셀트리온스킨큐어는 지난 2013년에 후발주자로 시장에 합류했다. 서정진 회장이 셀트리온스킨큐어 지분 69.66%를 보유하고 있다. 특수관계인 5명의 지분 12.57%와 서 회장의 지분을 더하면 82.23%다. 서 회장의 지배력이 높은 회사로 볼 수 있다.셀트리온스킨큐어는 설립 직후 당대 톱스타인 배우 김태희를 모델로 발탁해 업계에서 주목을 받았다. 또 배우 장동건과 한지민, 이범수 등을 브랜드별 메인 모델로 채택하면서 제품 알리기에 열을 올렸지만, 수익과 연결되지 않았다.셀트리온스킨큐어는 설립 후 지속해서 적자를 기록하고 있다. 금융감독원 전자공시시스템을 보면 셀트리온스킨큐어의 최근 3년간 영업손실은 2017년 361억 원, 2018년 172억 원, 지난해 129억 원을 냈다. 올해 1분기 영업손실은 13억 원을 기록했다. 업계에서는 셀트리온스킨큐어가 지나친 판관비로 인해 수익성을 악화시켰다고 보고 있다.서정진 회장은 2017년 장남인 서진석 수석부사장을 셀트리온스킨큐어 대표로 앉히면서 화장품 사업에 힘을 주는 모습을 보이기도 했다. 하지만 서진석 부사장은 임기 만료 전인 지난해 3월 셀트리온연구소로 발령을 받았다. 셀트리온스킨큐어의 부진이 지속하자 발을 빼는 모양새로 비치고 있다.회사의 규모도 축소되고 있다. 셀트리온스킨큐어 직원은 2017년 12월 155명(기간제 근로자 제외)에서 2018년 12월 135명으로 감소했고 지난해 12월에는 117명으로 줄었다. 인력 축소는 실적과 연관이 있는 것으로 보인다.다만 셀트리온스킨큐어 관계자는 ""지난해 말 론칭한 이너뷰티 브랜드 이너랩이 시장에서 좋은 평가를 받고 있고 다양한 뷰티·헬스 제품을 출시하고 있다""라며 실적 기대감을 드러냈다.셀트리온스킨큐어의 영업손실은 2017년 361억 원, 2018년 172억 원, 지난해 129억 원을 기록했다. /더팩트 DB서정진 회장의 또 다른 관심 분야는 엔터테인먼트다. 지난 2012년 설립된 셀트리온엔터테인먼트는 셀트리온홀딩스가 지분 100%를 보유하고 있으며 서 회장은 셀트리온홀딩스 지분 95.51%를 들고 있다. 셀트리온엔터테인먼트의 경영권 역시 서 회장이 쥐고 있는 셈이다.엔터테인먼트는 바이오와 동떨어진 분야로 볼 수 있지만 화장품과 시너지를 낼 수 있는 분야다. 셀트리온엔터테인먼트에서 제작하는 드라마나 영화에 간접광고(PPL)로 셀트리온스킨큐어 제품을 선보일 수 있다. 또 소속 배우들이 한류스타로 성장하게 되면 화장품 사업과 연동할 수 있게 된다. 현재 셀트리온엔터테인먼트의 소속배우로는 이범수를 비롯해 김강현, 박수영, 이호철, 황희 등 9명이 소속돼 있다.두 회사 간 시너지를 발휘하기 위해서는 셀트리온엔터테인먼트에서 제작하는 드라마와 영화의 흥행이 필수적이다. 셀트리온엔터테인먼트는 그동안 두 편의 영화를 제작했다. 2016년 개봉한 '인천상륙작전'은 관객수 705만 명을 기록하면서 손익분기점 500만 명을 훌쩍 뛰어넘었다. 하지만 2018년 개봉한 '자전차왕 엄복동'은 관객수 17만 명을 기록하며 처참한 실패를 맛봤다. 당시 서정진 회장은 '자전차왕 엄복동'에 150억 원을 투자하며 영화 사업에 공격적인 행보를 보였지만 영화는 손익분기점인 400만 명에 턱없이 부족한 성적표를 냈다. 최근에는 코로나19로 인해 극장가가 침체기를 겪고 있어 셀트리온엔터테인먼트의 영화 사업에도 영향을 미치고 있다.드라마로는 지난해 방영된 SBS 드라마 '배가본드'가 대표적이다. 이 드라마의 최고 시청률은 13%를 기록했다. 이밖에 2019년 JTBC드라마 '나의 나라', 2018년 tvN드라마 '식샤를 합시다', 2017년 JTBC드라마 '그냥 사랑하는 사이', KBS드라마 '매드독' 등의 제작에 참여했다.셀트리온엔터테인먼트는 왕성한 제작 활동에도 수익성은 악화하고 있다. 셀트리온엔터테인먼트의 지난 2016년 매출과 영업이익은 각각 228억 원, 8억 원을 달성했으며 2017년에는 매출 257억 원, 영업이익 5억 원을 기록했다. 2018년에는 25억 원의 영업손실을 기록하며 적자로 돌아섰고 지난해에는 38억 원의 영업손실을 냈다.셀트리온엔터테인먼트는 지금까지 두 편의 영화를 제작했다. 그 중 '자전차왕 엄복동'(오른쪽 포스터)은 처참하게 흥행에 실패했다. /셀트리온엔터테인먼트 홈페이지업계에서는 드라마 제작 매출액보다 매출원가가 높아 수익을 내지 못하는 것으로 보고 있다. 셀트리온엔터테인먼트 관계자는 회사 수익성 개선에 대해 ""할 말 없다""며 말을 아꼈다.고 김우중 전 대우그룹 회장에게 눈에 띄어 대우 임원까지 올랐던 서정진 회장은 타고난 사업가로 평가를 받는다. 하지만 서 회장이 화장품과 엔터테인먼트 사업을 쉽게 보고 뛰어든 것은 아니냐는 시각도 있다. 서 회장은 국내에서 신규 시장이었던 바이오 사업에서 성공했다. 그가 사업다각화로 진출한 화장품과 엔터테인먼트는 바이오와 달리 경쟁이 치열한 산업이라는 점에서 기존 경영 방식과 다르게 접근해야 한다는 지적이 나온다.한편, 서정진 회장은 지난해 1월 신년회에서 ""2020년 말에 은퇴하겠다""라고 공식 선언했다. 그는 올해 말 회사를 전문경영인 체제로 전환하고, 자신의 아들에게는 이사회 의장을 맡길 예정이라고 했다. 서 회장은 아들에게 경영권을 물려주지 않고 소유와 경영을 분리하겠다는 뜻을 강조했다"
5,"진우바이오는 히알루론산 파이버를 함유한 화장품의 제품화를 진행 중이며 올해 안에 출시할 예정이라고 29일 밝혔다.업체에 따르면 고형화 히알루론산 기술 플랫폼(Solid Hyaluronic Acid Technology Platform, SHTP)을 기반으로 히알루론산 파이버(HA Fiber)를 함유한 스크럽 화장품 개발에 성공했으며, 올 6월 중소벤처기업부 지원 연구과제에 선정(수행기간 2년, 정부지원금 총 5억원) 돼 일본의 한 글로벌 화장품 업체와 현재 제품화를 진행 중이다.히알루론산은 콜라겐, 엘라스틴과 더불어 피부 3대 구성요소 중 하나로 친수성(親水性)이 높아 보습작용이 뛰어난 것으로 알려졌다.  권동건 대표는 “고형화 히알루론산 기술 플랫폼(SHTP) 구축을 완료하고 이를 활용한 첫 상품이 올해 출시된다”며 “진우바이오만이 만들고 판매하는 상품으로 세계시장을 공략할 것”이라고 말했다.진우바이오는 이와 관련해 한국보건산업진흥원이 운영 중인 의료 및 헬스케어 스타트업 육성기관 서울바이오허브로부터 홍보 등을 비롯한 각종 사업화 지원을 받고 있다고 밝혔다.박해식 동아닷컴 기자"
6,"글로벌 식품·화장품 기업들이 최근 ‘인종차별 흔적 지우기’에 안간힘을 쓰고 있다. 흑인 조지 플로이드 사망 사건으로 전세계적으로 인종차별 철폐 시위가 이어지는 가운데, 트위터 등 소셜네트워크서비스 중심으로 인종차별적 요소가 담긴 제품의 판매 중단·불매를 요청이 끊이지 않고 있기 때문이다. 기업 입장에서는 인종차별 이슈에서 피하는 것이 곧 매출을 지키는 일인 셈이다.로레알, 앞으로 ‘미백’·’흰’·’밝은’ 등의 용어 안 쓴다세계 최대 화장품 업체 로레알이 향후 제품 홍보 문구에서 ‘하얀 피부’를 강조하는 단어들을 없애기로 했다고 로이터통신 등이 26일(이하 현지 시각) 보도했다. 보도에 따르면, 로레알 측 대변인은 이날 “화장품에 ‘미백(whitening)’ ‘흰(white)’, ‘밝은(fair)’, ‘환한(light)’과 같은 단어를 제거하기로 했다”고 밝혔다.아시아 등지에서 판매 중인 미백크림 '페어 앤드 러블리' /트위터 캡처 글로벌 생활용품 업체인 유니레버 인도 지사 역시 ‘페어 앤드 러블리(fair and lovely)’가 인종 편견을 부추긴다는 지적을 수용하고 다른 이름을 쓰겠다고 25일 밝혔다.페어 앤드 러블리는 1975년 인도에서 출시돼 아시아와 아프리카 등지에서 주로 판매되는 피부 미백크림이다. 일각에서는 “옛 식민지 종주국인 영국의 잔재와 연결돼 하얀 피부에 대한 남아시아인들의 선호를 충족시키기 위해 출시됐다”는 비판이 나왔다.화장품 업체 존슨앤드존슨 역시 “아시아와 중동 등에서 미백 크림을 판매하지 않겠다”고 발표했다. 존슨앤드존슨 측은 “특정 제품들이 ‘하얗고 밝은 피부가 당신의 고유한 피부 색보다 더 낫다’고 말하고 있음을 인지했다”며 “이것은 우리의 의도가 아니었고 건강한 피부가 곧 아름다운 피부”라며 판매 중단 배경을 밝혔다.글로벌 식품업계들도 인종차별 식품명들 줄줄이 바꿔…이 같은 ‘인종차별 흔적 지우기’는 화장품 업계에서만 일어나는 일은 아니다.스위스 최대 종합식품 회사 네슬레는 지난 23일 인종차별적 단어를 사용한 일부 사탕류의 상품명을 변경한다고 발표했다. 네슬레는 이날 성명을 내고 “호주에서 판매 중인 라즈베리 맛 캐러멜류 제품인 ‘레드스킨스(Red Skins)와 초콜릿 맛 젤리 ‘치코스(Chicos)’의 상품명을 바꾸겠다”고 했다.네슬레사의 사탕 '레드스킨스'. /트위터 캡처 레드스킨스는 인디언 원주민을 비하하는 말이고, 치코스는 라틴계 미국인에 대한 편견을 담은 단어다.CNN 비즈니스에 따르면, 해당 상품들에 대한 불만이 네슬레 측에 수년간 접수되어 온 것으로 알려졌다. 네슬레는 “친구와 이웃, 동료들을 소외시키지 않기 위해 이름을 바꾸기로 결정했다”며 “사용하고 있는 언어나 그림에 고칠 부분이 있는지 확인하기 위해 2000여개 브랜드의 2만5000여개 제품을 전면 재검토한다”고 밝혔다.100여년 역사의 미국 아이스크림 ‘에스키모 파이’ 역시 지난 20일 이름을 바꾸겠다고 발표했다. 에스키모는 ‘날고기를 먹는 사람’이라는 의미로 알래스카 원주민인 이누이트 족을 비하하는 말이다.[김승현 기자"
7,"   .      아모레퍼시픽이 대한화장품학회 춘계학술발표대회에서 화장품 과학기술상 우수논문상(김세현 책임연구원)과 우수발표상(고명진 책임연구원)을 각각 수상했다. 2020년 대한화장품학회 춘계학술발표대회는 25일(어제), 웨비나(온라인 학술발표) 형식으로 진행됐다.    1968년 출범한 대한화장품학회는 한국 화장품 분야에 종사하는 연구자들을 중심으로 구성된 국내 대표 화장품 학술 단체로, 회원 수가 800명이 넘는다. 대한화장품학회에서는 2019년 추계학술대회부터 화장품 과학 기술 발전에 기여한 업적을 포상하고 학술 활동을 장려하기 위해 ‘화장품 과학기술상’을 신설했다.    화장품 과학기술상 우수논문상은 대한화장품학회지와 학회 영문지(Korean Journal of Cosmetic Science)에 작년 1년간 게재된 논문 중 독창적이고 우수한 논문을 선정해 수여한다. 아모레퍼시픽 기술연구원 김세현 책임연구원은 학회 영문지에 발표한 ‘카페인의 모낭 세포 활성을 통한 모발 성장 촉진 효과(Efficacy of Caffeine in Promoting Hair Growth by Enhancing Intracellular Activity of Hair Follicles)’ 논문으로 우수논문상을 수상했다. 해당 연구는 카페인이 모낭 세포의 활성에 미치는 영향에 초점을 맞춰 작용 기전을 연구한 것이다. 관련 연구 결과, 카페인은 모낭 세포의 에너지 레벨을 상승시키고 영양 공급을 증진시켜 모낭 성장에 도움이 된다는 사실을 밝혀냈다. 이러한 카페인의 육모(育毛) 효능은 임상 연구를 통한 모발 밀도 증가 효능으로도 입증했다.    아모레퍼시픽 기술연구원 고명진 책임연구원은 ‘유전자 DTC 분석 기법을 통한 피부 진단 솔루션 개발’을 주제로 화장품 과학기술상 우수발표상을 받았다. 고명진 연구원은 테라젠바이오와의 공동연구를 통해 한국인 1,753명의 바이오 빅데이터를 분석했다. 이를 기반으로 한국인에 특화된 유전자 검사 기반 피부 특성 정의 알고리즘을 개발했으며, 기존에는 검사가 불가능했던 유전자를 새로 발굴할 수 있었다. 또한, 해당 연구를 유전자 진단에 적용해 타고난 피부 특성을 보다 정확하게 진단하고 맞춤 솔루션을 제안할 수 있는 국내 최초의 유전자 검사 서비스 ‘아이오페 랩 지노 인덱스’도 제공할 수 있게 되었다.    아모레퍼시픽 기술연구원 박영호 원장은 “대한화장품학회 춘계학술대회를 통해 아모레퍼시픽 기술연구원의 성과를 국내 우수한 화장품 연구자분들과 함께 논의하고, 또 수상으로 인정받을 수 있어서 매우 의미있다”라며, “아모레퍼시픽 기술연구원은 앞으로도 사람을 아름답게, 세상을 아름답게 만들겠다는 소명을 실천하기 위해 최선의 혁신 노력을 이어가겠다”라는 의지를 밝혔다.     서지영 기자 seo"
8,"아모레퍼시픽은 대한화장품학회 춘계학술발표대회에서 화장품 과학기술상 우수논문상·우수발표상을 수상했다고 26일 밝혔다.대한화장품학회는 1968년 출범했으며, 지난해 추계학술대회부터 화장품 과학 기술 발전에 기여한 업적을 포상하고 있다. (왼쪽부터) 대한화장품학회 화장품 과힉기술상을 수상한 김세현 아모레퍼시픽 기술연구원, 고명진 연구원. /아모레퍼시픽 제공아모레퍼시픽(090430)에 따르면 지난 25일 온라인 학술발표 형식으로 진행된 춘계학술발표대회에서 김세현 아모레퍼시픽 기술연구원 책임연구원은 학회 영문지에 발표한 ‘카페인의 모낭 세포 활성을 통한 모발 성장 촉진 효과’ 논문으로 우수논문상을 수상했다. 김 연구원은 해당 연구에서 카페인이 모낭 세포의 에너지 레벨을 상승시키고 영양 공급을 증진시켜 모낭 성장에 도움이 된다는 사실을 밝혀냈다. 이와 함께 고명진 아모레퍼시픽 기술연구원 책임연구원은 ‘유전자 DTC 분석 기법을 통한 피부 진단 솔루션 개발’을 주제로 화장품 과학기술상 우수 발표상을 받았다. 고 연구원은 테라젠바이오와 공동연구를 진행했으며, 한국인 1753명의 바이오 빅데이터를 분석해 한국인에 특화된 유전자 검사 기반 피부 특성 정의 알고리즘을 개발했다. 해당 연구는 유전자 진단에 적용해 타고난 피부 특성을 보다 정확하게 진단하고 맞춤 솔루션을 제안할 수 있는 국내 최초의 유전자 검사 서비스 ‘아이오페 랩 지노 인덱스’에 활용됐다.박영호 아모레퍼시픽 기술연구원 원장은 ""대한화장품학회 춘계학술대회를 통해 아모레퍼시픽 기술연구원의 성과를 국내 우수한 화장품 연구자분들과 함께 논의하고 또 수상으로 인정받을 수 있어서 매우 의미있다""며 ""아모레퍼시픽 기술연구원은 앞으로도 사람을 아름답게 세상을 아름답게 만들겠다는 소명을 실천하기 위해 최선의 혁신 노력을 이어가겠다""고 했다.[이선목 기자"
9,"아모레퍼시픽이 대한화장품학회 춘계학술발표대회에서 화장품 과학기술상 우수논문상·우수발표상을 수상했다고 26일 밝혔다. 지난 25일 웨비나(온라인 학술발표) 형식으로 진행된 춘계학술발표대회에서 김세현 아모레퍼시픽 기술연구원 책임연구원은 학회 영문지에 발표한 '카페인의 모낭 세포 활성을 통한 모발 성장 촉진 효과' 논문으로 우수논문상을 수상했다. 해당 연구에서 김 연구원은 카페인이 모낭 세포의 에너지 레벨을 상승시키고 영양 공급을 증진시켜 모낭 성장에 도움이 된다는 사실을 밝혀냈다.또한 고명진 아모레퍼시픽 기술연구원 책임연구원은 '유전자 DTC 분석 기법을 통한 피부 진단 솔루션 개발'을 주제로 화장품 과학기술상 우수 발표상을 받았다. 테라젠바이오와 공동연구를 진행하는 그는 한국인 1753명의 바이오 빅데이터를 분석해 한국인에 특화된 유전자 검사 기반 피부 특성 정의 알고리즘을 개발했다.박영호 아모레퍼시픽 기술연구원 원장은 ""대한화장품학회 춘계학술대회를 통해 아모레퍼시픽 기술연구원의 성과를 국내 우수한 화장품 연구자분들과 함께 논의하고 또 수상으로 인정받을 수 있어서 매우 의미있다""며 ""아모레퍼시픽 기술연구원은 앞으로도 사람을 아름답게 세상을 아름답게 만들겠다는 소명을 실천하기 위해 최선의 혁신 노력을 이어가겠다""고 말했다.한편 1968년 출범한 대한화장품학회는 지난해 추계학술대회부터 화장품 과학 기술 발전에 기여한 업적을 포상하고 있다. 또한 학술 활동을 장려하기 위해 '화장품 과학기술상'도 신설했다"
