article,content
TF이슈 남북경협주 보유 김홍걸 처분할 것 늑장 대응,국회 외통위와 정보위 소속 김홍걸 더불어민주당 의원이 억대의 남북 경협주를 보유해 이해충돌 논란이 일고 있다. 처분하겠다 고 밝혔지만 늑장 대응이라는 지적이 나온다. 지난 7월 27일 오전 국가정보원장 후보자에 대한 국회 정보위원회 인사청문회에서 질의하는 김 의원. 남윤호 기자다주택 자녀 증여·전세금 인상 이어 또 논란 더팩트ㅣ박숙현 기자 김홍걸 더불어민주당 의원이 억대에 달하는 남북 경협 관련 업체 주식을 다수 보유한 사실이 밝혀져 이해 충돌 논란에 휩싸였다. 김 의원은 대북 정보를 보고 받고 대북 사업 예산 심사 등을 다루는 국회 외교통일위원회와 정보위원회에 소속돼 있다.국회공직자윤리위원회가 지난 28일 공개한 김 의원 재산 목록에 따르면 김 의원은 현대로템 주식 8178주 지난 5월 30일 기준 신고가액 1억3730만 원 를 보유했다. 현대로템은 철도차량과 방산제품을 만드는 업체로 대표적인 남북경협주로 분류된다.이 같은 사실이 알려지면서 일각에선 김 의원의 남북 경협주 보유가 공직자 이해 충돌에 해당할 수 있다는 지적이 나오고 있다. 외교통일위원과 정보위원인 그는 정부로부터 대북 관련 정보를 사전에 보고받거나 대북 사업 예산을 심사할 수 있다.논란이 일자 김 의원 측은 심사 결과와 상관없이 주식을 조만간 처분할 것 이라는 입장을 밝혔다. 또 인사혁신처 산하 주식백지신탁 심의위원회에 직무관련성 심사를 요청한 것으로도 전해졌다.김홍걸 의원 측은 5월 30일 기준으로 7월 말까지 재산 등록을 하는데 등록 후에 국회 감사관에서 직무관련성 심사를 하게 된다. 이런 절차에 따라 지난달에 심사를 요청했다 라며 과거 안철수 대표나 홍성국 의원처럼 정무위에 배정돼 연관성이 명백하고 보유량이 많을 때 사전에 주식을 처분해 조율하는 경우는 있다. 하지만 현대 로템주가 외통위에 직접적 연관성이 명확하게 있다고는 볼 수 없다. 외통위보다 오히려 국방위나 산업위와 더 관련 있을 수 있다. 직무관련성 부분은 의원실에서 판단할 게 아니다 라고 했다.그러면서 아직 심사 결과도 안 나왔는데 처분이 늦었다고 지적하는 건 과한 것 같다 고 토로했다. 김 의원 측은 또 적격성 심사에 따라 직무관련성이 없다고 하더라도 처분할 것 이라며 기존에도 주식을 처분할 생각을 갖고 있었다. 다만 주식은 하루가 다르게 값이 변한다. 1억 넘는 재산을 하루만에 정리할 수 있겠나. 나름대로 판단과 검토가 필요하다 라고 밝혔다.공직자윤리법에 따르면 국회의원은 재산 공개 대상자가 된 시점부터 한 달 이내에 심의위원회에 가치가 3000만 원이 넘는 주식에 대해 신고하고 직무 관련성 심사를 받아야 한다. 관련성이 인정되면 주식을 매각하거나 백지신탁해야 할 의무가 있다. 김 의원은 외통위원과 정보위원이 된 후에도 현대로템 주식 관련 조처를 하지 않아 늑장 대응이라는 지적이 나온다.한편 김 의원은 서울 강남·서초에 아파트를 1채씩 갖고 있어 비판이 일자 최근 강남 아파트를 팔겠다고 밝혔지만 자신의 둘째 아들에 증여해 논란이 일기도 했다. 또 이달 아파트 전세 계약을 새로 맺으면서 전세금을 이전보다 4억 원 많은 10억5000만 원으로 올려 논란이 불거졌다. 누리꾼들은 김 의원의 잇단 논란에 위대한 지도자 김대중 전 대통령의 막내아들이 참 안타깝다. 좋은 소식은 하나도 없고 짜증나는 소식뿐 국민을 대표할 자격 없다. 내려와라 등의 반응을 보이고 있다.
김홍걸 남북경협주 보유 논란에 심사 결과 상관없이 곧 처분,국회 외교통일위원인 더불어민주당 김홍걸 의원은 자신이 보유한 남북 경협 관련 주식이 공직자 이해충돌 문제로 논란이 되자 해당 주식을 처분할 계획 이라고 밝혔습니다.김 의원 측 관계자는 국회의원이 되기 전인 지난해 9월 현대로템 주식을 매입했고 국회 감사관실에 관련 자료를 제출해 인사혁신처의 직무관련성 심사 결과를 기다리는 중 이라며 결과와 상관없이 처분할 예정 이라고 밝혔습니다.현대로템은 철도 차량을 제작하는 업체로 남북 철도연결 테마주 로 불리며 실적과 상관없이 남북관계 호전 여부에 따라 급등락하는 경우가 많은 것으로 알려졌습니다.국회의원 재산공개 목록에 따르면 김 의원은 지난 5월 30일 기준 1억3천여 만원에 이르는 현대로템 주식을 보유했으며 외통위원으로서 대북 사업 예산에 관여할 수 있는만큼 공직자 이해충돌에 해당된다는 지적이 제기됐습니다.최경재 기자 economy mbc.co.kr 저작권자 c MBC hps imnews.imbc.com 무단복제 재배포 금지 네이버 홈에서 MBC뉴스 채널 구독하기 새로움을 탐험하다.
美 北 탄도미사일 개발 지원 말라 전 세계에 주의보...남북경협 부담커진 韓,미 국무부 재무부 상무부 등 부처합동 주의보 발령北 탄도미사일 겨냥 이례적 주의보...대북경고 메시지美 제재 강화 움직임 ...韓 남북교류협력 구상 난항예고 미 국무부 홈페이지 캡처. 서울경제 미국이 1일 현지시간 전 세계 기업들을 대상으로 북한의 탄도미사일 개발에 협조하지 말라는 주의보를 부처 합동으로 발령해 주목된다.이는 미 대선을 두 달 앞두고 대북 리스크 관리를 외교적 성과로 내세운 도널드 트럼프 대통령이 북한에 단거리 탄도미사일 도발을 하지 말 것을 압박한 것으로 조심스럽게 관측된다. 특히 그간 트럼프 대통령이 북한의 단거리 탄도미사일 도발에 대해 대수롭지 않은 반응을 보여온 만큼 이번 조치는 11월 3일 미 대선을 염두에 뒀다는 해석이 나온다. 미 국무부 국제안보비확산국 ISN 과 재무부 해외자산통제국 OFAC 상무부 산업안보국은 이날 공동으로 북한의 탄도미사일 관련 조달활동에 대한 19장짜리 문건을 공개하며 전 세계 기업에 주의보를 발령했다.해당 주의보는 탄도미사일 개발과 부품·기술 조달에 관여하는 북한의 기관들과 국제사회의 대북 제재 회피 수법을 전하면서 기업이 고의든 실수든 이 제재를 어길 경우 처할 벌칙과 거래 금지 품목 등을 소개하는 내용을 담고 있다. 이 주의보는 기존에 이미 알려진 내용이지만 미 관계부처가 문건 형태로 만들어 북한과 거래하는 기업이 주의해야 할 사항을 일목요연하게 정리한 것은 이례적이라는 평가다.이처럼 미국의 강경한 대북제재 정책은 북미 비핵화 협상이 교착된 상황과도 관련이 있는 것으로 보인다. AFP통신도 이번 주의보는 양국 간 비핵화 협상이 작년 초 이후 교착상태에 처한 상황에서 나왔다며 그럼에도 불구하고 미 대선을 두 달 가량 앞두고 트럼프 대통령은 북한 대처에서 성공했다고 주장해 왔다고 분위기를 전했다.트럼프 대통령이 묵인해 온 북한의 탄도미사일 도발을 겨냥한 점도 미국 대선과 관련이 있다는 분석이다. 실제 미국 내에서는 북한의 도발 징후에 대한 대비책이 곳곳에서 나오고 있다. 지난달 20일 연방수사국 등이 북한 해커의 악성코드를 공개한 데 이어 지난달 26일에는 북한 해킹팀의 금융 해킹 부처합동 주의보가 발령되는 등 북한의 도발에 대한 트럼프 행정부의 연이은 경고가 계속되고 있다. 미국의 강력한 경고에도 불구하고 그간 북미 비핵화 협상에서 보여온 대미 강경 기조를 고려할 때 북한은 오히려 강하게 반발할 것으로 예상된다.실제 북한은 최근 트럼프 행정부가 부처합동으로 대북 금융 해킹 경보를 발령한 데 대해 “미국은 우리를 건들일 경우 큰 봉변을 당할 수 있다는 것을 명심하고 자숙하는 것이 좋을 것”이라고 위협했다. 북한 외무성은 지난달 30일 홈페이지에 게재한 ‘조선민주주의인민공화국 자금세척 및 테러자금지원 방지를 위한 국가조정위원회 대변인 담화’를 통해 “최근 우리를 반대하는 미국의 모략 소동이 사이버 분야까지 확대되고 있다”고 맹공을 퍼부었다.1일 국회 예결위의장에서 전체회의가 열린가운데 이인영 통일부 장관이 질의에 답하고 있다. 연합뉴스미국의 대북압박 정책은 사실상 전 세계 기업들에 대북제재 동참을 압박한 것인 만큼 남북교류협력에 집중하고 있는 한국 정부에는 큰 부담이 될 것으로 전망된다.미국이 대북제재 주의보까지 발령한 만큼 대북제재를 위반할 경우 경제적 불이익을 받을 수 있다는 경고성 메시지를 내포하고 있기 때문이다. 앞서 통일부는 북한 개성고려인삼무역회사와 작은교역을 시도했지만 해당 업체가 대북제재 대상 기업으로 판명되면서 남북 물물교역 사업이 한 차례 무산된 바 있다. 개성고려인삼회사는 미국과 유엔의 제재 대상인 북한 노동당 39호실 산하기관이다. 통일부는 대북제재 위반 논란에도 복수의 북한 기업과 작은교역을 추진 중이다.
北정보 보고받는 김홍걸 남북경협주 8718주 억대 갖고있다,28일 공개된 재산목록에 현대로템주 8718주국회 외통위 소속으로 이해 충돌 논란 일어 김 의원 측 이해충돌 걸리면 처분 할 것 김홍걸 57 더불어민주당 의원이 ‘전세금 4억원 인상’으로 구설에 오른데 이어 이번엔 남북경협주 보유에 따른 ‘이해 충돌’ 논란에 휩싸였다. 김홍걸 더불어민주당 의원. 연합뉴스 30일 국회의원 재산 공개 목록에 따르면 김 의원은 상장 주식인 현대로템 8718주를 가지고 있다 5월 30일 기준 . 신고 가액은 1억3730만8000원. 김 의원은 이번에 국회의원이 되면서 재산공개 대상이 됐다. 문제는 현대로템이 대표적인 남북경협주로 꼽히고 김 의원은 대북 정보를 보고 받는 국회 외교통일위원회 소속이란 점이다. 철도차량과 방산제품을 만드는 현대로템은 지난 2018년 6월 대북철도사업에 따른 기대감으로 주가가 4만원을 넘기도 했다 2018년 6월 4일 종가 4만 550원 . 8월 28일 종가는 1만 5050원이다. 김 의원은 현대로템 주식을 총선전인 지난해 9월 산 것으로 알려졌다. 공직자윤리법 14조의 4 에 따르면 국회의원과 장ㆍ차관 등 1급 이상 재산공개 대상자가 보유한 주식의 가치가 3000만원을 초과하면 매각 또는 백지신탁하거나 이해당사자가 직무관련성이 없다고 판단하면 인사혁신처 주식 백지신탁위원회에 직무관련성 심사를 청구하고 ‘직무관련성 없음’판정을 받아야 한다. 이에 해당되는 국회의원의 경우엔 상임위에 새로 배속됐거나 주식가치가 3000만원을 넘기 시작한 시점부터 한 달 이내에 의무적으로 심사를 신청해야 한다. 재산공개 대상자가 정당한 사유없이 직무관련성이 있는 주식을 매각 또는 백지 신탁하지 않을 경우 1년 이하의 징역또는 1000만원 이하의 벌금에 처하도록 하고 있다. 김 의원은 지난 6월 16일 외통위 위원으로 위촉됐다. 김 의원은 외통외 소속으로 정부로부터 대북관련 정보를 보고 받을 수 있는 자리에 있다. 아직 직무관련성 심사가 끝나지는 않았지만 그동안 현대로템 주식과 관련 별도 조치를 취하지 않은 것 자체도 문제라는 지적이다. 인사혁신처는 김 의원의 주식처분 여부를 심사하는 것으로 알려졌다. 김홍걸 의원실 측은 “국회 감사관실에 관련 자료를 제출했다. 감사관실에서 인사혁신처에 직무관련성 심사를 요청한 것으로 안다”며 “이해 충돌에 걸리는 부분이 있으면 받아들여 주식을 처분할 계획”이라고 밝혔다. 한편 김 의원은 당초 팔겠다던 강남 아파트를 20대 차남에게 증여하고 전·월세를 5%이상 올리지 못하도록 하는 이른바 전월세 상한법 에 찬성을 던졌는데 차남의 강남 아파트 전세값을 6억 5000만원에서 10억 5000만원으로 올려 논란이 됐다. 이에 대해 김 의원측은 새로 세입자를 들이며 시세에 맞춰 한 것 이라고 해명했다.
통수저 김홍걸 부동산 내로남불 이어 남북경협주 구설,국회 외통위 소속 김 의원 대표 남북경협주 현대로템 주식 억대 보유더불어민주당 김홍걸 의원이 27일 국회 정보위원회에서 열린 박지원 국가정보원장 후보자 인사청문회에서 질의하고 있다. 연합뉴스김대중 전 대통령의 3남인 김홍걸 더불어민주당 의원이 아파트 증여와 전세금 인상으로 논란에 휩싸인 데 이어 이해충돌 가능성이 제기되는 주식 보유 논란으로 구설에 오르고 있다.30일 국회 공직자윤리위원회가 공개한 국회의원 재산공개 목록에 따르면 김 의원은 현대로템 주식 8천718주 1억3천730만원어치 를 보유한 것으로 나타났다.현대로템은 남북철도 등 대북과 밀접한 이슈가 나올 때 주가가 급등하는 등 여러 영향을 받는 대표적인 남북경협주 중 하나로 꼽힌다.문제는 국회 외교통일위원회 소속인 김 의원이 이러한 남북경협주를 보유하고도 주식을 백지신탁하지 않았다는 점이다.이해충돌과 직무관련성 지적이 나올 수 있어 일각에서는 공직자윤리법을 위반한 거 아니냐는 지적도 제기된다.공직자윤리법은 본인이 재산공개 대상자가 된 시점부터 1개월 이내에 인사혁신처 주식 백지신탁위원회에 보유한 주식의 직무관련성 유무에 관한 심사를 신청하도록 하고 있다.직무관련성이 있는 주식에 대해서는 매각 또는 백지신탁하지 않을 경우 1년 이하 징역 또는 1천만원 이하의 벌금에 처하도록 하고 있다.앞서 3주택자였던 김 의원은 서울 강남 주택 처분 방법으로 매각이 아닌 자녀 증여를 선택해 부적절했다는 뒷말도 나오는 상황이다.또 해당 아파트의 전세금을 4억원 올려받은 직후 임대료를 급격히 올리지 못하도록 하는 법안을 발의한 사실이 알려지면서 내로남불 의 전형이라는 지적도 제기된다.
대북정책 보고받는 김홍걸 남북경협주 8천주 갖고있다,남북철도 테마주 현대로템 8700株 매각 안해김홍걸 더불어민주당 의원 뉴시스				매각하겠다던 서울 강남 아파트를 아들에게 증여하고 새 세입자로부터 전세금을 올려 받은 더불어민주당 김홍걸 의원이 이번에는 이해 충돌 주식 보유 논란에 휩싸였다.국회 외교통일위원회 소속인 김 의원은 대표적인 남북경협주를 보유하고도 주식을 백지신탁하지 않아 공직자윤리법을 위반했다는 지적이 나온다. 국회 외통위원은 정부로부터 각종 대북정책 관련 보고를 받고 정보를 취득할 수 있는 위치에 있다. 아직 직무관련성이 명확히 판정나지는 않았지만 김 의원이 그동안 이와 관련된 아무런 조치를 하지 않은 것은 그 자체로 법 위반이 될 수 있다는 지적이다.김 의원은 지난 28일 국회 공직자윤리위원회가 공개한 재산목록 5월 30일 기준 가운데 현대로템 주식 8718주 1억3730만원 어치를 보유한 것으로 나타났다. 현대로템은 남북 철도 연결 등 대북 관련 이슈가 제기될 때마다 주가가 움직이는 대표적인 남북경협주다.김 의원 측은 작년 9월 대북민간단체 연합회인 민화협 의장을 맡고 있을 때 매입했다고 했다. 총선 전에 주식을 매입했다는 것이다.그러나 공직자윤리법은 본인이 재산공개 대상자가 된 시점부터 1개월 이내에 주식백지신탁 심사위원회에 보유 주식의 직무관련성 유무에 관한 심사를 청구토록 하고 있다. 또 이 절차를 통해서 직무관련성이 있다고 판정된 주식에 대해서는 매각 또는 백지신탁하지 않을 경우 1년 이하 징역 또는 1000만원 이하의 벌금에 처하도록 하고 있다.김 의원은 지난 6월 16일 국회 본회의에서 외통위원으로 확정된 이후 2달 반에 지났으나 현재까지 별다른 조치가 취해지지 않은 것이다. 인사혁신처 백지신탁위는 김 의원이 주식을 처분해야 하는지 여부를 심사하고 있는 것으로 알려졌다.김 의원 측은 재산상 이익을 볼 생각은 없다 며 이해충돌에 걸리는 부분이 있다면 처분할 계획 이라고 했다.서울 강남·서초·마포에 3주택을 보유했던 김 의원은 당초 팔겠다 고 했던 강남 아파트를 20대 차남에게 증여한 것으로 나타나 논란이 됐다. 김 의원은 또 지난달 말 전·월세를 5% 넘게 올려받을 수 없게 한 일명 전·월세 상한제법 에 찬성표를 던졌지만 차남의 강남 아파트 전세금은 새 세입자와 계약을 맺으면서 6억5000만원에서 10억5000만원으로 4억원 올렸다. 그로부터 8일 뒤에는 또 다른 내용의 전·월세 인상 제한법 발의에 참여한 것으로 나타나 내로남불 이란 지적이 나왔다.
대북 제재 저촉 우려에도…통일부 남북교류협력법 개정안 입법 예고,통일부가 북한 기업의 한국 내 영리활동을 가능하게 하고 한국 기업의 북한 내 사무소 설치 등을 허용하는 남북교류협력법 개정안을 27일 입법 예고했다. 개정 추진 초기 미국 주도의 대북 제재에 저촉될 수 있다는 지적이 나왔지만 통일부는 수정 없이 입법을 강행키로 했다. 단순 접촉일 경우 신고 없이도 북한 주민을 만날 수 있도록 하려던 대북 접촉 절차 간소화 방침은 일단 보류했지만 상황을 봐가며 다시 추진할 수 있다는 입장을 내놓았다. 통일부가 이날 공개한 남북교류협력법 개정안은 ‘경제협력사업 제17조의 3 ’ 조항을 신설해 남북 경협의 범위를 구체화했다. 한국과 북한 기업이 한국이나 북한 제3지역에서 공동 또는 독자적으로 영리활동을 할 수 있는 법적 근거를 마련한 것. 특히 북한 기업이 한국의 주식과 부동산 저작권 등을 소유할 수 있는 길도 열었다. 하지만 이는 북한과 신규 합작사업 및 투자를 금지한 2017년 유엔 안전보장이사회 대북 제재 결의안 2371호를 위반할 수 있다. 외교부도 법률안 검토 과정에서 안보리 대북 제재가 금지한 합작으로 간주되거나 금융 거래 금지 규정 등을 어길 소지가 있다는 우려를 제기했지만 통일부는 기존 방침을 고수했다. 통일부는 “추상적 법률만으로 제재에 위반된다고 보기 어렵고 현행법에도 제재를 감안한 규정이 있다”며 문제가 없다는 입장이다. 통일부 당국자는 “남북 교류협력 때 대북 제재의 국제 공조에서 이탈할 우려가 있으니 개정안에 ‘대북 제재 고려’ 조항을 넣자는 견해도 제기됐지만 제재는 남북 교류협력 절차와 내용을 규율하는 국내법의 내용으로 삼을 게 아니라고 판단해 포함시키지 않았다”고도 밝혔다. 북한 측과 거래하는 법인이나 단체의 사무소를 북한에 설치할 수 있도록 하는 내용도 개정안에 포함됐다. 외교부는 북한 사무소 설치 역시 대북 제재에 저촉될 우려가 있다는 우려를 표명했다. 다만 통일부는 북한 주민과 단순한 접촉은 아예 신고하지 않아도 되고 남북 교류협력 사업을 목적으로 만날 때는 허가 없이 신고만 하면 되도록 하는 내용을 교류협력 개정안에 반영하려던 계획을 일단 유보했다. 5월 이런 방침을 처음 공개한 뒤 친북세력 활동에 무방비가 되는 등 대북 경계망이 느슨해질 수 있다는 지적이 잇따라 제기돼 왔다. 통일부 당국자는 “북한이 대화와 협력의 동반자인 동시에 반국가단체라는 이중적 지위에 있는 이상 아직은 이를 제도적으로 균형 있게 고려할 필요가 있다는 의견을 반영했다”고 밝혔다. 그러면서도 “ 간소화가 빠져 개정안의 핵심이 빠졌다는 비판을 달게 받겠다”며 “향후 남북관계를 봐가면서 재검토를 해나가겠다”고 말했다. 정부가 당초 추진하려던 안에서 일단 한발 물러선 데는 이인영 장관 취임 이후 한 달간 물물교환 등 남북 협력에서 속도를 내려다 사업 추진 대상이 대북 제재 대상으로 드러나 제동이 걸린 상황을 고려한 것으로 보인다. 전성훈 전 통일연구원장은 “대북 제재와 연관될 수 있는 입법을 무리하게 추진하면 국내 여론이 악화될 수 있다”며 “정부의 협력 요청에 전혀 호응을 보이지 않는 북한 상황도 종합적으로 반영된 결과”라고 말했다.
北 호응없고 美는 비협조… 이인영 남북교류 속도조절,남북교류협력법 개정안 입법 예고북한 주민 접촉 신고 간소화 제외 통일부가 남북교류협력법 개정을 통해 대북접촉 절차를 간소화하려던 계획을 철회했다. 최근 남북 간 물물교환방식 교류사업 파트너인 북한 기업이 대북제재 대상기업으로 확인되고 정부 내부에서도 제동이 걸리면서 속도조절에 나선 걸로 보인다. 27일 통일부가 발표한 남북교류협력법 개정안 입법 예고안에 따르면 당초 통일부는 북한 주민과의 우발적이고 단순한 접촉은 신고 대상에서 제외하고 수리 절차를 없애겠다고 했으나 이 내용은 이날 개정안에는 포함되지 않았다. 통일부 당국자는 북한이 대화와 협력의 동반자인 동시에 반국가 단체라는 이중적 지위가 고려됐다 며 이 내용은 향후 남북관계의 진전 및 개선을 상황에 따라 재검토될 예정 이라고 밝혔다. 통일부의 이 같은 남북교류 숨고르기는 우리 정부의 남북간 교류 재개 의지에도 북한의 호응이 부족하고 미국 등 국제사회도 협조적이지 않은 상황과 무관치 않다는 분석이 나온다. 실제로 이 장관은 대북제재를 피해 남북 민간이 물물교환으로 거래를 하는 작은 교역 을 추진해 남북 간 접촉면을 넓히려했고 실제 민간에서 계약도 이뤄졌지만 거래 대상 북한 기업이 제재 대상으로 확인돼 취임 한 달여 만에 첫 사업부터 제동이 걸린 상황이다. 정부가 이처럼 대북접촉절차에서는 한 발 물러섰지만 통일부는 비정치적 분야에서 더 많은 민간 협력의 틀을 마련하는 내용도 포함됐다. 통일부는 남북협력사업 주체로 지방자치단체를 추가해 그동안 지자체가 관련 단체나 중개인을 통해 추진하던 대북사업을 독자적으로 추진할 수 있게 법을 개정한다. 또 개정안에서 남북교류협력을 제한·금지할 수 있는 중단 사유도 조약·국제 합의 이행 등의 목적으로 제한하고 적용범위도 교역과 경제협력사업에 대한 조정 명령이 사업 중단에 이르는 경우로 축소해 일관성 있는 경협이 이뤄지도록 바꿨다. 뿐만 아니라 교류협력의 전부 또는 일부를 제한·금지하는 경우 국무회의 심의를 거쳐야 하도록 수정했고 개성공단 폐쇄의 교훈으로 남북 간 교역·경협 기업 피해에 대한 경영정상화 지원 근거를 마련해 향후 북측과 사업하는 기업인들의 금전적 리스크를 보완하기로 했다.
외통위 김홍걸 대북 경협주 억대 보유…이해 충돌 우려,앵커 다주택 논란에도 매각 대신 차남에게 증여하고 임대차 3법 에 찬성하고도 전세금을 과도하게 올려 논란이 됐던 더불어민주당 김홍걸 의원이 하루 만에 또다시 구설에 올랐습니다. 이번에는 이해충돌 가능성입니다. 윤태윤 기자가 보도합니다. 리포트 민주당 김홍걸 의원이 어제 공개한 재산 내역입니다. 논란이 되고 있는 부동산과 함께 현대로템 주식 8 700여주 1억 3천만원어치를 보유하고 있다고 신고했습니다. 열차 제작 업체인 현대로템은 남북 관계가 개선될때마다 급등하는 대표적인 남북 경협주 입니다. 김 의원은 현재 국회 외통위와 정보위 소속으로 정부의 대북 정책이나 북한 정보를 쉽게 접할 수 있습니다.     최건 변호사 외통위 소속 의원이 대북 관련주를 가지고 있다는 것은 직무관련성이 있을 뿐아니라 이해충돌의 우려도 있어보입니다. 이 때문에 인사혁신처 백지신탁위원회는 김 의원이 주식을 처분해야 하는지를 심사하고 있는 것으로 알려졌습니다. 김 의원측이 밝힌 주식 매입 시점은 작년 9월. 김 의원이 대북민간단체 연합체인 민화협 의장을 맡고 있던 때입니다.  김 의원 측은 부인이 매입해서 김 의원 자신은 잘 모르는 부분 이라면서도 결과를 따르겠다 고 했습니다.  국회 과방위 무소속 양정숙 의원도 삼성전자와 SK하이닉스 주식을 보유하고 있고 국토위의 통합당 김희국 의원은 배우자가 국토·교통 관련 주식을 많이 보유하고 있어 이해충돌 우려를 낳고 있습니다. TV조선 윤태윤입니다.
北美 비협조에..이인영 야심작 남북교류 속도조절,남북교류협력법 개정안 입법 예고북한 주민 접촉 신고 간소화 제외 이인영 통일부 장관. 뉴시스 파이낸셜뉴스 이인영 통일부장관 취임 후 의욕적으로 추진됐던 남북 민간교류협력이 일단 중단됐다. 28일 통일부 등에 따르면 통일부가 남북교류협력법 개정을 통해 대북접촉 절차를 간소화하려던 계획을 철회했다. 최근 남북 간 물물교환방식 교류사업 파트너인 북한 기업이 대북제재 대상기업으로 확인되고 정부 내부에서도 제동이 걸리면서 속도조절에 나선 걸로 보인다. 지난 27일 통일부가 발표한 남북교류협력법 개정안 입법 예고안에 따르면 당초 통일부는 북한 주민과의 우발적이고 단순한 접촉은 신고 대상에서 제외하고 수리 절차를 없애겠다고 했으나 이 내용은 이날 개정안에는 포함되지 않았다. 통일부 당국자는 북한이 대화와 협력의 동반자인 동시에 반국가 단체라는 이중적 지위가 고려됐다 며 이 내용은 향후 남북관계의 진전 및 개선을 상황에 따라 재검토될 예정 이라고 밝혔다. 통일부의 이 같은 남북교류 숨고르기는 우리 정부의 남북간 교류 재개 의지에도 북한의 호응이 부족하고 미국 등 국제사회도 협조적이지 않은 상황과 무관치 않다는 분석이 나온다. 실제로 이 장관은 대북제재를 피해 남북 민간이 물물교환으로 거래를 하는 작은 교역 을 추진해 남북 간 접촉면을 넓히려했고 실제 민간에서 계약도 이뤄졌지만 거래 대상 북한 기업이 제재 대상으로 확인돼 취임 한 달여 만에 첫 사업부터 제동이 걸린 상황이다. 정부가 이처럼 대북접촉절차에서는 한 발 물러섰지만 통일부는 비정치적 분야에서 더 많은 민간 협력의 틀을 마련하는 내용도 포함됐다. 통일부는 남북협력사업 주체로 지방자치단체를 추가해 그동안 지자체가 관련 단체나 중개인을 통해 추진하던 대북사업을 독자적으로 추진할 수 있게 법을 개정한다. 또 개정안에서 남북교류협력을 제한·금지할 수 있는 중단 사유도 조약·국제 합의 이행 등의 목적으로 제한하고 적용범위도 교역과 경제협력사업에 대한 조정 명령이 사업 중단에 이르는 경우로 축소해 일관성 있는 경협이 이뤄지도록 바꿨다. 뿐만 아니라 교류협력의 전부 또는 일부를 제한·금지하는 경우 국무회의 심의를 거쳐야 하도록 수정했고 개성공단 폐쇄의 교훈으로 남북 간 교역·경협 기업 피해에 대한 경영정상화 지원 근거를 마련해 향후 북측과 사업하는 기업인들의 금전적 리스크를 보완하기로 했다.
