,title,contents
0,"두나무 증권플러스 비상장, 5월 핫 키워드는 게임&핀테크 테마주","게임 테마주 여전한 인기, 한국카카오은행·비바리퍼블리카 등 핀테크 테마주도 급상승 조회수 카카오게임즈 1위, 한국카카오은행 7위 차지하며 비상장에서도 카카오의 강세 코로나19 진단키트 미국 등 50개국에 수출한..."
1,게맛살 회사가 조 바이든 美 대선 테마주라고?,8일 조 바이든 미국 민주당 대선후보의 ‘테마주’로 묶여 상한가를 친 기업의 사업보고서 중 일부다. 바로... 업계 관계자는 “테마주라는 것이 실체가 없어도 시장이 인식하면 끝”이라며 “한성기업뿐 아니라...
2,"'이낙연 테마주'로 각광받던 회사, 상폐 직전에 부활한 사연","주가조작 시기에는 '이낙연(전 국무총리) 테마주'라는 사실무근의 소문이 돌면서 한때 자금이 몰리기도 했다. 결국 한국거래소 기업심사위원회가 심사에 착수했고, 같은해 9월까지 개선기간을 부여했다. 그러나 이듬해..."
3,"엔터테인먼트3사 주가 모두 상승, '방탄소년단 테마주' 대체로 올라",방탄소년단 테마주'로 묶이는 회사 주가도 대부분 올랐다. 경남제약 주가는 14.9%(1280원) 급등한 9870원에 거래를 마쳤다. 방탄소년단은 경남제약의 '레모나' 홍보모델로 활동한다. 디피씨 주가는 2.4%(250원) 오른...
4,신용융자 몰린 주식 대부분 테마주…'투자 주의보',하지만 신용융자가 급증한 종목 대부분이 변동성 높은 테마주여서 투자에 주의가 필요하다는 지적이다.... 큰 테마주라는 사실이다. 최근 일주일(6월1~5일) 간 주식수 기준으로 신용융자 잔액이 가장 많이 늘어난...
5,"'자동차 테마주' 강세 쌍용차, 16.36% 상승세","'자동차 테마주' 강세 쌍용차, 16.36% 상승세 '자동차 테마주' 강세 쌍용차, 16.36% 상승세 자동차 대표주 테마가 강세를 보이는 가운데 '쌍용차'가 8일 상승세다. 쌍용차는 이날 오전 11시 45분 기준 전거래일 대비 16.36..."
6,"김종인 ""통합당에 대선주자 있나?""에 홍정욱 테마주 KNN 들썩",의원의 테마주로 분류되는 KNN(058400)이 29일 강세를 보이고 있다. KNN은 이날 오전 10시37분 현재 전날보다 16.... 이 때문에 일부 투자자들은 'KNN은 홍 전 의원의 동업자'라며 테마주로 분류해왔다. 김종인 위원장은 전날...
7,"'하이난 자유무역항 테마주', 중국 증시 다크호스로 주목",하이난 테마주의 인기도 뜨겁다. 지난 2018년 4월 하이난 경제특구 건설 30주년을 맞아 시진핑 (習近平) 중국 국가 주석이 이 구상안을 처음 공개했을 당시에도 하이난 테마주는 중국 증시의 핫키워드였다. 하이난...
8,[특징주] 코로나19 재확산에 구충제테마주 '껑충',▲ 5일 종가 기준 코로나19 재확산으로 급등하고 있는 구충제 테마주. 시가총액순. ⓒ네이버 금융 차트 캡처 최근 수도권을 중심으로 코로나19 집단감염이 재확산되자 구충제 테마주가 강세를 보이고 있다....
9,"중국 '노점상 경제' 열풍, 증시에선 '테마주'로 자금 밀물",이와 함께 최근 중국 증시에서도 '노점상 경제' 테마주는 연일 주가 상승세를 연출하며 인기 종목으로... 대표 테마주 중 투자자들로부터 가장 큰 관심을 받고 있는 종목은 소상품성(小商品城 600415.SH)이다....
10,"'방탄소년단 테마주' 대체로 올라, 엔터테인먼트3사는 YG만 내려",'방탄소년단 테마주'로 묶이는 회사 주가가 대부분 올랐다. 6일 경남제약 주가는 전날보다 3.49%(290원) 상승한 8590원에 거래를 마쳤다. 방탄소년단은 경남제약의 '레모나' 홍보모델로 활동한다. 드림어스컴퍼니...
11,"중국 맥주 업계 초호황, 경기부양책·여름 '더블 호재' 주가도 급등","맥주 테마주는 고량주(백주)의 아성을 뛰어넘는 가장 '핫(hot)'한 종목으로 꼽힌다. 전문가들은 여름철 업계 성수기가 도래한 가운데 노점상 경제와 야간 경제 활성화라는 잇단 호재성 재료가 등장하면서, 맥주 테마주는..."
12,"엔터테인먼트3사 주가 모두 내려, '방탄소년단 테마주'도 대체로 하락",'방탄소년단 테마주'로 묶이는 회사 주가도 손오공을 제외하고 모두 내렸다. 디피씨는 0.48%(50원) 떨어진 1만350원에 거래를 끝냈다. 디피씨는 자회사 스틱인베스트먼트를 통해 빅히트엔터테인먼트에 1020억 원을...
13,"'방탄소년단 테마주' 대체로 하락, 엔터테인먼트3사는 JYP 빼고 상승",'방탄소년단 테마주'로 묶이는 회사 주가가 대체로 내렸다. 3일 디피씨 주가는 전날보다 2.8%(300원) 떨어진 1만400원에 거래를 끝냈다. 디피씨는 자회사 스틱인베스트먼트를 통해 빅히트엔터테인먼트에 1020억...
14,“대권 주자 없다”는 김종인 말 한마디에...‘윤석열 테마주’ 껑충,최근 미래통합당 차기 대권 주자에 대한 설왕설래가 나오는 가운데 시장에서 이른바 ‘윤석열 테마주’라... 일각에서는 이 회사의 사외이사가 서울대 법대 출신이라는 이유로 ‘윤석열 테마주’로 지칭한다. 하지만...
15,"'방탄소년단 테마주' 대체로 올라, 엔터테인먼트3사는 SM만 상승",'방탄소년단 테마주'로 묶이는 회사 주가가 대체로 올랐다. 2일 드림어스컴퍼니 주가는 전날보다 2.49%(130원) 오른 5350원에 장을 마쳤다. 드림어스컴퍼니는 방탄소년단의 음원을 유통하며 모회사 SK텔레콤을...
16,[특징주] '애국테마주' 모나미·신성통상 이틀째 강세,"모나미, 신성통상 등이 일본의 수출규제와 관련한 한국 정부의 입장 발표를 앞두고 이틀째 급등 중이다. 이들은 일본 불매운동의 수혜주로 분류된다. 2일 오전 9시 25분 기준 모나미 주가는 전일 대비 710원(15.78..."
17,"희토류 테마주 또 출렁 ""투자 주의""",희토류 테마주는 미중 무역 갈등이 불거질 때마다 급등락을 반복하며 큰 변동성을 보여왔다. 전문가들은... 북한에 매장된 희토류를 개발할 수 있다는 기대감에 희토류 테마주로 분류돼왔을 뿐 당장 직접적인...
18,"'방탄소년단 테마주' 모두 올라, 엔터테인먼트3사도 다 상승",'방탄소년단 테마주'로 묶이는 회사들의 주가가 모두 올랐다. 1일 손오공 주가는 직전 거래일인 5월29일보다 4.03%(75원) 오른 1935원에 거래를 마쳤다. 손오공은 방탄소년단 인형을 유통한다. 넷마블 주가는 3.47...
19,"[6/5 중국증시종합] 경기부양 호재, 상하이지수 0.40%↑,주간 2.75%↑","종목별로는 공항해상운송, 반도체, 농업서비스, 에탄올 연료 테마주가 강세를 나타낸 반면, 연일 강세를 보여온 맥주 테마주를 비롯해 식품가공, 농업재배 테마주는 약세를 보였다. 이와 관련해 최근 중국에서..."
20,[특징주]한일 갈등 고조 분위기에 모나미 등 ‘애국 테마주’ 강세,"우리 정부가 조만간 이와 관련한 입장을 밝힐 것이라고 전한 가운데, 금일 주식시장에서는 애국 테마주가... ‘애국 테마주’로 자주 거론돼 왔다. 실제로 이들 종목은 일본이 한국을 백색국가(화이트리스트)에서..."
21,코로나 19 물리친 중국증시 외인자금 봇물,외국인 선호 소비 테마주인 구이저우마오타이의 베이징 조양구 매장에서 점원이 제품을 진열하고 있다.... 관련 테마주다. 5월 이후 회복장에서는 특히 식품 음료 의약 등 소비관련 섹타에 외자가 집중되면서 주가...
22,"[이진우의 주간 증시] 동학 개미 운동, 하반기도 통할까","주자 테마주' 후끈…전략은? - 4·15 총선 한 달 후에도 정치 테마株 여전 - ""통합당 대선주자 없다"" 홍정욱... - 이재명 '대선 불출마' 언급에 테마주 급락 - 정치테마주, 관련 없는 것도 들썩…'폭탄 돌리기' 우려..."
